@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute target {1,2}

@data
-0.714343,-0.707084,-0.703663,-0.704158,-0.703833,-0.706924,-0.710514,-0.710453,-0.713969,-0.715388,-0.719196,-0.725823,-0.731072,-0.728242,-0.730031,-0.729452,-0.730963,-0.729906,-0.730284,-0.73037,-0.731585,-0.729223,-0.730869,-0.728197,-0.730878,-0.727633,-0.728548,-0.726045,-0.727771,-0.724307,-0.72691,-0.724645,-0.727888,-0.721782,-0.722241,-0.717002,-0.717874,-0.711586,-0.716209,-0.708524,-0.712509,-0.706759,-0.711333,-0.705887,-0.716671,-0.718306,-0.733759,-0.714562,-0.678278,-0.579703,-0.499614,-0.353247,-0.298847,-0.013779,0.328824,0.486858,0.642707,0.854961,1.099615,1.35259,1.605007,1.811072,1.927072,1.976966,1.97829,1.993802,2.005559,2.006653,2.018259,2.021126,2.01851,2.040837,2.030708,2.039443,2.021652,2.029267,2.024648,2.02763,2.013593,2.023764,1.998993,2.007207,1.970742,1.96584,1.905804,1.832677,1.700071,1.576733,1.395378,1.28656,1.036536,0.907881,0.654648,0.524566,0.278586,-0.026667,-0.224685,-0.497973,-0.606128,-0.76486,-0.824777,-0.870561,-0.84967,-0.837185,-0.793071,-0.777675,-0.751431,-0.747803,-0.731705,-0.736719,-0.729036,-0.734764,-0.724751,-0.726123,-0.70843,-0.707691,-0.69955,-0.700509,-0.696225,-0.699838,-0.697454,-0.702113,-0.698692,-0.703529,-0.69946,-0.70273,-0.702064,-0.70628,-0.704576,-0.70665,-0.705036,-0.705452,-0.705385,-0.706814,-0.704526,-0.704408,2
-0.710797,-0.712095,-0.714001,-0.713965,-0.712528,-0.707161,-0.704447,-0.701288,-0.700645,-0.699578,-0.698707,-0.697137,-0.696877,-0.693392,-0.693436,-0.689605,-0.685935,-0.679617,-0.676008,-0.671319,-0.671145,-0.671183,-0.672585,-0.672301,-0.674548,-0.673309,-0.675181,-0.67337,-0.673012,-0.670741,-0.669911,-0.665742,-0.664605,-0.659559,-0.660233,-0.657998,-0.660141,-0.656856,-0.658993,-0.652284,-0.66089,-0.65635,-0.649541,-0.589978,-0.540289,-0.465517,-0.384177,-0.242263,-0.089124,0.129738,0.397163,0.640486,0.823282,0.95068,1.128613,1.322948,1.52946,1.737111,1.899778,2.019786,2.037228,2.04914,2.073486,2.088218,2.101855,2.110037,2.105756,2.114852,2.115641,2.11884,2.12095,2.114993,2.118174,2.121217,2.114445,2.116011,2.10094,2.067922,2.009708,1.929744,1.795319,1.626374,1.448955,1.291401,1.118329,0.976759,0.816886,0.68786,0.484482,0.191868,-0.097634,-0.338239,-0.483575,-0.630772,-0.757162,-0.842255,-0.880469,-0.898367,-0.896279,-0.890823,-0.874371,-0.851637,-0.834965,-0.81628,-0.7974,-0.787055,-0.771566,-0.76468,-0.752964,-0.743619,-0.735264,-0.730104,-0.722972,-0.717611,-0.714332,-0.712186,-0.711626,-0.711403,-0.711698,-0.712482,-0.710656,-0.709704,-0.708806,-0.70959,-0.709865,-0.708203,-0.707472,-0.707252,-0.707177,-0.704107,-0.703709,-0.701797,-0.700617,-0.700567,-0.69995,-0.696806,2
-0.85853,-0.85812,-0.857305,-0.857331,-0.854361,-0.847803,-0.840957,-0.841994,-0.843853,-0.844611,-0.844686,-0.849218,-0.858849,-0.863236,-0.86043,-0.856827,-0.856277,-0.85765,-0.863117,-0.860841,-0.856133,-0.84849,-0.849256,-0.84739,-0.851381,-0.851912,-0.854089,-0.853783,-0.850085,-0.847469,-0.849666,-0.84987,-0.849077,-0.823051,-0.758135,-0.709254,-0.701891,-0.692971,-0.699178,-0.686159,-0.655648,-0.626908,-0.618193,-0.594679,-0.558946,-0.457396,-0.372765,-0.059119,0.317417,0.495576,0.737974,1.066856,1.347617,1.586969,1.750076,1.813284,1.84669,1.859105,1.875183,1.87781,1.87961,1.873975,1.875592,1.871172,1.871338,1.869506,1.87284,1.867443,1.863747,1.861313,1.859573,1.846334,1.843363,1.834375,1.834444,1.827498,1.819636,1.805755,1.806097,1.800717,1.782823,1.749623,1.702931,1.59814,1.458143,1.287387,1.099764,0.888783,0.696272,0.473321,0.294453,0.139585,-0.028657,-0.173252,-0.320198,-0.413828,-0.496101,-0.550907,-0.594186,-0.615867,-0.625364,-0.646338,-0.673436,-0.69733,-0.707008,-0.702665,-0.696178,-0.6687,-0.64536,-0.625185,-0.604353,-0.591705,-0.604979,-0.637305,-0.684313,-0.727502,-0.761236,-0.781999,-0.799127,-0.810805,-0.815542,-0.814771,-0.814,-0.808917,-0.802477,-0.802516,-0.79819,-0.796254,-0.791166,-0.785904,-0.780211,-0.775298,-0.776073,-0.775957,-0.780061,-0.78,1
-0.827223,-0.824639,-0.822915,-0.822039,-0.819771,-0.821507,-0.821807,-0.822305,-0.822634,-0.822725,-0.822492,-0.82237,-0.822626,-0.823034,-0.822162,-0.822089,-0.821145,-0.82284,-0.821118,-0.821414,-0.821712,-0.820496,-0.818794,-0.818211,-0.817172,-0.815936,-0.813922,-0.807762,-0.77483,-0.715111,-0.65682,-0.635442,-0.624487,-0.623549,-0.634588,-0.643575,-0.647008,-0.636647,-0.61556,-0.593724,-0.562247,-0.507781,-0.412875,-0.32936,-0.175903,0.071565,0.240056,0.499935,0.752624,0.981713,1.219408,1.443531,1.679358,1.844327,1.898994,1.929002,1.944378,1.955105,1.955054,1.962926,1.962893,1.967219,1.96405,1.965026,1.961857,1.95943,1.959227,1.959453,1.960258,1.960133,1.951604,1.944452,1.944239,1.943956,1.934949,1.925937,1.8985,1.852919,1.773824,1.64898,1.500907,1.33034,1.148057,0.943482,0.734657,0.533409,0.332673,0.159531,0.003299,-0.146239,-0.273068,-0.375507,-0.443499,-0.497515,-0.521266,-0.553557,-0.569955,-0.581501,-0.590207,-0.597949,-0.608593,-0.610525,-0.611642,-0.609611,-0.613031,-0.612949,-0.619226,-0.632601,-0.657228,-0.695241,-0.745059,-0.791613,-0.832993,-0.863222,-0.872731,-0.873648,-0.871027,-0.869933,-0.860222,-0.852309,-0.841418,-0.824963,-0.814122,-0.800709,-0.795736,-0.795837,-0.794947,-0.796302,-0.800412,-0.804963,-0.80297,-0.803257,-0.802032,-0.800312,-0.799923,-0.799299,1
-0.661036,-0.659232,-0.660784,-0.659886,-0.656364,-0.649778,-0.649104,-0.645862,-0.644502,-0.641192,-0.638289,-0.636845,-0.636536,-0.638044,-0.636498,-0.637091,-0.63385,-0.636484,-0.635303,-0.634426,-0.634539,-0.634282,-0.631159,-0.632684,-0.633498,-0.632889,-0.632406,-0.632057,-0.625928,-0.627183,-0.626669,-0.627216,-0.626287,-0.628487,-0.626146,-0.622839,-0.619998,-0.615523,-0.609967,-0.593495,-0.549091,-0.464237,-0.29276,-0.017498,0.230609,0.486909,0.693456,0.84249,0.945207,1.064618,1.256094,1.495807,1.757612,2.006806,2.192308,2.254243,2.247934,2.263791,2.263332,2.245053,2.247596,2.249559,2.241101,2.248641,2.245803,2.243132,2.24134,2.235414,2.23081,2.235147,2.233929,2.204068,2.098478,1.94373,1.746179,1.54655,1.357506,1.173962,0.936133,0.667195,0.316469,0.015562,-0.281122,-0.537892,-0.696472,-0.795874,-0.806903,-0.800563,-0.767702,-0.748035,-0.730571,-0.722316,-0.711669,-0.705633,-0.690703,-0.675902,-0.649984,-0.624337,-0.593045,-0.575824,-0.572125,-0.578959,-0.590744,-0.607415,-0.625971,-0.641157,-0.64857,-0.653391,-0.655134,-0.655248,-0.654074,-0.65337,-0.655609,-0.654035,-0.656399,-0.66239,-0.662154,-0.664762,-0.667807,-0.670172,-0.676538,-0.683295,-0.687784,-0.696316,-0.698458,-0.704068,-0.70704,-0.710323,-0.71038,-0.712929,-0.712688,-0.713238,-0.709214,-0.709622,-0.703883,-0.696819,2
-0.604374,-0.611573,-0.615044,-0.61893,-0.624604,-0.628922,-0.63389,-0.636552,-0.63975,-0.647334,-0.651834,-0.65645,-0.662345,-0.665593,-0.669753,-0.674184,-0.676208,-0.681618,-0.685067,-0.68565,-0.685714,-0.683583,-0.684233,-0.683792,-0.680336,-0.67921,-0.676606,-0.676928,-0.678512,-0.676607,-0.678659,-0.679152,-0.680947,-0.679292,-0.679639,-0.678939,-0.683082,-0.679451,-0.681426,-0.680567,-0.655518,-0.559949,-0.390227,-0.097723,0.201003,0.530787,0.801625,0.993514,1.161048,1.293036,1.427644,1.570331,1.71939,1.848692,1.955707,2.063966,2.089925,2.089282,2.094642,2.096354,2.108334,2.113196,2.114056,2.114993,2.114898,2.122244,2.126331,2.116496,2.107992,2.106161,2.093775,2.077113,2.020227,1.943904,1.832881,1.675156,1.486615,1.301181,1.119944,0.955627,0.827881,0.735522,0.625077,0.525213,0.397088,0.259915,0.112845,-0.069557,-0.237907,-0.418764,-0.545035,-0.669912,-0.762808,-0.848682,-0.893968,-0.912093,-0.900364,-0.885178,-0.873653,-0.861473,-0.84111,-0.823909,-0.798252,-0.78645,-0.779064,-0.772016,-0.766035,-0.768215,-0.768834,-0.766905,-0.765453,-0.76294,-0.762255,-0.759167,-0.759299,-0.761366,-0.762165,-0.760805,-0.76512,-0.763067,-0.76827,-0.771973,-0.772124,-0.773854,-0.77107,-0.774223,-0.777855,-0.779702,-0.776701,-0.776554,-0.776943,-0.778809,-0.776774,-0.778031,-0.783091,-0.784053,2
-1.392672,-1.432332,-1.447698,-1.457303,-1.454228,-1.44935,-1.434777,-1.419955,-1.411614,-1.409091,-1.405923,-1.404627,-1.40367,-1.404156,-1.405344,-1.404252,-1.403116,-1.404496,-1.401713,-1.401528,-1.387911,-1.33908,-1.208886,-1.009646,-0.717046,-0.400863,-0.081429,0.221513,0.469963,0.655133,0.77306,0.841857,0.889107,0.916224,0.935013,0.94255,0.956085,0.959446,0.968204,0.975658,0.978844,0.9791,0.975317,0.974467,0.977551,0.978549,0.977458,0.981606,0.984634,0.988849,0.982986,0.98276,0.987119,0.986195,0.986851,0.981486,0.98314,0.986374,0.977409,0.986548,0.978933,0.982776,0.979124,0.983729,0.986901,0.986787,0.988232,0.987262,0.98768,0.986741,0.985822,0.987306,0.985313,0.982933,0.97902,0.980944,0.980639,0.974525,0.977403,0.974249,0.965662,0.960023,0.961045,0.958777,0.960787,0.956716,0.961602,0.948546,0.9485,0.945669,0.946224,0.944881,0.936926,0.925548,0.919841,0.895137,0.87722,0.859268,0.815863,0.782051,0.746286,0.689339,0.631583,0.54107,0.415204,0.253014,0.058569,-0.174393,-0.420188,-0.663514,-0.906776,-1.105493,-1.272676,-1.409959,-1.467809,-1.491275,-1.504876,-1.501739,-1.486035,-1.448476,-1.408764,-1.375088,-1.355576,-1.345877,-1.351424,-1.367134,-1.379089,-1.390945,-1.401672,-1.407307,-1.411697,-1.412352,-1.413619,-1.412446,-1.41215,-1.411678,2
-2.219755,-2.219019,-2.21907,-2.22126,-2.220104,-2.22154,-2.219998,-2.220745,-2.220687,-2.220647,-2.221157,-2.221187,-2.223563,-2.222826,-2.225215,-2.225205,-2.226154,-2.227402,-2.227878,-2.229455,-2.219634,-2.190964,-2.113015,-1.953713,-1.737614,-1.446741,-1.121561,-0.774044,-0.422447,-0.106445,0.150282,0.355341,0.500606,0.58437,0.627276,0.637815,0.640084,0.632268,0.613788,0.607197,0.609886,0.610229,0.608437,0.603779,0.621834,0.621024,0.621477,0.633751,0.627098,0.634186,0.633005,0.64143,0.637366,0.646071,0.644,0.638493,0.646589,0.645059,0.648755,0.654596,0.651935,0.654934,0.649381,0.651087,0.650914,0.649932,0.655492,0.645613,0.645395,0.644733,0.651974,0.643573,0.640865,0.635267,0.631439,0.635398,0.636731,0.630521,0.640951,0.63291,0.642235,0.632168,0.630917,0.626397,0.620028,0.62244,0.618865,0.622328,0.621227,0.62675,0.617231,0.620679,0.62187,0.621361,0.613943,0.61784,0.614677,0.610785,0.612961,0.615163,0.616711,0.615461,0.619101,0.62026,0.622152,0.624818,0.626195,0.626443,0.626953,0.631589,0.633775,0.639963,0.637843,0.640631,0.636114,0.641243,0.641864,0.642477,0.636994,0.645056,0.635664,0.629477,0.6381,0.626904,0.603388,0.58274,0.528081,0.461451,0.378819,0.264363,0.11748,-0.07845,-0.29038,-0.545179,-0.821457,-1.102602,2
-1.175407,-1.176105,-1.177949,-1.177128,-1.180017,-1.179387,-1.177264,-1.177631,-1.179969,-1.179953,-1.180613,-1.177184,-1.178769,-1.175804,-1.182754,-1.160168,-1.10125,-0.988691,-0.780511,-0.509143,-0.217331,0.095818,0.394918,0.655369,0.857539,1.02009,1.111072,1.168132,1.20503,1.196535,1.212648,1.198119,1.195318,1.187419,1.194842,1.198171,1.201527,1.199837,1.200841,1.198438,1.200979,1.193933,1.188949,1.186438,1.188287,1.18373,1.177625,1.174559,1.179728,1.177896,1.180722,1.175927,1.178897,1.173388,1.168375,1.172027,1.170052,1.171617,1.170677,1.170936,1.167268,1.16558,1.166715,1.16257,1.161401,1.167341,1.168427,1.162845,1.169293,1.167927,1.16817,1.168531,1.167811,1.161468,1.166361,1.145786,1.122362,1.120485,1.098665,1.063946,1.013872,0.997398,0.945813,0.879067,0.79296,0.683103,0.561771,0.405666,0.219654,0.018538,-0.198542,-0.395445,-0.580178,-0.767018,-0.911069,-1.03157,-1.12628,-1.189167,-1.223528,-1.230043,-1.229118,-1.218652,-1.196127,-1.180854,-1.17311,-1.163131,-1.161177,-1.160432,-1.155079,-1.155637,-1.153573,-1.153826,-1.153771,-1.15307,-1.151841,-1.150606,-1.152343,-1.150956,-1.154034,-1.152968,-1.154983,-1.156009,-1.15635,-1.158412,-1.159765,-1.155445,-1.157416,-1.158088,-1.155491,-1.155348,-1.155121,-1.149198,-1.143917,-1.141601,-1.137501,-1.136383,2
-1.298363,-1.296466,-1.293217,-1.290838,-1.288539,-1.2852,-1.287778,-1.286858,-1.28877,-1.288624,-1.290983,-1.29241,-1.296844,-1.285357,-1.252541,-1.179862,-1.087513,-0.988654,-0.905759,-0.859658,-0.8401,-0.837562,-0.834904,-0.810769,-0.783036,-0.763592,-0.753501,-0.7451,-0.742263,-0.741625,-0.716408,-0.655562,-0.556397,-0.374391,-0.188135,0.020654,0.212467,0.393114,0.550535,0.698514,0.838475,0.970867,1.076087,1.16698,1.229263,1.272439,1.289474,1.30661,1.312024,1.310916,1.319184,1.325575,1.326239,1.32248,1.324911,1.323991,1.322036,1.32446,1.32187,1.323668,1.319997,1.321067,1.319289,1.31657,1.314112,1.313353,1.308393,1.314515,1.311835,1.312179,1.314246,1.314005,1.310531,1.31213,1.314463,1.313934,1.317966,1.316857,1.314906,1.30752,1.311201,1.307475,1.302722,1.302131,1.295339,1.287929,1.275223,1.240528,1.205689,1.150405,1.061415,0.961918,0.840619,0.705399,0.569036,0.432258,0.28766,0.156195,0.015087,-0.112008,-0.23824,-0.357711,-0.473521,-0.585318,-0.675071,-0.761326,-0.832643,-0.875405,-0.899089,-0.914485,-0.923445,-0.921904,-0.915375,-0.911149,-0.907181,-0.906506,-0.903441,-0.914872,-0.92347,-0.935334,-0.957084,-0.985873,-1.016901,-1.051274,-1.108045,-1.187157,-1.27183,-1.362422,-1.441478,-1.466718,-1.454695,-1.413367,-1.398054,-1.395284,-1.400858,-1.392814,1
