@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2}

@data
-0.586887,-0.501911,-0.294169,-0.000181,0.293026,0.553018,0.786329,1.099154,1.293323,1.38826,1.423837,1.428357,1.325679,1.23662,0.988071,0.615292,0.299674,0.020328,-0.343136,-0.563045,-0.699333,-0.569369,-0.371151,-0.113463,0.165723,0.504444,0.839522,1.195079,1.5171,1.684504,1.574412,1.554187,1.423655,1.413945,1.480725,1.6317,1.664992,1.751254,1.523475,1.209386,0.91634,0.546916,0.182636,-0.108848,-0.341437,-0.558133,-0.605834,-0.779437,-0.932322,-1.095151,-1.328643,-1.519459,-1.696718,-1.662677,-1.479791,-1.277878,-1.084426,-0.897853,-0.741948,-0.593821,-0.668755,-0.852211,-1.011317,-1.179434,-1.316825,-1.403428,-1.523262,-1.513852,-1.402869,-1.228129,-1.059464,-0.915353,-0.709044,2
-0.670322,-0.664971,-0.40632,-0.145746,0.214761,0.5641,0.814661,1.124487,1.381963,1.474198,1.503875,1.593556,1.598454,1.467811,1.144477,0.752198,0.39461,0.043483,-0.224285,-0.432795,-0.640868,-0.725742,-0.588751,-0.316356,0.0235,0.332241,0.673937,1.026664,1.384719,1.629908,1.626159,1.496556,1.486652,1.533807,1.542783,1.576162,1.620512,1.788212,1.502088,1.134399,0.785836,0.445409,0.110539,-0.191915,-0.468491,-0.645558,-0.729163,-0.865149,-1.063215,-1.144451,-1.31796,-1.408048,-1.465951,-1.408343,-1.300711,-1.200892,-1.068837,-0.866428,-0.659109,-0.570187,-0.651726,-0.808071,-0.963026,-1.143494,-1.259778,-1.386812,-1.428763,-1.428973,-1.371793,-1.264611,-1.093349,-0.996367,-0.805391,2
-0.736399,-0.66095,-0.45684,-0.18497,0.168661,0.431545,0.754382,1.149105,1.474586,1.534482,1.505607,1.549889,1.562047,1.46742,1.162556,0.808075,0.488443,0.147867,-0.179703,-0.386983,-0.542038,-0.595064,-0.495955,-0.269705,-0.040684,0.292677,0.619771,0.99068,1.3274,1.610093,1.618682,1.628934,1.53734,1.525441,1.499741,1.653409,1.720136,1.564789,1.346779,1.142282,0.806448,0.43685,0.101039,-0.18055,-0.467247,-0.586808,-0.547294,-0.709547,-0.831758,-0.987965,-1.186067,-1.374625,-1.536205,-1.533978,-1.445131,-1.294272,-1.134137,-0.995682,-0.877562,-0.77122,-0.862899,-1.020426,-1.18425,-1.308415,-1.41979,-1.500699,-1.442437,-1.379159,-1.210972,-1.043332,-0.889605,-0.75306,-0.602778,1
-0.76846,-0.717518,-0.496649,-0.147125,0.246201,0.612098,0.930953,1.273659,1.385706,1.423224,1.506852,1.599603,1.537568,1.30753,0.964489,0.579948,0.220329,-0.136491,-0.475039,-0.729503,-0.744466,-0.605846,-0.314617,-0.0332,0.236811,0.587184,0.926296,1.277927,1.59709,1.695212,1.614505,1.57263,1.467846,1.29973,1.439661,1.557744,1.77703,1.742858,1.404807,1.095684,0.718001,0.416356,0.066463,-0.232534,-0.527015,-0.674957,-0.787549,-0.851849,-0.943569,-1.086282,-1.261326,-1.379895,-1.446999,-1.406485,-1.264338,-1.106386,-0.968739,-0.890905,-0.780972,-0.717651,-0.835555,-0.890561,-1.019464,-1.218954,-1.353838,-1.421351,-1.438892,-1.360222,-1.265075,-1.154134,-1.007307,-0.887855,-0.732417,1
-0.716045,-0.6368,-0.465465,-0.133533,0.184155,0.454003,0.773247,1.098501,1.499314,1.607932,1.593659,1.638022,1.642009,1.688335,1.509873,1.145701,0.812525,0.42878,0.089546,-0.25302,-0.539644,-0.673482,-0.669959,-0.499366,-0.192351,0.118631,0.421407,0.716257,0.984261,1.322195,1.511091,1.534297,1.554517,1.568028,1.539604,1.525182,1.44254,1.502512,1.429253,1.162173,0.792287,0.447217,0.090946,-0.200184,-0.500342,-0.622724,-0.624242,-0.778867,-0.984654,-1.148368,-1.331997,-1.470065,-1.554627,-1.489164,-1.339701,-1.151538,-0.997892,-0.87151,-0.71345,-0.632873,-0.724409,-0.888496,-1.039287,-1.246622,-1.34161,-1.42456,-1.440409,-1.386284,-1.287447,-1.184717,-1.050806,-0.892306,-0.729185,1
-0.755584,-0.640432,-0.39111,-0.044536,0.297367,0.619072,0.995857,1.21914,1.325817,1.410594,1.433558,1.498966,1.430687,1.132019,0.762085,0.346388,-0.049847,-0.328357,-0.566807,-0.764499,-0.824979,-0.690635,-0.482304,-0.164362,0.136044,0.497888,0.852969,1.244742,1.616173,1.886587,1.724785,1.717642,1.546007,1.383607,1.343591,1.396595,1.622615,1.777372,1.601889,1.244461,0.850546,0.507836,0.132674,-0.170158,-0.512472,-0.578912,-0.433291,-0.609529,-0.71849,-0.920392,-1.159657,-1.380385,-1.575993,-1.578637,-1.452714,-1.305863,-1.096886,-0.938775,-0.710154,-0.545128,-0.559097,-0.74871,-0.9219,-1.109087,-1.312807,-1.488364,-1.562673,-1.507245,-1.345832,-1.20878,-1.013296,-0.8062,-0.580694,2
-0.612609,-0.53281,-0.410671,-0.132161,0.153318,0.496801,0.842613,1.139974,1.421343,1.441712,1.425114,1.449125,1.498928,1.404344,1.177718,0.88964,0.613861,0.268327,-0.061912,-0.36886,-0.577212,-0.574986,-0.449464,-0.233557,0.031377,0.29424,0.63125,0.961373,1.347209,1.576455,1.645461,1.619532,1.523929,1.415677,1.46418,1.57265,1.649832,1.701112,1.516105,1.156039,0.804511,0.458177,0.181963,-0.160395,-0.399053,-0.645782,-0.761564,-0.82251,-0.977635,-1.119214,-1.32409,-1.452535,-1.51012,-1.472588,-1.338288,-1.211967,-1.020114,-0.86656,-0.733257,-0.746341,-0.858929,-0.943616,-1.076426,-1.190356,-1.334277,-1.467195,-1.525117,-1.50827,-1.363059,-1.216253,-1.032248,-0.922304,-0.819587,1
-0.891226,-0.78874,-0.539778,-0.189124,0.204064,0.541823,0.928977,1.251345,1.486319,1.518928,1.551371,1.66318,1.687918,1.502353,1.18457,0.795727,0.505797,0.153422,-0.200444,-0.534146,-0.787379,-0.887423,-0.750785,-0.520203,-0.191668,0.071728,0.423396,0.768009,1.133745,1.526032,1.719307,1.64905,1.566994,1.593292,1.492106,1.525459,1.674121,1.694173,1.433728,1.063749,0.693762,0.32713,-0.027873,-0.371155,-0.65876,-0.79915,-0.699362,-0.513469,-0.294055,-0.164686,-0.353647,-0.617028,-0.830524,-1.089541,-1.339409,-1.621886,-1.667218,-1.431132,-1.240184,-1.094736,-0.985505,-0.843109,-0.782308,-0.68882,-0.70426,-0.938733,-1.125239,-1.323891,-1.606142,-1.633902,-1.429032,-1.185453,-0.990452,1
-0.609853,-0.604371,-0.446971,-0.163094,0.132191,0.506137,0.739433,1.021797,1.407941,1.607096,1.655174,1.615278,1.718671,1.730008,1.507392,1.164377,0.86289,0.472895,0.216642,-0.116124,-0.411022,-0.608175,-0.583744,-0.510115,-0.367392,-0.157596,0.143803,0.492778,0.852912,1.129679,1.475803,1.569713,1.531606,1.444828,1.527266,1.561474,1.618374,1.580399,1.588661,1.299149,0.928097,0.554658,0.207162,-0.120134,-0.383357,-0.626665,-0.850307,-0.907735,-1.027737,-1.161311,-1.311535,-1.3917,-1.428826,-1.327126,-1.21239,-1.099422,-0.977474,-0.900415,-0.772841,-0.807794,-0.918878,-1.000966,-1.109487,-1.194635,-1.259969,-1.327438,-1.371877,-1.356717,-1.299995,-1.202128,-1.09111,-0.986507,-0.859354,1
-0.790972,-0.70972,-0.431097,-0.132587,0.178921,0.540803,0.876472,1.129233,1.293463,1.338069,1.46066,1.553131,1.47996,1.335112,0.996482,0.685517,0.389275,-0.015507,-0.338198,-0.647457,-0.780171,-0.672799,-0.427769,-0.136193,0.191664,0.53335,0.847909,1.211729,1.592407,1.639679,1.496939,1.433033,1.379409,1.349796,1.537704,1.775135,1.863205,1.754822,1.518432,1.177658,0.743371,0.444491,0.069491,-0.247024,-0.57326,-0.596619,-0.407426,-0.514614,-0.679817,-0.946516,-1.133451,-1.34907,-1.486043,-1.56732,-1.53047,-1.319474,-1.084742,-0.894894,-0.759501,-0.835791,-0.971566,-1.094732,-1.251244,-1.334447,-1.363586,-1.323894,-1.333594,-1.315227,-1.287246,-1.14631,-1.013797,-0.787106,-0.586069,2
