@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute target {1,2,3,4,5,6,7}

@data
2.743689,2.477173,2.247027,2.051305,1.788793,1.535129,1.278271,1.020169,0.767595,0.503152,0.259308,-0.018468,-0.196106,-0.303977,-0.570181,-0.802852,-1.044559,-1.226173,-1.385833,-1.50152,-1.600989,-1.634866,-1.568985,-1.33272,-1.201285,-1.309747,-1.419235,-1.539897,-1.557896,-1.461384,-1.340575,-1.172775,-0.979766,-0.783762,-0.568834,-0.326365,-0.075655,0.166421,0.40701,0.589264,0.767426,0.958542,1.095028,1.09389,0.901775,0.725659,0.537941,0.360118,0.191422,0.048227,-0.10765,-0.240281,-0.368221,-0.475953,-0.558847,-0.642982,-0.658267,-0.445389,-0.202244,0.041451,0.291658,0.540324,0.795364,1.047443,1.281505,1.350561,1.389841,1.362663,1.164795,0.948003,0.684806,0.44237,0.18743,-0.061032,-0.315544,-0.550482,-0.632097,-0.549682,-0.464467,-0.337892,-0.242649,-0.110666,0.046283,0.209559,0.356189,0.538513,0.710198,0.905404,0.98205,0.870167,0.669759,0.487013,0.306083,0.056301,-0.183894,-0.403756,-0.626777,-0.838337,-1.011844,-1.20111,-1.372992,-1.469043,-1.561333,-1.470545,-1.358769,-1.214366,-1.257922,-1.514382,-1.589627,-1.555404,-1.451869,-1.347815,-1.195171,-1.026843,-0.781796,-0.557296,-0.300429,-0.168576,0.034705,0.304927,0.551637,0.811295,1.056406,1.3105,1.561421,1.815936,2.069782,2.322431,2.581837,2.747707,1
2.87249,2.542576,2.232987,1.91189,1.60161,1.283562,0.976111,0.655954,0.352103,0.02937,-0.075143,-0.133684,-0.461198,-0.719281,-1.00007,-1.232491,-1.452143,-1.626363,-1.765688,-1.686636,-1.465869,-1.208327,-0.946377,-0.665076,-0.381761,-0.084825,0.209286,0.52163,0.818731,1.143123,1.389948,1.557841,1.504962,1.182485,0.88666,0.569417,0.27163,-0.043508,-0.343781,-0.652179,-0.945074,-1.251359,-1.543591,-1.832723,-2.101662,-2.323517,-2.096298,-1.698514,-1.29726,-0.882403,-0.528918,-0.373928,-0.021157,0.15555,0.215911,0.394141,0.556728,0.628926,0.638455,0.44875,0.246423,0.046429,-0.133113,-0.272882,-0.135525,0.194765,0.392312,0.123181,-0.214663,-0.377252,-0.117331,-0.190776,-0.357104,-0.223194,0.036325,0.408211,0.674207,0.42458,0.37039,0.622027,0.682257,0.459403,0.090319,-0.260524,-0.658768,-1.011495,-1.377616,-1.613182,-1.829252,-1.674878,-1.342812,-1.058367,-0.748586,-0.446429,-0.140603,0.165107,0.467547,0.786283,1.081931,1.416423,1.412786,1.245048,0.989014,0.655454,0.351878,0.034507,-0.260611,-0.557477,-0.834186,-1.106051,-1.281279,-1.234938,-1.126892,-0.998257,-0.818834,-0.624376,-0.406583,-0.152477,0.019902,-0.064176,0.178624,0.500566,0.798958,1.104494,1.409756,1.711232,2.015973,2.323307,2.620732,2.878111,4
3.047102,2.815649,2.555008,2.294661,2.036144,1.777669,1.520389,1.263252,1.006943,0.7518,0.506335,0.287117,0.084478,-0.147338,-0.38466,-0.622613,-0.857094,-1.080048,-1.308771,-1.51844,-1.641486,-1.669162,-1.65278,-1.604549,-1.504612,-1.362523,-1.179609,-1.000661,-0.775557,-0.530733,-0.273472,-0.041506,0.092347,0.161598,0.235568,0.259554,0.088859,-0.118992,-0.302433,-0.486347,-0.651207,-0.79664,-0.937891,-0.954561,-0.777814,-0.509106,-0.155905,0.164658,0.499622,0.710178,0.886475,0.870114,0.812864,0.752329,0.739115,0.699857,0.680007,0.472224,0.245121,-0.067892,-0.314825,-0.559503,-0.600073,-0.783878,-0.614634,-0.697854,-0.699864,-0.646394,-0.643014,-0.345726,-0.139446,0.172247,0.382712,0.659471,0.665893,0.704171,0.71548,0.768201,0.795464,0.842428,0.675082,0.437599,0.128038,-0.195256,-0.493162,-0.618042,-0.821578,-0.843712,-0.677488,-0.531702,-0.36133,-0.187757,0.000003,0.165673,0.131802,0.04873,-0.042344,-0.247769,-0.478403,-0.700869,-0.926954,-1.125026,-1.288103,-1.433831,-1.556631,-1.642019,-1.678755,-1.684649,-1.647013,-1.53105,-1.332437,-1.114384,-0.885447,-0.658412,-0.434947,-0.20721,0.015181,0.19965,0.39478,0.596613,0.825841,1.076052,1.325689,1.5781,1.826455,2.07721,2.327214,2.577432,2.82628,3.049371,6
1.006312,0.760133,0.521224,0.279303,0.047968,-0.180498,-0.396794,-0.600543,-0.843647,-1.121273,-1.390256,-1.654357,-1.895103,-2.09776,-2.078661,-1.83454,-1.534279,-1.264581,-0.987949,-0.7086,-0.409291,-0.160533,-0.076185,0.102941,0.02907,0.14597,0.204377,0.109793,0.04533,-0.061588,-0.17064,-0.319181,-0.432599,-0.57153,-0.669353,-0.756017,-0.788012,-0.82157,-0.829046,-0.843088,-0.716024,-0.483857,-0.25243,-0.024508,0.208927,0.459766,0.696063,0.907847,1.146261,1.250267,1.37439,1.634251,1.878607,2.12054,2.364511,2.589615,2.834289,2.920832,2.635442,2.342358,2.047347,1.766225,1.490013,1.28092,1.231083,1.008152,0.738578,0.476345,0.225895,-0.029491,-0.270536,-0.521827,-0.703182,-0.788372,-0.804598,-0.804984,-0.780112,-0.739935,-0.659531,-0.560358,-0.42287,-0.318054,-0.160587,-0.091116,0.015269,-0.019696,-0.107672,-0.065364,-0.080913,-0.178418,-0.306135,-0.425487,-0.685927,-0.916185,-1.170407,-1.405868,-1.65056,-1.89368,-2.06101,-2.007466,-1.862755,-1.677815,-1.475776,-1.25688,-1.020399,-0.763329,-0.544023,-0.338895,-0.117328,0.10062,0.321825,0.54203,0.817853,0.885084,0.788086,0.681988,0.608133,0.572546,0.808488,0.881418,1.082232,1.254335,1.043681,0.761429,0.558973,0.612341,0.69229,0.810436,0.928847,1.012985,5
2.930422,2.594809,2.267161,1.936626,1.596669,1.313063,1.089524,0.873124,0.615803,0.312964,0.217429,0.263638,0.128094,-0.206963,-0.538124,-0.85141,-1.142343,-1.384012,-1.605636,-1.760041,-1.868281,-1.862795,-1.720825,-1.400213,-1.38214,-1.500965,-1.61596,-1.549699,-1.346786,-1.069062,-0.876328,-0.600881,-0.620244,-0.646664,-0.272503,0.040208,0.07662,0.234021,0.43514,0.546208,0.670219,0.821697,0.99407,1.100111,0.911179,0.627881,0.387263,0.508648,0.746886,0.599387,0.334684,0.069151,-0.154387,-0.432032,-0.601929,-0.809489,-0.945514,-1.117113,-1.116363,-0.798752,-0.686516,-0.46959,-0.109461,0.13339,0.15983,0.331748,0.6755,1.009099,1.377058,1.549064,1.298101,0.958981,0.650925,0.299332,0.006324,-0.307282,-0.579134,-0.913183,-1.056005,-0.884874,-0.732369,-0.525456,-0.337373,-0.060799,0.191451,0.492465,0.59746,0.406081,0.529317,0.831784,1.112344,1.042423,0.821869,0.710201,0.511831,0.461646,0.198258,0.124803,-0.017779,-0.426031,-0.579358,-0.678582,-0.886148,-1.18166,-1.411513,-1.531178,-1.509155,-1.36839,-1.572174,-1.737949,-1.676159,-1.560982,-1.37532,-1.161411,-0.826056,-0.501071,-0.186505,0.161111,0.240114,0.185386,0.453285,0.71496,0.919767,1.155044,1.397418,1.689214,2.028105,2.352575,2.691188,2.934763,2
3.001059,2.754283,2.510576,2.258305,2.012071,1.762259,1.514227,1.263848,1.017312,0.763803,0.534292,0.327813,0.138176,-0.053776,-0.253051,-0.462585,-0.699678,-0.915556,-1.14295,-1.35511,-1.58139,-1.753639,-1.796377,-1.794368,-1.763124,-1.689746,-1.565684,-1.417133,-1.238829,-1.072033,-0.834184,-0.620753,-0.374691,-0.141622,0.040465,0.096545,0.20411,0.242552,0.114434,-0.08031,-0.237177,-0.407954,-0.553807,-0.697592,-0.821438,-0.852547,-0.656823,-0.409502,-0.070826,0.235419,0.512734,0.722038,0.850131,0.803603,0.770656,0.719476,0.709486,0.689071,0.608465,0.315604,0.087011,-0.227333,-0.435848,-0.623304,-0.47998,-0.708451,-0.544119,-0.607523,-0.571139,-0.54969,-0.540867,-0.222206,-0.003015,0.310814,0.535961,0.708649,0.7039,0.744356,0.774032,0.828292,0.858963,0.731223,0.495856,0.221388,-0.137987,-0.405069,-0.535373,-0.737094,-0.727079,-0.550874,-0.399418,-0.22142,-0.040869,0.157119,0.25686,0.159797,0.143798,0.099229,-0.129382,-0.366556,-0.637872,-0.867845,-1.093566,-1.282521,-1.450455,-1.5677,-1.658484,-1.701057,-1.676398,-1.59269,-1.405064,-1.183848,-0.969881,-0.740263,-0.523644,-0.288845,-0.064192,0.145888,0.352207,0.558483,0.801162,1.057615,1.309734,1.565458,1.820608,2.076298,2.334695,2.589781,2.856567,3.004627,6
2.963487,2.728767,2.48241,2.232903,1.986726,1.739142,1.492313,1.246734,1.000243,0.755419,0.514371,0.296085,0.091112,-0.10336,-0.330901,-0.554679,-0.785989,-0.99793,-1.218388,-1.434979,-1.647598,-1.783053,-1.813398,-1.803132,-1.737257,-1.647092,-1.490979,-1.297372,-1.099722,-0.878643,-0.628676,-0.3656,-0.116643,0.056775,0.145168,0.232896,0.285682,0.159989,-0.036648,-0.198278,-0.365173,-0.513078,-0.666665,-0.775223,-0.916307,-0.830806,-0.626954,-0.334844,-0.00695,0.290015,0.568959,0.768303,0.879989,0.824928,0.770559,0.741604,0.721116,0.700805,0.613856,0.398346,0.180846,-0.073947,-0.352181,-0.518619,-0.504635,-0.603005,-0.516701,-0.52645,-0.527167,-0.479956,-0.160728,0.104449,0.386588,0.614655,0.693615,0.700057,0.726261,0.762495,0.804063,0.835186,0.70635,0.470103,0.198561,-0.139105,-0.343839,-0.49197,-0.66859,-0.687185,-0.525992,-0.38703,-0.207888,-0.046072,0.141909,0.203723,0.140877,0.064629,-0.078523,-0.293709,-0.546988,-0.792542,-1.013555,-1.205546,-1.370709,-1.521953,-1.63486,-1.699957,-1.733783,-1.731853,-1.65391,-1.471896,-1.259488,-1.048092,-0.840195,-0.624683,-0.402309,-0.189141,0.008726,0.188945,0.389901,0.599204,0.839589,1.079749,1.325129,1.567139,1.812413,2.052739,2.298837,2.541332,2.787303,2.966992,6
2.742267,2.471842,2.230086,1.98529,1.731334,1.486258,1.242393,1.003616,0.757489,0.533748,0.290332,0.047603,-0.188725,-0.301184,-0.463757,-0.721579,-0.915795,-1.100831,-1.260539,-1.388318,-1.468153,-1.509378,-1.404259,-1.263713,-1.0322,-1.015355,-1.159074,-1.245668,-1.342412,-1.309736,-1.263826,-1.15235,-0.959623,-0.74139,-0.508592,-0.25186,0.006873,0.263249,0.426808,0.599734,0.787518,0.890438,0.793934,0.598293,0.428947,0.263999,0.102626,-0.049405,-0.182522,-0.311177,-0.423822,-0.510911,-0.600735,-0.537384,-0.322617,-0.114936,0.103854,0.331323,0.56445,0.792077,0.955762,1.006351,0.946868,1.052187,1.297924,1.499768,1.645514,1.649383,1.409235,1.178774,0.93832,0.704504,0.467835,0.236026,-0.002122,-0.230365,-0.476249,-0.665586,-0.665255,-0.602988,-0.520447,-0.440953,-0.334921,-0.211451,-0.073195,0.063405,0.212563,0.331666,0.288612,0.09677,-0.035369,-0.248165,-0.448626,-0.64103,-0.802744,-0.981015,-1.127998,-1.27406,-1.397466,-1.498384,-1.565477,-1.593525,-1.474663,-1.342274,-1.226488,-1.294518,-1.5484,-1.564514,-1.466869,-1.37728,-1.249933,-1.110529,-0.880423,-0.661694,-0.441548,-0.309359,-0.124289,0.135101,0.36567,0.600776,0.820831,1.044964,1.277759,1.506081,1.736055,1.963778,2.197845,2.419809,2.650091,2.755391,1
2.807979,2.441325,2.092988,1.749828,1.399205,1.141489,0.990303,0.774377,0.63153,0.326924,0.167152,0.092245,0.108571,-0.143298,-0.462725,-0.795046,-0.65862,-0.538116,-0.769688,-1.054657,-1.273454,-1.482985,-1.617838,-1.701549,-1.71335,-1.555729,-1.263003,-1.200457,-1.312525,-1.405709,-1.351172,-1.115484,-0.877558,-0.649407,-0.50966,-0.498918,-0.218857,0.076507,0.117449,0.334539,0.454464,0.551761,0.702242,0.848469,0.929894,0.651094,0.371672,0.500986,0.387616,0.08343,-0.235118,-0.432454,-0.630319,-0.795404,-0.939916,-0.797406,-0.576716,-0.322813,0.013798,0.158706,0.238191,0.572821,0.862996,1.200228,1.502965,1.831078,2.120126,2.218301,1.880864,1.578986,1.228852,0.937083,0.589855,0.288675,0.04682,-0.270586,-0.609559,-0.911024,-1.030058,-0.857956,-0.759206,-0.469938,-0.176333,0.192244,-0.026872,-0.050796,0.073674,0.062564,0.28635,0.542895,0.520539,0.352913,0.200941,0.150633,-0.067929,-0.24513,-0.271178,-0.571493,-0.801997,-0.778315,-0.836491,-1.135401,-1.322162,-1.535451,-1.566905,-1.483455,-1.325653,-1.466099,-1.731174,-1.713803,-1.631423,-1.495931,-1.315651,-1.025017,-0.690206,-0.330033,-0.047519,0.107882,0.085285,0.319293,0.572429,0.745371,0.947352,1.155276,1.439334,1.753828,2.069195,2.364609,2.676565,2.827135,2
3.022195,2.735762,2.456812,2.172358,1.896096,1.617723,1.341019,1.063122,0.778917,0.577344,0.400102,0.202522,-0.061019,-0.317397,-0.571156,-0.822144,-1.066296,-1.310381,-1.495254,-1.546411,-1.574347,-1.575335,-1.515134,-1.434912,-1.313037,-1.164944,-1.003469,-0.825381,-0.614243,-0.39946,-0.157411,0.037632,0.106928,0.196789,0.252483,0.147645,-0.08554,-0.291702,-0.506135,-0.684086,-0.861272,-0.990423,-1.129941,-0.971079,-0.630152,-0.356262,-0.032244,0.254355,0.57874,0.777968,0.943785,0.938981,0.872782,0.820308,0.807454,0.792401,0.625415,0.335501,0.080745,-0.219997,-0.435593,-0.69737,-0.670913,-0.703554,-0.594372,-0.66852,-0.687883,-0.627364,-0.430714,-0.205114,0.073162,0.325648,0.599489,0.745979,0.775252,0.778186,0.813069,0.834712,0.907367,0.817994,0.583803,0.319566,0.025371,-0.271472,-0.551687,-0.659533,-0.580509,-0.648177,-0.629905,-0.436352,-0.277972,-0.085487,0.074725,0.08741,-0.012749,-0.086819,-0.283062,-0.489608,-0.70752,-0.894821,-1.082603,-1.224436,-1.371042,-1.467539,-1.567058,-1.614817,-1.634556,-1.618444,-1.587024,-1.476284,-1.267459,-1.033151,-0.803236,-0.569864,-0.336542,-0.100708,0.116518,0.297811,0.483395,0.681125,0.916168,1.168827,1.425328,1.678281,1.938385,2.187075,2.444776,2.693374,2.948137,3.043585,6
