@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.765521,-0.646436,-0.415504,-0.098146,0.268496,0.612621,0.843924,1.171518,1.433449,1.607116,1.702651,1.644433,1.431898,1.206127,0.938481,0.742836,0.524443,0.157376,-0.165341,-0.468672,-0.675928,-0.686749,-0.62638,-0.410395,-0.088046,0.214341,0.607932,0.845487,1.121366,1.485666,1.700426,1.660003,1.663353,1.641479,1.75193,1.736504,1.799333,1.727875,1.381265,1.080224,0.746476,0.401774,0.030019,-0.274337,-0.563548,-0.751478,-0.890434,-0.989866,-1.091846,-1.199781,-1.316411,-1.362833,-1.327081,-1.249745,-1.232455,-1.105282,-0.994478,-0.906849,-0.78942,-0.78036,-0.874151,-0.974506,-1.127714,-1.254137,-1.3582,-1.424562,-1.332868,-1.236683,-1.141049,-0.949038,-0.851639,-0.715496,-0.767457,1
-0.781415,-0.663447,-0.426198,-0.186644,0.157857,0.403967,0.703743,0.990933,1.321374,1.551989,1.62441,1.618365,1.510105,1.281214,0.988141,0.719001,0.423561,0.063857,-0.244268,-0.527012,-0.731881,-0.813239,-0.722611,-0.445185,-0.113437,0.207539,0.524947,0.8932,1.210756,1.592185,1.797867,1.831278,1.644406,1.687946,1.828051,1.8274,1.852729,1.74961,1.394208,1.078779,0.746929,0.372405,0.062238,-0.290378,-0.602327,-0.749253,-0.708295,-0.773781,-0.889047,-0.979096,-1.118962,-1.287523,-1.386882,-1.362307,-1.283089,-1.162748,-1.074012,-1.012012,-0.945442,-0.864558,-0.764289,-0.724413,-0.818858,-0.930309,-1.06183,-1.224245,-1.34502,-1.412431,-1.343974,-1.18064,-1.041542,-0.891982,-0.77641,1
-0.77764,-0.743765,-0.471571,-0.156381,0.207388,0.498047,0.850274,1.115303,1.362257,1.593665,1.683257,1.685499,1.528517,1.366079,1.109964,0.84867,0.499882,0.150751,-0.179658,-0.455989,-0.683414,-0.77936,-0.652113,-0.421381,-0.098751,0.228433,0.551478,0.873912,1.197268,1.480635,1.746291,1.625836,1.615921,1.66861,1.752911,1.736512,1.845364,1.705081,1.329011,1.049618,0.663162,0.38539,-0.003301,-0.324027,-0.649397,-0.769185,-0.78105,-0.83978,-0.883839,-1.038969,-1.166405,-1.283992,-1.334457,-1.27411,-1.197946,-1.172443,-1.119089,-1.008885,-0.872996,-0.854943,-0.888565,-0.963369,-1.023732,-1.113213,-1.227129,-1.321626,-1.377462,-1.329372,-1.198679,-1.052945,-0.928667,-0.814546,-0.720847,1
-0.737282,-0.637866,-0.456637,-0.178251,0.149865,0.482949,0.813609,1.080495,1.36812,1.603855,1.712653,1.665618,1.56344,1.302855,1.100664,0.818977,0.49265,0.163963,-0.194191,-0.489075,-0.712001,-0.711129,-0.623176,-0.394914,-0.111096,0.205075,0.544648,0.878463,1.194102,1.497705,1.671729,1.678686,1.730602,1.681184,1.71265,1.690098,1.794844,1.699411,1.368372,1.060353,0.723361,0.406344,0.063622,-0.22951,-0.523729,-0.721636,-0.867927,-0.928337,-0.998976,-1.09823,-1.180208,-1.280865,-1.306928,-1.28221,-1.24228,-1.158012,-1.084133,-0.988379,-0.910403,-0.869143,-0.905168,-0.987308,-1.09079,-1.20244,-1.292113,-1.344563,-1.326962,-1.222128,-1.122077,-0.991816,-0.931182,-0.799862,-0.788032,1
-0.679275,-0.600622,-0.425035,-0.112346,0.2043,0.525497,0.866112,1.169209,1.45721,1.66105,1.742485,1.7096,1.520946,1.299117,1.03337,0.774042,0.470814,0.145901,-0.196342,-0.467632,-0.7024,-0.759541,-0.699114,-0.484444,-0.195476,0.124051,0.44287,0.790709,1.089667,1.444633,1.648614,1.637093,1.687981,1.767603,1.819938,1.765572,1.845857,1.740841,1.328197,1.05085,0.674975,0.32338,-0.018898,-0.330238,-0.636123,-0.716411,-0.676829,-0.753552,-0.873551,-1.023511,-1.060213,-1.189689,-1.245837,-1.303141,-1.280431,-1.21365,-1.127406,-1.089237,-0.999713,-0.913523,-0.910351,-0.98485,-1.071319,-1.166886,-1.226141,-1.277532,-1.304526,-1.260903,-1.199518,-1.065506,-0.943559,-0.823976,-0.753237,1
-0.735751,-0.702296,-0.476694,-0.125091,0.199313,0.598404,0.890837,1.070062,1.294672,1.52426,1.630293,1.655978,1.539486,1.302407,1.029103,0.812323,0.628047,0.31298,-0.00968,-0.342856,-0.536356,-0.676955,-0.647711,-0.479561,-0.251773,0.060317,0.41297,0.769658,1.136276,1.515899,1.731392,1.681064,1.5526,1.617314,1.649619,1.635517,1.735381,1.77606,1.503747,1.143853,0.812637,0.461248,0.094672,-0.234302,-0.539053,-0.66303,-0.713777,-0.859901,-1.035766,-1.203115,-1.276114,-1.304383,-1.401624,-1.466604,-1.364962,-1.187851,-1.071843,-0.96544,-0.859993,-0.709752,-0.767801,-0.861148,-0.979332,-1.122392,-1.260543,-1.414267,-1.489772,-1.416732,-1.226542,-1.097595,-0.941414,-0.721365,-0.637253,1
-0.717619,-0.574121,-0.30584,0.013268,0.326351,0.634466,0.943695,1.194804,1.480966,1.653823,1.582975,1.661453,1.725685,1.532509,1.297795,1.016501,0.776746,0.492086,0.205887,-0.100669,-0.382637,-0.629411,-0.655474,-0.493889,-0.230498,0.067117,0.37848,0.664545,0.962963,1.233578,1.499349,1.659495,1.687425,1.604883,1.5479,1.631787,1.696581,1.546881,1.237402,0.954075,0.695905,0.386531,0.122859,-0.213038,-0.423027,-0.821397,-1.189192,-1.100335,-1.151025,-1.115529,-1.142782,-1.120752,-1.139146,-1.123451,-1.137048,-1.125139,-1.13565,-1.126323,-1.134628,-1.12722,-1.13383,-1.127939,-1.133175,-1.128543,-1.132613,-1.129069,-1.132116,-1.129544,-1.13166,-1.129984,-1.131231,-1.130404,-1.130817,6
-0.529547,-0.448685,-0.222547,0.034037,0.295251,0.617133,0.943816,1.185526,1.459418,1.554987,1.452959,1.516227,1.493538,1.265456,1.014243,0.737127,0.421767,0.118298,-0.162802,-0.425234,-0.563836,-0.528596,-0.338387,-0.083061,0.19017,0.461825,0.733196,1.012123,1.305255,1.552514,1.717776,1.629075,1.51547,1.439042,1.558579,1.687738,1.680344,1.551595,1.342709,1.074444,0.788515,0.459678,0.205128,-0.128629,-0.284899,-0.735614,-1.251428,-1.122374,-1.196815,-1.144431,-1.184755,-1.152106,-1.179397,-1.15609,-1.176297,-1.158588,-1.174227,-1.160342,-1.172711,-1.161673,-1.171526,-1.162742,-1.170551,-1.16364,-1.169716,-1.164424,-1.168974,-1.165132,-1.168294,-1.165789,-1.167654,-1.166417,-1.167033,6
-0.567387,-0.480001,-0.349403,-0.068819,0.199198,0.481635,0.772196,1.092054,1.339017,1.58973,1.64196,1.585517,1.643801,1.461092,1.230813,0.942698,0.671795,0.340227,0.10202,-0.172777,-0.424037,-0.576101,-0.53779,-0.369193,-0.107377,0.16852,0.458471,0.739396,1.013905,1.278666,1.569709,1.71413,1.746579,1.613654,1.613079,1.629726,1.807144,1.64598,1.318636,1.036399,0.758058,0.427976,0.174986,-0.157463,-0.305032,-0.738321,-1.223154,-1.10355,-1.171775,-1.124226,-1.160516,-1.131361,-1.155559,-1.135026,-1.152723,-1.137298,-1.150853,-1.138873,-1.149501,-1.140052,-1.148458,-1.140987,-1.14761,-1.141763,-1.146891,-1.142434,-1.14626,-1.143034,-1.145686,-1.143587,-1.145148,-1.144114,-1.144629,6
-0.625312,-0.528127,-0.272836,0.012207,0.310321,0.627777,0.931019,1.208615,1.495231,1.625012,1.510054,1.58337,1.655442,1.498539,1.270548,1.024447,0.702798,0.432614,0.131601,-0.161435,-0.429201,-0.614001,-0.593403,-0.39447,-0.134132,0.142603,0.438428,0.727547,0.985089,1.271167,1.534121,1.704703,1.71951,1.569927,1.529997,1.549718,1.67462,1.572153,1.287072,0.999824,0.749661,0.427945,0.16633,-0.159239,-0.347145,-0.781226,-1.217659,-1.110856,-1.171986,-1.129134,-1.162047,-1.135437,-1.157657,-1.138694,-1.155126,-1.140731,-1.15344,-1.142159,-1.152207,-1.143241,-1.151244,-1.14411,-1.150452,-1.144839,-1.149773,-1.145476,-1.149171,-1.146051,-1.148619,-1.146585,-1.148099,-1.147095,-1.147595,6
