@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3}

@data
-0.496807,-0.449591,-0.266873,-0.112776,0.081018,0.271877,0.431444,0.511338,0.710615,0.655636,0.699971,0.789562,0.754965,0.638618,0.551713,0.485713,0.41425,0.34248,0.176238,-0.055807,-0.334579,-0.287262,-0.192173,-0.285423,-0.301398,-0.155586,0.041144,0.230852,0.465897,0.708973,0.940319,0.863242,0.755153,0.691278,0.740618,0.772342,0.788011,0.820875,0.868274,0.935224,0.712579,0.425308,0.201698,-0.021026,-0.206576,-0.444005,-0.284188,-0.277688,-0.363449,-0.460455,-0.670949,-0.896391,-1.074054,-1.102944,-0.93203,-0.725365,-0.514189,-0.317282,-0.16391,-0.07952,-0.171706,-0.308065,-0.429149,-0.529379,-0.715216,-0.761501,-0.831684,-0.872287,-0.790115,-0.633346,-0.481476,-0.361586,-0.119419,2
-0.526792,-0.51282,-0.315212,-0.118523,0.091605,0.298798,0.446901,0.58823,0.668787,0.765447,0.787459,0.80645,0.726933,0.728934,0.473612,0.32166,0.211037,0.153114,0.004974,-0.223172,-0.48699,-0.515504,-0.393237,-0.480454,-0.323499,-0.113089,0.097463,0.288619,0.405842,0.685359,0.919719,0.780621,0.773539,0.715164,0.824748,0.825674,0.866643,0.808408,0.678245,0.458205,0.382597,0.518383,0.260462,0.022682,-0.239404,-0.472721,-0.269077,-0.304471,-0.41367,-0.472959,-0.63174,-0.855653,-0.897172,-0.860088,-0.822637,-0.643646,-0.401145,-0.218655,-0.045753,0.031747,0.00046,-0.089107,-0.274756,-0.383875,-0.536187,-0.679679,-0.791407,-0.846481,-0.787898,-0.653583,-0.466711,-0.310608,-0.040145,2
-0.496461,-0.401101,-0.407257,-0.218106,-0.07883,0.092093,0.257753,0.475298,0.663766,0.704372,0.814831,0.791943,0.724941,0.575615,0.447749,0.319353,0.128524,-0.042122,-0.214641,-0.253244,-0.352934,-0.485117,-0.389599,-0.261274,-0.09486,0.106184,0.302218,0.504181,0.723332,0.955852,0.935209,0.885657,0.753014,0.784976,0.792751,0.821251,0.870672,0.908655,0.812405,0.600637,0.38563,0.230568,-0.025696,-0.212352,-0.444509,-0.516155,-0.374182,-0.444639,-0.551925,-0.645658,-0.810735,-0.893446,-0.929507,-0.787204,-0.637089,-0.470175,-0.299113,-0.134117,-0.006373,0.111542,-0.03276,-0.152945,-0.275263,-0.460174,-0.536478,-0.596658,-0.689362,-0.743787,-0.717507,-0.603918,-0.452598,-0.273408,-0.067694,2
-0.759003,-0.609817,-0.426598,-0.228417,-0.009419,0.174083,0.358268,0.474939,0.566601,0.68622,0.776979,0.734051,0.704182,0.62417,0.531812,0.44726,0.322087,0.179996,-0.014268,-0.160748,-0.336021,-0.563816,-0.518162,-0.416312,-0.281899,-0.073843,0.144416,0.363894,0.598261,0.789496,0.909034,0.880072,0.680883,0.659125,0.783318,0.838788,0.876842,0.886291,0.834937,0.681189,0.48175,0.287341,0.039139,-0.138748,-0.286284,-0.575802,-0.172482,-0.21016,-0.334852,-0.464539,-0.638438,-0.742845,-0.898015,-0.996345,-0.811289,-0.603398,-0.429043,-0.227286,-0.055846,0.098014,0.030995,-0.126023,-0.36657,-0.485488,-0.661671,-0.831575,-0.862996,-0.815688,-0.653809,-0.472403,-0.273888,-0.031344,0.120718,2
-0.626905,-0.541914,-0.339218,-0.144878,-0.109156,0.100139,0.303068,0.450007,0.509418,0.67131,0.8372,0.796739,0.83465,0.72388,0.643581,0.475916,0.337097,0.153725,-0.05004,-0.259436,-0.477592,-0.590491,-0.498057,-0.343112,-0.176536,0.022531,0.210169,0.363044,0.310722,0.479667,0.777435,0.958875,1.014412,0.862564,0.871058,0.87262,0.899222,0.907274,0.874979,0.642225,0.501496,0.288072,0.044412,-0.142511,-0.383634,-0.554124,-0.196153,-0.213299,-0.319483,-0.454695,-0.631828,-0.820976,-1.019159,-1.008009,-0.83141,-0.614287,-0.420573,-0.258431,-0.086498,0.035522,-0.029685,-0.148706,-0.304129,-0.442471,-0.575579,-0.750479,-0.779592,-0.818866,-0.713764,-0.559709,-0.395563,-0.172544,0.030461,2
-0.705865,-0.580624,-0.388229,-0.1506,-0.09675,0.054979,0.231172,0.302699,0.419464,0.466201,0.674463,0.866107,0.897968,0.868175,0.760294,0.663144,0.52001,0.37469,0.18576,0.051743,-0.17089,-0.369074,-0.476383,-0.50685,-0.400124,-0.190686,0.027515,0.258472,0.499918,0.740043,0.925933,0.935338,0.800821,0.736202,0.802265,0.856522,0.904961,0.948968,0.848155,0.650868,0.462215,0.227493,-0.018348,-0.209291,-0.421925,-0.662069,-0.209744,-0.191082,-0.293644,-0.453183,-0.619932,-0.796473,-0.952507,-0.943168,-0.858389,-0.66771,-0.466491,-0.2602,-0.095779,-0.070636,-0.125693,-0.237165,-0.442615,-0.578441,-0.704061,-0.795793,-0.808114,-0.742612,-0.59974,-0.436044,-0.287091,-0.031038,0.052493,3
-0.548349,-0.544485,-0.348763,-0.176677,0.02191,0.214678,0.377762,0.51663,0.608247,0.710125,0.744707,0.784869,0.750548,0.670708,0.622159,0.529881,0.421901,0.269932,0.169866,0.012306,-0.187923,-0.382672,-0.405312,-0.418403,-0.27742,-0.095954,0.087808,0.28323,0.491627,0.718002,0.837997,0.804241,0.773571,0.787431,0.791086,0.859524,0.858423,0.880982,0.808338,0.711172,0.496571,0.295286,0.089087,-0.103652,-0.262909,-0.457183,-0.213761,-0.184194,-0.220578,-0.331342,-0.480514,-0.599132,-0.807183,-0.875035,-0.969823,-0.827199,-0.6562,-0.517437,-0.347684,-0.173002,-0.188409,-0.268911,-0.399522,-0.466407,-0.614178,-0.745467,-0.872363,-0.817574,-0.716572,-0.59813,-0.454636,-0.280253,-0.165399,3
-0.724221,-0.616702,-0.434489,-0.286538,-0.072606,0.13733,0.337187,0.465631,0.585141,0.704533,0.688096,0.725467,0.758653,0.71971,0.632756,0.53134,0.410306,0.264934,0.082161,-0.107203,-0.33829,-0.477886,-0.537649,-0.488768,-0.327383,-0.142924,0.064773,0.280754,0.487287,0.723039,0.918429,0.877836,0.840984,0.853276,0.800341,0.849183,0.868588,0.894385,0.862609,0.679811,0.460019,0.267861,-0.010914,-0.220236,-0.384439,-0.613861,-0.232222,-0.20507,-0.329682,-0.436213,-0.584746,-0.774654,-0.944065,-0.946086,-0.815728,-0.667028,-0.477053,-0.282017,-0.11456,0.012713,-0.025055,-0.12573,-0.28541,-0.427054,-0.615306,-0.740057,-0.788907,-0.766169,-0.65703,-0.487799,-0.289349,-0.082285,0.098248,3
-0.683889,-0.701863,-0.479954,-0.28197,-0.077597,0.12917,0.314156,0.451821,0.608448,0.728142,0.794167,0.825126,0.799976,0.695774,0.620191,0.505368,0.378948,0.266238,0.107733,-0.100698,-0.301746,-0.491025,-0.641605,-0.590927,-0.409018,-0.194271,0.036364,0.263094,0.478776,0.692561,0.930935,0.914955,0.859561,0.968502,0.887909,0.864528,0.85423,0.913768,0.845375,0.659514,0.470063,0.238016,0.010339,-0.204203,-0.40765,-0.660576,-0.291463,-0.29185,-0.386302,-0.428301,-0.415508,-0.479305,-0.64137,-0.772896,-0.851551,-0.715848,-0.548641,-0.37426,-0.206514,-0.083959,-0.079751,-0.170242,-0.309905,-0.429889,-0.586407,-0.737187,-0.747361,-0.730012,-0.630751,-0.541903,-0.340677,-0.157389,0.062487,3
-0.837036,-0.643835,-0.476364,-0.26976,-0.061147,0.123474,0.282221,0.414808,0.538212,0.72939,0.898173,0.90449,0.867455,0.770766,0.672159,0.567125,0.441197,0.335028,0.158895,0.091301,0.047787,-0.166929,-0.390745,-0.486782,-0.468235,-0.316756,-0.111919,0.114227,0.341104,0.56997,0.818877,0.921175,0.84062,0.891531,0.888569,0.882421,0.899673,0.88387,0.802731,0.636629,0.48216,0.244688,0.011698,-0.16485,-0.389124,-0.622918,-0.22656,-0.190155,-0.302602,-0.412338,-0.582923,-0.743695,-0.986098,-1.005481,-0.84688,-0.664385,-0.447844,-0.271585,-0.104099,0.008002,-0.046306,-0.12851,-0.343817,-0.506974,-0.673943,-0.799673,-0.840687,-0.793044,-0.686329,-0.563184,-0.370936,-0.175707,0.039727,3
