@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute target {1,2,3,4,5}

@data
0.724425,-1.510417,-2.052739,-2.336957,-2.257082,-1.724244,-1.321543,-0.892134,-0.340218,-0.32546,-0.473555,-0.409204,-0.286626,-0.407259,-0.341933,-0.332584,-0.312694,-0.367857,-0.39535,-0.328267,-0.273031,-0.347015,-0.369135,-0.340181,-0.357006,-0.370993,-0.463845,-0.445456,-0.352328,-0.420015,-0.460936,-0.517842,-0.444397,-0.424638,-0.406455,-0.391982,-0.338521,-0.32386,-0.201279,-0.170763,-0.085729,-0.135575,-0.04407,-0.05926,-0.024227,-0.008805,0.021279,0.004415,0.110768,-0.005371,0.164917,0.136183,0.098613,0.09257,0.125436,0.137125,0.187046,0.207688,0.176327,0.225521,0.199924,0.319577,0.29344,0.302893,0.308328,0.317757,0.341253,0.360762,0.368599,0.347646,0.260898,0.308525,0.297056,0.269611,0.242583,0.245376,0.215491,0.198169,0.212515,0.152206,0.187415,0.240562,0.18871,0.159208,0.153612,0.153111,0.117402,0.172201,0.203469,0.301634,0.481301,0.699951,0.784135,0.914982,1.075518,1.152551,1.062294,1.055919,0.990879,0.80603,0.635549,0.499016,0.231138,0.035338,-0.032035,-0.06996,-0.089709,-0.129948,-0.09861,-0.065172,-0.143902,-0.130107,-0.144866,-0.157957,-0.111223,-0.130183,-0.182521,-0.115663,0.088421,0.597437,0.71959,0.662295,0.569262,0.5375,0.561953,1.179672,0.607716,1
0.026482,-2.444807,-2.469308,-2.523641,-2.139399,-1.5262,-1.015895,-0.746462,-0.127418,-0.110936,-0.098521,0.018627,-0.065244,-0.034567,-0.021818,-0.045092,-0.005705,-0.037238,-0.099492,-0.084777,-0.007285,-0.088653,-0.09737,-0.065173,-0.10013,-0.11433,-0.154693,-0.193011,-0.195999,-0.187405,-0.260743,-0.182761,-0.240286,-0.217503,-0.213257,-0.174456,-0.187793,-0.192158,-0.048013,-0.054753,0.035825,0.03692,0.078437,0.109744,0.101237,0.118634,0.114185,0.121546,-0.001679,0.084646,0.146495,0.055947,0.093293,0.088915,0.092615,0.093684,0.093957,0.093779,0.224727,0.216811,0.118328,0.176418,0.198165,0.204663,0.231929,0.242857,0.198033,0.270742,0.189686,0.264532,0.26624,0.197438,0.20665,0.195398,0.193001,0.137201,0.170885,0.17457,0.150906,0.0874,0.072113,0.060467,0.105901,0.097855,0.110352,0.168974,0.296612,0.388707,0.544472,0.5983,0.673794,0.885985,1.020176,1.1172,1.07506,1.017181,0.873596,0.778326,0.510264,0.339291,0.17415,-0.142257,-0.280319,-0.371687,-0.386702,-0.416323,-0.372667,-0.381207,-0.344684,-0.325641,-0.426439,-0.360938,-0.373743,-0.393902,-0.358218,-0.322911,-0.22435,0.214409,0.630819,0.553812,0.615315,0.69896,0.695296,0.704695,0.904553,1.128523,-0.920741,1
0.331449,-1.220034,-2.044142,-2.475353,-2.199811,-1.597793,-1.218926,-0.912508,-0.311114,-0.288853,-0.373759,-0.282263,-0.352078,-0.398532,-0.347427,-0.309652,-0.354002,-0.415893,-0.261413,-0.34642,-0.325845,-0.346417,-0.355001,-0.383891,-0.371483,-0.355847,-0.318688,-0.384403,-0.318376,-0.497782,-0.712567,-0.446902,-0.345864,-0.47101,-0.410889,-0.392261,-0.331354,-0.341235,-0.319619,-0.082463,-0.22615,-0.155323,-0.106117,0.03869,0.04411,0.035503,0.066206,0.155896,0.112431,0.04402,-0.011142,0.088289,0.107229,0.12506,0.100071,0.164674,0.22104,0.047436,0.077604,0.090682,0.090776,0.222393,0.199315,0.244068,0.264134,0.225548,0.277016,0.445204,0.419167,0.42567,0.223829,0.250369,0.289872,0.258906,0.248232,0.326389,0.259311,0.14043,0.248539,0.249758,0.141547,0.182849,0.216058,0.202673,0.246031,0.332644,0.246652,0.32347,0.463579,0.701868,0.87649,0.952702,1.041777,1.158944,1.115269,1.056288,1.03161,0.898468,0.688782,0.489789,0.280567,0.124259,-0.064582,-0.118926,-0.254998,-0.176597,-0.139392,-0.263832,-0.070529,-0.257102,-0.187526,-0.15048,-0.186153,-0.155259,-0.131934,-0.111923,-0.056189,0.560152,1.167244,0.830501,0.578977,0.449904,0.294404,0.313972,0.769833,1.112614,0.036793,1
1.116612,-0.78355,-1.959985,-2.366297,-2.258622,-1.886461,-1.259453,-1.032119,-0.751756,-0.109858,-0.112832,-0.311827,-0.187803,-0.222064,-0.226808,-0.211416,-0.202966,-0.216345,-0.206456,-0.259927,-0.282703,-0.135667,-0.22513,-0.298805,-0.285392,-0.311617,-0.380547,-0.336506,-0.347539,-0.401234,-0.438268,-0.443942,-0.499803,-0.439121,-0.42534,-0.44205,-0.423359,-0.367908,-0.351151,-0.26912,-0.276844,-0.221995,-0.062501,-0.090319,-0.049617,-0.023374,-0.030395,-0.044906,0.004294,0.079378,0.015785,0.032081,0.041227,0.046892,0.076217,0.079592,0.059283,0.105704,0.230871,0.132435,0.137068,0.160153,0.188874,0.220658,0.248935,0.248836,0.257115,0.339536,0.256057,0.38045,0.354248,0.280095,0.31761,0.292288,0.299425,0.254339,0.321351,0.270072,0.339168,0.267851,0.167883,0.237742,0.224541,0.223267,0.248043,0.289037,0.351345,0.492436,0.5848,0.647051,0.652592,0.855288,0.9767,1.047133,1.045558,0.9587,0.844556,0.856931,0.560116,0.435206,0.306384,0.050028,-0.101393,-0.156278,-0.216178,-0.173653,-0.135301,-0.146283,-0.226411,-0.204793,-0.210427,-0.217983,-0.195619,-0.186355,-0.182041,-0.23304,-0.063498,0.320747,0.544437,0.384584,0.485109,0.561549,0.696358,0.789411,0.911142,1.160396,-0.242618,1
1.061912,-0.107118,-1.005254,-1.980395,-2.135802,-1.75182,-1.293329,-1.101605,-0.467495,-0.16871,-0.359239,-0.44295,-0.343356,-0.327069,-0.322377,-0.334703,-0.401016,-0.430357,-0.400604,-0.390547,-0.315726,-0.408153,-0.44952,-0.484377,-0.519521,-0.528452,-0.59705,-0.63126,-0.667103,-0.603523,-0.615318,-0.706703,-0.633253,-0.633623,-0.632779,-0.594766,-0.532515,-0.499685,-0.352153,-0.333025,-0.250191,-0.247635,-0.160385,-0.08737,-0.083877,-0.053929,0.004233,0.00118,-0.014062,0.052495,-0.013049,0.006834,0.04709,0.036788,0.059069,0.076859,0.105521,0.120201,0.139175,0.040194,0.167639,0.191357,0.203206,0.228913,0.250454,0.266819,0.129745,0.181996,0.318969,0.246559,0.263149,0.298369,0.310032,0.288177,0.29995,0.267268,0.260067,0.276998,0.261582,0.199014,0.177235,0.318969,0.216345,0.199167,0.169738,0.16262,0.129997,0.205072,0.243887,0.357783,0.531181,0.576039,0.680869,0.800556,0.880524,0.890497,0.944318,0.904668,0.830616,0.685578,0.540544,0.434546,0.217774,0.035273,-0.050914,-0.096081,-0.081673,-0.088576,-0.20884,-0.110418,-0.081571,-0.076431,-0.066513,-0.088175,-0.115277,-0.127178,-0.068406,0.121776,0.779924,0.918556,0.758016,0.790208,0.893623,0.851377,0.947744,1.461924,1.354039,1
-0.58786,-2.148544,-2.735199,-2.676976,-2.026094,-1.409146,-1.072756,-0.530978,-0.408011,-0.504944,-0.356205,-0.406479,-0.272319,-0.303517,-0.319913,-0.321189,-0.287072,-0.29892,-0.357263,-0.347416,-0.393666,-0.344545,-0.405613,-0.367018,-0.414261,-0.441922,-0.522981,-0.455396,-0.435504,-0.483528,-0.536908,-0.5169,-0.517663,-0.499747,-0.501762,-0.487752,-0.41549,-0.361017,-0.277267,-0.232505,-0.248575,-0.1497,-0.174021,-0.079835,-0.072054,-0.074509,-0.062162,-0.001387,-0.092317,-0.070243,0.012321,-0.049454,0.001631,0.012945,0.005071,0.030651,0.048179,0.019345,0.105783,0.137773,0.076261,0.15575,0.145891,0.205683,0.219457,0.232975,0.249719,0.283792,0.385249,0.367908,0.377802,0.374411,0.31767,0.293407,0.272667,0.295993,0.263526,0.246145,0.293748,0.173573,0.219999,0.23868,0.180017,0.207203,0.256702,0.255063,0.293463,0.492471,0.568762,0.658473,0.768232,0.8792,1.021515,1.109836,1.095928,1.11945,1.037022,0.810054,0.714268,0.556765,0.418753,0.152119,0.005749,-0.029739,-0.024448,-0.131613,-0.089397,-0.00025,0.029342,0.032511,-0.055502,-0.013049,0.000627,0.009923,0.014592,0.032209,0.192909,0.622645,1.065989,0.941395,0.860612,0.892914,0.905494,1.024451,1.364202,1.240677,-0.495039,1
0.569805,-1.39563,-2.276235,-2.538932,-2.239185,-1.730023,-1.133203,-0.911394,-0.451367,-0.024538,-0.19737,-0.204895,-0.258572,-0.187151,-0.204601,-0.19025,-0.160098,-0.200664,-0.221662,-0.234231,-0.216512,-0.231316,-0.289263,-0.276049,-0.265303,-0.28472,-0.29382,-0.306002,-0.36447,-0.415776,-0.343818,-0.429881,-0.452027,-0.383538,-0.414686,-0.414307,-0.396975,-0.298299,-0.290635,-0.224818,-0.204533,-0.116754,-0.021075,-0.006772,0.017813,0.053256,0.050137,0.027257,0.049501,-0.017479,0.085771,0.038918,0.072093,0.074007,0.102085,0.122242,0.08917,0.105265,0.084028,0.127345,0.091754,0.087687,0.186116,0.201232,0.204125,0.203978,0.204074,0.331038,0.286616,0.335261,0.330009,0.316986,0.3129,0.276717,0.276675,0.249532,0.206697,0.269061,0.157226,0.109837,0.168843,0.094063,0.179402,0.200504,0.214878,0.253862,0.394982,0.45975,0.470987,0.63955,0.699872,0.926435,1.034475,1.0768,1.045736,1.011566,0.913021,0.683375,0.73045,0.483013,0.26804,-0.019711,-0.163256,-0.208117,-0.203232,-0.217272,-0.287389,-0.244379,-0.113822,-0.186399,-0.220968,-0.207727,-0.159449,-0.158552,-0.128518,-0.159694,0.078826,0.288138,0.596036,0.546031,0.59781,0.741118,0.814686,0.861449,0.991604,1.136705,-0.510907,1
1.151501,-0.357758,-1.453318,-2.275745,-2.284302,-1.742824,-1.25299,-1.023464,-0.490855,-0.13316,-0.225963,-0.265221,-0.213795,-0.250679,-0.234992,-0.2346,-0.257287,-0.223509,-0.219541,-0.296275,-0.34702,-0.369579,-0.357602,-0.365583,-0.360098,-0.378232,-0.423642,-0.417774,-0.502476,-0.53578,-0.399207,-0.528073,-0.553881,-0.554474,-0.543429,-0.521485,-0.445064,-0.424832,-0.309857,-0.267573,-0.254251,-0.157325,-0.156016,-0.084124,-0.061239,-0.040085,-0.038322,-0.020713,0.095743,0.009594,-0.019377,-0.074964,0.01111,0.013335,0.012318,0.000317,0.047501,0.111851,0.106939,0.191245,0.072644,0.171632,0.180229,0.191717,0.238941,0.296187,0.326758,0.345395,0.388722,0.343596,0.310365,0.288329,0.300611,0.307662,0.258782,0.238466,0.22203,0.29224,0.212758,0.241354,0.249322,0.210316,0.214198,0.213935,0.244745,0.297403,0.400069,0.411233,0.681634,0.657403,0.701367,0.867616,0.94615,0.996458,1.015577,0.904497,0.785205,0.635409,0.552505,0.358896,0.142218,-0.080576,-0.152469,-0.176082,-0.158933,-0.136875,-0.173896,-0.279687,-0.159903,-0.168649,-0.260734,-0.176669,-0.176602,-0.158734,-0.162905,-0.081247,0.230856,0.728177,0.82326,0.671552,0.860926,0.937332,0.832869,0.879615,0.986436,0.769321,-0.734052,1
1.263834,-0.270068,-1.301544,-2.217482,-2.194293,-1.628739,-1.147406,-0.955176,-0.259786,-0.126638,-0.262755,-0.183292,-0.18327,-0.184972,-0.202774,-0.205479,-0.195338,-0.226307,-0.173052,-0.199301,-0.272928,-0.198465,-0.284991,-0.285042,-0.286933,-0.319418,-0.360624,-0.390215,-0.403407,-0.459357,-0.412542,-0.502516,-0.478645,-0.50136,-0.46163,-0.453779,-0.383668,-0.338017,-0.249487,-0.123801,-0.132702,-0.001428,-0.021811,0.006034,0.022594,0.026763,0.002582,0.054654,0.096752,0.186834,0.059951,0.086104,0.036879,0.060998,0.085341,0.079278,0.055631,0.101078,0.119801,0.206715,0.196416,0.170866,0.280661,0.295472,0.296191,0.338767,0.296986,0.334133,0.379484,0.351228,0.362995,0.378729,0.347643,0.334943,0.306433,0.310524,0.344922,0.297569,0.316238,0.252196,0.218172,0.230412,0.193323,0.196311,0.150154,0.197978,0.208725,0.230531,0.299154,0.355757,0.475865,0.449503,0.490532,0.562541,0.664727,0.538632,0.368788,0.268433,0.267185,0.171305,0.173645,0.159856,0.081241,-0.032303,-0.079234,-0.033609,-0.032292,-0.076215,-0.147273,-0.196196,-0.146219,-0.134968,-0.162242,-0.163436,-0.186491,-0.115241,0.113319,0.646155,0.970206,0.934259,1.158964,1.259471,0.970627,0.636519,0.356795,-0.225971,-1.571173,1
-0.637431,-1.101015,-1.337505,-1.659218,-1.603897,-1.416228,-1.067326,-0.88531,-0.755919,-0.432852,-0.365861,-0.433558,-0.520537,-0.537342,-0.46869,-0.458959,-0.468256,-0.469759,-0.469695,-0.391391,-0.432249,-0.40475,-0.417001,-0.431194,-0.420435,-0.4305,-0.462836,-0.473754,-0.412161,-0.513012,-0.432313,-0.447256,-0.480517,-0.447182,-0.449278,-0.452018,-0.419609,-0.373466,-0.322445,-0.318579,-0.377388,-0.38601,-0.355794,-0.276102,-0.274444,-0.26273,-0.233912,-0.254368,-0.274172,-0.201542,-0.251369,-0.26862,-0.240101,-0.24568,-0.242221,-0.234306,-0.24036,-0.189684,-0.238717,-0.1898,-0.112085,-0.149491,-0.147958,-0.112381,-0.094515,-0.073492,-0.051669,-0.010329,0.00875,-0.017647,-0.008311,0.056874,0.030358,0.055774,0.05586,0.068499,0.072057,0.092912,0.033297,0.098294,0.128587,0.105931,0.13198,0.133572,0.188935,0.243921,0.257461,0.282467,0.374756,0.464621,0.514959,0.607036,0.65063,0.647777,0.605067,0.557137,0.517181,0.424565,0.348095,0.354971,0.127098,0.073546,0.095646,0.145282,0.282719,0.511855,0.591577,0.616224,0.590259,0.571356,0.620061,0.650542,0.675047,0.737661,0.853691,1.000574,1.264868,1.317509,1.200482,1.259595,1.333135,1.364529,1.358937,1.385112,1.398619,1.149668,0.748593,1
