@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3}

@data
-0.272656,-0.254968,-0.174433,-0.018963,0.127588,0.273954,0.411688,0.555421,0.639629,0.684243,0.697196,0.718914,0.645486,0.611963,0.513284,0.34871,0.180313,0.010477,-0.166364,-0.272202,-0.354345,-0.25471,-0.149192,-0.006858,0.133467,0.303337,0.478121,0.65355,0.807394,0.860127,0.772832,0.801945,0.698378,0.691766,0.704048,0.782262,0.814906,0.818168,0.708661,0.594578,0.450798,0.267978,0.079642,-0.068085,-0.166806,-0.290797,-0.342552,-0.402035,-0.470851,-0.572754,-0.682524,-0.790231,-0.893001,-0.886309,-0.768102,-0.65633,-0.544804,-0.446402,-0.361186,-0.303416,-0.365365,-0.440677,-0.51502,-0.585126,-0.659112,-0.67707,-0.722846,-0.730507,-0.68026,-0.598786,-0.525265,-0.442938,-0.326981,2
-0.293903,-0.352874,-0.230945,-0.085979,0.066751,0.249447,0.401994,0.556992,0.678793,0.695556,0.71176,0.768947,0.799212,0.75214,0.622359,0.428899,0.244284,0.072876,-0.061151,-0.177086,-0.306795,-0.366266,-0.297484,-0.154649,0.029793,0.20619,0.381848,0.564526,0.742667,0.845493,0.808912,0.722395,0.708018,0.769027,0.760935,0.794664,0.795294,0.805413,0.67297,0.531612,0.365041,0.214803,0.045101,-0.09424,-0.241247,-0.342332,-0.400598,-0.457373,-0.526742,-0.577489,-0.676062,-0.706479,-0.743533,-0.708359,-0.633133,-0.578558,-0.510022,-0.424045,-0.336843,-0.302366,-0.350763,-0.416629,-0.48574,-0.580178,-0.62278,-0.683832,-0.708602,-0.702304,-0.671031,-0.610556,-0.535507,-0.490222,-0.370015,2
-0.433059,-0.379118,-0.258204,-0.080847,0.106882,0.277397,0.445828,0.545013,0.617515,0.658993,0.681781,0.734453,0.752443,0.610296,0.429417,0.229117,0.037199,-0.114176,-0.248762,-0.358387,-0.385491,-0.301889,-0.199287,-0.024039,0.137961,0.32051,0.51101,0.706768,0.903419,0.990956,0.875177,0.906753,0.842806,0.701651,0.708362,0.68905,0.767568,0.811148,0.718884,0.573945,0.385487,0.246104,0.060247,-0.087234,-0.245419,-0.38277,-0.312213,-0.342972,-0.401287,-0.497113,-0.619143,-0.719216,-0.839931,-0.834697,-0.742532,-0.670591,-0.54842,-0.450358,-0.345458,-0.271183,-0.300425,-0.387414,-0.463009,-0.535837,-0.632837,-0.719832,-0.759802,-0.743801,-0.673666,-0.590537,-0.482446,-0.365627,-0.235116,2
-0.415653,-0.395046,-0.246166,-0.080576,0.080753,0.252518,0.414,0.542209,0.612135,0.632349,0.719931,0.797322,0.761485,0.703033,0.560494,0.375629,0.206177,0.017312,-0.156131,-0.318424,-0.388175,-0.308531,-0.178405,-0.014114,0.149366,0.331188,0.503748,0.687015,0.836121,0.81653,0.727266,0.718813,0.680031,0.648248,0.692079,0.827106,0.877435,0.844202,0.751228,0.561015,0.381916,0.244297,0.075657,-0.102474,-0.260694,-0.377391,-0.297768,-0.311301,-0.386612,-0.494261,-0.574613,-0.687629,-0.7547,-0.794499,-0.807623,-0.703237,-0.585873,-0.485275,-0.429438,-0.46669,-0.493767,-0.572132,-0.626496,-0.688389,-0.675371,-0.659593,-0.627456,-0.619428,-0.584428,-0.513082,-0.446746,-0.298196,-0.20222,2
-0.525312,-0.513892,-0.373358,-0.219575,-0.017435,0.198976,0.415341,0.605588,0.741742,0.682046,0.679235,0.730268,0.76995,0.824582,0.774413,0.638874,0.472914,0.288008,0.095789,-0.097074,-0.282914,-0.467714,-0.497288,-0.401703,-0.285234,-0.146814,0.03398,0.227328,0.433733,0.647157,0.883644,0.93953,0.849616,0.806091,0.788119,0.796136,0.825155,0.848449,0.763372,0.570087,0.400291,0.223572,0.001671,-0.178115,-0.327391,-0.511179,-0.33008,-0.344526,-0.413683,-0.52902,-0.6811,-0.797186,-0.826433,-0.804129,-0.69054,-0.536726,-0.434685,-0.32095,-0.236699,-0.230133,-0.267443,-0.355858,-0.36933,-0.513526,-0.626614,-0.697843,-0.69081,-0.666731,-0.587288,-0.463872,-0.326739,-0.208647,-0.160069,3
-0.664602,-0.629123,-0.492499,-0.286731,-0.053174,0.171637,0.388574,0.565031,0.702463,0.678989,0.704869,0.771708,0.861966,0.796758,0.675296,0.500394,0.314641,0.12364,-0.06684,-0.271135,-0.455981,-0.549607,-0.51897,-0.344762,-0.164559,0.032341,0.231752,0.446107,0.664756,0.838051,0.984847,0.952508,0.817638,0.794844,0.775971,0.778721,0.827626,0.808485,0.66069,0.493402,0.316251,0.130268,-0.046983,-0.221857,-0.383228,-0.590732,-0.308135,-0.310153,-0.390589,-0.51339,-0.574371,-0.67311,-0.745141,-0.724873,-0.683657,-0.552018,-0.413416,-0.316489,-0.225405,-0.20695,-0.200923,-0.276747,-0.383257,-0.519273,-0.623974,-0.646821,-0.669219,-0.609684,-0.545653,-0.429463,-0.282523,-0.160193,-0.084013,3
-0.517641,-0.434636,-0.384009,-0.206457,-0.02307,0.173244,0.366749,0.553135,0.781354,0.761549,0.677247,0.67686,0.744034,0.796326,0.795277,0.666742,0.498503,0.318295,0.107035,-0.057063,-0.254615,-0.408172,-0.406938,-0.390466,-0.25454,-0.103593,0.06687,0.247908,0.41673,0.627608,0.859465,0.900581,0.823809,0.791931,0.785685,0.812044,0.807057,0.828563,0.750045,0.573948,0.390579,0.226048,0.016129,-0.156501,-0.284063,-0.469233,-0.293428,-0.348694,-0.413297,-0.530311,-0.67573,-0.810965,-0.910867,-0.839313,-0.702695,-0.568415,-0.448287,-0.333105,-0.227336,-0.195087,-0.24073,-0.320993,-0.466878,-0.579328,-0.692021,-0.754689,-0.748602,-0.695797,-0.60611,-0.495457,-0.348915,-0.199602,-0.043699,3
-0.508179,-0.433901,-0.349888,-0.179702,0.003921,0.197528,0.381692,0.554487,0.737859,0.76583,0.701256,0.733188,0.824336,0.872462,0.758347,0.642847,0.482244,0.306429,0.128161,-0.064623,-0.252704,-0.361717,-0.41216,-0.36243,-0.231063,-0.066178,0.109382,0.295407,0.473043,0.679044,0.8224,0.841542,0.783855,0.801129,0.803722,0.835532,0.81905,0.815401,0.73315,0.556499,0.380099,0.201562,0.022873,-0.152572,-0.301427,-0.446899,-0.288048,-0.307877,-0.381712,-0.498351,-0.600972,-0.748206,-0.868776,-0.927372,-0.764567,-0.625167,-0.499072,-0.38206,-0.275061,-0.219712,-0.27946,-0.394666,-0.527608,-0.638932,-0.696447,-0.750167,-0.733971,-0.680726,-0.607078,-0.509581,-0.383192,-0.242624,-0.109431,3
-0.611841,-0.515372,-0.359459,-0.18421,0.017022,0.229446,0.427536,0.600596,0.731957,0.716398,0.732722,0.814774,0.846599,0.796116,0.66921,0.510822,0.327632,0.137781,-0.053213,-0.247947,-0.436793,-0.507425,-0.464529,-0.35356,-0.205925,-0.030351,0.159289,0.347529,0.538901,0.734666,0.923157,0.951799,0.756984,0.800169,0.886703,0.816431,0.798891,0.817709,0.700671,0.540886,0.380324,0.18932,0.012593,-0.166221,-0.325817,-0.502514,-0.282946,-0.204291,-0.228994,-0.294362,-0.375132,-0.506346,-0.601767,-0.65083,-0.7682,-0.775653,-0.71469,-0.602114,-0.480853,-0.366377,-0.246877,-0.261353,-0.353208,-0.408567,-0.523294,-0.589373,-0.706044,-0.721605,-0.657403,-0.572029,-0.445369,-0.367677,-0.244098,3
-0.142293,-0.231443,-0.135496,-0.027766,0.150875,0.279218,0.436356,0.547008,0.58809,0.627142,0.632305,0.651416,0.631896,0.56984,0.414851,0.267795,0.114549,-0.045092,-0.17825,-0.293469,-0.266695,-0.16047,-0.025142,0.074974,0.228787,0.395934,0.564303,0.732123,0.848535,0.913075,0.908211,0.755373,0.688648,0.643223,0.657605,0.702661,0.754222,0.791105,0.734179,0.638225,0.459699,0.29856,0.140253,-0.0037,-0.13595,-0.210079,-0.349522,-0.418629,-0.48264,-0.569498,-0.666272,-0.751073,-0.815965,-0.789312,-0.694117,-0.68159,-0.592819,-0.504695,-0.433884,-0.432506,-0.459774,-0.515721,-0.539971,-0.639432,-0.680766,-0.759554,-0.756028,-0.746861,-0.684352,-0.620017,-0.569511,-0.46478,-0.365903,1
