@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.170595,-0.197905,-0.101857,0.02454,0.192718,0.346244,0.482555,0.605198,0.753759,0.800144,0.783726,0.816411,0.818287,0.762686,0.630751,0.461934,0.310594,0.143627,-0.017049,-0.176741,-0.258459,-0.271357,-0.219302,-0.116286,0.002236,0.133252,0.276485,0.421679,0.574422,0.730957,0.849955,0.778795,0.737448,0.774822,0.792524,0.761288,0.741609,0.721807,0.633963,0.512984,0.360378,0.229697,0.082779,-0.060934,-0.177272,-0.199285,-0.513087,-0.558152,-0.574765,-0.582548,-0.586658,-0.589,-0.590415,-0.591319,-0.591936,-0.592398,-0.592784,-0.593149,-0.593531,-0.593965,-0.594481,-0.595112,-0.595898,-0.596892,-0.598163,-0.599811,-0.601987,-0.604923,-0.609002,-0.61489,-0.623845,-0.638553,-0.665949,6
-0.072793,-0.177895,-0.103388,0.035251,0.185459,0.339024,0.492016,0.630239,0.755655,0.72442,0.681639,0.693556,0.754606,0.845094,0.780705,0.663982,0.523545,0.377847,0.230488,0.039822,-0.126863,-0.214646,-0.229492,-0.201576,-0.108321,0.010867,0.148621,0.297084,0.446134,0.599134,0.736679,0.736346,0.635685,0.627989,0.683745,0.71183,0.707282,0.716814,0.696354,0.57476,0.443209,0.299847,0.152581,0.011435,-0.118082,-0.153475,-0.518164,-0.570835,-0.590234,-0.599239,-0.603894,-0.606438,-0.607866,-0.608673,-0.609126,-0.60938,-0.60953,-0.60964,-0.609755,-0.609911,-0.610142,-0.610482,-0.610973,-0.611667,-0.612634,-0.613975,-0.615842,-0.61847,-0.622246,-0.627846,-0.63655,-0.651099,-0.678607,6
-0.093066,-0.136243,-0.044903,0.08582,0.209803,0.352507,0.472683,0.59267,0.724222,0.678066,0.674244,0.691199,0.763565,0.782078,0.671417,0.548493,0.410603,0.278455,0.122697,-0.036579,-0.173348,-0.267719,-0.195242,-0.096643,0.018999,0.163382,0.301002,0.450834,0.592959,0.743283,0.780133,0.743919,0.754157,0.698439,0.709544,0.69795,0.713599,0.715297,0.64366,0.504973,0.384861,0.240937,0.112586,-0.024359,-0.124201,-0.142586,-0.516762,-0.571156,-0.591561,-0.601319,-0.606597,-0.609687,-0.611609,-0.612877,-0.613769,-0.614448,-0.615017,-0.615546,-0.616086,-0.616679,-0.617365,-0.618186,-0.619191,-0.620444,-0.622029,-0.624066,-0.626731,-0.6303,-0.635217,-0.642257,-0.652878,-0.670181,-0.702193,6
-0.033893,-0.149637,-0.105838,0.019408,0.18086,0.334586,0.491284,0.617786,0.762188,0.747632,0.724459,0.673791,0.72555,0.805391,0.733264,0.59976,0.461324,0.325882,0.151853,-0.012697,-0.112902,-0.218083,-0.251108,-0.180508,-0.07731,0.051023,0.197282,0.350454,0.50688,0.668232,0.763396,0.689018,0.644842,0.687857,0.761711,0.7313,0.707029,0.721364,0.667146,0.53283,0.393585,0.270142,0.125878,-0.014614,-0.097189,-0.124754,-0.509147,-0.565101,-0.58604,-0.595986,-0.60129,-0.604316,-0.60612,-0.607228,-0.607929,-0.60839,-0.608716,-0.608975,-0.609219,-0.609485,-0.609811,-0.610232,-0.61079,-0.611538,-0.612547,-0.613917,-0.6158,-0.618427,-0.622185,-0.627745,-0.636386,-0.65085,-0.678289,6
-0.133635,-0.166264,-0.068055,0.069116,0.216758,0.3583,0.497166,0.63474,0.77851,0.781441,0.726147,0.769802,0.825312,0.806064,0.700249,0.578612,0.430236,0.29378,0.149569,-0.024614,-0.158332,-0.308797,-0.296766,-0.216478,-0.099629,0.034958,0.18302,0.334667,0.481351,0.640349,0.759685,0.673066,0.642167,0.717165,0.798181,0.778105,0.748132,0.743748,0.68001,0.527903,0.390594,0.242681,0.106803,-0.039041,-0.149878,-0.182026,-0.515265,-0.563259,-0.58093,-0.589163,-0.593462,-0.595863,-0.597265,-0.598116,-0.598658,-0.599031,-0.599322,-0.599589,-0.599874,-0.600213,-0.60064,-0.601191,-0.601907,-0.602846,-0.604081,-0.605722,-0.607929,-0.610951,-0.615197,-0.621382,-0.630851,-0.646475,-0.675684,6
-0.086439,-0.132124,-0.058548,0.067433,0.213267,0.361924,0.510343,0.671156,0.757389,0.697524,0.637763,0.680184,0.779013,0.781342,0.677001,0.540844,0.385371,0.235136,0.06333,-0.09901,-0.194201,-0.208714,-0.175755,-0.087492,0.018351,0.139881,0.274933,0.417988,0.564512,0.670798,0.758095,0.75383,0.697133,0.706604,0.711768,0.717025,0.709511,0.715868,0.659263,0.525212,0.39645,0.260023,0.114019,-0.005607,-0.112536,-0.138547,-0.512869,-0.567455,-0.587961,-0.597778,-0.60309,-0.606197,-0.608124,-0.609385,-0.61026,-0.610913,-0.611445,-0.611926,-0.612405,-0.612924,-0.613521,-0.614234,-0.61511,-0.616206,-0.617603,-0.619411,-0.621796,-0.625017,-0.629494,-0.635963,-0.645818,-0.662037,-0.692369,6
-0.146759,-0.186901,-0.105605,0.030987,0.186527,0.331046,0.474281,0.596817,0.743086,0.736963,0.775229,0.76607,0.7964,0.761494,0.672026,0.52598,0.365643,0.211212,0.054765,-0.074248,-0.241662,-0.273219,-0.24124,-0.144494,-0.023883,0.117835,0.260539,0.404709,0.498551,0.649961,0.805923,0.765885,0.695235,0.735488,0.780383,0.793725,0.756528,0.747421,0.664001,0.568727,0.40985,0.249621,0.114095,-0.022349,-0.154246,-0.176916,-0.513349,-0.561855,-0.57982,-0.58828,-0.592773,-0.595348,-0.596912,-0.597914,-0.598599,-0.599107,-0.599527,-0.599915,-0.600316,-0.600764,-0.601292,-0.601935,-0.602734,-0.603741,-0.605029,-0.606699,-0.608904,-0.61188,-0.616014,-0.621982,-0.63106,-0.645969,-0.673762,6
-0.079284,-0.121921,-0.083875,0.04883,0.198623,0.343086,0.475573,0.614749,0.766332,0.752347,0.679312,0.678098,0.760552,0.750513,0.666888,0.537533,0.402978,0.260881,0.088192,-0.091094,-0.19054,-0.255208,-0.195069,-0.131702,-0.018907,0.112837,0.254563,0.400284,0.545279,0.648491,0.797553,0.867293,0.706362,0.684285,0.706391,0.709444,0.718407,0.729113,0.699719,0.580412,0.447125,0.29252,0.149824,0.011797,-0.098757,-0.129435,-0.516536,-0.572767,-0.593727,-0.603638,-0.608904,-0.611903,-0.613695,-0.61481,-0.615534,-0.616036,-0.61642,-0.616755,-0.617092,-0.617471,-0.617931,-0.618509,-0.619253,-0.620219,-0.621486,-0.623165,-0.62542,-0.628508,-0.632847,-0.639168,-0.648854,-0.66486,-0.694887,6
-0.145617,-0.199007,-0.124083,0.001794,0.155417,0.313435,0.471436,0.606546,0.741311,0.794039,0.734013,0.750716,0.79101,0.820813,0.708556,0.574788,0.425289,0.266271,0.108023,-0.028737,-0.130344,-0.266784,-0.311189,-0.191958,-0.084308,0.068477,0.222737,0.373751,0.516748,0.666446,0.794833,0.742103,0.678796,0.735892,0.764794,0.741322,0.746005,0.723345,0.647748,0.515678,0.38353,0.241633,0.095756,-0.044573,-0.156579,-0.209545,-0.516521,-0.560808,-0.576982,-0.584403,-0.588182,-0.590209,-0.591319,-0.591923,-0.592244,-0.59241,-0.592497,-0.592559,-0.592632,-0.592745,-0.592928,-0.593209,-0.593623,-0.594216,-0.59505,-0.596215,-0.597846,-0.600154,-0.603488,-0.608459,-0.616233,-0.629305,-0.654172,6
-0.098986,-0.178843,-0.096476,0.036257,0.190739,0.352274,0.490144,0.612638,0.781041,0.724217,0.702043,0.759758,0.81798,0.784886,0.673288,0.527637,0.389052,0.234352,0.085463,-0.049051,-0.194869,-0.246828,-0.231279,-0.14288,-0.020866,0.121382,0.272487,0.428345,0.579443,0.704636,0.737362,0.639967,0.630973,0.750755,0.792471,0.736417,0.708186,0.732365,0.699363,0.548759,0.413126,0.257783,0.116008,-0.017521,-0.122116,-0.157525,-0.517982,-0.569988,-0.589148,-0.598061,-0.60269,-0.605245,-0.606705,-0.607559,-0.608069,-0.608387,-0.608607,-0.608793,-0.608989,-0.609231,-0.609554,-0.609992,-0.610588,-0.611395,-0.612485,-0.613962,-0.61598,-0.61878,-0.622756,-0.628596,-0.637602,-0.652554,-0.68066,6
