@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute target {1,2,3,4,5,6,7}

@data
1.455513,1.292078,1.142121,1.049049,0.923816,0.795147,0.666064,0.53846,0.408694,0.280329,0.151301,0.019749,-0.119019,-0.164416,-0.272135,-0.389899,-0.497842,-0.59182,-0.661366,-0.72416,-0.769132,-0.797656,-0.781785,-0.708961,-0.666136,-0.707041,-0.750637,-0.816852,-0.822851,-0.756904,-0.693409,-0.606021,-0.508241,-0.404731,-0.290581,-0.168591,-0.040511,0.081517,0.205049,0.304381,0.372515,0.462903,0.51855,0.502051,0.423068,0.34149,0.259994,0.165776,0.088345,0.014528,-0.055129,-0.12531,-0.189787,-0.241838,-0.29269,-0.345104,-0.383278,-0.260596,-0.123782,0.006199,0.136652,0.267404,0.400121,0.535403,0.658425,0.678864,0.687553,0.706789,0.610137,0.50009,0.373555,0.246317,0.119392,-0.01172,-0.143558,-0.283228,-0.350315,-0.30647,-0.257619,-0.198242,-0.14122,-0.072204,0.011652,0.086451,0.155119,0.239318,0.319495,0.398546,0.441744,0.401249,0.319401,0.240204,0.161694,0.021062,-0.096684,-0.212075,-0.317988,-0.428089,-0.525057,-0.626736,-0.708747,-0.765123,-0.833627,-0.789556,-0.723555,-0.668707,-0.638665,-0.715487,-0.750212,-0.72924,-0.690622,-0.64115,-0.574377,-0.496888,-0.383903,-0.267129,-0.154752,-0.069665,0.057211,0.183179,0.310295,0.438757,0.562841,0.689752,0.818648,0.948988,1.081626,1.21813,1.35903,1.447041,1
1.503975,1.296215,1.118897,0.951253,0.786212,0.623323,0.460283,0.295921,0.127611,-0.053146,-0.114047,-0.064675,-0.223273,-0.36733,-0.506331,-0.634617,-0.749039,-0.855602,-0.941671,-0.908077,-0.78123,-0.649102,-0.512222,-0.3741,-0.232282,-0.089413,0.058465,0.203809,0.352016,0.500764,0.638597,0.699286,0.701051,0.578557,0.432059,0.279675,0.125231,-0.032105,-0.190346,-0.346366,-0.502555,-0.658798,-0.817449,-0.974858,-1.132131,-1.258529,-1.094015,-0.880055,-0.672729,-0.473773,-0.277452,-0.156971,-0.014841,0.021372,0.087768,0.161045,0.292094,0.28865,0.336548,0.246741,0.139604,0.03242,-0.065463,-0.13663,-0.013235,0.1738,0.379517,0.234163,0.06804,-0.071498,-0.059497,-0.129852,-0.178014,-0.083664,0.057362,0.271414,0.49779,0.428659,0.318198,0.368658,0.370808,0.235689,0.079404,-0.101339,-0.28018,-0.458945,-0.624649,-0.747513,-0.811239,-0.750435,-0.629153,-0.491049,-0.345385,-0.195438,-0.042415,0.109101,0.26344,0.419771,0.57476,0.714859,0.670129,0.613305,0.468766,0.30346,0.145489,-0.00987,-0.162444,-0.31152,-0.457502,-0.595195,-0.681322,-0.628226,-0.572777,-0.508768,-0.422263,-0.325157,-0.220548,-0.110345,-0.068839,-0.127294,0.058975,0.231267,0.391446,0.546103,0.704367,0.861736,1.021547,1.183861,1.350627,1.500839,4
1.581627,1.443247,1.296412,1.158611,1.024493,0.892449,0.761525,0.631321,0.501376,0.370751,0.245154,0.13063,0.032711,-0.077585,-0.195166,-0.313816,-0.429201,-0.543161,-0.660411,-0.77929,-0.844433,-0.864967,-0.848671,-0.823161,-0.774244,-0.70022,-0.614968,-0.531541,-0.418234,-0.29838,-0.169427,-0.050294,0.033649,0.081261,0.118785,0.123961,0.007606,-0.0911,-0.185455,-0.274068,-0.35621,-0.427455,-0.482385,-0.475398,-0.39876,-0.257369,-0.087168,0.06703,0.239287,0.34483,0.424853,0.441843,0.420532,0.403191,0.393325,0.388783,0.389939,0.29939,0.167109,0.033199,-0.107653,-0.212131,-0.253995,-0.365886,-0.191085,-0.297493,-0.323428,-0.236512,-0.284107,-0.161775,-0.036596,0.095569,0.226674,0.362735,0.339124,0.344542,0.353369,0.367457,0.378496,0.376767,0.305263,0.196097,0.042729,-0.122603,-0.27803,-0.319215,-0.389317,-0.445588,-0.379788,-0.300898,-0.215149,-0.12043,-0.016155,0.090695,0.070612,0.002796,-0.038959,-0.130454,-0.242886,-0.355103,-0.47223,-0.566509,-0.648571,-0.719924,-0.783482,-0.829517,-0.851035,-0.852854,-0.830496,-0.768522,-0.665295,-0.561675,-0.444895,-0.335558,-0.223216,-0.11565,-0.006729,0.090368,0.189423,0.29048,0.408387,0.537506,0.663781,0.792837,0.920294,1.04911,1.179967,1.313338,1.453273,1.583362,6
0.559481,0.409072,0.276041,0.150268,0.03134,-0.082387,-0.189661,-0.289948,-0.419426,-0.556324,-0.689781,-0.813909,-0.923424,-1.010606,-1.014057,-0.916008,-0.785262,-0.665792,-0.531607,-0.396379,-0.253262,-0.095432,-0.050327,0.006438,0.017274,0.103322,0.07879,0.041784,-0.003313,-0.045841,-0.102197,-0.173565,-0.237239,-0.299156,-0.352115,-0.387091,-0.407646,-0.415197,-0.426339,-0.434247,-0.40382,-0.29361,-0.176989,-0.058648,0.056511,0.198575,0.300214,0.421366,0.541267,0.633974,0.669956,0.779529,0.898344,1.019715,1.138889,1.264021,1.396746,1.51307,1.362514,1.197162,1.0396,0.891052,0.752285,0.665078,0.666684,0.5283,0.377779,0.238461,0.10549,-0.024125,-0.151291,-0.273834,-0.359905,-0.394889,-0.404747,-0.400035,-0.393142,-0.372167,-0.335314,-0.285163,-0.22683,-0.158967,-0.091336,-0.040935,-0.004232,0.036369,-0.081504,-0.055607,-0.073874,-0.119334,-0.152446,-0.239645,-0.366889,-0.487776,-0.6078,-0.725309,-0.839428,-0.945139,-1.013222,-0.995478,-0.932077,-0.84976,-0.752703,-0.651009,-0.537953,-0.41254,-0.294221,-0.188997,-0.082257,0.032704,0.133489,0.259486,0.419971,0.498868,0.438767,0.389239,0.352381,0.360673,0.467162,0.459991,0.619729,0.753968,0.639971,0.490121,0.35351,0.340055,0.375173,0.432003,0.494885,0.543577,5
1.550044,1.341196,1.159097,0.987734,0.820802,0.67208,0.54795,0.426149,0.27981,0.080805,0.039601,0.076136,0.071779,-0.078965,-0.242066,-0.399376,-0.546256,-0.670587,-0.783116,-0.873161,-0.925073,-0.95218,-0.908453,-0.811885,-0.794939,-0.829773,-0.886171,-0.830347,-0.703997,-0.565621,-0.438313,-0.34235,-0.247119,-0.206826,-0.070676,0.077884,-0.00708,0.14267,0.21913,0.301929,0.340666,0.406727,0.470723,0.488899,0.356904,0.226117,0.057993,0.156752,0.360055,0.340674,0.220574,0.085011,-0.044564,-0.162136,-0.257422,-0.35254,-0.435206,-0.509811,-0.592912,-0.443662,-0.328556,-0.20788,-0.059351,0.039715,-0.015661,0.091382,0.253808,0.43152,0.584077,0.693806,0.625794,0.495475,0.343894,0.182633,0.043102,-0.095184,-0.226632,-0.35462,-0.471567,-0.429462,-0.351984,-0.260892,-0.160966,-0.016499,0.118551,0.282282,0.4228,0.363888,0.377198,0.489823,0.597287,0.486195,0.405359,0.334735,0.249789,0.208169,0.142571,0.028561,-0.060225,-0.196872,-0.244351,-0.281068,-0.387477,-0.565588,-0.686331,-0.776079,-0.792032,-0.779378,-0.869253,-0.886326,-0.857205,-0.784898,-0.69098,-0.603301,-0.435374,-0.271366,-0.113675,0.027811,0.025874,0.041226,0.216692,0.382025,0.472775,0.599712,0.727776,0.873592,1.042877,1.219581,1.40457,1.540803,2
1.557503,1.406259,1.270384,1.13953,1.011694,0.885397,0.759002,0.634572,0.50755,0.379669,0.25913,0.159666,0.060412,-0.030536,-0.130506,-0.237995,-0.347963,-0.45675,-0.562896,-0.673773,-0.775065,-0.889152,-0.915414,-0.918617,-0.902841,-0.857091,-0.803622,-0.721166,-0.63396,-0.560275,-0.440519,-0.328774,-0.212941,-0.099904,-0.020495,0.017448,0.094761,0.128779,0.057672,-0.057605,-0.146668,-0.235136,-0.31848,-0.396892,-0.469686,-0.479226,-0.364387,-0.250419,-0.074274,0.079867,0.219308,0.318765,0.366778,0.358834,0.340779,0.326029,0.316696,0.318546,0.309497,0.179043,0.046461,-0.090007,-0.208531,-0.263838,-0.167692,-0.356875,-0.271536,-0.211354,-0.292599,-0.210717,-0.177826,-0.077583,0.060967,0.197658,0.332534,0.421534,0.413092,0.414864,0.427453,0.444015,0.445858,0.363373,0.266412,0.117235,-0.063243,-0.22779,-0.264965,-0.334234,-0.353842,-0.293174,-0.21655,-0.131443,-0.03481,0.079127,0.150635,0.097983,0.037243,0.017287,-0.076346,-0.199219,-0.321971,-0.441084,-0.547872,-0.645597,-0.729811,-0.789342,-0.832805,-0.852866,-0.839849,-0.800606,-0.690287,-0.589804,-0.480363,-0.36926,-0.260775,-0.149361,-0.037341,0.0679,0.172306,0.273522,0.404125,0.533318,0.662355,0.792013,0.92277,1.055116,1.18976,1.32817,1.471981,1.545562,6
1.542023,1.399753,1.261749,1.130991,1.003473,0.877729,0.753006,0.628972,0.504756,0.380703,0.257193,0.146151,0.041628,-0.056233,-0.163157,-0.273926,-0.386108,-0.489568,-0.597005,-0.71006,-0.813985,-0.903732,-0.919949,-0.91593,-0.887099,-0.837707,-0.756934,-0.659384,-0.565459,-0.459817,-0.337948,-0.209926,-0.088512,0.002509,0.062307,0.117678,0.157125,0.068479,-0.038602,-0.132066,-0.213293,-0.294924,-0.371532,-0.441638,-0.508199,-0.443592,-0.340976,-0.203842,-0.019096,0.111537,0.256202,0.34975,0.392022,0.374214,0.354718,0.34916,0.339513,0.338106,0.311129,0.21807,0.097005,-0.032478,-0.148574,-0.238992,-0.160534,-0.321132,-0.167191,-0.225421,-0.161973,-0.16417,-0.044333,0.097633,0.223504,0.35853,0.360857,0.364634,0.362475,0.376317,0.390493,0.388466,0.321768,0.227167,0.073331,-0.090438,-0.192772,-0.231054,-0.315113,-0.351865,-0.291207,-0.212596,-0.125251,-0.030451,0.070642,0.113575,0.055128,0.020754,-0.050321,-0.150653,-0.272556,-0.393116,-0.503237,-0.597458,-0.680006,-0.757813,-0.817899,-0.851963,-0.865005,-0.858705,-0.814824,-0.722158,-0.623685,-0.519764,-0.420722,-0.3182,-0.205661,-0.10173,-0.000571,0.095086,0.193795,0.302718,0.424303,0.547178,0.670234,0.794005,0.918853,1.044088,1.171715,1.302208,1.437378,1.537309,6
1.442731,1.27682,1.137143,1.015815,0.886219,0.761517,0.63987,0.517937,0.395338,0.28869,0.166314,0.045011,-0.084136,-0.171196,-0.248505,-0.355162,-0.448998,-0.537884,-0.62026,-0.680611,-0.718225,-0.747435,-0.71255,-0.641217,-0.559872,-0.582223,-0.633061,-0.675401,-0.724135,-0.704113,-0.662635,-0.61842,-0.524626,-0.415241,-0.295539,-0.166896,-0.032225,0.09776,0.172892,0.23207,0.322909,0.370954,0.344088,0.268793,0.187723,0.110469,0.02759,-0.050188,-0.113713,-0.180079,-0.236223,-0.282074,-0.312386,-0.262049,-0.162575,-0.06797,0.031008,0.13587,0.244868,0.345692,0.42516,0.451516,0.438603,0.538175,0.654375,0.782144,0.838344,0.893572,0.774741,0.647556,0.522402,0.399658,0.279713,0.160567,0.043207,-0.072284,-0.186997,-0.309632,-0.333102,-0.31154,-0.278139,-0.237256,-0.189173,-0.125914,-0.062777,-0.000809,0.064035,0.118005,0.11538,0.048816,-0.021441,-0.135475,-0.232635,-0.329511,-0.407677,-0.495047,-0.57628,-0.647009,-0.712495,-0.766218,-0.807572,-0.823245,-0.750153,-0.670781,-0.601415,-0.577425,-0.675085,-0.712829,-0.693858,-0.654825,-0.606014,-0.539861,-0.425761,-0.304263,-0.195445,-0.101138,-0.018173,0.094581,0.211994,0.322061,0.43464,0.5419,0.662758,0.778635,0.895631,1.014062,1.134462,1.255211,1.379594,1.429486,1
1.480776,1.257826,1.06842,0.892202,0.729133,0.594606,0.490188,0.388635,0.313018,0.117321,0.029083,-0.019551,0.002792,-0.058435,-0.191886,-0.291639,-0.177654,-0.181561,-0.321276,-0.508962,-0.603604,-0.714509,-0.783044,-0.815313,-0.803034,-0.704341,-0.559511,-0.561233,-0.6529,-0.720179,-0.73572,-0.62847,-0.51051,-0.404444,-0.346569,-0.321812,-0.123287,0.059064,0.016358,0.133215,0.213103,0.263991,0.32815,0.389239,0.3984,0.193086,0.037673,0.192877,0.182505,0.047217,-0.126131,-0.250577,-0.358422,-0.45555,-0.537154,-0.420208,-0.329089,-0.18865,-0.0333,0.118766,0.163041,0.289806,0.43821,0.589424,0.744468,0.910691,1.068504,1.192338,1.044084,0.8715,0.700605,0.5348,0.36801,0.208621,0.132779,-0.045033,-0.200502,-0.350038,-0.441863,-0.396431,-0.314414,-0.170991,0.015538,0.219657,0.057768,-0.069925,0.079682,0.056896,0.134558,0.221335,0.184135,0.121218,0.053485,0.060084,-0.023368,-0.195342,-0.167899,-0.267704,-0.357143,-0.344361,-0.460259,-0.593306,-0.725287,-0.815206,-0.894452,-0.845721,-0.805644,-0.828888,-0.892932,-0.874887,-0.835293,-0.773832,-0.699334,-0.557051,-0.398223,-0.224611,-0.085226,-0.011861,0.012649,0.187624,0.303626,0.39224,0.487824,0.594261,0.726048,0.887294,1.051163,1.215618,1.386167,1.46216,2
1.561773,1.389595,1.23341,1.086264,0.941507,0.799223,0.656771,0.513818,0.361923,0.279092,0.187289,0.108185,-0.025148,-0.156937,-0.287423,-0.416635,-0.544403,-0.674432,-0.771302,-0.78184,-0.7897,-0.793875,-0.767503,-0.724447,-0.665489,-0.594463,-0.517327,-0.42832,-0.325141,-0.216735,-0.105169,0.01449,0.066853,0.10652,0.121435,0.049427,-0.06684,-0.167132,-0.26588,-0.357472,-0.430735,-0.493563,-0.522899,-0.433281,-0.30978,-0.171737,-0.029576,0.114609,0.273138,0.386887,0.455849,0.478876,0.461815,0.445955,0.452832,0.465639,0.373785,0.215934,0.082664,-0.059797,-0.179387,-0.272885,-0.263044,-0.317998,-0.19806,-0.31433,-0.305365,-0.312082,-0.21221,-0.09864,0.035611,0.171341,0.306975,0.369271,0.364901,0.363669,0.36916,0.37876,0.386556,0.358159,0.262065,0.131256,-0.01112,-0.161041,-0.327143,-0.391281,-0.341011,-0.307376,-0.30469,-0.231506,-0.139103,-0.045208,0.053698,0.047644,-0.024728,-0.053403,-0.141029,-0.246261,-0.352476,-0.453303,-0.543198,-0.616307,-0.694121,-0.739094,-0.791145,-0.820799,-0.831694,-0.82654,-0.80506,-0.74362,-0.631005,-0.519046,-0.403485,-0.29271,-0.177004,-0.064284,0.043753,0.138408,0.233035,0.333664,0.455317,0.585912,0.715472,0.845464,0.976338,1.108283,1.241247,1.375647,1.510745,1.550865,6
