@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3}

@data
-0.442535,-0.410598,-0.275596,-0.114302,0.066193,0.235806,0.384315,0.561657,0.720759,0.844263,0.850433,0.856574,0.759095,0.623535,0.501861,0.343016,0.189227,0.018666,-0.146828,-0.311234,-0.404356,-0.398403,-0.370498,-0.232566,-0.063446,0.111204,0.294029,0.476635,0.664163,0.861114,0.960523,0.941418,0.846747,0.834972,0.820611,0.845085,0.840352,0.787929,0.649269,0.493289,0.343475,0.164169,0.015761,-0.122758,-0.292058,-0.416729,-0.391072,-0.43666,-0.515952,-0.595222,-0.691576,-0.763948,-0.763041,-0.715919,-0.61523,-0.515373,-0.426572,-0.366532,-0.326719,-0.309689,-0.355905,-0.390527,-0.456814,-0.542634,-0.615767,-0.686878,-0.724518,-0.66606,-0.58095,-0.488077,-0.407222,-0.303174,-0.252204,2
-0.501437,-0.417155,-0.300691,-0.114809,0.057355,0.246322,0.406614,0.570503,0.758511,0.799163,0.772681,0.827564,0.838174,0.771768,0.647929,0.467286,0.302755,0.126672,-0.040128,-0.207911,-0.350084,-0.422966,-0.377872,-0.264173,-0.12071,0.055429,0.236322,0.427579,0.60568,0.774421,0.926291,0.878501,0.851352,0.801785,0.794563,0.827471,0.816693,0.758209,0.61924,0.470782,0.309918,0.164471,-0.016987,-0.172176,-0.326632,-0.461307,-0.397982,-0.445584,-0.511943,-0.587045,-0.660276,-0.719791,-0.760358,-0.702989,-0.600945,-0.501737,-0.444996,-0.392239,-0.340263,-0.336414,-0.370101,-0.429064,-0.514328,-0.575211,-0.646913,-0.705158,-0.687434,-0.619055,-0.539183,-0.44722,-0.352435,-0.278288,-0.250018,2
-0.53927,-0.491533,-0.344521,-0.166125,0.016007,0.201242,0.384866,0.582921,0.766728,0.840785,0.796343,0.794634,0.831215,0.719961,0.593392,0.40416,0.214494,0.030721,-0.160289,-0.331743,-0.471753,-0.470416,-0.409767,-0.256829,-0.087898,0.082812,0.258401,0.426176,0.585604,0.767366,0.944117,0.882789,0.839289,0.827368,0.819199,0.844356,0.864593,0.809329,0.676661,0.535511,0.375965,0.191479,0.022284,-0.152211,-0.312613,-0.461258,-0.412426,-0.442574,-0.499114,-0.565158,-0.618656,-0.700506,-0.702868,-0.694981,-0.618935,-0.532015,-0.453303,-0.400293,-0.355291,-0.316726,-0.367343,-0.391713,-0.406512,-0.45676,-0.531108,-0.599448,-0.640615,-0.618661,-0.552394,-0.474295,-0.381988,-0.274678,-0.26618,2
-0.521065,-0.452259,-0.333862,-0.167336,0.013582,0.204667,0.371897,0.569629,0.73588,0.8706,0.787473,0.782199,0.866515,0.814439,0.662946,0.474701,0.309022,0.131446,-0.049739,-0.210165,-0.341884,-0.414053,-0.421353,-0.267951,-0.189283,-0.022386,0.159987,0.344408,0.530433,0.72064,0.848747,0.862847,0.912781,0.834429,0.814608,0.8448,0.858887,0.801828,0.661249,0.491821,0.331966,0.167006,-0.015653,-0.182152,-0.331323,-0.467513,-0.373585,-0.419072,-0.495918,-0.580523,-0.654902,-0.726195,-0.708824,-0.698799,-0.617853,-0.518418,-0.446438,-0.374661,-0.321323,-0.288555,-0.346988,-0.390545,-0.478793,-0.557029,-0.636891,-0.683104,-0.690219,-0.640938,-0.552915,-0.444506,-0.335994,-0.221661,-0.18881,2
-0.570145,-0.477758,-0.31164,-0.157126,0.025148,0.215125,0.399587,0.590966,0.771433,0.861258,0.782503,0.799608,0.853106,0.763782,0.603174,0.407785,0.252449,0.077515,-0.103321,-0.266956,-0.397341,-0.438663,-0.420065,-0.272893,-0.09034,0.053348,0.245471,0.436867,0.630921,0.827844,0.948723,0.836475,0.791369,0.849105,0.817509,0.84895,0.829597,0.75862,0.618386,0.4684,0.297338,0.118717,-0.050446,-0.232275,-0.40367,-0.491619,-0.38245,-0.433926,-0.486999,-0.556922,-0.658494,-0.734548,-0.70631,-0.597769,-0.554711,-0.530877,-0.456845,-0.38853,-0.332066,-0.322699,-0.348322,-0.444247,-0.520359,-0.602597,-0.659512,-0.696914,-0.664321,-0.586121,-0.476891,-0.350435,-0.246335,-0.169227,-0.188395,2
-0.629448,-0.514497,-0.365926,-0.178856,0.023429,0.221239,0.406629,0.596138,0.774885,0.822702,0.795989,0.847518,0.819297,0.744493,0.557316,0.404484,0.225659,0.045343,-0.125956,-0.300456,-0.423533,-0.475518,-0.395263,-0.254605,-0.082034,0.102771,0.278505,0.457286,0.650913,0.820713,0.900398,0.893766,0.775035,0.767039,0.824992,0.845366,0.852893,0.762596,0.622295,0.461437,0.30275,0.134461,-0.023214,-0.198561,-0.349475,-0.490275,-0.358561,-0.38661,-0.434917,-0.518191,-0.599127,-0.664635,-0.729001,-0.784537,-0.68489,-0.568349,-0.464724,-0.368772,-0.300581,-0.26507,-0.26719,-0.324155,-0.399374,-0.483231,-0.563643,-0.635461,-0.702155,-0.657214,-0.559606,-0.445812,-0.351835,-0.243255,-0.169826,2
-0.613883,-0.530169,-0.385546,-0.201156,-0.003052,0.187687,0.380255,0.553159,0.744763,0.888041,0.830896,0.754462,0.786406,0.805307,0.70306,0.53193,0.339086,0.152885,-0.040517,-0.226518,-0.355031,-0.474024,-0.483685,-0.392165,-0.235605,-0.054532,0.134759,0.32622,0.522277,0.717795,0.903445,0.938897,0.833349,0.816454,0.840099,0.845125,0.834942,0.78758,0.643653,0.467953,0.343166,0.148365,-0.048427,-0.205378,-0.381947,-0.551387,-0.356752,-0.394215,-0.467879,-0.55844,-0.67358,-0.783132,-0.812731,-0.724935,-0.61565,-0.501288,-0.387476,-0.305329,-0.251116,-0.242027,-0.239423,-0.300106,-0.401068,-0.492363,-0.567575,-0.655565,-0.702447,-0.643713,-0.532281,-0.411432,-0.290359,-0.169756,-0.098353,2
-0.60643,-0.510211,-0.369841,-0.198776,-0.006889,0.192361,0.385804,0.584365,0.7845,0.883126,0.814846,0.73181,0.811291,0.837294,0.759317,0.607357,0.428618,0.259834,0.07145,-0.117476,-0.282851,-0.4343,-0.454556,-0.407666,-0.289773,-0.119203,0.065334,0.254309,0.453804,0.629256,0.839686,0.901382,0.912042,0.810851,0.824735,0.804397,0.83793,0.794077,0.666167,0.502504,0.332495,0.155438,-0.024049,-0.209455,-0.384279,-0.530113,-0.481326,-0.552035,-0.639471,-0.740598,-0.794406,-0.723728,-0.633218,-0.519053,-0.435422,-0.376312,-0.313717,-0.287468,-0.329536,-0.39314,-0.461821,-0.563251,-0.676102,-0.775041,-0.74627,-0.615167,-0.495004,-0.375425,-0.269296,-0.178441,-0.148967,-0.173483,-0.292811,3
-0.531111,-0.468193,-0.316098,-0.133108,0.016219,0.203999,0.393313,0.56364,0.746535,0.89063,0.874087,0.840975,0.843854,0.761767,0.608689,0.423479,0.241809,0.057161,-0.097619,-0.257917,-0.382922,-0.450086,-0.430615,-0.314152,-0.16119,0.017378,0.196764,0.371283,0.545493,0.729391,0.845612,0.816352,0.825697,0.861389,0.86184,0.865804,0.884391,0.796616,0.651718,0.491111,0.334876,0.143429,-0.008612,-0.182371,-0.333464,-0.484011,-0.374817,-0.406787,-0.464167,-0.547999,-0.64658,-0.747599,-0.81193,-0.71436,-0.609272,-0.526954,-0.441575,-0.359955,-0.305223,-0.287061,-0.299002,-0.309025,-0.351706,-0.436835,-0.51385,-0.586007,-0.6412,-0.663425,-0.601936,-0.513442,-0.415474,-0.344629,-0.233026,3
-0.581342,-0.48497,-0.359325,-0.17123,0.037431,0.234699,0.425906,0.631995,0.797419,0.829219,0.811854,0.885678,0.809914,0.738554,0.565955,0.387289,0.200603,0.022203,-0.157751,-0.321122,-0.460566,-0.536426,-0.462605,-0.331623,-0.17302,-0.017518,0.174719,0.359896,0.551778,0.743167,0.906113,0.873376,0.855601,0.835142,0.879677,0.86491,0.876052,0.787992,0.645854,0.49648,0.338946,0.158961,-0.026446,-0.205892,-0.358759,-0.520061,-0.36588,-0.391756,-0.470787,-0.55351,-0.645097,-0.730856,-0.78177,-0.701976,-0.589819,-0.488397,-0.399428,-0.320904,-0.264202,-0.250804,-0.242224,-0.294436,-0.385067,-0.475675,-0.557126,-0.635742,-0.670591,-0.634842,-0.551191,-0.453139,-0.333408,-0.223841,-0.146263,3
