@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute target {1,2}

@data
0.364339,1.367791,1.913028,1.477286,1.099156,0.403214,0.030387,0.025108,0.187343,-0.229106,-0.743166,-0.838065,-0.97341,-1.182845,-0.9209,-0.664289,-0.368007,-0.16696,0.183995,0.159492,0.511506,0.467935,0.48233,0.297041,0.319652,0.171082,0.23975,0.233594,0.156623,0.155573,0.002005,0.028153,0.23831,-0.007141,0.142054,0.280404,0.422107,0.474845,0.584303,0.539497,-0.109839,-0.437782,-0.664172,-0.766589,-0.732587,-0.51745,-0.438976,-0.601098,-0.686764,-0.571909,-0.23412,0.117435,0.006698,-0.031228,-0.059468,-0.105232,0.04452,0.053342,-0.054364,-0.134702,-0.165446,-0.097781,-0.192204,-0.484297,2
-0.432562,-1.069546,0.620975,2.060963,1.260344,0.565377,0.153828,0.247715,0.918897,1.633967,0.777684,-0.680603,-1.669384,-1.556098,-0.827263,-0.472487,-0.445469,-0.431406,-0.130634,0.17683,0.069877,0.27583,0.492219,0.456344,0.435825,0.421351,0.410836,0.422991,0.308289,0.150612,-0.022982,0.015968,0.016629,0.010904,-0.371898,0.178129,0.362833,0.239641,0.084442,-0.006202,-0.42489,-1.052858,-1.748675,-1.23635,-0.308753,0.437691,0.426558,-0.224942,-0.485752,-0.300262,0.12554,0.599994,0.695271,0.386035,0.152943,-0.088257,-0.085913,-0.061969,-0.172063,-0.139849,-0.051682,-0.107664,-0.358899,-0.628018,1
0.166265,0.590512,1.050023,1.162213,0.937114,0.612241,-0.024494,-0.475182,-0.744155,-0.166432,0.164136,-0.333437,-0.507997,-0.964909,-0.710275,-0.439797,-0.256014,-0.127433,0.148549,0.280932,0.441189,0.632443,0.388177,0.419359,0.238993,0.243612,0.138835,0.118607,0.110382,0.112496,0.264751,0.01594,0.007669,-0.066913,0.26422,0.599671,0.832695,0.594002,0.837718,1.004449,0.641464,-0.359134,-0.725098,-1.239135,-1.467923,-0.95332,-0.44761,-0.390427,-0.645894,-0.762533,-0.395444,0.153592,0.561709,0.425838,0.153931,0.158698,-0.047732,-0.0729,-0.217095,-0.359289,-0.426863,-0.472706,-0.368743,-0.303537,2
0.17045,0.475234,0.990301,1.061082,1.011979,0.571964,0.025942,-0.33415,-0.458375,-0.314667,-0.010865,-0.008256,-0.494904,-0.832555,-0.75415,-0.556317,-0.36435,-0.264305,-0.12314,0.120871,0.217034,0.344854,0.310435,0.294527,0.285219,0.289506,0.200322,0.138598,0.119863,0.114691,0.229964,0.026816,0.01049,-0.075359,0.338522,0.581453,0.835326,0.84342,0.997177,1.145191,0.87221,0.097683,-0.324159,-0.640435,-1.064311,-1.091595,-0.696002,-0.637216,-0.871239,-0.870676,-0.664665,-0.084675,0.219387,0.45686,0.24979,-0.309564,-0.22572,-0.146691,-0.087303,-0.168526,-0.212453,-0.254723,-0.309815,-0.396,2
0.357589,0.876588,0.566974,1.011263,0.804203,0.379335,0.050423,-0.013154,0.197292,0.127339,-0.58661,-1.052593,-1.417183,-1.360407,-0.676705,-0.363756,-0.29843,-0.040707,0.290743,0.506836,0.122088,-0.006143,-0.16987,-0.179973,-0.038583,0.098512,0.111637,0.028097,0.018677,0.034327,0.324203,0.256956,0.221659,0.391885,0.597925,0.469961,0.509087,0.413797,0.534584,1.257621,1.473011,0.609946,-0.099814,-1.507131,-1.474067,-0.825266,-0.327291,-0.472632,-0.872444,-1.00949,-0.920908,-0.420643,-0.082883,-0.057402,-0.187977,-0.132299,0.06696,0.429743,0.44484,0.413827,0.250419,0.239184,0.062989,0.043843,1
0.502686,1.591169,1.49908,1.309929,1.025781,0.462616,-0.090402,-0.391018,-0.427791,-0.187117,-0.444379,-0.462686,-0.478766,-0.489421,-0.506206,-0.399915,-0.265618,-0.122944,0.021377,0.389921,0.310027,0.117076,-0.090919,0.259702,0.290583,0.176709,0.167737,0.190199,0.191815,0.176186,0.028633,0.03562,-0.382912,0.096934,0.570103,0.573139,0.559325,0.626156,0.66324,0.450932,-0.107139,-0.400242,-0.599803,-0.871714,-1.064195,-0.586818,-0.362109,-0.588602,-0.760543,-0.647796,-0.265762,0.151032,0.171255,0.10869,-0.109931,-0.152171,-0.022394,-0.019086,-0.117808,-0.207167,-0.238412,-0.18565,-0.277345,-0.392869,2
0.576628,1.287101,1.25742,1.147368,0.653412,0.095876,-0.290987,-0.454398,-0.225379,-0.145335,-0.375412,-0.75972,-0.946196,-1.000131,-0.743475,-0.480847,-0.3712,-0.163382,0.071491,0.18985,0.332732,0.101068,0.105156,0.08345,0.278288,0.175465,0.07704,0.085994,0.07709,0.04258,-0.282044,-0.251886,-0.306095,-0.00069,0.506351,0.713244,0.469029,0.611885,0.706207,0.368198,-0.483485,-0.443322,-1.129814,-1.050756,-0.898468,-0.642502,0.033017,-0.294405,-0.643732,-0.560247,-0.052085,0.37859,0.382844,0.288864,0.224412,0.39067,0.39894,0.262881,0.135191,0.01377,0.052633,0.125297,0.202001,0.093961,2
0.66632,1.258265,1.211564,1.284295,0.658705,0.19908,-0.196167,-0.370979,-0.392165,-0.133487,-0.169555,-0.666279,-0.980608,-1.020057,-0.797966,-0.579633,-0.381177,-0.190843,-0.057786,0.185766,0.286842,0.253587,0.244508,0.243956,0.262907,0.147085,0.124658,0.098829,-0.02069,0.098364,0.195276,-0.000098,-0.186109,-0.047114,0.040076,0.251134,0.434096,0.654611,0.673872,0.3202,-0.389376,-0.610618,-0.790374,-0.870579,-1.048898,-0.796888,-0.366946,-0.470685,-0.615898,-0.42534,-0.152491,0.272385,0.443944,0.190578,0.166291,0.125628,0.252131,0.260235,0.168773,0.117213,0.099807,0.186372,0.384137,0.267313,2
0.412463,0.897427,1.478034,1.577556,0.87477,0.210309,-0.174531,-0.353071,0.071408,0.126401,-0.387195,-0.837506,-1.115589,-0.73224,-0.562962,-0.405514,-0.349612,-0.224517,0.036503,0.159423,0.313479,0.490661,0.44408,0.422702,0.41094,0.418977,0.302656,0.247456,0.149404,0.154013,0.143928,-0.077648,0.19402,0.199673,0.2608,-0.162897,0.047412,0.477457,0.704481,0.262582,-0.421379,-0.810391,-1.114726,-0.804651,-0.606907,-0.158717,-0.02078,-0.465008,-0.69647,-0.535609,-0.044299,0.330554,0.17622,-0.367251,-0.160354,-0.024478,0.374709,0.212482,0.157868,0.018276,-0.057681,-0.141275,-0.566825,-0.379044,2
-0.777805,-0.574332,0.231094,0.829625,0.505255,-0.005839,-0.436664,-0.149012,0.465412,1.401318,0.618395,-0.25211,-1.157891,-1.216949,-0.775314,-0.334307,-0.149034,0.013027,0.255587,0.472414,0.154012,0.867127,0.502334,0.556452,0.290937,0.299664,0.137607,0.086004,-0.056555,-0.064399,-0.320239,-0.275591,-0.280747,0.086568,-0.239834,-0.341831,0.011328,0.165413,0.140439,-0.681949,-0.425007,0.459376,0.696695,1.143248,0.398734,-1.04639,-0.817388,-0.701661,-0.699276,-0.122273,0.64522,1.270504,1.454703,0.516863,-0.324819,-0.547693,-0.543179,-0.291255,-0.235365,-0.129217,-0.098451,-0.088291,-0.098058,-0.416628,1
