@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute target {1,2,3,4,5}

@data
-1.781658,-1.796964,-1.632173,-1.405108,-1.136224,-0.87198,-0.671759,-0.553896,-0.456984,-0.403569,-0.403165,-0.407229,-0.405266,-0.413974,-0.425053,-0.43827,-0.462253,-0.478152,-0.49767,-0.524158,-0.547987,-0.561361,-0.577376,-0.595695,-0.603028,-0.611045,-0.615608,-0.615644,-0.598922,-0.582746,-0.544803,-0.508275,-0.470311,-0.430639,-0.380717,-0.325268,-0.275703,-0.223863,-0.174361,-0.122059,-0.074035,-0.020988,0.027034,0.060234,0.087708,0.11236,0.145371,0.168875,0.200318,0.227759,0.251901,0.279255,0.30285,0.337581,0.360871,0.39216,0.409634,0.433014,0.461299,0.493091,0.522425,0.545962,0.568454,0.579771,0.59254,0.605263,0.611101,0.610483,0.598399,0.591312,0.580277,0.569835,0.557211,0.540004,0.523651,0.509446,0.487972,0.466125,0.442499,0.418223,0.397139,0.376771,0.368371,0.366816,0.374705,0.403247,0.454273,0.510243,0.581661,0.667632,0.769457,0.886336,0.996697,1.110753,1.212315,1.29389,1.35973,1.403475,1.407756,1.370191,1.299822,1.206871,1.106743,0.994178,0.8614,0.711031,0.55415,0.399769,0.251667,0.110626,-0.015103,-0.124744,-0.209088,-0.258457,-0.279246,-0.277074,-0.251656,-0.182596,-0.10338,-0.030841,0.024833,0.057208,0.093908,0.121422,0.204319,0.241438,1
-1.557631,-1.46734,-1.186101,-0.897029,-0.584721,-0.307259,-0.088515,0.018761,0.092014,0.14317,0.140615,0.133733,0.118431,0.093929,0.076508,0.050545,0.018496,-0.012905,-0.033153,-0.067212,-0.094138,-0.120313,-0.143899,-0.173279,-0.194534,-0.206438,-0.22323,-0.235129,-0.23353,-0.2301,-0.213522,-0.190586,-0.161622,-0.129354,-0.097963,-0.064046,-0.022878,0.015107,0.055331,0.084214,0.109323,0.140133,0.165306,0.182566,0.196613,0.203021,0.209269,0.21073,0.209021,0.213211,0.220043,0.225131,0.224833,0.229018,0.244326,0.254183,0.26581,0.286769,0.305159,0.319299,0.338501,0.35096,0.368094,0.384554,0.395254,0.397448,0.3971,0.406738,0.410441,0.403708,0.399315,0.389623,0.37513,0.354261,0.337343,0.314859,0.303183,0.283765,0.263697,0.251378,0.244785,0.254595,0.272048,0.30576,0.357179,0.418403,0.503231,0.607119,0.739873,0.867961,0.985423,1.088236,1.177231,1.253408,1.301274,1.321079,1.304706,1.241551,1.147612,1.030299,0.894641,0.737259,0.560947,0.3648,0.1751,-0.000701,-0.166424,-0.322415,-0.456109,-0.565871,-0.65492,-0.728084,-0.76012,-0.771606,-0.75742,-0.699295,-0.608386,-0.516745,-0.421095,-0.316946,-0.219782,-0.134638,-0.047409,0.051644,0.17641,0.131175,1
-1.704602,-1.692066,-1.545772,-1.299396,-1.016425,-0.770492,-0.582877,-0.495047,-0.423933,-0.375906,-0.382507,-0.400298,-0.411825,-0.428067,-0.434925,-0.4312,-0.44102,-0.445818,-0.479031,-0.516303,-0.523778,-0.536639,-0.559319,-0.569851,-0.574829,-0.579038,-0.57159,-0.565351,-0.55663,-0.532138,-0.52027,-0.493196,-0.461927,-0.397808,-0.316858,-0.268996,-0.22635,-0.164766,-0.106511,-0.053235,-0.003582,0.034997,0.081638,0.127459,0.157413,0.185232,0.202467,0.224003,0.235548,0.231299,0.241565,0.252763,0.262144,0.273289,0.283813,0.305953,0.332427,0.355083,0.367645,0.38147,0.418624,0.45804,0.484537,0.487222,0.50679,0.529688,0.545942,0.552315,0.548711,0.560605,0.561314,0.550639,0.541606,0.540401,0.528363,0.50654,0.488513,0.46754,0.454191,0.448568,0.452557,0.456988,0.477451,0.511596,0.554958,0.61992,0.704084,0.793637,0.908825,1.03695,1.146617,1.242041,1.334647,1.419087,1.470655,1.486364,1.483978,1.454437,1.384718,1.295346,1.183735,1.041329,0.89426,0.726685,0.545943,0.3912,0.23474,0.091346,-0.03414,-0.145389,-0.242022,-0.300461,-0.335547,-0.341667,-0.343324,-0.291146,-0.172425,-0.087018,-0.029705,0.020929,0.03735,0.020199,0.008577,0.051151,0.140373,0.148867,1
-1.690322,-1.737255,-1.621392,-1.390764,-1.112787,-0.840353,-0.593617,-0.410475,-0.317351,-0.237822,-0.191944,-0.205226,-0.219244,-0.224992,-0.243536,-0.268566,-0.289271,-0.313365,-0.343355,-0.377507,-0.410964,-0.448738,-0.474706,-0.498104,-0.524713,-0.551216,-0.569309,-0.586308,-0.597238,-0.597821,-0.585578,-0.5696,-0.53859,-0.508813,-0.470861,-0.420825,-0.365615,-0.319492,-0.276164,-0.235198,-0.180005,-0.13034,-0.085202,-0.042447,-0.00721,0.028096,0.065158,0.086657,0.110506,0.132912,0.154204,0.168774,0.185682,0.207014,0.228035,0.247365,0.270192,0.299429,0.326612,0.353822,0.385965,0.404476,0.432439,0.461261,0.48097,0.495153,0.508341,0.530228,0.548032,0.554845,0.563585,0.569106,0.570701,0.568004,0.558165,0.547353,0.538386,0.51855,0.506232,0.502539,0.499657,0.510382,0.525253,0.55223,0.595144,0.638012,0.707134,0.787102,0.888181,0.991556,1.087333,1.174419,1.249757,1.314912,1.350849,1.365534,1.355248,1.301596,1.218292,1.115492,1.012526,0.878263,0.733283,0.576848,0.424901,0.269009,0.125924,-0.00351,-0.128465,-0.223075,-0.304749,-0.364496,-0.393342,-0.408536,-0.398345,-0.36231,-0.29884,-0.248617,-0.192293,-0.128656,-0.043187,0.048639,0.143968,0.246543,0.366472,0.370819,1
-1.543819,-1.618831,-1.579889,-1.445108,-1.215268,-0.965881,-0.750754,-0.61962,-0.534363,-0.469293,-0.464601,-0.494317,-0.520094,-0.542464,-0.570535,-0.60988,-0.654861,-0.706252,-0.74924,-0.782777,-0.817791,-0.847999,-0.879933,-0.917188,-0.950789,-0.970817,-0.978285,-0.976664,-0.960787,-0.943182,-0.907705,-0.864682,-0.807779,-0.746472,-0.689139,-0.618803,-0.552411,-0.47785,-0.401526,-0.322216,-0.247819,-0.186078,-0.126632,-0.077354,-0.035474,0.000936,0.038475,0.067519,0.091648,0.122865,0.149175,0.167514,0.188461,0.210968,0.235801,0.25955,0.290982,0.322544,0.354753,0.374872,0.394343,0.419673,0.439848,0.458868,0.479358,0.498536,0.518233,0.532446,0.547204,0.555783,0.5595,0.560583,0.558176,0.547425,0.551087,0.563987,0.553085,0.545746,0.537849,0.52146,0.504431,0.490004,0.478139,0.469117,0.476389,0.500655,0.52894,0.570113,0.627711,0.705106,0.777318,0.862072,0.950133,1.03237,1.11143,1.176259,1.228846,1.262238,1.263349,1.228506,1.159669,1.080654,0.987099,0.883408,0.760592,0.624805,0.498466,0.372246,0.252001,0.143877,0.041974,-0.04369,-0.119093,-0.167929,-0.184951,-0.163531,-0.085557,0.007566,0.086069,0.170984,0.283711,0.38211,0.456238,0.529612,0.642234,0.750118,1
-1.626007,-1.546978,-1.329292,-1.056831,-0.783164,-0.583034,-0.469883,-0.399252,-0.344587,-0.341205,-0.357067,-0.362339,-0.38359,-0.407658,-0.438733,-0.477204,-0.506833,-0.535226,-0.561717,-0.598252,-0.632766,-0.661805,-0.688836,-0.715281,-0.735786,-0.754791,-0.768811,-0.768865,-0.754091,-0.735806,-0.703391,-0.667727,-0.634507,-0.585123,-0.53188,-0.481037,-0.431097,-0.381474,-0.322486,-0.277675,-0.22778,-0.181041,-0.144868,-0.111834,-0.083907,-0.06701,-0.049248,-0.027745,-0.016441,-0.007006,0.01033,0.031951,0.049677,0.06835,0.092515,0.124521,0.149384,0.180615,0.207732,0.236211,0.277717,0.317823,0.354327,0.38918,0.42509,0.448048,0.465576,0.485309,0.493744,0.506814,0.508008,0.508823,0.509867,0.50139,0.494258,0.483963,0.457639,0.43663,0.415329,0.40538,0.401782,0.404398,0.425483,0.460937,0.502891,0.559835,0.631994,0.71946,0.829009,0.941084,1.043872,1.154636,1.250633,1.324008,1.372803,1.402957,1.410237,1.368907,1.298768,1.216303,1.119203,1.013351,0.878596,0.732049,0.586707,0.45314,0.319115,0.187886,0.08416,-0.003696,-0.076333,-0.125838,-0.14389,-0.141374,-0.122246,-0.064813,0.022753,0.113093,0.19447,0.271258,0.341478,0.3986,0.479762,0.597435,0.704168,0.662702,1
-1.674899,-1.664477,-1.484646,-1.220119,-0.918087,-0.645556,-0.414273,-0.275303,-0.203545,-0.149439,-0.138821,-0.162532,-0.175675,-0.192561,-0.207845,-0.230199,-0.249146,-0.278381,-0.308241,-0.339822,-0.373588,-0.405237,-0.427483,-0.458761,-0.480693,-0.501044,-0.522106,-0.535072,-0.540111,-0.53593,-0.526569,-0.506736,-0.472144,-0.431708,-0.390529,-0.344008,-0.289314,-0.241856,-0.187675,-0.13923,-0.091579,-0.038288,0.001371,0.041276,0.07422,0.111772,0.136442,0.155509,0.169777,0.180736,0.191775,0.198622,0.203583,0.212345,0.230537,0.253758,0.27246,0.291793,0.307398,0.322553,0.339724,0.359225,0.378752,0.401915,0.42318,0.445145,0.457836,0.472908,0.489044,0.491287,0.487649,0.485615,0.478149,0.467148,0.460301,0.436931,0.426094,0.413063,0.400303,0.389378,0.383039,0.397684,0.420932,0.446936,0.492286,0.553166,0.634756,0.737072,0.850697,0.960472,1.067764,1.158088,1.235196,1.289694,1.338305,1.357373,1.336286,1.273623,1.18804,1.083574,0.964128,0.823627,0.67048,0.504227,0.341107,0.194932,0.049257,-0.087188,-0.198563,-0.296311,-0.373395,-0.424558,-0.438472,-0.437957,-0.414355,-0.365902,-0.295894,-0.226584,-0.144604,-0.050087,0.040313,0.141064,0.239081,0.343687,0.451753,0.424216,1
-1.597453,-1.64091,-1.555786,-1.357232,-1.076264,-0.786322,-0.560847,-0.430205,-0.352206,-0.292439,-0.278511,-0.298622,-0.314931,-0.33703,-0.360741,-0.387227,-0.415994,-0.450594,-0.490436,-0.517326,-0.55734,-0.600158,-0.637071,-0.669119,-0.693394,-0.718631,-0.733102,-0.74617,-0.741276,-0.732855,-0.714227,-0.686893,-0.650639,-0.601641,-0.559646,-0.502127,-0.440335,-0.378558,-0.31573,-0.249399,-0.187941,-0.138796,-0.096062,-0.055216,-0.020916,0.007772,0.030382,0.047809,0.060846,0.079959,0.095067,0.114544,0.127489,0.147822,0.159148,0.175486,0.206634,0.240203,0.272133,0.308482,0.348949,0.390005,0.431659,0.466109,0.492788,0.521047,0.547103,0.574206,0.584152,0.592185,0.598618,0.598098,0.593389,0.583259,0.569598,0.550197,0.527742,0.505681,0.490626,0.480746,0.474515,0.475945,0.487817,0.53034,0.577596,0.634747,0.704631,0.788865,0.884329,0.971793,1.067524,1.149373,1.219062,1.266937,1.297339,1.299627,1.265903,1.202939,1.109868,1.010714,0.901951,0.778557,0.648992,0.504009,0.359098,0.216876,0.086866,-0.034953,-0.129802,-0.213354,-0.273896,-0.306017,-0.315209,-0.308494,-0.269699,-0.186617,-0.094193,-0.01065,0.09495,0.214418,0.302566,0.37934,0.477126,0.58035,0.666093,0.620081,1
-1.661089,-1.68442,-1.581642,-1.381284,-1.08497,-0.793616,-0.570073,-0.438065,-0.357796,-0.283675,-0.27807,-0.289878,-0.294726,-0.315071,-0.3355,-0.36042,-0.386311,-0.417499,-0.447661,-0.478679,-0.512985,-0.549561,-0.586977,-0.612157,-0.638424,-0.660933,-0.675574,-0.685733,-0.677513,-0.657509,-0.629669,-0.586921,-0.543213,-0.490347,-0.4357,-0.374772,-0.314349,-0.254729,-0.197791,-0.139915,-0.07206,-0.021525,0.02466,0.057087,0.081586,0.106658,0.125223,0.142641,0.152301,0.162096,0.17511,0.194052,0.216963,0.235898,0.26318,0.284798,0.314517,0.340256,0.378128,0.408473,0.438204,0.466876,0.496399,0.530551,0.562202,0.588215,0.60746,0.619824,0.628869,0.626599,0.627634,0.625823,0.62707,0.615813,0.605491,0.593071,0.572684,0.556772,0.540022,0.510548,0.49028,0.472239,0.463762,0.465002,0.471586,0.483922,0.496928,0.514077,0.545752,0.586747,0.645709,0.695346,0.723518,0.739291,0.762915,0.772017,0.778022,0.778958,0.764425,0.729647,0.667627,0.604629,0.543062,0.473697,0.395137,0.292968,0.201494,0.133152,0.077862,0.021822,-0.020633,-0.062282,-0.104416,-0.128798,-0.114676,-0.034328,0.083734,0.204514,0.352463,0.519799,0.660948,0.745076,0.794048,0.816603,0.787503,0.633811,1
-1.525227,-1.511145,-1.438733,-1.330255,-1.184649,-1.040039,-0.906136,-0.794508,-0.733941,-0.690923,-0.661264,-0.658893,-0.661057,-0.661887,-0.654964,-0.65259,-0.662469,-0.668167,-0.679512,-0.683369,-0.687788,-0.694196,-0.702306,-0.710205,-0.715253,-0.723667,-0.72749,-0.729148,-0.722365,-0.715438,-0.707404,-0.697076,-0.687228,-0.661204,-0.643774,-0.622302,-0.597887,-0.573783,-0.549065,-0.530727,-0.503232,-0.482699,-0.467998,-0.455588,-0.445571,-0.432959,-0.417798,-0.405821,-0.404359,-0.39469,-0.390245,-0.382337,-0.3723,-0.363666,-0.352409,-0.340538,-0.325333,-0.306006,-0.287017,-0.264335,-0.236653,-0.209567,-0.184592,-0.157012,-0.128536,-0.100381,-0.0707,-0.049403,-0.025037,0.000172,0.020725,0.043309,0.059135,0.077216,0.095088,0.106899,0.118797,0.126604,0.141166,0.158086,0.185066,0.209279,0.239779,0.278907,0.325443,0.378243,0.439477,0.509923,0.575714,0.638339,0.695447,0.743496,0.79094,0.820033,0.832053,0.83196,0.807397,0.773043,0.730933,0.677328,0.625692,0.580252,0.554991,0.540692,0.531563,0.529175,0.532851,0.546407,0.571858,0.60657,0.650054,0.722627,0.814656,0.920596,1.053147,1.184455,1.293319,1.382037,1.466189,1.547974,1.627028,1.698509,1.771302,1.842274,1.883496,1.87347,1
