@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute target {1,2,3,4,5,6,7}

@data
0.9954,0.803018,0.610927,0.420795,0.230167,0.044797,-0.133907,-0.304468,-0.464894,-0.610979,-0.735425,-0.834385,-0.919298,-0.997665,-1.06881,-1.142822,-1.20629,-1.25251,-1.280404,-1.289153,-1.279051,-1.251261,-1.20711,-1.14642,-1.070357,-0.982834,-0.891437,-0.800286,-0.699883,-0.584962,-0.453894,-0.309008,-0.157197,-0.014992,0.111876,0.221291,0.312397,0.383654,0.43673,0.470271,0.484052,0.47725,0.451913,0.407747,0.34855,0.276917,0.190577,0.095004,0.003835,-0.070116,-0.122033,-0.151916,-0.160025,-0.145758,-0.110252,-0.053951,0.021189,0.107638,0.201807,0.303424,0.400839,0.492403,0.575022,0.646494,0.694952,0.718328,0.716436,0.689154,0.636786,0.565599,0.484718,0.394974,0.299675,0.20648,0.117031,0.033744,-0.032111,-0.079733,-0.106755,-0.11214,-0.095749,-0.057119,0.002385,0.073578,0.148919,0.220061,0.278721,0.324263,0.350716,0.359539,0.351385,0.325351,0.279319,0.215762,0.135732,0.03668,-0.079064,-0.209322,-0.352121,-0.490079,-0.613416,-0.720307,-0.813333,-0.909014,-1.000904,-1.082698,-1.14943,-1.200392,-1.233977,-1.250706,-1.250103,-1.227863,-1.185817,-1.126558,-1.051432,-0.97457,-0.891151,-0.800972,-0.702436,-0.579228,-0.433953,-0.274014,-0.104585,0.072857,0.257458,0.447632,0.642265,0.838328,1.02993,1
0.790875,0.566452,0.346581,0.132582,-0.074505,-0.271948,-0.4502,-0.601384,-0.724004,-0.8172,-0.880703,-0.913802,-0.925077,-0.921397,-0.886633,-0.822277,-0.728228,-0.605272,-0.455778,-0.287353,-0.105013,0.071312,0.228481,0.358847,0.46098,0.534038,0.577644,0.591141,0.57445,0.527578,0.450075,0.341694,0.202841,0.033848,-0.163584,-0.379557,-0.587056,-0.762285,-0.900886,-1.003119,-1.069018,-1.108161,-1.121293,-1.098974,-1.058159,-0.995932,-0.911395,-0.800732,-0.673457,-0.527966,-0.377034,-0.226275,-0.099331,-0.001921,0.066021,0.107027,0.137165,0.171402,0.209378,0.215358,0.202188,0.166991,0.130628,0.093787,0.045227,-0.01235,-0.053424,-0.071057,-0.059619,-0.021468,0.018292,0.052317,0.086959,0.115596,0.129428,0.139626,0.148417,0.153929,0.134286,0.085327,0.028108,-0.038862,-0.125003,-0.229975,-0.337794,-0.447476,-0.534702,-0.594527,-0.649268,-0.697659,-0.729882,-0.730672,-0.698224,-0.630781,-0.528348,-0.391825,-0.242305,-0.085324,0.068453,0.211376,0.322593,0.402888,0.452366,0.471293,0.46012,0.419098,0.349508,0.256323,0.150679,0.034335,-0.091391,-0.223545,-0.340883,-0.440151,-0.513626,-0.557302,-0.580246,-0.591697,-0.573093,-0.523547,-0.443881,-0.334645,-0.196621,-0.035147,0.138311,0.322437,0.515539,0.715278,0.917821,4
1.228463,1.02916,0.828936,0.630356,0.433549,0.238453,0.045471,-0.141116,-0.317272,-0.479592,-0.627698,-0.758659,-0.871582,-0.964739,-1.03851,-1.091772,-1.121397,-1.126678,-1.106591,-1.062359,-0.9973,-0.916574,-0.820934,-0.715278,-0.606814,-0.509356,-0.42307,-0.350638,-0.292977,-0.252277,-0.228678,-0.221282,-0.23176,-0.250941,-0.273665,-0.293732,-0.305625,-0.305044,-0.291034,-0.26818,-0.235465,-0.188679,-0.134813,-0.074478,-0.006935,0.067962,0.14957,0.236514,0.32117,0.38956,0.434783,0.449302,0.434587,0.393439,0.333611,0.25149,0.171177,0.08121,-0.007279,-0.086984,-0.168875,-0.235941,-0.291007,-0.329897,-0.347086,-0.339104,-0.305121,-0.254998,-0.191992,-0.117884,-0.04057,0.048855,0.129078,0.213642,0.288539,0.345223,0.390083,0.404744,0.393344,0.360132,0.305104,0.230418,0.150609,0.077635,0.011733,-0.046989,-0.098413,-0.142268,-0.17999,-0.216899,-0.247523,-0.268745,-0.282496,-0.291002,-0.296018,-0.304899,-0.316637,-0.330901,-0.360916,-0.40572,-0.465345,-0.53844,-0.623376,-0.71879,-0.822493,-0.92245,-1.010604,-1.084866,-1.139601,-1.171011,-1.17925,-1.16474,-1.127331,-1.068333,-0.990686,-0.896237,-0.785138,-0.658676,-0.517674,-0.362955,-0.195975,-0.01919,0.163312,0.347929,0.534353,0.721713,0.910321,1.100078,1.289474,6
-0.531763,-0.701738,-0.845242,-0.961192,-1.051391,-1.115419,-1.153379,-1.165233,-1.151252,-1.121871,-1.071615,-1.003078,-0.925229,-0.823778,-0.710888,-0.589744,-0.46741,-0.356874,-0.266356,-0.198162,-0.149802,-0.122245,-0.115152,-0.127989,-0.159177,-0.197571,-0.244887,-0.297614,-0.346133,-0.401529,-0.444442,-0.47219,-0.483989,-0.479249,-0.457292,-0.414465,-0.35435,-0.275837,-0.179886,-0.070344,0.045526,0.17551,0.319302,0.476594,0.646744,0.825587,1.005184,1.184582,1.360239,1.51111,1.635384,1.730827,1.80072,1.844596,1.863377,1.864701,1.860978,1.833457,1.779458,1.699673,1.594414,1.464351,1.309535,1.13064,0.931664,0.737264,0.554514,0.385766,0.231944,0.093078,-0.029992,-0.140666,-0.244888,-0.330671,-0.397019,-0.443215,-0.469812,-0.478649,-0.47137,-0.449335,-0.423654,-0.38588,-0.346371,-0.305727,-0.274308,-0.247232,-0.230949,-0.230469,-0.246748,-0.28212,-0.335574,-0.40814,-0.499552,-0.607928,-0.72348,-0.836513,-0.932894,-1.023766,-1.102382,-1.170093,-1.216955,-1.247281,-1.256487,-1.243189,-1.206181,-1.145976,-1.061628,-0.954501,-0.823096,-0.666168,-0.49901,-0.341602,-0.197097,-0.066995,0.049276,0.156826,0.265859,0.363289,0.460526,0.556803,0.63248,0.683423,0.708885,0.722369,0.727928,0.724712,0.721243,0.728687,0.744904,5
0.983296,0.779586,0.577299,0.377489,0.182296,-0.006646,-0.187541,-0.361087,-0.525591,-0.673686,-0.795358,-0.888169,-0.981664,-1.08166,-1.185163,-1.268473,-1.324092,-1.34988,-1.347937,-1.321379,-1.271423,-1.221698,-1.151135,-1.058495,-0.946784,-0.843029,-0.740746,-0.643175,-0.532117,-0.411242,-0.277007,-0.13857,-0.003056,0.121839,0.220514,0.296093,0.347009,0.414997,0.484374,0.533675,0.553545,0.561367,0.546626,0.510001,0.453567,0.382769,0.294912,0.190303,0.070537,-0.056908,-0.155694,-0.230815,-0.287765,-0.334166,-0.377532,-0.406216,-0.42319,-0.414909,-0.379893,-0.312722,-0.216242,-0.094067,0.034151,0.153259,0.263665,0.362736,0.429764,0.470483,0.491254,0.480536,0.438065,0.369228,0.305982,0.240406,0.168124,0.087483,-0.00017,-0.090089,-0.163312,-0.204635,-0.219592,-0.22608,-0.218364,-0.181333,-0.11433,-0.019441,0.081275,0.188319,0.282806,0.360985,0.42467,0.470959,0.493657,0.504912,0.48484,0.433364,0.364887,0.299562,0.226747,0.124465,-0.004367,-0.154867,-0.297174,-0.425748,-0.543531,-0.668878,-0.792008,-0.905125,-0.998337,-1.084691,-1.143106,-1.168164,-1.170197,-1.150433,-1.104009,-1.025442,-0.937196,-0.839871,-0.727852,-0.60676,-0.478984,-0.323288,-0.152473,0.029227,0.220882,0.420153,0.626313,0.832921,1.034551,2
1.232065,1.043715,0.855899,0.669107,0.483651,0.299736,0.117084,-0.063679,-0.242611,-0.412154,-0.57028,-0.71405,-0.844412,-0.959013,-1.057567,-1.13866,-1.20046,-1.244131,-1.264405,-1.261918,-1.236241,-1.18708,-1.114902,-1.025075,-0.921498,-0.809105,-0.693352,-0.585301,-0.488567,-0.405525,-0.336891,-0.284497,-0.248402,-0.227531,-0.224528,-0.232727,-0.242343,-0.252063,-0.256344,-0.251554,-0.234389,-0.211278,-0.179944,-0.140332,-0.092984,-0.03972,0.020239,0.087027,0.160724,0.23894,0.310435,0.369111,0.403138,0.411213,0.390504,0.348134,0.297203,0.2233,0.144482,0.066865,-0.015484,-0.0852,-0.161936,-0.223896,-0.273745,-0.306679,-0.312862,-0.29341,-0.251247,-0.194425,-0.124816,-0.047749,0.025094,0.111636,0.193238,0.261673,0.325908,0.364749,0.394967,0.395925,0.378835,0.337526,0.275987,0.208817,0.141195,0.081048,0.028632,-0.016112,-0.053142,-0.086395,-0.123393,-0.15453,-0.172793,-0.184925,-0.190814,-0.194592,-0.204711,-0.21739,-0.234719,-0.269285,-0.320601,-0.386956,-0.467371,-0.560503,-0.664851,-0.772523,-0.872174,-0.957049,-1.033,-1.088615,-1.1216,-1.129772,-1.113542,-1.073233,-1.010792,-0.927861,-0.825549,-0.706198,-0.568851,-0.415345,-0.24778,-0.070017,0.116074,0.304333,0.494989,0.687462,0.881697,1.077937,1.269236,6
1.206639,1.015269,0.824011,0.633777,0.445354,0.258492,0.072827,-0.110774,-0.29067,-0.460357,-0.618357,-0.761501,-0.888787,-0.999263,-1.090684,-1.162265,-1.213045,-1.241022,-1.245038,-1.224125,-1.179158,-1.111818,-1.026579,-0.926472,-0.813278,-0.695224,-0.583514,-0.483709,-0.396367,-0.322567,-0.265333,-0.22576,-0.203003,-0.197412,-0.210306,-0.230354,-0.252984,-0.272804,-0.281454,-0.280128,-0.267001,-0.245549,-0.207276,-0.157723,-0.102536,-0.042003,0.025441,0.099371,0.179264,0.262037,0.341686,0.403065,0.443349,0.454018,0.43551,0.393605,0.340247,0.266125,0.191372,0.110574,0.037337,-0.037676,-0.097563,-0.142569,-0.171384,-0.184468,-0.175924,-0.15282,-0.118013,-0.067079,-0.002785,0.072844,0.145651,0.228205,0.290968,0.347057,0.383177,0.407544,0.406529,0.385052,0.338763,0.274974,0.20476,0.139676,0.081436,0.031139,-0.012102,-0.048683,-0.083078,-0.120988,-0.151143,-0.176772,-0.196034,-0.211509,-0.228399,-0.25067,-0.274509,-0.302904,-0.345843,-0.404119,-0.476697,-0.561822,-0.658035,-0.764203,-0.872763,-0.972027,-1.057955,-1.126801,-1.175422,-1.201053,-1.202983,-1.181237,-1.137688,-1.073736,-0.992226,-0.893153,-0.77778,-0.647357,-0.502633,-0.344495,-0.175533,0.000204,0.178078,0.357659,0.538718,0.721713,0.906312,1.091767,1.274963,6
0.991032,0.803593,0.617639,0.434805,0.254847,0.079727,-0.089293,-0.250119,-0.401779,-0.538194,-0.655229,-0.751857,-0.825263,-0.890535,-0.949391,-1.004995,-1.060211,-1.102679,-1.130321,-1.144558,-1.140779,-1.118225,-1.077817,-1.020709,-0.947543,-0.863855,-0.774292,-0.684827,-0.59836,-0.497279,-0.382939,-0.262792,-0.147124,-0.041336,0.052763,0.135076,0.200125,0.246885,0.27546,0.284931,0.275451,0.247406,0.202208,0.144594,0.085672,0.027296,-0.027432,-0.071926,-0.095847,-0.098598,-0.080923,-0.044531,0.005451,0.063716,0.125362,0.202839,0.297458,0.40893,0.531009,0.660515,0.772582,0.861719,0.928042,0.971285,0.990971,0.986781,0.95902,0.908748,0.841298,0.761444,0.672989,0.572798,0.463497,0.346574,0.227187,0.108426,0.005834,-0.078169,-0.143239,-0.189236,-0.215713,-0.22327,-0.216239,-0.204905,-0.190313,-0.171051,-0.151136,-0.138603,-0.137946,-0.14979,-0.174288,-0.211596,-0.261326,-0.324854,-0.40098,-0.488722,-0.587253,-0.693554,-0.796403,-0.884512,-0.958038,-1.02335,-1.089608,-1.153724,-1.204151,-1.241934,-1.265444,-1.274609,-1.269018,-1.245081,-1.203539,-1.146607,-1.077251,-1.001162,-0.918122,-0.830179,-0.735856,-0.631022,-0.502418,-0.354701,-0.198921,-0.035756,0.133639,0.308604,0.487653,0.667343,0.846544,1.026305,1.201395,1
0.900739,0.707589,0.520287,0.364179,0.22719,0.096445,-0.032834,-0.163877,-0.296917,-0.428148,-0.556753,-0.672583,-0.777806,-0.867408,-0.943614,-1.0111,-1.067611,-1.112191,-1.144262,-1.178842,-1.202618,-1.203199,-1.177298,-1.136538,-1.082827,-1.005067,-0.906617,-0.804048,-0.692666,-0.584658,-0.486312,-0.383708,-0.266822,-0.138383,-0.008281,0.094067,0.170508,0.241874,0.299043,0.338092,0.358059,0.34994,0.316439,0.272355,0.209184,0.131762,0.05906,-0.009912,-0.073339,-0.128312,-0.170882,-0.196895,-0.195766,-0.1863,-0.156874,-0.09758,-0.004541,0.117038,0.263324,0.428634,0.588642,0.73878,0.862465,0.96021,1.027845,1.063589,1.069024,1.064241,1.028717,0.961259,0.861065,0.733046,0.593844,0.444628,0.289067,0.138344,0.018433,-0.068225,-0.146596,-0.216251,-0.258364,-0.287624,-0.292195,-0.273649,-0.227051,-0.170212,-0.104841,-0.035492,0.026128,0.072596,0.096791,0.108612,0.090625,0.042248,-0.006657,-0.04201,-0.098365,-0.163212,-0.248623,-0.35503,-0.47811,-0.589693,-0.687628,-0.773606,-0.872359,-0.970298,-1.052258,-1.131481,-1.191158,-1.228416,-1.242105,-1.245574,-1.220777,-1.167282,-1.08938,-0.999241,-0.903459,-0.798065,-0.686933,-0.57059,-0.428951,-0.268776,-0.097932,0.084218,0.275481,0.473563,0.672669,0.870706,1.056693,2
1.10379,0.894897,0.687482,0.482168,0.278831,0.080608,-0.106162,-0.280269,-0.440887,-0.585233,-0.71114,-0.822603,-0.917514,-0.995606,-1.05219,-1.086321,-1.096839,-1.083364,-1.045534,-0.983208,-0.903525,-0.810851,-0.711068,-0.608553,-0.513062,-0.431453,-0.364442,-0.312846,-0.278065,-0.259551,-0.257414,-0.270926,-0.299191,-0.323214,-0.343802,-0.361075,-0.367962,-0.363184,-0.346924,-0.319552,-0.276014,-0.21592,-0.148534,-0.073422,0.009159,0.099782,0.197924,0.293689,0.37938,0.436205,0.463269,0.46196,0.433249,0.379088,0.31349,0.231478,0.149658,0.056367,-0.032857,-0.118696,-0.19276,-0.255866,-0.304959,-0.331744,-0.330979,-0.303528,-0.254753,-0.192042,-0.116781,-0.030436,0.053066,0.142977,0.225904,0.305369,0.372472,0.424586,0.452425,0.454796,0.428821,0.382603,0.325589,0.256197,0.174882,0.101081,0.034717,-0.023247,-0.073957,-0.118466,-0.164291,-0.20514,-0.237373,-0.263703,-0.285602,-0.303767,-0.317118,-0.33376,-0.361739,-0.397944,-0.436226,-0.488056,-0.553051,-0.630745,-0.718909,-0.815519,-0.91151,-0.999803,-1.078113,-1.136566,-1.172877,-1.186,-1.177337,-1.146704,-1.095353,-1.024808,-0.93686,-0.834736,-0.717871,-0.587488,-0.443525,-0.286731,-0.117958,0.061224,0.246675,0.433846,0.622015,0.81137,1.001807,1.192612,1.375341,6
