@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute target {1,2}

@data
1.046975,0.806948,0.460242,-0.019812,-0.499866,-0.926581,-1.193277,-1.379965,-1.459974,-1.513314,-1.539983,-1.486644,-1.326626,-1.059929,-0.766563,-0.393187,-0.073151,0.193546,0.353564,0.486912,0.566921,0.593591,0.62026,0.593591,0.540251,0.486912,0.433573,0.380233,0.380233,0.326894,0.300224,0.300224,0.353564,0.406903,0.540251,0.700269,0.833618,0.860287,0.780278,0.62026,0.406903,0.193546,-0.046481,-0.313178,-0.633214,-0.873241,-1.00659,-1.059929,-1.00659,-0.873241,-0.766563,-0.659884,-0.499866,-0.286508,-0.073151,0.113537,0.193546,0.166876,0.140206,0.113537,0.113537,0.113537,0.060197,2
0.719176,0.612819,0.683724,0.612819,0.222843,-0.167133,-0.521656,-0.698918,-0.663466,-0.592561,-0.663466,-0.947084,-1.124346,-1.017989,-0.698918,-0.415299,-0.238037,-0.096228,0.045582,0.258296,0.47101,0.612819,0.683724,0.790081,0.825534,0.790081,0.719176,0.648272,0.577367,0.506462,0.400105,0.364653,0.400105,0.435558,0.47101,0.47101,0.47101,0.400105,0.258296,-0.096228,-0.415299,-0.557109,-0.557109,-0.557109,-0.73437,-0.947084,-1.017989,-0.911632,-0.769823,-0.663466,-0.628013,-0.592561,-0.415299,-0.167133,0.045582,0.187391,0.187391,0.081034,-0.025323,-0.060775,-0.060775,-0.060775,-0.096228,1
1.199765,0.935111,0.523427,0.111743,-0.270535,-0.68222,-1.093904,-1.387964,-1.476182,-1.41737,-1.27034,-1.152716,-1.093904,-0.917468,-0.68222,-0.358753,-0.064693,0.141149,0.317585,0.405803,0.494021,0.494021,0.464615,0.405803,0.317585,0.258773,0.229367,0.199961,0.170555,0.170555,0.229367,0.346991,0.494021,0.523427,0.523427,0.699863,0.935111,1.111547,1.052735,0.846893,0.523427,0.288179,0.141149,-0.064693,-0.329347,-0.623407,-0.82925,-0.97628,-0.946874,-0.770438,-0.594001,-0.505783,-0.446971,-0.299941,-0.094099,0.141149,0.258773,0.229367,0.082337,-0.064693,-0.182317,-0.270535,-0.299941,2
1.157165,0.924134,0.597891,0.201738,-0.171111,-0.543961,-0.893507,-1.173145,-1.28966,-1.28966,-1.219751,-1.126538,-1.079932,-1.010023,-0.823598,-0.567264,-0.31093,-0.101202,0.06192,0.178435,0.294951,0.36486,0.36486,0.341557,0.294951,0.248344,0.225041,0.178435,0.131829,0.108526,0.178435,0.294951,0.458072,0.597891,0.714406,0.924134,1.180468,1.390196,1.390196,1.250378,0.994044,0.691103,0.388163,0.085223,-0.264324,-0.660476,-0.98672,-1.196448,-1.28966,-1.196448,-1.033326,-0.893507,-0.776992,-0.637173,-0.404142,-0.171111,0.038617,0.108526,0.085223,0.015313,-0.031293,-0.00799,-0.00799,2
0.727871,0.521382,0.289083,0.082595,-0.30457,-0.717546,-1.0789,-1.259577,-1.285388,-1.259577,-1.311199,-1.362822,-1.233766,-0.949845,-0.56268,-0.252948,-0.098082,-0.020649,0.082595,0.21165,0.289083,0.289083,0.185839,0.134217,0.108406,0.108406,0.160028,0.185839,0.185839,0.21165,0.314894,0.392327,0.46976,0.495571,0.443949,0.418138,0.598815,0.831115,0.908548,0.882737,0.650438,0.46976,0.418138,0.418138,0.160028,-0.30457,-0.743357,-1.053089,-1.130522,-1.104711,-1.104711,-1.156333,-1.156333,-1.001467,-0.691735,-0.30457,0.056784,0.314894,0.495571,0.598815,0.70206,0.753682,0.753682,1
1.275736,0.941988,0.441365,-0.011579,-0.464523,-0.869789,-1.155859,-1.275055,-1.298894,-1.251216,-1.179698,-1.108181,-0.988985,-0.84595,-0.631397,-0.416845,-0.226132,-0.083097,0.083778,0.202973,0.274491,0.322169,0.29833,0.29833,0.322169,0.369848,0.346008,0.322169,0.274491,0.29833,0.393687,0.465204,0.536722,0.632079,0.775114,0.941988,1.108862,1.085023,0.918149,0.703596,0.441365,0.131456,-0.130775,-0.393006,-0.679076,-0.917467,-1.108181,-1.203537,-1.155859,-0.988985,-0.869789,-0.774432,-0.631397,-0.416845,-0.154614,0.059938,0.155295,0.107617,0.059938,0.01226,0.01226,0.01226,-0.011579,2
0.726561,0.37821,-0.023734,-0.398881,-0.774029,-1.095584,-1.309954,-1.443935,-1.443935,-1.363546,-1.33675,-1.309954,-1.202769,-0.988399,-0.720436,-0.425678,-0.211308,-0.05053,0.110247,0.271025,0.351414,0.351414,0.324617,0.297821,0.297821,0.297821,0.244229,0.16384,0.110247,0.137044,0.244229,0.351414,0.405006,0.512191,0.753357,1.02132,1.208894,1.155301,0.994524,0.699765,0.458599,0.190636,-0.104123,-0.318493,-0.559659,-0.747232,-0.961602,-1.015195,-0.934806,-0.774029,-0.640047,-0.613251,-0.47927,-0.184511,0.16384,0.431802,0.538987,0.485395,0.405006,0.351414,0.324617,0.297821,0.271025,2
0.867103,0.527633,0.097638,-0.287095,-0.671827,-0.988666,-1.260242,-1.418661,-1.463924,-1.441292,-1.373398,-1.328136,-1.23761,-1.05656,-0.784984,-0.490776,-0.241832,-0.03815,0.120269,0.256057,0.323951,0.369214,0.369214,0.346583,0.278689,0.233426,0.210795,0.165532,0.120269,0.097638,0.097638,0.142901,0.278689,0.459739,0.686052,0.912366,1.070785,1.048154,0.934997,0.731315,0.459739,0.097638,-0.287095,-0.581302,-0.830246,-0.988666,-1.124454,-1.124454,-1.033928,-0.830246,-0.626564,-0.513408,-0.354988,-0.128675,0.165532,0.369214,0.482371,0.505002,0.459739,0.437108,0.437108,0.482371,0.505002,2
0.771511,0.453456,0.135401,-0.246266,-0.691543,-1.041404,-1.264042,-1.295848,-1.264042,-1.168626,-1.168626,-1.200431,-1.13682,-0.945987,-0.691543,-0.468904,-0.246266,-0.055432,0.135401,0.326234,0.485261,0.548872,0.548872,0.548872,0.485261,0.42165,0.358039,0.262623,0.199012,0.167206,0.167206,0.07179,0.07179,0.199012,0.42165,0.739706,0.898733,0.898733,0.803317,0.7079,0.580678,0.358039,0.103595,-0.21446,-0.532515,-0.786959,-0.945987,-0.977793,-0.914182,-0.786959,-0.723348,-0.723348,-0.564321,-0.278071,0.07179,0.326234,0.453456,0.453456,0.42165,0.453456,0.453456,0.358039,0.230817,2
0.0593,-0.073178,-0.117338,-0.117338,-0.293975,-0.514772,-0.735568,-0.823887,-0.691409,-0.558931,-0.558931,-0.64725,-0.64725,-0.470612,-0.117338,0.191778,0.500893,0.67753,0.854168,0.898327,0.942486,0.898327,0.810008,0.765849,0.589212,0.456734,0.280096,0.147618,0.01514,-0.029019,-0.117338,-0.205656,-0.161497,-0.073178,0.103459,0.280096,0.191778,0.0593,0.103459,0.191778,0.235937,0.103459,-0.293975,-0.64725,-0.735568,-0.912206,-1.177162,-1.30964,-1.30964,-1.044684,-0.514772,-0.161497,0.0593,0.324256,0.545052,0.633371,0.545052,0.368415,0.147618,0.0593,0.103459,0.191778,0.235937,1
