@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute target {1,2}

@data
-0.802533,-0.793364,-0.791123,-0.791087,-0.792587,-0.797603,-0.79881,-0.801586,-0.804885,-0.808754,-0.819082,-0.820102,-0.819524,-0.820158,-0.821153,-0.820684,-0.820633,-0.821333,-0.821599,-0.819979,-0.820576,-0.819244,-0.820431,-0.816641,-0.818443,-0.815258,-0.816657,-0.814358,-0.817916,-0.813122,-0.81182,-0.806593,-0.806228,-0.800354,-0.803899,-0.79577,-0.800583,-0.79355,-0.799886,-0.797061,-0.816316,-0.814721,-0.805864,-0.713303,-0.615988,-0.449114,-0.353988,-0.070001,0.377252,0.563335,0.782825,1.06106,1.382536,1.699324,1.98984,2.153706,2.222734,2.223526,2.2473,2.253274,2.261837,2.272234,2.268279,2.288766,2.286874,2.287218,2.274543,2.279203,2.277582,2.270274,2.268542,2.257305,2.246172,2.222776,2.191244,2.122475,1.987406,1.832282,1.622829,1.458612,1.187488,0.982005,0.697727,0.51844,0.134124,-0.161354,-0.475358,-0.679401,-0.838513,-0.946546,-0.967593,-0.95739,-0.914686,-0.880916,-0.852603,-0.839329,-0.825656,-0.82502,-0.822204,-0.821886,-0.815434,-0.806346,-0.792388,-0.790871,-0.78393,-0.785802,-0.783594,-0.787532,-0.786202,-0.788994,-0.787795,-0.788428,-0.790012,-0.792981,-0.792754,-0.793662,-0.792555,-0.792718,-0.794115,-0.792507,-0.791611,2
-0.798924,-0.800902,-0.802598,-0.802279,-0.797642,-0.79233,-0.789163,-0.787108,-0.786671,-0.784581,-0.783907,-0.781482,-0.779164,-0.777201,-0.771368,-0.765097,-0.75881,-0.754852,-0.753783,-0.755541,-0.755353,-0.757588,-0.757114,-0.758478,-0.757106,-0.755935,-0.75369,-0.751344,-0.747074,-0.744143,-0.740288,-0.74173,-0.739477,-0.741132,-0.73626,-0.738,-0.740138,-0.736725,-0.682452,-0.609682,-0.525821,-0.409162,-0.229486,-0.014548,0.300193,0.627625,0.884751,1.052247,1.27027,1.517367,1.782859,2.027664,2.214554,2.29344,2.293806,2.330718,2.344406,2.367067,2.368112,2.371343,2.377628,2.380041,2.383668,2.378601,2.380023,2.384018,2.375852,2.376193,2.344487,2.28883,2.193939,2.045517,1.825948,1.613299,1.401063,1.201404,1.008809,0.830453,0.619835,0.265302,-0.104713,-0.399314,-0.580097,-0.763904,-0.902749,-0.977643,-1.005154,-1.009738,-1.000241,-0.981442,-0.951522,-0.93307,-0.905477,-0.890065,-0.871697,-0.860373,-0.84724,-0.834624,-0.825172,-0.818174,-0.809245,-0.804461,-0.800801,-0.800084,-0.799374,-0.800287,-0.800317,-0.798452,-0.797019,-0.797091,-0.797934,-0.796511,-0.794942,-0.795274,-0.794006,-0.791169,-0.790185,-0.787795,-0.787376,-0.787073,-0.783397,2
-0.964964,-0.964276,-0.963615,-0.962789,-0.956511,-0.947157,-0.945375,-0.948786,-0.948911,-0.950123,-0.957177,-0.969121,-0.968574,-0.964639,-0.961642,-0.964611,-0.969053,-0.967998,-0.958423,-0.954223,-0.952881,-0.955334,-0.957565,-0.959731,-0.959424,-0.954904,-0.952603,-0.955909,-0.95485,-0.941835,-0.868214,-0.801487,-0.78664,-0.781012,-0.783535,-0.760159,-0.716185,-0.698774,-0.675701,-0.633431,-0.516089,-0.386188,0.061246,0.453493,0.672125,1.070895,1.44328,1.758665,1.966068,2.046489,2.078874,2.09755,2.110308,2.112067,2.108444,2.106721,2.104575,2.101785,2.10312,2.103051,2.096699,2.09259,2.091454,2.077608,2.070771,2.062192,2.060347,2.051213,2.037623,2.027335,2.028859,2.005285,1.969956,1.901253,1.764899,1.570305,1.350925,1.089596,0.842656,0.568074,0.334501,0.136484,-0.069494,-0.255578,-0.416768,-0.520253,-0.607028,-0.659074,-0.693903,-0.702706,-0.73457,-0.765605,-0.792897,-0.791099,-0.786855,-0.757211,-0.725931,-0.700896,-0.674504,-0.666862,-0.694361,-0.745993,-0.804972,-0.849667,-0.878625,-0.899003,-0.913442,-0.916403,-0.915617,-0.912416,-0.903468,-0.901846,-0.897746,-0.894477,-0.888037,-0.881589,-0.873672,-0.871743,-0.871959,-0.875819,-0.876879,1
-0.929668,-0.926253,-0.924871,-0.922588,-0.922111,-0.923977,-0.923851,-0.924824,-0.924511,-0.924591,-0.924162,-0.925072,-0.924445,-0.924079,-0.92311,-0.924504,-0.923122,-0.923215,-0.923488,-0.92121,-0.919935,-0.918932,-0.917356,-0.915236,-0.906835,-0.862034,-0.782187,-0.723999,-0.707998,-0.698346,-0.711086,-0.721815,-0.728056,-0.71121,-0.686619,-0.653435,-0.607082,-0.501705,-0.39334,-0.22076,0.081069,0.306703,0.644349,0.944986,1.24365,1.530563,1.827376,2.058832,2.135968,2.170381,2.190075,2.197338,2.201529,2.20726,2.209025,2.209317,2.207307,2.205586,2.201228,2.203022,2.201871,2.204614,2.196058,2.186357,2.185062,2.184225,2.17246,2.156874,2.110597,2.035139,1.892732,1.711564,1.497373,1.266575,1.003519,0.745262,0.487901,0.252277,0.049698,-0.140144,-0.305887,-0.429486,-0.516039,-0.569424,-0.602799,-0.635941,-0.649423,-0.662503,-0.671751,-0.684446,-0.686762,-0.686491,-0.686614,-0.68937,-0.692551,-0.708391,-0.736988,-0.786281,-0.848947,-0.905902,-0.954528,-0.978668,-0.982062,-0.979593,-0.977704,-0.966128,-0.956279,-0.939445,-0.921452,-0.906422,-0.894565,-0.894749,-0.893454,-0.895183,-0.901035,-0.904472,-0.90219,-0.902615,-0.899783,-0.899235,-0.898403,1
-0.74276,-0.741254,-0.742616,-0.740696,-0.733161,-0.72948,-0.726949,-0.724262,-0.720571,-0.717086,-0.715284,-0.716487,-0.716141,-0.71595,-0.713291,-0.714643,-0.714406,-0.712733,-0.713591,-0.711375,-0.709561,-0.712505,-0.710953,-0.711531,-0.709265,-0.704112,-0.704352,-0.705158,-0.703775,-0.705973,-0.704433,-0.700733,-0.696202,-0.691668,-0.681786,-0.652474,-0.57352,-0.413784,-0.092329,0.233258,0.55043,0.808912,0.980647,1.107852,1.297816,1.580602,1.905432,2.226755,2.465728,2.533937,2.528679,2.549433,2.532044,2.522824,2.529847,2.519498,2.52703,2.52354,2.521192,2.516804,2.509458,2.508963,2.51413,2.483457,2.362261,2.156953,1.910055,1.654803,1.431108,1.158747,0.836416,0.411444,0.019132,-0.351683,-0.655153,-0.8319,-0.910473,-0.901781,-0.877138,-0.839223,-0.825377,-0.807228,-0.80126,-0.785639,-0.770867,-0.74183,-0.710867,-0.671169,-0.647746,-0.643054,-0.653613,-0.669419,-0.692928,-0.71419,-0.727677,-0.73316,-0.736818,-0.736013,-0.735092,-0.734842,-0.736897,-0.735057,-0.743461,-0.744164,-0.747088,-0.750643,-0.754363,-0.763258,-0.770023,-0.778485,-0.785175,-0.789234,-0.795591,-0.797415,-0.799799,-0.800666,-0.80217,-0.798763,-0.797472,-0.793007,-0.783464,2
-0.679708,-0.688548,-0.692156,-0.698619,-0.704674,-0.710839,-0.715013,-0.718751,-0.727802,-0.733506,-0.739784,-0.746486,-0.750078,-0.756754,-0.759219,-0.765765,-0.769843,-0.771026,-0.769842,-0.768403,-0.769232,-0.766098,-0.76332,-0.761115,-0.760579,-0.762736,-0.760285,-0.763892,-0.763557,-0.765544,-0.762167,-0.765015,-0.765341,-0.766009,-0.763818,-0.76296,-0.68786,-0.521437,-0.19105,0.19286,0.601701,0.93717,1.169027,1.367695,1.52821,1.707674,1.892483,2.064146,2.199992,2.329862,2.347256,2.351972,2.353698,2.364895,2.374491,2.376302,2.376726,2.378087,2.387276,2.387663,2.372041,2.369081,2.357371,2.338007,2.272197,2.171617,2.022389,1.806057,1.567549,1.33623,1.118791,0.947606,0.826743,0.690575,0.559882,0.389549,0.217733,0.003205,-0.217712,-0.440273,-0.614321,-0.761581,-0.883225,-0.975691,-1.018849,-1.01988,-0.998583,-0.984389,-0.967953,-0.944443,-0.919371,-0.890893,-0.8802,-0.870855,-0.862395,-0.862494,-0.864468,-0.861685,-0.859837,-0.857104,-0.855514,-0.852448,-0.855452,-0.856329,-0.855701,-0.859354,-0.858418,-0.865571,-0.867646,-0.869193,-0.867835,-0.868656,-0.874725,-0.875637,-0.873136,-0.872515,-0.874545,-0.87431,-0.873183,-0.879317,-0.881292,2
-1.567863,-1.615142,-1.630866,-1.638231,-1.631296,-1.619624,-1.59789,-1.587712,-1.583,-1.580216,-1.578147,-1.57776,-1.579112,-1.578898,-1.577338,-1.577934,-1.576472,-1.572956,-1.55182,-1.454075,-1.24914,-0.925309,-0.523544,-0.12436,0.26211,0.565284,0.783054,0.903605,0.978332,1.020294,1.047747,1.058528,1.074662,1.079207,1.091542,1.097928,1.101444,1.097392,1.095321,1.09801,1.100112,1.098746,1.104628,1.108485,1.109837,1.101988,1.110104,1.107322,1.110437,1.100968,1.109094,1.102461,1.104318,1.104334,1.10224,1.102195,1.104685,1.109893,1.109068,1.11089,1.109368,1.110067,1.107762,1.109639,1.107581,1.104135,1.100286,1.103594,1.098503,1.096273,1.097898,1.085623,1.080361,1.07852,1.079609,1.07684,1.079145,1.072952,1.063938,1.064957,1.062072,1.062788,1.048633,1.039457,1.022525,0.991461,0.974509,0.924714,0.880078,0.832986,0.761507,0.680299,0.546602,0.363969,0.131847,-0.151044,-0.46265,-0.769521,-1.072065,-1.306279,-1.510452,-1.631888,-1.669137,-1.690153,-1.688602,-1.667383,-1.618835,-1.569745,-1.533759,-1.51609,-1.514806,-1.533805,-1.549173,-1.564632,-1.576692,-1.583847,-1.587131,-1.588362,-1.58813,-1.587132,-1.58675,2
-2.49496,-2.493752,-2.495202,-2.496079,-2.496114,-2.496076,-2.495479,-2.496247,-2.495869,-2.496446,-2.497315,-2.499136,-2.499304,-2.5018,-2.501194,-2.50398,-2.503703,-2.505753,-2.487446,-2.436937,-2.287276,-2.042278,-1.70134,-1.29193,-0.856317,-0.412658,-0.031568,0.270829,0.495162,0.631473,0.697112,0.717606,0.718338,0.708782,0.684657,0.684868,0.684543,0.686837,0.677041,0.697523,0.697026,0.702048,0.710039,0.707479,0.712398,0.717046,0.718673,0.723377,0.724976,0.717414,0.728516,0.723771,0.735035,0.732665,0.736238,0.73028,0.732225,0.730359,0.733234,0.733229,0.72406,0.725175,0.730034,0.726799,0.718195,0.71512,0.708088,0.71836,0.709016,0.717373,0.713775,0.719466,0.712144,0.708353,0.701952,0.697528,0.698098,0.697007,0.699431,0.702412,0.696127,0.696127,0.700855,0.694164,0.691805,0.693501,0.686939,0.688317,0.691592,0.692774,0.692472,0.696688,0.697747,0.701219,0.70354,0.704011,0.704901,0.709647,0.714254,0.718853,0.718007,0.717981,0.717027,0.723519,0.719935,0.718627,0.722978,0.711325,0.710302,0.715688,0.683314,0.662677,0.595952,0.515075,0.400958,0.252697,0.036694,-0.217316,-0.521583,-0.861479,-1.224933,2
-1.321058,-1.322498,-1.323621,-1.324133,-1.326788,-1.323511,-1.323554,-1.325705,-1.326846,-1.325803,-1.323909,-1.323084,-1.325658,-1.318818,-1.252938,-1.126285,-0.862753,-0.520013,-0.140627,0.250211,0.611533,0.892099,1.114573,1.241351,1.317225,1.352055,1.350103,1.359461,1.342122,1.339335,1.337951,1.349099,1.348085,1.3507,1.347314,1.349367,1.346131,1.33786,1.333882,1.335083,1.330983,1.321866,1.322275,1.325079,1.325779,1.323958,1.323538,1.320629,1.312907,1.31753,1.314953,1.317085,1.315574,1.31435,1.309532,1.311669,1.306599,1.305867,1.313773,1.310119,1.309806,1.314826,1.311699,1.314308,1.311501,1.306691,1.308444,1.275071,1.260234,1.247677,1.206914,1.147818,1.118398,1.05723,0.966503,0.850088,0.70325,0.53181,0.303362,0.056216,-0.219357,-0.464445,-0.702544,-0.923923,-1.09089,-1.227617,-1.32037,-1.371293,-1.382932,-1.380697,-1.365121,-1.336366,-1.323676,-1.311247,-1.305056,-1.304651,-1.298852,-1.298403,-1.296648,-1.296843,-1.296602,-1.295208,-1.29354,-1.294581,-1.294286,-1.296527,-1.296471,-1.298546,-1.299625,-1.300506,-1.303947,-1.2994,-1.300535,-1.301594,-1.298321,-1.298994,-1.296017,-1.287602,-1.284084,-1.279308,-1.277224,2
-1.459243,-1.456581,-1.452466,-1.450067,-1.445737,-1.446027,-1.447311,-1.447469,-1.449464,-1.450237,-1.455311,-1.454204,-1.429162,-1.357094,-1.243879,-1.120053,-1.01457,-0.96104,-0.941624,-0.942278,-0.926282,-0.889296,-0.862421,-0.847022,-0.83801,-0.833562,-0.83095,-0.779627,-0.688262,-0.497288,-0.255632,-0.002331,0.247987,0.467972,0.667587,0.847201,1.024454,1.169973,1.290679,1.375935,1.430327,1.452054,1.472354,1.473152,1.477693,1.487874,1.491351,1.486523,1.48937,1.487221,1.487061,1.487444,1.486661,1.485747,1.483568,1.484179,1.478761,1.478065,1.473589,1.47304,1.477099,1.473529,1.477128,1.476863,1.473289,1.475162,1.477208,1.478212,1.481615,1.478815,1.472087,1.47182,1.470981,1.462892,1.46372,1.451194,1.444536,1.410196,1.366689,1.303974,1.196258,1.067295,0.912047,0.737541,0.568743,0.386953,0.216537,0.041493,-0.122554,-0.280696,-0.430437,-0.577284,-0.707337,-0.815964,-0.916587,-0.977772,-1.009984,-1.028905,-1.038723,-1.033562,-1.026593,-1.02117,-1.01906,-1.015948,-1.026614,-1.039567,-1.054559,-1.08644,-1.123029,-1.164435,-1.221593,-1.31898,-1.422758,-1.540449,-1.628593,-1.650251,-1.613861,-1.575192,-1.56829,-1.573652,-1.566358,1
