@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.615748,-0.477214,-0.16767,0.238953,0.649512,1.00765,1.289425,1.620657,1.812613,1.818384,1.867483,1.782676,1.49945,1.091585,0.777275,0.346258,-0.038878,-0.408485,-0.581534,-0.566421,-0.377971,-0.114676,0.196358,0.544424,0.894355,1.242642,1.620719,1.804486,1.699998,1.742927,1.767655,1.679932,1.725317,1.735293,1.416978,1.11435,0.675804,0.370506,-0.088408,-0.278292,-0.813622,-1.396532,-1.266568,-1.338636,-1.289522,-1.326306,-1.29723,-1.321017,-1.301099,-1.318051,-1.303457,-1.31612,-1.305077,-1.314732,-1.306289,-1.313658,-1.307255,-1.312776,-1.308069,-1.312017,-1.308785,-1.311334,-1.309443,-1.310694,-1.310071,6
-0.522093,-0.493489,-0.180972,0.19341,0.5767,0.962581,1.332078,1.669612,1.730982,1.670782,1.746611,1.913509,1.851671,1.528984,1.176297,0.82286,0.464026,0.035477,-0.339117,-0.492782,-0.491934,-0.316293,-0.047346,0.278591,0.623202,0.99155,1.328786,1.596696,1.503167,1.458534,1.550731,1.599957,1.534966,1.630982,1.573946,1.286281,0.874811,0.544585,0.082218,-0.14056,-0.766668,-1.447767,-1.291245,-1.380269,-1.318317,-1.365528,-1.327665,-1.359021,-1.332491,-1.355272,-1.33551,-1.35277,-1.337633,-1.350931,-1.339253,-1.349482,-1.340567,-1.348276,-1.341687,-1.347224,-1.342685,-1.346269,-1.343608,-1.345369,-1.344492,6
-0.513423,-0.385268,-0.066829,0.260743,0.641848,0.97299,1.217117,1.562377,1.609613,1.597138,1.682788,1.772055,1.562721,1.263163,0.909012,0.593053,0.245352,-0.122062,-0.431494,-0.498111,-0.307895,-0.056881,0.267478,0.582524,0.962166,1.299464,1.630807,1.697299,1.663772,1.618405,1.580118,1.597955,1.670943,1.747699,1.487894,1.156883,0.746971,0.446328,0.008384,-0.151928,-0.765188,-1.468559,-1.306491,-1.398483,-1.334645,-1.383157,-1.344352,-1.376414,-1.349342,-1.372546,-1.352449,-1.369977,-1.354624,-1.368098,-1.356276,-1.366623,-1.357612,-1.365399,-1.358747,-1.364334,-1.359756,-1.36337,-1.360687,-1.362462,-1.361578,6
-0.476874,-0.478415,-0.217298,0.181998,0.559842,0.960111,1.322805,1.647566,1.760751,1.6979,1.691431,1.843793,1.739375,1.389817,1.044945,0.713494,0.335606,-0.078423,-0.334577,-0.527843,-0.46264,-0.250473,0.042708,0.392427,0.751389,1.126233,1.492092,1.652427,1.524488,1.595765,1.676795,1.599679,1.502659,1.685875,1.560396,1.206909,0.803642,0.497376,0.050167,-0.093073,-0.734868,-1.456809,-1.289208,-1.385164,-1.318035,-1.369418,-1.328053,-1.362423,-1.333257,-1.358366,-1.336535,-1.355641,-1.338855,-1.353626,-1.340636,-1.352028,-1.342088,-1.350691,-1.343333,-1.349521,-1.344445,-1.348454,-1.345476,-1.347448,-1.346466,6
-0.567584,-0.430233,-0.103385,0.265255,0.622004,0.984342,1.300704,1.668205,1.790339,1.733337,1.837337,1.850028,1.643039,1.340217,0.935595,0.607824,0.270452,-0.108999,-0.453552,-0.645937,-0.530271,-0.294684,0.018404,0.371524,0.741258,1.08402,1.45202,1.640894,1.521659,1.651416,1.77179,1.708248,1.62281,1.729171,1.546639,1.179059,0.749707,0.423216,-0.023841,-0.224323,-0.796488,-1.42015,-1.276745,-1.3582,-1.301626,-1.344647,-1.310218,-1.338672,-1.314643,-1.335241,-1.317401,-1.332959,-1.319333,-1.33129,-1.3208,-1.32998,-1.321986,-1.328893,-1.322994,-1.327949,-1.323889,-1.327093,-1.324714,-1.326289,-1.325505,6
-0.513189,-0.405311,-0.113755,0.24186,0.624836,1.002863,1.386887,1.733265,1.701397,1.619409,1.743517,1.830557,1.621338,1.282841,0.864804,0.544193,0.139765,-0.235654,-0.449209,-0.44494,-0.317066,-0.06769,0.191305,0.53945,0.880055,1.24484,1.497091,1.665502,1.600994,1.59009,1.594711,1.594573,1.586411,1.700017,1.511982,1.187252,0.779209,0.466656,0.035335,-0.131379,-0.761421,-1.45822,-1.300348,-1.389,-1.327986,-1.374035,-1.337418,-1.367514,-1.342221,-1.363808,-1.345183,-1.361371,-1.347237,-1.359606,-1.348781,-1.358233,-1.350018,-1.357105,-1.351061,-1.35613,-1.35198,-1.355253,-1.352825,-1.354431,-1.353632,6
-0.592998,-0.479946,-0.172979,0.217385,0.578417,0.956966,1.276349,1.603894,1.740704,1.77074,1.814793,1.789733,1.609307,1.24421,0.82917,0.461793,0.090743,-0.236901,-0.533513,-0.561701,-0.409011,-0.134254,0.198863,0.540714,0.920136,1.160582,1.456958,1.737672,1.622019,1.675551,1.754847,1.753738,1.622845,1.73598,1.49063,1.218989,0.765867,0.43303,-0.009878,-0.22844,-0.791983,-1.422512,-1.278312,-1.359661,-1.30354,-1.345946,-1.312208,-1.339942,-1.316635,-1.336524,-1.319369,-1.334275,-1.321263,-1.332647,-1.322687,-1.331383,-1.323826,-1.330343,-1.324786,-1.329447,-1.325632,-1.32864,-1.326409,-1.327885,-1.32715,6
-0.501863,-0.41187,-0.153565,0.239001,0.605083,0.960733,1.241423,1.635277,1.735517,1.632497,1.695802,1.762036,1.569871,1.271893,0.927704,0.619424,0.2071,-0.191046,-0.461112,-0.490592,-0.373752,-0.132404,0.162565,0.518576,0.847536,1.223382,1.445601,1.767854,1.675263,1.558025,1.579389,1.609023,1.56118,1.657274,1.608996,1.300687,0.893203,0.546832,0.103892,-0.093286,-0.736904,-1.469348,-1.295514,-1.396657,-1.325033,-1.380375,-1.335492,-1.373005,-1.341021,-1.368662,-1.344554,-1.365707,-1.347083,-1.3635,-1.349041,-1.361738,-1.350649,-1.360254,-1.352033,-1.35895,-1.353274,-1.357759,-1.354427,-1.356633,-1.355534,6
-0.613593,-0.531,-0.248477,0.122625,0.517531,0.933462,1.295325,1.617939,1.801061,1.75226,1.808583,1.873728,1.685278,1.330857,0.968462,0.597098,0.190446,-0.144431,-0.408347,-0.632737,-0.51099,-0.245818,0.09602,0.477963,0.830664,1.171778,1.503588,1.729001,1.604106,1.678586,1.712316,1.70085,1.718337,1.690673,1.461201,1.12445,0.724402,0.387366,-0.048187,-0.269244,-0.833306,-1.400264,-1.270968,-1.34438,-1.293319,-1.332223,-1.301027,-1.326859,-1.305005,-1.323767,-1.307495,-1.321704,-1.309245,-1.320189,-1.31058,-1.318996,-1.311662,-1.318002,-1.312584,-1.317136,-1.313405,-1.316351,-1.314164,-1.315611,-1.314891,6
-0.545898,-0.478436,-0.166722,0.217854,0.646971,1.030512,1.28675,1.665838,1.735388,1.688001,1.822131,1.80658,1.57371,1.213715,0.911454,0.525707,0.150823,-0.181198,-0.468182,-0.535891,-0.41392,-0.142446,0.178817,0.548454,0.915976,1.296452,1.578214,1.625432,1.486928,1.669635,1.698846,1.555572,1.459199,1.674423,1.61865,1.247645,0.822191,0.473932,0.039091,-0.1533,-0.769592,-1.446971,-1.288868,-1.379812,-1.315974,-1.364955,-1.325457,-1.358315,-1.330409,-1.354446,-1.33354,-1.35184,-1.33576,-1.349911,-1.337466,-1.34838,-1.338858,-1.347099,-1.340051,-1.345977,-1.341116,-1.344956,-1.342104,-1.343992,-1.343052,6
