@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute target {1,2}

@data
-0.868484,-0.73713,-0.387339,0.016455,0.453243,0.784966,1.124598,1.542033,1.821849,1.882493,1.804116,1.523745,1.229442,0.84875,0.501917,0.080175,-0.329702,-0.716189,-0.898887,-0.880921,-0.669401,-0.28266,0.117907,0.564067,0.995641,1.427699,1.872876,2.062193,1.974892,1.888374,1.912483,1.94944,2.031689,1.889069,1.438856,1.008299,0.580767,0.142703,-0.215192,-0.639643,-0.776212,-0.733173,-0.916333,-1.129025,-1.370879,-1.572535,-1.665349,-1.562501,-1.364159,-1.123895,-0.959703,-0.810045,-0.758565,-0.784416,-0.935095,-1.082441,-1.317092,-1.504499,-1.694826,-1.640411,-1.434415,-1.226791,-1.019807,-0.809993,-0.653029,2
-0.930992,-0.756161,-0.413596,0.010292,0.473148,0.876176,1.191614,1.639025,1.838019,1.833668,1.912457,1.812388,1.534275,1.088638,0.726815,0.262078,-0.140625,-0.544688,-0.836249,-0.921015,-0.715839,-0.421068,0.006311,0.405279,0.906401,1.307704,1.735933,1.943387,1.909977,1.820176,1.852303,1.890073,2.002902,1.822973,1.336967,0.926648,0.504771,0.074868,-0.327313,-0.735733,-0.841117,-0.744461,-0.983645,-1.12945,-1.371684,-1.508696,-1.643872,-1.550716,-1.351802,-1.157994,-1.067123,-0.886723,-0.778092,-0.829616,-0.975668,-1.177135,-1.370889,-1.550832,-1.642206,-1.523491,-1.364784,-1.155404,-0.931797,-0.728738,-0.636055,2
-1.029581,-0.887115,-0.514673,-0.109072,0.335741,0.759763,1.20542,1.672843,1.927262,1.873689,1.912409,1.779468,1.469695,1.002516,0.517464,0.09392,-0.352691,-0.769255,-1.015143,-0.980522,-0.712658,-0.332386,0.083834,0.497949,0.903918,1.257818,1.689693,1.958715,1.876826,1.855162,1.869905,1.959806,2.101588,1.907367,1.460862,1.059751,0.615451,0.143393,-0.273916,-0.722724,-0.871835,-0.775129,-0.93511,-1.091572,-1.286288,-1.433691,-1.547877,-1.502887,-1.365022,-1.155709,-1.016855,-0.934481,-0.81895,-0.772033,-0.92911,-0.99144,-1.149431,-1.329604,-1.511897,-1.539355,-1.414142,-1.210485,-1.036447,-0.783289,-0.689851,2
-0.95237,-0.812929,-0.491331,-0.085031,0.400965,0.768389,1.168751,1.618664,1.929421,1.868038,1.92112,1.918855,1.566817,1.094973,0.716814,0.304357,-0.143696,-0.547277,-0.820642,-0.956272,-0.763636,-0.54757,-0.15557,0.28137,0.712236,1.156027,1.606507,1.838586,1.932755,1.885822,1.852755,1.97427,2.05575,1.884311,1.457814,0.975761,0.555547,0.079688,-0.314289,-0.742217,-0.788047,-0.64748,-0.886718,-1.084707,-1.345377,-1.515273,-1.600641,-1.541838,-1.387721,-1.173359,-1.013962,-0.84843,-0.745911,-0.729395,-0.918252,-1.093229,-1.340791,-1.517531,-1.645847,-1.598003,-1.426568,-1.194923,-0.938342,-0.6692,-0.541986,2
-0.91629,-0.739117,-0.390665,0.017291,0.494384,0.839203,1.224768,1.643087,1.836027,1.813969,1.840009,1.732112,1.435484,1.047204,0.588035,0.166835,-0.238137,-0.59968,-0.858839,-0.899151,-0.751309,-0.389652,0.031637,0.497697,0.903708,1.364624,1.734637,1.922516,1.854486,1.773431,1.8908,1.969611,2.084378,1.81918,1.413047,1.007374,0.60141,0.140194,-0.27931,-0.683823,-0.886076,-0.981824,-1.203637,-1.274262,-1.452236,-1.532709,-1.561353,-1.438523,-1.284588,-1.140791,-1.072052,-1.060557,-1.155301,-1.287271,-1.43606,-1.57567,-1.597682,-1.410007,-1.241577,-1.083341,-0.838644,-0.682121,-0.528164,-0.494493,-0.722226,1
-0.987013,-0.800459,-0.459486,-0.082774,0.379971,0.81789,1.240105,1.686101,1.945615,1.862493,1.91502,1.821266,1.426338,0.959554,0.653934,0.186847,-0.23321,-0.654878,-0.899226,-0.973007,-0.740413,-0.375345,-0.019578,0.444771,0.910312,1.346971,1.827827,1.981986,1.849006,1.889297,1.91529,1.937214,2.022709,1.796202,1.303999,0.903288,0.436385,-0.015042,-0.44,-0.859896,-0.82048,-0.678158,-1.001648,-1.085288,-1.315253,-1.51712,-1.609405,-1.420488,-1.364142,-1.237851,-1.072728,-0.87845,-0.77787,-0.801697,-0.978262,-1.210979,-1.423143,-1.584223,-1.640598,-1.513263,-1.296647,-1.00082,-0.710956,-0.495928,-0.484668,2
-0.89728,-0.7111,-0.432476,-0.089162,0.393578,0.807715,1.170008,1.605478,1.938777,1.900733,1.901931,1.938165,1.633321,1.263735,0.878939,0.455069,0.016333,-0.363389,-0.661893,-0.855909,-0.847635,-0.600656,-0.190067,0.262752,0.689852,1.110808,1.571075,1.751728,1.817807,1.901992,1.864527,1.972276,2.086258,1.811416,1.391629,0.98255,0.574685,0.13876,-0.280903,-0.657231,-0.847769,-0.816624,-0.880093,-0.937132,-1.014067,-1.124799,-1.28094,-1.455875,-1.555631,-1.487842,-1.291711,-1.141008,-1.085525,-1.009145,-0.891367,-0.975736,-1.092893,-1.24504,-1.410515,-1.523317,-1.528199,-1.3836,-1.257686,-1.074722,-0.93296,1
-1.100827,-0.888087,-0.527226,-0.059282,0.410011,0.823005,1.256121,1.712879,1.902261,1.89813,1.925776,1.768158,1.393406,1.004353,0.567538,0.11293,-0.303658,-0.702332,-0.964891,-0.969903,-0.70479,-0.322018,0.100004,0.514612,0.95136,1.385255,1.79714,1.949799,1.870219,1.778338,1.934077,1.992563,2.088941,1.733423,1.302764,0.851067,0.440406,-0.019796,-0.395701,-0.847026,-0.848846,-0.625744,-0.867208,-0.970178,-1.2398,-1.416277,-1.594775,-1.674787,-1.4998,-1.235641,-1.006633,-0.802672,-0.695462,-0.651505,-0.768808,-0.957139,-1.203953,-1.41615,-1.655538,-1.682533,-1.473311,-1.18662,-0.930013,-0.715185,-0.540421,2
-1.068325,-0.913936,-0.56167,-0.116244,0.320596,0.764277,1.21227,1.613494,1.978737,1.917875,1.861366,1.914457,1.724122,1.285575,0.784294,0.30798,-0.146596,-0.60027,-0.908703,-1.10013,-0.971157,-0.659178,-0.220963,0.207652,0.670121,1.113594,1.58463,1.921239,1.91037,1.805186,1.904897,1.86862,1.998884,1.86694,1.398823,0.91069,0.528986,-0.014317,-0.382068,-0.894744,-0.840447,-0.498449,-0.832479,-0.991304,-1.304302,-1.542583,-1.738195,-1.584225,-1.377714,-1.081902,-0.8694,-0.665051,-0.612751,-0.642294,-0.742255,-0.977895,-1.237518,-1.464691,-1.696059,-1.681498,-1.429796,-1.135194,-0.860949,-0.590943,-0.419477,2
-1.075571,-0.888481,-0.585592,-0.176125,0.265285,0.785373,1.180041,1.530175,1.843524,1.893302,1.874328,1.928147,1.771997,1.433763,1.156721,0.818484,0.352077,-0.020094,-0.436725,-0.818315,-1.044514,-0.945223,-0.651254,-0.194291,0.289972,0.733814,1.188385,1.63573,2.029378,1.9569,1.878033,1.921362,2.035817,1.942993,1.487529,1.031572,0.618111,0.141069,-0.259939,-0.787548,-0.865083,-0.635441,-0.909384,-1.056428,-1.330144,-1.51348,-1.600825,-1.448512,-1.275265,-1.094251,-0.921811,-0.816272,-0.73036,-0.75567,-0.842772,-1.010663,-1.217637,-1.40413,-1.583221,-1.631204,-1.473547,-1.240293,-1.042576,-0.802813,-0.638431,1
