@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.854997,-0.688157,-0.363429,0.05988,0.533075,0.864015,1.233117,1.598681,1.806165,1.921578,1.782555,1.507422,1.192726,0.896541,0.65888,0.215468,-0.195729,-0.576446,-0.77781,-0.754447,-0.603849,-0.226003,0.159293,0.629444,0.965399,1.301964,1.774352,1.896273,1.868528,1.841328,1.935002,1.961149,2.014785,1.905869,1.45677,1.086699,0.644106,0.198613,-0.232592,-0.58128,-0.852776,-1.003467,-1.146153,-1.259296,-1.420113,-1.516401,-1.514819,-1.410327,-1.386004,-1.22532,-1.100486,-0.969688,-0.862046,-0.931886,-1.061219,-1.231056,-1.408546,-1.529215,-1.598864,-1.4448,-1.364201,-1.14831,-0.991765,-0.824136,-0.854044,1
-0.875667,-0.696852,-0.405892,-0.044577,0.341648,0.668921,1.055859,1.447567,1.75718,1.8226,1.801438,1.599724,1.266655,0.903166,0.55819,0.106644,-0.28385,-0.635922,-0.861581,-0.900779,-0.667483,-0.256849,0.148233,0.554898,0.998645,1.427945,1.863845,2.068253,1.95488,1.831645,2.035938,2.048709,2.085698,1.921319,1.471263,1.084632,0.627178,0.199589,-0.214794,-0.641552,-0.834615,-0.799711,-0.897793,-1.036321,-1.162742,-1.375301,-1.53836,-1.543294,-1.440978,-1.297397,-1.187869,-1.114628,-1.020945,-0.907013,-0.809128,-0.896962,-1.038923,-1.206871,-1.406191,-1.544579,-1.574856,-1.405596,-1.216033,-1.033731,-0.876629,1
-0.877142,-0.792412,-0.425303,0.002418,0.417875,0.820953,1.207569,1.502631,1.799581,1.89899,1.855715,1.639304,1.39621,1.046346,0.663931,0.191266,-0.200012,-0.566365,-0.809521,-0.854035,-0.594852,-0.262055,0.191702,0.559828,1.010865,1.361954,1.787425,1.92461,1.801153,1.843497,1.956261,1.947744,2.074056,1.859534,1.419972,1.017919,0.586196,0.177487,-0.283872,-0.675,-0.872534,-0.877063,-0.956624,-1.037284,-1.250862,-1.381296,-1.505823,-1.437486,-1.355701,-1.305162,-1.244476,-1.068599,-0.960237,-0.974711,-1.057617,-1.137751,-1.244987,-1.386472,-1.503187,-1.543452,-1.434389,-1.251065,-1.083465,-0.938342,-0.813836,1
-0.823822,-0.686698,-0.426914,-0.044342,0.375695,0.796485,1.160964,1.503191,1.821001,1.911998,1.859005,1.638029,1.337385,1.041446,0.631268,0.217366,-0.223975,-0.603498,-0.816741,-0.772385,-0.583365,-0.239507,0.144872,0.569054,0.994913,1.38543,1.762307,1.879817,1.9212,1.911862,1.907713,1.906624,2.006066,1.876016,1.443349,1.058903,0.631043,0.225092,-0.182588,-0.536207,-0.818015,-0.977672,-1.062156,-1.156999,-1.281419,-1.390341,-1.476019,-1.439206,-1.401755,-1.288406,-1.200682,-1.071464,-0.998732,-0.983348,-1.085988,-1.196851,-1.352456,-1.449116,-1.52378,-1.448201,-1.33249,-1.166212,-1.071305,-0.923783,-0.881662,1
-0.759456,-0.649785,-0.380678,0.032621,0.422598,0.853019,1.246533,1.613891,1.871561,1.962976,1.8712,1.605622,1.305307,0.963506,0.613626,0.189355,-0.220029,-0.581633,-0.818565,-0.848158,-0.673649,-0.342619,0.05902,0.455095,0.894988,1.272057,1.718311,1.850441,1.860135,1.946973,2.046284,1.982984,2.077751,1.898216,1.408834,1.037751,0.554156,0.127183,-0.281603,-0.673086,-0.806542,-0.76404,-0.871294,-1.049109,-1.174362,-1.265249,-1.399983,-1.442307,-1.453829,-1.34111,-1.264939,-1.189424,-1.076624,-1.004551,-1.082772,-1.181604,-1.310057,-1.376864,-1.450933,-1.450138,-1.394617,-1.265678,-1.099381,-0.949219,-0.848108,1
-0.826447,-0.762571,-0.414288,0.013273,0.466704,0.920615,1.157504,1.436028,1.716451,1.845627,1.838214,1.631053,1.294372,0.985088,0.755497,0.393667,-0.031025,-0.421898,-0.65694,-0.773908,-0.639038,-0.382259,-0.021094,0.422056,0.86875,1.338561,1.791247,1.956378,1.797618,1.770612,1.862167,1.827619,1.955053,1.969236,1.591647,1.141796,0.727873,0.257257,-0.1649,-0.568008,-0.742281,-0.816417,-1.008331,-1.237265,-1.40393,-1.449266,-1.534732,-1.651139,-1.533249,-1.325995,-1.170023,-1.05751,-0.872724,-0.810839,-0.942439,-1.070084,-1.255485,-1.42793,-1.616481,-1.667101,-1.499904,-1.283515,-1.127299,-0.84849,-0.71716,1
-0.800886,-0.597409,-0.235848,0.169708,0.5551,0.953934,1.286207,1.638246,1.856718,1.773423,1.914446,1.870187,1.57998,1.25297,0.923199,0.592299,0.211638,-0.154865,-0.524613,-0.748463,-0.663168,-0.368692,-0.005666,0.389393,0.75115,1.126072,1.464206,1.775644,1.892772,1.850689,1.733677,1.823006,1.897696,1.708666,1.292961,0.981891,0.596837,0.26639,-0.153713,-0.435092,-0.923112,-1.328752,-1.240146,-1.289281,-1.255688,-1.280933,-1.26092,-1.277331,-1.263565,-1.275297,-1.265187,-1.273965,-1.266307,-1.273004,-1.267146,-1.272259,-1.267817,-1.271647,-1.268382,-1.27112,-1.268879,-1.270646,-1.269335,-1.270202,-1.269771,6
-0.593377,-0.466754,-0.159979,0.160582,0.521347,0.953204,1.276813,1.617609,1.741399,1.63011,1.724459,1.585556,1.267996,0.940386,0.549937,0.163958,-0.194069,-0.511954,-0.643482,-0.523409,-0.234343,0.104181,0.449244,0.789131,1.144304,1.504255,1.813023,1.917876,1.754574,1.640239,1.689461,1.900006,1.87162,1.734868,1.419215,1.11292,0.679854,0.360687,-0.068823,-0.281608,-0.832445,-1.39291,-1.268916,-1.337514,-1.290828,-1.325751,-1.298181,-1.320707,-1.301869,-1.31788,-1.304115,-1.316043,-1.305655,-1.314726,-1.306802,-1.313711,-1.307714,-1.312881,-1.308478,-1.312168,-1.30915,-1.311529,-1.309765,-1.310931,-1.310351,6
-0.631502,-0.522606,-0.306022,0.056914,0.395988,0.758748,1.157052,1.484914,1.794825,1.825919,1.803896,1.794995,1.494886,1.181632,0.81037,0.429897,0.090573,-0.228838,-0.550774,-0.645888,-0.526279,-0.226508,0.114557,0.480865,0.835585,1.177341,1.526322,1.846423,1.962121,1.877589,1.785809,1.843506,2.000275,1.830955,1.371782,1.081103,0.639955,0.330121,-0.10515,-0.303902,-0.836828,-1.360101,-1.248976,-1.308205,-1.269269,-1.297468,-1.275867,-1.293026,-1.279047,-1.290644,-1.280896,-1.289169,-1.2821,-1.288165,-1.282951,-1.287432,-1.283593,-1.286862,-1.284105,-1.286396,-1.284536,-1.285993,-1.284917,-1.285627,-1.285274,6
-0.700468,-0.550178,-0.207252,0.154408,0.544547,0.941167,1.292402,1.659692,1.81762,1.692486,1.822155,1.812948,1.541951,1.255393,0.866841,0.511092,0.139291,-0.2304,-0.554967,-0.711448,-0.565816,-0.256005,0.085589,0.457368,0.819867,1.150097,1.510482,1.81234,1.951024,1.831052,1.708126,1.74549,1.862814,1.749664,1.342673,1.041053,0.648527,0.314577,-0.100173,-0.349231,-0.880142,-1.358324,-1.253608,-1.311537,-1.27203,-1.30166,-1.278205,-1.297419,-1.281312,-1.295034,-1.283211,-1.293476,-1.28452,-1.292353,-1.285501,-1.291483,-1.286284,-1.290768,-1.286944,-1.290152,-1.287526,-1.289597,-1.288061,-1.289077,-1.288571,6
