@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute target {1,2}

@data
-0.52943,-0.435663,-0.224324,0.001699,0.25571,0.447367,0.630032,0.754778,0.734279,0.767851,0.823843,0.738791,0.627923,0.54915,0.516581,0.371347,0.214564,-0.053453,-0.394238,-0.400163,-0.441505,-0.484911,-0.305484,-0.067466,0.175301,0.426608,0.695742,0.946153,0.872964,0.79029,0.824097,0.836104,0.822461,0.841766,0.883565,1.001781,0.71908,0.38273,0.083192,-0.16699,-0.448959,-0.193692,-0.2638,-0.403897,-0.518297,-0.785389,-1.029346,-1.115688,-0.948725,-0.721619,-0.4797,-0.332806,-0.084474,-0.008935,-0.182251,-0.376774,-0.543929,-0.790946,-0.892181,-1.012612,-0.940138,-0.891044,-0.629586,-0.439376,-0.197962,2
-0.499244,-0.370698,-0.254369,-0.017148,0.085402,0.277618,0.550965,0.724914,0.848149,0.825495,0.78479,0.572645,0.522395,0.38222,0.298715,-0.003256,-0.221052,-0.473243,-0.36078,-0.256439,-0.09137,0.064855,0.316791,0.538283,0.803238,0.876594,0.695765,0.807331,0.728379,0.753903,0.844816,0.892875,1.046468,1.131881,0.917476,0.653877,0.360431,0.156661,-0.018194,-0.269436,-0.519734,-0.269266,-0.366775,-0.527068,-0.680094,-0.881081,-0.946141,-0.979491,-0.83432,-0.657195,-0.478067,-0.350853,-0.269016,-0.315208,-0.445737,-0.552427,-0.709639,-0.721109,-0.885569,-0.95271,-0.831582,-0.611067,-0.440992,-0.252016,-0.150545,1
-0.588661,-0.444671,-0.231553,0.019605,0.224983,0.50728,0.577741,0.676753,0.780474,0.926955,0.883855,0.814638,0.744357,0.642006,0.528011,0.322728,0.071459,-0.149484,-0.263787,-0.306893,-0.453573,-0.360693,-0.122278,-0.179729,-0.032602,0.195163,0.423021,0.703522,0.916244,0.974271,0.900015,0.86381,0.878031,0.898968,0.983866,0.892785,0.638391,0.346501,0.03597,-0.2405,-0.462578,-0.277849,-0.374692,-0.525559,-0.672928,-0.807545,-0.951339,-0.944193,-0.789748,-0.66735,-0.50197,-0.33012,-0.193115,-0.251075,-0.385214,-0.569181,-0.759339,-0.924272,-0.964381,-0.865192,-0.694989,-0.497255,-0.325006,-0.170019,-0.092069,1
-0.557997,-0.480837,-0.235092,0.027649,0.327892,0.521025,0.642566,0.765138,0.867826,0.884718,0.879942,0.78913,0.51349,0.343039,0.115034,0.100656,-0.001222,-0.242432,-0.542986,-0.585187,-0.578063,-0.41907,-0.169746,0.069752,0.32155,0.424193,0.735716,1.006024,0.921872,0.887671,1.005779,0.983163,1.071876,0.989212,0.813192,0.474234,0.325726,0.266989,0.009281,-0.292415,-0.534381,-0.231317,-0.332648,-0.533653,-0.576783,-0.76262,-0.925569,-0.936292,-0.903895,-0.681844,-0.42018,-0.235693,0.059228,0.090301,-0.01965,-0.22128,-0.394596,-0.611148,-0.811563,-0.960911,-0.933378,-0.879764,-0.664372,-0.422383,-0.134896,2
-0.317967,-0.383479,-0.357424,-0.173181,0.116184,0.538765,0.779937,1.040488,1.231392,1.112052,0.881748,0.661407,0.680183,0.605157,0.288976,0.0669,-0.218635,-0.498178,-0.44629,-0.395976,-0.378918,-0.240247,-0.177476,-0.025135,0.187655,0.324417,0.512361,0.64771,0.580852,0.581235,0.632923,0.473901,0.477933,0.51333,0.582633,0.709023,0.818091,0.536032,0.292927,0.039515,-0.168283,-0.137036,-0.331871,-0.605779,-0.874005,-1.110077,-1.210784,-1.097086,-0.810331,-0.496763,-0.21931,-0.029952,0.23885,0.546316,0.285465,-0.033088,-0.320681,-0.622552,-0.889376,-1.07053,-1.110176,-1.01075,-0.761135,-0.386443,-0.075445,1
-0.573964,-0.437682,-0.360474,-0.18339,0.052815,0.170475,0.389888,0.651365,0.747294,0.874002,0.837957,0.72679,0.589294,0.474365,0.214566,-0.056262,-0.272601,-0.332552,-0.43109,-0.517891,-0.40604,-0.227662,0.012052,0.227147,0.472929,0.729124,1.035799,1.014409,0.945168,0.910247,0.900995,0.93275,1.011568,1.101562,0.9713,0.666765,0.368469,0.109376,-0.151762,-0.435301,-0.490796,-0.318052,-0.436755,-0.611188,-0.708874,-0.894061,-0.967972,-0.865074,-0.710254,-0.51812,-0.312044,-0.122469,-0.025996,0.166412,-0.042444,-0.234257,-0.471689,-0.597634,-0.717549,-0.855842,-0.912406,-0.83598,-0.642955,-0.431883,-0.193916,2
-0.614797,-0.553644,-0.306653,-0.18893,0.037602,-0.022935,0.145969,0.382283,0.735377,1.061302,1.018859,0.859952,0.706744,0.572279,0.380549,0.136141,-0.122266,-0.367446,-0.465057,-0.427483,-0.27637,-0.082906,0.147707,0.393852,0.64265,0.63858,0.667075,0.665741,0.620142,0.612375,0.773473,0.89994,1.104388,1.198863,0.955419,0.683687,0.411222,0.122629,-0.134348,-0.369334,-0.579372,-0.060098,-0.138784,-0.289751,-0.596463,-0.827879,-1.041021,-1.062827,-0.835954,-0.697943,-0.424185,-0.21914,0.053688,0.062791,-0.081536,-0.31807,-0.630038,-0.767078,-0.973532,-1.023122,-0.871617,-0.705417,-0.453719,-0.224905,0.063345,1
-0.653784,-0.448133,-0.280014,-0.068234,0.221823,0.483771,0.553109,0.645249,0.803894,0.902671,0.76617,0.751015,0.649193,0.534372,0.46114,0.357555,0.095379,0.005613,-0.284831,-0.441894,-0.44305,-0.332864,-0.083425,0.162558,0.44468,0.750466,0.813584,0.74626,0.764919,0.760691,0.836669,0.958742,0.999307,1.094934,1.065812,0.747561,0.447386,0.181951,-0.08054,-0.34973,-0.522964,-0.317246,-0.43556,-0.577798,-0.780955,-0.884122,-0.954916,-0.878782,-0.85104,-0.651406,-0.429318,-0.354944,-0.300926,-0.118203,-0.178251,-0.398256,-0.601754,-0.786932,-0.917988,-0.946498,-0.86095,-0.683881,-0.569369,-0.337139,-0.200777,1
-0.370066,-0.356309,-0.210307,-0.010297,0.219683,0.439846,0.587478,0.71226,0.751844,0.86229,0.940096,0.809646,0.619513,0.578066,0.390708,0.281146,0.111588,-0.116903,-0.306559,-0.424452,-0.395434,-0.28534,-0.133664,0.108909,0.334714,0.572409,0.806744,0.993886,0.961806,0.871079,0.905774,0.992009,0.888052,0.825322,0.986593,0.824109,0.542156,0.289088,0.025802,-0.226867,-0.325498,-0.435298,-0.503968,-0.604266,-0.652986,-0.69531,-0.758203,-0.811664,-0.741507,-0.659442,-0.624446,-0.569232,-0.494404,-0.496978,-0.567535,-0.624936,-0.721285,-0.724749,-0.791739,-0.781659,-0.752413,-0.649204,-0.549488,-0.4381,-0.422107,1
-0.470228,-0.406126,-0.2155,-0.035964,-0.024636,0.205077,0.430024,0.609712,0.726851,0.768184,0.672277,0.559109,0.428162,0.298186,0.042829,-0.177253,-0.211477,-0.361557,-0.512372,-0.415293,-0.234464,-0.005971,0.168124,0.454186,0.730762,1.022569,1.126819,1.038507,0.824337,0.684286,0.750128,0.914979,0.973341,1.111953,1.081366,0.894822,0.620486,0.308521,0.011224,-0.235738,-0.452989,-0.301032,-0.379806,-0.456761,-0.694424,-0.815109,-0.894463,-0.902257,-0.812329,-0.662923,-0.470085,-0.25329,-0.086803,-0.255975,-0.343093,-0.474832,-0.605395,-0.783904,-0.832055,-0.903053,-0.843148,-0.685669,-0.591285,-0.399021,-0.250545,1
