@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute target {1,2,3,4,5}

@data
0.273885,-2.060695,-2.666208,-2.855652,-2.214243,-1.13599,-0.868608,-0.344692,-0.22948,-0.360188,-0.300664,-0.325472,-0.207128,-0.236289,-0.253926,-0.267523,-0.320927,-0.269412,-0.231917,-0.28153,-0.258393,-0.293282,-0.383943,-0.380607,-0.427249,-0.333064,-0.405327,-0.445973,-0.416951,-0.410352,-0.408918,-0.353145,-0.324703,-0.314009,-0.173091,-0.129612,-0.095086,0.001152,-0.061125,0.023389,0.040917,0.077192,0.043589,0.162428,0.144807,0.146808,0.10258,0.094127,0.152628,0.172526,0.241986,0.276323,0.263507,0.280173,0.403367,0.338489,0.355462,0.357952,0.363682,0.390572,0.406812,0.39616,0.326508,0.39102,0.361993,0.308976,0.272623,0.295097,0.258094,0.239207,0.20445,0.241151,0.294877,0.21218,0.138044,0.176286,0.193866,0.168187,0.218096,0.324708,0.529913,0.758562,0.849986,1.034122,1.269886,1.342688,1.247326,1.1511,0.924974,0.700398,0.438855,0.063255,-0.122416,-0.128285,-0.144369,-0.167818,-0.140416,-0.110246,-0.179786,-0.188027,-0.227053,-0.267266,-0.173549,-0.187788,-0.129824,0.087153,0.570927,0.595315,0.46018,0.205559,0.260646,0.407384,0.178113,1
-0.163519,-2.745834,-2.878643,-2.696298,-2.196602,-0.784637,-0.422377,0.012007,0.091723,0.103333,0.179999,0.163509,0.180671,0.167618,0.031651,0.071358,0.007513,0.007465,0.06693,0.019762,0.044397,-0.041779,-0.060743,-0.076097,-0.133234,-0.1494,-0.143847,-0.189794,-0.213893,-0.17837,-0.204283,-0.175948,-0.146838,-0.167682,-0.000116,0.016962,0.072504,0.129637,0.179162,0.09977,0.16021,0.1646,0.194212,0.069359,0.121783,0.074429,0.138102,0.118072,0.121013,0.123649,0.120582,0.102838,0.200593,0.16381,0.226895,0.244551,0.242833,0.289255,0.313115,0.228762,0.301228,0.289749,0.290141,0.208776,0.238505,0.236787,0.241428,0.122379,0.160514,0.155069,0.105961,0.087605,0.074645,0.12182,0.098015,0.108777,0.188597,0.357293,0.516983,0.621384,0.74835,1.039278,1.273597,1.258737,1.137615,1.038864,0.851777,0.573158,0.345351,0.104459,-0.2417,-0.42961,-0.519176,-0.480304,-0.492035,-0.475323,-0.43583,-0.414584,-0.483549,-0.462342,-0.455059,-0.547277,-0.462818,-0.359557,0.042347,0.481624,0.419458,0.503035,0.48607,0.350355,0.2875,0.461417,-0.964179,1
-0.144369,-1.853628,-2.695084,-2.716662,-2.005929,-0.844937,-0.697688,-0.258887,-0.170189,-0.262192,-0.221102,-0.293174,-0.23679,-0.298711,-0.134772,-0.253411,-0.159766,-0.265907,-0.264253,-0.295514,-0.338957,-0.317247,-0.318834,-0.287657,-0.323823,-0.238302,-0.401408,-0.497718,-0.387635,-0.590585,-0.392412,-0.359584,-0.317263,-0.323535,-0.319196,-0.116284,-0.118152,-0.048419,0.20006,0.198482,0.087318,0.099541,0.214187,0.172551,0.12006,0.177951,0.185897,0.2162,0.130948,0.215406,0.341262,0.133581,0.147985,0.16574,0.29726,0.231856,0.308455,0.335183,0.233163,0.264367,0.431583,0.416746,0.255993,0.3087,0.353459,0.274426,0.251559,0.425945,0.355346,0.272168,0.275075,0.164669,0.228866,0.248535,0.178596,0.297565,0.479338,0.423498,0.546678,0.79531,0.998053,1.103515,1.307813,1.414081,1.237257,1.115942,1.007656,0.780873,0.533982,0.268938,0.041889,-0.008123,-0.058867,-0.358939,-0.277904,-0.311378,-0.136074,-0.339771,-0.26921,-0.310277,-0.419103,-0.202246,-0.166589,-0.106437,0.409323,0.999294,0.596701,0.339227,0.092671,-0.539805,-0.332064,0.254928,-0.356886,1
0.830152,-1.308611,-2.442669,-2.66692,-2.481017,-1.833152,-0.93798,-0.638857,0.009676,0.021027,-0.126582,-0.115005,-0.133704,-0.102382,-0.092663,-0.10146,-0.101963,-0.165006,-0.195503,-0.16696,-0.250788,-0.17861,-0.231855,-0.290776,-0.300159,-0.316666,-0.379966,-0.422702,-0.4652,-0.377844,-0.394091,-0.348077,-0.38592,-0.329018,-0.310685,-0.224878,-0.170781,-0.004646,-0.11203,-0.053049,0.029219,0.022033,-0.007777,0.034652,0.067119,0.071983,0.077822,0.075278,0.111559,0.13128,0.085829,0.121084,0.211587,0.192706,0.214241,0.247668,0.288716,0.328692,0.314413,0.306222,0.396047,0.401707,0.387472,0.306059,0.37689,0.360617,0.36488,0.255251,0.347451,0.321656,0.283282,0.186261,0.283794,0.250541,0.271983,0.296209,0.354735,0.446112,0.583933,0.68129,0.720259,0.995378,1.171993,1.15248,1.162357,1.021185,0.883258,0.617213,0.44795,0.248614,-0.063736,-0.235398,-0.156814,-0.293345,-0.247702,-0.235254,-0.305522,-0.279568,-0.286681,-0.267078,-0.312777,-0.252861,-0.236043,-0.186142,0.155362,0.386291,0.244503,0.340273,0.512815,0.589381,0.602194,0.66452,-0.34028,1
0.516337,-0.870512,-2.041205,-2.692399,-2.418674,-1.393692,-0.905454,-0.453677,-0.074992,-0.238512,-0.281178,-0.229532,-0.216737,-0.180977,-0.249444,-0.349618,-0.35401,-0.363859,-0.316191,-0.397404,-0.452774,-0.520451,-0.5348,-0.540612,-0.610816,-0.672144,-0.618798,-0.641636,-0.62041,-0.637861,-0.643124,-0.669448,-0.572047,-0.527916,-0.347708,-0.301259,-0.236008,-0.125432,-0.017051,-0.094446,-0.035087,0.042589,0.045088,0.026133,0.0503,0.060297,0.106202,0.062998,0.097216,0.122936,0.161384,0.179105,0.195198,0.235176,0.25747,0.270685,0.312764,0.352491,0.416422,0.202619,0.242348,0.298515,0.320521,0.365144,0.374389,0.350713,0.385047,0.319642,0.302949,0.305365,0.262323,0.246603,0.418959,0.272993,0.271963,0.204527,0.216941,0.200267,0.26861,0.39384,0.590855,0.642365,0.780592,1.005779,1.067585,1.035112,1.034973,0.9543,0.785081,0.604579,0.409778,0.118923,-0.112689,-0.15383,-0.171416,-0.163651,-0.26183,-0.141574,-0.107835,-0.078436,-0.17651,-0.140125,-0.165868,-0.136051,0.039909,0.708551,0.798958,0.737385,0.962474,0.892221,0.654365,0.826231,0.872623,1
-0.684051,-2.351541,-2.767487,-2.181917,-1.219544,-0.766808,-0.598207,-0.268728,-0.32983,-0.180076,-0.214124,-0.196712,-0.229621,-0.198753,-0.261127,-0.227698,-0.283339,-0.278354,-0.326698,-0.322468,-0.28888,-0.388147,-0.469195,-0.481928,-0.471539,-0.447514,-0.496104,-0.535111,-0.536133,-0.519826,-0.580828,-0.489201,-0.44982,-0.383753,-0.283068,-0.227223,-0.180112,-0.186867,-0.008709,-0.029117,-0.049881,-0.048409,0.041209,-0.044932,-0.018884,-0.041272,0.039259,0.051578,-0.018178,0.037922,0.072885,0.03127,0.101768,0.098044,0.182468,0.150413,0.254002,0.259777,0.271736,0.288273,0.325503,0.381709,0.398591,0.39431,0.313566,0.289278,0.24423,0.309054,0.270119,0.253044,0.190042,0.237758,0.246525,0.17624,0.199299,0.330818,0.314648,0.377529,0.533952,0.661501,0.809962,0.969259,1.157808,1.250786,1.116943,1.120481,0.959381,0.785327,0.565105,0.353743,0.037622,-0.049012,-0.096185,-0.021651,-0.123847,-0.072024,-0.04149,-0.040345,-0.10564,-0.073672,-0.116407,-0.05064,-0.037231,0.060046,0.447237,0.89325,0.740211,0.682515,0.635082,0.418111,0.619635,0.874069,-0.435036,1
0.297203,-1.874237,-2.722928,-2.713133,-2.405685,-1.317605,-0.658978,-0.3091,0.145713,-0.029613,-0.048761,-0.042697,-0.103342,-0.023452,-0.083204,-0.077556,-0.115598,-0.145272,-0.145421,-0.182596,-0.177872,-0.146789,-0.215235,-0.241806,-0.256667,-0.3236,-0.389957,-0.36732,-0.399379,-0.303968,-0.455671,-0.380699,-0.38758,-0.272836,-0.255632,-0.176688,-0.100061,0.011577,0.008177,0.061078,0.079338,0.09089,0.059936,0.086015,0.070074,0.053241,0.101422,0.082167,0.15719,0.177161,0.123227,0.141002,0.126098,0.120497,0.125186,0.269387,0.264596,0.255653,0.244661,0.21531,0.347664,0.356076,0.358497,0.345096,0.339968,0.292349,0.314407,0.272022,0.198023,0.209506,0.152422,0.200931,0.100146,0.214162,0.224265,0.22706,0.259434,0.426437,0.509744,0.688648,0.774238,1.057648,1.177772,1.19586,1.091397,1.021791,0.84979,0.769577,0.452177,0.165311,-0.158093,-0.251378,-0.330459,-0.283246,-0.297606,-0.299187,-0.185987,-0.270722,-0.287591,-0.221326,-0.280255,-0.269921,-0.202421,-0.105555,0.115081,0.443602,0.408094,0.516879,0.587367,0.660808,0.573078,0.620848,-0.59029,1
0.787824,-1.051675,-2.331506,-2.816359,-2.196402,-1.175812,-0.738183,-0.358468,0.038017,-0.050132,-0.085124,-0.098735,-0.078232,-0.112582,-0.096338,-0.121171,-0.116492,-0.20105,-0.256652,-0.273739,-0.282763,-0.248973,-0.356847,-0.358297,-0.377272,-0.478185,-0.534561,-0.482011,-0.541829,-0.555829,-0.566671,-0.506892,-0.449205,-0.423447,-0.288356,-0.230382,-0.168478,-0.152254,-0.028946,-0.037601,-0.001586,-0.009075,-0.012291,0.099839,0.038502,-0.00773,0.106471,0.077927,0.05313,0.024804,0.074402,0.153482,0.158977,0.135952,0.239005,0.22362,0.222925,0.287589,0.368724,0.402748,0.416435,0.419237,0.386675,0.36424,0.390575,0.39202,0.296779,0.276072,0.245019,0.281899,0.282796,0.282982,0.228142,0.228295,0.246493,0.283004,0.350655,0.487641,0.645491,0.675628,0.761494,0.978834,1.102996,1.036816,1.135326,0.956065,0.772045,0.614181,0.360352,0.081816,-0.148512,-0.217567,-0.252643,-0.212912,-0.19755,-0.269573,-0.174508,-0.197019,-0.26017,-0.232481,-0.215506,-0.151188,-0.151506,0.062627,0.55561,0.685684,0.584688,0.721926,0.486036,0.301418,0.459294,0.428356,-0.820309,1
0.761996,-1.115238,-2.365309,-2.820783,-2.126872,-1.103853,-0.684198,-0.229014,-0.018148,-0.144418,-0.084029,-0.093537,-0.130774,-0.074854,-0.153002,-0.156817,-0.119925,-0.14781,-0.222117,-0.219806,-0.223095,-0.195983,-0.326241,-0.343556,-0.389683,-0.411028,-0.481177,-0.476804,-0.496667,-0.547178,-0.45362,-0.427834,-0.394649,-0.340406,-0.239495,-0.107957,-0.034555,-0.039575,0.018147,0.055822,0.048703,0.007592,0.06028,0.095074,0.117706,0.110413,0.036995,0.090905,0.130483,0.131258,0.086267,0.14134,0.1742,0.205729,0.197761,0.367856,0.361972,0.344148,0.427343,0.356059,0.388784,0.408293,0.42038,0.437422,0.388792,0.362443,0.315119,0.320517,0.372865,0.338883,0.295836,0.261534,0.280594,0.243861,0.255472,0.105494,0.207499,0.240314,0.297859,0.367104,0.501132,0.464596,0.537518,0.607361,0.877024,0.677455,0.480657,0.406376,0.281476,0.275271,0.224663,0.080117,-0.140713,-0.168615,-0.099196,-0.106258,-0.163351,-0.200998,-0.146422,-0.165556,-0.100862,-0.097191,-0.106036,0.08896,0.625704,1.024919,1.086514,1.344184,1.101696,0.348542,-0.001232,-0.471975,-1.762869,1
-0.724384,-1.290167,-1.665533,-1.811947,-1.744878,-1.440088,-0.926599,-0.738336,-0.412052,-0.345573,-0.420687,-0.466232,-0.359316,-0.372173,-0.392823,-0.419798,-0.434663,-0.357177,-0.398039,-0.393916,-0.409233,-0.370183,-0.426175,-0.436052,-0.469099,-0.401346,-0.509512,-0.466186,-0.489571,-0.44181,-0.487198,-0.442544,-0.445011,-0.398558,-0.34242,-0.342568,-0.368725,-0.334281,-0.204086,-0.264759,-0.247578,-0.211606,-0.235884,-0.26383,-0.238335,-0.255112,-0.21785,-0.240164,-0.244662,-0.228627,-0.245596,-0.174988,-0.196136,-0.142745,-0.178518,-0.168501,-0.108335,-0.090855,-0.066922,-0.046142,-0.003605,0.004514,0.016939,0.092809,0.040924,0.070412,0.066249,0.086102,0.085885,0.093461,0.119003,0.141243,0.102575,0.119468,0.156279,0.238153,0.320673,0.348542,0.418192,0.518628,0.584036,0.697673,0.733202,0.731231,0.636058,0.556842,0.47442,0.371611,0.344944,0.069375,0.020524,-0.008103,0.082813,0.269111,0.531939,0.61656,0.613119,0.602832,0.651806,0.66387,0.703971,0.790721,0.963375,1.196017,1.317688,1.226939,1.307319,1.364502,1.340704,1.223801,1.296742,1.197103,0.756895,1
