@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute target {1,2,3,4,5,6,7}

@data
1.558602,1.3838,1.232089,1.088769,0.929345,0.771489,0.611067,0.451145,0.292196,0.134694,-0.017201,-0.105482,-0.245595,-0.397633,-0.550747,-0.678435,-0.775352,-0.85675,-0.911142,-0.9248,-0.840648,-0.674347,-0.685355,-0.772437,-0.858359,-0.878844,-0.810649,-0.729711,-0.621104,-0.494596,-0.374421,-0.227045,-0.070884,0.080812,0.23097,0.350984,0.471342,0.56643,0.643294,0.561067,0.439476,0.325461,0.203438,0.102503,0.008059,-0.089096,-0.162061,-0.24302,-0.301204,-0.35621,-0.39022,-0.244594,-0.085642,0.072456,0.231196,0.390876,0.553083,0.705931,0.749307,0.761218,0.738813,0.623234,0.466306,0.311829,0.156495,0.000307,-0.154391,-0.306216,-0.352685,-0.304174,-0.230399,-0.158247,-0.088711,0.007678,0.107285,0.202242,0.317,0.436427,0.550543,0.540968,0.430004,0.307211,0.197912,0.030119,-0.114936,-0.255465,-0.396933,-0.513778,-0.617918,-0.734103,-0.809114,-0.879034,-0.819211,-0.731797,-0.657052,-0.79271,-0.902124,-0.899881,-0.84272,-0.77025,-0.675881,-0.561177,-0.411545,-0.25514,-0.105146,-0.037028,0.123568,0.285091,0.447171,0.604079,0.763391,0.923496,1.085856,1.247018,1.410801,1.535403,1
1.647206,1.420785,1.217075,1.016378,0.817817,0.619372,0.419445,0.216893,0.002018,-0.087948,-0.110819,-0.290158,-0.465322,-0.628674,-0.772948,-0.897059,-0.995665,-0.956282,-0.80579,-0.64276,-0.47385,-0.295211,-0.112047,0.074239,0.26388,0.457436,0.650407,0.811036,0.900777,0.748843,0.550161,0.357897,0.165925,-0.027639,-0.221315,-0.411782,-0.601012,-0.794782,-0.978925,-1.158211,-1.311493,-1.183587,-0.943946,-0.692855,-0.442355,-0.297606,-0.18893,0.053494,0.104852,0.182958,0.324477,0.322939,0.306387,0.189465,0.056417,-0.064971,-0.163786,-0.10918,0.060993,0.22632,0.026452,-0.200494,-0.143931,-0.00797,-0.141643,-0.127716,0.000169,0.207865,0.350103,0.21622,0.319321,0.42179,0.367001,0.149782,-0.091842,-0.332858,-0.571219,-0.783763,-0.944026,-1.042543,-0.820702,-0.62795,-0.437244,-0.246436,-0.05517,0.133537,0.323872,0.512483,0.69391,0.810502,0.738802,0.568611,0.365232,0.167546,-0.026577,-0.215256,-0.395346,-0.568431,-0.700036,-0.677476,-0.620491,-0.540546,-0.432527,-0.310519,-0.178127,-0.027049,-0.020697,0.120997,0.306706,0.492961,0.680396,0.869782,1.057449,1.25412,1.447664,1.626331,4
1.725589,1.571972,1.40395,1.239953,1.077306,0.915736,0.754423,0.593681,0.432975,0.279408,0.141393,0.009309,-0.138178,-0.28422,-0.433076,-0.574993,-0.716635,-0.855591,-0.925964,-0.937901,-0.927858,-0.874763,-0.802274,-0.694435,-0.582154,-0.439117,-0.285038,-0.123861,0.007071,0.058837,0.105238,0.131383,0.048854,-0.066144,-0.181764,-0.290963,-0.390271,-0.475681,-0.558717,-0.486175,-0.326194,-0.112895,0.087884,0.294713,0.43466,0.501464,0.461996,0.423939,0.403887,0.390822,0.379273,0.258987,0.092784,-0.099089,-0.241928,-0.362309,-0.396163,-0.305086,-0.404141,-0.424669,-0.373812,-0.272307,-0.154924,0.029046,0.189255,0.347652,0.358792,0.378388,0.398177,0.423703,0.461613,0.447387,0.291773,0.108867,-0.100349,-0.298688,-0.378494,-0.474359,-0.414443,-0.332592,-0.232035,-0.124642,-0.006144,0.114144,0.091784,0.030893,-0.058306,-0.198532,-0.343493,-0.481063,-0.608393,-0.714541,-0.804262,-0.879005,-0.924098,-0.939225,-0.932589,-0.881519,-0.770212,-0.638616,-0.491248,-0.350707,-0.209165,-0.060236,0.064942,0.180101,0.305829,0.447406,0.605252,0.761778,0.920196,1.077983,1.236741,1.397029,1.558163,1.71186,6
0.597294,0.427199,0.270536,0.119509,-0.027641,-0.168077,-0.302241,-0.450135,-0.620637,-0.793106,-0.958897,-1.11465,-1.208743,-1.113043,-0.927527,-0.748538,-0.573124,-0.39863,-0.221403,-0.08725,0.018334,0.084262,0.012831,0.087643,0.061405,0.010825,-0.044375,-0.120466,-0.200287,-0.281916,-0.356357,-0.41255,-0.444056,-0.456475,-0.467351,-0.457717,-0.357477,-0.217911,-0.078412,0.068564,0.22404,0.355977,0.499665,0.628097,0.69548,0.831135,0.984712,1.133779,1.281428,1.426376,1.566296,1.645094,1.464679,1.274034,1.092268,0.920963,0.774659,0.731081,0.579624,0.406703,0.242772,0.083916,-0.072565,-0.223529,-0.361665,-0.42982,-0.449723,-0.445911,-0.434029,-0.401675,-0.353281,-0.267346,-0.196313,-0.113819,-0.04886,-0.007848,0.017775,-0.023863,-0.043576,-0.02747,-0.152522,-0.223795,-0.364826,-0.515029,-0.667382,-0.81931,-0.972142,-1.130867,-1.165033,-1.084394,-0.971827,-0.84238,-0.706182,-0.555399,-0.400255,-0.276694,-0.134823,-0.002371,0.131258,0.274744,0.445305,0.498188,0.432595,0.365031,0.31723,0.35329,0.459524,0.602952,0.73409,0.586646,0.405553,0.343532,0.387118,0.442294,0.517928,0.579284,5
1.682025,1.451297,1.238218,1.02536,0.812809,0.662459,0.524369,0.367561,0.151848,0.100423,0.112809,-0.003965,-0.197658,-0.40411,-0.586441,-0.749121,-0.887582,-0.993732,-1.044919,-1.027867,-0.880748,-0.704863,-0.80448,-0.879301,-0.863988,-0.735359,-0.577782,-0.431544,-0.28777,-0.471606,-0.287512,-0.078747,-0.037352,0.127871,0.219678,0.308274,0.385891,0.482833,0.573349,0.555121,0.378326,0.175755,0.254665,0.402828,0.306422,0.127819,0.007207,-0.163958,-0.297653,-0.414145,-0.511292,-0.581747,-0.552144,-0.417345,-0.38395,-0.166168,0.016096,0.042745,0.178589,0.388611,0.622616,0.846202,0.829258,0.596368,0.397607,0.186548,-0.006668,-0.197596,-0.386403,-0.578801,-0.544703,-0.452405,-0.342339,-0.222477,-0.064274,0.08603,0.242408,0.259101,0.198094,0.37547,0.54047,0.592785,0.495364,0.402102,0.296783,0.220264,0.074658,0.148591,-0.097838,-0.275438,-0.345206,-0.46845,-0.669909,-0.801816,-0.852352,-0.789764,-0.733605,-0.924474,-0.936033,-0.867165,-0.754453,-0.624507,-0.423877,-0.223024,-0.033372,0.152518,0.135001,0.270261,0.443323,0.551945,0.696596,0.853104,1.060837,1.269341,1.480685,1.656212,2
1.701636,1.534077,1.375639,1.218633,1.062572,0.90732,0.75003,0.593545,0.435836,0.287566,0.162721,0.044789,-0.083917,-0.200266,-0.346218,-0.4877,-0.624851,-0.765201,-0.891832,-0.985145,-1.013042,-0.990923,-0.972978,-0.90283,-0.80776,-0.698688,-0.597483,-0.45411,-0.310481,-0.158329,-0.016192,0.054298,0.117185,0.151996,0.067192,-0.058341,-0.166138,-0.267608,-0.360374,-0.441898,-0.479818,-0.369749,-0.228923,-0.016849,0.175874,0.326301,0.461239,0.472172,0.438314,0.410268,0.390678,0.375912,0.297139,0.146763,-0.02669,-0.188121,-0.29915,-0.253155,-0.436974,-0.348904,-0.326733,-0.260614,-0.414093,-0.207576,-0.050946,0.126624,0.293289,0.399371,0.401701,0.415467,0.440422,0.464994,0.451367,0.321641,0.14259,-0.07525,-0.262336,-0.361766,-0.459448,-0.359316,-0.258694,-0.153267,-0.039236,0.089551,0.159142,0.11315,0.121741,0.00368,-0.137863,-0.305768,-0.461187,-0.59938,-0.722224,-0.82274,-0.895411,-0.939893,-0.953106,-0.906597,-0.805227,-0.678051,-0.539198,-0.398465,-0.257642,-0.110917,0.025603,0.153096,0.283105,0.435352,0.593436,0.752776,0.91303,1.074218,1.236388,1.399727,1.564283,1.678148,6
1.678022,1.520277,1.361,1.204643,1.049782,0.894456,0.740181,0.58608,0.432427,0.280866,0.145191,0.020834,-0.109699,-0.255134,-0.395082,-0.53253,-0.66757,-0.806943,-0.929694,-1.002963,-1.023212,-0.992717,-0.9444,-0.86098,-0.742931,-0.620875,-0.481599,-0.321358,-0.154032,-0.006598,0.069281,0.121784,0.166422,0.082786,-0.035772,-0.14222,-0.241834,-0.337168,-0.418649,-0.486358,-0.479296,-0.366795,-0.198087,0.019833,0.207566,0.349539,0.476897,0.482643,0.440188,0.418068,0.398244,0.382078,0.312489,0.174079,0.058166,-0.13724,-0.262392,-0.248687,-0.416755,-0.270486,-0.308707,-0.345362,-0.169426,-0.005596,0.178389,0.337929,0.374065,0.391977,0.403032,0.429484,0.454833,0.461649,0.309697,0.138166,-0.067686,-0.210671,-0.28757,-0.378487,-0.330444,-0.2431,-0.143906,-0.035088,0.08098,0.13726,0.078294,0.024882,-0.076767,-0.228121,-0.385962,-0.530332,-0.654147,-0.759135,-0.853728,-0.92158,-0.957163,-0.97435,-0.952674,-0.86776,-0.736643,-0.600761,-0.470328,-0.335326,-0.196433,-0.059316,0.050988,0.17377,0.30443,0.451867,0.604223,0.75735,0.911101,1.06432,1.218224,1.374627,1.530856,1.660409,6
1.562508,1.378957,1.219743,1.061174,0.907655,0.751968,0.601787,0.44934,0.310844,0.157734,0.007945,-0.115464,-0.172558,-0.332883,-0.479579,-0.59757,-0.704603,-0.784146,-0.832138,-0.838752,-0.771015,-0.669466,-0.543136,-0.612051,-0.681729,-0.74805,-0.732464,-0.690109,-0.598477,-0.473051,-0.331074,-0.175266,-0.008712,0.156644,0.264694,0.367915,0.476957,0.507198,0.384824,0.271752,0.168001,0.06505,-0.030934,-0.111026,-0.187582,-0.250567,-0.298855,-0.32716,-0.218831,-0.086481,0.05062,0.195547,0.344976,0.486487,0.558294,0.565666,0.57044,0.693529,0.83906,0.896817,0.890654,0.750409,0.601751,0.452797,0.304348,0.156728,0.009397,-0.13678,-0.279639,-0.365761,-0.353719,-0.30395,-0.257391,-0.197441,-0.118815,-0.034145,0.054308,0.147645,0.201197,0.100424,-0.009636,-0.117472,-0.243174,-0.365386,-0.466569,-0.572989,-0.66574,-0.758271,-0.828291,-0.881476,-0.907757,-0.839633,-0.758971,-0.712346,-0.808356,-0.917874,-0.850839,-0.793141,-0.722879,-0.636251,-0.497023,-0.353252,-0.232956,-0.162604,0.009607,0.157446,0.304724,0.447299,0.583505,0.73271,0.876836,1.021479,1.166709,1.313628,1.454768,1.541763,1
1.615198,1.364672,1.140167,0.922256,0.69648,0.60492,0.492866,0.391315,0.191648,0.100119,0.063829,0.032542,-0.151892,-0.34107,-0.45078,-0.348508,-0.44488,-0.63858,-0.751161,-0.866375,-0.934594,-0.971088,-0.928499,-0.76749,-0.69814,-0.764277,-0.807809,-0.756813,-0.612084,-0.460264,-0.328082,-0.28017,-0.136891,0.064418,0.040178,0.163584,0.232422,0.302041,0.399791,0.453449,0.333088,0.141489,0.264576,0.191404,-0.009092,-0.171077,-0.29564,-0.414382,-0.508919,-0.431056,-0.326296,-0.15725,0.015444,0.033546,0.213658,0.407355,0.60776,0.803207,1.001107,1.166468,1.199127,1.012975,0.802145,0.605352,0.403477,0.200798,0.075282,-0.151225,-0.356217,-0.530553,-0.489049,-0.412532,-0.293255,-0.088329,0.151575,0.012998,-0.073975,-0.013818,0.071028,0.222512,0.343008,0.249187,0.148451,0.127584,0.020029,-0.09789,-0.21513,-0.383713,-0.504114,-0.464393,-0.591458,-0.734799,-0.823251,-0.854699,-0.774181,-0.687058,-0.90723,-0.976618,-0.930432,-0.847882,-0.739581,-0.548804,-0.32624,-0.111659,0.051757,0.093947,0.170353,0.312094,0.425893,0.548459,0.692286,0.881765,1.080212,1.274577,1.465257,1.588115,2
1.716592,1.52332,1.341575,1.163626,0.989787,0.81398,0.637663,0.456541,0.335413,0.212204,0.091241,-0.071839,-0.234396,-0.39325,-0.551359,-0.706895,-0.833883,-0.860403,-0.874843,-0.867703,-0.827987,-0.771033,-0.682335,-0.583717,-0.472962,-0.343451,-0.205019,-0.062215,0.022899,0.069895,0.123662,0.105917,-0.019533,-0.14954,-0.277297,-0.393794,-0.496248,-0.578522,-0.646195,-0.43279,-0.236221,-0.042443,0.148512,0.3425,0.476536,0.557029,0.507596,0.478646,0.465223,0.469438,0.363791,0.180086,0.008696,-0.154509,-0.302046,-0.424673,-0.383234,-0.298589,-0.399433,-0.374481,-0.333779,-0.211315,-0.045519,0.123162,0.285274,0.402345,0.424038,0.436072,0.456253,0.488563,0.527457,0.389417,0.236231,0.055297,-0.129252,-0.321392,-0.384997,-0.36184,-0.424478,-0.298264,-0.194429,-0.074445,0.043281,0.051192,-0.022547,-0.083594,-0.202501,-0.340368,-0.461189,-0.57802,-0.674831,-0.769094,-0.826254,-0.882786,-0.909682,-0.91009,-0.895451,-0.849894,-0.734458,-0.593506,-0.4459,-0.301639,-0.153436,-0.004585,0.118744,0.230539,0.352387,0.496424,0.655792,0.815805,0.976718,1.138544,1.294601,1.458308,1.614558,1.699002,6
