@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute target {1,2}

@data
-0.534616,-0.558318,-0.555775,-0.50323,-0.451674,-0.391957,-0.335544,-0.270097,-0.171449,-0.069227,0.023318,0.115055,0.185051,0.20531,0.260045,0.999211,0.720147,0.407525,0.189785,-0.082497,-0.36527,-0.532531,-0.641225,-0.526385,-0.370003,-0.158021,0.062722,0.333944,0.612902,0.90274,1.192189,1.444335,1.534201,1.426143,1.426426,1.303426,1.28972,1.318651,1.448786,1.506188,1.560447,1.566028,1.295124,1.060887,0.799345,0.494459,0.187771,-0.065117,-0.255305,-0.461564,-0.538466,-0.610881,-0.785314,-0.881255,-1.054098,-1.234041,-1.401186,-1.54122,-1.535776,-1.383994,-1.223197,-1.053427,-0.89867,-0.753133,-0.624305,2
-0.566122,-0.621528,-0.590071,-0.541378,-0.492945,-0.373159,-0.316588,-0.228767,-0.108186,0.003449,0.060102,0.134964,0.235199,0.288139,0.328228,1.169925,0.83883,0.534425,0.233062,-0.041174,-0.246029,-0.417235,-0.590468,-0.663028,-0.565121,-0.354129,-0.077344,0.191055,0.45444,0.751529,1.044699,1.335074,1.503047,1.474275,1.371245,1.345487,1.403853,1.392344,1.442489,1.430432,1.572099,1.584429,1.263008,0.979784,0.679079,0.404158,0.118029,-0.130449,-0.37394,-0.545529,-0.64064,-0.707446,-0.873719,-0.996944,-1.073066,-1.223392,-1.286717,-1.337429,-1.297614,-1.203717,-1.126636,-1.024346,-0.888105,-0.696293,-0.558956,2
-0.685898,-0.720796,-0.700877,-0.66981,-0.57911,-0.492209,-0.433561,-0.258815,-0.080753,0.094613,0.17343,0.236737,0.310176,0.381238,0.41623,1.177197,0.875812,0.59885,0.332894,0.038139,-0.210024,-0.372662,-0.497681,-0.542898,-0.477574,-0.291234,-0.115493,0.14277,0.411696,0.712018,1.00055,1.295494,1.476706,1.484242,1.477895,1.421357,1.380049,1.38155,1.426423,1.588498,1.507383,1.364852,1.170912,0.999175,0.697508,0.389462,0.11916,-0.13707,-0.350241,-0.548277,-0.483797,-0.5737,-0.689463,-0.805508,-0.934436,-1.114586,-1.25843,-1.402959,-1.404991,-1.33836,-1.229129,-1.083503,-0.970304,-0.855291,-0.764168,1
-0.68823,-0.723026,-0.664899,-0.583663,-0.510558,-0.404372,-0.303785,-0.174963,-0.034606,0.035058,0.092272,0.180133,0.282031,0.315154,0.300508,0.997118,0.68744,0.369077,0.081084,-0.222095,-0.488513,-0.683487,-0.673336,-0.566348,-0.328419,-0.082634,0.127192,0.404841,0.69253,0.978476,1.27142,1.504868,1.538336,1.470017,1.434059,1.359378,1.196683,1.262016,1.39091,1.511783,1.676635,1.469464,1.215547,0.924871,0.63107,0.367943,0.087113,-0.174382,-0.419336,-0.586927,-0.67245,-0.756785,-0.799823,-0.901722,-1.024586,-1.1737,-1.261271,-1.321519,-1.292778,-1.18457,-1.050614,-0.927003,-0.841368,-0.777391,-0.672921,1
-0.616466,-0.644738,-0.643535,-0.590457,-0.525409,-0.465961,-0.366545,-0.263751,-0.093486,0.09012,0.165164,0.201522,0.283321,0.35015,0.436698,1.474122,1.187649,0.909905,0.604692,0.3015,0.011402,-0.258191,-0.509107,-0.599185,-0.632977,-0.492837,-0.284313,0.010567,0.232474,0.515095,0.720635,0.978515,1.242364,1.386483,1.39903,1.413727,1.437282,1.403298,1.411738,1.337737,1.336582,1.369089,1.25382,0.994143,0.692428,0.397612,0.108379,-0.146741,-0.389249,-0.563565,-0.554965,-0.625468,-0.788071,-0.950192,-1.083111,-1.239168,-1.345984,-1.418438,-1.372998,-1.251523,-1.105831,-0.951732,-0.858285,-0.725558,-0.616033,1
-0.583183,-0.57267,-0.555882,-0.49387,-0.420103,-0.3746,-0.305926,-0.203885,-0.140619,-0.036667,0.052475,0.129643,0.237064,0.315957,0.295193,0.822203,0.48747,0.13674,-0.15367,-0.364568,-0.558941,-0.713837,-0.750923,-0.638921,-0.474893,-0.217312,0.033062,0.318441,0.614226,0.93141,1.241824,1.565966,1.712258,1.571246,1.559443,1.447317,1.26164,1.250831,1.218343,1.392837,1.557269,1.612245,1.365691,1.074566,0.735484,0.458833,0.146245,-0.120405,-0.381961,-0.574875,-0.406499,-0.47216,-0.59466,-0.708247,-0.884916,-1.093949,-1.266022,-1.43728,-1.450652,-1.346219,-1.244777,-1.063262,-0.932779,-0.762943,-0.586771,2
-0.63654,-0.64595,-0.640999,-0.595147,-0.518465,-0.451917,-0.35646,-0.260363,-0.140391,-0.000823,0.059282,0.121725,0.201036,0.269353,0.285283,1.164175,0.922583,0.702026,0.441859,0.155738,-0.119159,-0.363427,-0.532658,-0.526538,-0.432097,-0.266802,-0.044615,0.161581,0.423869,0.696951,0.995036,1.298256,1.456846,1.500361,1.48111,1.400385,1.30539,1.307143,1.404875,1.471854,1.538802,1.524041,1.292782,0.995774,0.695106,0.416919,0.180924,-0.095172,-0.323048,-0.507164,-0.682669,-0.700474,-0.814566,-0.924045,-1.067106,-1.227081,-1.333733,-1.37329,-1.358163,-1.243226,-1.146048,-0.99945,-0.849962,-0.734241,-0.648902,1
-0.897147,-0.805047,-0.658484,-0.4942,-0.295407,-0.135264,-0.079984,-0.006241,0.042652,0.022217,-0.070111,-0.009464,0.121185,0.253259,0.261763,1.204962,0.870967,0.601678,0.345164,0.043755,-0.248903,-0.51936,-0.723632,-0.812278,-0.708156,-0.535095,-0.266975,-0.032012,0.216479,0.524924,0.803379,1.12421,1.44047,1.565884,1.513693,1.422295,1.464099,1.382308,1.362314,1.462801,1.567442,1.482794,1.215868,0.904982,0.5969,0.292999,-0.004333,-0.290396,-0.54652,-0.708468,-0.699847,-0.552856,-0.395141,-0.204528,-0.167293,-0.359983,-0.574122,-0.751882,-0.964514,-1.175796,-1.405127,-1.555335,-1.40844,-1.226585,-1.072245,1
-0.663319,-0.70421,-0.687076,-0.623918,-0.534617,-0.426981,-0.303201,-0.260585,-0.101881,0.046797,0.167774,0.216101,0.253846,0.327502,0.410278,1.46932,1.198672,0.938095,0.653596,0.348955,0.147894,-0.145849,-0.380572,-0.550427,-0.544109,-0.480178,-0.388988,-0.225754,-0.017464,0.263338,0.561026,0.845525,1.073874,1.367782,1.42738,1.409446,1.321704,1.367782,1.418827,1.453041,1.469596,1.442556,1.416344,1.108557,0.816498,0.499192,0.206305,-0.057445,-0.308723,-0.47993,-0.721662,-0.79707,-0.872479,-0.970071,-1.096359,-1.209534,-1.273021,-1.306362,-1.222994,-1.128227,-1.034056,-0.931994,-0.853358,-0.773203,-0.688497,1
-0.767084,-0.780662,-0.740068,-0.666728,-0.589058,-0.452468,-0.295058,-0.158608,-0.069369,0.002991,0.041483,0.166831,0.259589,0.342708,0.36703,1.036468,0.730618,0.519909,0.209512,-0.103096,-0.372883,-0.613023,-0.716415,-0.619158,-0.430621,-0.184502,0.07289,0.364009,0.633205,0.899909,1.2355,1.495975,1.480404,1.354713,1.314103,1.258545,1.233226,1.327058,1.563243,1.670996,1.691238,1.514349,1.32737,0.982716,0.656686,0.388737,0.09824,-0.193814,-0.44476,-0.599849,-0.409444,-0.406081,-0.519159,-0.69692,-0.908315,-1.061069,-1.239546,-1.35577,-1.420316,-1.423377,-1.264211,-1.072716,-0.887543,-0.756153,-0.683934,2
