@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute target {1,2,3,4,5,6,7}

@data
0.669432,0.602613,0.404789,0.256678,0.140104,0.061953,-0.003094,-0.061705,-0.10716,-0.14392,-0.1562,-0.163586,-0.169875,-0.180732,-0.16299,-0.152317,-0.148185,-0.145832,-0.130601,-0.106151,-0.063343,-0.012244,0.051956,0.131688,0.245559,0.417575,0.620626,0.689922,-1.208126,-1.294514,-1.393178,-1.410399,-1.333681,-1.243482,-1.114575,-0.966537,-0.802491,-0.644422,-0.457249,-0.259533,-0.054255,0.143517,0.33845,0.502352,0.630603,0.802583,0.924996,1.018569,0.941606,0.786402,0.636068,0.491153,0.337626,0.204799,0.079393,-0.039022,-0.163099,-0.261878,-0.368195,-0.444798,-0.515532,-0.578858,-0.604171,-0.440134,-0.241605,-0.044281,0.157949,0.361403,0.5659,0.772892,0.980212,1.163211,1.2201,1.244823,1.257672,1.113846,0.949496,0.743041,0.539382,0.335197,0.132404,-0.074559,-0.278558,-0.476485,-0.573086,-0.521204,-0.455704,-0.361561,-0.271026,-0.186352,-0.074928,0.060174,0.187535,0.310688,0.45322,0.597458,0.750491,0.8775,0.860533,0.728972,0.565174,0.417365,0.272961,0.061689,-0.129862,-0.31681,-0.491465,-0.676339,-0.82939,-0.969788,-1.131615,-1.254445,-1.333629,-1.407287,-1.346796,-1.24442,1
1.364127,1.108593,0.858407,0.613518,0.37062,0.137766,-0.053743,-0.155007,-0.24175,-0.317655,-0.37697,-0.355766,-0.271441,-0.303566,-0.308942,-0.383157,-0.522862,-0.501547,-0.457215,-0.405848,-0.335043,-0.184058,0.028574,0.251703,0.485685,0.719137,0.956155,1.174376,-0.018474,0.229068,0.475847,0.727388,0.979849,1.214663,1.353093,1.429684,1.229809,0.974865,0.724107,0.473934,0.224473,-0.026501,-0.277013,-0.523586,-0.768432,-1.010978,-1.258246,-1.49426,-1.724048,-1.944247,-2.102479,-1.89029,-1.573859,-1.242751,-0.911613,-0.580455,-0.401822,-0.236612,0.080088,0.129462,0.227202,0.341617,0.512348,0.54215,0.603805,0.470661,0.309674,0.140812,-0.015294,-0.155687,-0.255515,-0.098247,0.145961,0.371018,0.175757,-0.081247,-0.335955,-0.240189,-0.077119,-0.234805,-0.317426,-0.18653,0.027555,0.323819,0.595115,0.480473,0.288884,0.456031,0.60415,0.592329,0.338923,0.059411,-0.247761,-0.554472,-0.86047,-1.150297,-1.388949,-1.564791,-1.651999,-1.401289,-1.159783,-0.915154,-0.668307,-0.419827,-0.170107,0.076761,0.326287,0.578575,0.831323,1.084451,1.323906,1.242016,1.122753,0.895639,0.634772,0.378189,4
0.647601,0.535394,0.421044,0.318617,0.237489,0.18786,0.16771,0.150312,0.140386,0.127306,0.115996,0.105823,0.109215,0.109511,0.094426,0.07791,0.064876,0.061614,0.070149,0.080009,0.091,0.104019,0.151945,0.232458,0.340714,0.451317,0.586369,0.717606,-1.191887,-1.044651,-0.897045,-0.713318,-0.516016,-0.30552,-0.106258,0.04362,0.110293,0.171954,0.224522,0.226481,0.062473,-0.097632,-0.253302,-0.401338,-0.540695,-0.667066,-0.778706,-0.880961,-0.822913,-0.669114,-0.427322,-0.146678,0.119587,0.396115,0.590199,0.749911,0.811053,0.764219,0.712065,0.679347,0.657649,0.638661,0.612403,0.473542,0.271318,0.054452,-0.195017,-0.382116,-0.53878,-0.561132,-0.723743,-0.535097,-0.628415,-0.651604,-0.563214,-0.630903,-0.415406,-0.242403,-0.009837,0.198526,0.399029,0.598177,0.606952,0.625974,0.64696,0.675878,0.70707,0.748467,0.724612,0.546738,0.343734,0.086855,-0.180822,-0.42481,-0.54122,-0.681926,-0.795951,-0.678769,-0.560631,-0.428456,-0.292591,-0.146905,0.005385,0.14491,0.134075,0.056757,0.004181,-0.133171,-0.316913,-0.505062,-0.683324,-0.869736,-1.024173,-1.159003,-1.277489,-1.382455,6
0.075646,0.076042,0.057702,0.049677,0.039969,0.040045,0.033036,0.042149,0.06782,0.015526,-0.135508,-0.285627,-0.433107,-0.561091,-0.636108,-0.573396,-0.504721,-0.29409,-0.099685,-0.066499,-0.064713,-0.059937,0.046082,0.198461,0.277142,0.389818,0.472338,0.466909,0.180527,0.161358,0.107642,0.037772,-0.03497,-0.127621,-0.241672,-0.343593,-0.449143,-0.54789,-0.630571,-0.684933,-0.718658,-0.735322,-0.752345,-0.758706,-0.705807,-0.525259,-0.336314,-0.151021,0.040873,0.223694,0.443558,0.618236,0.807066,0.987339,1.122091,1.168995,1.361086,1.565355,1.764312,1.963699,2.155679,2.348291,2.534063,2.659484,2.454807,2.21208,1.970654,1.73652,1.509086,1.287824,1.143285,1.109422,0.92075,0.701374,0.487748,0.279564,0.074659,-0.128759,-0.328256,-0.524141,-0.655584,-0.711926,-0.729304,-0.724641,-0.712768,-0.681295,-0.62749,-0.558144,-0.451771,-0.360193,-0.251391,-0.14599,-0.066734,-0.01229,0.024303,-0.113239,-0.051202,-0.079787,-0.079004,-0.221939,-0.279545,-0.420773,-0.619803,-0.818604,-1.017733,-1.215457,-1.412445,-1.608572,-1.800757,-1.861114,-1.784232,-1.655338,-1.505152,-1.33765,-1.162365,-0.971737,5
0.644688,0.5021,0.408893,0.298831,0.035758,-0.121966,-0.202408,-0.237582,-0.254217,-0.280035,-0.277809,-0.183897,-0.039611,0.072489,0.077231,-0.073673,-0.206387,-0.220043,-0.22085,-0.240505,-0.230211,-0.202601,-0.137186,-0.020365,0.155187,0.395878,0.632563,0.681183,-1.374847,-1.465617,-1.396953,-1.221577,-1.015835,-0.817346,-0.653438,-0.474111,-0.650893,-0.455141,-0.184814,0.08632,0.041223,0.22912,0.356262,0.483767,0.559157,0.682152,0.818026,0.946656,0.982478,0.761459,0.555834,0.34053,0.436915,0.654899,0.604009,0.404236,0.166365,-0.006733,-0.229742,-0.419168,-0.573619,-0.723551,-0.855717,-0.969597,-1.056647,-0.819121,-0.646091,-0.570673,-0.305507,-0.038956,0.145073,0.132646,0.298854,0.55353,0.844992,1.124513,1.381179,1.327946,1.050002,0.796895,0.528492,0.253333,0.005408,-0.238341,-0.476986,-0.718489,-0.956323,-0.879292,-0.750359,-0.602993,-0.445259,-0.27794,-0.057522,0.156385,0.388832,0.557583,0.424678,0.376797,0.597895,0.83371,1.041235,0.892982,0.756373,0.632506,0.500499,0.415973,0.295355,0.085226,0.122572,-0.164772,-0.434789,-0.538044,-0.620523,-0.788246,-1.038618,-1.227594,2
0.666585,0.526558,0.399869,0.2893,0.210028,0.146201,0.13217,0.115198,0.104966,0.094291,0.08246,0.078746,0.090514,0.098155,0.107777,0.109307,0.114593,0.1228,0.133591,0.146172,0.160813,0.173709,0.19214,0.208986,0.288407,0.38317,0.502216,0.566248,-1.496625,-1.402207,-1.270639,-1.129364,-0.995539,-0.808575,-0.629259,-0.440013,-0.24243,-0.056332,0.054337,0.098968,0.189226,0.221619,0.124358,-0.034593,-0.16796,-0.304053,-0.432334,-0.551849,-0.661607,-0.760526,-0.760445,-0.59386,-0.397951,-0.124836,0.130978,0.373611,0.558994,0.722978,0.758149,0.722976,0.684263,0.655287,0.636265,0.627307,0.589851,0.383395,0.178364,-0.049425,-0.268749,-0.456178,-0.546939,-0.441283,-0.623459,-0.538105,-0.483729,-0.594606,-0.431194,-0.572487,-0.355097,-0.170275,0.062896,0.284475,0.489598,0.625175,0.640407,0.65756,0.686136,0.724205,0.761223,0.767523,0.611223,0.433163,0.190264,-0.089009,-0.339755,-0.443723,-0.598053,-0.700149,-0.585123,-0.456768,-0.321944,-0.181104,-0.029766,0.131724,0.22918,0.175554,0.113027,0.140952,-0.003838,-0.183236,-0.4002,-0.605639,-0.800912,-0.977409,-1.138189,-1.277809,6
0.581175,0.471493,0.361777,0.273199,0.217363,0.199238,0.183393,0.170173,0.154417,0.14056,0.132768,0.120524,0.116905,0.104846,0.10423,0.098814,0.093594,0.099221,0.105011,0.117511,0.128362,0.136909,0.151238,0.179471,0.260881,0.353356,0.471253,0.567808,-1.459305,-1.324409,-1.164777,-1.004368,-0.827266,-0.627144,-0.414426,-0.202748,-0.021691,0.082824,0.152029,0.219924,0.260698,0.1456,-0.007035,-0.149783,-0.278495,-0.408663,-0.531616,-0.640256,-0.737817,-0.833434,-0.735199,-0.564823,-0.338822,-0.055566,0.17324,0.429953,0.603933,0.757973,0.785803,0.733218,0.690029,0.670432,0.65127,0.638039,0.586543,0.440957,0.246866,0.079708,-0.168109,-0.351703,-0.497236,-0.423764,-0.582028,-0.438065,-0.506969,-0.438578,-0.510187,-0.287751,-0.068827,0.177004,0.377187,0.57767,0.616529,0.636623,0.646837,0.676993,0.712834,0.74114,0.738847,0.566134,0.390456,0.139345,-0.120322,-0.303982,-0.412457,-0.56363,-0.643428,-0.545759,-0.424809,-0.295218,-0.157918,-0.014856,0.127537,0.190812,0.132283,0.083664,-0.019605,-0.168862,-0.367915,-0.574217,-0.768793,-0.945064,-1.097742,-1.232784,-1.357228,-1.456463,6
0.684894,0.479308,0.312589,0.248352,0.177186,0.120498,0.068637,0.032144,0.022623,0.018055,0.013509,-0.012296,-0.063351,-0.059801,-0.029877,0.028941,0.024051,0.020503,0.031656,0.054934,0.081544,0.123502,0.18174,0.251256,0.368824,0.515385,0.678568,0.801186,-0.95361,-1.052347,-1.132524,-1.205562,-1.194685,-1.148729,-1.090506,-0.947528,-0.77999,-0.596953,-0.400266,-0.19169,0.023265,0.228397,0.371517,0.497445,0.663686,0.777097,0.789829,0.645134,0.497921,0.35685,0.226497,0.093266,-0.031832,-0.139757,-0.248728,-0.343378,-0.425448,-0.494776,-0.5503,-0.445311,-0.270325,-0.098547,0.077912,0.262395,0.453915,0.639649,0.808774,0.892972,0.900412,0.846569,0.990917,1.170518,1.358108,1.458484,1.521795,1.347756,1.155865,0.962631,0.769804,0.577373,0.386866,0.195478,0.004424,-0.186232,-0.377251,-0.568715,-0.612131,-0.578296,-0.512668,-0.451704,-0.378384,-0.293715,-0.188178,-0.078497,0.033854,0.153736,0.26596,0.307971,0.185765,0.047241,-0.069057,-0.250072,-0.411595,-0.567785,-0.702173,-0.843684,-0.975299,-1.089406,-1.204621,-1.296506,-1.370033,-1.422757,-1.434855,-1.337601,-1.223993,-1.129171,1
0.594655,0.494493,0.384572,0.118214,-0.083481,-0.20458,-0.236888,-0.257474,-0.265819,-0.214225,-0.20937,-0.129948,-0.035394,0.070448,0.045324,-0.092291,-0.107394,-0.11486,0.066451,0.155415,0.151954,0.127943,0.171967,0.208312,0.268988,0.349784,0.448288,0.51616,-1.345013,-1.115731,-1.085254,-1.180518,-1.256966,-1.256864,-1.085152,-0.889758,-0.695478,-0.525512,-0.455849,-0.432797,-0.177058,0.070965,0.08793,0.26039,0.38312,0.457802,0.556418,0.689663,0.798049,0.824775,0.552419,0.333294,0.446371,0.389188,0.168941,-0.113319,-0.306961,-0.46506,-0.617408,-0.750355,-0.855632,-0.705424,-0.547126,-0.32518,-0.081515,0.143653,0.136216,0.351363,0.597814,0.860006,1.117653,1.375301,1.638303,1.875509,2.027556,1.809778,1.546575,1.27353,1.016796,0.756986,0.490379,0.230618,0.059689,-0.217022,-0.481509,-0.743103,-0.930656,-0.851918,-0.749162,-0.613464,-0.384006,-0.108806,0.160043,0.019606,-0.097687,0.083184,0.022216,0.157484,0.356415,0.528541,0.427916,0.302847,0.178924,0.133998,-0.005681,-0.226333,-0.194874,-0.396593,-0.61399,-0.762871,-0.663342,-0.818497,-1.015338,-1.209089,-1.346097,-1.440745,2
0.644499,0.518909,0.403714,0.297303,0.203473,0.145274,0.122812,0.103019,0.085845,0.061896,0.081709,0.09982,0.122021,0.096341,0.064224,0.036494,0.016417,0.011296,0.015544,0.020794,0.05115,0.134718,0.227329,0.323423,0.445923,0.578129,0.716452,0.802356,-1.018924,-0.886773,-0.737614,-0.568704,-0.389698,-0.203532,-0.009985,0.070696,0.131133,0.203359,0.22317,0.100189,-0.086984,-0.260156,-0.428678,-0.586535,-0.722702,-0.852585,-0.953809,-1.020946,-0.774062,-0.532933,-0.286355,-0.039502,0.207576,0.463523,0.661121,0.796799,0.874518,0.818019,0.773113,0.734775,0.727258,0.717685,0.57844,0.350111,0.135127,-0.099903,-0.307303,-0.498868,-0.659005,-0.586051,-0.651062,-0.512328,-0.618135,-0.609566,-0.600306,-0.450247,-0.282438,-0.067808,0.149879,0.362352,0.574346,0.680486,0.696075,0.705314,0.722519,0.749981,0.787511,0.814496,0.653311,0.46408,0.233526,-0.00483,-0.244509,-0.483402,-0.589603,-0.54987,-0.535937,-0.620543,-0.484743,-0.356512,-0.204904,-0.061375,0.075362,0.081297,-0.000282,-0.051638,-0.18776,-0.355218,-0.535145,-0.69701,-0.855877,-0.997532,-1.115228,-1.233048,-1.314021,-1.396433,6
