@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute target {1,2}

@data
-0.553834,-0.609242,-0.61077,-0.594721,-0.570648,-0.575615,-0.618413,-0.626055,-0.629876,-0.610006,-0.581347,-0.48811,-0.427353,-0.360864,-0.322652,-0.300489,-0.225594,-0.125478,-0.061282,0.015524,0.107997,0.138948,0.156526,0.276511,0.5268,0.878732,1.212322,1.428984,1.598645,1.841673,2.144694,2.365941,2.445422,2.440073,2.420202,2.416763,2.479813,2.616612,2.734687,2.764492,2.672401,2.71367,2.773281,2.642214,2.268883,1.86995,1.675069,1.699907,1.779006,1.730094,1.520311,1.236778,0.971587,0.775942,0.644111,0.544759,0.4584,0.394969,0.386944,0.420188,0.459547,0.463368,0.404139,0.291032,0.153851,0.0545,0.012085,0.020491,0.058703,0.10685,0.148884,0.183656,0.226072,0.328098,0.384269,0.514572,0.652135,0.704103,0.726266,0.707925,0.664363,0.606281,0.472157,0.347968,0.295617,0.200852,0.158819,0.129395,0.116403,0.111436,0.11946,0.163404,0.271162,0.319309,0.420188,0.462604,0.50884,0.545906,0.553166,0.544377,0.516865,0.326569,0.301349,0.26543,0.274601,0.345293,0.390383,0.42592,0.452669,0.454961,0.418278,0.340325,0.272308,0.090037,0.050679,0.022402,-0.044469,-0.122421,-0.189292,-0.292082,-0.373856,-0.494224,-0.626819,-0.766675,-0.850359,-0.891246,-0.999386,-1.000914,-0.991361,-1.003207,-0.958117,-0.956206,-0.971491,-0.976841,-0.97493,-0.999004,-0.999768,-0.983337,-0.953531,-0.874051,-0.810619,-0.634844,-0.582111,-0.54581,-0.520972,-0.522883,-0.549631,-0.585932,-0.650129,-0.739162,-0.90271,-0.958499,-1.026134,-1.087656,-1.126632,-1.201145,-1.177071,-1.129689,-1.040655,-0.982573,-0.998239,-0.96767,-0.956588,-0.963467,-0.91532,-0.845392,-0.767057,-0.710503,-0.665413,-0.637136,-0.53855,-0.305457,-0.246992,-0.216423,-0.158723,-0.141909,-0.18165,-0.368889,-0.449898,-0.575233,-0.725788,-0.90462,-1.192356,-1.318074,-1.411311,-1.493084,-1.543524,-1.581354,-1.621859,-1.622623,2
-0.336299,-0.333389,-0.311362,-0.260865,-0.195822,-0.175249,-0.198108,-0.227201,-0.248397,-0.279775,-0.289958,-0.293075,-0.276035,-0.217226,-0.094205,0.06726,0.154123,0.176982,0.281092,0.41866,0.463753,0.487651,0.551447,0.598412,0.632284,0.70273,0.833855,1.223491,1.34485,1.461844,1.670273,1.946863,2.174618,2.288495,2.356448,2.472819,2.686651,3.005633,3.350383,3.572112,3.569618,3.348928,3.051558,2.875339,2.852273,2.771852,2.462637,2.063234,1.817608,1.783528,1.80701,1.70373,1.452909,1.168007,0.946278,0.808503,0.727251,0.67717,0.644129,0.62314,0.6194,0.629582,0.636024,0.625842,0.584073,0.487235,0.200048,0.101548,0.054168,0.037752,0.02653,0.00284,-0.038513,-0.087763,-0.131402,-0.165482,-0.184808,-0.185432,-0.171717,-0.144078,-0.103348,-0.010251,0.029439,0.057493,0.077443,0.092405,0.101964,0.10612,0.105704,0.098431,0.071832,-0.021889,-0.057423,-0.079243,-0.107712,-0.118726,-0.12496,-0.12309,-0.111661,-0.09566,-0.015447,0.010321,0.041492,0.077443,0.117549,0.148928,0.157448,0.142486,0.121082,0.106951,0.07765,0.065182,0.031725,0.026322,0.036713,0.062688,0.141655,0.173449,0.197554,0.210854,0.21688,0.210854,0.194645,0.171163,0.108613,-0.001108,-0.028331,-0.038097,-0.089218,-0.181276,-0.298062,-0.399264,-0.496101,-0.581094,-0.636578,-0.680633,-0.714713,-0.745468,-0.784951,-0.796588,-0.806979,-0.813005,-0.815083,-0.827344,-0.830253,-0.824019,-0.824226,-0.834409,-0.83524,-0.831292,-0.837526,-0.852072,-0.862878,-0.901322,-0.949741,-1.005849,-1.028499,-1.056345,-1.033279,-1.026422,-0.992965,-0.978418,-0.973431,-0.933325,-0.902361,-0.895504,-0.898829,-0.894465,-0.88636,-0.892387,-0.889685,-0.89301,-0.890101,-0.862047,-0.85228,-0.838149,-0.820902,-0.799082,-0.782873,-0.77373,-0.768119,-0.768742,-0.7756,-0.786198,-0.815291,-0.850202,-0.873476,-0.879711,-0.885321,-0.883243,2
-0.680972,-0.657278,-0.645801,-0.608779,-0.538066,-0.453285,-0.377759,-0.347771,-0.369614,-0.414411,-0.452914,-0.483643,-0.529181,-0.54473,-0.537696,-0.485864,-0.384793,-0.292608,-0.206345,-0.056405,0.151291,0.388974,0.672936,0.939867,1.090178,1.150895,1.211241,1.329343,1.527412,1.674391,1.764356,1.916147,2.143835,2.326355,2.432609,2.51628,2.634011,2.812459,3.001273,3.126409,3.122336,3.002384,2.640675,2.517021,2.41669,2.177155,1.77176,1.412643,1.276771,1.343781,1.461883,1.485947,1.377102,1.197543,1.025389,0.893219,0.808438,0.759939,0.699592,0.64702,0.56446,0.352692,0.251621,0.139444,0.007274,-0.101202,-0.153403,-0.154884,-0.123045,-0.029749,0.049849,0.095757,0.151291,0.271613,0.375276,0.416741,0.44821,0.462279,0.452653,0.422665,0.376387,0.270133,0.225335,0.120562,0.044666,0.019491,-0.017902,-0.030489,-0.03197,-0.01494,0.01801,0.145737,0.178687,0.234591,0.29975,0.344548,0.403043,0.418592,0.420443,0.394898,0.29827,0.219782,0.181649,0.171283,0.190905,0.234591,0.291606,0.354544,0.395268,0.418963,0.422295,0.390085,0.111677,0.053552,0.006163,-0.029008,-0.096389,-0.176727,-0.235963,-0.333702,-0.424037,-0.546211,-0.780192,-0.861641,-0.94198,-0.971968,-0.977521,-0.973079,-0.961232,-0.947163,-0.915694,-0.903477,-0.920507,-0.917915,-0.922728,-0.946423,-0.912362,-0.898664,-0.801295,-0.696151,-0.575829,-0.534364,-0.501414,-0.483273,-0.488826,-0.510299,-0.552505,-0.602485,-0.719105,-0.767234,-0.80944,-0.845352,-0.866825,-0.904958,-0.923469,-0.920507,-0.92532,-0.943831,-0.945312,-0.927911,-0.922358,-0.923099,-0.905328,-0.87571,-0.856458,-0.824619,-0.784265,-0.737987,-0.654686,-0.467353,-0.402194,-0.355546,-0.299642,-0.287054,-0.323706,-0.409968,-0.519925,-0.619145,-0.87608,-1.016395,-1.131535,-1.242231,-1.33923,-1.409202,-1.468068,-1.506941,-1.542113,-1.563956,-1.572101,-1.572841,2
-0.617622,-0.648659,-0.631201,-0.521602,-0.50188,-0.512226,-0.545849,-0.552638,-0.553932,-0.548112,-0.531301,-0.487655,-0.397777,-0.277186,-0.195391,-0.147866,-0.048935,0.081678,0.183518,0.29635,0.418881,0.481602,0.515548,0.604779,0.788091,1.060634,1.338996,1.529097,1.677169,1.890871,2.158888,2.359011,2.42949,2.433047,2.453415,2.537796,2.692981,2.863684,2.950329,2.914119,2.789001,2.655801,2.609246,2.60375,2.445009,2.07289,1.693981,1.521015,1.559164,1.649365,1.628027,1.453768,1.212585,0.99662,0.836586,0.723754,0.637756,0.568893,0.519428,0.495827,0.491947,0.481602,0.441836,0.36683,0.26014,0.136963,0.043529,0.013462,0.035446,0.086204,0.196127,0.282771,0.378792,0.430843,0.490331,0.624824,0.685281,0.729574,0.743152,0.727634,0.686575,0.627087,0.490654,0.427287,0.371679,0.274689,0.220698,0.174466,0.144722,0.118211,0.101076,0.104633,0.122737,0.153128,0.223931,0.280508,0.374266,0.414032,0.422438,0.409506,0.357777,0.255291,0.171556,0.141166,0.12597,0.127264,0.143105,0.194187,0.209059,0.213262,0.203886,0.178992,-0.03277,-0.10713,-0.178256,-0.26684,-0.329237,-0.437867,-0.540676,-0.662884,-0.879496,-0.966787,-1.023365,-1.074123,-1.114859,-1.13846,-1.164324,-1.167557,-1.160768,-1.162384,-1.188895,-1.191481,-1.178873,-1.121325,-1.095138,-1.050845,-1.022395,-0.987155,-0.951269,-0.90827,-0.880142,-0.863331,-0.858158,-0.858481,-0.874323,-0.918615,-0.935427,-0.932517,-0.953208,-0.960321,-0.946742,-0.920878,-0.852662,-0.859774,-0.872707,-0.864947,-0.840376,-0.855248,-0.897601,-0.902774,-0.90148,-0.871413,-0.844903,-0.80837,-0.735627,-0.673553,-0.594344,-0.487655,-0.356718,-0.131054,-0.046672,0.026394,0.089761,0.10043,0.063897,-0.017575,-0.250675,-0.539706,-0.702973,-0.846842,-0.978749,-1.094168,-1.177579,-1.2403,-1.289442,-1.317892,-1.33729,-1.361861,-1.373177,-1.373177,2
-0.630487,-0.617892,-0.615309,-0.593026,-0.547169,-0.490332,-0.449965,-0.450611,-0.50325,-0.511969,-0.522303,-0.512938,-0.482259,-0.410244,-0.30206,-0.220034,-0.160937,-0.047909,0.109362,0.251131,0.414537,0.587631,0.675147,0.708409,0.772351,0.900557,1.112403,1.354929,1.525762,1.653968,1.846439,2.094131,2.27982,2.356679,2.376378,2.411901,2.512657,2.67348,2.826552,2.879514,2.810082,2.522346,2.454852,2.42934,2.262059,1.532544,1.384639,1.445997,1.556442,1.561286,1.418225,1.201857,1.003574,0.857929,0.761694,0.696461,0.648343,0.61056,0.581495,0.559213,0.526596,0.474603,0.398713,0.296988,0.183314,0.093861,0.063182,0.087402,0.139718,0.199138,0.252745,0.342199,0.391608,0.446185,0.507866,0.714545,0.77558,0.818854,0.834678,0.815301,0.769444,0.706795,0.551462,0.480093,0.419381,0.32476,0.270184,0.224973,0.194294,0.172011,0.136165,0.1268,0.127123,0.138749,0.164584,0.230463,0.256621,0.298925,0.355116,0.363836,0.378045,0.382566,0.367065,0.317656,0.225619,0.180408,0.141655,0.113237,0.091923,0.0916,0.105486,0.122602,0.153927,0.171688,0.176532,0.170397,0.143593,0.102257,0.03993,-0.038866,-0.102485,-0.173854,-0.257172,-0.324343,-0.433172,-0.52973,-0.784528,-0.918223,-1.012844,-1.121674,-1.168177,-1.193043,-1.206606,-1.215325,-1.224368,-1.199824,-1.194335,-1.199501,-1.198856,-1.166885,-1.168177,-1.161718,-1.137821,-1.130393,-1.142988,-1.121028,-1.068066,-1.036741,-1.028345,-1.034481,-1.094224,-1.097131,-1.090995,-1.073233,-1.056118,-1.016719,-0.999927,-0.997989,-0.943736,-0.919838,-0.914671,-0.87495,-0.843302,-0.800674,-0.724138,-0.639206,-0.54394,-0.438016,-0.293987,-0.023043,0.074161,0.149406,0.23563,0.269538,0.248224,0.175241,-0.003666,-0.142852,-0.317238,-0.537158,-0.728014,-0.900462,-1.044815,-1.143956,-1.223076,-1.277652,-1.305748,-1.328999,-1.367752,-1.370335,2
-0.500495,-0.507968,-0.51113,-0.492448,-0.443299,-0.389265,-0.37087,-0.379205,-0.420881,-0.452497,-0.454508,-0.442724,-0.406222,-0.326033,-0.21279,-0.132025,-0.078278,0.030653,0.178961,0.311461,0.609514,0.681656,0.71011,0.784551,0.945506,1.190961,1.455098,1.644507,1.797988,2.030797,2.318215,2.524007,2.597873,2.593849,2.601609,2.675763,2.82637,2.993073,3.066365,3.022677,2.896788,2.757965,2.707379,2.69617,2.52027,1.726133,1.539024,1.566616,1.647381,1.620076,1.450499,1.223152,1.022246,0.874801,0.772767,0.695739,0.63222,0.582209,0.553755,0.542833,0.525013,0.480463,0.40171,0.285593,0.148495,0.034965,-0.020794,-0.023956,-0.0001,0.060258,0.109981,0.20023,0.239032,0.377567,0.414069,0.435338,0.436775,0.416656,0.383028,0.260875,0.157117,0.112855,0.074054,0.048473,0.035252,0.008522,0.010822,0.027779,0.056234,0.153381,0.227535,0.284444,0.329856,0.34049,0.332443,0.316347,0.29594,0.246505,0.217763,0.141022,0.109693,0.088712,0.083538,0.094748,0.114292,0.140735,0.162004,0.176374,0.178961,0.16574,0.105382,0.071754,-0.002112,-0.065632,-0.123403,-0.188359,-0.235496,-0.412833,-0.530387,-0.640468,-0.744801,-0.82844,-0.885061,-0.935072,-0.973586,-0.998879,-1.027046,-1.03883,-1.031357,-1.035381,-1.054925,-1.066997,-1.069296,-1.068146,-1.038542,-1.021297,-0.994567,-0.974161,-0.9253,-0.89857,-0.881325,-0.872702,-0.878163,-0.896558,-0.925587,-0.948868,-0.964388,-0.979334,-0.965251,-0.958353,-0.957203,-0.910066,-0.895695,-0.891959,-0.847697,-0.857756,-0.88736,-0.897707,-0.906043,-0.896845,-0.877301,-0.862355,-0.841948,-0.799123,-0.763483,-0.710023,-0.636444,-0.549069,-0.402486,-0.346439,-0.296716,-0.252453,-0.243831,-0.266537,-0.318847,-0.462556,-0.553668,-0.65024,-0.762333,-0.86178,-0.954329,-1.034518,-1.091715,-1.13569,-1.167881,-1.1857,-1.198634,-1.213867,-1.220765,-1.220765,2
-0.675406,-0.684205,-0.684519,-0.660323,-0.561655,-0.532431,-0.533374,-0.551599,-0.561655,-0.575481,-0.575795,-0.572653,-0.554427,-0.511692,-0.425592,-0.301157,-0.213172,-0.163209,-0.060141,0.076864,0.181189,0.292741,0.412149,0.470596,0.500762,0.583719,0.756861,1.019558,1.294825,1.487763,1.642365,1.867669,2.145135,2.350957,2.427001,2.427315,2.439256,2.52347,2.690013,2.87698,2.97722,2.947368,2.817276,2.674615,2.621196,2.620567,2.466594,2.08606,1.6895,1.499704,1.530184,1.618483,1.595859,1.421146,1.18453,0.977137,0.826306,0.720096,0.640595,0.575549,0.528729,0.506732,0.505161,0.498562,0.461483,0.387639,0.277343,0.152908,0.057067,0.019359,0.038842,0.090376,0.150708,0.207584,0.298397,0.450485,0.510817,0.641852,0.700299,0.741777,0.758746,0.745548,0.706584,0.649393,0.4464,0.390781,0.341761,0.234608,0.189673,0.158878,0.140024,0.129655,0.117085,0.118656,0.134368,0.160763,0.226752,0.257233,0.303425,0.330448,0.360615,0.411834,0.427232,0.425975,0.40555,0.310023,0.157621,0.127769,0.116143,0.120856,0.138139,0.196272,0.215126,0.222353,0.216068,0.197843,0.118028,-0.090307,-0.154096,-0.231712,-0.286074,-0.385999,-0.495038,-0.625444,-0.73731,-0.845091,-0.940932,-1.003778,-1.050285,-1.08265,-1.111874,-1.13607,-1.135127,-1.118473,-1.119101,-1.129471,-1.130099,-1.110617,-1.10716,-1.09899,-1.03803,-1.008806,-0.986496,-0.938104,-0.932448,-0.926163,-0.934333,-0.947845,-0.961671,-0.984924,-0.99498,-0.988067,-0.965756,-0.930877,-0.903853,-0.947531,-0.927106,-0.901025,-0.948788,-0.937161,-0.890341,-0.862374,-0.821838,-0.752707,-0.694889,-0.614446,-0.503208,-0.367774,-0.136814,-0.047886,0.029729,0.090061,0.100745,0.070265,-0.006093,-0.123302,-0.236739,-0.524575,-0.689861,-0.833779,-0.961986,-1.073538,-1.151781,-1.209286,-1.256106,-1.285016,-1.304498,-1.317067,-1.333407,-1.333407,2
-0.860863,-0.868173,-0.88895,-0.88164,-0.789297,-0.781217,-0.800455,-0.809305,-0.811229,-0.773907,-0.748898,-0.699648,-0.612692,-0.499188,-0.425314,-0.386838,-0.309886,-0.210233,-0.091342,-0.016314,0.014852,0.035244,0.136821,0.351517,0.646628,0.930581,1.119114,1.270709,1.48733,1.738578,1.920954,1.981747,1.96828,1.972512,2.043308,2.1849,2.348423,2.446922,2.434994,2.235304,2.222991,2.248385,2.127186,1.790521,1.43885,1.289178,1.346123,1.456934,1.45424,1.290717,1.049087,0.828235,0.66856,0.553516,0.464252,0.387685,0.331125,0.316119,0.340744,0.313811,0.24263,0.059099,0.018315,0.052558,0.147594,0.388839,0.494648,0.875561,0.978676,1.204916,1.31034,1.392294,1.440004,1.441928,1.391139,1.298027,1.180291,0.922117,0.800532,0.696262,0.61123,0.456172,0.396534,0.358443,0.339205,0.331894,0.326892,0.333433,0.352287,0.457326,0.480027,0.559672,0.592762,0.589684,0.56352,0.526198,0.479257,0.259175,0.217236,0.195689,0.197998,0.219544,0.297651,0.328431,0.331125,0.313426,0.276104,0.228778,0.094497,-0.029011,-0.194458,-0.289109,-0.411847,-0.503036,-0.635778,-0.756977,-0.890874,-1.003224,-1.107109,-1.198298,-1.257936,-1.307185,-1.339505,-1.361051,-1.370286,-1.376057,-1.369901,-1.343737,-1.337966,-1.35528,-1.352971,-1.340659,-1.320267,-1.311417,-1.313341,-1.29949,-1.278712,-1.241006,-1.190602,-1.152126,-1.050165,-0.988603,-0.950127,-0.892028,-0.848166,-0.844318,-0.851244,-0.844318,-0.817385,-0.817385,-0.776985,-0.774676,-0.730044,-0.75236,-0.740818,-0.717347,-0.739279,-0.793914,-0.801994,-0.796608,-0.759286,-0.717732,-0.668098,-0.601534,-0.477641,-0.375295,-0.241014,-0.05402,0.168756,0.534278,0.677409,0.802456,0.896338,0.903263,0.832852,0.685874,0.255327,-0.007849,-0.262176,-0.542666,-0.780063,-0.989757,-1.174827,-1.30757,-1.405299,-1.488022,-1.538811,-1.598064,-1.631538,-1.631538,2
-0.664675,-0.661196,-0.652972,-0.626403,-0.564723,-0.489442,-0.443895,-0.428079,-0.437568,-0.477739,-0.513482,-0.514114,-0.491657,-0.425865,-0.322433,-0.238613,-0.171872,-0.048197,0.122608,0.294994,0.494899,0.690059,0.791277,0.833346,0.884271,0.973785,1.144906,1.363473,1.525737,1.64625,1.834768,2.086863,2.278544,2.364262,2.399372,2.455042,2.576503,2.750154,2.901032,2.943101,2.862127,2.544872,2.460419,2.415504,2.226353,1.845206,1.48272,1.332475,1.387828,1.495372,1.502331,1.376125,1.184128,1.005099,0.875414,0.786532,0.724853,0.681203,0.607504,0.564486,0.510714,0.442709,0.360469,0.258619,0.145382,0.055235,0.020758,0.041001,0.095406,0.162779,0.225091,0.329155,0.384192,0.511347,0.719159,0.776411,0.813735,0.824489,0.804562,0.755534,0.686896,0.531907,0.45884,0.396212,0.341491,0.241855,0.198205,0.166574,0.1438,0.112486,0.104895,0.10616,0.120394,0.145698,0.212755,0.242171,0.264629,0.34244,0.357939,0.366479,0.363632,0.345919,0.319982,0.264629,0.194093,0.116598,0.086549,0.071999,0.073581,0.090661,0.139372,0.156136,0.160248,0.153922,0.137791,0.034991,-0.083939,-0.126957,-0.193381,-0.27309,-0.328443,-0.431875,-0.540684,-0.670369,-0.902853,-1.003122,-1.067648,-1.117941,-1.154,-1.184681,-1.206822,-1.205874,-1.177722,-1.174559,-1.183416,-1.17962,-1.148939,-1.148622,-1.140715,-1.131225,-1.079352,-1.070811,-1.069862,-1.07176,-1.077454,-1.078086,-1.058475,-1.054996,-1.03412,-1.009132,-0.973389,-0.930055,-0.931321,-0.947769,-0.918985,-0.884191,-0.909496,-0.89716,-0.893364,-0.856989,-0.825042,-0.773484,-0.701683,-0.635575,-0.541949,-0.421437,-0.270243,-0.139293,-0.014036,0.085917,0.174798,0.244385,0.260201,0.23458,0.162146,-0.056421,-0.200656,-0.362604,-0.564723,-0.743435,-0.901588,-1.035385,-1.126797,-1.194487,-1.249524,-1.282419,-1.30551,-1.320376,-1.341568,-1.341568,2
-0.432651,-0.4481,-0.439577,-0.387904,-0.330105,-0.309862,-0.319717,-0.374053,-0.382577,-0.390035,-0.390834,-0.37725,-0.342623,-0.268044,-0.163899,-0.092782,-0.043507,0.067297,0.219386,0.349367,0.496395,0.647419,0.712942,0.731587,0.803769,0.967311,1.214489,1.474718,1.664895,1.832965,2.078012,2.371802,2.587017,2.661863,2.652007,2.711671,2.860031,3.032096,3.113867,3.071251,2.946064,2.813951,2.765475,2.753489,2.578493,2.175498,1.767442,1.578064,1.601236,1.671554,1.630802,1.45554,1.227008,1.026442,0.881545,0.780064,0.70362,0.638096,0.585358,0.55819,0.550732,0.539545,0.502255,0.423947,0.302222,0.158923,0.034802,-0.036049,-0.055226,-0.044039,-0.021399,-0.002488,0.028676,0.047853,0.093134,0.121367,0.278783,0.301423,0.308615,0.297428,0.275054,0.189554,0.136283,0.10219,0.058774,0.021484,-0.002488,-0.015007,-0.031787,-0.03738,-0.036848,-0.024595,-0.000623,0.094998,0.169578,0.231106,0.280914,0.2929,0.285442,0.271059,0.255078,0.217521,0.19275,0.123764,0.093134,0.07369,0.068895,0.080082,0.143741,0.160255,0.166115,0.158124,0.11018,0.08168,0.04812,-0.064549,-0.164165,-0.199857,-0.276834,-0.3626,-0.474203,-0.677165,-0.762133,-0.817268,-0.866544,-0.90703,-0.935264,-0.967226,-0.980544,-0.980011,-0.985072,-1.005581,-1.011441,-1.013306,-1.005049,-1.007179,-1.001053,-0.984273,-0.961366,-0.946184,-0.88732,-0.8756,-0.870539,-0.86974,-0.88439,-0.896642,-0.952843,-0.966693,-0.968025,-0.985605,-0.976016,-0.952044,-0.943254,-0.898773,-0.89531,-0.884656,-0.848432,-0.823927,-0.833782,-0.863614,-0.876399,-0.87853,-0.861217,-0.850829,-0.82739,-0.784507,-0.76453,-0.734698,-0.685156,-0.624161,-0.518418,-0.477133,-0.43931,-0.409212,-0.407348,-0.427857,-0.470474,-0.591665,-0.734165,-0.811408,-0.878796,-0.940857,-0.997058,-1.039142,-1.069507,-1.093212,-1.107329,-1.122778,-1.131567,-1.131567,2
