@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute target {1,2,3,4,5,6,7}

@data
-0.019022,-0.14826,-0.271149,-0.384522,-0.490035,-0.58448,-0.666979,-0.737084,-0.794908,-0.839574,-0.870635,-0.88789,-0.89159,-0.881833,-0.859882,-0.831895,-0.791979,-0.74134,-0.680815,-0.616942,-0.553123,-0.49035,-0.42895,-0.370086,-0.314041,-0.262908,-0.220247,-0.188351,-0.160277,-0.13228,-0.103956,-0.074701,-0.046983,-0.022666,0.004112,0.033211,0.063953,0.095968,0.129495,0.1636,0.198014,0.232497,0.266486,0.295875,0.320624,0.341526,0.351902,0.352718,0.343534,0.330127,0.315086,0.298298,0.27944,0.258901,0.236192,0.214442,0.19837,0.188616,0.185293,0.188532,0.197147,0.211834,0.233135,0.259525,0.284553,0.307713,0.329105,0.348856,0.366059,0.37588,0.374416,0.360582,0.33572,0.304149,0.264711,0.21846,0.170771,0.122739,0.075427,0.029801,-0.013698,-0.055832,-0.095162,-0.130331,-0.161358,-0.187148,-0.211255,-0.234234,-0.257884,-0.290781,-0.331521,-0.376976,-0.425132,-0.474945,-0.525758,-0.577434,-0.629354,-0.68023,-0.72887,-0.770404,-0.801545,-0.824284,-0.835187,-0.834359,-0.819565,-0.791457,-0.750368,-0.696637,-0.629881,-0.551161,-0.460838,-0.358259,-0.244645,-0.121483,0.008224,1
-0.006696,-0.077612,-0.131389,-0.168137,-0.188502,-0.195656,-0.19174,-0.185986,-0.180214,-0.1743,-0.168231,-0.161969,-0.160314,-0.16697,-0.173517,-0.18067,-0.188456,-0.197483,-0.20805,-0.220795,-0.236011,-0.253048,-0.264729,-0.2718,-0.274551,-0.273457,-0.268665,-0.265627,-0.264963,-0.261677,-0.264998,-0.273286,-0.286145,-0.301728,-0.324145,-0.349122,-0.381089,-0.41176,-0.439562,-0.464209,-0.485196,-0.501196,-0.503587,-0.489488,-0.459668,-0.428195,-0.397204,-0.366461,-0.324658,-0.269761,-0.212779,-0.153278,-0.096486,-0.043105,0.009114,0.059338,0.094702,0.117726,0.140814,0.158283,0.173712,0.177436,0.168029,0.142692,0.106138,0.057329,0.003297,-0.053324,-0.110178,-0.164734,-0.206254,-0.236397,-0.263627,-0.290769,-0.317131,-0.328659,-0.323393,-0.301318,-0.274026,-0.243744,-0.199769,-0.145058,-0.09744,-0.060933,-0.041873,-0.040551,-0.04396,-0.049425,-0.068743,-0.101064,-0.140761,-0.179608,-0.216144,-0.246708,-0.265283,-0.27094,-0.263502,-0.243556,-0.212576,-0.173027,-0.13565,-0.099125,-0.06825,-0.047916,-0.028117,-0.008204,0.011773,0.031606,0.051378,0.070964,0.090269,0.11,0.140681,0.183432,0.240421,4
0.110781,-0.011032,-0.120698,-0.216676,-0.298579,-0.366795,-0.422989,-0.46996,-0.50788,-0.537071,-0.559238,-0.579927,-0.599276,-0.617674,-0.635575,-0.652103,-0.666362,-0.677934,-0.686402,-0.6867,-0.67576,-0.650627,-0.61024,-0.557388,-0.493886,-0.424317,-0.350047,-0.275938,-0.206333,-0.142868,-0.085402,-0.033578,0.011488,0.049102,0.07507,0.087656,0.088017,0.07784,0.059371,0.033928,0.007674,-0.018533,-0.033115,-0.045619,-0.053961,-0.054712,-0.053506,-0.041396,-0.020111,0.006991,0.035913,0.063458,0.088286,0.104532,0.112194,0.114086,0.111618,0.108152,0.107627,0.108045,0.103625,0.093161,0.074767,0.048326,0.018381,-0.008703,-0.033249,-0.05328,-0.063169,-0.063897,-0.059475,-0.045103,-0.032163,-0.011036,0.015514,0.038757,0.061679,0.075665,0.079306,0.06907,0.045618,0.009539,-0.039391,-0.093762,-0.153261,-0.21741,-0.286021,-0.358327,-0.433472,-0.508333,-0.577036,-0.637335,-0.685354,-0.718794,-0.738264,-0.747539,-0.746038,-0.734545,-0.720959,-0.704945,-0.687885,-0.670342,-0.652274,-0.633744,-0.61357,-0.58623,-0.549544,-0.504239,-0.44759,-0.378031,-0.2954,-0.200013,-0.09166,0.028644,0.159249,6
-0.537739,-0.564686,-0.587432,-0.606013,-0.621128,-0.633663,-0.643315,-0.650436,-0.655046,-0.656916,-0.653669,-0.644114,-0.627691,-0.60468,-0.575141,-0.537646,-0.491168,-0.442261,-0.394764,-0.348976,-0.304275,-0.25982,-0.217167,-0.176092,-0.136984,-0.096102,-0.05786,-0.015533,0.036059,0.088852,0.14893,0.217198,0.294215,0.379849,0.472753,0.562636,0.647825,0.728485,0.804632,0.875953,0.941712,1.003777,1.065268,1.121038,1.169707,1.209493,1.23632,1.250019,1.250761,1.238457,1.213529,1.176891,1.132552,1.08134,1.024274,0.963112,0.901436,0.83515,0.764366,0.690497,0.613034,0.532798,0.449656,0.362962,0.273903,0.192886,0.115376,0.04798,-0.012563,-0.065499,-0.115825,-0.163253,-0.214259,-0.265611,-0.316277,-0.366459,-0.416293,-0.465864,-0.515191,-0.564274,-0.60884,-0.646461,-0.677908,-0.70377,-0.724204,-0.73919,-0.748872,-0.753448,-0.753778,-0.752287,-0.74783,-0.741265,-0.731929,-0.719651,-0.702778,-0.679918,-0.64903,-0.622846,-0.598296,-0.576446,-0.551625,-0.523692,-0.483907,-0.436777,-0.376566,-0.304861,-0.231534,-0.159098,-0.087429,-0.010159,0.071306,0.152735,0.233176,0.311795,0.386924,5
-0.094474,-0.229577,-0.349901,-0.454382,-0.543283,-0.617616,-0.677092,-0.735779,-0.781983,-0.813166,-0.828267,-0.836229,-0.835351,-0.830979,-0.821201,-0.800429,-0.766635,-0.71926,-0.659423,-0.590729,-0.5229,-0.456155,-0.392,-0.321867,-0.243335,-0.16924,-0.108852,-0.063144,-0.020263,0.017907,0.052789,0.080233,0.096834,0.102171,0.097096,0.083656,0.072155,0.072316,0.068464,0.064441,0.060265,0.063727,0.060511,0.058598,0.060923,0.070451,0.085196,0.103968,0.116678,0.118929,0.12011,0.119198,0.116292,0.101908,0.072134,0.0361,-0.001324,-0.038747,-0.067832,-0.085186,-0.091313,-0.087035,-0.072181,-0.045574,-0.008042,0.040141,0.086031,0.121723,0.153306,0.183419,0.212508,0.24238,0.267725,0.282975,0.285608,0.274125,0.250507,0.214313,0.172889,0.141974,0.109919,0.077809,0.05143,0.030566,0.012235,-0.006486,-0.023456,-0.037137,-0.053959,-0.072307,-0.093941,-0.129268,-0.171807,-0.220373,-0.272458,-0.327389,-0.382622,-0.424636,-0.456214,-0.486288,-0.515593,-0.543019,-0.566641,-0.585505,-0.592977,-0.588438,-0.57589,-0.552867,-0.516409,-0.474072,-0.413236,-0.334435,-0.243195,-0.140178,-0.025385,2
0.096856,-0.036059,-0.157733,-0.268238,-0.365739,-0.450502,-0.522211,-0.580603,-0.625969,-0.660945,-0.687632,-0.70452,-0.713914,-0.721002,-0.727977,-0.734471,-0.73992,-0.744438,-0.746693,-0.746445,-0.743434,-0.734482,-0.713905,-0.681074,-0.633293,-0.575291,-0.50849,-0.436375,-0.359531,-0.284372,-0.213532,-0.148369,-0.088881,-0.034487,0.013376,0.054013,0.081459,0.095486,0.095716,0.084947,0.066442,0.041903,0.019806,-0.005121,-0.021905,-0.03243,-0.042115,-0.042077,-0.042765,-0.032548,-0.012873,0.014571,0.043849,0.073434,0.098434,0.115415,0.12488,0.129118,0.129159,0.129262,0.130747,0.128312,0.120908,0.106041,0.082164,0.051177,0.023607,-0.002274,-0.023965,-0.034511,-0.03453,-0.02703,-0.018358,0.001432,0.02376,0.047523,0.073195,0.091336,0.115117,0.126826,0.126394,0.110957,0.081287,0.03827,-0.01515,-0.074436,-0.138948,-0.207941,-0.281006,-0.357042,-0.433888,-0.504048,-0.565782,-0.613623,-0.646465,-0.664929,-0.673838,-0.671601,-0.659795,-0.64549,-0.629543,-0.612521,-0.594512,-0.575986,-0.55605,-0.532482,-0.500228,-0.458974,-0.411719,-0.352686,-0.280703,-0.1945,-0.09442,0.01924,0.142315,6
0.068888,-0.059347,-0.176067,-0.280133,-0.370789,-0.447626,-0.510706,-0.561026,-0.601171,-0.632331,-0.654541,-0.668731,-0.680188,-0.6907,-0.700304,-0.708937,-0.716163,-0.721229,-0.723808,-0.723434,-0.720475,-0.708344,-0.684471,-0.647443,-0.596255,-0.536209,-0.467152,-0.393556,-0.316716,-0.241879,-0.173291,-0.111464,-0.055638,-0.006353,0.03582,0.069185,0.090642,0.099594,0.09949,0.088819,0.069765,0.0445,0.025521,0.006355,-0.003254,-0.01087,-0.011867,-0.011153,0.000597,0.022897,0.056578,0.093658,0.131741,0.163586,0.186659,0.202445,0.21068,0.21431,0.213749,0.212184,0.206614,0.196628,0.178925,0.153206,0.121805,0.088505,0.055019,0.025342,0.004493,-0.004063,-0.00218,0.00913,0.02276,0.046413,0.067375,0.088684,0.106092,0.122444,0.126407,0.116438,0.091397,0.053198,0.00244,-0.054702,-0.117016,-0.183818,-0.254933,-0.329359,-0.405872,-0.482872,-0.553281,-0.614828,-0.662512,-0.695873,-0.7173,-0.729485,-0.730867,-0.723449,-0.713532,-0.701855,-0.689636,-0.676774,-0.663295,-0.648652,-0.629635,-0.602076,-0.56629,-0.520441,-0.462985,-0.392316,-0.308171,-0.210881,-0.101096,0.020376,0.150898,6
0.041041,-0.079504,-0.195317,-0.303894,-0.404562,-0.496282,-0.57656,-0.644534,-0.699907,-0.742145,-0.7708,-0.786229,-0.788231,-0.778872,-0.758602,-0.728384,-0.691744,-0.648243,-0.60319,-0.557835,-0.512341,-0.466763,-0.422204,-0.379465,-0.338713,-0.303145,-0.274437,-0.253288,-0.240247,-0.226803,-0.206569,-0.177829,-0.140928,-0.098508,-0.051471,0.00001,0.052916,0.105875,0.155539,0.198895,0.233503,0.265758,0.297163,0.330049,0.362084,0.390687,0.409709,0.42191,0.432494,0.441556,0.448907,0.454253,0.45766,0.458868,0.457319,0.453035,0.445524,0.439301,0.436517,0.437771,0.437558,0.433956,0.427451,0.418581,0.407218,0.393216,0.377019,0.358925,0.339425,0.315603,0.288959,0.253627,0.206274,0.147284,0.079741,0.005609,-0.067439,-0.138478,-0.206879,-0.272693,-0.335156,-0.393719,-0.44766,-0.495636,-0.534015,-0.56224,-0.580922,-0.597652,-0.622049,-0.652875,-0.683639,-0.714583,-0.745454,-0.776579,-0.807294,-0.835811,-0.861996,-0.886166,-0.906867,-0.920307,-0.92218,-0.913775,-0.892772,-0.860276,-0.816435,-0.762161,-0.696776,-0.620802,-0.534805,-0.438735,-0.333357,-0.219242,-0.097305,0.031092,0.158626,1
-0.013473,-0.134538,-0.248992,-0.35642,-0.454398,-0.537428,-0.604704,-0.660842,-0.706242,-0.744053,-0.776928,-0.792833,-0.795863,-0.795886,-0.790658,-0.777705,-0.753233,-0.716563,-0.668784,-0.624453,-0.579982,-0.538696,-0.496255,-0.444442,-0.388397,-0.335392,-0.289028,-0.247487,-0.212265,-0.188012,-0.175833,-0.168179,-0.152342,-0.128681,-0.097625,-0.06417,-0.029723,-0.002,0.027229,0.062351,0.105445,0.148602,0.19208,0.243759,0.297596,0.35241,0.397476,0.430482,0.449944,0.457235,0.454976,0.452908,0.449485,0.436596,0.416389,0.394707,0.373714,0.352924,0.340029,0.335637,0.3402,0.355921,0.375809,0.399381,0.410874,0.410335,0.408319,0.404519,0.398056,0.39001,0.378961,0.35597,0.320221,0.271575,0.213525,0.14575,0.07788,0.019832,-0.035839,-0.090199,-0.140861,-0.179318,-0.214288,-0.250123,-0.283192,-0.312011,-0.335266,-0.349491,-0.363231,-0.378149,-0.405902,-0.445526,-0.493155,-0.547238,-0.592939,-0.63002,-0.665523,-0.690225,-0.709532,-0.726727,-0.7431,-0.75416,-0.761196,-0.756197,-0.74353,-0.721181,-0.686298,-0.646799,-0.593719,-0.524854,-0.442466,-0.355048,-0.254304,-0.138801,-0.013364,2
0.047251,-0.068569,-0.171187,-0.260105,-0.335194,-0.396191,-0.447006,-0.488256,-0.519551,-0.542673,-0.562073,-0.582611,-0.603802,-0.625776,-0.645946,-0.663652,-0.678724,-0.690342,-0.697412,-0.689641,-0.667265,-0.631755,-0.586633,-0.532478,-0.469438,-0.400976,-0.330005,-0.259048,-0.193679,-0.133945,-0.079893,-0.031064,0.011816,0.044087,0.062542,0.067379,0.061692,0.047078,0.02367,-0.005736,-0.02861,-0.047413,-0.055819,-0.062134,-0.062902,-0.058822,-0.04541,-0.023031,0.00874,0.039538,0.069381,0.098071,0.12207,0.138354,0.146413,0.14846,0.146899,0.143999,0.143882,0.139888,0.130865,0.114407,0.090323,0.062892,0.035108,0.01095,-0.004048,-0.01167,-0.015725,-0.009917,-0.002265,0.012606,0.027638,0.050755,0.073784,0.093784,0.107071,0.110227,0.100647,0.077813,0.042501,-0.005173,-0.061107,-0.121484,-0.186096,-0.253981,-0.325528,-0.400045,-0.476262,-0.547052,-0.611007,-0.66589,-0.709216,-0.738499,-0.753592,-0.758776,-0.75906,-0.753387,-0.738566,-0.721958,-0.704271,-0.686775,-0.668949,-0.65019,-0.625186,-0.590568,-0.547319,-0.492595,-0.425334,-0.345105,-0.252721,-0.14804,-0.031836,0.09491,0.227603,6
