@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute target {1,2,3}

@data
0.64122,0.711643,0.763699,0.787376,0.780968,0.742896,0.679943,0.602014,0.516388,0.425889,0.335809,0.250599,0.180575,0.128513,0.101193,0.102651,0.133137,0.188658,0.257352,0.335473,0.429588,0.538805,0.666066,0.803075,0.943508,1.068973,1.165356,1.229586,1.262054,1.260098,1.22527,1.159567,1.061236,0.934732,0.803545,0.667504,0.531409,0.386045,0.232998,0.067734,-0.105144,-0.281448,-0.442017,-0.576931,-0.685753,-0.770334,-0.831808,-0.871774,-0.896062,-0.903948,-0.906976,-0.919839,-0.935006,-0.953014,-0.968786,-0.983857,-0.994034,-0.992286,-0.981409,-0.967213,-0.952229,-0.939099,-0.925339,-0.91234,2
0.701519,0.786616,0.848607,0.883072,0.885567,0.857074,0.796925,0.714858,0.623205,0.526389,0.424866,0.333804,0.259355,0.199123,0.157679,0.139013,0.147335,0.186811,0.238456,0.305617,0.38695,0.484348,0.600988,0.730343,0.871502,0.99357,1.089104,1.155692,1.189573,1.191868,1.159208,1.09249,0.994998,0.871772,0.744933,0.612406,0.475474,0.333651,0.183551,0.022293,-0.144626,-0.320073,-0.475247,-0.605073,-0.71044,-0.794393,-0.858368,-0.89785,-0.917163,-0.923236,-0.923062,-0.938803,-0.956096,-0.974338,-0.991941,-1.007216,-1.014364,-1.010223,-0.996823,-0.979557,-0.961762,-0.943381,-0.923012,-0.904384,2
0.66136,0.741364,0.801176,0.831978,0.829696,0.795716,0.732981,0.652191,0.560658,0.463469,0.364174,0.272737,0.199866,0.142614,0.099953,0.081283,0.090437,0.133381,0.194125,0.269158,0.360616,0.470014,0.598586,0.743894,0.892538,1.021851,1.121466,1.190286,1.22674,1.227962,1.196556,1.132582,1.039036,0.917093,0.787622,0.655926,0.521809,0.380759,0.232067,0.074088,-0.095736,-0.269143,-0.427664,-0.563292,-0.675668,-0.76431,-0.830155,-0.875921,-0.899972,-0.904426,-0.901858,-0.91073,-0.919034,-0.928379,-0.93787,-0.947215,-0.9559,-0.956702,-0.950493,-0.937623,-0.92387,-0.909356,-0.892484,-0.878364,2
0.690276,0.775163,0.8411,0.87984,0.88669,0.861931,0.806345,0.728701,0.637789,0.539035,0.431752,0.327993,0.24507,0.177954,0.124032,0.093381,0.094943,0.127437,0.178149,0.247096,0.328839,0.427726,0.546105,0.680609,0.821704,0.952102,1.054188,1.130867,1.174763,1.184154,1.159974,1.101902,1.012553,0.895496,0.779607,0.653604,0.517837,0.376627,0.226382,0.064169,-0.108669,-0.281325,-0.441691,-0.578111,-0.68763,-0.773653,-0.83551,-0.874086,-0.892437,-0.89386,-0.891489,-0.908107,-0.926624,-0.947347,-0.966229,-0.981323,-0.990846,-0.990547,-0.982346,-0.96767,-0.948828,-0.928567,-0.904811,-0.884936,2
0.679882,0.76383,0.825174,0.856993,0.858553,0.828735,0.769904,0.688885,0.594312,0.494294,0.393036,0.294962,0.219565,0.161094,0.118608,0.103116,0.121234,0.170499,0.224502,0.293254,0.382679,0.487621,0.611686,0.746741,0.889748,1.013063,1.107358,1.170152,1.203529,1.200177,1.162204,1.089378,0.983876,0.854691,0.728539,0.598863,0.463094,0.318707,0.169137,0.006175,-0.163169,-0.335338,-0.48295,-0.610263,-0.718711,-0.80252,-0.861881,-0.897048,-0.910363,-0.909674,-0.906755,-0.927485,-0.947719,-0.967796,-0.989321,-1.008166,-1.015786,-1.010357,-0.996405,-0.978836,-0.951957,-0.91836,-0.885376,-0.860182,2
0.668307,0.754153,0.81593,0.848342,0.8486,0.814872,0.751518,0.668538,0.574805,0.475631,0.375321,0.286189,0.213171,0.155569,0.116878,0.104425,0.124984,0.166611,0.226696,0.297091,0.385142,0.494414,0.622352,0.765328,0.909398,1.029324,1.12099,1.18008,1.205751,1.19922,1.158609,1.085746,0.98059,0.849453,0.727817,0.599839,0.472579,0.339352,0.191502,0.032038,-0.138327,-0.311283,-0.46979,-0.604404,-0.712033,-0.793742,-0.848935,-0.88165,-0.892444,-0.88742,-0.873771,-0.883885,-0.896485,-0.912072,-0.931062,-0.949258,-0.966456,-0.973704,-0.966482,-0.944922,-0.919771,-0.896374,-0.873429,-0.854333,2
0.689604,0.78505,0.856928,0.900017,0.909112,0.883252,0.82789,0.746122,0.644415,0.53525,0.422757,0.313741,0.223931,0.155487,0.102751,0.067762,0.06035,0.085635,0.135098,0.198247,0.27828,0.378849,0.497719,0.629354,0.776797,0.912755,1.023134,1.100337,1.146631,1.15672,1.130835,1.071214,0.977579,0.855091,0.742436,0.617604,0.49032,0.354114,0.205997,0.045879,-0.124377,-0.303514,-0.463937,-0.597332,-0.700953,-0.779327,-0.831109,-0.856842,-0.863836,-0.856534,-0.839393,-0.854639,-0.872314,-0.89184,-0.910824,-0.929634,-0.943072,-0.942307,-0.927987,-0.908449,-0.886892,-0.865016,-0.843771,-0.824892,2
0.685364,0.7898,0.870874,0.925691,0.948141,0.935764,0.88955,0.812528,0.715411,0.603606,0.483536,0.368947,0.273857,0.201095,0.140222,0.096978,0.077369,0.090371,0.128677,0.186825,0.25464,0.342047,0.446726,0.574267,0.715766,0.851044,0.966997,1.055035,1.109942,1.130132,1.114547,1.06401,0.978662,0.865915,0.743948,0.607192,0.457561,0.305253,0.141119,-0.027872,-0.199218,-0.363538,-0.508573,-0.629425,-0.725587,-0.796311,-0.843798,-0.875529,-0.897543,-0.910763,-0.919467,-0.94587,-0.974,-0.998227,-1.011573,-1.00425,-0.981106,-0.951963,-0.920475,-0.890352,-0.859901,-0.834459,-0.819476,-0.819676,3
0.675729,0.757784,0.818535,0.848546,0.848823,0.821939,0.765884,0.687299,0.591761,0.491017,0.387706,0.288117,0.204407,0.140008,0.092318,0.068634,0.076268,0.113081,0.168137,0.241398,0.336079,0.446188,0.57292,0.717031,0.862866,0.99072,1.091766,1.161897,1.19919,1.20139,1.170348,1.107157,1.01382,0.892383,0.774918,0.652014,0.520554,0.379299,0.228148,0.065179,-0.113074,-0.292451,-0.449278,-0.581016,-0.688306,-0.771246,-0.827388,-0.859513,-0.872647,-0.871566,-0.861831,-0.869861,-0.878113,-0.887926,-0.899441,-0.910278,-0.918682,-0.92294,-0.916872,-0.90835,-0.898867,-0.887121,-0.876881,-0.866394,3
0.690835,0.770704,0.827142,0.856575,0.852839,0.815389,0.748212,0.655942,0.55314,0.441623,0.328179,0.224219,0.140005,0.069476,0.022096,0.000118,0.011908,0.055044,0.117296,0.197053,0.293051,0.409869,0.541551,0.690707,0.843518,0.973373,1.075712,1.148312,1.19083,1.196407,1.166744,1.103205,1.007562,0.883078,0.764846,0.641338,0.512756,0.372694,0.219273,0.056779,-0.11889,-0.296198,-0.450295,-0.57877,-0.682364,-0.761445,-0.814894,-0.845565,-0.853681,-0.848403,-0.832415,-0.842878,-0.857553,-0.876404,-0.892453,-0.907646,-0.918378,-0.919453,-0.909744,-0.895537,-0.881647,-0.865702,-0.848445,-0.832837,3
