@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute target {1,2,3,4,5,6}

@data
0.666525,0.743591,0.800093,0.829013,0.827029,0.794333,0.73239,0.657696,0.572071,0.479505,0.390523,0.308264,0.238913,0.189331,0.15911,0.156343,0.182825,0.230939,0.284092,0.352776,0.43748,0.542188,0.663359,0.793686,0.928361,1.048826,1.144138,1.208561,1.242564,1.241295,1.205139,1.143616,1.05188,0.93185,0.795596,0.655749,0.511364,0.362708,0.205005,0.038692,-0.127491,-0.297476,-0.449999,-0.587059,-0.702544,-0.796691,-0.868279,-0.917615,-0.945911,-0.96276,-0.972512,-0.981078,-0.990625,-1.002606,-1.01379,-1.024453,-1.026794,-1.02191,-1.015006,-1.00507,-0.987105,-0.969879,-0.952423,-0.942988,1
0.617042,0.691164,0.743376,0.76728,0.76549,0.734368,0.678913,0.607483,0.523611,0.43879,0.352699,0.273802,0.205385,0.155439,0.125889,0.123623,0.152551,0.20511,0.271318,0.345582,0.43564,0.549517,0.67709,0.81594,0.957691,1.086326,1.182964,1.250281,1.283264,1.283959,1.251662,1.185595,1.086977,0.959712,0.823799,0.686641,0.55313,0.415214,0.264065,0.104683,-0.063889,-0.236702,-0.398388,-0.537308,-0.657046,-0.753586,-0.829528,-0.886505,-0.92352,-0.93956,-0.940778,-0.940613,-0.946063,-0.951125,-0.957559,-0.967161,-0.976035,-0.981288,-0.982077,-0.977303,-0.968398,-0.958134,-0.946088,-0.931426,1
0.665815,0.744953,0.80524,0.837062,0.837903,0.808191,0.75185,0.675374,0.587544,0.498657,0.412015,0.330961,0.261843,0.207569,0.176813,0.168848,0.185921,0.22852,0.277824,0.345523,0.431019,0.537631,0.657009,0.789715,0.930869,1.050476,1.144181,1.207238,1.236318,1.23505,1.200192,1.131773,1.033617,0.909982,0.775334,0.643891,0.512186,0.373365,0.22284,0.065471,-0.099108,-0.270191,-0.422297,-0.554847,-0.670277,-0.76584,-0.843291,-0.895495,-0.925886,-0.941894,-0.948549,-0.960357,-0.970765,-0.985189,-0.999797,-1.012414,-1.02189,-1.02619,-1.022643,-1.014946,-1.00445,-0.989502,-0.971206,-0.952043,1
0.664522,0.739416,0.794929,0.824825,0.825623,0.796543,0.740813,0.668782,0.585217,0.49909,0.412007,0.329212,0.257264,0.204555,0.171736,0.166065,0.186102,0.224199,0.27898,0.35153,0.439385,0.544473,0.663838,0.795088,0.930528,1.049549,1.143258,1.207331,1.240707,1.241842,1.209667,1.146935,1.054192,0.935898,0.802272,0.663579,0.5198,0.37368,0.222511,0.066999,-0.094639,-0.262209,-0.415341,-0.552233,-0.668499,-0.76585,-0.842359,-0.898359,-0.935907,-0.958374,-0.971702,-0.981696,-0.991435,-1.004709,-1.017905,-1.029636,-1.037775,-1.036949,-1.029861,-1.018391,-1.002797,-0.988432,-0.970532,-0.957789,1
0.694025,0.765102,0.81651,0.844839,0.842084,0.811336,0.753205,0.676728,0.585491,0.489876,0.393268,0.303556,0.224915,0.164449,0.128454,0.1183,0.137772,0.178841,0.232217,0.30392,0.395266,0.507012,0.629195,0.763643,0.90394,1.027952,1.123663,1.19248,1.226835,1.228562,1.197404,1.133945,1.041033,0.921313,0.796774,0.670346,0.538141,0.393809,0.24097,0.087386,-0.072815,-0.239493,-0.394456,-0.53044,-0.649844,-0.746008,-0.822231,-0.879466,-0.915711,-0.933874,-0.944089,-0.9612,-0.980477,-1.000376,-1.01581,-1.02793,-1.040552,-1.044956,-1.04485,-1.036815,-1.022661,-1.00541,-0.986937,-0.967856,1
0.654749,0.733688,0.800097,0.840737,0.84916,0.824984,0.774926,0.698078,0.611709,0.522982,0.433708,0.346807,0.272284,0.213359,0.176619,0.169131,0.19259,0.23791,0.28857,0.344453,0.418447,0.511582,0.619295,0.738239,0.870248,0.997483,1.10079,1.176442,1.222377,1.233772,1.210253,1.152379,1.061235,0.942082,0.812788,0.680127,0.54712,0.402207,0.247792,0.091177,-0.068677,-0.239869,-0.409956,-0.560466,-0.684309,-0.78613,-0.864418,-0.921009,-0.95357,-0.966352,-0.973503,-0.984186,-0.994311,-1.00491,-1.01161,-1.020437,-1.030226,-1.039721,-1.035222,-1.019679,-1.001102,-0.983067,-0.960694,-0.940624,1
0.76468,0.852104,0.920209,0.962418,0.974292,0.956473,0.908956,0.834786,0.742879,0.646614,0.546812,0.455483,0.38227,0.321006,0.268549,0.2384,0.232552,0.252442,0.293355,0.347429,0.413343,0.488282,0.581357,0.692492,0.814989,0.928085,1.018726,1.084993,1.123136,1.132117,1.11218,1.063368,0.986721,0.884469,0.742967,0.592628,0.441986,0.293185,0.150188,0.003314,-0.147097,-0.297435,-0.43501,-0.557648,-0.667016,-0.763108,-0.844746,-0.912381,-0.965277,-1.004481,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,6
0.708523,0.768858,0.809952,0.827232,0.817143,0.783534,0.728135,0.658965,0.58288,0.508602,0.433122,0.369286,0.323272,0.287814,0.266206,0.267696,0.294283,0.339417,0.396014,0.460884,0.537344,0.629253,0.743179,0.864025,0.981028,1.080297,1.156267,1.20587,1.226921,1.219915,1.185477,1.122765,1.034066,0.922658,0.768445,0.617412,0.473761,0.332687,0.190116,0.037574,-0.115385,-0.266478,-0.408236,-0.539238,-0.656893,-0.759455,-0.847383,-0.920782,-0.980737,-1.027656,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,6
0.710983,0.785631,0.841246,0.876294,0.887701,0.871391,0.829906,0.766717,0.689686,0.604761,0.52029,0.436943,0.365829,0.311697,0.268262,0.243822,0.244718,0.271849,0.320168,0.384611,0.458725,0.541852,0.639618,0.75525,0.882333,0.993482,1.082169,1.145916,1.181151,1.187796,1.166182,1.11685,1.04269,0.944791,0.798717,0.644928,0.489828,0.340187,0.192978,0.044685,-0.109034,-0.267095,-0.409703,-0.537646,-0.652118,-0.751898,-0.836858,-0.907527,-0.964569,-1.009248,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,6
0.756677,0.837193,0.898546,0.935673,0.942822,0.922835,0.873243,0.800362,0.711793,0.619463,0.524707,0.43953,0.373927,0.319902,0.274707,0.247209,0.24594,0.267093,0.31208,0.372517,0.439791,0.518025,0.610878,0.721056,0.843439,0.955303,1.043752,1.107032,1.143454,1.151366,1.13005,1.081572,1.007321,0.906743,0.762402,0.608977,0.455036,0.307291,0.164002,0.019743,-0.128293,-0.279927,-0.420312,-0.546545,-0.659351,-0.759116,-0.844036,-0.914626,-0.971497,-1.015066,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,6
