@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute target {1,2}

@data
-0.101599,-0.286509,-0.528314,-0.770119,-0.955028,-1.083043,-1.068819,-0.9977,-0.869685,-0.755895,-0.670552,-0.570985,-0.428747,-0.286509,-0.115823,0.069087,0.225549,0.33934,0.410459,0.45313,0.481578,0.481578,0.467354,0.438907,0.424683,0.424683,0.438907,0.481578,0.552697,0.609593,0.595369,0.538473,0.467354,0.382011,0.310892,0.253997,0.182878,0.097535,-0.03048,-0.158494,-0.286508,-0.371851,-0.442971,-0.528314,-0.613656,-0.62788,-0.599433,-0.528314,-0.442971,-0.371851,-0.32918,-0.286508,-0.215389,-0.101599,-0.002032,0.069087,2
0.090488,0.033764,0.033764,-0.117499,-0.420026,-0.609105,-0.665829,-0.609105,-0.514566,-0.420026,-0.38221,-0.420026,-0.401118,-0.268763,-0.060775,0.128304,0.260659,0.336291,0.393015,0.468646,0.544278,0.582094,0.582094,0.563186,0.582094,0.601002,0.601002,0.582094,0.544278,0.506462,0.430831,0.279567,0.090488,-0.041868,-0.079683,-0.060775,-0.060775,-0.155315,-0.287671,-0.457842,-0.609105,-0.684737,-0.684737,-0.646921,-0.628013,-0.590197,-0.514566,-0.38221,-0.287671,-0.287671,-0.344394,-0.363302,-0.268763,-0.117499,-0.004052,0.052672,1
-0.04705,-0.188198,-0.345031,-0.533229,-0.705744,-0.862576,-0.972359,-0.972359,-0.87826,-0.721428,-0.548912,-0.423447,-0.345031,-0.235248,-0.125466,0.015683,0.125466,0.203882,0.266615,0.313664,0.345031,0.345031,0.329347,0.329347,0.345031,0.39208,0.376397,0.376397,0.454813,0.580279,0.674378,0.674378,0.627328,0.533229,0.407763,0.345031,0.329347,0.313664,0.219565,0.04705,-0.156832,-0.250931,-0.282298,-0.345031,-0.43913,-0.517546,-0.501863,-0.454813,-0.360714,-0.266615,-0.235248,-0.266615,-0.297981,-0.282298,-0.203882,-0.094099,2
0.035509,-0.11363,-0.275198,-0.461623,-0.63562,-0.809616,-0.921471,-0.946328,-0.884186,-0.772331,-0.648048,-0.536193,-0.449195,-0.362197,-0.250342,-0.126059,-0.014204,0.072794,0.134936,0.184649,0.221934,0.246791,0.246791,0.271648,0.308933,0.371074,0.420787,0.470501,0.557499,0.681782,0.793637,0.830922,0.818494,0.76878,0.669354,0.582356,0.532642,0.482929,0.346217,0.147364,-0.063917,-0.237914,-0.349768,-0.461623,-0.573478,-0.672905,-0.735046,-0.735046,-0.685333,-0.585906,-0.498908,-0.461623,-0.424338,-0.33734,-0.213057,-0.101202,2
-0.227137,-0.35103,-0.488689,-0.626347,-0.805304,-0.915431,-0.929196,-0.832835,-0.75024,-0.681411,-0.653879,-0.626347,-0.529986,-0.378562,-0.199605,-0.061946,0.006883,0.048181,0.103244,0.185839,0.227137,0.227137,0.213371,0.240903,0.268435,0.309732,0.323498,0.309732,0.295966,0.392327,0.557518,0.653879,0.681411,0.598815,0.488689,0.433625,0.419859,0.364796,0.227137,0.048181,-0.130776,-0.268435,-0.337264,-0.378562,-0.51622,-0.695177,-0.791538,-0.791538,-0.640113,-0.488688,-0.392327,-0.337264,-0.2822,-0.158308,0.006883,0.172073,1
0.072653,-0.092632,-0.334202,-0.563058,-0.753772,-0.906342,-0.982628,-0.931771,-0.830057,-0.715629,-0.613915,-0.512202,-0.397774,-0.29606,-0.194346,-0.092632,0.021796,0.12351,0.212509,0.263366,0.301509,0.301509,0.301509,0.339651,0.390508,0.454079,0.504936,0.568507,0.657507,0.721078,0.721078,0.670221,0.593936,0.492222,0.390508,0.326937,0.301509,0.199795,0.021796,-0.168918,-0.334202,-0.461345,-0.550344,-0.639344,-0.702915,-0.715629,-0.690201,-0.62663,-0.53763,-0.44863,-0.423202,-0.397774,-0.334202,-0.219774,-0.092632,0.009082,2
-0.28991,-0.461406,-0.661484,-0.861563,-1.033059,-1.118807,-1.104516,-1.033059,-0.904437,-0.775815,-0.675776,-0.590028,-0.475697,-0.347075,-0.218453,-0.089831,0.024499,0.110247,0.195995,0.238869,0.253161,0.238869,0.238869,0.267452,0.324617,0.3532,0.410365,0.496113,0.610444,0.696192,0.681901,0.639027,0.538987,0.438948,0.381783,0.3532,0.381783,0.324617,0.153121,-0.061249,-0.218453,-0.332784,-0.432823,-0.532862,-0.590028,-0.547154,-0.475697,-0.347075,-0.232745,-0.146997,-0.118414,-0.146997,-0.104123,0.024499,0.195995,0.338909,2
-0.214674,-0.407795,-0.625056,-0.818176,-0.999227,-1.083717,-1.107857,-1.047507,-0.938877,-0.818176,-0.697476,-0.600916,-0.504355,-0.383655,-0.238814,-0.093974,0.026727,0.099147,0.159497,0.219847,0.243987,0.243987,0.231917,0.219847,0.231917,0.268127,0.340548,0.449178,0.557808,0.618158,0.594018,0.533668,0.473318,0.388828,0.280197,0.207777,0.183637,0.123287,0.014656,-0.142254,-0.275024,-0.407795,-0.528495,-0.612986,-0.661266,-0.625056,-0.552635,-0.444005,-0.323305,-0.202604,-0.106044,-0.057764,0.014656,0.135357,0.304337,0.425038,2
-0.189016,-0.324719,-0.494349,-0.714867,-0.935385,-1.054126,-1.054126,-0.969311,-0.850571,-0.697904,-0.596126,-0.511312,-0.392571,-0.239905,-0.087238,0.01454,0.116317,0.184169,0.252021,0.319873,0.353799,0.370762,0.370762,0.353799,0.285947,0.252021,0.285947,0.370762,0.489502,0.557354,0.557354,0.489502,0.404687,0.336836,0.285947,0.285947,0.268984,0.184169,0.048466,-0.053312,-0.15509,-0.256867,-0.358645,-0.494349,-0.596126,-0.596126,-0.528275,-0.392571,-0.290793,-0.205979,-0.172053,-0.15509,-0.070275,0.065428,0.167206,0.252021,2
-0.267479,-0.314583,-0.338134,-0.432341,-0.526547,-0.573651,-0.526547,-0.385238,-0.196824,-0.008411,0.085795,0.085795,0.109347,0.203553,0.344863,0.486173,0.58038,0.603931,0.627483,0.58038,0.533276,0.462622,0.391967,0.321312,0.203553,0.15645,0.132899,0.15645,0.180002,0.085795,-0.008411,-0.031963,-0.008411,0.038692,0.038692,-0.079066,-0.173273,-0.291031,-0.432341,-0.550099,-0.620754,-0.620754,-0.573651,-0.502996,-0.361686,-0.291031,-0.314583,-0.361686,-0.408789,-0.385238,-0.220376,-0.079066,0.062244,0.250657,0.415518,0.462622,1
