@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute target {1,2}

@data
0.413162,0.517071,0.622988,0.725916,0.736936,0.740371,0.742379,0.743539,0.744387,0.744967,0.745413,0.715431,0.693034,0.652791,0.605544,0.559857,0.518454,0.474776,0.430785,0.386259,0.341287,0.296047,0.248487,0.202533,0.157025,0.111919,0.066813,0.021707,-0.023266,-0.068372,-0.113344,-0.158584,-0.203824,-0.24893,-0.293769,-0.334904,-0.283953,-0.225552,-0.165589,-0.104778,-0.043655,0.017736,0.07926,0.140919,0.202577,0.23711,0.263522,0.272802,0.275211,0.276907,0.277353,0.277219,0.277219,0.277353,0.277665,0.277799,0.277933,0.277933,0.277933,0.277933,0.277933,0.277933,0.277933,0.277933,0.277933,0.277799,0.277531,0.277397,0.27713,0.276996,0.276862,0.276728,0.276594,0.276594,0.276594,0.276728,0.276996,0.277442,0.277442,0.277576,0.27771,0.277844,0.278111,0.278111,0.277977,0.277977,0.277977,0.277977,0.277977,0.277977,0.277977,0.278111,0.278245,0.278245,0.278379,0.278379,0.278513,0.278513,0.278513,0.238091,0.1941,0.149708,0.105316,0.060923,0.016531,-0.027995,-0.072521,-0.117181,-0.161975,-0.206947,-0.251473,-0.296133,-0.340793,-0.385453,-0.430113,-0.474506,-0.518898,-0.56329,-0.607683,-0.652075,-0.696467,2
0.723621,0.723621,0.723019,0.723019,0.723019,0.723621,0.723621,0.723621,0.723621,0.723621,0.722416,0.721813,0.721211,0.720608,0.720006,0.719403,0.719403,0.679027,0.616957,0.606713,0.584416,0.551874,0.51632,0.478354,0.439184,0.398206,0.356625,0.313839,0.27045,0.227061,0.182467,0.137873,0.07279,0.006502,-0.059184,-0.125472,-0.191158,-0.257446,-0.323132,-0.38942,-0.455709,-0.521997,-0.587683,-0.653971,-0.720259,-0.786548,-0.852836,-0.919124,-0.985413,-1.011928,-1.016749,-1.020967,-1.025186,-1.029404,-1.03302,-1.036033,-1.039649,-1.042662,-1.045675,-1.048085,-1.050496,-1.052906,-1.054714,-1.055919,-1.057125,-1.057727,-1.05833,-1.058932,-1.058932,-1.05833,-1.057125,-1.054714,-1.051701,-1.048688,-1.045675,-1.042662,-1.039649,-1.036635,-1.033622,-1.030609,-1.028199,-1.025788,-1.023378,-1.020967,-1.017954,-1.014941,-1.011928,-1.008915,-1.005299,-1.002286,-0.939011,-0.872722,-0.805832,-0.738338,-0.670844,-0.604556,-0.538268,-0.471979,-0.405691,-0.339403,-0.273717,-0.208634,-0.144153,-0.080275,-0.017,0.046275,0.10955,0.172825,0.236101,0.299376,0.362651,0.425926,0.489804,0.553682,0.61756,0.681438,0.744713,0.808591,0.871866,0.935141,0.998417,2
0.162656,0.139685,0.115758,0.091831,0.090874,0.090874,0.090874,0.090874,0.090874,0.090874,0.090874,0.090874,0.090874,0.089917,0.089917,0.089917,0.089917,0.089917,0.088002,0.087045,0.088002,0.088959,0.4182,0.497639,0.497639,0.497639,0.499553,0.503381,0.508167,0.511038,0.512952,0.514867,0.516781,0.517738,0.519652,0.521566,0.499553,0.47754,0.455527,0.432556,0.410543,0.38853,0.366517,0.343547,0.321533,0.29952,0.27655,0.25358,0.231567,0.209553,0.189454,0.168398,0.145428,0.122458,-0.228796,-0.345562,-0.343647,-0.341733,-0.340776,-0.34269,-0.344604,-0.344604,-0.344604,-0.343647,-0.343647,-0.343647,-0.343647,-0.34269,-0.34269,-0.34269,-0.341733,-0.340776,-0.340776,-0.339819,-0.339819,-0.338862,-0.337905,-0.337905,-0.336948,-0.335991,-0.337905,-0.338862,-0.339819,-0.340776,-0.340776,-0.34269,-0.344604,-0.346519,-0.347476,-0.348433,-0.350347,-0.350347,-0.351304,-0.353218,-0.354175,-0.35609,-0.358004,-0.359918,-0.361832,-0.364703,-0.366618,-0.367575,-0.370446,-0.371403,-0.373317,-0.376189,-0.378103,-0.380017,-0.358004,-0.335034,-0.312063,-0.289093,-0.264209,-0.240281,-0.217311,-0.193384,-0.170413,-0.145529,-0.120644,-0.09576,-0.071832,2
-0.467622,-0.462723,-0.462723,-0.462723,-0.462654,-0.462654,-0.462585,-0.462585,-0.462585,-0.462654,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.462585,-0.474317,-0.482253,-0.485565,-0.48039,-0.469486,-0.453406,-0.434014,-0.412068,-0.387362,-0.361069,-0.333119,-0.304479,-0.275218,-0.215247,-0.150652,-0.086195,-0.021739,0.042649,0.106968,0.171149,0.235122,0.299372,0.363622,0.427734,0.4915,0.555336,0.618965,0.682662,0.746498,0.810265,0.873963,0.937453,0.956155,0.959399,0.96071,0.960365,0.959399,0.958157,0.956569,0.954706,0.952636,0.950703,0.948702,0.946908,0.945321,0.94394,0.942905,0.942215,0.941525,0.941249,0.941939,0.943802,0.947184,0.950013,0.952774,0.955396,0.958088,0.96071,0.963609,0.966369,0.968853,0.971269,0.973615,0.9761,0.978584,0.98093,0.983208,0.985692,0.987832,0.989764,0.991489,0.937522,0.87417,0.810679,0.747119,0.683629,0.620069,0.556509,0.492881,0.429045,0.365209,0.301028,0.235951,0.169837,0.102413,0.035334,-0.031745,-0.09848,-0.164938,-0.231396,-0.297923,-0.364381,-0.430701,-0.496883,-0.562927,-0.628902,-0.694739,-0.760369,-0.82593,-0.891491,-0.956845,2
-0.6189,-0.5891,-0.559974,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.556005,-0.555938,-0.555871,-0.555871,-0.555871,-0.555938,-0.555938,-0.556005,-0.556005,-0.528695,-0.540399,-0.545444,-0.540534,-0.527618,-0.507438,-0.483088,-0.45497,-0.424363,-0.392008,-0.357769,-0.322655,-0.2866,-0.250007,-0.188323,-0.12267,-0.05722,0.008231,0.073548,0.138662,0.20371,0.26869,0.333602,0.398381,0.463091,0.527668,0.592177,0.656753,0.72133,0.785772,0.850214,0.914656,0.951921,0.969344,0.972774,0.974523,0.97533,0.975398,0.975061,0.974254,0.972909,0.971362,0.969545,0.967931,0.966451,0.965173,0.96403,0.963155,0.96255,0.96181,0.961406,0.961339,0.962146,0.964231,0.967057,0.96968,0.972102,0.974254,0.976272,0.978088,0.979636,0.980914,0.982192,0.983335,0.984479,0.985488,0.986497,0.987708,0.988918,0.990062,0.991138,0.992214,0.993291,0.930127,0.86582,0.801445,0.73707,0.672628,0.608119,0.543341,0.478496,0.413785,0.348872,0.283825,0.21797,0.150905,0.083167,0.015765,-0.051367,-0.118096,-0.184623,-0.250949,-0.317005,-0.382725,-0.448378,-0.513963,-0.579616,-0.645067,-0.710383,-0.775901,2
0.184241,0.154996,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.125752,0.122827,0.121852,0.122827,0.123802,0.429895,0.468888,0.473762,0.475712,0.476686,0.480586,0.48546,0.488384,0.488384,0.488384,0.490334,0.491309,0.492284,0.494233,0.464014,0.435744,0.407474,0.37823,0.348985,0.319741,0.291471,0.263201,0.234931,0.207636,0.179367,0.152072,0.123802,0.095532,0.070187,0.042892,0.013647,-0.015597,-0.34996,-0.467913,-0.471812,-0.470838,-0.470838,-0.472787,-0.474737,-0.476686,-0.477661,-0.477661,-0.477661,-0.476686,-0.475712,-0.475712,-0.473762,-0.472787,-0.471812,-0.469863,-0.467913,-0.465963,-0.464989,-0.464989,-0.464989,-0.466938,-0.465963,-0.466938,-0.467913,-0.467913,-0.467913,-0.467913,-0.468888,-0.469863,-0.470838,-0.471812,-0.472787,-0.474737,-0.475712,-0.476686,-0.479611,-0.480586,-0.481561,-0.482535,-0.48546,-0.487409,-0.490334,-0.463039,-0.435744,-0.408449,-0.381154,-0.353859,-0.326564,-0.299269,-0.271974,-0.243705,-0.215435,-0.18619,-0.158895,-0.130626,-0.101381,-0.073111,-0.044842,-0.016572,0.012673,0.041917,0.071162,0.100406,0.129651,0.158895,2
0.810231,0.810812,0.810812,0.810812,0.810812,0.810231,0.810231,0.810812,0.811392,0.811973,0.811973,0.811973,0.811973,0.811392,0.811392,0.810812,0.810812,0.811392,0.774818,0.716763,0.696444,0.664513,0.623875,0.579753,0.53389,0.486866,0.43868,0.390495,0.342309,0.293543,0.244777,0.195431,0.146084,0.081063,0.016622,-0.047819,-0.11284,-0.177862,-0.242883,-0.308485,-0.373506,-0.439689,-0.505871,-0.572054,-0.638236,-0.703838,-0.77002,-0.836203,-0.902966,-0.969729,-0.999337,-1.007465,-1.014431,-1.017914,-1.020817,-1.0243,-1.026623,-1.028945,-1.030686,-1.033009,-1.035331,-1.037653,-1.039975,-1.042297,-1.04462,-1.046361,-1.048103,-1.050425,-1.051586,-1.052747,-1.054489,-1.055069,-1.055069,-1.053328,-1.050425,-1.047522,-1.04462,-1.041136,-1.038234,-1.03417,-1.030686,-1.027203,-1.02372,-1.020237,-1.016753,-1.012689,-1.008626,-1.003981,-0.999917,-0.996434,-0.992951,-0.988887,-0.984823,-0.91806,-0.851878,-0.785695,-0.719513,-0.65333,-0.586567,-0.519224,-0.452461,-0.385698,-0.318354,-0.252172,-0.18657,-0.122129,-0.058849,0.00443,0.06771,0.130409,0.193689,0.256388,0.319668,0.382948,0.446227,0.509507,0.572787,0.635486,0.698185,0.760884,0.823584,2
0.929756,0.930375,0.930994,0.931613,0.931613,0.931613,0.931613,0.932232,0.932852,0.932852,0.933471,0.93409,0.93409,0.93409,0.93409,0.933471,0.932852,0.932852,0.932232,0.936567,0.90189,0.859783,0.811483,0.761945,0.711168,0.659772,0.607757,0.555122,0.501249,0.447376,0.392884,0.338392,0.271515,0.205258,0.139001,0.072743,0.006486,-0.060391,-0.127268,-0.194144,-0.261021,-0.327898,-0.394775,-0.461651,-0.528528,-0.595405,-0.662281,-0.728539,-0.794796,-0.861673,-0.92793,-0.953319,-0.958273,-0.963226,-0.966323,-0.969419,-0.971896,-0.974992,-0.978088,-0.979946,-0.981184,-0.982423,-0.983661,-0.984899,-0.986757,-0.987996,-0.989234,-0.990473,-0.991711,-0.99233,-0.992949,-0.993569,-0.994188,-0.994807,-0.995426,-0.995426,-0.994807,-0.99233,-0.989234,-0.984899,-0.979946,-0.974373,-0.9688,-0.963226,-0.957653,-0.95208,-0.946507,-0.940934,-0.935361,-0.929169,-0.922357,-0.916165,-0.909973,-0.903781,-0.897588,-0.891396,-0.884584,-0.877773,-0.870961,-0.86415,-0.797892,-0.731016,-0.664139,-0.597262,-0.530386,-0.46289,-0.395394,-0.329136,-0.263498,-0.199718,-0.136556,-0.074633,-0.01333,0.047355,0.108039,0.168723,0.229408,0.290092,0.350777,0.411461,0.472146,2
-0.236444,-0.144317,-0.05219,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050704,-0.050749,-0.050794,-0.025758,0.023232,-0.01297,-0.049128,-0.085105,-0.120948,-0.156565,-0.191912,-0.227124,-0.26211,-0.296872,-0.331544,-0.366035,-0.400346,-0.434613,-0.378102,-0.319926,-0.26166,-0.203259,-0.144947,-0.086591,-0.0281,0.030437,0.089018,0.147689,0.206406,0.265168,0.324064,0.383051,0.442128,0.501294,0.560506,0.594727,0.605039,0.608506,0.611928,0.61517,0.618457,0.621564,0.624356,0.626922,0.629309,0.631515,0.633677,0.635793,0.637774,0.63971,0.641466,0.643042,0.644618,0.646014,0.647545,0.648941,0.650067,0.651148,0.652273,0.653264,0.653939,0.654074,0.652633,0.649887,0.646149,0.641737,0.636558,0.63039,0.623455,0.616116,0.608686,0.601256,0.593647,0.585992,0.578337,0.570818,0.563253,0.555553,0.547853,0.540063,0.532229,0.524394,0.516649,0.508904,0.501069,0.493234,0.485354,0.425737,0.36612,0.306503,0.246796,0.187134,0.127742,0.068845,0.01139,-0.04485,-0.10019,-0.154899,-0.208887,-0.261975,-0.314343,-0.366395,-0.418357,-0.47032,2
0.536432,0.584608,0.644417,0.7028,0.742959,0.768535,0.752066,0.719998,0.679751,0.639949,0.596933,0.553132,0.506868,0.460143,0.412758,0.365749,0.319095,0.271973,0.2255,0.178121,0.131715,0.083646,0.038631,-0.011978,-0.026967,0.034683,0.095399,0.159463,0.222536,0.286828,0.350746,0.395887,0.420075,0.430134,0.436763,0.441679,0.445387,0.447133,0.447365,0.44741,0.447463,0.447606,0.447661,0.447659,0.447527,0.447572,0.447677,0.447718,0.447899,0.448011,0.448181,0.448188,0.448233,0.448279,0.448389,0.448534,0.448754,0.448935,0.449041,0.449089,0.449237,0.449365,0.449525,0.4496,0.449776,0.449816,0.4501,0.449949,0.450851,0.450165,0.451704,0.449573,0.454147,0.433011,0.382879,0.338887,0.291299,0.245887,0.199055,0.153188,0.106637,0.060465,0.01408,-0.03209,-0.078267,-0.124577,-0.170853,-0.217155,-0.263449,-0.309746,-0.356014,-0.402212,-0.448518,-0.494794,-0.541103,-0.587342,-0.633527,-0.679626,-0.726091,-0.771973,-0.818864,-0.864281,-0.911984,-0.956,-1.00672,-1.031761,-1.027858,-1.03009,-1.028712,-1.029572,-1.028985,-1.029332,-1.029134,-1.029206,-1.02921,-1.029124,-1.029291,-1.029046,-1.029457,-1.028831,-1.03003,1
