@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute target {1,2}

@data
-0.726871,-0.699278,-0.800234,-0.984556,-1.170826,-1.243972,-1.314864,-1.326614,-1.320515,-1.32812,-1.368193,-1.372109,-1.402603,-1.370392,-1.38583,-1.398372,-1.443952,-1.501694,-1.497588,-1.492271,-1.538802,-1.562192,-1.528649,-1.499718,-1.478518,-1.42345,-1.361267,-1.263269,-1.154051,-1.069775,-0.952604,-0.899376,-0.871689,-0.801568,-0.738468,-0.656757,-0.493696,-0.305204,-0.084148,0.083986,0.335455,0.556182,0.772804,0.756388,0.816088,0.953794,0.949564,1.155796,1.238598,1.420616,1.508955,1.507831,1.45153,1.310259,1.119292,1.039418,1.108172,1.130078,1.018804,0.909383,0.898654,0.910657,0.951532,0.977167,0.881776,0.868765,0.716601,0.633026,0.609182,0.486826,0.420313,0.327118,0.288851,0.310805,0.317741,0.261353,0.30285,0.416692,0.556889,0.597797,0.701662,0.772417,0.85808,0.913964,0.948293,1.025754,1.029992,0.995351,0.850836,0.748255,0.650684,0.593421,0.46701,0.335245,0.336688,0.329935,0.288653,0.368951,0.35845,0.502205,0.690664,0.90606,1.018572,1.220257,1.230469,1.305724,1.499494,1.470152,1.474365,1.472969,1.469185,1.372711,1.375982,1.194533,1.057244,0.970202,0.867721,0.862242,0.664729,0.358783,0.148105,-0.119545,-0.337061,-0.460563,-0.50376,-0.500462,-0.491436,-0.417784,-0.294932,-0.218655,-0.119592,-0.154003,-0.211704,-0.139005,0.049807,0.238572,0.518468,0.718717,0.844763,1.028062,1.374229,1.563604,1.847755,2.086512,2.267371,2.369223,2.530513,2.49883,2.232959,2.104902,1.987648,2.099564,2.174037,2.132042,2.385356,2.250652,1.859892,1.538687,1.274484,1.33222,1.347202,1.557363,1.844928,1.971318,1.733884,1.065127,0.553727,0.035181,-0.43373,-0.806856,-1.117723,-1.386473,-1.535554,-1.573644,-1.557828,-1.554189,-1.541848,-1.642777,-1.83086,-2.088959,-2.315838,-2.47368,-2.561211,-2.614128,-2.641218,-2.662368,-2.676022,-2.687777,-2.696697,-2.705535,-2.712164,-2.717904,-2.723428,-2.729418,-2.732577,-2.737329,-2.741857,-2.745477,-2.748942,-2.752177,-2.754449,1
-0.7776,-0.74046,-0.791453,-0.964635,-1.122612,-1.200942,-1.226583,-1.214851,-1.212288,-1.267024,-1.336934,-1.36102,-1.397054,-1.354935,-1.368929,-1.431177,-1.429948,-1.468174,-1.470356,-1.40486,-1.464453,-1.513352,-1.482164,-1.454896,-1.438191,-1.406918,-1.323058,-1.204433,-1.10605,-0.997909,-0.882642,-0.760477,-0.714372,-0.675119,-0.609685,-0.606084,-0.539879,-0.383473,-0.200307,0.008968,0.212135,0.369892,0.527859,0.688596,0.728295,0.818767,0.872491,0.896762,1.083348,1.181382,1.331681,1.323614,1.235757,1.133123,0.952936,0.977395,1.000168,1.097253,0.943025,0.8854,0.817649,0.900761,0.833578,0.972179,1.127612,0.981544,0.891343,0.976569,0.751876,0.597464,0.593665,0.457373,0.497976,0.435013,0.439556,0.340026,0.38779,0.503094,0.597332,0.68812,0.764544,0.94741,1.063194,1.12185,1.188107,1.148555,1.172232,1.24865,1.100198,0.913005,0.709503,0.617134,0.585466,0.503363,0.388209,0.419616,0.452656,0.469911,0.475318,0.504496,0.739919,0.930788,1.036317,1.264942,1.184885,1.352785,1.557307,1.346908,1.429413,1.511638,1.500572,1.365924,1.2578,1.322299,1.246747,1.013708,1.042315,0.983923,0.805934,0.499077,0.207528,-0.095668,-0.288777,-0.491584,-0.495532,-0.446576,-0.544885,-0.349946,-0.152571,-0.101404,-0.028489,-0.143658,-0.263602,-0.201692,0.038076,0.178521,0.247988,0.477446,0.759804,0.947713,1.163478,1.402478,1.691202,1.711918,1.829654,2.211996,2.215475,2.243861,2.295929,2.133321,2.222233,2.172963,2.012481,2.320558,2.250585,2.357868,1.704225,1.227058,1.231321,1.213519,1.385103,1.528449,1.844391,2.099003,1.932326,1.15439,0.610979,0.16704,-0.331383,-0.848676,-1.202474,-1.46429,-1.666441,-1.758517,-1.813862,-1.83642,-1.870134,-1.95647,-2.090613,-2.260962,-2.418275,-2.523324,-2.589987,-2.624172,-2.654591,-2.670579,-2.681786,-2.691388,-2.702866,-2.706786,-2.714614,-2.720022,-2.728108,-2.731273,-2.736835,-2.742773,-2.749716,-2.753804,-2.756104,-2.763374,-2.766566,1
-0.661816,-0.5283,-0.620342,-0.84667,-1.02113,-1.173575,-1.200919,-1.220342,-1.260708,-1.293522,-1.258305,-1.272645,-1.28692,-1.285923,-1.284097,-1.323654,-1.386592,-1.445454,-1.431354,-1.453639,-1.517759,-1.521143,-1.479235,-1.467127,-1.434678,-1.378597,-1.306759,-1.220539,-1.147026,-1.089913,-0.975263,-0.866742,-0.874236,-0.830555,-0.696191,-0.581565,-0.480204,-0.301553,-0.090635,0.23873,0.509048,0.578334,0.711265,0.805254,0.916151,0.916006,1.101963,1.177468,1.267425,1.396389,1.554708,1.667858,1.622348,1.367589,1.193,1.180858,1.169117,1.15797,1.084418,0.999186,0.884266,0.911467,1.009011,0.95685,0.844473,0.749367,0.763681,0.693015,0.61386,0.609994,0.437138,0.34042,0.271989,0.310131,0.395896,0.244946,0.215577,0.382936,0.556847,0.61287,0.640748,0.692658,0.817614,0.880927,0.939064,0.898828,0.934956,0.996671,0.893007,0.713327,0.610739,0.52958,0.476675,0.368437,0.29877,0.367854,0.308344,0.276777,0.34987,0.397034,0.659116,0.887296,1.113949,1.30285,1.240578,1.365544,1.528174,1.538645,1.523878,1.468273,1.516788,1.468095,1.276955,1.092179,1.000467,0.909939,0.855392,0.733259,0.558041,0.40076,0.139456,-0.125367,-0.384927,-0.528343,-0.523095,-0.532847,-0.532021,-0.462018,-0.339617,-0.331265,-0.241241,-0.281806,-0.315726,-0.260808,-0.039131,0.108229,0.306533,0.477547,0.75916,1.027575,1.466998,1.633669,1.745904,1.98237,2.197221,2.430837,2.553115,2.642593,2.278371,1.989866,2.045879,2.177606,2.402697,2.371557,2.292073,2.308227,1.896366,1.360454,1.23658,1.070043,1.089609,1.384618,1.728396,1.859199,1.510988,0.937109,0.456839,-0.024899,-0.43761,-0.782985,-1.113206,-1.333001,-1.497385,-1.534202,-1.484499,-1.434962,-1.420493,-1.522985,-1.726461,-2.021104,-2.291344,-2.482469,-2.595378,-2.657203,-2.695533,-2.720321,-2.736217,-2.750059,-2.762722,-2.770847,-2.78185,-2.785465,-2.793899,-2.799027,-2.80616,-2.811724,-2.817099,-2.821389,-2.827742,-2.831061,-2.834423,1
-0.718185,-0.678352,-0.726417,-0.854541,-1.047543,-1.137999,-1.175375,-1.182691,-1.195876,-1.187747,-1.291316,-1.319569,-1.301479,-1.314437,-1.322108,-1.365319,-1.43804,-1.459878,-1.452271,-1.439683,-1.445989,-1.477262,-1.480803,-1.483155,-1.43379,-1.371544,-1.281411,-1.197293,-1.121275,-1.017641,-0.844424,-0.719347,-0.718963,-0.732457,-0.701834,-0.578124,-0.444135,-0.320632,-0.202623,0.007433,0.219006,0.363876,0.583277,0.535536,0.636343,0.782053,0.943262,0.941187,1.005437,1.208672,1.218344,1.217766,1.170414,1.146582,1.036709,1.074054,1.055142,1.028866,0.900093,0.747435,0.771146,0.758156,0.86461,0.93661,0.919395,0.939592,0.731188,0.572523,0.698226,0.635446,0.488318,0.324819,0.291527,0.306994,0.288749,0.326192,0.339474,0.367976,0.509442,0.635922,0.696731,0.791459,0.861676,0.934709,1.127386,1.187024,1.152271,1.116603,0.969909,0.814031,0.682742,0.580099,0.48271,0.422676,0.367858,0.294027,0.328858,0.301483,0.34392,0.481968,0.590815,0.858803,1.037135,1.307845,1.303483,1.315639,1.543101,1.473571,1.472118,1.510353,1.461789,1.360002,1.257308,1.198168,1.03811,0.971193,0.927604,0.837042,0.717321,0.454371,0.18561,-0.057963,-0.343127,-0.447532,-0.464616,-0.463986,-0.50171,-0.376246,-0.294813,-0.217552,-0.143004,-0.177851,-0.207193,-0.123156,0.020858,0.227129,0.342827,0.584535,0.762675,1.002075,1.295548,1.546541,1.70567,1.975675,2.082572,2.313429,2.440295,2.450548,2.677193,2.363911,2.188122,2.302718,2.283476,2.342679,2.473518,2.537128,2.094943,1.536366,1.303059,1.26244,1.418652,1.443614,1.881439,2.095986,1.601099,1.025736,0.620309,0.107642,-0.387361,-0.833669,-1.15065,-1.425065,-1.577772,-1.694635,-1.69701,-1.70163,-1.719403,-1.80794,-1.954097,-2.172053,-2.364158,-2.501587,-2.573313,-2.623263,-2.647333,-2.670183,-2.684446,-2.699895,-2.706246,-2.717813,-2.721478,-2.729842,-2.735939,-2.742907,-2.747453,-2.754934,-2.76235,-2.767657,-2.771005,-2.775864,-2.778486,1
-0.793129,-0.758471,-0.859622,-1.052375,-1.247146,-1.324779,-1.349264,-1.374777,-1.408289,-1.392163,-1.40338,-1.420185,-1.419718,-1.39628,-1.42784,-1.443206,-1.489727,-1.534444,-1.526307,-1.537023,-1.572757,-1.581246,-1.552117,-1.537798,-1.513324,-1.45662,-1.397107,-1.270158,-1.196549,-1.107753,-0.97726,-0.87592,-0.865194,-0.822947,-0.758465,-0.66426,-0.522567,-0.290294,-0.075446,0.226034,0.461308,0.712131,0.733517,0.903774,0.94614,1.097567,1.112252,1.272004,1.322415,1.587226,1.60897,1.584317,1.618164,1.410098,1.098769,0.989122,1.229762,1.222244,1.06407,0.841105,0.853112,0.974071,1.009384,0.964129,0.930047,0.847445,0.78924,0.644456,0.630222,0.501085,0.347992,0.29419,0.287757,0.377693,0.283075,0.229751,0.277042,0.432894,0.546695,0.643433,0.747839,0.887903,0.956185,0.954206,1.039059,1.047879,1.128009,1.083556,0.979632,0.825963,0.6933,0.625199,0.479836,0.428737,0.381729,0.316199,0.26146,0.340033,0.442609,0.547829,0.712961,0.930801,1.117338,1.403011,1.31296,1.380503,1.487845,1.550737,1.555021,1.527755,1.477994,1.358371,1.30487,1.06681,1.025525,0.958406,0.885981,0.682989,0.520627,0.27204,-0.048517,-0.293353,-0.469938,-0.536303,-0.568635,-0.604316,-0.584754,-0.476092,-0.315115,-0.214034,-0.227233,-0.221981,-0.255135,-0.187579,0.015922,0.201637,0.536633,0.703849,0.88899,1.114418,1.457009,1.769018,1.912865,2.228215,2.38621,2.560216,2.488655,2.421361,2.263244,1.968747,2.022751,2.196799,2.240181,2.318625,2.383794,2.157614,1.770699,1.383087,1.14578,0.979778,1.118616,1.393542,1.709425,1.846093,1.32458,0.718811,0.155021,-0.253158,-0.649017,-0.995829,-1.265838,-1.476086,-1.611782,-1.621867,-1.582042,-1.545845,-1.507034,-1.576326,-1.762514,-2.024316,-2.250555,-2.401082,-2.486773,-2.535077,-2.56305,-2.578675,-2.591469,-2.604214,-2.610809,-2.616613,-2.622776,-2.626804,-2.632568,-2.63619,-2.64145,-2.644853,-2.648215,-2.652582,-2.655177,-2.657163,-2.659954,1
-0.631968,-0.632638,-0.71222,-0.875439,-1.038285,-1.170614,-1.180349,-1.229482,-1.173465,-1.207981,-1.301642,-1.366509,-1.350616,-1.353765,-1.36954,-1.430249,-1.452576,-1.468555,-1.443863,-1.419504,-1.447097,-1.484476,-1.483098,-1.46054,-1.396928,-1.350374,-1.276232,-1.18729,-1.017372,-0.910034,-0.767024,-0.664096,-0.56186,-0.594428,-0.547109,-0.525594,-0.428961,-0.328867,-0.054944,0.075179,0.188161,0.451722,0.560492,0.700044,0.773059,0.628926,0.786555,0.878027,0.980992,1.22988,1.195578,1.162858,1.2588,1.19677,1.079233,1.00957,0.889623,1.085055,1.159242,0.945501,0.882053,0.885938,0.85095,1.048249,1.107414,1.076969,0.919419,0.886941,0.856212,0.753693,0.676753,0.501201,0.457215,0.510474,0.47893,0.422445,0.412786,0.486751,0.672357,0.703369,0.738896,0.810671,1.000213,1.036142,1.063212,1.169932,1.203838,1.219073,1.065524,0.949728,0.834077,0.737808,0.638881,0.515413,0.482004,0.451719,0.456484,0.461676,0.407918,0.538763,0.697631,0.771736,0.940158,1.097552,1.04684,1.063546,1.362781,1.408274,1.454683,1.524619,1.51279,1.398213,1.2219,1.224916,1.162865,1.063496,1.025652,0.93677,0.834229,0.570312,0.252041,0.073944,-0.162874,-0.311664,-0.346061,-0.332556,-0.333588,-0.270508,-0.137292,0.03472,0.183581,-0.038955,-0.189091,-0.041077,0.123054,0.211543,0.376941,0.478425,0.633202,0.802733,0.938193,1.150657,1.28571,1.524687,1.634722,1.796995,2.012059,2.026729,2.137338,1.917702,1.835805,2.106409,1.984879,2.093599,2.395826,2.274169,1.920578,1.574661,1.362115,1.288455,1.506951,1.547568,1.873713,2.145872,1.757699,1.353091,0.895068,0.392004,-0.228983,-0.651289,-1.043286,-1.34774,-1.558971,-1.649402,-1.685619,-1.703842,-1.702409,-1.804501,-1.995112,-2.245287,-2.473397,-2.630154,-2.721605,-2.775065,-2.810033,-2.831097,-2.847387,-2.860195,-2.871773,-2.878803,-2.886298,-2.891684,-2.89884,-2.904956,-2.910009,-2.912842,-2.921958,-2.925665,-2.930671,-2.93482,-2.936816,1
-0.701732,-0.61368,-0.654321,-0.887606,-1.041828,-1.147055,-1.217345,-1.234429,-1.210031,-1.22905,-1.284841,-1.324258,-1.361701,-1.336087,-1.3197,-1.345533,-1.425233,-1.479214,-1.454776,-1.429089,-1.489618,-1.51424,-1.496256,-1.458819,-1.449203,-1.387543,-1.330244,-1.250568,-1.135645,-1.005367,-0.901484,-0.813164,-0.78535,-0.741383,-0.680284,-0.591653,-0.42196,-0.267532,-0.061224,0.167729,0.417582,0.516647,0.702521,0.704895,0.82282,0.934213,0.980542,1.219685,1.505909,1.520465,1.608109,1.596267,1.49251,1.344659,1.052282,1.004584,1.051262,1.214473,1.084196,0.848582,0.841925,0.891384,0.901623,1.006052,0.951127,0.969006,0.844932,0.808406,0.741592,0.650124,0.493468,0.378372,0.380316,0.354944,0.336614,0.265204,0.333057,0.439955,0.542696,0.594563,0.768405,0.908206,1.020929,1.100596,1.119853,1.166504,1.149934,1.156141,0.966294,0.761968,0.743702,0.587658,0.472022,0.378863,0.272048,0.257768,0.259203,0.269146,0.29618,0.425547,0.608151,0.913235,1.055062,1.230703,1.220984,1.328973,1.521068,1.473725,1.589998,1.468366,1.421207,1.324111,1.253105,1.045879,0.880153,0.868187,0.799576,0.670655,0.395241,0.200113,-0.030929,-0.266017,-0.492279,-0.65556,-0.674973,-0.662539,-0.683209,-0.563162,-0.435511,-0.302993,-0.240468,-0.352334,-0.441532,-0.354291,-0.161473,0.085927,0.194717,0.395461,0.716205,1.001303,1.375448,1.523767,1.913159,2.131075,2.284958,2.460568,2.548772,2.574394,2.336918,2.32373,2.176322,2.280616,2.164339,2.32417,2.45926,2.215833,1.775689,1.415799,1.086523,1.043205,1.336653,1.413744,1.767668,2.065515,1.62307,0.97895,0.376248,-0.091457,-0.530584,-0.895915,-1.206972,-1.450752,-1.59964,-1.665306,-1.668026,-1.652626,-1.654919,-1.742492,-1.90584,-2.113251,-2.306868,-2.444004,-2.525436,-2.56936,-2.599976,-2.618444,-2.631793,-2.64495,-2.652748,-2.658691,-2.665196,-2.670254,-2.678816,-2.683827,-2.687949,-2.692247,-2.698322,-2.701847,-2.70649,-2.71047,-2.712965,1
-0.631032,-0.490452,-0.653806,-0.83004,-1.003407,-1.090909,-1.133429,-1.17652,-1.236751,-1.247115,-1.240051,-1.28282,-1.318243,-1.285638,-1.29527,-1.328931,-1.389241,-1.424973,-1.396039,-1.407614,-1.4505,-1.462298,-1.454165,-1.463571,-1.444206,-1.369323,-1.296035,-1.216813,-1.097608,-1.027618,-0.93704,-0.829974,-0.807108,-0.814607,-0.757259,-0.674436,-0.548235,-0.411676,-0.245053,0.061229,0.204635,0.385216,0.560036,0.491832,0.520282,0.696383,0.841967,0.965475,1.084381,1.077386,1.191948,1.125133,1.025421,1.087053,0.98076,0.880676,0.86268,0.982912,0.832121,0.72722,0.719802,0.747252,0.849905,0.832559,0.793081,0.763514,0.650771,0.625647,0.575934,0.483956,0.331216,0.280558,0.360145,0.320559,0.248591,0.226466,0.256293,0.41465,0.627531,0.593457,0.713235,0.850815,0.843265,0.982825,0.998398,1.047282,1.122552,1.048721,0.894444,0.844055,0.679146,0.583041,0.497963,0.363794,0.439881,0.391073,0.347045,0.357727,0.39212,0.461048,0.651684,0.915058,1.094543,1.080419,1.091085,1.29816,1.513645,1.5288,1.446838,1.483354,1.59112,1.514783,1.360973,1.291373,1.043895,0.882886,0.971903,0.78063,0.660651,0.449708,0.204057,-0.038703,-0.25891,-0.372503,-0.430512,-0.450955,-0.485757,-0.447721,-0.288689,-0.254404,-0.141437,-0.185514,-0.295445,-0.273494,-0.028812,0.17706,0.304392,0.65091,0.851043,1.077329,1.197367,1.445966,1.685586,1.971229,2.172644,2.426914,2.646049,2.757028,2.610521,2.354382,2.290236,2.315645,2.395484,2.352258,2.500826,2.293815,2.113395,1.598014,1.381045,1.149861,1.522961,1.473157,1.911897,2.228845,1.727732,1.154805,0.652856,0.252155,-0.262958,-0.643802,-0.993355,-1.281735,-1.49168,-1.519094,-1.5104,-1.473054,-1.476104,-1.556743,-1.761985,-2.056024,-2.319831,-2.493961,-2.601047,-2.659702,-2.699742,-2.717606,-2.740787,-2.754171,-2.765579,-2.771689,-2.782849,-2.788563,-2.79737,-2.803887,-2.81037,-2.816323,-2.82436,-2.829464,-2.834119,-2.838723,-2.8443,1
-0.840121,-0.793962,-0.875643,-1.0022,-1.127022,-1.239535,-1.249088,-1.213998,-1.252903,-1.275902,-1.356473,-1.366165,-1.39426,-1.379597,-1.37847,-1.440336,-1.465895,-1.462398,-1.413723,-1.401298,-1.421764,-1.444729,-1.447058,-1.44745,-1.444265,-1.427627,-1.347592,-1.21971,-1.125671,-1.014375,-0.836938,-0.664199,-0.60128,-0.609623,-0.542309,-0.513865,-0.324961,-0.214642,-0.050738,0.182846,0.415917,0.571323,0.639044,0.829908,0.935021,1.064657,1.15057,1.263858,1.408427,1.439428,1.531991,1.53831,1.481518,1.108254,1.120453,1.118205,1.261364,1.129423,0.906897,0.926826,0.860447,0.79183,0.989941,1.030171,1.01389,0.928256,0.827855,0.804237,0.73526,0.665157,0.560014,0.392917,0.359728,0.411326,0.443425,0.355066,0.32919,0.45236,0.643988,0.680393,0.766573,0.866208,1.12707,1.178383,1.256207,1.343124,1.321433,1.285449,1.075323,0.849973,0.686392,0.569773,0.475446,0.446022,0.349272,0.367846,0.352101,0.35482,0.390731,0.523414,0.752018,0.932526,1.120763,1.4548,1.314229,1.354821,1.546091,1.591984,1.532158,1.539181,1.480021,1.303111,1.171756,1.146117,1.010905,0.978527,0.854665,0.783645,0.587725,0.261665,0.048249,-0.193196,-0.474279,-0.606819,-0.647874,-0.613944,-0.675722,-0.548044,-0.377111,-0.3445,-0.315877,-0.36233,-0.437351,-0.416141,-0.191667,-0.074299,0.081358,0.338155,0.545036,0.857921,1.191867,1.453978,1.873197,2.092022,2.222227,2.36474,2.489642,2.455166,2.150561,2.239783,2.258834,2.079842,2.026201,2.048226,2.410539,2.161337,1.664756,1.065912,0.934363,0.936986,1.26352,1.506341,2.176089,2.091476,1.664109,0.938075,0.271046,-0.196601,-0.674716,-1.055585,-1.36829,-1.603718,-1.783451,-1.870341,-1.929638,-1.966112,-2.013848,-2.07517,-2.177981,-2.28731,-2.380679,-2.442491,-2.485494,-2.507295,-2.528675,-2.537841,-2.546606,-2.553284,-2.561568,-2.563355,-2.569072,-2.571818,-2.578991,-2.582267,-2.587133,-2.589683,-2.593988,-2.598743,-2.603383,-2.604602,-2.606848,1
-0.900722,-0.82281,-0.971484,-1.186122,-1.313193,-1.38834,-1.436564,-1.417362,-1.416131,-1.456221,-1.485139,-1.467675,-1.488489,-1.453892,-1.444683,-1.471537,-1.527673,-1.525186,-1.506412,-1.50242,-1.56062,-1.575857,-1.535022,-1.506165,-1.498385,-1.436659,-1.368936,-1.233301,-1.10226,-1.013993,-0.905821,-0.811915,-0.715822,-0.732588,-0.740188,-0.575225,-0.411423,-0.287401,-0.054858,0.112929,0.451573,0.63768,0.551275,0.696794,0.881374,0.981775,0.959642,1.180454,1.171097,1.306295,1.441025,1.402392,1.351974,1.215247,1.112715,0.983831,1.151397,1.214686,1.045042,0.934146,0.81957,0.859322,0.95458,0.958376,1.024789,0.858212,0.801329,0.828863,0.741622,0.636355,0.460027,0.404039,0.383424,0.377286,0.397223,0.37245,0.365183,0.444139,0.584686,0.689174,0.754028,0.82059,0.907959,1.065004,1.140531,1.080042,1.13762,1.17019,0.9511,0.860206,0.786742,0.663875,0.565885,0.48983,0.418958,0.3164,0.388372,0.452181,0.448366,0.595652,0.816226,0.970785,1.086804,1.25924,1.243871,1.361687,1.544912,1.499869,1.507479,1.537024,1.578603,1.396812,1.2224,1.0827,0.968304,0.98568,0.864369,0.708218,0.560705,0.369049,0.117773,-0.123791,-0.406106,-0.503993,-0.581127,-0.546398,-0.528525,-0.379609,-0.188446,-0.057214,-0.111481,-0.190082,-0.247838,-0.189746,0.007361,0.124027,0.358882,0.57301,0.683725,0.979645,1.306891,1.612534,1.829278,1.958557,2.257075,2.431815,2.459096,2.517241,2.312581,2.103889,2.071848,2.135195,2.274254,2.243901,2.290091,2.143896,1.649925,1.269623,1.018446,0.99197,1.32126,1.487248,1.92908,1.973409,1.630766,1.074285,0.542594,0.016248,-0.503951,-0.864722,-1.17141,-1.427797,-1.569572,-1.629533,-1.637144,-1.620015,-1.61186,-1.715843,-1.868372,-2.093909,-2.291191,-2.430639,-2.514602,-2.564441,-2.589202,-2.608915,-2.620294,-2.632782,-2.640191,-2.64838,-2.653752,-2.659356,-2.665783,-2.669885,-2.673262,-2.679818,-2.684387,-2.688165,-2.691788,-2.696187,-2.69968,1
