@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute target {1,2}

@data
-0.915462,-0.904203,-0.90338,-0.902965,-0.908778,-0.911545,-0.914883,-0.918542,-0.925811,-0.936536,-0.935469,-0.935935,-0.937106,-0.936979,-0.936711,-0.937818,-0.937255,-0.936078,-0.93616,-0.935575,-0.933874,-0.932569,-0.932153,-0.930199,-0.932234,-0.930667,-0.926754,-0.921982,-0.919136,-0.914737,-0.915316,-0.908928,-0.912196,-0.906319,-0.916305,-0.923343,-0.940234,-0.886351,-0.775596,-0.586911,-0.435202,-0.140245,0.430871,0.675483,0.983664,1.36689,1.792456,2.184653,2.447113,2.530591,2.545996,2.566107,2.577159,2.588292,2.592513,2.604661,2.616109,2.604443,2.599902,2.599957,2.597361,2.587502,2.582469,2.560684,2.536566,2.484184,2.369055,2.17116,1.934545,1.682736,1.388006,1.058485,0.763469,0.423273,-0.041107,-0.427541,-0.749867,-0.946054,-1.090764,-1.101323,-1.079201,-1.018375,-0.985906,-0.956864,-0.946583,-0.938424,-0.941014,-0.934071,-0.927736,-0.908097,-0.903038,-0.895763,-0.896266,-0.89551,-0.898844,-0.898423,-0.900758,-0.898852,-0.902419,-0.904593,-0.905576,-0.905473,-0.904517,-0.906092,-0.90526,-0.9036,2
-0.912098,-0.914727,-0.916488,-0.913734,-0.906343,-0.901524,-0.898637,-0.897822,-0.895345,-0.894269,-0.890394,-0.888482,-0.882277,-0.873963,-0.865934,-0.861072,-0.861092,-0.862503,-0.863455,-0.865011,-0.864944,-0.864956,-0.861797,-0.860247,-0.854893,-0.85117,-0.845649,-0.846332,-0.844605,-0.845099,-0.840206,-0.843745,-0.845657,-0.802157,-0.702722,-0.601624,-0.433194,-0.197141,0.133816,0.568598,0.942719,1.178721,1.451178,1.780164,2.12188,2.419829,2.597252,2.618367,2.651831,2.6796,2.701759,2.703951,2.710191,2.715671,2.720428,2.716049,2.717304,2.719505,2.713068,2.702392,2.643574,2.543215,2.365332,2.090561,1.808919,1.537559,1.279681,1.03749,0.794217,0.380311,-0.115158,-0.480534,-0.717788,-0.944474,-1.085044,-1.141763,-1.152376,-1.143307,-1.115543,-1.081263,-1.052865,-1.022614,-1.002879,-0.982904,-0.969085,-0.950355,-0.941009,-0.929232,-0.920937,-0.914942,-0.913567,-0.912352,-0.913801,-0.91302,-0.91082,-0.90947,-0.910763,-0.909689,-0.907491,-0.907831,-0.905565,-0.90264,-0.900785,-0.898499,-0.898947,-0.894515,2
-1.101488,-1.100503,-1.099896,-1.096546,-1.084566,-1.078745,-1.0827,-1.083362,-1.085238,-1.097839,-1.107862,-1.102253,-1.0987,-1.099895,-1.107112,-1.102519,-1.092066,-1.087867,-1.08931,-1.09248,-1.095332,-1.095126,-1.088831,-1.088783,-1.090815,-1.086279,-1.017822,-0.91839,-0.899037,-0.89017,-0.893015,-0.841412,-0.804491,-0.7796,-0.730062,-0.592852,-0.378247,0.241806,0.622325,1.015357,1.548837,1.960285,2.251108,2.33975,2.383728,2.398818,2.414369,2.405355,2.407326,2.400234,2.401119,2.399503,2.399897,2.387979,2.390242,2.373222,2.364171,2.35288,2.350958,2.334214,2.318786,2.314522,2.297688,2.246183,2.158658,1.955535,1.698001,1.37695,1.049676,0.70058,0.386925,0.128096,-0.136671,-0.371422,-0.546645,-0.66202,-0.747248,-0.787463,-0.808232,-0.845166,-0.890446,-0.905479,-0.901259,-0.872758,-0.829273,-0.797542,-0.764242,-0.769065,-0.82092,-0.897169,-0.961778,-1.001439,-1.028174,-1.044543,-1.045652,-1.044347,-1.034681,-1.029067,-1.025852,-1.019868,-1.012732,-1.002399,-0.995699,-0.994812,-0.998781,-1.001025,1
-1.060956,-1.056868,-1.054959,-1.052338,-1.053984,-1.054858,-1.055277,-1.055717,-1.054942,-1.05558,-1.055524,-1.055239,-1.053697,-1.05529,-1.053593,-1.054274,-1.053247,-1.050878,-1.049251,-1.047915,-1.044809,-1.034254,-0.968653,-0.86552,-0.814292,-0.801163,-0.804489,-0.825899,-0.827447,-0.810847,-0.768835,-0.730838,-0.623321,-0.484498,-0.278925,0.089792,0.412297,0.845526,1.23028,1.614594,1.994003,2.327114,2.438982,2.482671,2.502837,2.510914,2.516239,2.522382,2.520976,2.520834,2.5158,2.513825,2.513707,2.515632,2.511271,2.496132,2.495128,2.490954,2.477326,2.443744,2.367371,2.217309,1.986188,1.715468,1.406851,1.066638,0.728828,0.40397,0.124461,-0.124454,-0.346024,-0.503124,-0.609286,-0.665191,-0.710421,-0.738246,-0.752864,-0.767471,-0.781331,-0.784451,-0.782964,-0.785733,-0.788397,-0.804096,-0.839552,-0.904416,-0.985485,-1.057139,-1.108282,-1.120919,-1.119057,-1.115733,-1.102386,-1.087637,-1.064469,-1.042728,-1.024783,-1.020352,-1.020709,-1.021618,-1.030642,-1.031178,-1.030333,-1.028346,-1.026395,-1.025656,1
-0.847735,-0.846196,-0.847986,-0.841275,-0.833639,-0.830615,-0.826904,-0.822392,-0.817776,-0.816878,-0.817921,-0.81733,-0.8152,-0.815018,-0.815911,-0.813111,-0.814913,-0.809606,-0.812763,-0.811721,-0.812489,-0.808909,-0.803815,-0.804146,-0.804715,-0.803799,-0.806348,-0.798826,-0.796421,-0.786026,-0.774335,-0.708663,-0.566633,-0.211485,0.227459,0.632777,0.965183,1.161967,1.348919,1.660967,2.074876,2.496679,2.817982,2.890857,2.893489,2.907184,2.878234,2.888253,2.876986,2.884364,2.879615,2.877905,2.868199,2.863909,2.867764,2.847338,2.695091,2.428676,2.093719,1.784138,1.465721,1.074427,0.549921,0.024475,-0.450064,-0.817116,-0.998173,-1.043231,-1.007819,-0.968286,-0.937815,-0.924223,-0.907753,-0.893035,-0.861767,-0.824335,-0.773263,-0.740099,-0.734449,-0.7505,-0.773279,-0.805718,-0.825857,-0.83713,-0.839774,-0.84129,-0.837528,-0.841217,-0.838604,-0.845569,-0.849788,-0.852477,-0.856984,-0.863347,-0.87429,-0.883727,-0.894179,-0.899999,-0.907413,-0.910897,-0.912876,-0.91511,-0.913996,-0.910508,-0.90716,-0.894926,2
-0.776577,-0.787205,-0.792161,-0.801276,-0.808678,-0.815625,-0.819809,-0.831401,-0.838326,-0.847685,-0.853883,-0.861034,-0.866351,-0.872893,-0.879361,-0.879741,-0.878246,-0.877369,-0.876726,-0.871435,-0.869483,-0.868019,-0.870629,-0.868102,-0.873252,-0.871558,-0.873146,-0.869926,-0.877128,-0.869804,-0.878455,-0.841014,-0.691703,-0.329576,0.169104,0.695463,1.120467,1.406478,1.647636,1.858756,2.108056,2.328806,2.519856,2.665522,2.681989,2.684789,2.693353,2.708362,2.712687,2.712871,2.715683,2.727772,2.717872,2.704448,2.696937,2.672514,2.596244,2.458144,2.248094,1.945221,1.642055,1.345214,1.110071,0.941633,0.773724,0.587171,0.367668,0.11816,-0.17205,-0.461029,-0.699502,-0.885312,-1.041177,-1.139476,-1.169332,-1.147345,-1.126298,-1.105384,-1.075658,-1.040443,-1.00999,-1.000163,-0.986154,-0.984459,-0.986262,-0.983934,-0.98024,-0.978247,-0.974061,-0.975102,-0.977555,-0.977129,-0.980356,-0.98156,-0.989716,-0.991159,-0.991767,-0.990473,-0.998315,-0.999199,-0.996402,-0.996468,-0.999046,-0.996245,-1.002168,-1.006068,2
-1.793261,-1.850611,-1.864899,-1.868537,-1.853671,-1.830679,-1.811363,-1.808068,-1.802184,-1.801995,-1.800808,-1.803684,-1.799934,-1.802018,-1.798447,-1.795111,-1.745773,-1.565487,-1.211998,-0.711383,-0.184499,0.313362,0.70098,0.9475,1.076321,1.149262,1.189188,1.208342,1.225469,1.234903,1.248676,1.255915,1.255331,1.249891,1.253393,1.255104,1.255507,1.26212,1.267547,1.261141,1.263033,1.266981,1.264343,1.259913,1.26372,1.258587,1.261256,1.258903,1.257693,1.261587,1.26654,1.266843,1.267383,1.266769,1.2655,1.26577,1.265039,1.258922,1.257158,1.258507,1.25086,1.253968,1.242035,1.232589,1.231842,1.231304,1.230005,1.229978,1.216192,1.215447,1.212711,1.212034,1.192762,1.182714,1.146055,1.119939,1.067962,1.005154,0.94347,0.847798,0.726239,0.517561,0.245237,-0.111396,-0.510324,-0.916878,-1.292623,-1.585731,-1.812428,-1.896278,-1.92503,-1.929472,-1.898299,-1.834842,-1.773726,-1.738522,-1.726703,-1.745714,-1.767887,-1.787018,-1.802288,-1.809606,-1.812727,-1.813089,-1.811972,-1.811286,2
-2.847887,-2.846783,-2.848902,-2.849285,-2.849408,-2.84873,-2.849294,-2.849228,-2.849719,-2.851565,-2.852888,-2.854507,-2.855953,-2.856911,-2.859695,-2.856871,-2.828537,-2.716043,-2.44995,-2.045755,-1.522364,-0.955989,-0.383352,0.084728,0.441852,0.670234,0.784108,0.816782,0.821731,0.802345,0.780498,0.781107,0.784424,0.774869,0.791352,0.797783,0.801943,0.811464,0.807412,0.818736,0.817986,0.826901,0.824884,0.822747,0.829157,0.831299,0.839226,0.837914,0.836503,0.833793,0.83535,0.836818,0.834052,0.823739,0.834363,0.828584,0.822701,0.811808,0.813868,0.814926,0.813804,0.817319,0.818869,0.814771,0.806777,0.80001,0.795743,0.796802,0.796433,0.802237,0.794659,0.795617,0.799076,0.789577,0.791868,0.78655,0.784521,0.789744,0.790383,0.791585,0.796166,0.797879,0.80313,0.802965,0.805296,0.809751,0.817703,0.819885,0.820253,0.817781,0.824806,0.822209,0.821041,0.823621,0.807963,0.81771,0.795516,0.759196,0.691211,0.573704,0.42979,0.202558,-0.095116,-0.470524,-0.892635,-1.376572,2
-1.508037,-1.510161,-1.510767,-1.513341,-1.512721,-1.509985,-1.51348,-1.51433,-1.513162,-1.510601,-1.511134,-1.513045,-1.455078,-1.300771,-0.969516,-0.509243,-0.013937,0.493921,0.903475,1.220336,1.406232,1.50731,1.542719,1.545709,1.544883,1.52679,1.52893,1.536339,1.541363,1.539616,1.539431,1.539083,1.531618,1.522363,1.524508,1.518472,1.508719,1.510142,1.513694,1.511919,1.511169,1.507882,1.499635,1.503307,1.501559,1.503248,1.500867,1.496668,1.496029,1.492513,1.490942,1.501003,1.492264,1.500731,1.496961,1.501199,1.495185,1.494818,1.483994,1.445184,1.432859,1.395937,1.319276,1.276423,1.195081,1.071609,0.903889,0.701611,0.431341,0.111404,-0.241231,-0.563026,-0.871432,-1.138027,-1.333544,-1.480536,-1.55762,-1.57952,-1.574656,-1.55046,-1.517245,-1.504674,-1.489696,-1.490402,-1.482545,-1.482331,-1.479584,-1.480854,-1.479026,-1.477364,-1.477053,-1.478,-1.479578,-1.480541,-1.482974,-1.483629,-1.487493,-1.484919,-1.48374,-1.486016,-1.481367,-1.483184,-1.474013,-1.467071,-1.461512,-1.45798,2
-1.66569,-1.661507,-1.657201,-1.652664,-1.649913,-1.651954,-1.652414,-1.654298,-1.656638,-1.662192,-1.651593,-1.586394,-1.452582,-1.290194,-1.154467,-1.089453,-1.074861,-1.070766,-1.032374,-0.989047,-0.969802,-0.954124,-0.954739,-0.933606,-0.851341,-0.666209,-0.361473,-0.034987,0.292072,0.575566,0.828326,1.060801,1.274859,1.438781,1.563488,1.631019,1.663822,1.681509,1.683134,1.693161,1.703234,1.697012,1.700246,1.697025,1.698281,1.697013,1.697183,1.693509,1.694556,1.687985,1.68709,1.680364,1.684579,1.683604,1.684437,1.686553,1.681797,1.684328,1.686528,1.68879,1.691199,1.681642,1.680538,1.678015,1.671225,1.666857,1.65431,1.631841,1.574546,1.504775,1.368008,1.200342,0.988663,0.765895,0.536849,0.30742,0.083144,-0.135086,-0.338436,-0.534304,-0.720256,-0.875317,-1.011029,-1.108102,-1.150306,-1.177566,-1.184337,-1.177508,-1.167308,-1.164893,-1.159175,-1.171391,-1.187233,-1.211253,-1.255057,-1.305735,-1.36737,-1.480438,-1.61773,-1.76748,-1.872531,-1.873077,-1.816678,-1.788989,-1.796161,-1.788692,1
