@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3}

@data
-0.744407,-0.549591,-0.118641,0.372828,0.779981,1.220247,1.638252,1.771021,1.848553,1.742235,1.590882,1.160048,0.571075,0.098092,-0.446236,-0.81635,-0.821421,-0.490138,-0.086798,0.413666,0.973526,1.538355,2.053851,2.09206,1.968978,1.832451,1.823819,2.036336,2.156161,2.189729,1.720462,1.236421,0.639938,0.073319,-0.352917,-0.687735,-0.830167,-1.10445,-1.359713,-1.717238,-2.044685,-2.183044,-1.906976,-1.590961,-1.261473,-0.998267,-0.759491,-0.935469,-1.214166,-1.494167,-1.698116,-1.877076,-1.95889,-1.794658,-1.498684,-1.260953,-0.939403,2
-0.870066,-0.740131,-0.277411,0.253136,0.822765,1.236981,1.741493,1.876686,1.979228,2.056645,1.898542,1.345878,0.731893,0.142332,-0.303321,-0.655659,-0.915955,-0.78633,-0.315019,0.214623,0.753426,1.330251,1.901878,2.118743,1.938369,1.907062,1.982112,1.985436,2.113959,2.219076,1.655506,1.077628,0.514952,-0.018637,-0.494337,-0.824475,-0.960206,-1.250009,-1.458153,-1.68515,-1.847681,-1.843275,-1.674674,-1.509963,-1.249354,-0.898668,-0.728716,-0.901266,-1.153483,-1.438041,-1.645748,-1.818175,-1.824162,-1.771464,-1.537465,-1.338566,-1.063042,2
-0.955868,-0.708768,-0.19091,0.366589,0.926978,1.45928,1.679792,1.805982,1.868466,1.896679,1.476198,0.858008,0.172549,-0.358392,-0.741606,-1.038262,-0.967434,-0.639392,-0.139712,0.381765,0.994422,1.587767,2.241029,2.320243,2.167791,1.96624,1.713196,1.769831,2.058051,2.274884,1.784147,1.195164,0.557508,0.040289,-0.553872,-0.718046,-0.605253,-0.859561,-1.113622,-1.512443,-1.873541,-2.052586,-1.874022,-1.616639,-1.299756,-0.991794,-0.678411,-0.79499,-1.094461,-1.396056,-1.722678,-1.974409,-1.957672,-1.733525,-1.470559,-1.153843,-0.774764,2
-1.010602,-0.782113,-0.275206,0.216478,0.818386,1.308383,1.630782,1.727262,1.936168,1.946732,1.712304,1.183671,0.691941,0.102212,-0.478678,-0.914381,-0.950211,-0.571267,-0.104323,0.462792,0.979067,1.581261,2.105103,1.993016,1.837461,1.753812,1.796665,2.209116,2.376023,2.186271,1.705162,1.060751,0.481694,-0.055177,-0.635683,-0.753967,-0.535697,-0.764972,-1.13175,-1.492936,-1.795624,-1.985035,-1.967505,-1.624598,-1.264051,-0.998606,-1.073025,-1.299191,-1.52034,-1.713441,-1.729838,-1.699089,-1.698789,-1.633225,-1.427296,-1.141229,-0.774666,2
-1.173447,-1.031024,-0.563985,0.041857,0.721999,1.390975,1.957596,1.988,1.98675,2.129044,2.196642,1.914368,1.382614,0.779837,0.123702,-0.468228,-1.057875,-1.238074,-1.011367,-0.648964,-0.129429,0.47703,1.073179,1.761976,2.117125,1.988277,1.901567,1.939548,2.053683,2.238333,1.799833,1.12724,0.460667,-0.170637,-0.794034,-0.881777,-0.458217,-0.823609,-1.087027,-1.634268,-1.928317,-2.000291,-1.679377,-1.327103,-0.96774,-0.653118,-0.556624,-0.807384,-1.040055,-1.392873,-1.766873,-1.903868,-1.880536,-1.676911,-1.297246,-0.861648,-0.639914,3
-1.394774,-1.247141,-0.67618,0.014916,0.706177,1.365357,1.864913,1.969779,2.023871,2.212097,2.020094,1.546183,0.933105,0.335922,-0.287667,-0.884497,-1.342326,-1.28274,-0.83118,-0.262375,0.307745,0.99762,1.634997,2.17333,2.262565,2.025285,1.962273,1.994524,2.317588,2.217848,1.479301,0.912389,0.185246,-0.306696,-1.019484,-0.934075,-0.304951,-0.721704,-1.10366,-1.502403,-1.744384,-1.881686,-1.697292,-1.32692,-0.991146,-0.655099,-0.552631,-0.678938,-0.957365,-1.397495,-1.691239,-1.81179,-1.757877,-1.62493,-1.236243,-0.809409,-0.546826,3
-1.082774,-0.940818,-0.536768,0.060078,0.615804,1.187588,1.855003,2.089355,1.928498,2.080661,2.206661,2.024562,1.400581,0.886942,0.195999,-0.371786,-0.929899,-1.074693,-0.938828,-0.488029,-0.022372,0.590947,1.056845,1.732394,2.053822,1.957052,1.904683,1.958172,1.943784,2.173336,1.759022,1.139853,0.460193,-0.095244,-0.714095,-0.742685,-0.505016,-0.953993,-1.159083,-1.663088,-2.047261,-2.128202,-1.763802,-1.420956,-1.06119,-0.681626,-0.495108,-0.708524,-1.077658,-1.530768,-1.87013,-2.010232,-1.90944,-1.660569,-1.304032,-0.903466,-0.469698,3
-1.090745,-0.906692,-0.476756,0.108848,0.703408,1.246394,1.799755,2.062005,1.972017,2.198868,2.19132,1.858399,1.386976,0.796373,0.210016,-0.391167,-0.886407,-1.051425,-0.882608,-0.391006,0.09321,0.644199,1.2161,1.790859,1.992043,1.946786,1.979898,2.032156,1.980102,2.069994,1.67568,1.050512,0.401565,-0.148169,-0.74728,-0.779322,-0.437731,-0.777865,-1.100863,-1.549242,-1.932823,-2.211843,-1.888154,-1.518942,-1.159176,-0.791175,-0.556688,-0.760781,-1.196038,-1.589954,-1.849843,-1.93962,-1.839868,-1.650816,-1.34062,-0.978779,-0.58509,3
-1.262804,-0.951613,-0.441609,0.192194,0.862119,1.451493,1.955405,2.056171,2.122497,2.248784,2.045953,1.609544,1.017915,0.417323,-0.197222,-0.797984,-1.225244,-1.177198,-0.856941,-0.360462,0.216152,0.824771,1.35328,1.961187,2.18873,1.943065,2.095968,1.930324,1.904602,2.143769,1.611918,1.013601,0.342142,-0.230875,-0.88216,-0.955698,-0.237224,-0.331021,-0.587596,-0.955245,-1.356364,-1.684632,-1.966133,-1.989613,-1.683705,-1.337824,-0.981537,-0.711089,-0.825721,-1.135756,-1.442942,-1.843628,-1.983889,-1.747222,-1.434778,-1.117554,-0.815622,3
-0.590166,-0.526286,-0.095626,0.361673,0.777529,1.350227,1.594578,1.672821,1.700541,1.663692,1.402965,0.918878,0.456623,-0.041189,-0.497121,-0.777607,-0.610301,-0.25173,0.13063,0.662956,1.183042,1.727744,2.131024,2.232279,1.999183,1.716913,1.704665,1.770709,2.081871,2.17613,1.850618,1.366804,0.773486,0.250418,-0.202249,-0.595031,-1.000467,-1.103033,-1.368719,-1.647936,-1.939429,-1.973852,-1.834772,-1.676856,-1.372588,-1.07784,-1.01847,-1.192733,-1.370569,-1.603308,-1.839412,-1.967695,-1.947436,-1.716716,-1.502261,-1.322867,-0.993731,1
