@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2}

@data
-0.744407,-0.549591,-0.118641,0.372828,0.779981,1.220247,1.638252,1.771021,1.848553,1.742235,1.590882,1.160048,0.571075,0.098092,-0.446236,-0.81635,-0.821421,-0.490138,-0.086798,0.413666,0.973526,1.538355,2.053851,2.09206,1.968978,1.832451,1.823819,2.036336,2.156161,2.189729,1.720462,1.236421,0.639938,0.073319,-0.352917,-0.687735,-0.830167,-1.10445,-1.359713,-1.717238,-2.044685,-2.183044,-1.906976,-1.590961,-1.261473,-0.998267,-0.759491,-0.935469,-1.214166,-1.494167,-1.698116,-1.877076,-1.95889,-1.794658,-1.498684,-1.260953,-0.939403,2
-0.870066,-0.740131,-0.277411,0.253136,0.822765,1.236981,1.741493,1.876686,1.979228,2.056645,1.898542,1.345878,0.731893,0.142332,-0.303321,-0.655659,-0.915955,-0.78633,-0.315019,0.214623,0.753426,1.330251,1.901878,2.118743,1.938369,1.907062,1.982112,1.985436,2.113959,2.219076,1.655506,1.077628,0.514952,-0.018637,-0.494337,-0.824475,-0.960206,-1.250009,-1.458153,-1.68515,-1.847681,-1.843275,-1.674674,-1.509963,-1.249354,-0.898668,-0.728716,-0.901266,-1.153483,-1.438041,-1.645748,-1.818175,-1.824162,-1.771464,-1.537465,-1.338566,-1.063042,2
-0.937861,-0.754357,-0.345262,0.194272,0.657735,1.231281,1.838031,1.960195,1.942225,2.009729,1.885156,1.387598,0.821509,0.286354,-0.253885,-0.56915,-0.764527,-0.644745,-0.301065,0.140864,0.696876,1.271648,1.844626,2.102248,2.059597,1.99029,1.911001,2.054838,2.201896,1.92518,1.582008,1.122016,0.48784,-0.003766,-0.505014,-0.732452,-0.747978,-0.996491,-1.219809,-1.538526,-1.851557,-1.990009,-1.856227,-1.616437,-1.360291,-1.154909,-0.997962,-1.163577,-1.443028,-1.656765,-1.849661,-1.900787,-1.785453,-1.55976,-1.265771,-1.045622,-0.792311,1
-0.983455,-0.82708,-0.333806,0.310555,0.886152,1.444116,1.779358,1.817826,1.995249,2.01707,1.698859,1.119606,0.506628,-0.077777,-0.640794,-0.973722,-0.85843,-0.448145,0.029098,0.497151,1.09563,1.638138,2.139345,2.096921,2.039693,1.81307,1.723728,1.955464,2.262737,2.138274,1.559467,1.021274,0.453933,-0.058354,-0.572511,-0.863111,-1.031786,-1.14147,-1.356148,-1.625112,-1.814288,-1.833375,-1.64,-1.368243,-1.193622,-1.030229,-0.932917,-1.099445,-1.218443,-1.541119,-1.747258,-1.849351,-1.771229,-1.62354,-1.416046,-1.207119,-0.961416,1
-0.906592,-0.748588,-0.307197,0.225824,0.690373,1.204486,1.834281,2.066839,2.054132,2.10929,2.148017,1.845871,1.236853,0.669761,0.068188,-0.457209,-0.833096,-0.856145,-0.580247,-0.046003,0.438082,0.931169,1.390346,1.881989,1.955227,2.006427,1.985487,1.964957,1.858346,1.924523,1.658911,1.100603,0.501789,-0.028258,-0.533841,-0.792819,-0.830707,-1.14037,-1.43463,-1.717524,-1.940635,-1.957188,-1.728072,-1.430069,-1.198609,-0.962683,-0.807817,-1.000813,-1.25166,-1.562694,-1.745107,-1.845168,-1.799752,-1.649981,-1.467408,-1.235107,-0.955783,1
-0.955868,-0.708768,-0.19091,0.366589,0.926978,1.45928,1.679792,1.805982,1.868466,1.896679,1.476198,0.858008,0.172549,-0.358392,-0.741606,-1.038262,-0.967434,-0.639392,-0.139712,0.381765,0.994422,1.587767,2.241029,2.320243,2.167791,1.96624,1.713196,1.769831,2.058051,2.274884,1.784147,1.195164,0.557508,0.040289,-0.553872,-0.718046,-0.605253,-0.859561,-1.113622,-1.512443,-1.873541,-2.052586,-1.874022,-1.616639,-1.299756,-0.991794,-0.678411,-0.79499,-1.094461,-1.396056,-1.722678,-1.974409,-1.957672,-1.733525,-1.470559,-1.153843,-0.774764,2
-0.772521,-0.633293,-0.292726,0.198843,0.752526,1.293675,1.758607,1.859387,1.818587,1.911249,1.812664,1.422567,0.96457,0.443763,-0.111388,-0.589044,-0.767547,-0.590952,-0.23694,0.197527,0.68926,1.262592,1.839281,2.092199,2.084162,1.921964,1.816865,1.976719,2.118975,2.143616,1.696936,1.089022,0.556322,0.049833,-0.426721,-0.80695,-0.997489,-1.140107,-1.412372,-1.69664,-1.912185,-1.906106,-1.744481,-1.48854,-1.214381,-0.963011,-0.967055,-1.133636,-1.307862,-1.51417,-1.738186,-1.930149,-1.942099,-1.758104,-1.475604,-1.237135,-1.06432,1
-1.13206,-0.900096,-0.379907,0.241183,0.830012,1.424251,1.864075,1.948511,2.036948,2.176673,1.949076,1.39488,0.823465,0.304729,-0.295732,-0.809355,-1.121471,-0.994284,-0.578182,-0.085096,0.416912,1.008154,1.60796,2.159594,2.119616,2.024165,1.988983,1.91025,2.15097,2.102645,1.575688,0.960746,0.364347,-0.21768,-0.740847,-1.019346,-0.842901,-0.512361,-0.218088,-0.480057,-0.894085,-1.270297,-1.701624,-2.118218,-2.015066,-1.617816,-1.413637,-1.184584,-1.034136,-0.890578,-0.945644,-1.32664,-1.612692,-2.057219,-2.033391,-1.647549,-1.293197,1
-0.785385,-0.716257,-0.327781,0.176165,0.733345,1.123694,1.713229,2.086841,2.087234,2.143263,2.230339,1.82525,1.298693,0.721937,0.22801,-0.277708,-0.719251,-0.759218,-0.624686,-0.352403,0.072185,0.661772,1.195059,1.718379,2.03034,1.921454,1.886188,2.0041,2.045728,2.054423,1.867346,1.253579,0.664073,0.081675,-0.384554,-0.801782,-1.112188,-1.227217,-1.464903,-1.67724,-1.823976,-1.753254,-1.566149,-1.367053,-1.207985,-1.025445,-1.034203,-1.219043,-1.35854,-1.527844,-1.622293,-1.73914,-1.744855,-1.666943,-1.492025,-1.326298,-1.118687,1
-1.010602,-0.782113,-0.275206,0.216478,0.818386,1.308383,1.630782,1.727262,1.936168,1.946732,1.712304,1.183671,0.691941,0.102212,-0.478678,-0.914381,-0.950211,-0.571267,-0.104323,0.462792,0.979067,1.581261,2.105103,1.993016,1.837461,1.753812,1.796665,2.209116,2.376023,2.186271,1.705162,1.060751,0.481694,-0.055177,-0.635683,-0.753967,-0.535697,-0.764972,-1.13175,-1.492936,-1.795624,-1.985035,-1.967505,-1.624598,-1.264051,-0.998606,-1.073025,-1.299191,-1.52034,-1.713441,-1.729838,-1.699089,-1.698789,-1.633225,-1.427296,-1.141229,-0.774666,2
