@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute target {1,2}

@data
1.694854,3.911802,3.331673,1.447397,-0.876614,-1.571593,-0.894243,-1.253696,-2.393204,-2.705516,-3.018086,-2.097682,-1.093159,-0.561772,0.18975,0.743068,1.10633,1.056361,0.785672,0.612734,0.739839,0.824445,0.546176,0.366402,0.183963,0.422745,0.282764,0.871576,1.046243,1.502084,2.128929,1.19293,-0.509145,-1.074501,-1.388336,-0.894129,-1.376583,-2.083564,-1.865024,-0.873113,0.208195,0.190917,0.183899,0.303562,0.548741,0.101501,-0.118841,-0.074857,0.245207,-0.046101,2
-0.316961,1.121505,4.98116,1.726864,-0.47684,-1.819902,-0.304536,1.715438,-0.101047,-3.179598,-2.495871,-0.701786,-0.507107,-1.425471,-0.622063,0.291951,0.506326,1.109117,1.078218,1.14561,1.04032,1.368898,1.163175,0.518521,0.250164,0.399629,0.005557,0.968548,1.473682,0.698041,0.381619,-0.059234,-1.760422,-2.732123,-0.799681,0.791816,-0.815399,-2.872176,-2.155227,-0.778253,0.896046,0.89964,0.292548,-0.120686,-0.065444,-0.512914,-0.271472,0.310372,0.185758,-0.426311,1
0.988405,2.537605,3.074067,2.848602,1.021343,-1.381772,-2.580356,-1.87923,-1.204922,-2.242229,-2.520022,-1.798165,-0.952207,-0.535159,0.036628,0.608721,1.060933,0.964751,0.687113,0.503805,0.202248,0.215691,0.153845,0.363086,0.330667,0.131588,0.508485,1.630779,1.337656,0.355361,2.416963,2.556654,0.359498,-1.273411,-2.082879,-0.93267,0.046144,-1.132091,-2.344052,-1.784102,0.19606,0.896181,0.599662,0.372368,0.16968,-0.167731,-0.682467,-0.822215,-0.679368,-0.179543,2
1.00671,2.327585,3.080822,2.635827,0.891937,-1.109439,-1.927916,-1.710676,-1.072898,-1.794845,-2.485619,-1.929285,-1.154656,-0.642453,-0.495996,0.194006,0.520118,0.690366,0.599392,0.682758,0.287847,0.126135,0.08654,0.24592,0.236956,0.036061,0.526727,1.521195,1.850724,1.651569,2.596336,2.843458,0.931275,-0.453792,-1.585375,-1.566524,-0.760351,-1.972979,-2.753193,-2.025207,-0.5705,0.555483,0.303783,-0.367378,0.114558,0.320989,-0.047224,-0.161064,-0.133702,-0.144007,2
1.318639,1.932563,2.306957,1.73293,-0.581591,-1.274239,-0.834405,-0.644986,-2.153298,-3.13462,-2.665253,-0.935466,-1.226494,-0.887917,0.426274,1.02642,0.309294,0.034724,0.003117,0.580828,0.364304,-0.046711,-0.061808,0.193934,0.631445,0.535963,1.086389,0.870956,0.693121,-0.151564,0.813105,3.284954,2.217221,-0.528516,-1.979121,-0.315016,0.076227,-1.78731,-3.013369,-2.679486,-1.311005,-0.347771,-0.319375,0.167058,1.221455,1.46514,1.398131,0.969376,0.67747,0.541326,1
2.047406,3.823384,3.162801,2.418737,-0.143074,-1.641841,-2.136244,-1.580845,-1.81725,-1.750228,-1.827344,-1.633558,-1.22558,-0.585053,-0.242333,0.648997,0.445639,0.17281,0.65431,0.425671,0.312976,0.500419,0.665091,0.501957,0.294281,-0.027202,1.151897,1.452994,1.486682,1.925014,2.172162,0.932692,-0.513898,-1.151536,-1.80947,-0.85125,-1.119475,-2.334568,-2.463995,-1.200097,0.170717,0.368623,0.115767,0.152976,0.436148,-0.101363,-0.341948,-0.105489,0.077386,0.086106,2
1.888054,3.029154,2.453542,0.789948,-0.970492,-2.010014,-2.001515,-1.265425,-1.94899,-2.481552,-2.490299,-1.507768,-1.336303,-0.816242,0.021533,0.56952,0.622986,0.371926,0.629693,0.550906,0.119961,0.308728,0.540428,0.187401,-0.205245,-0.051496,1.021381,1.593247,1.162278,2.424944,2.771924,0.772017,-0.806005,-1.561765,-1.58063,-0.294698,-0.070314,-2.274272,-2.735322,-1.083287,0.59467,0.728593,0.812475,1.060859,0.876801,0.273869,-0.194455,0.135864,0.605723,0.767665,2
2.066911,3.072182,2.648886,1.046847,-0.69393,-1.726102,-1.986248,-1.426445,-1.669471,-2.649109,-2.588573,-1.856618,-1.206855,-0.697583,-0.168445,0.402013,0.649696,0.586325,0.640854,0.429884,0.328287,0.393463,-0.078163,0.225524,0.197003,-0.136478,0.284886,0.804031,1.692856,2.719445,2.58296,0.533026,-0.981877,-1.490957,-1.906229,-1.24004,-0.762923,-2.06997,-2.049281,-0.777021,0.496277,0.782513,0.53523,0.749312,0.864346,0.630502,0.486632,0.308184,0.862877,1.141365,2
1.453415,3.103182,3.386938,0.894417,-1.23401,-2.136659,-1.681892,-0.798721,-1.910907,-2.51563,-1.908514,-1.268463,-1.211118,-1.079225,-0.306273,0.352402,0.773695,1.023,0.875256,1.025226,0.42207,0.453319,0.304192,0.234181,0.00519,0.178233,0.276692,-0.352181,0.697261,2.683275,3.14586,0.993765,-0.978255,-1.389542,-0.951946,0.015715,-0.914108,-2.603204,-2.432612,-0.780583,0.678769,0.189294,0.060812,1.01603,1.053424,0.899707,0.296382,0.326962,-0.13183,-0.232995,2
-0.448687,0.8614,2.444888,0.943301,-1.226059,-2.831572,-1.042477,1.225931,0.07145,-2.2749,-2.265147,-0.876568,-0.221457,0.440904,0.959774,1.310934,1.485175,1.796796,1.161667,1.045524,0.466436,0.586454,0.055262,-0.104112,-0.658287,-0.174772,-0.343993,-0.325509,0.61877,1.619027,0.734466,-1.7899,-0.072352,0.844358,-0.04996,-2.975513,-2.204051,-3.484484,-2.184377,0.582375,2.795501,2.215295,0.034579,-0.526728,-0.13432,0.17482,0.568016,0.467474,0.588377,0.116271,1
