@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute target {1,2}

@data
-0.795173,-0.856181,-0.870683,-0.828002,-0.816707,-0.865385,-0.890002,-0.89534,-0.876853,-0.825677,-0.728332,-0.623164,-0.48891,-0.442641,-0.29694,-0.123369,0.023752,0.183414,0.214609,0.471235,1.093029,1.773011,2.161847,2.61145,3.201811,3.474512,3.468861,3.436816,3.546941,3.825619,3.938313,3.838379,3.842106,3.941904,3.450487,2.636425,2.374615,2.527658,2.386172,1.860403,1.325776,0.982641,0.772537,0.604549,0.54735,0.618332,0.665263,0.556925,0.300237,0.076778,0.015487,0.073549,0.170204,0.246348,0.330393,0.434044,0.544699,0.675065,0.815372,0.950063,1.029288,1.004758,0.905006,0.773598,0.638731,0.514234,0.406015,0.31233,0.221591,0.17393,0.161253,0.161972,0.18837,0.241875,0.313102,0.389094,0.436143,0.49392,0.567017,0.62238,0.667408,0.760636,0.787232,0.763825,0.678606,0.587768,0.484175,0.4271,0.388537,0.39048,0.46152,0.542481,0.618885,0.652238,0.585904,0.431148,0.306538,0.17689,0.084565,0.012593,-0.13184,-0.284848,-0.471914,-0.680432,-0.967164,-1.187709,-1.284693,-1.397035,-1.432262,-1.41102,-1.422602,-1.406925,-1.355388,-1.387865,-1.388087,-1.397517,-1.416829,-1.424719,-1.394978,-1.3792,-1.341032,-1.192146,-1.07468,-0.954939,-0.843245,-0.764342,-0.741191,-0.783893,-0.87839,-1.040492,-1.21531,-1.35011,-1.480557,-1.589022,-1.696184,-1.655006,-1.493128,-1.39617,-1.425638,-1.37055,-1.37285,-1.301344,-1.173229,-1.102065,-0.987892,-0.919282,-0.749068,-0.494208,-0.354715,-0.274045,-0.197012,-0.292356,-0.48348,-0.66337,-0.931213,-1.27553,-1.578665,-1.845198,-2.042955,-2.178467,-2.230646,-2.259898,-2.290045,-2.311355,-2.310815,2
-0.478933,-0.477354,-0.441403,-0.323955,-0.247814,-0.298234,-0.34578,-0.382756,-0.406634,-0.418671,-0.363253,-0.16128,0.151091,0.238665,0.43313,0.648552,0.694147,0.82048,0.890786,1.042406,1.375267,1.76889,1.995521,2.368243,2.917507,3.240356,3.385273,3.70825,4.325651,4.969914,5.092399,4.614176,4.12386,4.059702,3.700704,2.908976,2.535912,2.575158,2.324775,1.756847,1.304111,1.074468,0.962757,0.901421,0.881356,0.901189,0.898452,0.816546,0.580204,0.284906,0.108287,0.055933,0.031133,-0.034961,-0.132992,-0.215747,-0.262605,-0.258714,-0.213825,-0.131592,-0.03613,0.04621,0.097498,0.13057,0.148113,0.151418,0.134631,0.062679,-0.035255,-0.098461,-0.132719,-0.158862,-0.176999,-0.172894,-0.14592,-0.108587,-0.066283,-0.02584,0.027402,0.095685,0.175353,0.223924,0.202878,0.162488,0.14036,0.120613,0.099144,0.064894,0.03867,0.051098,0.110093,0.191747,0.25683,0.295577,0.308362,0.290233,0.245693,0.185249,0.113246,0.038246,-0.028022,-0.060184,-0.182787,-0.408736,-0.615555,-0.800944,-0.919632,-1.000606,-1.060637,-1.104903,-1.126175,-1.138762,-1.15653,-1.161754,-1.174326,-1.182849,-1.176975,-1.17348,-1.184907,-1.189335,-1.185791,-1.195742,-1.201347,-1.209933,-1.224651,-1.261938,-1.304124,-1.356448,-1.411148,-1.464455,-1.479122,-1.503328,-1.483453,-1.467498,-1.414065,-1.391733,-1.338828,-1.27612,-1.280573,-1.275729,-1.270847,-1.262897,-1.272015,-1.266454,-1.272789,-1.254881,-1.226393,-1.202934,-1.16869,-1.127032,-1.103338,-1.093443,-1.100707,-1.122417,-1.151226,-1.185106,-1.219004,-1.241896,-1.253811,-1.256999,-1.260591,-1.261387,-1.258859,-1.256931,-1.258082,2
-0.963217,-0.924558,-0.86405,-0.706953,-0.54749,-0.497596,-0.575233,-0.653455,-0.710768,-0.754178,-0.777624,-0.704054,-0.505011,-0.331701,-0.040053,0.404301,0.957761,1.452474,1.629307,1.68877,1.823553,2.208761,2.452313,2.722985,3.168387,3.443714,3.616077,3.91388,4.297137,4.473985,4.290142,3.922847,3.613702,3.393357,2.745867,1.989519,1.840177,2.069941,2.083241,1.770435,1.420687,1.191946,1.08031,1.02244,0.93256,0.76164,0.542807,0.33659,0.09072,-0.144323,-0.2266,-0.184358,-0.089835,-0.001373,0.078415,0.177884,0.299881,0.418008,0.522044,0.606289,0.654956,0.642293,0.570092,0.463925,0.360076,0.278353,0.211227,0.136174,0.061103,0.013382,-0.023865,-0.046159,-0.03011,0.036381,0.122874,0.20941,0.271902,0.328583,0.394889,0.453378,0.497068,0.559928,0.595843,0.589371,0.504202,0.409103,0.327152,0.279644,0.247193,0.270102,0.364267,0.488931,0.573791,0.60459,0.546847,0.403815,0.263862,0.125455,0.024365,-0.061204,-0.207734,-0.351849,-0.53421,-0.757415,-1.00417,-1.203595,-1.297406,-1.369626,-1.394408,-1.376905,-1.361404,-1.335813,-1.286401,-1.30214,-1.308755,-1.313802,-1.327676,-1.346183,-1.315198,-1.293969,-1.270474,-1.169591,-1.070129,-0.955912,-0.836182,-0.746316,-0.695761,-0.695189,-0.756955,-0.851964,-0.971646,-1.07841,-1.166331,-1.223484,-1.289171,-1.316084,-1.315262,-1.34993,-1.327338,-1.314087,-1.307993,-1.28665,-1.259663,-1.222903,-1.158891,-1.069119,-0.918131,-0.718325,-0.575039,-0.47039,-0.404476,-0.490605,-0.690038,-0.906893,-1.162463,-1.438473,-1.676209,-1.88311,-2.030636,-2.130248,-2.175834,-2.20384,-2.226683,-2.240116,-2.240008,2
-0.883396,-0.919751,-0.896028,-0.780826,-0.714588,-0.73791,-0.771729,-0.788239,-0.78718,-0.781927,-0.73367,-0.586761,-0.349129,-0.232594,-0.040728,0.202985,0.422506,0.646483,0.724376,0.918161,1.384305,1.947423,2.288679,2.682369,3.207457,3.453658,3.46613,3.562444,3.858802,4.163836,4.1578,3.896538,3.717948,3.688119,3.166766,2.387775,2.165842,2.341796,2.256122,1.810909,1.371705,1.088137,0.904961,0.774254,0.708147,0.699329,0.649341,0.50272,0.268419,0.06239,0.02516,0.110588,0.227322,0.323886,0.410666,0.50744,0.611138,0.735391,0.872798,0.994452,1.057298,1.032024,0.936905,0.802699,0.665167,0.54501,0.447366,0.342319,0.244876,0.194504,0.170236,0.148789,0.146287,0.181324,0.249304,0.32024,0.380466,0.427196,0.474963,0.524751,0.564446,0.600095,0.583527,0.533677,0.469986,0.401926,0.320819,0.237526,0.186674,0.180707,0.216578,0.269555,0.30133,0.297081,0.249629,0.163139,0.08092,-0.009577,-0.08721,-0.172153,-0.331829,-0.486501,-0.691098,-0.926526,-1.154544,-1.349698,-1.472019,-1.567489,-1.621943,-1.649072,-1.662157,-1.659148,-1.653306,-1.669945,-1.689147,-1.697457,-1.686541,-1.664435,-1.63183,-1.604805,-1.550759,-1.472374,-1.410396,-1.329026,-1.258773,-1.227254,-1.221279,-1.225957,-1.259929,-1.310129,-1.328669,-1.348896,-1.367371,-1.325232,-1.224101,-1.231425,-1.236014,-1.194689,-1.265333,-1.28702,-1.275934,-1.237257,-1.185887,-1.063049,-0.928182,-0.738457,-0.485738,-0.251607,-0.065741,0.080027,0.148351,0.063133,-0.13535,-0.386294,-0.671068,-0.992595,-1.282418,-1.530919,-1.701119,-1.815489,-1.880649,-1.915555,-1.938888,-1.952624,-1.955991,2
-0.894193,-0.876665,-0.843619,-0.738233,-0.646132,-0.646692,-0.686417,-0.719093,-0.735321,-0.74358,-0.715884,-0.600408,-0.387428,-0.25616,-0.034675,0.27296,0.591205,0.907134,1.000917,1.139489,1.481292,1.966569,2.268538,2.620716,3.104144,3.346554,3.390585,3.519218,3.830202,4.087534,4.012598,3.71832,3.505573,3.434928,2.909754,2.159968,1.988687,2.206512,2.176023,1.788278,1.385384,1.132089,0.98963,0.897244,0.832927,0.784503,0.699387,0.548101,0.329081,0.133853,0.097021,0.186615,0.305645,0.405895,0.495649,0.599001,0.720596,0.857394,0.999607,1.12261,1.186338,1.156864,1.052306,0.906255,0.746621,0.614457,0.515393,0.413915,0.316222,0.261336,0.22019,0.189018,0.178695,0.203758,0.262458,0.330333,0.379227,0.422663,0.460151,0.500263,0.52115,0.545852,0.522485,0.47567,0.414145,0.356491,0.276748,0.19663,0.14196,0.130336,0.15829,0.209592,0.248937,0.247207,0.199962,0.120578,0.062954,-0.02082,-0.088171,-0.166277,-0.321025,-0.478256,-0.681568,-0.914098,-1.185888,-1.414574,-1.535743,-1.639374,-1.702069,-1.720159,-1.733172,-1.733309,-1.698779,-1.710847,-1.697106,-1.674728,-1.661786,-1.657604,-1.614236,-1.6161,-1.621506,-1.584106,-1.548109,-1.51401,-1.480449,-1.464527,-1.469991,-1.491369,-1.516948,-1.53903,-1.560899,-1.557143,-1.524673,-1.511968,-1.447852,-1.422954,-1.387178,-1.333559,-1.314166,-1.304491,-1.288181,-1.23964,-1.180709,-1.045673,-0.871725,-0.664746,-0.395312,-0.108592,0.103397,0.267223,0.385526,0.327727,0.163012,-0.030238,-0.330617,-0.750841,-1.1394,-1.45249,-1.661322,-1.796475,-1.865396,-1.902428,-1.931336,-1.950318,-1.951707,2
-0.714561,-0.72856,-0.698268,-0.590871,-0.527351,-0.549239,-0.591221,-0.620122,-0.638073,-0.648473,-0.611761,-0.482632,-0.259293,-0.136424,0.075295,0.364825,0.656982,0.927065,1.003255,1.167187,1.580643,2.11211,2.455583,2.880308,3.43986,3.691489,3.692795,3.761275,4.050303,4.337812,4.313538,4.047101,3.858995,3.815641,3.253287,2.431912,2.1841,2.339803,2.245382,1.820326,1.412021,1.151808,0.988239,0.864756,0.792066,0.768017,0.706262,0.550326,0.294536,0.049676,-0.038562,-0.006549,0.056433,0.111304,0.162008,0.222612,0.284333,0.364745,0.461079,0.551554,0.613184,0.620133,0.57082,0.491256,0.406411,0.330494,0.265269,0.184325,0.102219,0.058644,0.037939,0.019081,0.01254,0.046224,0.108102,0.176094,0.234895,0.282112,0.337387,0.395502,0.44246,0.481817,0.473632,0.439107,0.391461,0.341122,0.272467,0.194432,0.1378,0.118864,0.144793,0.192815,0.237487,0.255661,0.232693,0.17006,0.10665,0.028554,-0.035854,-0.110027,-0.233455,-0.348775,-0.518091,-0.737173,-0.965171,-1.153334,-1.275408,-1.366941,-1.423387,-1.452197,-1.472729,-1.475416,-1.471182,-1.491987,-1.507879,-1.519785,-1.522821,-1.512557,-1.493449,-1.483392,-1.449398,-1.399986,-1.353498,-1.301942,-1.258149,-1.242677,-1.244529,-1.253226,-1.296666,-1.351528,-1.376708,-1.394228,-1.371229,-1.36589,-1.300044,-1.271373,-1.246249,-1.204895,-1.254576,-1.281927,-1.286416,-1.247712,-1.218963,-1.147246,-1.067371,-0.93616,-0.767903,-0.615718,-0.493106,-0.393011,-0.344003,-0.39768,-0.522614,-0.676759,-0.860711,-1.079353,-1.281191,-1.454124,-1.572024,-1.649836,-1.691254,-1.714052,-1.728466,-1.736999,-1.738796,2
-0.96403,-0.978364,-0.936122,-0.834669,-0.759736,-0.76831,-0.79753,-0.812694,-0.820743,-0.814734,-0.767778,-0.624586,-0.381499,-0.254085,-0.056281,0.199994,0.416485,0.635205,0.703256,0.885591,1.328507,1.885455,2.233342,2.649264,3.190815,3.449291,3.454934,3.540181,3.85645,4.193939,4.204503,3.932536,3.735943,3.714185,3.19243,2.379373,2.128736,2.297889,2.209734,1.768458,1.346707,1.079441,0.908985,0.785644,0.723548,0.719409,0.677089,0.530926,0.292112,0.08076,0.031551,0.115691,0.238389,0.342556,0.434021,0.535731,0.639234,0.763365,0.897042,1.014674,1.076758,1.058638,0.966457,0.835927,0.694323,0.57232,0.471302,0.361707,0.26677,0.211553,0.185514,0.171492,0.166915,0.197124,0.256612,0.324483,0.383207,0.42836,0.483537,0.542106,0.590502,0.611219,0.577458,0.514958,0.448675,0.373748,0.294243,0.217973,0.169692,0.171526,0.211589,0.272865,0.310295,0.313485,0.276011,0.196293,0.112272,0.026576,-0.054845,-0.146051,-0.288351,-0.422313,-0.620107,-0.872169,-1.102972,-1.309171,-1.444538,-1.525347,-1.582458,-1.611477,-1.617674,-1.60446,-1.59404,-1.595204,-1.607247,-1.608961,-1.597499,-1.583504,-1.579663,-1.570539,-1.533856,-1.490778,-1.439867,-1.393907,-1.362727,-1.332701,-1.325045,-1.318644,-1.342035,-1.357402,-1.381326,-1.417029,-1.401747,-1.345009,-1.288666,-1.340098,-1.323435,-1.288738,-1.345768,-1.343745,-1.318434,-1.264552,-1.207786,-1.085933,-0.959126,-0.762465,-0.500443,-0.261212,-0.067149,0.083678,0.147876,0.074995,-0.11845,-0.366638,-0.648884,-0.973988,-1.262003,-1.502528,-1.662435,-1.768578,-1.833786,-1.868152,-1.884778,-1.895365,-1.899441,2
-1.226584,-1.25525,-1.254468,-1.152504,-1.112805,-1.145309,-1.158217,-1.15194,-1.119998,-1.101577,-1.039723,-0.890853,-0.669627,-0.568114,-0.41807,-0.24582,-0.130033,0.004997,0.040904,0.262887,0.787912,1.365221,1.706781,2.106689,2.598113,2.81757,2.799019,2.864152,3.133635,3.435134,3.473077,3.267297,3.157613,3.192984,2.747471,2.026701,1.849254,2.06417,2.016295,1.578353,1.132712,0.846848,0.657886,0.509865,0.449207,0.478642,0.463718,0.326594,0.132289,0.026515,0.124159,0.356359,0.596757,0.800425,0.987497,1.182847,1.389405,1.617323,1.840895,2.004503,2.060945,1.971479,1.765195,1.509667,1.248256,1.020771,0.846273,0.687533,0.560371,0.49451,0.473188,0.466491,0.470995,0.508988,0.580912,0.652303,0.695424,0.734173,0.776989,0.810741,0.83029,0.845723,0.802947,0.722786,0.615944,0.501543,0.392022,0.303357,0.276985,0.311034,0.387841,0.46169,0.468612,0.413772,0.316165,0.179602,0.051043,-0.071463,-0.177961,-0.30167,-0.520125,-0.736962,-0.986412,-1.250275,-1.48023,-1.677074,-1.80711,-1.892267,-1.937818,-1.957191,-1.952599,-1.924487,-1.906501,-1.910421,-1.926768,-1.928123,-1.895896,-1.869569,-1.865919,-1.832042,-1.758664,-1.66368,-1.574528,-1.45808,-1.360825,-1.300768,-1.245406,-1.207575,-1.205578,-1.216319,-1.186249,-1.160572,-1.128629,-1.099798,-1.055727,-1.06782,-1.056415,-1.023235,-1.111924,-1.145794,-1.107172,-1.016276,-0.918087,-0.706544,-0.48205,-0.154892,0.278333,0.653644,0.96768,1.207297,1.297443,1.135758,0.776002,0.309092,-0.203477,-0.758434,-1.232543,-1.629375,-1.899021,-2.083179,-2.197482,-2.259563,-2.295993,-2.316668,-2.32437,2
-0.945929,-0.93588,-0.887983,-0.75097,-0.634468,-0.612213,-0.644705,-0.685413,-0.708995,-0.732406,-0.722642,-0.622311,-0.41635,-0.275348,-0.033155,0.313895,0.705661,1.061588,1.178358,1.286494,1.543102,1.976902,2.262522,2.604239,3.097094,3.354393,3.429866,3.600843,3.939916,4.18633,4.087192,3.763382,3.519231,3.408314,2.843527,2.087802,1.911167,2.118508,2.098648,1.753884,1.393135,1.16431,1.03029,0.946757,0.872585,0.782447,0.659177,0.49305,0.275143,0.078591,0.033836,0.122252,0.257388,0.374518,0.477917,0.593976,0.725727,0.866964,1.007855,1.12145,1.174031,1.140955,1.028213,0.876635,0.718662,0.58156,0.47151,0.369565,0.279341,0.22017,0.182945,0.155542,0.149309,0.176924,0.234396,0.304082,0.360585,0.402014,0.443251,0.480797,0.512502,0.52194,0.492967,0.439065,0.383214,0.314202,0.237705,0.159668,0.109114,0.1046,0.141864,0.192598,0.225304,0.224122,0.191116,0.120401,0.053491,-0.026946,-0.106113,-0.1995,-0.345832,-0.483801,-0.685502,-0.936334,-1.177029,-1.397242,-1.53588,-1.625635,-1.68568,-1.713487,-1.717911,-1.702397,-1.680008,-1.674395,-1.684528,-1.68034,-1.657847,-1.638406,-1.637295,-1.632746,-1.627724,-1.619279,-1.591652,-1.569299,-1.539604,-1.525406,-1.523314,-1.527901,-1.535902,-1.524346,-1.50414,-1.50506,-1.465368,-1.408173,-1.322972,-1.342713,-1.313795,-1.260467,-1.294062,-1.277654,-1.259483,-1.216849,-1.147285,-1.012705,-0.869608,-0.648633,-0.359357,-0.091746,0.122728,0.296928,0.374094,0.310321,0.127784,-0.109013,-0.404194,-0.792597,-1.151979,-1.442783,-1.631069,-1.755409,-1.831102,-1.871249,-1.891816,-1.905949,-1.911165,2
-0.618237,-0.63684,-0.621434,-0.509666,-0.44056,-0.464085,-0.501353,-0.536363,-0.550529,-0.557483,-0.518864,-0.399087,-0.193706,-0.086778,0.129295,0.420505,0.707999,0.978153,1.036096,1.194574,1.614704,2.138803,2.494911,2.946951,3.521457,3.784292,3.776652,3.81969,4.096795,4.401391,4.381983,4.121124,3.941327,3.898305,3.330382,2.49034,2.238033,2.375197,2.257234,1.825557,1.41903,1.161997,0.999326,0.871072,0.797671,0.781791,0.734891,0.581235,0.313108,0.049903,-0.070634,-0.066333,-0.022632,0.011693,0.043577,0.085119,0.1312,0.192883,0.273699,0.357631,0.421597,0.438357,0.408985,0.355245,0.296259,0.238732,0.185275,0.106602,0.027698,-0.013454,-0.033016,-0.048616,-0.053711,-0.030237,0.025964,0.093111,0.153168,0.200776,0.255556,0.318452,0.370453,0.413217,0.406922,0.376535,0.340739,0.301036,0.241664,0.169588,0.115702,0.097669,0.124961,0.169817,0.211735,0.235759,0.222639,0.17366,0.119862,0.048714,-0.025068,-0.107289,-0.206749,-0.296297,-0.448802,-0.65845,-0.870031,-1.058871,-1.178058,-1.271256,-1.331956,-1.365921,-1.386956,-1.395955,-1.399709,-1.420387,-1.437241,-1.443836,-1.434787,-1.431503,-1.433046,-1.42883,-1.397604,-1.356434,-1.321407,-1.280299,-1.249099,-1.239037,-1.244004,-1.261903,-1.292528,-1.357343,-1.374583,-1.398826,-1.382991,-1.345913,-1.287571,-1.267908,-1.217238,-1.169754,-1.22167,-1.249062,-1.246777,-1.224595,-1.201589,-1.125626,-1.078326,-0.996644,-0.878883,-0.769749,-0.678933,-0.604844,-0.576802,-0.623947,-0.727955,-0.857731,-0.998886,-1.151636,-1.287241,-1.40658,-1.491643,-1.54688,-1.578706,-1.595136,-1.603794,-1.609505,-1.611825,2
