@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute target {1,2}

@data
-0.170429,-0.281185,-0.353963,-0.44411,-0.552422,-0.592459,-0.635961,-0.649895,-0.65059,-0.655303,-0.67463,-0.680009,-0.693431,-0.683841,-0.685493,-0.696416,-0.713738,-0.745668,-0.747142,-0.741936,-0.762688,-0.780113,-0.764946,-0.749389,-0.738952,-0.714036,-0.683405,-0.63791,-0.581568,-0.539085,-0.482189,-0.448157,-0.438329,-0.404063,-0.373936,-0.335785,-0.263076,-0.167157,-0.058158,0.035085,0.158852,0.279215,0.396765,0.398334,0.410145,0.479641,0.476533,0.554404,0.625377,0.691219,0.777985,0.758074,0.741405,0.663126,0.56198,0.523572,0.550331,0.568517,0.520893,0.442735,0.451654,0.451081,0.475921,0.490464,0.451234,0.432427,0.367598,0.309205,0.306413,0.243504,0.211469,0.150247,0.140253,0.141543,0.164311,0.131618,0.151976,0.199532,0.274695,0.29603,0.338547,0.386675,0.420665,0.468705,0.471382,0.519982,0.509847,0.493718,0.437423,0.375904,0.337203,0.298164,0.244454,0.172134,0.168195,0.168407,0.146323,0.180001,0.184421,0.235587,0.340877,0.439866,0.519059,0.597817,0.634712,0.62517,0.729148,0.726131,0.724252,0.724042,0.727293,0.662272,0.685588,0.609155,0.526581,0.488096,0.429703,0.426101,0.345313,0.191348,0.084564,-0.049806,-0.163391,-0.239826,-0.257576,-0.261436,-0.248066,-0.221674,-0.155665,-0.120433,-0.063375,-0.078692,-0.110742,-0.095905,-0.004296,0.095353,0.226387,0.346318,0.396766,0.475363,0.656619,0.760316,0.89592,1.025881,1.121246,1.1727,1.241512,1.275647,1.129542,1.076642,0.9877,1.023961,1.065026,1.02138,1.201036,1.146073,0.966858,0.787026,0.65106,0.644499,0.672323,0.717546,0.901187,0.966151,0.91202,0.587429,0.315941,0.0606,-0.178252,-0.378118,-0.547977,-0.674619,-0.763953,-0.787353,-0.783081,-0.780596,-0.773803,-0.812861,-0.905277,-1.030445,-1.145315,-1.230933,-1.279496,-1.308253,-1.324249,-1.334609,-1.342978,-1.349037,-1.354503,-1.359126,-1.363592,-1.367086,-1.370888,-1.375134,-1.378637,-1.382861,-1.388302,-1.3941,-1.402588,-1.416275,-1.447472,1
-0.191416,-0.309241,-0.359489,-0.439083,-0.534659,-0.574333,-0.600132,-0.597555,-0.599121,-0.624363,-0.661125,-0.676161,-0.691351,-0.678679,-0.671743,-0.712582,-0.711162,-0.732662,-0.738659,-0.703681,-0.723088,-0.75322,-0.742745,-0.727552,-0.720272,-0.706839,-0.671269,-0.611624,-0.565166,-0.505741,-0.452785,-0.380257,-0.358487,-0.345036,-0.312877,-0.314478,-0.279908,-0.211568,-0.106746,-0.013845,0.105601,0.165477,0.2505,0.320667,0.357,0.381158,0.435371,0.435711,0.536526,0.595373,0.643382,0.669351,0.593026,0.579262,0.464755,0.500935,0.496665,0.577753,0.498098,0.469497,0.419982,0.450886,0.435587,0.46999,0.586136,0.506562,0.448069,0.475585,0.38788,0.289333,0.295645,0.224493,0.239834,0.214542,0.216602,0.176451,0.177731,0.244782,0.290822,0.340982,0.371944,0.463479,0.526366,0.573139,0.596674,0.586478,0.575247,0.612719,0.573599,0.468244,0.385195,0.310419,0.301677,0.254493,0.200745,0.192026,0.224494,0.230794,0.24528,0.253266,0.356044,0.462998,0.517855,0.626325,0.619868,0.63928,0.767278,0.671717,0.684112,0.761091,0.747647,0.699535,0.62906,0.664998,0.634428,0.523135,0.502602,0.507657,0.416902,0.288878,0.138231,-0.023059,-0.12734,-0.233704,-0.255602,-0.22227,-0.264859,-0.189927,-0.08698,-0.055132,-0.016832,-0.058343,-0.126893,-0.119111,-0.007259,0.087877,0.112592,0.240106,0.353081,0.458278,0.561362,0.682961,0.819109,0.862549,0.878197,1.089305,1.099434,1.146651,1.160861,1.124953,1.103636,1.136704,0.98567,1.159449,1.069347,1.164243,0.900107,0.610472,0.620558,0.576548,0.666695,0.715067,0.873596,1.007506,0.976722,0.60044,0.325348,0.100685,-0.112466,-0.39659,-0.585017,-0.718352,-0.82399,-0.88419,-0.909668,-0.925984,-0.937035,-0.976615,-1.041705,-1.126078,-1.204483,-1.262614,-1.297924,-1.3176,-1.332524,-1.342589,-1.347844,-1.353704,-1.359232,-1.362061,-1.36616,-1.369965,-1.374541,-1.377838,-1.381724,-1.386737,-1.392711,-1.398911,-1.406049,-1.421212,-1.451907,1
-0.119373,-0.203797,-0.258263,-0.390047,-0.484994,-0.566071,-0.590825,-0.595132,-0.619152,-0.639271,-0.624093,-0.627197,-0.633835,-0.63665,-0.633563,-0.653936,-0.684313,-0.717491,-0.714418,-0.719882,-0.752214,-0.761356,-0.737778,-0.731377,-0.715403,-0.690513,-0.654623,-0.615128,-0.575508,-0.551114,-0.498397,-0.434205,-0.432459,-0.417864,-0.354482,-0.297975,-0.236854,-0.158732,-0.050045,0.095425,0.24106,0.284451,0.34773,0.38553,0.446642,0.447141,0.527711,0.591633,0.60514,0.677677,0.751833,0.822748,0.818262,0.704102,0.602492,0.592065,0.586579,0.580974,0.548155,0.498969,0.448708,0.442171,0.506526,0.486412,0.430006,0.377459,0.381959,0.354044,0.306296,0.307276,0.230826,0.179351,0.141394,0.144637,0.199052,0.131451,0.110723,0.179348,0.282458,0.307315,0.327078,0.338587,0.405298,0.423919,0.465245,0.439083,0.462066,0.495552,0.463689,0.368883,0.312351,0.26794,0.236211,0.189787,0.138394,0.18391,0.159155,0.141672,0.16706,0.182972,0.299113,0.4206,0.536229,0.642191,0.638077,0.660418,0.766569,0.750357,0.758703,0.713657,0.747357,0.73561,0.655638,0.560644,0.505391,0.462676,0.41903,0.374519,0.271512,0.215683,0.089424,-0.050601,-0.178403,-0.271117,-0.264952,-0.273621,-0.259411,-0.235375,-0.169575,-0.163956,-0.120759,-0.132861,-0.153046,-0.151253,-0.047279,0.040068,0.127676,0.232351,0.337043,0.472121,0.688416,0.806403,0.832759,0.968775,1.065014,1.204459,1.265527,1.31971,1.170932,1.006116,1.018603,1.109798,1.16131,1.188573,1.123345,1.156836,1.023881,0.708471,0.633954,0.550977,0.53709,0.660407,0.838492,0.919823,0.792273,0.503078,0.258703,0.01731,-0.190648,-0.369406,-0.54019,-0.654717,-0.739866,-0.77596,-0.750199,-0.726712,-0.712375,-0.754335,-0.851792,-0.995844,-1.128182,-1.233668,-1.293806,-1.329663,-1.350006,-1.363567,-1.372228,-1.379789,-1.386916,-1.391871,-1.397968,-1.401246,-1.405529,-1.410025,-1.414816,-1.420102,-1.425665,-1.431866,-1.44173,-1.456074,-1.488978,1
-0.160362,-0.275845,-0.325726,-0.387636,-0.4935,-0.54402,-0.571135,-0.576943,-0.586044,-0.578024,-0.631125,-0.655499,-0.644032,-0.651739,-0.652536,-0.675433,-0.710263,-0.730964,-0.72497,-0.721615,-0.718405,-0.733867,-0.737458,-0.739747,-0.718389,-0.687314,-0.645089,-0.599305,-0.559919,-0.513474,-0.428028,-0.366519,-0.353096,-0.365028,-0.348222,-0.295065,-0.217691,-0.15971,-0.095897,-0.008014,0.099031,0.170419,0.27611,0.290614,0.307095,0.39281,0.456095,0.474358,0.4731,0.586165,0.585561,0.595713,0.591628,0.56808,0.519612,0.521468,0.525587,0.509896,0.461595,0.366329,0.382246,0.372575,0.424028,0.467813,0.465805,0.473558,0.388623,0.285092,0.338605,0.336832,0.257838,0.167905,0.139451,0.139242,0.147652,0.160357,0.167521,0.177248,0.237441,0.312946,0.346155,0.38838,0.427629,0.46297,0.55035,0.59878,0.572523,0.5601,0.490889,0.413206,0.346595,0.299112,0.262102,0.221109,0.208824,0.142984,0.16759,0.144976,0.165547,0.228833,0.285224,0.404148,0.521329,0.636223,0.680276,0.63458,0.751382,0.741182,0.72295,0.764841,0.733303,0.683882,0.62715,0.59591,0.52889,0.480753,0.468635,0.421729,0.376683,0.248519,0.116667,-0.014606,-0.152222,-0.22937,-0.230439,-0.237952,-0.245333,-0.202789,-0.142042,-0.119358,-0.058699,-0.090898,-0.102149,-0.08334,-0.008836,0.102417,0.165394,0.290596,0.370955,0.47157,0.641121,0.759074,0.856904,0.968165,1.058515,1.113754,1.221381,1.182072,1.32448,1.189415,1.086218,1.125334,1.162185,1.168114,1.246015,1.277122,1.084471,0.785743,0.644894,0.60979,0.684286,0.71313,0.886951,1.027199,0.84506,0.541341,0.343112,0.092375,-0.166154,-0.393163,-0.570465,-0.697158,-0.786069,-0.848194,-0.859773,-0.85822,-0.867688,-0.903384,-0.975852,-1.079706,-1.176836,-1.250578,-1.290747,-1.317,-1.332029,-1.342052,-1.351163,-1.358531,-1.363288,-1.368596,-1.372044,-1.375604,-1.380945,-1.384672,-1.389441,-1.394028,-1.400843,-1.40754,-1.415845,-1.430708,-1.462112,1
-0.21751,-0.318221,-0.383238,-0.488,-0.595298,-0.643995,-0.660465,-0.667209,-0.693903,-0.68567,-0.696745,-0.703882,-0.710037,-0.694765,-0.708909,-0.715935,-0.735071,-0.761728,-0.759815,-0.765607,-0.782323,-0.792033,-0.778711,-0.770904,-0.761763,-0.733543,-0.702448,-0.643317,-0.595961,-0.563006,-0.494613,-0.443593,-0.430286,-0.417405,-0.383515,-0.343838,-0.275026,-0.166667,-0.058913,0.083955,0.207115,0.333439,0.358674,0.431608,0.473401,0.548242,0.575214,0.646138,0.687667,0.79549,0.854034,0.804914,0.817816,0.724763,0.557236,0.492392,0.60199,0.602911,0.541758,0.428607,0.418324,0.484625,0.503846,0.485303,0.479561,0.433273,0.41273,0.332486,0.319739,0.265846,0.183288,0.153241,0.145276,0.193394,0.161466,0.123836,0.136337,0.205845,0.263075,0.307552,0.354888,0.424292,0.467516,0.469029,0.508167,0.519956,0.553479,0.550412,0.488819,0.424651,0.333323,0.31597,0.241057,0.216108,0.196337,0.161733,0.132454,0.159068,0.216945,0.262154,0.348846,0.456048,0.540583,0.684325,0.648949,0.660948,0.724016,0.74845,0.765577,0.734951,0.733863,0.658779,0.662467,0.549086,0.513888,0.489128,0.449266,0.359158,0.255035,0.169165,0.00106,-0.12762,-0.223321,-0.26909,-0.277962,-0.29564,-0.289755,-0.240295,-0.168876,-0.107834,-0.118357,-0.114096,-0.131471,-0.11356,-0.016762,0.088618,0.239207,0.343817,0.415958,0.527053,0.694882,0.864368,0.93002,1.078396,1.162251,1.24498,1.219359,1.207499,1.136152,1.034047,0.991324,1.117905,1.087592,1.136768,1.187697,1.101708,0.934193,0.714082,0.580231,0.501445,0.534166,0.708213,0.832414,0.958533,0.702732,0.398248,0.105898,-0.107702,-0.291969,-0.481693,-0.623937,-0.728161,-0.802957,-0.820231,-0.798892,-0.785444,-0.760369,-0.785627,-0.871534,-1.000807,-1.113488,-1.197054,-1.243026,-1.270608,-1.2858,-1.294691,-1.301203,-1.308256,-1.312333,-1.315512,-1.319426,-1.322105,-1.325803,-1.328766,-1.3328,-1.336404,-1.340511,-1.346299,-1.353775,-1.365818,-1.394605,1
-0.080524,-0.242849,-0.307326,-0.403874,-0.492178,-0.567976,-0.581173,-0.608252,-0.587308,-0.591519,-0.642768,-0.676239,-0.677622,-0.670786,-0.678121,-0.70443,-0.721428,-0.72791,-0.722483,-0.706402,-0.719465,-0.73833,-0.742053,-0.730645,-0.704078,-0.676135,-0.642776,-0.596922,-0.511664,-0.461084,-0.393066,-0.342997,-0.290426,-0.295374,-0.289762,-0.270291,-0.24081,-0.183771,-0.062669,0.035874,0.077402,0.21978,0.281133,0.35472,0.40248,0.304856,0.370998,0.42128,0.471151,0.601826,0.584499,0.567606,0.624217,0.611033,0.566685,0.500811,0.445501,0.515276,0.589285,0.504571,0.439094,0.452648,0.414423,0.50679,0.547774,0.53944,0.463466,0.4387,0.435374,0.376376,0.345015,0.251011,0.221643,0.245276,0.243038,0.209886,0.211037,0.233984,0.33279,0.355799,0.36729,0.404509,0.489877,0.537036,0.526824,0.586718,0.590091,0.597239,0.545047,0.472611,0.439875,0.371978,0.337258,0.259606,0.245021,0.219923,0.225016,0.221466,0.204794,0.248886,0.348204,0.381164,0.461888,0.54545,0.541751,0.517416,0.659982,0.708322,0.716238,0.769132,0.758182,0.724703,0.61187,0.606919,0.581075,0.528754,0.520562,0.472966,0.422225,0.312534,0.145924,0.051646,-0.06131,-0.158608,-0.170842,-0.173916,-0.155299,-0.13545,-0.071921,0.007168,0.085317,0.007595,-0.102872,-0.021861,0.053393,0.12612,0.178848,0.234315,0.289806,0.370153,0.459902,0.555158,0.649119,0.742855,0.824488,0.868636,0.996625,0.995105,1.059123,0.984415,0.907729,1.079574,0.984339,1.019087,1.169426,1.155011,1.008949,0.809928,0.699245,0.640692,0.738292,0.785839,0.897889,1.073045,0.905574,0.695091,0.471487,0.223893,-0.077357,-0.314474,-0.512935,-0.667998,-0.777324,-0.837614,-0.851537,-0.868306,-0.85936,-0.901806,-0.991803,-1.115083,-1.229537,-1.315468,-1.364482,-1.394313,-1.412867,-1.424371,-1.432841,-1.439944,-1.446302,-1.45115,-1.455032,-1.459094,-1.462708,-1.467534,-1.47156,-1.475247,-1.482388,-1.48927,-1.498456,-1.514162,-1.547862,1
-0.151057,-0.249529,-0.284206,-0.402497,-0.498086,-0.547055,-0.594658,-0.606142,-0.601067,-0.60406,-0.637554,-0.655815,-0.679861,-0.668993,-0.660314,-0.665878,-0.703422,-0.735065,-0.728075,-0.712973,-0.737322,-0.754618,-0.748109,-0.728991,-0.726967,-0.700278,-0.668917,-0.635007,-0.57731,-0.516723,-0.459774,-0.419251,-0.395439,-0.381394,-0.34035,-0.302412,-0.216073,-0.139108,-0.04522,0.070326,0.201692,0.256225,0.345403,0.357676,0.394897,0.474299,0.473029,0.570449,0.722277,0.735203,0.80173,0.798662,0.758135,0.683991,0.542531,0.487289,0.51143,0.588996,0.563105,0.467122,0.419114,0.465194,0.430148,0.495035,0.472044,0.476189,0.419683,0.38861,0.358595,0.326224,0.250926,0.192553,0.185604,0.175769,0.171079,0.137292,0.157423,0.215165,0.255525,0.296352,0.366051,0.46128,0.510061,0.54938,0.560184,0.58544,0.579688,0.587321,0.504854,0.390376,0.382835,0.311596,0.235675,0.203475,0.135062,0.149704,0.136324,0.156709,0.149031,0.213637,0.287713,0.442275,0.521613,0.606907,0.624284,0.644555,0.759933,0.727425,0.782839,0.736114,0.69952,0.662298,0.617701,0.53702,0.420838,0.424472,0.375757,0.338732,0.194468,0.113597,0.002605,-0.122997,-0.234609,-0.328619,-0.346397,-0.344312,-0.342222,-0.294561,-0.232601,-0.168253,-0.138765,-0.174274,-0.233757,-0.199843,-0.115003,0.021921,0.080329,0.196489,0.317525,0.466736,0.645166,0.741573,0.899153,1.06285,1.127641,1.241626,1.279533,1.320339,1.196862,1.203005,1.112164,1.160772,1.094801,1.137126,1.26251,1.142,0.931777,0.729899,0.562762,0.503917,0.644863,0.718874,0.844833,1.031275,0.8524,0.523733,0.231958,-0.019035,-0.230508,-0.431372,-0.594334,-0.716199,-0.797391,-0.837706,-0.841264,-0.835898,-0.831765,-0.868096,-0.947199,-1.049554,-1.145233,-1.220536,-1.263811,-1.289359,-1.305187,-1.315796,-1.322511,-1.329807,-1.334413,-1.337799,-1.341931,-1.345154,-1.35008,-1.354031,-1.357252,-1.361211,-1.366672,-1.372418,-1.380718,-1.394376,-1.42435,1
-0.121091,-0.185117,-0.284702,-0.378404,-0.475518,-0.521693,-0.551538,-0.571982,-0.607226,-0.617243,-0.616458,-0.634226,-0.653875,-0.642245,-0.642138,-0.660474,-0.689599,-0.709026,-0.698381,-0.700449,-0.722565,-0.731753,-0.728298,-0.731964,-0.727582,-0.691875,-0.650857,-0.614649,-0.549836,-0.520474,-0.475676,-0.427816,-0.404263,-0.40827,-0.386583,-0.348114,-0.285679,-0.21795,-0.137255,0.004628,0.081989,0.164115,0.256603,0.256114,0.24292,0.336806,0.401329,0.457817,0.527017,0.526034,0.576387,0.567152,0.500187,0.534078,0.47887,0.451514,0.419477,0.508216,0.434562,0.359148,0.35854,0.357874,0.42055,0.416282,0.401656,0.385308,0.34055,0.306594,0.294149,0.238729,0.173466,0.128389,0.174487,0.15799,0.133512,0.115275,0.128168,0.191574,0.305145,0.301732,0.339176,0.425554,0.415831,0.498032,0.507022,0.523673,0.56396,0.537311,0.465023,0.432777,0.35907,0.295608,0.26297,0.183528,0.213196,0.201305,0.170878,0.170282,0.18833,0.217418,0.303498,0.433394,0.539265,0.541296,0.544373,0.621959,0.731558,0.766081,0.717447,0.744724,0.788258,0.780875,0.678638,0.645546,0.54076,0.435068,0.498822,0.411912,0.34899,0.250288,0.126191,-0.00202,-0.116351,-0.182287,-0.213677,-0.22591,-0.241879,-0.234559,-0.153819,-0.128253,-0.073722,-0.074056,-0.128565,-0.138951,-0.028965,0.089602,0.143106,0.323461,0.412091,0.513085,0.60621,0.700984,0.845416,0.955601,1.064652,1.165093,1.281192,1.358968,1.307982,1.197775,1.143941,1.178947,1.178802,1.171543,1.243458,1.180973,1.150133,0.87072,0.772013,0.586355,0.755003,0.746716,0.898469,1.117957,0.886863,0.597906,0.32675,0.131669,-0.093802,-0.313345,-0.48258,-0.634652,-0.743417,-0.776128,-0.765641,-0.751456,-0.743701,-0.77726,-0.873166,-1.019055,-1.148279,-1.246313,-1.301763,-1.33662,-1.357074,-1.368068,-1.378607,-1.38764,-1.392902,-1.397585,-1.402666,-1.40737,-1.411911,-1.417229,-1.42172,-1.427144,-1.433877,-1.441381,-1.450838,-1.466581,-1.50263,1
-0.254387,-0.33971,-0.39655,-0.465383,-0.532926,-0.59865,-0.614647,-0.603295,-0.613605,-0.628151,-0.66385,-0.677648,-0.690819,-0.690596,-0.682829,-0.715235,-0.728733,-0.735096,-0.709725,-0.708015,-0.710497,-0.726877,-0.723711,-0.726552,-0.722622,-0.71906,-0.679813,-0.621636,-0.566439,-0.525093,-0.434472,-0.358324,-0.30744,-0.322899,-0.281618,-0.277713,-0.179291,-0.121655,-0.032553,0.070912,0.19382,0.269917,0.300749,0.399359,0.459032,0.525879,0.569838,0.596048,0.710548,0.705954,0.811196,0.784084,0.807348,0.580369,0.55066,0.562217,0.609147,0.623282,0.461689,0.477635,0.429095,0.384461,0.465256,0.507921,0.514922,0.476343,0.432722,0.402963,0.373688,0.341153,0.293791,0.202825,0.177759,0.195535,0.228475,0.190577,0.162068,0.216955,0.326948,0.346762,0.387445,0.427257,0.549277,0.606474,0.618904,0.671908,0.655939,0.645098,0.548809,0.433453,0.347039,0.288407,0.231495,0.22568,0.1756,0.184095,0.179781,0.180697,0.194178,0.257721,0.355292,0.457403,0.532485,0.70939,0.65852,0.647385,0.731627,0.799966,0.759804,0.786224,0.749369,0.673251,0.585653,0.575711,0.508241,0.48507,0.442496,0.389315,0.307224,0.146048,0.033508,-0.081157,-0.223216,-0.303698,-0.324211,-0.307402,-0.329673,-0.286303,-0.197637,-0.175612,-0.159092,-0.177501,-0.208373,-0.229909,-0.119512,-0.052662,0.01602,0.146982,0.246537,0.383197,0.584873,0.701581,0.898075,1.033078,1.099706,1.16457,1.228106,1.234159,1.08464,1.103789,1.141099,1.048331,1.018686,0.999853,1.228351,1.135625,0.922715,0.587234,0.48928,0.478993,0.620063,0.736435,1.032428,0.998934,0.846323,0.489029,0.167637,-0.080212,-0.303408,-0.512677,-0.675142,-0.79012,-0.883724,-0.937305,-0.965676,-0.987766,-1.00845,-1.038672,-1.087156,-1.143988,-1.188908,-1.224129,-1.245662,-1.259206,-1.269374,-1.275622,-1.279468,-1.283738,-1.287873,-1.289713,-1.292755,-1.295155,-1.299223,-1.302368,-1.30563,-1.309013,-1.313015,-1.319197,-1.327141,-1.338519,-1.365393,1
-0.288556,-0.355443,-0.438931,-0.553631,-0.629645,-0.676838,-0.706046,-0.706575,-0.699808,-0.721079,-0.738016,-0.731929,-0.740395,-0.729921,-0.722654,-0.732327,-0.760085,-0.763656,-0.752744,-0.750411,-0.773638,-0.788447,-0.769215,-0.753913,-0.74927,-0.724193,-0.687473,-0.630565,-0.557859,-0.518762,-0.463202,-0.416467,-0.365831,-0.369004,-0.380105,-0.315094,-0.212365,-0.162269,-0.031887,0.041,0.19676,0.317066,0.270038,0.344184,0.433148,0.517594,0.484951,0.589352,0.598721,0.638365,0.739167,0.710896,0.705163,0.620678,0.582661,0.484436,0.555582,0.608963,0.533187,0.474842,0.418505,0.423353,0.478288,0.479405,0.51024,0.447143,0.393771,0.42343,0.379734,0.339778,0.247776,0.204424,0.196746,0.18173,0.202388,0.184483,0.196794,0.216565,0.297949,0.337198,0.372133,0.400679,0.440525,0.531041,0.574341,0.55702,0.559692,0.590475,0.498866,0.434989,0.408733,0.34141,0.293532,0.246742,0.213882,0.164639,0.184245,0.240172,0.219997,0.2796,0.388697,0.468616,0.542687,0.620648,0.637351,0.657862,0.76507,0.745244,0.743964,0.763729,0.785767,0.712895,0.611092,0.545741,0.475486,0.483359,0.441304,0.356619,0.277744,0.202462,0.0794,-0.040886,-0.181748,-0.262208,-0.282568,-0.288407,-0.249595,-0.199882,-0.095887,-0.03352,-0.041639,-0.097601,-0.115817,-0.128488,-0.021045,0.046924,0.153665,0.275431,0.32375,0.445054,0.64655,0.781517,0.920777,0.960118,1.118905,1.18704,1.209564,1.234297,1.164459,1.060627,1.038716,1.07602,1.134365,1.139769,1.124811,1.099376,0.851283,0.660754,0.534482,0.473443,0.634595,0.715458,0.91905,0.979776,0.829635,0.560728,0.296742,0.036957,-0.2204,-0.41864,-0.577666,-0.704293,-0.78376,-0.82203,-0.827297,-0.824248,-0.811878,-0.855987,-0.930175,-1.038834,-1.137885,-1.213281,-1.258643,-1.286611,-1.300936,-1.310749,-1.317666,-1.323487,-1.328444,-1.33214,-1.336362,-1.339199,-1.343649,-1.34664,-1.349938,-1.354509,-1.359653,-1.36487,-1.372614,-1.385425,-1.414101,1
