@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute target {1,2,3,4,5}

@data
0.281776,-2.308256,-3.004937,-2.971069,-1.789774,-1.319325,-0.647089,-0.310561,-0.397533,-0.265713,-0.444822,-0.310396,-0.321126,-0.2829,-0.36834,-0.316809,-0.327563,-0.364969,-0.336727,-0.429552,-0.359273,-0.498766,-0.402095,-0.486946,-0.561338,-0.467228,-0.458836,-0.376601,-0.370809,-0.344591,-0.187409,-0.084224,-0.119177,-0.06371,0.032249,0.047913,0.092691,0.068813,0.061603,0.235662,0.164808,0.129127,0.198251,0.219356,0.298014,0.308794,0.365082,0.386556,0.389699,0.421034,0.426566,0.438253,0.474008,0.489879,0.455129,0.45638,0.426058,0.353292,0.310737,0.325297,0.291938,0.301906,0.289298,0.354001,0.255322,0.142038,0.19879,0.182629,0.259558,0.359885,0.604864,0.880914,1.009158,1.270036,1.505028,1.397692,1.331865,1.097488,0.827883,0.443011,-0.014625,-0.154266,-0.173769,-0.183389,-0.175593,-0.143775,-0.194586,-0.216466,-0.257696,-0.171926,-0.171887,-0.145809,0.132088,0.656105,0.591689,0.373012,0.215393,0.057755,0.415878,1
-0.122338,-2.895852,-3.160229,-2.614774,-1.366402,-0.654606,-0.280849,0.030516,0.089095,0.09215,0.141025,0.141562,-0.02838,0.097697,0.016326,0.007371,0.006409,-0.018312,-0.003518,-0.057096,-0.063628,-0.151871,-0.183098,-0.20915,-0.162375,-0.247236,-0.248472,-0.226671,-0.150583,-0.184629,-0.018298,0.073027,0.092152,0.157113,0.065635,0.170138,0.167628,0.173731,0.144881,0.202297,0.141168,0.132759,0.13935,0.148797,0.155561,0.223114,0.251538,0.193274,0.241465,0.242676,0.310965,0.343155,0.301378,0.240658,0.310042,0.245933,0.270553,0.269779,0.279031,0.170053,0.185503,0.151056,0.094981,0.076628,0.12955,0.09901,0.135548,0.30228,0.467552,0.668132,0.824977,1.183047,1.530656,1.428711,1.272395,1.019115,0.767488,0.425595,0.08134,-0.306282,-0.534459,-0.589793,-0.617248,-0.556985,-0.528546,-0.510072,-0.535667,-0.563545,-0.580905,-0.549823,-0.464175,-0.104857,0.436121,0.405203,0.527732,0.421274,0.240278,0.423026,-0.286479,1
-0.07289,-2.153197,-3.140423,-2.706402,-1.421089,-1.03841,-0.57918,-0.250945,-0.297262,-0.307847,-0.379433,-0.304084,-0.095209,-0.276835,-0.226281,-0.325189,-0.334878,-0.361434,-0.405556,-0.403452,-0.37844,-0.395305,-0.340075,-0.579868,-0.401979,-0.376079,-0.380897,-0.346386,-0.319064,-0.299923,-0.223621,-0.208755,-0.062728,0.149718,0.219804,0.048059,0.075986,0.198652,0.13606,0.079911,0.184307,0.227415,0.096855,0.19967,0.332739,0.192427,0.202446,0.249941,0.259746,0.372567,0.423563,0.305192,0.417889,0.458598,0.432239,0.358725,0.403641,0.280018,0.244863,0.390472,0.235966,0.320294,0.24169,0.287472,0.300589,0.181568,0.353382,0.394361,0.511455,0.776397,1.057183,1.195243,1.513155,1.575362,1.361958,1.25435,0.986932,0.645311,0.28612,-0.083148,-0.076316,-0.25365,-0.245313,-0.209382,-0.135516,-0.33367,-0.231116,-0.312313,-0.355508,-0.232775,-0.160273,0.249537,0.956586,0.477691,0.201711,-0.191725,-0.479682,0.263846,0.123843,1
0.813673,-1.783952,-2.932391,-2.904022,-2.314882,-0.998487,-0.739935,-0.040624,-0.022271,-0.038921,-0.11394,-0.113426,-0.091059,-0.087254,-0.093127,-0.152131,-0.101278,-0.201532,-0.261764,-0.267635,-0.307278,-0.369666,-0.381441,-0.449524,-0.473514,-0.524279,-0.46927,-0.374529,-0.469086,-0.392781,-0.346692,-0.298914,-0.198606,-0.123031,-0.070305,0.060357,0.047897,0.026988,0.105624,0.048626,0.074066,0.076774,0.124187,0.169722,0.131324,0.236054,0.173886,0.203467,0.250473,0.307571,0.36696,0.351101,0.38147,0.327636,0.444226,0.364178,0.433203,0.417814,0.420635,0.330245,0.311075,0.366761,0.251425,0.32626,0.263778,0.306386,0.339299,0.419702,0.615822,0.750451,0.816483,1.155274,1.398467,1.313095,1.22266,0.991737,0.848972,0.553401,0.261522,-0.127824,-0.333005,-0.310537,-0.293646,-0.255063,-0.322752,-0.309406,-0.327053,-0.27098,-0.309696,-0.267997,-0.333282,0.024649,0.338649,0.239994,0.32688,0.546796,0.577845,0.584986,0.128264,1
0.665172,-1.052069,-2.681215,-2.96911,-2.022433,-1.161891,-0.831986,-0.215019,-0.341742,-0.285267,-0.254503,-0.225606,-0.265915,-0.415963,-0.425686,-0.423598,-0.429548,-0.498066,-0.563284,-0.600123,-0.564483,-0.687113,-0.761357,-0.724099,-0.81684,-0.720912,-0.73723,-0.798318,-0.648831,-0.582614,-0.387533,-0.276131,-0.230726,-0.081226,-0.151232,-0.045978,0.053196,0.060291,0.096642,0.036584,0.083576,0.05711,0.107631,0.143868,0.192582,0.220983,0.133134,0.272821,0.297354,0.349189,0.393765,0.471312,0.303179,0.439833,0.377246,0.421449,0.434671,0.406255,0.456566,0.385441,0.388028,0.36409,0.317939,0.493556,0.30577,0.322389,0.239753,0.212135,0.311708,0.42294,0.654408,0.727053,0.894203,1.178102,1.203947,1.244399,1.152066,0.957669,0.734309,0.43836,0.076906,-0.136551,-0.194958,-0.17052,-0.248279,-0.1275,-0.096222,-0.034131,-0.145378,-0.166695,-0.167244,0.008865,0.748032,0.762783,0.750563,1.008456,0.742739,0.715733,1.128374,1
-0.771897,-2.806115,-3.158898,-2.103092,-1.145631,-0.971245,-0.257784,-0.29445,-0.157216,-0.108367,-0.189469,-0.220045,-0.299295,-0.214862,-0.28267,-0.293408,-0.319066,-0.399747,-0.370831,-0.485894,-0.461949,-0.534743,-0.50833,-0.575385,-0.581179,-0.594435,-0.628922,-0.501465,-0.503809,-0.412147,-0.295337,-0.266538,-0.131515,-0.04953,-0.043066,-0.066398,-0.071646,0.007476,-0.033029,0.052545,0.029367,0.061109,-0.054021,0.041974,0.087899,0.110027,0.167579,0.144888,0.158868,0.299442,0.29771,0.313268,0.343876,0.458621,0.448642,0.447907,0.351808,0.327665,0.258385,0.311199,0.272022,0.308277,0.254123,0.261299,0.178861,0.186696,0.332032,0.342018,0.597403,0.737776,0.916264,1.124746,1.361677,1.445607,1.359795,1.238765,0.918924,0.652145,0.35511,-0.038924,-0.080089,-0.087023,-0.221664,-0.166157,-0.094398,-0.091241,-0.124802,-0.089765,-0.126062,-0.100087,-0.057009,0.328096,0.868387,0.689344,0.67097,0.567709,0.558312,1.092048,0.101991,1
0.276546,-2.293733,-3.158638,-2.78114,-1.85259,-0.77576,-0.513702,0.081654,-0.07166,-0.1187,-0.025416,-0.065989,-0.121945,-0.05535,-0.118318,-0.155405,-0.168608,-0.245992,-0.209909,-0.251757,-0.283486,-0.294825,-0.36806,-0.404079,-0.478766,-0.480981,-0.523284,-0.412436,-0.454785,-0.31841,-0.278111,-0.211978,-0.077315,0.004299,0.071084,0.072358,0.099853,0.065503,0.032231,0.135322,0.102091,0.089427,0.204609,0.220154,0.155189,0.153747,0.195031,0.170911,0.300535,0.300823,0.295884,0.294416,0.334266,0.345002,0.403592,0.391944,0.383169,0.318946,0.355392,0.297736,0.323869,0.197837,0.196367,0.103621,0.255384,0.266008,0.287408,0.441596,0.581335,0.710432,0.860624,1.21846,1.362303,1.356764,1.248874,1.098685,0.808953,0.50974,0.131339,-0.255704,-0.308583,-0.343839,-0.326268,-0.396705,-0.283474,-0.362189,-0.366641,-0.236019,-0.311161,-0.251294,-0.292668,0.026253,0.417119,0.400344,0.59495,0.628494,0.569885,0.6142,-0.056885,1
0.845385,-1.407108,-2.987492,-3.055358,-1.849245,-1.031141,-0.701391,-0.106541,-0.148899,-0.123643,-0.183504,-0.15739,-0.130715,-0.203029,-0.176266,-0.270304,-0.328527,-0.325122,-0.335105,-0.415454,-0.378021,-0.428494,-0.532548,-0.533725,-0.637295,-0.659127,-0.663079,-0.577892,-0.534317,-0.484193,-0.331152,-0.275319,-0.141256,-0.070131,-0.060587,0.008824,0.00927,0.031531,0.054887,0.030718,0.045205,0.059444,0.037275,0.012304,0.084699,0.151377,0.252962,0.181147,0.218031,0.221715,0.313087,0.419971,0.461449,0.511328,0.457302,0.424071,0.456379,0.458278,0.32695,0.306482,0.364903,0.285987,0.304937,0.249052,0.245515,0.287453,0.347821,0.488546,0.539809,0.784445,0.882307,1.148577,1.341132,1.21039,1.175811,0.966399,0.719298,0.431129,0.069559,-0.178268,-0.237959,-0.239026,-0.185162,-0.234126,-0.211027,-0.230949,-0.236545,-0.251876,-0.218922,-0.219851,-0.070775,0.504062,0.755774,0.765032,0.932988,0.56113,0.57263,0.717505,-0.274405,1
0.735184,-1.49893,-3.11854,-3.069962,-1.792625,-0.974491,-0.657534,-0.170431,-0.233887,-0.170637,-0.165546,-0.173185,-0.242325,-0.199418,-0.178704,-0.204358,-0.225414,-0.324493,-0.29787,-0.395683,-0.389211,-0.456533,-0.482765,-0.530435,-0.616422,-0.58507,-0.538357,-0.489786,-0.482689,-0.39418,-0.249424,-0.171481,0.002148,0.014437,0.068789,0.057952,0.014174,0.088682,0.180334,0.053596,0.057597,0.096261,0.146683,0.156109,0.10836,0.161825,0.266659,0.265913,0.40729,0.401429,0.369866,0.48296,0.440732,0.496973,0.477076,0.498943,0.448557,0.416494,0.362456,0.387343,0.37124,0.383582,0.320265,0.333298,0.297646,0.333063,0.175976,0.249371,0.300888,0.406924,0.56256,0.529566,0.65094,0.738576,0.828348,0.571257,0.429546,0.318456,0.315923,0.240646,0.045414,-0.157857,-0.091799,-0.0823,-0.149373,-0.193943,-0.134719,-0.199498,-0.125054,-0.155159,0.007811,0.575285,1.124909,1.316941,1.645522,1.091022,0.387274,-0.071206,-1.37578,1
-0.723063,-1.458211,-2.054812,-2.027936,-1.762013,-1.044699,-0.820522,-0.478777,-0.412111,-0.52371,-0.545652,-0.431228,-0.440442,-0.479514,-0.496676,-0.413789,-0.431684,-0.447664,-0.455472,-0.486491,-0.474529,-0.534365,-0.460311,-0.525079,-0.526418,-0.556278,-0.552739,-0.477495,-0.514041,-0.450795,-0.389513,-0.425706,-0.413961,-0.302598,-0.345602,-0.30293,-0.25324,-0.276042,-0.244113,-0.293239,-0.285738,-0.294958,-0.300957,-0.272248,-0.290021,-0.266624,-0.223339,-0.168368,-0.180999,-0.108263,-0.091661,-0.058865,-0.017917,0.024509,0.013029,0.079726,0.030345,0.073183,0.071111,0.096372,0.124375,0.069459,0.127931,0.095249,0.104101,0.17946,0.286877,0.352854,0.403827,0.542146,0.644594,0.79145,0.818993,0.80217,0.687236,0.603133,0.455457,0.38517,0.064807,0.041892,0.006962,0.186527,0.560963,0.693682,0.703661,0.692198,0.747051,0.75005,0.822311,0.994199,1.220792,1.483082,1.409812,1.516767,1.568689,1.511279,1.505289,1.510109,0.960539,1
