@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute target {1,2,3,4,5,6,7}

@data
1.765521,1.548478,1.383949,1.178528,0.969083,0.758854,0.550936,0.341123,0.130496,-0.082551,-0.139926,-0.342009,-0.548164,-0.721823,-0.855417,-0.960045,-1.027634,-1.022584,-0.870202,-0.778588,-0.878468,-0.969992,-0.999454,-0.914292,-0.797011,-0.649008,-0.489269,-0.304367,-0.104819,0.093383,0.283438,0.422914,0.596014,0.709997,0.666113,0.511467,0.367055,0.215129,0.087724,-0.029421,-0.147919,-0.253181,-0.327373,-0.395184,-0.428586,-0.240971,-0.041038,0.162643,0.367261,0.574847,0.777479,0.857369,0.880804,0.795135,0.635937,0.430916,0.228078,0.026468,-0.175353,-0.362694,-0.379927,-0.318301,-0.223534,-0.138788,-0.023236,0.108618,0.231563,0.374962,0.525032,0.6266,0.534735,0.374557,0.23328,0.029711,-0.156429,-0.331329,-0.513166,-0.656173,-0.816572,-0.924704,-1.007914,-0.93569,-0.832705,-0.754724,-0.950819,-1.010085,-0.951538,-0.865886,-0.748871,-0.592259,-0.401636,-0.211405,-0.106632,0.107164,0.314961,0.522638,0.724715,0.929682,1.135053,1.340992,1.547961,1.730304,1
1.846686,1.572945,1.316044,1.059059,0.804729,0.549665,0.293718,0.029088,-0.077012,-0.197148,-0.417222,-0.635206,-0.830337,-0.992517,-1.122298,-1.076108,-0.883486,-0.669837,-0.448352,-0.214459,0.02258,0.268854,0.518152,0.765007,0.929785,0.988103,0.746671,0.493734,0.243128,-0.007539,-0.25734,-0.50251,-0.744369,-0.987699,-1.21796,-1.426313,-1.351994,-1.045644,-0.717273,-0.379299,-0.212814,0.077857,0.11395,0.218292,0.392755,0.423632,0.334089,0.176912,0.017775,-0.11667,-0.126964,0.093563,0.249551,0.009185,-0.232518,-0.071251,-0.187578,-0.209038,-0.018195,0.273723,0.357236,0.168811,0.367506,0.416642,0.155104,-0.13831,-0.441881,-0.74138,-0.98897,-1.143907,-1.010167,-0.778768,-0.536437,-0.290151,-0.042416,0.204935,0.456268,0.709282,0.960803,0.846389,0.641545,0.381416,0.127628,-0.119818,-0.357156,-0.58434,-0.778493,-0.789038,-0.710857,-0.594481,-0.442607,-0.267853,-0.05142,0.014851,0.086613,0.328532,0.572364,0.82006,1.065903,1.314878,1.562093,1.797304,4
1.949792,1.756894,1.544349,1.333758,1.124244,0.915268,0.707085,0.499386,0.30193,0.130954,-0.047382,-0.24119,-0.435636,-0.620812,-0.803352,-0.9791,-1.059869,-1.055588,-1.030518,-0.952548,-0.820967,-0.675039,-0.496389,-0.296752,-0.0931,0.048601,0.106599,0.154817,0.104504,-0.058343,-0.214224,-0.358745,-0.48724,-0.599714,-0.572557,-0.402606,-0.134391,0.127843,0.36958,0.536081,0.566184,0.511465,0.479247,0.459226,0.436253,0.272438,0.061496,-0.182624,-0.354244,-0.36383,-0.404405,-0.460001,-0.458782,-0.484347,-0.257068,-0.059035,0.151485,0.351806,0.414775,0.440691,0.467597,0.498089,0.524478,0.382326,0.176992,-0.087446,-0.334011,-0.452544,-0.584262,-0.451001,-0.321842,-0.185532,-0.035862,0.111573,0.075833,0.018957,-0.126123,-0.315155,-0.493267,-0.671645,-0.811749,-0.928233,-1.020165,-1.065257,-1.072589,-1.033362,-0.909726,-0.736275,-0.546938,-0.364009,-0.185542,-0.000391,0.152285,0.314546,0.491099,0.693469,0.896533,1.099688,1.3032,1.50777,1.71114,1.911001,6
0.665075,0.457075,0.25855,0.067169,-0.118546,-0.294803,-0.468038,-0.686316,-0.906953,-1.113788,-1.298531,-1.323699,-1.121155,-0.88282,-0.662828,-0.43517,-0.195857,-0.095793,0.021821,-0.020226,0.14475,0.099473,0.028284,-0.05015,-0.159878,-0.261329,-0.364474,-0.449113,-0.496384,-0.51705,-0.534578,-0.515199,-0.339766,-0.153886,0.037081,0.22353,0.413278,0.602673,0.765643,0.814441,1.021235,1.223132,1.421404,1.610538,1.788667,1.815565,1.580367,1.341273,1.113473,0.896759,0.802465,0.64248,0.427468,0.219706,0.016572,-0.183836,-0.380924,-0.490758,-0.518628,-0.51287,-0.491899,-0.439702,-0.359708,-0.267062,-0.158902,-0.069883,-0.021698,-0.053388,-0.017121,-0.056049,-0.157642,-0.214417,-0.385415,-0.584549,-0.783786,-0.981167,-1.175984,-1.309618,-1.246399,-1.111701,-0.949683,-0.773866,-0.574253,-0.378265,-0.21464,-0.045724,0.137704,0.314712,0.520838,0.536721,0.458213,0.378325,0.371379,0.580376,0.677112,0.825348,0.628491,0.389834,0.383434,0.456479,0.555188,0.641764,5
1.884121,1.603727,1.335597,1.0653,0.827545,0.645565,0.457253,0.201096,0.140607,0.152617,-0.084169,-0.348691,-0.597624,-0.822146,-1.004428,-1.143093,-1.20946,-1.15528,-0.942047,-0.927266,-0.997821,-1.024517,-0.866868,-0.666866,-0.501605,-0.338582,-0.357438,-0.119031,0.050774,0.185727,0.297283,0.387137,0.508481,0.645068,0.711277,0.472254,0.236771,0.33341,0.44913,0.275097,0.053005,-0.155801,-0.34,-0.491515,-0.626766,-0.737667,-0.571118,-0.421976,-0.250622,-0.001455,0.095971,0.224001,0.480876,0.758684,1.000079,0.829206,0.572656,0.299974,0.043399,-0.200421,-0.439971,-0.687781,-0.572106,-0.423924,-0.261577,-0.061073,0.153561,0.374914,0.293596,0.303399,0.54422,0.748782,0.586374,0.460639,0.340655,0.241049,0.038114,-0.07195,-0.334197,-0.411229,-0.546882,-0.789481,-0.95084,-0.968652,-0.882821,-1.095196,-1.105568,-1.01484,-0.862372,-0.655803,-0.390186,-0.120254,0.166659,0.129158,0.243415,0.4711,0.63168,0.823255,1.043853,1.314528,1.584806,1.83353,2
1.928797,1.72171,1.518759,1.316607,1.115263,0.911377,0.710779,0.507318,0.317612,0.154704,0.008166,-0.15656,-0.336854,-0.519826,-0.698721,-0.881584,-1.056789,-1.128434,-1.144007,-1.124073,-1.03617,-0.925573,-0.784119,-0.639441,-0.457713,-0.266241,-0.069127,0.05132,0.107828,0.161637,0.053269,-0.092544,-0.22877,-0.35255,-0.461443,-0.542098,-0.433103,-0.239699,0.030488,0.278772,0.457213,0.534219,0.500765,0.468263,0.449529,0.436736,0.269102,0.068981,-0.150997,-0.331216,-0.339806,-0.495136,-0.393664,-0.460596,-0.282898,-0.288363,-0.113749,0.118272,0.330607,0.456272,0.46586,0.492732,0.53331,0.558834,0.392998,0.181691,-0.088697,-0.28037,-0.423841,-0.484868,-0.354542,-0.218115,-0.073739,0.084795,0.141074,0.068162,0.087545,-0.081951,-0.29843,-0.500307,-0.681252,-0.838657,-0.958877,-1.043629,-1.082825,-1.048234,-0.957232,-0.783941,-0.60297,-0.421816,-0.238305,-0.051245,0.118063,0.289007,0.473492,0.678234,0.884474,1.091574,1.29949,1.507954,1.716555,1.895497,6
1.90184,1.705557,1.502961,1.301751,1.101259,0.90122,0.701716,0.502478,0.307254,0.132554,-0.025253,-0.202588,-0.385961,-0.570466,-0.744434,-0.925533,-1.085673,-1.139562,-1.145714,-1.096435,-1.006865,-0.858828,-0.698933,-0.51583,-0.306922,-0.098621,0.044741,0.11821,0.182591,0.106411,-0.041098,-0.172459,-0.300242,-0.414987,-0.508526,-0.57208,-0.42537,-0.199465,0.063529,0.323931,0.489129,0.55872,0.508517,0.479479,0.460771,0.440491,0.321318,0.130401,-0.081198,-0.254535,-0.315463,-0.460567,-0.318557,-0.285746,-0.356468,-0.117422,0.133518,0.332632,0.419794,0.444732,0.466308,0.502475,0.523895,0.387815,0.208144,-0.053705,-0.241467,-0.363511,-0.464878,-0.352594,-0.224332,-0.085533,0.061748,0.141318,0.078571,-0.006669,-0.158774,-0.363349,-0.558261,-0.726278,-0.864761,-0.985643,-1.064843,-1.100107,-1.10384,-1.029669,-0.860893,-0.687774,-0.519252,-0.341606,-0.169308,-0.001925,0.150729,0.312878,0.498788,0.695554,0.893344,1.091921,1.288928,1.487786,1.685849,1.867218,6
1.767348,1.542311,1.346594,1.136129,0.936128,0.741126,0.543609,0.357876,0.157976,-0.046222,-0.18807,-0.297403,-0.491211,-0.644496,-0.783678,-0.887341,-0.95034,-0.921271,-0.79886,-0.61777,-0.689058,-0.781142,-0.859029,-0.835237,-0.784956,-0.637154,-0.461448,-0.266224,-0.054989,0.156067,0.294202,0.443187,0.552309,0.501985,0.354857,0.215604,0.083246,-0.04135,-0.149233,-0.245966,-0.326299,-0.396377,-0.281661,-0.105117,0.071449,0.258312,0.445122,0.604549,0.646667,0.594376,0.766706,0.961296,1.049422,0.960344,0.775968,0.585636,0.394489,0.204704,0.013642,-0.178308,-0.376731,-0.431066,-0.38494,-0.323664,-0.248457,-0.152205,-0.043881,0.069849,0.182867,0.192353,0.052075,-0.066116,-0.243906,-0.403692,-0.5388,-0.674384,-0.787622,-0.891833,-0.966815,-1.007849,-0.934754,-0.822366,-0.758999,-0.943344,-0.995064,-0.92807,-0.837622,-0.726793,-0.547612,-0.362324,-0.206935,-0.089523,0.107763,0.30489,0.488225,0.666071,0.856923,1.043138,1.229803,1.41747,1.597175,1.74374,1
1.816754,1.508955,1.224491,0.952811,0.73615,0.585312,0.434317,0.212324,0.090389,0.071986,-0.026296,-0.313486,-0.564749,-0.354886,-0.447804,-0.698251,-0.866234,-1.005036,-1.081551,-1.087998,-0.914602,-0.762633,-0.83954,-0.89418,-0.769818,-0.575724,-0.386359,-0.299512,-0.206853,0.064292,0.085986,0.238281,0.316547,0.428149,0.536216,0.503451,0.230062,0.334862,0.196333,-0.084119,-0.262266,-0.413664,-0.536963,-0.512024,-0.359587,-0.122929,0.129226,0.134181,0.374394,0.637824,0.895423,1.157712,1.377609,1.293212,1.041872,0.780314,0.524277,0.262299,0.075857,-0.205448,-0.470473,-0.670009,-0.56411,-0.433767,-0.184709,0.120615,0.002871,0.006165,-0.023959,0.147614,0.355441,0.254156,0.128008,0.078973,-0.084795,-0.112666,-0.335549,-0.536489,-0.447802,-0.640406,-0.844868,-0.975873,-0.972745,-0.896591,-0.950706,-1.106438,-1.057752,-0.959865,-0.817185,-0.570798,-0.275971,-0.028709,0.076835,0.088064,0.314858,0.472744,0.633864,0.828884,1.087043,1.340087,1.582408,1.784251,2
1.944405,1.703839,1.472881,1.243621,1.018536,0.792063,0.564821,0.388403,0.231387,0.052764,-0.155734,-0.363093,-0.567313,-0.765777,-0.940891,-0.986395,-1.007479,-0.982137,-0.91889,-0.820586,-0.697468,-0.559213,-0.393397,-0.211798,-0.012818,0.062119,0.128887,0.154274,0.002387,-0.176311,-0.344882,-0.491784,-0.625132,-0.721914,-0.526779,-0.294809,-0.052404,0.191037,0.422561,0.56442,0.609195,0.559093,0.523308,0.522956,0.395903,0.167139,-0.06588,-0.271199,-0.456184,-0.37873,-0.377798,-0.456312,-0.433696,-0.332063,-0.166997,0.049819,0.259814,0.448293,0.488532,0.49968,0.521001,0.553227,0.526932,0.347554,0.11634,-0.11949,-0.352857,-0.392837,-0.360104,-0.413254,-0.276715,-0.120308,0.027698,0.05538,-0.021234,-0.129162,-0.294006,-0.463519,-0.621809,-0.754925,-0.874428,-0.952512,-1.01812,-1.043196,-1.035778,-1.000971,-0.87696,-0.690205,-0.498913,-0.310332,-0.12155,0.06097,0.20982,0.36447,0.542786,0.74758,0.954207,1.16168,1.369295,1.574906,1.775198,1.927868,6
