@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.492167,-0.383942,-0.163089,0.114344,0.393181,0.598371,0.866066,1.02471,1.091964,0.995358,0.814433,0.609011,0.464027,0.205036,-0.078928,-0.314824,-0.450608,-0.436056,-0.267773,-0.015289,0.265665,0.526099,0.760767,1.02769,1.078766,1.088262,1.08575,1.141441,1.117884,1.061306,0.81445,0.552511,0.262708,-0.023445,-0.272109,-0.467751,-0.573053,-0.64741,-0.74409,-0.840699,-0.861711,-0.822701,-0.813721,-0.712455,-0.625366,-0.546357,-0.500416,-0.564553,-0.661493,-0.778252,-0.857,-0.892615,-0.797163,-0.739748,-0.603279,-0.52803,-0.483709,1
-0.506974,-0.401274,-0.219082,0.058392,0.28166,0.533319,0.773436,0.983444,1.049715,1.018284,0.856585,0.632494,0.421072,0.131833,-0.135034,-0.355864,-0.503337,-0.498644,-0.274561,-0.002535,0.237216,0.535354,0.810922,1.106669,1.198608,1.059377,1.102258,1.154693,1.175221,1.092456,0.783211,0.544103,0.244053,-0.009409,-0.291889,-0.481219,-0.462046,-0.529093,-0.608916,-0.708849,-0.842175,-0.889392,-0.836701,-0.748227,-0.681848,-0.615869,-0.558295,-0.485207,-0.47315,-0.563258,-0.671049,-0.798222,-0.88334,-0.868262,-0.739835,-0.628673,-0.512146,1
-0.496392,-0.451064,-0.216648,0.089318,0.344434,0.624488,0.818963,1.017366,1.073242,1.029172,0.910101,0.712397,0.484561,0.174833,-0.09588,-0.308739,-0.477368,-0.444789,-0.262839,-0.000368,0.261852,0.527588,0.7864,1.004635,1.04669,1.043469,1.086131,1.107941,1.136359,1.033504,0.787361,0.513628,0.260134,-0.040059,-0.311302,-0.523353,-0.509523,-0.521087,-0.619097,-0.734642,-0.824595,-0.837882,-0.765809,-0.75021,-0.704938,-0.581252,-0.538019,-0.569284,-0.629,-0.690123,-0.781432,-0.856886,-0.874415,-0.776151,-0.65451,-0.560045,-0.466867,1
-0.469602,-0.382361,-0.200986,0.057754,0.334114,0.597302,0.811361,1.016642,1.109695,1.05476,0.871534,0.68669,0.438948,0.19533,-0.093833,-0.338562,-0.471311,-0.430543,-0.257891,-0.018983,0.252297,0.527465,0.785571,1.016651,1.072797,1.125662,1.09079,1.088781,1.113835,1.04865,0.803349,0.537811,0.274296,-0.003347,-0.248885,-0.438474,-0.553883,-0.595966,-0.67682,-0.749709,-0.825101,-0.832063,-0.817835,-0.737829,-0.668506,-0.60648,-0.558594,-0.581406,-0.661011,-0.751082,-0.827978,-0.863955,-0.804011,-0.725326,-0.632204,-0.578937,-0.508616,1
-0.430302,-0.359476,-0.164304,0.098041,0.360549,0.637574,0.870886,1.052369,1.119924,1.044354,0.867146,0.661546,0.444583,0.174051,-0.100252,-0.308273,-0.477628,-0.475711,-0.306401,-0.0642,0.189299,0.465888,0.713974,0.998148,1.053203,1.087618,1.151063,1.142009,1.147778,1.063528,0.758837,0.515527,0.219078,-0.052799,-0.314562,-0.484877,-0.438732,-0.482785,-0.618427,-0.672362,-0.778525,-0.82017,-0.825642,-0.773677,-0.715706,-0.669553,-0.589727,-0.593148,-0.653013,-0.727082,-0.793726,-0.827942,-0.808172,-0.772165,-0.671044,-0.572854,-0.493737,1
-0.473968,-0.421412,-0.179453,0.096681,0.408591,0.604354,0.775867,0.975618,1.042361,1.031389,0.87462,0.652351,0.491709,0.294504,0.018782,-0.262111,-0.391908,-0.427265,-0.301905,-0.10282,0.167843,0.46212,0.768227,1.047721,1.100397,0.996381,1.043606,1.03748,1.094337,1.123586,0.866433,0.58724,0.29669,0.012375,-0.25509,-0.444554,-0.46908,-0.572234,-0.741021,-0.822185,-0.828655,-0.921663,-0.902759,-0.749079,-0.652113,-0.576671,-0.465015,-0.515733,-0.582049,-0.694382,-0.799369,-0.921277,-0.948386,-0.804411,-0.691834,-0.545916,-0.406944,1
-0.409471,-0.314112,-0.07756,0.178881,0.434283,0.682538,0.889811,1.060567,1.011574,1.095961,0.990687,0.807007,0.595929,0.379359,0.140996,-0.09776,-0.33306,-0.442596,-0.310969,-0.094199,0.150671,0.39754,0.634397,0.861965,1.041498,1.0569,1.0078,1.027784,1.073226,0.962842,0.717494,0.499015,0.262627,0.030331,-0.204333,-0.38088,-0.727506,-0.72996,-0.729664,-0.729278,-0.72898,-0.728761,-0.728602,-0.728489,-0.728411,-0.728365,-0.728349,-0.728364,-0.728418,-0.72852,-0.72869,-0.728962,-0.729402,-0.730142,-0.731491,-0.73432,-0.742071,6
-0.252674,-0.227335,-0.030431,0.158006,0.422116,0.688199,0.874352,0.988031,0.923613,0.971826,0.830948,0.629023,0.397494,0.13803,-0.095546,-0.30149,-0.374556,-0.267717,-0.056469,0.165525,0.391578,0.613766,0.83796,1.046879,1.06862,0.950194,0.932751,1.075865,1.067161,0.971425,0.796374,0.563096,0.316682,0.076251,-0.140886,-0.269736,-0.749583,-0.754734,-0.755031,-0.754855,-0.75465,-0.754481,-0.754352,-0.754262,-0.754208,-0.75419,-0.75421,-0.754274,-0.754393,-0.754585,-0.754882,-0.755337,-0.756048,-0.757215,-0.759292,-0.763536,-0.774807,6
-0.298181,-0.270414,-0.120121,0.110379,0.330521,0.565987,0.819534,1.034605,1.05974,1.055424,0.968051,0.772757,0.550733,0.304563,0.079719,-0.143853,-0.333009,-0.369937,-0.235266,-0.022451,0.207703,0.441938,0.656088,0.893692,1.074736,1.113059,1.025264,1.019573,1.102689,1.007549,0.767345,0.539752,0.293172,0.057511,-0.155249,-0.282596,-0.736098,-0.740962,-0.741298,-0.741213,-0.741115,-0.741062,-0.741058,-0.741101,-0.741189,-0.741324,-0.741509,-0.741754,-0.742073,-0.742489,-0.74304,-0.743787,-0.744843,-0.746424,-0.749006,-0.753869,-0.765792,6
-0.329207,-0.280236,-0.060474,0.161705,0.424781,0.679991,0.902471,1.047302,0.956956,1.042356,0.986444,0.794948,0.572389,0.325078,0.092112,-0.136285,-0.347975,-0.410831,-0.251374,-0.037681,0.188766,0.433707,0.643988,0.891536,1.072028,1.097952,0.993681,0.980857,1.038376,0.976558,0.748584,0.529494,0.290016,0.054824,-0.165815,-0.329927,-0.738918,-0.742157,-0.741858,-0.741379,-0.74098,-0.740671,-0.740433,-0.740251,-0.740114,-0.740019,-0.739963,-0.739948,-0.739982,-0.740077,-0.740256,-0.740562,-0.741073,-0.741948,-0.743552,-0.746913,-0.756037,6
