@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute target {1,2}

@data
-0.241167,-0.374691,-0.408386,-0.401659,-0.395123,-0.420708,-0.437931,-0.444906,-0.437042,-0.41678,-0.368048,-0.318021,-0.252294,-0.222674,-0.163707,-0.068179,-0.000221,0.089818,0.106459,0.210392,0.496118,0.848574,1.059029,1.264688,1.564822,1.730973,1.737613,1.719401,1.757313,1.894571,1.970983,1.929688,1.913904,1.977216,1.786465,1.370484,1.188225,1.257306,1.22104,0.97552,0.697641,0.511907,0.400549,0.314115,0.273933,0.302193,0.333291,0.290933,0.171638,0.050954,0.007188,0.030089,0.077727,0.117716,0.157665,0.209188,0.263314,0.327696,0.397077,0.465013,0.51095,0.5055,0.460062,0.395192,0.328003,0.264537,0.209378,0.162176,0.116592,0.08786,0.081058,0.077867,0.090074,0.113796,0.149252,0.187002,0.213806,0.239537,0.276081,0.305138,0.323891,0.37065,0.390712,0.381746,0.344328,0.297714,0.2485,0.215019,0.198007,0.192115,0.227238,0.266039,0.303352,0.325706,0.30317,0.224526,0.15951,0.097365,0.045313,0.017327,-0.054572,-0.124025,-0.22921,-0.328817,-0.459694,-0.585148,-0.634046,-0.692388,-0.713515,-0.712262,-0.710769,-0.722544,-0.684358,-0.696052,-0.699654,-0.7016,-0.712212,-0.717726,-0.70334,-0.694858,-0.690902,-0.608847,-0.546866,-0.491777,-0.432223,-0.39299,-0.373874,-0.393965,-0.433174,-0.513054,-0.594154,-0.669099,-0.736133,-0.795373,-0.864836,-0.834713,-0.7635,-0.701161,-0.715456,-0.692593,-0.687088,-0.662787,-0.595462,-0.560139,-0.506179,-0.468315,-0.387642,-0.269448,-0.186218,-0.154346,-0.108284,-0.138415,-0.234685,-0.319019,-0.452568,-0.62544,-0.773923,-0.914256,-1.015001,-1.093133,-1.123666,-1.146112,-1.164786,-1.187636,-1.20895,2
-0.163194,-0.215575,-0.212927,-0.166048,-0.121376,-0.141754,-0.169665,-0.187829,-0.203367,-0.210754,-0.192371,-0.104672,0.054656,0.115645,0.194303,0.319648,0.344175,0.406103,0.444531,0.509283,0.661352,0.864524,0.983987,1.148184,1.421678,1.606212,1.680093,1.820683,2.11053,2.448412,2.560692,2.35345,2.084994,2.03185,1.900887,1.510618,1.277475,1.288698,1.197608,0.922461,0.678467,0.550044,0.488178,0.454794,0.441033,0.449648,0.451699,0.419343,0.312644,0.162552,0.062757,0.029996,0.018231,-0.011,-0.05958,-0.102675,-0.129599,-0.130924,-0.111541,-0.07252,-0.025104,0.017896,0.045457,0.062895,0.072837,0.075295,0.069785,0.038037,-0.01115,-0.046365,-0.064582,-0.078468,-0.08831,-0.088698,-0.076143,-0.058478,-0.036717,-0.016893,0.008478,0.041513,0.081379,0.109693,0.103714,0.082563,0.070505,0.060809,0.050353,0.034232,0.019045,0.022105,0.047749,0.088646,0.122406,0.144405,0.153199,0.14598,0.125481,0.095581,0.060555,0.023866,-0.011005,-0.024495,-0.080589,-0.189418,-0.293404,-0.388871,-0.452059,-0.495632,-0.528712,-0.548679,-0.562527,-0.568274,-0.578167,-0.581139,-0.587176,-0.592224,-0.590799,-0.587793,-0.593583,-0.596256,-0.592636,-0.599265,-0.602342,-0.60668,-0.613207,-0.630212,-0.651651,-0.677031,-0.704189,-0.731828,-0.741764,-0.752222,-0.74506,-0.734273,-0.708444,-0.694751,-0.673091,-0.64161,-0.639864,-0.639088,-0.636863,-0.632218,-0.638183,-0.636133,-0.638995,-0.632878,-0.617195,-0.60726,-0.591419,-0.569722,-0.556655,-0.550549,-0.553212,-0.563076,-0.578083,-0.59475,-0.612977,-0.62553,-0.633236,-0.635627,-0.638911,-0.640362,-0.642121,-0.645071,-0.657268,2
-0.362788,-0.425596,-0.417393,-0.35241,-0.272403,-0.240162,-0.274484,-0.317212,-0.348466,-0.372272,-0.387941,-0.362632,-0.26629,-0.17833,-0.046409,0.168515,0.437317,0.703437,0.811916,0.845566,0.897251,1.079402,1.217831,1.334372,1.558527,1.710432,1.796773,1.930711,2.122559,2.236481,2.167772,1.991789,1.824872,1.722933,1.43843,1.038848,0.914082,1.021198,1.055376,0.914844,0.735279,0.609725,0.546948,0.515647,0.475803,0.395751,0.287847,0.183658,0.066142,-0.058045,-0.11141,-0.097228,-0.051936,-0.006407,0.032933,0.080719,0.140627,0.200633,0.253622,0.297035,0.325,0.323218,0.291291,0.23942,0.186335,0.143692,0.109783,0.073207,0.034291,0.009073,-0.009946,-0.023094,-0.018648,0.011051,0.054035,0.097831,0.130997,0.158554,0.190428,0.221297,0.241799,0.273682,0.294544,0.29586,0.25881,0.209135,0.168569,0.142273,0.125933,0.131147,0.174367,0.235776,0.281141,0.300971,0.281652,0.209997,0.139247,0.070301,0.015725,-0.019937,-0.092372,-0.157652,-0.258953,-0.366037,-0.482854,-0.592098,-0.642035,-0.681389,-0.696954,-0.693118,-0.683105,-0.67781,-0.648902,-0.651568,-0.659229,-0.660539,-0.667002,-0.677159,-0.662452,-0.650253,-0.646447,-0.59321,-0.541875,-0.49032,-0.427759,-0.382805,-0.352427,-0.350202,-0.373378,-0.420726,-0.477067,-0.534408,-0.578348,-0.612083,-0.645651,-0.662142,-0.660497,-0.677604,-0.671189,-0.661942,-0.661101,-0.652439,-0.636852,-0.620747,-0.59023,-0.547995,-0.472837,-0.380393,-0.30062,-0.253105,-0.211502,-0.240137,-0.335791,-0.438314,-0.570803,-0.710532,-0.828348,-0.937055,-1.013347,-1.070158,-1.096055,-1.116425,-1.131667,-1.147923,-1.16666,2
-0.332717,-0.424023,-0.435281,-0.388788,-0.351362,-0.361246,-0.380265,-0.390839,-0.391872,-0.390078,-0.37272,-0.308723,-0.190325,-0.122477,-0.039384,0.088381,0.194414,0.315301,0.359999,0.440134,0.652894,0.940556,1.125172,1.305248,1.570462,1.720512,1.733229,1.76802,1.902523,2.067298,2.090867,1.971297,1.864436,1.855646,1.643681,1.242116,1.081096,1.161117,1.151351,0.944004,0.715102,0.561785,0.464867,0.395479,0.356792,0.350293,0.331465,0.264945,0.153294,0.041721,0.010684,0.047146,0.105725,0.155397,0.198235,0.246033,0.297093,0.357045,0.425775,0.488405,0.526267,0.520176,0.476771,0.411591,0.341435,0.2799,0.23022,0.178736,0.127944,0.098559,0.085726,0.074883,0.071273,0.085939,0.117993,0.154016,0.18493,0.209179,0.231766,0.2575,0.276662,0.296844,0.292652,0.269351,0.238366,0.204553,0.165673,0.123603,0.094536,0.088265,0.10381,0.130204,0.147509,0.148826,0.129401,0.086006,0.044142,0.000906,-0.040433,-0.076117,-0.152904,-0.222648,-0.335265,-0.449496,-0.562269,-0.664304,-0.728249,-0.778771,-0.809779,-0.823413,-0.831378,-0.834222,-0.82895,-0.835387,-0.846194,-0.851103,-0.847622,-0.836657,-0.822848,-0.807248,-0.785913,-0.742057,-0.710386,-0.674912,-0.63623,-0.616847,-0.613231,-0.612572,-0.629958,-0.653346,-0.672105,-0.67634,-0.686522,-0.668428,-0.608004,-0.618416,-0.623327,-0.599996,-0.627817,-0.641915,-0.640033,-0.624585,-0.596572,-0.542159,-0.478895,-0.389949,-0.261262,-0.148456,-0.051153,0.022515,0.06624,0.036706,-0.056715,-0.1737,-0.322333,-0.481701,-0.628317,-0.757062,-0.848272,-0.909645,-0.946695,-0.968423,-0.984368,-0.998231,-1.016403,2
-0.347036,-0.406659,-0.407615,-0.366864,-0.318185,-0.31743,-0.336753,-0.356404,-0.365584,-0.371856,-0.362149,-0.314001,-0.208948,-0.137057,-0.04072,0.116375,0.269601,0.440951,0.499484,0.558069,0.711327,0.954255,1.119158,1.278122,1.523049,1.666347,1.694035,1.74434,1.889128,2.034083,2.021875,1.884054,1.761351,1.73154,1.513981,1.124607,0.988799,1.090386,1.106453,0.929249,0.720031,0.581596,0.50414,0.455219,0.420749,0.397362,0.358459,0.288163,0.182182,0.077436,0.046046,0.084822,0.144423,0.196288,0.240686,0.291496,0.350727,0.418618,0.489494,0.553243,0.590738,0.582788,0.53478,0.464201,0.383268,0.314735,0.263731,0.21448,0.164167,0.13346,0.113223,0.095001,0.088725,0.097493,0.12555,0.159364,0.18584,0.207191,0.225856,0.245846,0.256124,0.269724,0.262377,0.239396,0.210365,0.180074,0.144371,0.102427,0.074655,0.064414,0.078183,0.101426,0.121973,0.124395,0.104636,0.063671,0.033235,-0.003298,-0.041485,-0.071961,-0.148227,-0.219397,-0.33144,-0.443696,-0.570867,-0.695631,-0.759074,-0.813937,-0.848094,-0.862229,-0.86636,-0.877146,-0.854691,-0.857311,-0.854656,-0.843263,-0.833362,-0.832994,-0.810766,-0.808364,-0.818445,-0.795548,-0.778958,-0.75932,-0.743959,-0.733803,-0.736324,-0.745416,-0.759482,-0.769462,-0.783392,-0.78261,-0.76576,-0.757916,-0.726864,-0.711331,-0.696674,-0.672026,-0.659522,-0.654386,-0.649963,-0.63051,-0.596933,-0.538125,-0.453556,-0.353939,-0.216106,-0.080852,0.034788,0.111419,0.180606,0.168787,0.08828,0.00013,-0.148373,-0.354928,-0.548951,-0.714382,-0.823136,-0.899129,-0.937049,-0.962686,-0.980093,-0.997824,-1.014438,2
-0.255165,-0.332367,-0.337931,-0.294505,-0.25912,-0.267002,-0.289718,-0.305185,-0.316351,-0.323092,-0.310957,-0.255561,-0.144905,-0.075739,0.016485,0.164294,0.306491,0.452826,0.500242,0.56663,0.754902,1.023612,1.208456,1.401823,1.686497,1.840735,1.847427,1.869593,1.997501,2.157401,2.16954,2.048705,1.936187,1.922295,1.690994,1.267375,1.092118,1.161981,1.145798,0.946725,0.733142,0.592224,0.505218,0.441033,0.399642,0.386315,0.360677,0.290488,0.168429,0.039198,-0.017759,-0.007399,0.023536,0.051744,0.075972,0.106394,0.136457,0.175531,0.222828,0.269461,0.302988,0.311432,0.289632,0.251546,0.207825,0.169457,0.136896,0.098137,0.05577,0.030471,0.019442,0.010204,0.004838,0.018272,0.048078,0.081712,0.112893,0.136596,0.162413,0.192359,0.215666,0.237432,0.236924,0.220785,0.197883,0.17295,0.14091,0.101776,0.071162,0.058287,0.069079,0.092027,0.11457,0.126647,0.11909,0.088291,0.056255,0.019542,-0.015316,-0.046933,-0.107759,-0.15928,-0.25059,-0.355716,-0.467187,-0.56689,-0.630073,-0.679466,-0.710638,-0.725632,-0.736234,-0.74323,-0.737791,-0.746805,-0.755644,-0.761699,-0.763897,-0.759653,-0.751371,-0.745025,-0.731498,-0.704843,-0.681369,-0.658528,-0.634526,-0.623992,-0.624833,-0.627034,-0.647112,-0.674756,-0.691622,-0.699752,-0.688892,-0.683565,-0.649776,-0.637922,-0.627409,-0.604034,-0.623434,-0.638373,-0.644824,-0.628118,-0.61247,-0.581013,-0.544847,-0.483847,-0.397112,-0.324312,-0.260201,-0.210119,-0.179102,-0.197097,-0.256502,-0.328589,-0.423423,-0.53172,-0.633115,-0.723392,-0.7862,-0.829121,-0.853127,-0.868238,-0.879233,-0.890177,-0.906403,2
-0.388054,-0.459833,-0.458863,-0.414629,-0.376082,-0.375785,-0.393993,-0.403311,-0.409849,-0.40943,-0.390606,-0.329296,-0.207901,-0.134818,-0.048219,0.085603,0.191861,0.309687,0.350314,0.424559,0.626752,0.909083,1.097131,1.286995,1.561906,1.717819,1.728991,1.756661,1.89895,2.079927,2.113883,1.989937,1.873779,1.867536,1.657795,1.241112,1.063728,1.13933,1.128318,0.922023,0.700935,0.556566,0.466359,0.40074,0.364181,0.359923,0.344839,0.280332,0.165199,0.052175,0.013621,0.049233,0.109297,0.163985,0.208657,0.260262,0.311119,0.371971,0.438589,0.499503,0.535764,0.532516,0.491322,0.427572,0.357126,0.293569,0.242821,0.188432,0.138612,0.108035,0.093403,0.085745,0.082093,0.09445,0.122377,0.156126,0.186661,0.209537,0.236115,0.265871,0.291512,0.304555,0.291703,0.26119,0.228485,0.191127,0.151908,0.113607,0.085404,0.082984,0.100016,0.130522,0.151784,0.15612,0.142536,0.102117,0.060379,0.017432,-0.023591,-0.065349,-0.133284,-0.193993,-0.298531,-0.421358,-0.536019,-0.642575,-0.714173,-0.759457,-0.791103,-0.804499,-0.810341,-0.80442,-0.798985,-0.798154,-0.804829,-0.807094,-0.801425,-0.794173,-0.792874,-0.788642,-0.772671,-0.749337,-0.724274,-0.701817,-0.685317,-0.669132,-0.664349,-0.661013,-0.669903,-0.680023,-0.687238,-0.707941,-0.704663,-0.678541,-0.644353,-0.666931,-0.668342,-0.641572,-0.669876,-0.671479,-0.663385,-0.639166,-0.609547,-0.554125,-0.494991,-0.403352,-0.269876,-0.153751,-0.053039,0.025108,0.066205,0.041834,-0.04784,-0.163162,-0.310891,-0.471582,-0.618274,-0.742948,-0.829027,-0.885558,-0.922068,-0.943327,-0.955818,-0.966574,-0.983231,2
-0.505224,-0.590439,-0.611896,-0.572742,-0.546898,-0.566608,-0.574998,-0.575827,-0.560471,-0.552018,-0.526204,-0.460235,-0.348411,-0.288632,-0.224331,-0.129671,-0.073654,-0.000492,0.019601,0.108085,0.351889,0.650633,0.834697,1.019812,1.269135,1.404825,1.401547,1.42094,1.541806,1.701257,1.744439,1.65138,1.578568,1.601381,1.427775,1.056971,0.919609,1.01945,1.028646,0.828239,0.59477,0.441917,0.342439,0.265533,0.226335,0.236846,0.23712,0.176514,0.079882,0.01485,0.04892,0.159317,0.281866,0.385798,0.478879,0.57643,0.678312,0.79102,0.904679,0.99244,1.030046,0.996198,0.89956,0.77382,0.642133,0.524719,0.434735,0.354693,0.287381,0.249822,0.236821,0.233004,0.233622,0.249429,0.283725,0.321013,0.344021,0.36327,0.382417,0.401814,0.410968,0.421291,0.404301,0.366656,0.315056,0.257228,0.20259,0.155757,0.136858,0.150262,0.18585,0.225719,0.233579,0.211159,0.167424,0.098024,0.033058,-0.02901,-0.083447,-0.139285,-0.241859,-0.343213,-0.480182,-0.610167,-0.72554,-0.82745,-0.894904,-0.942752,-0.969188,-0.978497,-0.979389,-0.965202,-0.955738,-0.955584,-0.964627,-0.966595,-0.95464,-0.93806,-0.939424,-0.922758,-0.889961,-0.839617,-0.793956,-0.744098,-0.689532,-0.657183,-0.629568,-0.607799,-0.605173,-0.609885,-0.605064,-0.586385,-0.566941,-0.551551,-0.516421,-0.541301,-0.535702,-0.512597,-0.549419,-0.568284,-0.558826,-0.517552,-0.464811,-0.369086,-0.263988,-0.11084,0.110363,0.293045,0.454396,0.580284,0.640605,0.581365,0.412452,0.195464,-0.074792,-0.350592,-0.592615,-0.797135,-0.942252,-1.038461,-1.102207,-1.138064,-1.162078,-1.179221,-1.20133,2
-0.378927,-0.440042,-0.435583,-0.378256,-0.317566,-0.3003,-0.316318,-0.337685,-0.351983,-0.364244,-0.364502,-0.323613,-0.223536,-0.14761,-0.040736,0.132616,0.322164,0.516156,0.587132,0.636351,0.748088,0.960787,1.117169,1.26982,1.518832,1.669026,1.711116,1.782327,1.943546,2.085427,2.061663,1.908246,1.77056,1.721888,1.483361,1.089836,0.951058,1.04757,1.065021,0.908272,0.719858,0.596313,0.523562,0.479034,0.442177,0.399108,0.340161,0.26082,0.154944,0.05019,0.015098,0.052126,0.118975,0.179438,0.231011,0.287588,0.352281,0.422647,0.493538,0.553762,0.585292,0.575579,0.524048,0.45014,0.369805,0.299429,0.242211,0.191598,0.144518,0.11305,0.093389,0.078024,0.073181,0.08441,0.111483,0.146405,0.175881,0.197208,0.217677,0.236833,0.253387,0.260286,0.248536,0.222592,0.194872,0.160673,0.123273,0.084012,0.055372,0.049537,0.066287,0.091547,0.110386,0.112042,0.099937,0.063453,0.029914,-0.009144,-0.049403,-0.091114,-0.161668,-0.223464,-0.331349,-0.453155,-0.571747,-0.685732,-0.759446,-0.808756,-0.842911,-0.855505,-0.860715,-0.85364,-0.843025,-0.837565,-0.843632,-0.842806,-0.832695,-0.821478,-0.821607,-0.818978,-0.81681,-0.812966,-0.800482,-0.788441,-0.774757,-0.764725,-0.764702,-0.76552,-0.770887,-0.766262,-0.755863,-0.75517,-0.737386,-0.709825,-0.665142,-0.667514,-0.663394,-0.628127,-0.645612,-0.638131,-0.633821,-0.616023,-0.58243,-0.519583,-0.452787,-0.348688,-0.200796,-0.070852,0.04066,0.129989,0.178588,0.15927,0.074206,-0.035389,-0.186753,-0.376591,-0.558252,-0.71038,-0.811317,-0.877809,-0.919706,-0.944707,-0.959239,-0.972158,-0.990205,2
-0.209798,-0.287156,-0.30119,-0.25448,-0.215825,-0.224982,-0.245267,-0.264458,-0.273585,-0.278478,-0.264557,-0.212773,-0.110908,-0.05031,0.04199,0.192643,0.331128,0.480086,0.518387,0.58117,0.772065,1.038231,1.225544,1.433419,1.724731,1.885836,1.891185,1.90064,2.021833,2.187082,2.203941,2.083693,1.976846,1.962393,1.730563,1.297404,1.119787,1.182254,1.152557,0.949674,0.736086,0.597673,0.511424,0.445265,0.402826,0.3927,0.374349,0.306745,0.178838,0.041019,-0.03101,-0.035632,-0.013918,0.003763,0.019475,0.039118,0.061948,0.090348,0.1301,0.172097,0.207018,0.219812,0.207266,0.181777,0.151564,0.122809,0.096537,0.059532,0.018392,-0.005378,-0.01597,-0.023922,-0.027945,-0.018604,0.00725,0.040937,0.071439,0.096097,0.121067,0.153487,0.179313,0.203079,0.203436,0.189119,0.171487,0.152842,0.124851,0.089564,0.059619,0.047673,0.05833,0.080642,0.101423,0.116053,0.113063,0.08924,0.062446,0.028857,-0.008881,-0.046579,-0.096979,-0.135633,-0.21632,-0.317047,-0.420088,-0.518804,-0.581242,-0.630527,-0.664592,-0.680896,-0.692919,-0.700915,-0.701333,-0.710331,-0.720298,-0.724034,-0.72134,-0.717952,-0.720409,-0.71758,-0.704705,-0.682284,-0.664521,-0.646736,-0.629124,-0.623091,-0.624323,-0.632174,-0.646392,-0.677089,-0.693299,-0.700702,-0.696999,-0.674476,-0.638983,-0.636838,-0.613171,-0.587672,-0.606779,-0.62436,-0.624994,-0.6156,-0.60392,-0.569407,-0.547087,-0.510392,-0.450177,-0.398168,-0.35117,-0.313195,-0.294059,-0.311412,-0.360391,-0.421182,-0.495852,-0.572002,-0.64099,-0.702587,-0.748731,-0.77876,-0.797585,-0.808642,-0.816791,-0.825507,-0.841718,2
