@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute target {1,2}

@data
-1.195272,-1.215977,-1.216486,-1.210557,-1.2076,-1.200417,-1.185124,-0.301022,-0.452478,0.480914,1.026832,1.103913,1.156615,1.188663,1.187503,1.253631,1.21969,1.20996,1.211711,1.209829,1.217492,1.228705,1.241899,1.279778,1.381317,-1.075359,-1.188956,-1.220068,-1.232442,-1.243686,-1.269993,-0.465301,-0.203714,0.123703,0.147251,0.177657,0.180195,0.172497,0.176894,0.177065,0.178796,0.179043,0.179175,0.179257,0.179283,0.182564,0.186474,0.186621,0.182365,0.182751,0.182889,0.18298,0.183055,0.183124,0.183196,0.183281,0.183405,0.179755,0.180669,0.179547,0.179929,0.180033,0.180085,0.180114,0.180129,0.180135,0.180132,0.180118,0.180081,0.184407,0.180181,0.180176,0.180307,0.182632,0.182712,0.187652,0.194936,0.181567,0.183437,0.183101,0.178843,0.177587,0.176841,0.176002,0.174908,0.173263,0.175543,0.170936,0.170542,0.159886,0.144124,0.109944,-0.710947,-0.77749,-0.792892,-0.80023,-0.804282,-0.806694,-0.808144,-0.808946,-0.809248,-0.809094,-0.808445,-0.807142,-0.804778,-0.800219,-0.789219,2
0.764763,0.76347,0.749964,0.752102,0.753855,0.756401,0.764506,0.772313,0.77772,0.785667,0.800911,0.830241,0.994742,-0.362409,0.006501,0.104881,0.156706,0.198626,0.216556,0.233209,0.221456,0.172755,0.822245,0.780484,0.78892,0.772329,0.758807,0.761339,0.764584,0.74801,0.768428,0.780149,0.806583,0.91793,-0.356553,-0.676608,-0.680621,-0.693167,-0.708765,-0.707631,-0.711854,-0.730203,-0.727238,-0.744647,-0.742003,-0.75705,-0.754846,-0.754251,-0.754463,-0.761987,-0.764248,-0.764388,-0.76427,-0.764092,-0.763913,-0.763766,-0.763698,-0.763816,-0.764584,-0.779716,-0.760448,-0.770806,-0.772609,-0.772796,-0.772559,-0.77174,-0.759414,-0.759115,-0.758814,-0.759613,-0.738322,-0.718211,-0.698527,-0.687861,-0.686651,-0.685649,-0.68459,-0.683647,-0.695093,-0.692085,-0.688785,-0.662799,-0.666847,-0.641863,-0.576826,0.591837,0.703885,0.731159,0.741861,0.728964,0.732231,0.734512,0.736242,0.737621,0.738764,0.739742,0.740601,0.741372,0.74208,0.742743,0.743373,0.743982,0.744578,0.745164,0.745737,0.746263,0.746594,2
0.294268,0.299312,0.326218,0.295869,0.299137,0.301194,0.303094,0.305184,0.30924,0.3044,0.307696,0.3093,0.310134,0.309611,0.305541,0.289474,-0.182998,-0.188479,-0.189462,-0.214873,-0.204552,-0.189127,-0.186199,-0.185165,-0.236266,0.396733,0.412244,0.425942,0.442439,0.463093,0.489548,0.524454,0.572448,0.642386,0.753062,0.944187,1.531599,5.409358,1.152748,-1.283637,-0.863085,-0.636105,-0.573612,-0.517025,-0.474869,-0.443348,-0.41911,-0.400186,-0.385929,-0.386442,-0.351573,-0.347048,-0.366527,-0.328957,-0.341665,-0.339546,-0.311383,-0.306609,-0.302489,-0.298775,-0.295494,-0.292917,-0.293273,-0.272536,-0.277568,-0.274492,-0.251068,-0.27914,-0.274172,-0.239762,-0.266102,-0.237432,-0.26557,-0.243306,-0.268466,-0.253515,-0.271872,-0.268545,-0.310855,-0.277055,-0.278311,-0.24386,-0.298669,-0.301791,-0.272458,-0.275816,-0.245685,-0.283198,-0.262159,-0.271851,-0.284252,-0.286617,-0.289112,-0.258134,-0.279409,-0.307209,-0.320794,-0.383047,0.407862,0.346684,0.329931,0.322138,0.291308,0.321706,0.320052,0.319981,0.320973,2
-0.778616,-0.777679,-0.778152,-0.774238,-0.772688,-0.770441,-0.768182,-0.764851,-0.759568,-0.751623,-0.738568,-0.713589,-0.6495,-0.23531,0.62693,0.574438,0.397185,0.247841,0.169933,0.091484,0.041282,-0.001832,-0.041757,-0.72656,-0.771444,-0.784525,-0.790872,-0.795084,-0.800065,-0.801179,-0.806877,-0.812294,-0.820241,-0.833726,-0.861888,-0.953109,0.422491,0.685071,0.709435,0.717455,0.721957,0.72535,0.726756,0.726869,0.717702,0.709743,0.700121,0.697623,0.694615,0.690984,0.683326,0.689931,0.68627,0.675536,0.673466,0.675273,0.677852,0.676017,0.669395,0.666297,0.666533,0.6644,0.666642,0.668415,0.670025,0.674376,0.674499,0.67487,0.676064,0.68319,0.685159,0.708702,0.74163,0.758547,0.76052,0.750423,0.749838,0.753366,0.752187,0.751243,0.7525,0.75515,0.759676,0.777276,0.807678,0.92784,-0.819191,-0.878366,-0.844496,-0.824908,-0.815309,-0.808599,-0.803823,-0.800243,-0.797444,-0.795177,-0.793287,-0.79167,-0.790254,-0.788986,-0.787827,-0.786745,-0.785714,-0.784713,-0.783722,-0.782724,-0.781717,2
-0.787388,-0.787682,-0.788129,-0.788759,-0.789617,-0.790769,-0.79232,-0.794447,-0.797573,-0.802787,-0.806783,-0.817588,-0.836166,-0.879839,-1.059397,0.777064,0.65949,0.41428,0.224073,0.107602,0.048236,0.000999,-0.020111,-0.011408,-0.781012,-0.807114,-0.789345,-0.781485,-0.777121,-0.774279,-0.772158,-0.770354,-0.768618,-0.76837,-0.765979,-0.76453,-0.789716,0.087656,0.613151,0.648991,0.675805,0.690466,0.708416,0.716322,0.724647,0.721029,0.717575,0.71762,0.711469,0.710771,0.704811,0.703402,0.701786,0.697738,0.694776,0.692788,0.693286,0.69195,0.690787,0.693692,0.691884,0.689645,0.687744,0.688176,0.688462,0.688752,0.690208,0.692626,0.693388,0.695142,0.703162,0.700315,0.707761,0.722098,0.760024,0.771047,0.76264,0.750841,0.745641,0.738444,0.732663,0.731975,0.735116,0.733299,0.745662,0.753231,0.770159,0.818849,-1.050087,-0.880343,-0.836344,-0.818156,-0.808417,-0.802417,-0.798386,-0.795516,-0.793392,-0.791776,-0.790525,-0.789549,-0.788788,-0.788201,-0.787761,-0.787452,-0.787262,-0.787187,-0.787227,2
0.315369,0.317389,0.303196,0.302816,0.299812,0.295915,0.291189,0.28544,0.278286,0.269063,0.256555,0.238298,0.208421,0.148436,-0.049918,1.380475,-0.100493,-0.204476,-0.285101,-0.295368,-0.269388,-0.326565,-0.352718,-0.408374,0.517624,0.389851,0.358738,0.340534,0.326049,0.312226,0.297255,0.279347,0.256131,0.226576,0.068532,-0.02758,-0.859834,4.190301,-0.221792,-0.185524,-0.151091,-0.138989,-0.188977,-0.237667,-0.228171,-0.247044,-0.228904,-0.245814,-0.252714,-0.2801,-0.287827,-0.26444,-0.270396,-0.242029,-0.244395,-0.277578,-0.276758,-0.27775,-0.278806,-0.279491,-0.27893,-0.263461,-0.290503,-0.279856,-0.296946,-0.293013,-0.27354,-0.27413,-0.274809,-0.275663,-0.276599,-0.277552,-0.278385,-0.27833,-0.311367,-0.319932,-0.270386,-0.310527,-0.304542,-0.309688,-0.326395,-0.331384,-0.333966,-0.336267,-0.338496,-0.339857,-0.376392,-0.356923,-0.363145,-0.40977,-0.510265,0.443533,0.381286,0.361662,0.351783,0.345587,0.341149,0.337666,0.334746,0.332174,0.32982,0.327598,0.325452,0.323341,0.321239,0.31914,0.31709,2
0.726906,0.727747,0.725753,0.743314,0.730701,0.709414,0.729125,0.730928,0.727393,0.721223,0.710571,0.683769,0.635411,0.348619,0.14223,0.332922,0.376323,0.402691,0.413157,0.410253,0.425751,0.438968,0.438853,0.723481,0.736568,0.738754,0.736716,0.751898,0.752501,0.748211,0.743499,0.716948,0.71934,0.703254,0.620026,-0.425686,-0.525182,-0.636168,-0.650536,-0.675739,-0.694657,-0.678485,-0.681955,-0.684037,-0.685634,-0.702468,-0.702456,-0.714773,-0.715082,-0.715286,-0.713997,-0.730652,-0.730603,-0.730438,-0.729517,-0.747848,-0.746218,-0.74584,-0.745649,-0.745413,-0.744501,-0.747379,-0.746242,-0.745962,-0.745778,-0.745607,-0.74543,-0.745236,-0.744992,-0.763803,-0.746082,-0.762622,-0.723004,-0.695362,-0.656342,-0.658077,-0.63925,-0.655183,-0.658121,-0.654535,-0.651451,-0.648726,-0.627085,-0.618246,-0.604311,-0.583988,-0.480289,0.30038,0.604675,0.664369,0.686999,0.718278,0.725087,0.730087,0.733716,0.736415,0.738463,0.740039,0.741258,0.742198,0.742914,0.743441,0.743808,0.744035,0.744142,0.744165,0.744234,2
0.798475,0.799802,0.815235,0.814553,0.805088,0.803329,0.815005,0.811624,0.834313,0.840809,0.8542,0.88678,1.037335,-0.092324,0.279697,0.430322,0.463711,0.486579,0.500803,0.517288,0.510812,0.484337,0.877241,0.826537,0.817695,0.813907,0.811774,0.810291,0.809007,0.807606,0.805703,0.802463,0.793327,0.774594,0.754639,0.029722,-0.656035,-0.630843,-0.63173,-0.648606,-0.645999,-0.665151,-0.675831,-0.6758,-0.67556,-0.69174,-0.689541,-0.687643,-0.707014,-0.705136,-0.704486,-0.70409,-0.703782,-0.703508,-0.703246,-0.70298,-0.702698,-0.702386,-0.702021,-0.701558,-0.700876,-0.699477,-0.71734,-0.709822,-0.70346,-0.701822,-0.699736,-0.718839,-0.716695,-0.715819,-0.715203,-0.714672,-0.714173,-0.713717,-0.713989,-0.692133,-0.636259,-0.616627,-0.588242,-0.567124,-0.567308,-0.566411,-0.565104,-0.563354,-0.560715,-0.546027,-0.542476,-0.537566,-0.530238,-0.517855,-0.492475,-0.415917,0.602099,0.726424,0.753326,0.76441,0.79013,0.78109,0.784917,0.787511,0.789577,0.791292,0.792762,0.79406,0.795239,0.796339,0.7974,2
-0.889585,-0.890097,-0.89086,-0.891913,-0.893321,-0.895185,-0.897659,-0.90099,-0.905583,-0.912153,-0.922061,-0.938233,-0.968167,-1.037779,-1.319195,1.548373,1.393424,1.34699,1.328324,1.322504,1.326328,1.342329,1.383672,1.520266,-1.274477,-1.032152,-0.965159,-0.937066,-0.922527,-0.914324,-0.909787,-0.907916,-0.908688,-0.913353,-0.926942,-0.978258,-0.224973,0.362103,0.399362,0.406969,0.412547,0.420519,0.425372,0.432418,0.435467,0.441381,0.442741,0.447988,0.450538,0.451999,0.452561,0.456356,0.457537,0.460284,0.461442,0.46562,0.46836,0.470036,0.471626,0.473485,0.476289,0.475817,0.481092,0.481293,0.478253,0.479839,0.481089,0.485372,0.486107,0.484792,0.485379,0.485106,0.486478,0.482397,0.481864,0.483617,0.476242,0.455909,0.412254,0.382941,0.36217,0.33404,0.314614,0.310187,0.310656,0.311249,0.310396,0.312402,0.310761,0.313971,0.316425,0.319271,0.324423,0.331829,0.342793,-1.086326,-0.942563,-0.914005,-0.90294,-0.897324,-0.894058,-0.892021,-0.890717,-0.889899,-0.889433,-0.889247,-0.889303,2
-0.98447,-1.160646,-0.684743,-0.141008,0.916539,1.248459,1.262504,1.307851,1.393711,1.414632,1.408529,1.413654,1.39932,1.431493,1.4891,1.401191,0.984299,-1.451744,-1.25286,-1.185971,-1.201975,-0.802466,-0.154787,0.136629,0.198971,0.246718,0.306559,0.310874,0.310032,0.316,0.319195,0.317679,0.316494,0.317174,0.31818,0.31905,0.318167,0.321087,0.321176,0.319067,0.321471,0.321056,0.32172,0.321653,0.321014,0.320978,0.32386,0.320828,0.323944,0.325423,0.325234,0.326899,0.327671,0.327452,0.328715,0.327411,0.330462,0.332371,0.328455,0.331901,0.331427,0.331999,0.33298,0.332051,0.335016,0.33458,0.334384,0.334264,0.337556,0.320101,0.346168,0.395455,0.262958,-0.010061,-0.959215,-0.762606,-0.698449,-0.740591,-0.737917,-0.723849,-0.724964,-0.723818,-0.722816,-0.721853,-0.721451,-0.720398,-0.720124,-0.719158,-0.718728,-0.718064,-0.71737,-0.717088,-0.716094,-0.715856,-0.71475,-0.714206,-0.713269,-0.712302,-0.711556,-0.710042,-0.709073,-0.707443,-0.707845,-0.699677,-0.691756,-0.709179,-0.689556,1
