@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute target {1,2}

@data
1.80776,1.30225,1.100948,0.955543,0.831094,0.718451,0.614202,0.518933,0.435426,0.359171,0.290054,0.227943,0.176593,0.134462,0.098037,0.063188,0.03775,0.022634,0.007599,-0.007464,-0.008138,0.013536,0.06744,0.17331,0.368271,0.759939,1.339305,1.328868,0.642826,0.198616,0.04252,0.029384,0.102073,0.225013,0.284188,0.14872,-0.047656,-0.166982,-0.219381,-0.242781,-0.260515,-0.279058,-0.298062,-0.321705,-0.346183,-0.362537,-0.370375,-0.378439,-0.392342,-0.404652,-0.409595,-0.412256,-0.41247,-0.411228,-0.406749,-0.399688,-0.391896,-0.385756,-0.380902,-0.375499,-0.369748,-0.363835,-0.358745,-0.354138,-0.347521,-0.336015,-0.318311,-0.295386,-0.27507,-0.27865,-0.296471,-0.306534,-0.308247,-0.304846,-0.295782,-0.283129,-0.273127,-0.265042,-0.25995,-0.262151,-0.275371,-0.293485,-0.309095,-0.319232,-0.319847,-0.310718,-0.273389,-0.217119,-0.18766,-0.190499,-0.207749,-0.209371,-0.197014,-0.184453,-0.179971,-0.191065,-0.210637,-0.239067,-0.266362,-0.267714,-0.231678,-0.2074,-0.275098,-0.335525,-0.364343,-0.374219,-0.369024,-0.375956,-0.39346,-0.398663,-0.391575,-0.379973,-0.363435,-0.346223,-0.330445,-0.310351,-0.283385,-0.25084,-0.21873,-0.172834,-0.111887,-0.044439,0.043492,0.136656,0.252475,0.387037,0.54589,0.733273,0.9491,1.199319,1.444275,1.715699,1.926352,2.1045,2.172637,2.210302,2.074145,1.925514,1.804414,1.591375,1.357496,1.106693,0.869745,0.580935,0.381213,0.161947,-0.063544,-0.240677,-0.390882,-0.552274,-0.666979,-0.776854,-0.889316,-0.972214,-1.049826,-1.124103,-1.178297,-1.22963,-1.273607,-1.31895,-1.356746,-1.39887,-1.449454,-1.543997,1
1.806476,1.300461,1.099354,0.952247,0.828166,0.716027,0.612818,0.516611,0.433096,0.357506,0.287609,0.2264,0.174232,0.131534,0.094831,0.061324,0.035217,0.020166,0.004581,-0.010509,-0.011718,0.010172,0.065012,0.173773,0.373833,0.772789,1.362682,1.352501,0.654524,0.201466,0.042808,0.028356,0.103158,0.230189,0.290766,0.151964,-0.049157,-0.170126,-0.223866,-0.247598,-0.264514,-0.281871,-0.300362,-0.324556,-0.349451,-0.365838,-0.37417,-0.382686,-0.396931,-0.408815,-0.414235,-0.416996,-0.41854,-0.417793,-0.414209,-0.406763,-0.399433,-0.393209,-0.387825,-0.382373,-0.376413,-0.369941,-0.365155,-0.360345,-0.354124,-0.342527,-0.3252,-0.300531,-0.278114,-0.281957,-0.299666,-0.310737,-0.312724,-0.308015,-0.298098,-0.284592,-0.27336,-0.265156,-0.260086,-0.262759,-0.276937,-0.295174,-0.310492,-0.320285,-0.32096,-0.311369,-0.273398,-0.215811,-0.185293,-0.187347,-0.203266,-0.202994,-0.18981,-0.176163,-0.169509,-0.179386,-0.198953,-0.228532,-0.257175,-0.259039,-0.223503,-0.199235,-0.268702,-0.330607,-0.362055,-0.373108,-0.368735,-0.37557,-0.394775,-0.400287,-0.393219,-0.382046,-0.365541,-0.347398,-0.329211,-0.305611,-0.273439,-0.235923,-0.202612,-0.155213,-0.093354,-0.026868,0.061443,0.154348,0.268896,0.402021,0.557595,0.740031,0.954498,1.200375,1.442357,1.705982,1.917933,2.096787,2.16358,2.202911,2.07051,1.918011,1.800203,1.58646,1.352427,1.102942,0.865279,0.574876,0.37261,0.152281,-0.074131,-0.251055,-0.399569,-0.558339,-0.672086,-0.780635,-0.891518,-0.973091,-1.049503,-1.12374,-1.178425,-1.229794,-1.274181,-1.319169,-1.35698,-1.39909,-1.449641,-1.544113,1
1.803947,1.298266,1.096773,0.950687,0.825943,0.714931,0.610512,0.516062,0.431732,0.356266,0.286127,0.223932,0.173328,0.131095,0.093952,0.060086,0.034805,0.019776,0.005431,-0.009616,-0.009305,0.013212,0.070093,0.179725,0.380645,0.78191,1.375821,1.366322,0.662701,0.205937,0.045622,0.031203,0.107757,0.2351,0.297982,0.158886,-0.04442,-0.167127,-0.220997,-0.244953,-0.262766,-0.281073,-0.30095,-0.325047,-0.349725,-0.366565,-0.374696,-0.382804,-0.396954,-0.410246,-0.415599,-0.418496,-0.419119,-0.418442,-0.414386,-0.407252,-0.399741,-0.393927,-0.388827,-0.383838,-0.377718,-0.37089,-0.365672,-0.360814,-0.353661,-0.341176,-0.322079,-0.298906,-0.278196,-0.28152,-0.30018,-0.311146,-0.312871,-0.308147,-0.297334,-0.284064,-0.273058,-0.264304,-0.259214,-0.261881,-0.276042,-0.294628,-0.310367,-0.320033,-0.320172,-0.310514,-0.271692,-0.213963,-0.183,-0.185392,-0.201639,-0.201529,-0.187785,-0.173598,-0.166834,-0.176894,-0.196712,-0.227122,-0.255773,-0.257614,-0.221792,-0.196962,-0.267446,-0.330328,-0.362827,-0.37422,-0.369087,-0.376696,-0.395205,-0.400855,-0.393792,-0.383158,-0.367011,-0.34885,-0.330231,-0.306102,-0.274045,-0.237794,-0.203938,-0.157665,-0.095659,-0.02698,0.059889,0.152658,0.266973,0.399838,0.555525,0.738659,0.95175,1.197003,1.438662,1.704276,1.914766,2.091521,2.159142,2.198981,2.066585,1.914689,1.799104,1.58689,1.351761,1.100427,0.864131,0.572073,0.37053,0.149693,-0.077442,-0.253793,-0.402485,-0.561501,-0.674465,-0.783193,-0.894216,-0.975047,-1.051923,-1.125819,-1.180804,-1.232197,-1.276569,-1.321473,-1.359329,-1.401503,-1.452154,-1.54653,1
1.799287,1.296835,1.096387,0.952002,0.828266,0.715508,0.613633,0.519111,0.434617,0.357644,0.289101,0.227239,0.176685,0.133678,0.096869,0.061886,0.035277,0.018964,0.002421,-0.014002,-0.017377,0.000157,0.050631,0.14961,0.332753,0.698784,1.24704,1.247164,0.595397,0.172552,0.023317,0.008507,0.075764,0.191176,0.245755,0.118497,-0.067208,-0.178681,-0.226564,-0.247227,-0.261608,-0.278497,-0.297066,-0.321994,-0.347601,-0.364746,-0.373066,-0.381079,-0.394256,-0.405846,-0.410161,-0.412034,-0.413477,-0.412166,-0.408832,-0.402535,-0.395227,-0.389021,-0.383973,-0.378997,-0.373197,-0.36811,-0.363434,-0.359912,-0.355164,-0.345842,-0.329645,-0.3066,-0.286783,-0.289771,-0.306276,-0.31584,-0.316665,-0.311488,-0.301806,-0.289711,-0.27845,-0.270939,-0.266292,-0.268727,-0.281473,-0.298202,-0.311951,-0.321763,-0.322092,-0.313708,-0.280076,-0.226647,-0.198546,-0.19969,-0.213784,-0.213114,-0.199574,-0.186532,-0.180387,-0.189877,-0.208336,-0.237187,-0.264071,-0.265135,-0.231441,-0.207644,-0.270791,-0.326721,-0.356149,-0.367428,-0.362698,-0.368591,-0.385078,-0.388441,-0.380685,-0.369103,-0.351949,-0.333472,-0.31515,-0.290368,-0.258089,-0.219411,-0.184123,-0.135981,-0.072761,-0.002868,0.087235,0.180741,0.296872,0.430818,0.587048,0.769966,0.982905,1.229533,1.471734,1.73917,1.950614,2.124884,2.189704,2.227343,2.089693,1.934223,1.812814,1.599397,1.362283,1.109659,0.873001,0.579501,0.376396,0.155696,-0.072019,-0.249117,-0.397408,-0.556244,-0.668827,-0.776361,-0.88605,-0.966043,-1.041403,-1.11506,-1.168672,-1.219565,-1.263303,-1.30882,-1.346341,-1.388185,-1.438438,-1.532908,1
1.80119,1.29886,1.099136,0.953037,0.829633,0.718359,0.61507,0.520728,0.436435,0.359687,0.290702,0.229673,0.177879,0.134883,0.097153,0.063053,0.03632,0.019572,0.002786,-0.014035,-0.0172,0.000142,0.049204,0.147632,0.33013,0.694289,1.241452,1.239215,0.592488,0.170533,0.022048,0.006789,0.073547,0.188367,0.243925,0.115735,-0.068323,-0.179598,-0.227863,-0.248183,-0.262601,-0.278722,-0.297683,-0.322073,-0.347175,-0.364314,-0.373149,-0.380304,-0.393818,-0.404809,-0.410487,-0.412033,-0.412638,-0.411818,-0.40822,-0.402126,-0.395042,-0.388494,-0.383667,-0.378756,-0.373006,-0.367051,-0.363467,-0.359936,-0.354827,-0.345539,-0.32983,-0.30731,-0.287254,-0.289521,-0.306437,-0.315545,-0.316368,-0.311184,-0.301829,-0.289211,-0.279189,-0.270943,-0.266804,-0.26946,-0.282188,-0.298742,-0.312878,-0.321745,-0.322907,-0.314393,-0.280421,-0.228328,-0.199589,-0.200954,-0.215357,-0.214284,-0.201203,-0.188172,-0.182068,-0.191371,-0.210034,-0.23764,-0.264869,-0.265925,-0.232251,-0.208433,-0.271775,-0.32726,-0.355806,-0.367237,-0.36248,-0.368184,-0.383765,-0.387325,-0.379252,-0.368123,-0.350585,-0.333006,-0.314113,-0.289254,-0.256843,-0.218847,-0.182947,-0.134627,-0.072744,-0.002938,0.087867,0.182001,0.297292,0.431091,0.587757,0.771779,0.984114,1.231131,1.475152,1.741028,1.949137,2.125871,2.190712,2.229282,2.091154,1.933229,1.813092,1.600339,1.362877,1.109414,0.873076,0.579172,0.377308,0.15522,-0.072661,-0.249622,-0.398265,-0.556641,-0.669185,-0.776337,-0.886106,-0.966057,-1.041185,-1.113865,-1.16784,-1.218684,-1.262801,-1.308274,-1.345733,-1.387022,-1.437675,-1.53209,1
1.801234,1.298049,1.098809,0.953929,0.830759,0.719297,0.615261,0.522156,0.438493,0.362053,0.291498,0.23074,0.179116,0.136265,0.0979,0.063622,0.036879,0.019756,0.002872,-0.013932,-0.016562,0.000116,0.048712,0.146551,0.327811,0.691248,1.23537,1.235451,0.587388,0.167406,0.019815,0.004722,0.07198,0.186196,0.24123,0.11335,-0.071066,-0.181507,-0.230076,-0.2506,-0.264501,-0.280885,-0.29863,-0.322139,-0.346977,-0.364517,-0.372964,-0.380968,-0.393984,-0.405001,-0.409776,-0.411552,-0.41299,-0.411994,-0.408691,-0.40251,-0.395673,-0.38988,-0.384278,-0.379362,-0.373637,-0.368218,-0.364018,-0.360557,-0.355384,-0.346088,-0.330391,-0.307888,-0.287766,-0.290703,-0.307018,-0.316537,-0.317296,-0.312573,-0.302857,-0.290686,-0.280159,-0.272127,-0.267997,-0.27118,-0.283508,-0.299905,-0.314558,-0.32306,-0.324424,-0.315489,-0.281361,-0.229333,-0.20084,-0.202526,-0.216856,-0.216134,-0.202592,-0.189327,-0.183118,-0.193293,-0.210982,-0.23893,-0.265875,-0.267346,-0.233512,-0.209344,-0.27199,-0.326998,-0.355908,-0.366044,-0.361364,-0.367069,-0.382132,-0.385955,-0.378199,-0.367055,-0.349312,-0.330883,-0.312204,-0.28703,-0.254624,-0.216951,-0.18116,-0.132669,-0.070985,-0.001628,0.088049,0.181785,0.296958,0.430496,0.586882,0.770179,0.982376,1.229649,1.471609,1.739445,1.951924,2.127659,2.195932,2.236582,2.092646,1.93398,1.815919,1.603336,1.363803,1.110962,0.875206,0.581695,0.378589,0.157165,-0.07124,-0.249027,-0.396862,-0.555723,-0.667984,-0.774888,-0.884395,-0.964131,-1.038766,-1.112176,-1.16561,-1.216296,-1.260216,-1.305095,-1.342525,-1.384253,-1.4344,-1.528702,1
1.698475,1.213242,1.023938,0.888864,0.773487,0.668968,0.570851,0.481375,0.404156,0.333964,0.269091,0.213233,0.166787,0.128589,0.095341,0.064705,0.042499,0.030841,0.018664,0.006937,0.009904,0.035411,0.099106,0.22106,0.438859,0.861406,1.466788,1.451506,0.730975,0.25716,0.088128,0.074265,0.154245,0.284098,0.338174,0.188114,-0.019568,-0.145962,-0.202602,-0.22633,-0.244162,-0.263569,-0.284717,-0.312129,-0.339399,-0.35784,-0.366111,-0.374562,-0.388233,-0.399954,-0.405274,-0.407816,-0.408892,-0.408373,-0.40484,-0.398391,-0.391338,-0.384795,-0.379793,-0.374444,-0.368896,-0.363826,-0.359888,-0.355629,-0.349513,-0.33815,-0.319378,-0.293062,-0.271267,-0.275704,-0.295019,-0.305876,-0.307676,-0.301728,-0.29101,-0.278362,-0.268368,-0.260439,-0.257263,-0.261705,-0.277037,-0.295416,-0.311605,-0.322045,-0.322962,-0.311635,-0.272117,-0.213095,-0.180825,-0.182508,-0.196275,-0.195951,-0.182589,-0.170517,-0.166452,-0.181029,-0.203093,-0.235554,-0.266391,-0.266365,-0.229856,-0.205217,-0.279906,-0.341604,-0.375453,-0.390754,-0.386595,-0.394389,-0.414751,-0.422,-0.414974,-0.408665,-0.392319,-0.375705,-0.358144,-0.336875,-0.310085,-0.272459,-0.234614,-0.186888,-0.12461,-0.054916,0.034704,0.127035,0.243352,0.377757,0.536923,0.724673,0.941488,1.196996,1.448126,1.727003,1.943674,2.127894,2.186275,2.232193,2.073054,1.909859,1.791489,1.571045,1.325811,1.064391,0.827731,0.528394,0.332085,0.115668,-0.10891,-0.279339,-0.41837,-0.574982,-0.681353,-0.785161,-0.895138,-0.971941,-1.046049,-1.118463,-1.16952,-1.218787,-1.260579,-1.305329,-1.340527,-1.380481,-1.429492,-1.520316,1
1.696818,1.214159,1.024586,0.888576,0.772618,0.668872,0.57162,0.481522,0.403584,0.333505,0.269051,0.212893,0.165955,0.128406,0.09489,0.064726,0.042857,0.030699,0.018024,0.006246,0.008675,0.035198,0.099101,0.220731,0.438615,0.859909,1.465878,1.449596,0.730607,0.257146,0.088339,0.074091,0.153922,0.282762,0.33679,0.188572,-0.019426,-0.145301,-0.201648,-0.226209,-0.243341,-0.263645,-0.285307,-0.311993,-0.339276,-0.357781,-0.366714,-0.374841,-0.388323,-0.400599,-0.405424,-0.407455,-0.40896,-0.408717,-0.404738,-0.398199,-0.390595,-0.384454,-0.379167,-0.374231,-0.368634,-0.363579,-0.359233,-0.355305,-0.349079,-0.33719,-0.318766,-0.292514,-0.270161,-0.275003,-0.293928,-0.305214,-0.306463,-0.300892,-0.290815,-0.277869,-0.267307,-0.260136,-0.256103,-0.260639,-0.275563,-0.293999,-0.310164,-0.320943,-0.321663,-0.310775,-0.271488,-0.2115,-0.179608,-0.181673,-0.195778,-0.195641,-0.181793,-0.169956,-0.166399,-0.180759,-0.202952,-0.234957,-0.265304,-0.265752,-0.22961,-0.205397,-0.279847,-0.34141,-0.375307,-0.39018,-0.386089,-0.394706,-0.414747,-0.421692,-0.415847,-0.408857,-0.392524,-0.375808,-0.358204,-0.336885,-0.309924,-0.271686,-0.234708,-0.186516,-0.124229,-0.055001,0.034545,0.127551,0.244119,0.379343,0.537619,0.72556,0.943513,1.198174,1.448761,1.726518,1.944582,2.127754,2.188785,2.230655,2.071489,1.910121,1.789592,1.569645,1.325554,1.063964,0.827284,0.526824,0.330765,0.113281,-0.109649,-0.280143,-0.419746,-0.576491,-0.68255,-0.786506,-0.89629,-0.97275,-1.046701,-1.119203,-1.170474,-1.219819,-1.262057,-1.306502,-1.341755,-1.381743,-1.430808,-1.52134,1
1.699771,1.215801,1.024596,0.88915,0.774004,0.66991,0.572098,0.482672,0.404524,0.334078,0.270034,0.213576,0.167503,0.129241,0.095574,0.065013,0.042931,0.031702,0.019,0.006827,0.008553,0.035829,0.099011,0.219509,0.436665,0.856134,1.462728,1.44463,0.725661,0.25488,0.087413,0.073992,0.152386,0.28122,0.335318,0.185931,-0.02092,-0.146051,-0.201889,-0.226134,-0.243628,-0.263505,-0.283997,-0.311162,-0.338897,-0.357376,-0.366276,-0.374767,-0.388458,-0.399854,-0.404746,-0.407347,-0.408839,-0.408096,-0.404077,-0.39704,-0.389997,-0.384247,-0.379153,-0.374219,-0.368459,-0.36339,-0.359261,-0.355689,-0.349151,-0.338159,-0.31895,-0.292679,-0.2709,-0.275344,-0.294664,-0.305521,-0.307302,-0.301794,-0.291413,-0.278508,-0.267531,-0.26028,-0.257101,-0.261294,-0.276569,-0.295105,-0.311188,-0.32144,-0.321951,-0.311497,-0.272438,-0.212945,-0.181029,-0.182615,-0.197064,-0.196703,-0.183278,-0.171153,-0.167619,-0.181236,-0.203737,-0.236068,-0.266325,-0.267204,-0.230874,-0.206317,-0.28043,-0.342225,-0.375483,-0.390512,-0.386709,-0.394193,-0.415905,-0.422365,-0.415608,-0.406992,-0.391527,-0.375033,-0.358919,-0.336458,-0.30854,-0.270644,-0.235327,-0.186938,-0.122879,-0.054835,0.035494,0.128051,0.244224,0.379362,0.537744,0.725901,0.943481,1.199064,1.450933,1.729153,1.94568,2.13125,2.191602,2.232604,2.073345,1.909684,1.7875,1.570864,1.326636,1.061775,0.828215,0.525512,0.331597,0.115752,-0.110319,-0.280094,-0.418165,-0.575484,-0.681551,-0.784637,-0.894982,-0.972459,-1.04596,-1.118283,-1.169109,-1.219053,-1.261061,-1.305967,-1.341105,-1.38084,-1.429414,-1.520859,1
1.749216,1.254982,1.059623,0.919565,0.800293,0.692994,0.592157,0.501279,0.419523,0.346515,0.281172,0.221945,0.171985,0.131471,0.096131,0.064277,0.04023,0.026573,0.011775,-0.001949,-0.001585,0.020928,0.077614,0.187825,0.389332,0.786299,1.366261,1.354651,0.666764,0.219014,0.061709,0.048789,0.126074,0.250297,0.306868,0.168404,-0.028332,-0.14743,-0.201139,-0.224913,-0.24158,-0.260633,-0.28034,-0.306321,-0.334716,-0.355932,-0.367229,-0.377185,-0.3917,-0.404277,-0.409992,-0.41299,-0.415387,-0.415227,-0.412117,-0.404865,-0.397655,-0.391319,-0.38497,-0.379092,-0.372548,-0.366529,-0.361748,-0.358052,-0.351831,-0.340929,-0.322938,-0.297903,-0.276573,-0.280625,-0.298709,-0.309576,-0.311502,-0.307208,-0.297582,-0.285659,-0.275954,-0.268096,-0.26303,-0.266132,-0.280566,-0.299599,-0.315167,-0.324591,-0.324151,-0.313733,-0.276057,-0.219852,-0.189401,-0.190708,-0.204287,-0.203598,-0.190056,-0.177214,-0.172267,-0.18593,-0.206929,-0.238539,-0.268732,-0.270561,-0.236075,-0.212435,-0.281117,-0.341833,-0.372323,-0.384344,-0.380102,-0.387921,-0.406269,-0.412153,-0.404279,-0.393582,-0.377735,-0.359832,-0.341734,-0.317507,-0.283721,-0.246137,-0.212588,-0.165138,-0.100707,-0.033326,0.056353,0.150564,0.266272,0.400704,0.559436,0.746627,0.962484,1.213149,1.461077,1.733044,1.944899,2.122269,2.189207,2.226668,2.081039,1.924512,1.799245,1.579494,1.339407,1.082969,0.844513,0.550508,0.3498,0.132162,-0.092381,-0.264632,-0.408002,-0.564316,-0.673453,-0.778594,-0.888108,-0.9676,-1.043619,-1.117635,-1.170955,-1.221691,-1.26481,-1.309736,-1.34613,-1.386952,-1.436659,-1.528873,1
