@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute target {1,2}

@data
1.781622,1.641665,1.513937,1.394362,1.282035,1.174689,1.070514,0.87394,0.780636,0.693672,0.614408,0.539674,0.403794,0.341741,0.286483,0.238472,0.196802,0.160114,0.092627,0.062733,0.042804,-0.012001,-0.016077,-0.00566,0.021063,0.06998,0.151962,0.27516,0.464034,0.772936,1.259841,1.84458,2.060177,1.562854,0.866693,0.387488,0.141997,0.041898,0.029216,0.078133,0.176873,0.301883,0.393376,0.361218,0.19499,-0.004754,-0.156487,-0.249792,-0.30052,-0.32815,-0.418737,-0.488489,-0.504341,-0.527894,-0.565487,-0.57364,-0.574546,-0.567299,-0.538764,-0.484865,-0.475806,-0.462218,-0.444554,-0.39926,-0.38069,-0.379784,-0.411942,-0.42236,-0.425983,-0.41466,-0.38069,-0.364384,-0.358949,-0.358043,-0.363478,-0.426436,-0.43776,-0.442289,-0.44093,-0.43323,-0.409678,-0.360308,-0.304597,-0.269268,-0.251151,-0.259303,-0.277421,-0.286932,-0.283762,-0.247527,-0.243904,-0.252509,-0.26655,-0.287385,-0.366649,-0.36982,-0.345814,-0.302785,-0.283309,-0.341738,-0.407866,-0.462218,-0.493018,-0.509776,-0.514306,-0.508418,-0.508871,-0.53967,-0.54737,-0.54737,-0.514306,-0.446366,-0.425983,-0.400619,-0.30822,-0.267909,-0.218539,-0.157846,-0.084923,-0.026948,0.145621,0.376617,0.506157,0.651549,0.815964,1.000309,1.205489,1.426974,1.675182,2.15937,2.42796,2.637669,2.857343,2.990506,3.119592,3.098304,2.94793,2.807067,2.622722,2.518547,2.316991,2.100488,1.861339,1.614036,1.376698,1.145701,0.85854,0.653361,0.455881,0.004305,-0.345361,-0.492112,-0.651092,-0.800561,-1.012987,-1.109463,-1.220884,-1.384847,-1.522539,-1.575533,-1.670196,-1.782977,-1.837329,-1.860882,-1.918857,1
1.77975,1.638856,1.512006,1.391952,1.277787,1.170418,0.967005,0.871415,0.690654,0.61092,0.467307,0.400711,0.339552,0.284734,0.235807,0.193674,0.122095,0.060935,0.039642,-0.016081,-0.020611,-0.010644,0.016538,0.066372,0.149277,0.27658,0.470479,0.784432,1.281411,1.876699,2.096421,1.590834,0.882287,0.393463,0.143841,0.041908,0.027864,0.07815,0.17963,0.308745,0.402523,0.369452,0.199111,-0.005661,-0.159693,-0.254377,-0.306476,-0.335017,-0.422,-0.493127,-0.508983,-0.5339,-0.561535,-0.571502,-0.580562,-0.583734,-0.577391,-0.549303,-0.494033,-0.484972,-0.454166,-0.405238,-0.384851,-0.383945,-0.416564,-0.42789,-0.432873,-0.431967,-0.418376,-0.381227,-0.372166,-0.359028,-0.358575,-0.364465,-0.413845,-0.439215,-0.443746,-0.442387,-0.434232,-0.410674,-0.359934,-0.302852,-0.266156,-0.247582,-0.25483,-0.271593,-0.2802,-0.274764,-0.246676,-0.23535,-0.22946,-0.236256,-0.2503,-0.271139,-0.354045,-0.357669,-0.334111,-0.291526,-0.272046,-0.331846,-0.400254,-0.455978,-0.489502,-0.507171,-0.51306,-0.508077,-0.508983,-0.522121,-0.541148,-0.549303,-0.549756,-0.517137,-0.443746,-0.419735,-0.389382,-0.28609,-0.244863,-0.19367,-0.132058,-0.060478,-0.00249,0.17057,0.399352,0.527561,0.67072,0.831095,1.010496,1.214362,1.433631,1.677364,2.154409,2.414905,2.625113,2.848006,2.979386,3.10533,3.089474,2.795907,2.613787,2.51276,2.310707,2.092344,1.8545,1.608502,1.370206,1.139158,0.850122,0.642179,0.443297,-0.010191,-0.187328,-0.359481,-0.504452,-0.660296,-0.808439,-1.018647,-1.114237,-1.223872,-1.385605,-1.521969,-1.575427,-1.670564,-1.78337,-1.861292,-1.91928,1
1.776492,1.63626,1.508282,1.388472,1.166551,1.063533,0.965053,0.775354,0.689127,0.6088,0.535281,0.398679,0.336959,0.281139,0.233941,0.154975,0.087809,0.059218,0.038796,-0.014755,-0.017932,-0.006586,0.021097,0.072833,0.157698,0.285223,0.479914,0.79623,1.295438,1.89494,2.117315,1.607669,0.893349,0.400495,0.149076,0.045604,0.031535,0.083725,0.186289,0.315629,0.411387,0.380526,0.208981,0.002036,-0.154533,-0.25029,-0.30248,-0.331071,-0.402776,-0.422744,-0.493541,-0.509878,-0.533931,-0.573414,-0.582036,-0.584759,-0.577952,-0.556168,-0.493541,-0.48401,-0.469034,-0.385076,-0.383715,-0.417298,-0.428644,-0.433182,-0.432274,-0.427282,-0.417752,-0.392338,-0.371462,-0.357847,-0.356939,-0.363293,-0.413213,-0.439082,-0.443166,-0.441351,-0.433182,-0.408675,-0.357393,-0.300211,-0.262997,-0.244391,-0.252106,-0.269351,-0.27752,-0.272528,-0.231683,-0.225784,-0.233045,-0.24666,-0.267989,-0.351947,-0.355578,-0.331979,-0.288865,-0.268897,-0.32971,-0.398691,-0.455419,-0.48991,-0.508971,-0.514416,-0.508517,-0.508971,-0.5421,-0.550269,-0.550722,-0.519409,-0.444981,-0.420475,-0.390068,-0.287958,-0.24666,-0.197193,-0.135473,-0.061045,-0.002502,0.16859,0.396864,0.524843,0.667344,0.828452,1.00862,1.21148,1.429316,1.672566,2.149536,2.412301,2.621514,2.841166,2.971867,3.099846,3.083962,2.791699,2.608353,2.510781,2.310644,2.092354,1.852735,1.604946,1.36805,1.137507,0.846605,0.639207,0.440431,-0.014755,-0.192201,-0.363293,-0.508517,-0.665086,-0.812579,-1.022247,-1.11755,-1.227375,-1.388483,-1.525085,-1.57909,-1.673939,-1.713876,-1.786488,-1.840947,-1.864546,-1.922635,1
1.77408,1.63514,1.50789,1.388734,1.277222,1.066788,0.966517,0.872091,0.694032,0.613545,0.46786,0.402661,0.285754,0.238541,0.158504,0.090607,0.06138,0.039348,-0.020905,-0.02675,-0.020905,0.002027,0.047891,0.124331,0.23989,0.4175,0.705722,1.162562,1.716975,1.931906,1.465623,0.802396,0.346006,0.111741,0.015517,0.001128,0.045643,0.13782,0.255178,0.340161,0.309135,0.153108,-0.035743,-0.17873,-0.265062,-0.311376,-0.336556,-0.365783,-0.417492,-0.490784,-0.507421,-0.531702,-0.567224,-0.57172,-0.576217,-0.569922,-0.537547,-0.487637,-0.476396,-0.460208,-0.414794,-0.396808,-0.395459,-0.425586,-0.435478,-0.437276,-0.423337,-0.379272,-0.367581,-0.367132,-0.372527,-0.417492,-0.441323,-0.44582,-0.444021,-0.436827,-0.416143,-0.370729,-0.317671,-0.283947,-0.266411,-0.272256,-0.287095,-0.294289,-0.288893,-0.250224,-0.244828,-0.251573,-0.264613,-0.284397,-0.363535,-0.366232,-0.3442,-0.303282,-0.283947,-0.338354,-0.399956,-0.450316,-0.481342,-0.499327,-0.505173,-0.499777,-0.499327,-0.528105,-0.53395,-0.532601,-0.498878,-0.423787,-0.398607,-0.368031,-0.261015,-0.217849,-0.16659,-0.103639,-0.027649,0.031704,0.122083,0.206616,0.324873,0.438633,0.567681,0.711568,0.872541,1.052399,1.25429,1.473267,1.717874,2.196297,2.461138,2.671572,2.890999,3.017799,3.140553,3.122567,2.969687,2.821754,2.632903,2.529934,2.328493,2.108167,1.866707,1.617603,1.379741,1.149523,0.856803,0.647269,0.448975,-0.006966,-0.184576,-0.35679,-0.501576,-0.657603,-0.805536,-1.013722,-1.107248,-1.216062,-1.375237,-1.440435,-1.510131,-1.562739,-1.656265,-1.769126,-1.823084,-1.846465,-1.904919,1
1.776502,1.637654,1.510938,1.39231,1.279075,1.06923,0.874662,0.782546,0.696271,0.616287,0.540797,0.47025,0.404645,0.343983,0.289163,0.240633,0.1602,0.092349,0.062692,0.040674,-0.020887,-0.026728,-0.020438,0.00203,0.046515,0.121556,0.237038,0.414081,0.700765,1.155504,1.708651,1.919844,1.455668,0.797824,0.342635,0.109424,0.013713,-0.001116,0.04292,0.134587,0.251417,0.337243,0.307137,0.149865,-0.037513,-0.179507,-0.266231,-0.312963,-0.337677,-0.398788,-0.41811,-0.490006,-0.506631,-0.530896,-0.556509,-0.565945,-0.574033,-0.574932,-0.569091,-0.542579,-0.487309,-0.476076,-0.460349,-0.415863,-0.39744,-0.395193,-0.425749,-0.435185,-0.43878,-0.436983,-0.423502,-0.389352,-0.372726,-0.368232,-0.373625,-0.41811,-0.441476,-0.445071,-0.437881,-0.416762,-0.371378,-0.319703,-0.285553,-0.267579,-0.273869,-0.289147,-0.296337,-0.290495,-0.252301,-0.246909,-0.2532,-0.26668,-0.286451,-0.364638,-0.367334,-0.345316,-0.304425,-0.285103,-0.339924,-0.401035,-0.450912,-0.481019,-0.498543,-0.504834,-0.499442,-0.498992,-0.526403,-0.532244,-0.531346,-0.497644,-0.422154,-0.396991,-0.366435,-0.25949,-0.215454,-0.164678,-0.103118,-0.027627,0.032136,0.123354,0.209179,0.439245,0.568207,0.711549,0.873764,1.05485,1.257057,1.474541,1.719885,2.200686,2.463105,2.669805,2.888637,3.019397,3.142518,3.125892,2.822133,2.630262,2.530058,2.329649,2.10857,1.86727,1.617433,1.380178,1.149663,0.856688,0.648641,0.450029,-0.007856,-0.184899,-0.357448,-0.502587,-0.658061,-0.805897,-1.013495,-1.107409,-1.216151,-1.37477,-1.508676,-1.561699,-1.655163,-1.768399,-1.821871,-1.844788,-1.903652,1
1.776937,1.63661,1.51063,1.392272,1.28019,1.173488,0.97174,0.782546,0.697812,0.618458,0.544036,0.405951,0.345427,0.290731,0.242311,0.162061,0.093018,0.063877,0.041461,-0.020857,-0.026237,-0.019512,0.002008,0.045944,0.120366,0.235138,0.410883,0.696467,1.150623,1.700721,1.913677,1.451451,0.791513,0.337805,0.106917,0.010974,-0.00382,0.041012,0.132471,0.248588,0.33377,0.303284,0.146369,-0.04148,-0.182703,-0.268782,-0.315856,-0.340963,-0.369656,-0.41942,-0.489807,-0.506844,-0.531502,-0.566023,-0.573196,-0.575886,-0.56961,-0.538675,-0.488014,-0.461114,-0.41673,-0.398349,-0.397004,-0.426593,-0.436456,-0.440043,-0.43825,-0.4248,-0.381312,-0.369656,-0.370104,-0.375932,-0.388485,-0.433766,-0.443181,-0.447665,-0.447216,-0.439595,-0.418075,-0.372794,-0.321236,-0.287612,-0.26923,-0.275955,-0.291198,-0.298372,-0.292992,-0.253987,-0.248607,-0.256229,-0.26923,-0.28806,-0.366069,-0.369207,-0.347239,-0.305993,-0.286267,-0.340066,-0.401487,-0.450803,-0.481289,-0.498774,-0.503257,-0.497877,-0.497429,-0.524329,-0.530605,-0.52926,-0.496084,-0.41942,-0.393865,-0.362931,-0.257125,-0.213189,-0.16208,-0.100659,-0.024892,0.033391,0.123505,0.208687,0.438679,0.567349,0.710365,0.872212,1.052439,1.252842,1.472522,1.717757,2.196123,2.461533,2.673143,2.890582,3.021494,3.150164,3.134921,2.97442,2.821092,2.635036,2.535058,2.334656,2.113631,1.619574,1.382857,1.152865,0.860107,0.650738,0.45168,-0.005614,-0.1836,-0.356654,-0.501016,-0.657482,-0.804533,-1.011661,-1.105361,-1.213856,-1.372116,-1.436675,-1.506166,-1.55862,-1.651872,-1.763954,-1.818202,-1.841067,-1.899349,1
1.65842,1.523814,1.403071,1.29306,1.189757,0.994779,0.811876,0.723778,0.642388,0.569047,0.500626,0.374069,0.317722,0.268531,0.225152,0.154048,0.093676,0.068186,0.050745,0.008262,0.007814,0.021678,0.052534,0.110223,0.205029,0.345896,0.556973,0.893713,1.412909,2.022439,2.24246,1.720581,0.988519,0.478266,0.213525,0.104856,0.09144,0.146446,0.252879,0.384355,0.473794,0.430416,0.249301,0.037777,-0.121873,-0.221598,-0.276603,-0.305671,-0.379011,-0.400477,-0.479631,-0.497519,-0.522562,-0.559232,-0.567729,-0.570412,-0.564598,-0.537766,-0.493494,-0.479184,-0.46532,-0.446538,-0.39511,-0.375434,-0.374987,-0.410315,-0.421495,-0.425967,-0.425073,-0.408974,-0.365595,-0.354863,-0.356651,-0.363807,-0.429992,-0.441619,-0.446538,-0.445197,-0.435358,-0.409421,-0.357993,-0.29941,-0.260504,-0.241275,-0.247982,-0.262293,-0.271237,-0.265423,-0.228753,-0.225623,-0.254243,-0.277497,-0.367384,-0.369173,-0.345024,-0.301199,-0.281969,-0.415682,-0.471581,-0.50691,-0.529717,-0.538661,-0.533742,-0.534189,-0.569965,-0.579803,-0.582039,-0.567281,-0.555207,-0.503779,-0.463532,-0.409421,-0.33295,-0.290019,-0.239039,-0.176878,-0.099513,-0.042719,0.047168,0.129899,0.249301,0.362889,0.492129,0.637916,0.802484,0.987177,1.193335,1.416039,1.670047,2.164201,2.441016,2.656118,2.887766,3.020137,3.0738,3.14401,3.128358,2.951268,2.793855,2.595299,2.498257,2.290757,2.062687,1.813151,1.555565,1.084666,0.786385,0.582463,0.390168,-0.06016,-0.396899,-0.532847,-0.687578,-0.830234,-1.027448,-1.120018,-1.229134,-1.383864,-1.516234,-1.565873,-1.656654,-1.766218,-1.817646,-1.878912,-1.895011,1
1.656518,1.524463,1.404942,1.293927,1.089801,0.90179,0.724971,0.642605,0.568296,0.435345,0.374018,0.317167,0.267926,0.224057,0.154225,0.093793,0.068277,0.051267,0.007398,0.006502,0.019932,0.052162,0.110356,0.204361,0.345369,0.556657,0.892838,1.410314,2.020453,2.238903,1.718293,0.987738,0.477872,0.213762,0.104984,0.091107,0.145272,0.252259,0.382523,0.471157,0.429526,0.250021,0.038285,-0.121972,-0.220453,-0.275066,-0.30461,-0.379815,-0.401301,-0.479639,-0.497545,-0.523061,-0.560215,-0.567825,-0.570959,-0.564692,-0.531566,-0.487249,-0.477849,-0.445618,-0.394139,-0.373995,-0.373995,-0.408911,-0.42055,-0.424579,-0.417417,-0.372652,-0.364595,-0.353404,-0.355194,-0.362356,-0.42816,-0.440246,-0.444723,-0.44338,-0.433979,-0.408464,-0.356985,-0.297448,-0.258951,-0.239702,-0.246864,-0.261636,-0.270142,-0.26477,-0.237464,-0.228063,-0.225377,-0.237016,-0.254027,-0.277304,-0.365938,-0.368176,-0.344003,-0.301029,-0.282228,-0.415178,-0.471134,-0.506498,-0.529775,-0.537833,-0.532909,-0.534252,-0.570063,-0.579464,-0.581702,-0.567825,-0.554396,-0.503812,-0.463524,-0.408911,-0.332812,-0.290286,-0.238359,-0.176136,-0.099142,-0.042739,0.047238,0.130947,0.250021,0.36417,0.494434,0.639471,0.803309,0.988186,1.194997,1.419267,1.672186,2.16549,2.441238,2.657898,2.888435,3.02049,3.076893,3.143144,3.125239,2.948867,2.793982,2.59478,2.495403,2.288144,2.062084,1.812746,1.554903,1.083982,0.784508,0.58083,0.388343,-0.06154,-0.398168,-0.534699,-0.689584,-0.832383,-1.029346,-1.122008,-1.230786,-1.385223,-1.517278,-1.566967,-1.658286,-1.767959,-1.819438,-1.840925,-1.896433,1
1.660256,1.527434,1.40624,1.29399,1.190237,0.9957,0.813685,0.725585,0.644192,0.569955,0.436239,0.375418,0.318623,0.268982,0.22605,0.188484,0.123639,0.069079,0.051638,0.008258,0.006469,0.019886,0.052979,0.110669,0.203689,0.343666,0.554303,0.888369,1.404898,2.015788,2.232686,1.71079,0.980942,0.473805,0.211739,0.103961,0.090992,0.14421,0.249752,0.380338,0.46978,0.4264,0.246174,0.035538,-0.123669,-0.221608,-0.275721,-0.30479,-0.399598,-0.479202,-0.49709,-0.523029,-0.549861,-0.559253,-0.569091,-0.570433,-0.563725,-0.536892,-0.487252,-0.465338,-0.446108,-0.394679,-0.375002,-0.374555,-0.409884,-0.421064,-0.425537,-0.424642,-0.409437,-0.373213,-0.365163,-0.354877,-0.356219,-0.363374,-0.429561,-0.441189,-0.445214,-0.443872,-0.434928,-0.409884,-0.358455,-0.299423,-0.260963,-0.241733,-0.248441,-0.263646,-0.271696,-0.266329,-0.23905,-0.229658,-0.226975,-0.237708,-0.254702,-0.278404,-0.367399,-0.370082,-0.345933,-0.302554,-0.283323,-0.416592,-0.472494,-0.507376,-0.528842,-0.538234,-0.534209,-0.549414,-0.57088,-0.579824,-0.58206,-0.554333,-0.486357,-0.437164,-0.406754,-0.333411,-0.290926,-0.238602,-0.174651,-0.09952,-0.042724,0.04806,0.131241,0.250646,0.364238,0.494376,0.639273,0.803399,0.988545,1.195603,1.418762,1.672778,2.168734,2.444217,2.658878,2.892322,3.025591,3.081045,3.144996,3.128449,2.951801,2.795277,2.592243,2.492515,2.288587,2.064534,1.813202,1.552031,1.085589,0.783275,0.580688,0.391518,-0.061507,-0.397362,-0.53242,-0.687602,-0.831157,-1.027483,-1.118266,-1.228727,-1.38391,-1.515837,-1.565477,-1.656708,-1.766722,-1.839171,-1.895519,1
1.716077,1.579077,1.455553,1.340114,1.129,1.030181,0.841076,0.752588,0.66949,0.591782,0.452986,0.390999,0.332606,0.279153,0.232439,0.192462,0.124186,0.065793,0.046928,-0.004279,-0.006974,0.003807,0.031656,0.083311,0.167308,0.296222,0.491615,0.80604,1.297442,1.882273,2.096532,1.598392,0.899919,0.417051,0.169104,0.068488,0.055911,0.108914,0.211776,0.337547,0.426933,0.391448,0.222557,0.022223,-0.12915,-0.22258,-0.274684,-0.303432,-0.394166,-0.473671,-0.494333,-0.526225,-0.565303,-0.574287,-0.579677,-0.574736,-0.515444,-0.49074,-0.469179,-0.451212,-0.402251,-0.382937,-0.382487,-0.415278,-0.426507,-0.430999,-0.43055,-0.417973,-0.37575,-0.363173,-0.362724,-0.369461,-0.420218,-0.445822,-0.448966,-0.44672,-0.437736,-0.413481,-0.364071,-0.308373,-0.271989,-0.253124,-0.259412,-0.273786,-0.280973,-0.275583,-0.237403,-0.23336,-0.24414,-0.26076,-0.28277,-0.37036,-0.373953,-0.351494,-0.30972,-0.290855,-0.350596,-0.416625,-0.471425,-0.503766,-0.522182,-0.52892,-0.523979,-0.525326,-0.557667,-0.565753,-0.5671,-0.535208,-0.461543,-0.436838,-0.404946,-0.332629,-0.300288,-0.258514,-0.207308,-0.143075,-0.06941,-0.011915,0.07837,0.163714,0.282297,0.395491,0.524854,0.669939,0.834339,1.018502,1.223777,1.445222,1.694067,2.183223,2.451832,2.662497,2.88529,3.014654,3.14222,3.119312,2.958506,2.809379,2.61713,2.509776,2.301806,2.078564,1.833762,1.580874,1.341462,1.108787,0.815922,0.608401,0.413009,-0.037069,-0.377546,-0.51769,-0.672208,-0.815496,-1.017627,-1.110607,-1.219308,-1.378317,-1.514419,-1.566973,-1.659953,-1.771349,-1.823903,-1.846362,-1.902958,1
