@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3}

@data
-1.249255,-1.238725,-1.005893,-0.73983,-0.421513,-0.091544,0.120179,0.394022,0.477562,0.527359,0.378051,0.276361,0.204683,0.021506,-0.136185,-0.293034,-0.41575,-0.378414,-0.426921,-0.30905,-0.315799,-0.406717,-0.456682,-0.548228,-0.512263,-0.663248,-0.693428,-0.468921,-0.159659,0.205186,0.433633,0.792358,1.154436,1.481556,1.433183,1.309612,1.232485,1.286977,1.311289,1.298714,1.242462,1.360164,1.419015,1.523808,1.206162,0.764357,0.376542,0.000213,-0.321793,-0.638098,-0.259085,-0.176006,-0.405627,-0.613535,-0.791095,-1.129364,-1.480627,2
-1.183006,-1.152788,-0.978513,-0.690172,-0.330362,-0.008213,0.232662,0.489409,0.631622,0.637054,0.605128,0.466496,0.347257,0.146746,-0.027576,-0.363982,-0.574621,-0.68521,-0.656124,-0.540767,-0.492149,-0.540767,-0.552785,-0.869865,-0.780762,-0.868469,-0.624468,-0.293913,0.034517,0.420428,0.695323,0.806702,1.192248,1.531422,1.434428,1.432547,1.394065,1.54866,1.565412,1.706714,1.691115,1.47983,1.220533,0.810283,0.605067,0.661576,0.306742,-0.062537,-0.449236,-0.722918,-0.241653,-0.307752,-0.535972,-0.806558,-0.909075,-1.150831,-1.472281,2
-1.182491,-1.050934,-0.929709,-0.666014,-0.429123,-0.144813,0.061873,0.268911,0.565186,0.597679,0.525362,0.473573,0.313662,0.173046,-0.011147,-0.20395,-0.369053,-0.555355,-0.690897,-0.707158,-0.724401,-0.63144,-0.558009,-0.878096,-0.761674,-0.576161,-0.32449,-0.014344,0.272694,0.6063,0.903485,1.241314,1.602486,1.619965,1.558146,1.405947,1.426592,1.429994,1.472399,1.564715,1.688762,1.78753,1.55451,1.154335,0.758676,0.444189,0.040554,-0.282848,-0.612818,-0.677568,-0.364724,-0.554108,-0.735633,-0.968653,-1.126248,-1.382224,-1.522599,2
-1.279158,-1.278114,-1.04964,-0.768571,-0.479061,-0.182181,0.085132,0.366511,0.568107,0.556685,0.488408,0.345074,0.183257,-0.00793,-0.219268,-0.342591,-0.396265,-0.33598,-0.355476,-0.33598,-0.36023,-0.320789,-0.358036,-0.97011,-0.951937,-0.830743,-0.6404,-0.325318,0.003661,0.35689,0.678442,1.043655,1.332349,1.50705,1.483644,1.270233,1.255942,1.419503,1.492478,1.553863,1.536702,1.582389,1.462095,1.174752,0.821579,0.47302,0.077536,-0.232819,-0.490961,-0.805311,0.084569,-0.108306,-0.277437,-0.609004,-0.867202,-1.172607,-1.376003,2
-1.288103,-1.252217,-1.016247,-0.750988,-0.610919,-0.300108,-0.019628,0.320659,0.528814,0.498797,0.486221,0.450201,0.306888,0.187446,-0.038861,-0.160181,-0.390165,-0.391212,-0.398837,-0.427403,-0.472642,-0.479186,-0.502459,-0.952087,-0.84818,-0.63405,-0.378608,-0.056473,0.254109,0.618808,0.880567,0.674005,0.850123,1.231609,1.486368,1.566945,1.412905,1.433846,1.442381,1.504578,1.507594,1.550272,1.508504,1.095209,0.802438,0.439105,0.046068,-0.280789,-0.627791,-0.775343,-0.001219,-0.119011,-0.271457,-0.552165,-0.817907,-1.123653,-1.42644,2
-1.25514,-1.214406,-1.038426,-0.756446,-0.59175,-0.297452,0.009165,0.313848,0.320867,0.324352,0.252234,0.214993,0.203677,0.109739,-0.00566,-0.119579,-0.159637,-0.198835,-0.175177,-0.167467,-0.232471,-0.180119,-0.28776,-0.77552,-0.958478,-1.014005,-0.864516,-0.548494,-0.231803,0.123943,0.477636,0.847229,1.206221,1.4766,1.514891,1.37328,1.305721,1.395959,1.472732,1.548121,1.660942,1.794102,1.535612,1.147877,0.784396,0.378041,-0.031704,-0.370644,-0.698699,-0.927778,0.052565,0.026305,-0.160472,-0.446129,-0.773133,-1.081182,-1.376722,3
-1.116973,-1.183241,-1.11552,-0.893913,-0.622523,-0.385504,-0.104227,0.133201,0.3857,0.428048,0.416342,0.32694,0.256836,0.096876,-0.08436,-0.235807,-0.273907,-0.292328,-0.287168,-0.355521,-0.339677,-0.3407,-0.411281,-0.6736,-0.750159,-0.769253,-0.570673,-0.306353,-0.0554,0.278795,0.561253,0.876536,1.218687,1.411039,1.402219,1.373941,1.388762,1.400673,1.498463,1.454819,1.427678,1.601845,1.407175,1.207594,0.848122,0.493469,0.139316,-0.18856,-0.459562,-0.692785,-0.160419,-0.078813,-0.306763,-0.38073,-0.605042,-0.881545,-1.113313,3
-1.289348,-1.26785,-1.083179,-0.874733,-0.568505,-0.248827,0.065433,0.336469,0.509865,0.538855,0.516542,0.374584,0.255724,0.107208,-0.048247,-0.186046,-0.283354,-0.331307,-0.312202,-0.299655,-0.304859,-0.315339,-0.37686,-0.865846,-0.971542,-0.913989,-0.691714,-0.427142,-0.113856,0.213925,0.553778,0.857701,1.203494,1.485841,1.478618,1.440788,1.440122,1.372827,1.448297,1.460225,1.524099,1.581034,1.511838,1.179779,0.788647,0.429452,-0.008825,-0.360749,-0.633353,-0.870409,-0.034108,0.01912,-0.175923,-0.55603,-0.787002,-1.052715,-1.355118,3
-1.088969,-1.205784,-1.116093,-0.88397,-0.609655,-0.311885,-0.045523,0.24316,0.417299,0.512194,0.510469,0.433244,0.330313,0.167134,-0.034436,-0.126029,-0.239562,-0.255445,-0.296823,-0.351875,-0.332164,-0.369146,-0.395463,-0.896528,-1.105924,-1.045802,-0.791136,-0.475422,-0.12159,0.244064,0.583255,0.901577,1.210854,1.539401,1.565065,1.518659,1.613659,1.482644,1.425215,1.364799,1.51361,1.725026,1.544323,1.184937,0.825594,0.422916,0.028946,-0.33877,-0.668873,-0.945796,-0.139303,-0.189327,-0.43701,-0.72504,-0.850627,-0.875113,-0.990266,3
-1.345397,-1.283036,-1.075604,-0.795965,-0.472293,-0.187735,-0.001122,0.284688,0.459673,0.480966,0.517728,0.456437,0.317761,0.14105,-0.047441,-0.179509,-0.250234,-0.344835,-0.293447,-0.297114,-0.310447,-0.25278,-0.179235,-0.484741,-0.807744,-0.96739,-0.955654,-0.733487,-0.419502,-0.073717,0.296877,0.650126,0.99617,1.354122,1.523865,1.475842,1.540908,1.538233,1.535213,1.589147,1.644678,1.550012,1.375696,1.063178,0.768049,0.378901,-0.006752,-0.326907,-0.670319,-0.907286,-0.048562,-0.037128,-0.073502,-0.459888,-0.702421,-1.006827,-1.283403,3
-1.300058,-1.262899,-1.057902,-0.756903,-0.548223,-0.3644,-0.093785,0.222913,0.404226,0.500926,0.553239,0.480053,0.393569,0.253891,0.061415,-0.14896,-0.323082,-0.320079,-0.360019,-0.402248,-0.351256,-0.35894,-0.400663,-0.916771,-1.120564,-0.985774,-0.749307,-0.429924,-0.085132,0.28247,0.652581,0.985748,1.340755,1.573435,1.688277,1.480477,1.384834,1.537458,1.548731,1.659611,1.56203,1.241501,1.054794,1.114109,0.782484,0.411359,0.066215,-0.297996,-0.657803,-0.927207,-0.105476,-0.017935,-0.141232,-0.490295,-0.785019,-1.011182,-1.286883,3
-1.207023,-1.251445,-1.119613,-0.848793,-0.553475,-0.262682,-0.043474,0.163161,0.357023,0.442184,0.463096,0.411546,0.319287,0.130242,-0.046467,-0.144912,-0.22345,-0.283831,-0.314833,-0.3233,-0.37724,-0.456379,-0.499316,-1.06311,-1.032746,-0.815819,-0.592068,-0.259634,0.071485,0.403736,0.805949,1.129988,1.441766,1.55866,1.711793,1.58468,1.540083,1.641613,1.60322,1.59479,1.686757,1.501618,1.225423,0.881493,0.558841,0.208561,-0.137814,-0.450723,-0.749982,-0.945523,-0.146098,-0.083838,-0.224161,-0.431015,-0.714911,-0.95961,-1.204017,3
-1.207495,-1.111377,-0.963302,-0.699175,-0.427967,-0.17146,0.069742,0.40507,0.568779,0.529082,0.541037,0.413764,0.314204,0.093711,-0.109749,-0.257133,-0.369266,-0.516789,-0.49736,-0.53124,-0.600642,-0.580446,-0.658935,-0.870613,-0.729333,-0.596627,-0.328799,-0.000294,0.306355,0.665411,1.015893,1.317713,1.533556,1.624905,1.534221,1.467385,1.522085,1.682383,1.627803,1.554809,1.50681,1.316082,0.977555,0.773544,0.454276,0.47897,0.131688,-0.255986,-0.613351,-0.865179,-0.334958,-0.530395,-0.59548,-0.763023,-0.985206,-1.187285,-1.301027,2
-1.176482,-1.058974,-0.836815,-0.599706,-0.347041,-0.239664,0.075174,0.360991,0.571824,0.547457,0.514018,0.496239,0.345984,0.243992,0.065108,-0.112311,-0.262292,-0.322402,-0.346204,-0.355695,-0.307353,-0.387984,-0.404847,-0.62891,-0.770616,-0.856214,-0.733437,-0.51199,-0.23365,0.078312,0.408941,0.755675,0.963057,1.212428,1.462426,1.44836,1.492336,1.407104,1.409195,1.463838,1.404803,1.323492,1.37552,1.176923,0.829613,0.533862,0.160198,-0.191609,-0.432457,-0.614896,-0.44166,-0.561404,-0.766276,-0.95818,-1.127965,-1.40505,-1.597806,2
-1.108379,-0.998253,-0.800075,-0.653203,-0.443041,-0.206722,0.011009,0.239902,0.351487,0.376864,0.339472,0.320883,0.238223,0.113204,-0.029387,-0.142195,-0.254366,-0.31487,-0.305322,-0.345174,-0.3767,-0.408937,-0.441291,-0.659967,-0.743313,-0.827037,-0.658595,-0.389732,-0.06458,0.264073,0.597362,0.933488,1.271554,1.546519,1.622675,1.515962,1.440847,1.443874,1.488243,1.651624,1.717137,1.777872,1.467525,1.099565,0.758471,0.418466,0.061385,-0.254591,-0.562904,-0.711195,-0.472889,-0.576101,-0.76422,-0.894773,-1.080054,-1.30619,-1.436757,2
