@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3}

@data
-1.023168,-0.962594,-0.793996,-0.595465,-0.383,-0.198816,-0.024892,0.077187,0.225187,0.300995,0.351315,0.304423,0.226448,0.08785,-0.075669,-0.206911,-0.292957,-0.332122,-0.399446,-0.465373,-0.538335,-0.589648,-0.623432,-0.729776,-0.676297,-0.476203,-0.222786,0.044653,0.330738,0.626715,0.90485,1.193793,1.495464,1.658245,1.658245,1.560889,1.545705,1.537666,1.59148,1.608897,1.657575,1.45661,1.162308,0.869123,0.596615,0.297489,0.034627,-0.212091,-0.477833,-0.655107,-0.571929,-0.654459,-0.752731,-0.925471,-1.064137,-1.218009,-1.330023,2
-1.048403,-0.961979,-0.805589,-0.59851,-0.425615,-0.225084,-0.03233,0.114797,0.226162,0.334455,0.324873,0.248294,0.217069,0.152937,0.049575,-0.044674,-0.149961,-0.211181,-0.288295,-0.36138,-0.421069,-0.49466,-0.578022,-0.74962,-0.697484,-0.539685,-0.326049,-0.055599,0.217614,0.516246,0.831505,1.106747,1.360946,1.581139,1.560284,1.531915,1.48006,1.486448,1.554084,1.557278,1.65009,1.377667,1.084389,0.805954,0.520379,0.256617,-0.038972,-0.302696,-0.55062,-0.733895,-0.575119,-0.692675,-0.795932,-0.930923,-1.065256,-1.187301,-1.280357,2
-1.042232,-1.00336,-0.847948,-0.65284,-0.454632,-0.272576,-0.103173,0.072249,0.264871,0.363913,0.396725,0.35486,0.303743,0.246142,0.100298,-0.042446,-0.194001,-0.30942,-0.385567,-0.46923,-0.548861,-0.600052,-0.685801,-0.825137,-0.733593,-0.513031,-0.257538,0.008729,0.296577,0.557275,0.818471,1.056557,1.326731,1.582108,1.554342,1.51577,1.507789,1.513276,1.577286,1.660583,1.701816,1.464728,1.180421,0.912408,0.628434,0.31736,0.023377,-0.269093,-0.533731,-0.746296,-0.61889,-0.684496,-0.764219,-0.890062,-1.014491,-1.108362,-1.226424,2
-1.030948,-0.983652,-0.843363,-0.64857,-0.453828,-0.233105,-0.054949,0.088732,0.272946,0.347644,0.400903,0.297237,0.225879,0.194214,0.096107,-0.047253,-0.180303,-0.239692,-0.298448,-0.353917,-0.418128,-0.462354,-0.536647,-0.746729,-0.752205,-0.564828,-0.448228,-0.182149,0.115046,0.383738,0.683359,0.975015,1.269367,1.472655,1.526589,1.587368,1.509994,1.506882,1.582182,1.652295,1.65188,1.464565,1.170628,0.855324,0.564083,0.274689,-0.027318,-0.303872,-0.543918,-0.720592,-0.497452,-0.615463,-0.720675,-0.890586,-1.047283,-1.175438,-1.285939,2
-1.041461,-0.937496,-0.80286,-0.670298,-0.472136,-0.268742,-0.055111,0.116975,0.257581,0.365703,0.359822,0.255538,0.189022,0.148832,0.034341,-0.085243,-0.203502,-0.209314,-0.266738,-0.303919,-0.371471,-0.445223,-0.55466,-0.78124,-0.746711,-0.541832,-0.283823,-0.081775,0.238553,0.537071,0.837303,1.138532,1.440359,1.631144,1.53924,1.496378,1.558578,1.52987,1.597054,1.58589,1.649883,1.349651,1.061181,0.783676,0.485636,0.181557,-0.108469,-0.400727,-0.655007,-0.755782,-0.513443,-0.665254,-0.811702,-0.89599,-1.012833,-1.173296,-1.29295,2
-1.107233,-1.078105,-0.910898,-0.689747,-0.454738,-0.214855,-0.030574,0.157508,0.319478,0.444981,0.438417,0.360704,0.304565,0.199099,0.057944,-0.153773,-0.238643,-0.316156,-0.369752,-0.421602,-0.488681,-0.546395,-0.591047,-0.821037,-0.715936,-0.512279,-0.251773,0.033262,0.291465,0.59577,0.859674,1.167529,1.433736,1.568087,1.578451,1.462525,1.468475,1.55945,1.611463,1.681709,1.628161,1.3228,1.046038,0.752769,0.469672,0.180434,-0.094621,-0.379003,-0.620124,-0.795587,-0.499727,-0.59717,-0.700888,-0.796393,-0.954005,-1.099411,-1.214512,2
-1.133808,-1.044899,-0.872168,-0.652332,-0.412919,-0.201662,-0.001113,0.181353,0.293347,0.423424,0.475211,0.374429,0.254367,0.195034,0.115918,-0.018461,-0.123693,-0.200795,-0.267873,-0.322673,-0.389074,-0.452147,-0.511769,-0.857471,-0.876726,-0.748878,-0.518614,-0.242855,0.052605,0.342681,0.642897,0.947406,1.243989,1.514315,1.592094,1.498297,1.488884,1.52736,1.543544,1.549489,1.649065,1.434555,1.127568,0.79383,0.544146,0.224114,-0.097354,-0.370669,-0.644381,-0.838315,-0.400806,-0.530058,-0.665534,-0.826624,-0.990619,-1.178461,-1.344867,2
-1.038268,-0.910232,-0.748577,-0.567863,-0.358701,-0.158209,-0.025314,0.050422,0.141531,0.237178,0.241602,0.135632,0.034215,0.098657,0.196696,0.219177,0.185956,0.117092,0.034946,-0.023801,-0.160781,-0.336551,-0.552727,-0.789277,-0.841236,-0.783283,-0.612751,-0.353199,-0.06954,0.233651,0.524439,0.841339,1.11059,1.410662,1.527324,1.553418,1.45415,1.482701,1.473815,1.599743,1.616192,1.458499,1.187924,0.883882,0.580218,0.273699,-0.031289,-0.334688,-0.609593,-0.806105,-0.662781,-0.797521,-0.990308,-1.135087,-1.307585,-1.399019,-1.313144,3
-1.102001,-1.006653,-0.831131,-0.639294,-0.462516,-0.237707,-0.026291,0.152592,0.279136,0.393604,0.478809,0.44084,0.352644,0.271731,0.132741,-0.051669,-0.246127,-0.352962,-0.417824,-0.495435,-0.537092,-0.603998,-0.625038,-0.799802,-0.769578,-0.602453,-0.370519,-0.091024,0.191349,0.485108,0.748129,1.01645,1.300367,1.489039,1.496913,1.527046,1.58171,1.600183,1.639402,1.747215,1.679377,1.40394,1.115329,0.82172,0.542952,0.22875,-0.042599,-0.326122,-0.570276,-0.764066,-0.507875,-0.592444,-0.707783,-0.819623,-0.96938,-1.131069,-1.283082,3
-1.099217,-1.003495,-0.83866,-0.624722,-0.395659,-0.179373,0.022085,0.202079,0.358653,0.483589,0.470633,0.388794,0.338415,0.207821,0.070584,-0.10856,-0.236218,-0.33781,-0.403009,-0.47042,-0.520944,-0.567299,-0.617713,-0.925961,-0.836533,-0.653579,-0.422797,-0.190092,0.135034,0.427221,0.71119,1.011322,1.305839,1.551866,1.560033,1.556971,1.552887,1.622646,1.622305,1.713672,1.671817,1.371004,1.086185,0.811404,0.532709,0.229855,-0.077049,-0.36898,-0.614616,-0.810382,-0.458084,-0.5396,-0.628925,-0.828162,-0.985511,-1.140086,-1.272712,3
