@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.960619,-0.873395,-0.787211,-0.61277,-0.418373,-0.220201,-0.066158,0.083515,0.204078,0.26353,0.287537,0.262492,0.187469,0.061971,-0.070127,-0.155355,-0.207146,-0.246878,-0.30868,-0.388682,-0.483218,-0.547911,-0.666524,-0.619671,-0.593008,-0.429188,-0.176446,0.080279,0.373292,0.670923,0.831342,1.109668,1.397093,1.558341,1.512428,1.519343,1.49611,1.565256,1.609509,1.587383,1.669804,1.454899,1.191121,0.918742,0.658339,0.351718,0.056272,-0.214559,-0.449848,-0.643402,-0.75799,-0.864973,-0.935197,-1.031033,-1.115696,-1.217816,-1.237721,1
-0.988574,-0.941624,-0.808526,-0.675153,-0.487129,-0.345073,-0.20642,-0.054029,0.10742,0.284409,0.380785,0.367398,0.31874,0.231485,0.074189,-0.095255,-0.258739,-0.365235,-0.457251,-0.529643,-0.603124,-0.649279,-0.691806,-0.735746,-0.689178,-0.467774,-0.206407,0.080057,0.323757,0.626262,0.907697,1.189832,1.495865,1.648006,1.672278,1.517885,1.506875,1.65276,1.665772,1.683038,1.67403,1.497617,1.175069,0.937975,0.640775,0.335568,0.077205,-0.215441,-0.486666,-0.667633,-0.662529,-0.659401,-0.751811,-0.83769,-0.916763,-1.043731,-1.182684,1
-0.96239,-0.936921,-0.793761,-0.660803,-0.486209,-0.32844,-0.131405,0.044301,0.144619,0.229696,0.292215,0.298355,0.270507,0.158956,0.052969,-0.071645,-0.183232,-0.259571,-0.359051,-0.43406,-0.526601,-0.58324,-0.64445,-0.709207,-0.621799,-0.439048,-0.190493,0.090689,0.356449,0.626345,0.897054,1.158021,1.391886,1.605562,1.476728,1.476204,1.506317,1.585922,1.591421,1.623106,1.690403,1.411525,1.153936,0.881473,0.58505,0.334898,0.033762,-0.266065,-0.51064,-0.709914,-0.68344,-0.757808,-0.762783,-0.853648,-0.973002,-1.083846,-1.174735,1
-0.936268,-0.882227,-0.806468,-0.65999,-0.503022,-0.321541,-0.149745,0.013557,0.123683,0.230515,0.280374,0.28634,0.216066,0.144176,0.019541,-0.083915,-0.136704,-0.239422,-0.312869,-0.419801,-0.531107,-0.598053,-0.686929,-0.651174,-0.587322,-0.417296,-0.185534,0.065242,0.343602,0.626125,0.898585,1.159068,1.403743,1.529532,1.529309,1.579847,1.540218,1.552908,1.551127,1.578511,1.651313,1.436025,1.175765,0.903706,0.632626,0.362904,0.079157,-0.167856,-0.417563,-0.60727,-0.742098,-0.82848,-0.864391,-0.943827,-1.016962,-1.092569,-1.169349,1
-0.878896,-0.872412,-0.807291,-0.661891,-0.489907,-0.337111,-0.175561,0.005999,0.155472,0.264884,0.310093,0.304903,0.257021,0.15427,0.046866,-0.08111,-0.17825,-0.273834,-0.367147,-0.446182,-0.53868,-0.594242,-0.669035,-0.687362,-0.658853,-0.493315,-0.269317,-0.003348,0.256144,0.5388,0.81481,1.067062,1.365641,1.506488,1.493761,1.533073,1.59784,1.658365,1.628669,1.633477,1.697678,1.449357,1.13378,0.900562,0.580687,0.285502,0.009124,-0.264,-0.512434,-0.6696,-0.610688,-0.655516,-0.7144,-0.855813,-0.939897,-0.982264,-1.089936,1
-0.976875,-0.992817,-0.888345,-0.668068,-0.476233,-0.280502,-0.078048,0.066878,0.195184,0.245629,0.309293,0.29323,0.251163,0.153569,-0.00335,-0.158882,-0.26409,-0.267658,-0.296219,-0.385,-0.443175,-0.491559,-0.5354,-0.616932,-0.603757,-0.478835,-0.303919,-0.06752,0.214451,0.516304,0.806637,1.127592,1.424662,1.588418,1.532469,1.425595,1.453359,1.513519,1.485243,1.53277,1.627222,1.559241,1.27739,0.982154,0.713389,0.408166,0.11648,-0.177222,-0.421863,-0.60093,-0.609593,-0.722754,-0.835524,-1.010169,-1.111539,-1.177204,-1.184754,1
-0.844758,-0.789842,-0.686011,-0.554216,-0.423022,-0.294037,-0.164678,-0.042499,0.058448,0.182897,0.237083,0.208119,0.23334,0.278628,0.209223,0.119077,0.00193,-0.101656,-0.210948,-0.327236,-0.453287,-0.574485,-0.697928,-0.558474,-0.615631,-0.487842,-0.299057,-0.046647,0.203394,0.456957,0.697265,0.937696,1.170518,1.373761,1.523984,1.529139,1.497843,1.399166,1.465073,1.525212,1.523984,1.306995,1.053064,0.827483,0.60178,0.356072,0.118022,-0.132535,-0.365307,-0.567765,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,-1.031776,6
-0.774911,-0.744441,-0.662436,-0.548398,-0.450867,-0.320932,-0.187062,-0.056899,0.034364,0.155229,0.170687,0.133269,0.153233,0.16156,0.075318,-0.028265,-0.137609,-0.262068,-0.39514,-0.515561,-0.63415,-0.736541,-0.791823,-0.48525,-0.342459,-0.129224,0.092087,0.320927,0.549083,0.768455,1.020568,1.240738,1.460224,1.556848,1.502775,1.377289,1.333484,1.358923,1.528443,1.535516,1.503802,1.345119,1.162252,0.935351,0.67879,0.429986,0.183007,-0.045537,-0.267156,-0.43371,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,-1.064778,6
-0.782366,-0.746499,-0.700278,-0.596627,-0.476249,-0.36799,-0.243938,-0.122189,0.011187,0.104802,0.212731,0.225784,0.200173,0.229019,0.173519,0.078588,-0.033345,-0.147855,-0.273772,-0.402376,-0.499666,-0.614878,-0.720613,-0.517742,-0.509538,-0.377006,-0.182043,0.052922,0.286987,0.524453,0.764003,0.975913,1.216779,1.438889,1.570071,1.592337,1.499544,1.458193,1.47662,1.568864,1.642681,1.379988,1.130677,0.901656,0.651906,0.399962,0.157012,-0.074641,-0.284806,-0.447511,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,-1.044357,6
-0.809719,-0.77379,-0.678647,-0.55486,-0.440227,-0.303744,-0.178947,-0.051803,0.058908,0.179327,0.215364,0.165115,0.193348,0.232558,0.188146,0.090631,0.000031,-0.125336,-0.25229,-0.363065,-0.494098,-0.610114,-0.725279,-0.549797,-0.562207,-0.404736,-0.205125,0.029774,0.262059,0.515332,0.743862,0.955895,1.206757,1.406736,1.561161,1.569917,1.464598,1.388844,1.40534,1.469547,1.530708,1.339484,1.0989,0.870625,0.648948,0.396563,0.152972,-0.080265,-0.306383,-0.503063,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,-1.047067,6
