@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute target {1,2}

@data
-0.772598,-0.790557,-0.804505,-0.797054,-0.783679,-0.767057,-0.764573,-0.73687,-0.714516,-0.68834,-0.66293,-0.628348,-0.596059,-0.563578,-0.526513,-0.505496,-0.488492,-0.473398,-0.48639,-0.519826,-0.522692,-0.514094,-0.509891,-0.505305,-0.489829,-0.493842,-0.52231,-0.45028,-0.301444,-0.080961,0.114875,0.21862,0.300203,0.437002,0.594053,0.701237,0.765051,0.79734,0.806893,0.824853,0.884655,0.975599,1.048775,1.112971,1.148699,1.183472,1.233339,1.278429,1.241746,1.063487,0.84415,0.701046,0.665509,0.664554,0.577431,0.397261,0.166079,-0.039119,-0.208207,-0.336982,-0.433276,-0.517342,-0.574278,-0.587843,-0.580583,-0.566635,-0.572558,-0.60886,-0.665795,-0.734386,0.0545,0.012085,0.020491,0.058703,0.10685,0.148884,0.183656,0.226072,0.276894,0.328098,0.384269,0.448083,0.514572,0.586028,0.652135,0.704103,0.726266,0.707925,0.664363,0.606281,0.538263,0.472157,0.409107,0.347968,0.295617,0.249381,0.200852,0.158819,0.129395,0.116403,0.114493,0.111436,0.11946,0.138566,0.163404,0.197031,0.236389,0.271162,0.297528,0.319309,0.350643,0.387708,0.420188,0.441969,0.462604,0.50884,0.545906,0.553166,0.544377,0.516865,0.469482,0.42401,0.377009,0.326569,0.301349,0.2853,0.26543,0.274601,0.31052,0.345293,0.390383,0.42592,0.452669,0.454961,0.418278,0.340325,0.272308,0.210023,0.148119,0.090037,0.050679,0.022402,-0.044469,-0.122421,-0.189292,-0.292082,-0.373856,-0.494224,-0.626819,-0.766675,-0.850359,-0.891246,-0.9478,-0.999386,-1.000914,-0.997857,-0.991361,-0.9948,-1.003207,-0.958117,-0.956206,-0.971491,-0.976841,-0.97493,-0.980662,2
-0.582445,-0.580055,-0.578808,-0.571015,-0.547637,-0.515531,-0.503271,-0.517817,-0.533922,-0.546079,-0.556261,-0.565924,-0.576418,-0.586912,-0.588679,-0.5706,-0.521973,-0.454436,-0.425863,-0.425759,-0.377964,-0.31344,-0.296296,-0.278736,-0.240916,-0.214005,-0.18034,-0.137844,-0.069788,0.048038,0.160565,0.224673,0.281508,0.386865,0.526199,0.642362,0.701068,0.732031,0.790736,0.898483,1.056311,1.230141,1.347239,1.353785,1.248324,1.106704,1.027219,1.026595,0.994489,0.844453,0.647558,0.524433,0.503964,0.510406,0.451597,0.318809,0.167734,0.048038,-0.027499,-0.073113,-0.10127,-0.118726,-0.129948,-0.132961,-0.127869,-0.124752,-0.129012,-0.149066,-0.198004,-0.270113,0.200048,0.101548,0.054168,0.037752,0.02653,0.00284,-0.038513,-0.087763,-0.131402,-0.165482,-0.184808,-0.185432,-0.171717,-0.144078,-0.103348,-0.0568,-0.010251,0.029439,0.057493,0.077443,0.092405,0.101964,0.10612,0.105704,0.098431,0.071832,0.025699,-0.021889,-0.057423,-0.079243,-0.094205,-0.107712,-0.118726,-0.12496,-0.12309,-0.111661,-0.09566,-0.077165,-0.055553,-0.036019,-0.015447,0.010321,0.041492,0.077443,0.117549,0.148928,0.157448,0.142486,0.121082,0.106951,0.096976,0.087417,0.07765,0.065182,0.047934,0.031725,0.026322,0.036713,0.062688,0.101756,0.141655,0.173449,0.197554,0.210854,0.21688,0.210854,0.194645,0.171163,0.141447,0.108613,0.071208,0.03505,-0.001108,-0.028331,-0.038097,-0.089218,-0.181276,-0.298062,-0.399264,-0.496101,-0.581094,-0.636578,-0.680633,-0.714713,-0.745468,-0.765417,-0.784951,-0.790978,-0.796588,-0.806979,-0.813005,-0.815083,-0.820486,-0.827344,-0.830253,2
-0.804997,-0.797408,-0.796112,-0.76853,-0.725214,-0.680047,-0.638211,-0.597672,-0.585455,-0.580827,-0.574533,-0.559169,-0.541768,-0.531772,-0.523072,-0.510484,-0.487345,-0.447546,-0.422556,-0.404415,-0.357582,-0.283907,-0.18913,-0.068252,0.047258,0.111677,0.122969,0.128152,0.145367,0.202011,0.291791,0.36454,0.418222,0.496895,0.610368,0.706626,0.763641,0.813066,0.879151,0.978,1.088327,1.171072,1.192175,1.173849,1.130533,1.086661,1.057413,1.030572,0.938757,0.742353,0.544468,0.433401,0.411928,0.421369,0.369538,0.250511,0.090574,-0.053073,-0.174506,-0.265396,-0.324632,-0.369059,-0.403675,-0.438846,-0.488826,-0.546026,-0.605632,-0.66024,-0.716699,-0.782784,-0.101202,-0.153403,-0.154884,-0.123045,-0.076397,-0.029749,0.010976,0.049849,0.095757,0.151291,0.212378,0.271613,0.325666,0.375276,0.416741,0.44821,0.462279,0.452653,0.422665,0.376387,0.322334,0.270133,0.225335,0.187943,0.155363,0.120562,0.080948,0.044666,0.019491,-0.000871,-0.017902,-0.030489,-0.03197,-0.01494,0.01801,0.059845,0.103902,0.145737,0.178687,0.205343,0.234591,0.266801,0.29975,0.324185,0.344548,0.376017,0.403043,0.418592,0.420443,0.394898,0.346769,0.29827,0.257175,0.219782,0.198309,0.181649,0.171283,0.190905,0.234591,0.291606,0.354544,0.395268,0.418963,0.422295,0.390085,0.319743,0.251251,0.179798,0.111677,0.053552,0.006163,-0.029008,-0.096389,-0.176727,-0.235963,-0.333702,-0.424037,-0.546211,-0.662461,-0.780192,-0.861641,-0.902736,-0.94198,-0.971968,-0.977521,-0.973079,-0.961232,-0.953827,-0.947163,-0.915694,-0.903477,-0.911251,-0.920507,-0.917915,-0.922728,2
-0.902773,-0.906815,-0.907138,-0.891296,-0.856703,-0.821463,-0.798509,-0.781536,-0.775878,-0.766502,-0.751954,-0.730454,-0.717037,-0.705722,-0.694729,-0.673068,-0.628129,-0.575754,-0.546496,-0.53324,-0.492181,-0.425419,-0.384845,-0.331985,-0.263931,-0.219638,-0.168557,-0.127498,-0.042308,0.097843,0.24931,0.336924,0.389784,0.494049,0.628704,0.73507,0.779039,0.794072,0.822523,0.901085,1.009714,1.13467,1.231337,1.2787,1.272719,1.262374,1.281287,1.315072,1.267385,1.08666,0.878939,0.75172,0.712115,0.699345,0.616741,0.457031,0.254806,0.074889,-0.071082,-0.185207,-0.269912,-0.335703,-0.385007,-0.411033,-0.422671,-0.434957,-0.460013,-0.501072,-0.556518,-0.618107,0.043529,0.013462,0.035446,0.086204,0.144722,0.196127,0.240419,0.282771,0.32965,0.378792,0.430843,0.490331,0.557577,0.624824,0.685281,0.729574,0.743152,0.727634,0.686575,0.627087,0.55984,0.490654,0.427287,0.371679,0.324154,0.274689,0.220698,0.174466,0.144722,0.130173,0.118211,0.107542,0.101076,0.104633,0.122737,0.153128,0.189337,0.223931,0.254644,0.280508,0.302816,0.325447,0.351635,0.374266,0.392694,0.414032,0.422438,0.409506,0.386228,0.357777,0.324801,0.291501,0.255291,0.211322,0.171556,0.141166,0.12597,0.127264,0.143105,0.167353,0.194187,0.209059,0.213262,0.203886,0.178992,0.136316,0.09558,0.053228,0.010229,-0.03277,-0.06995,-0.10713,-0.178256,-0.26684,-0.329237,-0.437867,-0.540676,-0.662884,-0.773776,-0.879496,-0.966787,-1.023365,-1.074123,-1.114859,-1.13846,-1.151715,-1.164324,-1.165617,-1.167557,-1.160768,-1.162384,-1.170467,-1.181459,-1.188895,-1.191481,2
-0.898686,-0.893034,-0.888513,-0.865423,-0.838781,-0.812785,-0.796476,-0.785819,-0.785335,-0.786788,-0.785658,-0.782913,-0.777746,-0.775324,-0.771287,-0.75837,-0.727852,-0.680865,-0.64518,-0.620637,-0.571066,-0.493884,-0.419932,-0.329348,-0.238764,-0.190485,-0.154155,-0.113788,-0.048716,0.072062,0.205597,0.29828,0.367065,0.465076,0.58973,0.693716,0.740865,0.766538,0.805613,0.89426,1.017137,1.141306,1.220749,1.258048,1.254657,1.249652,1.264507,1.289373,1.248844,1.082693,0.890384,0.77994,0.765408,0.776388,0.709217,0.550493,0.332349,0.13778,-0.021266,-0.14156,-0.223748,-0.287366,-0.333546,-0.362126,-0.384893,-0.407822,-0.441084,-0.484519,-0.536674,-0.593511,0.093861,0.063182,0.087402,0.139718,0.199138,0.252745,0.29828,0.342199,0.391608,0.446185,0.507866,0.575036,0.644145,0.714545,0.77558,0.818854,0.834678,0.815301,0.769444,0.706795,0.63155,0.551462,0.480093,0.419381,0.371586,0.32476,0.270184,0.224973,0.194294,0.172011,0.153927,0.136165,0.1268,0.127123,0.138749,0.164584,0.198492,0.230463,0.256621,0.278257,0.298925,0.317333,0.337678,0.355116,0.363836,0.378045,0.382566,0.367065,0.344137,0.317656,0.286654,0.257267,0.225619,0.180408,0.141655,0.113237,0.091923,0.0916,0.105486,0.122602,0.153927,0.171688,0.176532,0.170397,0.143593,0.102257,0.072547,0.03993,0.002792,-0.038866,-0.069545,-0.102485,-0.173854,-0.257172,-0.324343,-0.433172,-0.52973,-0.657291,-0.784528,-0.918223,-1.012844,-1.06742,-1.121674,-1.168177,-1.193043,-1.206606,-1.210804,-1.215325,-1.224368,-1.199824,-1.194335,-1.199501,-1.198856,-1.185938,-1.176573,2
-0.784896,-0.788057,-0.785471,-0.771962,-0.743939,-0.713903,-0.696083,-0.686886,-0.686455,-0.684587,-0.678982,-0.670503,-0.666911,-0.663605,-0.657713,-0.640612,-0.602098,-0.554674,-0.528806,-0.513573,-0.466867,-0.396737,-0.333937,-0.251879,-0.174419,-0.137774,-0.099978,-0.055572,0.026773,0.159848,0.303701,0.393375,0.455314,0.566545,0.706086,0.813581,0.860286,0.865747,0.879831,0.93832,1.031444,1.141525,1.21496,1.236804,1.210362,1.17774,1.18047,1.199727,1.133908,0.94062,0.729798,0.610089,0.58767,0.592412,0.533204,0.40013,0.230409,0.080233,-0.039764,-0.130876,-0.197988,-0.251735,-0.292836,-0.315973,-0.327901,-0.341266,-0.366702,-0.408378,-0.467586,-0.536135,0.034965,-0.020794,-0.023956,-0.0001,0.031228,0.060258,0.085838,0.109981,0.139872,0.170051,0.20023,0.239032,0.284444,0.332155,0.377567,0.414069,0.435338,0.436775,0.416656,0.383028,0.34279,0.299677,0.260875,0.224661,0.193332,0.157117,0.112855,0.074054,0.048473,0.035252,0.025767,0.01657,0.008522,0.010822,0.027779,0.056234,0.089287,0.12234,0.153381,0.177524,0.20138,0.227535,0.258001,0.284444,0.306862,0.329856,0.34049,0.332443,0.316347,0.29594,0.270935,0.246505,0.217763,0.178674,0.141022,0.109693,0.088712,0.083538,0.094748,0.114292,0.140735,0.162004,0.176374,0.178961,0.16574,0.135561,0.105382,0.071754,0.034965,-0.002112,-0.032291,-0.065632,-0.123403,-0.188359,-0.235496,-0.323158,-0.412833,-0.530387,-0.640468,-0.744801,-0.82844,-0.885061,-0.935072,-0.973586,-0.998879,-1.013537,-1.027046,-1.033081,-1.03883,-1.031357,-1.035381,-1.045728,-1.054925,-1.061536,-1.066997,2
-0.899925,-0.900868,-0.897568,-0.885156,-0.859075,-0.830323,-0.806284,-0.795129,-0.794814,-0.78523,-0.777846,-0.772504,-0.764648,-0.755378,-0.743438,-0.720027,-0.675878,-0.617745,-0.580509,-0.558669,-0.510906,-0.45403,-0.406896,-0.347663,-0.276804,-0.23014,-0.201545,-0.171222,-0.095335,0.046226,0.1969,0.2819,0.346789,0.461954,0.603987,0.71821,0.76833,0.78247,0.808709,0.885381,0.997562,1.131267,1.237006,1.289797,1.283041,1.268901,1.286655,1.325148,1.278328,1.093402,0.879882,0.746805,0.703441,0.690872,0.608229,0.448285,0.247334,0.071679,-0.06784,-0.176721,-0.255593,-0.316868,-0.363689,-0.389142,-0.399668,-0.409252,-0.431091,-0.470528,-0.528032,-0.59025,0.057067,0.019359,0.038842,0.090376,0.150708,0.207584,0.25409,0.298397,0.349302,0.398322,0.450485,0.510817,0.575549,0.641852,0.700299,0.741777,0.758746,0.745548,0.706584,0.649393,0.582462,0.512703,0.4464,0.390781,0.341761,0.28897,0.234608,0.189673,0.158878,0.140024,0.129655,0.122427,0.117085,0.118656,0.134368,0.160763,0.193444,0.226752,0.257233,0.281743,0.303425,0.330448,0.360615,0.387324,0.411834,0.427232,0.425975,0.40555,0.375069,0.343018,0.310023,0.27263,0.234294,0.194386,0.157621,0.127769,0.116143,0.120856,0.138139,0.167048,0.196272,0.215126,0.222353,0.216068,0.197843,0.158564,0.118028,0.076235,0.033814,-0.007036,-0.047572,-0.090307,-0.154096,-0.231712,-0.286074,-0.385999,-0.495038,-0.625444,-0.73731,-0.845091,-0.940932,-1.003778,-1.050285,-1.08265,-1.111874,-1.125386,-1.13607,-1.135127,-1.128528,-1.122558,-1.118473,-1.119101,-1.1257,-1.129471,-1.130099,2
-1.100761,-1.09422,-1.100184,-1.09749,-1.067671,-1.034005,-1.011112,-0.995529,-0.980716,-0.957245,-0.930697,-0.891836,-0.866442,-0.846819,-0.820463,-0.783334,-0.730429,-0.671753,-0.638279,-0.619041,-0.577102,-0.513809,-0.484567,-0.443013,-0.396649,-0.379912,-0.3474,-0.30777,-0.19869,-0.047095,0.106617,0.189918,0.238398,0.342668,0.470985,0.580834,0.632007,0.650091,0.685489,0.782833,0.904802,1.053705,1.196451,1.301875,1.344199,1.384791,1.4502,1.525421,1.511762,1.346892,1.135851,0.987526,0.90865,0.85613,0.723196,0.514271,0.253211,0.024086,-0.160599,-0.310655,-0.421659,-0.508807,-0.578449,-0.611346,-0.620965,-0.62866,-0.649437,-0.690029,-0.742164,-0.786219,0.018315,0.052558,0.147594,0.268794,0.388839,0.494648,0.590453,0.681641,0.777447,0.875561,0.978676,1.090257,1.204916,1.31034,1.392294,1.440004,1.441928,1.391139,1.298027,1.180291,1.052166,0.922117,0.800532,0.696262,0.61123,0.53197,0.456172,0.396534,0.358443,0.339205,0.331894,0.328431,0.326892,0.333433,0.352287,0.384606,0.423082,0.457326,0.480027,0.497726,0.518888,0.538126,0.559672,0.571985,0.580834,0.592762,0.589684,0.56352,0.526198,0.479257,0.423852,0.366907,0.313041,0.259175,0.217236,0.195689,0.197998,0.219544,0.255327,0.297651,0.328431,0.331125,0.313426,0.276104,0.228778,0.160676,0.094497,0.032166,-0.029011,-0.084801,-0.136359,-0.194458,-0.289109,-0.411847,-0.503036,-0.635778,-0.756977,-0.890874,-1.003224,-1.107109,-1.198298,-1.257936,-1.307185,-1.339505,-1.361051,-1.370286,-1.376057,-1.369901,-1.354895,-1.343737,-1.337966,-1.339889,-1.348739,-1.35528,-1.352971,2
-0.917087,-0.909338,-0.900955,-0.888303,-0.856673,-0.817135,-0.793728,-0.784397,-0.784397,-0.788193,-0.79183,-0.792305,-0.791198,-0.792146,-0.792305,-0.78076,-0.748813,-0.699944,-0.658349,-0.620393,-0.553336,-0.466985,-0.380001,-0.26961,-0.159536,-0.091056,-0.048355,-0.023525,0.013008,0.112961,0.239641,0.314131,0.368377,0.468804,0.596749,0.701763,0.753637,0.787165,0.840779,0.93741,1.05729,1.179541,1.260832,1.295942,1.282815,1.265418,1.273168,1.295151,1.235369,1.052703,0.85865,0.747311,0.71995,0.719476,0.650838,0.50676,0.309702,0.130832,-0.013087,-0.124426,-0.200972,-0.256642,-0.301874,-0.337458,-0.370512,-0.404831,-0.442946,-0.487545,-0.541475,-0.598093,0.055235,0.020758,0.041001,0.095406,0.162779,0.225091,0.278546,0.329155,0.384192,0.445872,0.511347,0.580934,0.651786,0.719159,0.776411,0.813735,0.824489,0.804562,0.755534,0.686896,0.611299,0.531907,0.45884,0.396212,0.341491,0.291515,0.241855,0.198205,0.166574,0.1438,0.127353,0.112486,0.104895,0.10616,0.120394,0.145698,0.177645,0.212755,0.242171,0.264629,0.284872,0.305116,0.324411,0.34244,0.357939,0.366479,0.363632,0.345919,0.319982,0.29278,0.264629,0.230152,0.194093,0.154555,0.116598,0.086549,0.071999,0.073581,0.090661,0.1147,0.139372,0.156136,0.160248,0.153922,0.137791,0.102048,0.069152,0.034991,-0.003914,-0.043769,-0.083939,-0.126957,-0.193381,-0.27309,-0.328443,-0.431875,-0.540684,-0.670369,-0.786769,-0.902853,-1.003122,-1.067648,-1.117941,-1.154,-1.184681,-1.197333,-1.206822,-1.205874,-1.197966,-1.187528,-1.177722,-1.174559,-1.180569,-1.183416,-1.17962,2
-0.721514,-0.723378,-0.726441,-0.723378,-0.696343,-0.665579,-0.647067,-0.640542,-0.64174,-0.64174,-0.640941,-0.634948,-0.632817,-0.630686,-0.623495,-0.609778,-0.576217,-0.530271,-0.50803,-0.498175,-0.449698,-0.37432,-0.318119,-0.23981,-0.152313,-0.115156,-0.083593,-0.045771,0.041328,0.183028,0.325395,0.415557,0.484676,0.600807,0.746636,0.858239,0.900323,0.902321,0.912309,0.963582,1.04775,1.148699,1.214356,1.223545,1.186921,1.147767,1.144171,1.157089,1.084641,0.884075,0.669793,0.553795,0.534617,0.539944,0.483344,0.360687,0.2078,0.073823,-0.029656,-0.108497,-0.167761,-0.215705,-0.253927,-0.27457,-0.282827,-0.291616,-0.311993,-0.352479,-0.414672,-0.486322,0.034802,-0.036049,-0.055226,-0.044039,-0.021399,-0.002488,0.012428,0.028676,0.047853,0.069694,0.093134,0.121367,0.158923,0.199676,0.241227,0.278783,0.301423,0.308615,0.297428,0.275054,0.248152,0.218321,0.189554,0.16212,0.136283,0.10219,0.058774,0.021484,-0.002488,-0.015007,-0.024063,-0.031787,-0.03738,-0.036848,-0.024595,-0.000623,0.031073,0.064634,0.094998,0.120835,0.144274,0.169578,0.202073,0.231106,0.255877,0.280914,0.2929,0.285442,0.271059,0.255078,0.2359,0.217521,0.19275,0.158124,0.123764,0.093134,0.07369,0.068895,0.080082,0.100592,0.123764,0.143741,0.160255,0.166115,0.158124,0.134951,0.11018,0.08168,0.04812,0.011096,-0.02646,-0.064549,-0.113824,-0.164165,-0.199857,-0.276834,-0.3626,-0.474203,-0.575684,-0.677165,-0.762133,-0.817268,-0.866544,-0.90703,-0.935264,-0.951245,-0.967226,-0.973352,-0.980544,-0.980011,-0.985072,-0.995193,-1.005581,-1.011441,-1.013306,2
