@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute target {1,2,3}

@data
0.451138,0.454726,0.45425,0.452821,0.454297,0.457891,0.457536,0.461037,0.46888,0.487662,0.493122,0.495271,0.492766,0.489386,0.489845,0.496827,0.507038,0.525944,0.549562,0.585503,0.612219,0.632095,0.651095,0.671456,0.680514,0.67548,0.691647,0.712344,0.714875,0.69672,0.656869,0.594349,0.50343,0.38743,0.256331,0.13586,0.032151,-0.055482,-0.131985,-0.203016,-0.261777,-0.31375,-0.377836,-0.454588,-0.545236,-0.631967,-0.712813,-0.783736,-0.846675,-0.902563,-0.940456,-0.989257,-1.028471,-1.048209,-1.052266,-1.036804,2
0.339392,0.336324,0.341578,0.349046,0.357635,0.368046,0.374512,0.375208,0.384631,0.399227,0.405581,0.407033,0.405863,0.41093,0.421467,0.44072,0.476919,0.515078,0.55458,0.579106,0.596584,0.625112,0.653129,0.681504,0.698329,0.700643,0.725715,0.738384,0.728702,0.695059,0.641879,0.568032,0.476873,0.366213,0.242965,0.126532,0.021225,-0.067373,-0.151324,-0.226898,-0.294282,-0.358057,-0.417309,-0.47357,-0.525595,-0.578896,-0.645699,-0.70919,-0.767252,-0.816287,-0.851507,-0.902216,-0.939891,-0.95576,-0.951011,-0.927995,2
0.203413,0.212159,0.22742,0.254031,0.281165,0.31355,0.346266,0.385627,0.428675,0.457609,0.471607,0.47576,0.475382,0.476213,0.482983,0.501925,0.533153,0.575286,0.621261,0.666174,0.705751,0.74417,0.769812,0.787799,0.79841,0.801775,0.810232,0.801047,0.772196,0.722542,0.65324,0.561812,0.451255,0.324349,0.203716,0.094198,0.000906,-0.082355,-0.154564,-0.218801,-0.280928,-0.339129,-0.411143,-0.48338,-0.549109,-0.610732,-0.666781,-0.712942,-0.754266,-0.788647,-0.822177,-0.864121,-0.889299,-0.897174,-0.884923,-0.855213,2
0.304701,0.309765,0.317678,0.329025,0.342257,0.356455,0.372961,0.393196,0.412022,0.4319,0.446351,0.446362,0.441514,0.445155,0.45405,0.470391,0.491635,0.519188,0.54719,0.577094,0.602118,0.626539,0.645478,0.662978,0.682144,0.688009,0.724622,0.745905,0.747821,0.723314,0.67435,0.600308,0.503522,0.386189,0.257187,0.13823,0.03902,-0.049619,-0.131606,-0.206006,-0.273307,-0.329731,-0.393387,-0.463596,-0.538066,-0.609407,-0.679767,-0.746223,-0.804542,-0.852347,-0.877495,-0.926402,-0.956787,-0.969008,-0.954474,-0.921615,2
0.31517,0.324766,0.341503,0.361242,0.384165,0.421505,0.453235,0.464614,0.467957,0.477449,0.494056,0.505705,0.502828,0.501526,0.499546,0.506293,0.518377,0.544022,0.573961,0.597246,0.621671,0.645018,0.66582,0.68621,0.699182,0.702095,0.727408,0.737792,0.729193,0.696942,0.639473,0.559305,0.475287,0.373192,0.255631,0.136874,0.026876,-0.065925,-0.150781,-0.225628,-0.290819,-0.348591,-0.413546,-0.486016,-0.553202,-0.619404,-0.681648,-0.740036,-0.789839,-0.832306,-0.862991,-0.915372,-0.952476,-0.973647,-0.970936,-0.946795,2
0.351753,0.346999,0.344108,0.344299,0.345448,0.359911,0.37878,0.401083,0.423223,0.453522,0.47884,0.495155,0.498247,0.495214,0.493163,0.496014,0.509786,0.534159,0.559471,0.578025,0.591622,0.602082,0.605978,0.609926,0.612999,0.614227,0.656889,0.692522,0.708043,0.69947,0.663587,0.601234,0.512276,0.399423,0.274896,0.153357,0.048332,-0.041732,-0.121603,-0.191366,-0.254292,-0.323825,-0.404919,-0.484781,-0.562633,-0.636586,-0.703889,-0.762147,-0.809554,-0.841768,-0.856676,-0.900154,-0.932382,-0.949222,-0.940622,-0.913945,3
0.426139,0.427799,0.436761,0.445919,0.454866,0.464684,0.47296,0.482958,0.497439,0.511488,0.520123,0.522268,0.522954,0.52263,0.528469,0.537122,0.547775,0.571592,0.595074,0.616874,0.636867,0.649922,0.658949,0.667056,0.675617,0.677912,0.702265,0.72194,0.721923,0.70891,0.673557,0.615845,0.536251,0.430576,0.311264,0.187345,0.072038,-0.034648,-0.13569,-0.22903,-0.310833,-0.379476,-0.456761,-0.532552,-0.609566,-0.679294,-0.745382,-0.807244,-0.865021,-0.908808,-0.937287,-0.980347,-1.019569,-1.041156,-1.049729,-1.04278,3
0.339736,0.342021,0.350159,0.360206,0.374346,0.38843,0.402859,0.417056,0.43146,0.450665,0.463301,0.468084,0.472814,0.473285,0.475861,0.481821,0.49601,0.518896,0.546491,0.56956,0.587144,0.602908,0.613774,0.624672,0.633972,0.638017,0.673212,0.701646,0.711695,0.694008,0.65397,0.589711,0.501198,0.388755,0.2637,0.145034,0.036117,-0.06144,-0.143982,-0.216791,-0.282018,-0.342421,-0.409062,-0.481061,-0.551161,-0.61669,-0.680648,-0.736604,-0.783832,-0.821522,-0.846089,-0.893823,-0.932522,-0.951288,-0.943055,-0.916395,3
0.329472,0.325896,0.334085,0.343863,0.356681,0.371893,0.387586,0.402382,0.419201,0.442209,0.457558,0.46431,0.47117,0.471518,0.471646,0.475463,0.490099,0.520915,0.551169,0.579302,0.599539,0.614045,0.626236,0.636775,0.645881,0.652286,0.688546,0.712619,0.714155,0.690017,0.646229,0.587895,0.512221,0.414925,0.296721,0.173625,0.059844,-0.048026,-0.139919,-0.221837,-0.288591,-0.35432,-0.429599,-0.504529,-0.574953,-0.640509,-0.700936,-0.755624,-0.798064,-0.828659,-0.842782,-0.88022,-0.913584,-0.925086,-0.914583,-0.888106,3
0.39927,0.403673,0.4015,0.399289,0.397513,0.396501,0.397584,0.408681,0.421228,0.440358,0.459374,0.466171,0.46667,0.466054,0.467597,0.477056,0.494959,0.515939,0.542313,0.561182,0.574571,0.584953,0.586441,0.580205,0.572782,0.5688,0.605553,0.642294,0.668694,0.667078,0.64193,0.589782,0.512441,0.40806,0.287306,0.167432,0.059725,-0.037758,-0.125099,-0.201504,-0.269595,-0.333643,-0.399105,-0.464951,-0.532101,-0.599548,-0.663285,-0.720917,-0.770085,-0.804312,-0.824262,-0.869453,-0.909069,-0.935739,-0.935808,-0.91521,3
