@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute target {1,2}

@data
0.046236,0.084631,0.124971,0.166557,0.208658,0.25076,0.292771,0.33466,0.37667,0.418681,0.460783,0.482259,0.508899,0.50492,0.490643,0.465764,0.439124,0.410449,0.380893,0.350668,0.32014,0.289612,0.257534,0.226429,0.195627,0.165007,0.134388,0.103768,0.07324,0.042621,0.012092,-0.018618,-0.049329,-0.080039,-0.110659,-0.138848,-0.10434,-0.064578,-0.023843,0.017469,0.058994,0.1007,0.142498,0.184388,0.226277,0.249697,0.267589,0.273816,0.275365,0.276428,0.276732,0.276641,0.276641,0.276732,0.276945,0.277036,0.277127,0.277127,0.277218,0.277309,0.277491,0.277765,0.27816,0.278251,0.278433,0.278524,0.278524,0.278524,0.278342,0.278251,0.27816,0.278068,0.277977,0.277886,0.277795,0.277704,0.277704,0.277704,0.277613,0.277613,0.277522,0.277522,0.277522,0.277522,0.250001,0.220049,0.189825,0.1596,0.129376,0.099151,0.068927,0.038702,0.008478,-0.021747,-0.051971,-0.082196,-0.112421,-0.142645,-0.17287,-0.203185,-0.23341,-0.263634,-0.293859,-0.324084,-0.354308,-0.384624,2
0.833491,0.83308,0.805591,0.76333,0.72107,0.678809,0.636139,0.593468,0.550387,0.507306,0.463404,0.419503,0.375191,0.330879,0.286567,0.241845,0.197533,0.152811,0.107678,0.098241,0.080599,0.056391,0.030132,0.002643,-0.026078,-0.055619,-0.085571,-0.115933,-0.146705,-0.177477,-0.208659,-0.239842,-0.284974,-0.330517,-0.37565,-0.421192,-0.466325,-0.511868,-0.55741,-0.602543,-0.647675,-0.693218,-0.738351,-0.783894,-0.829436,-0.874979,-0.920522,-0.966065,-1.011197,-1.02925,-1.032532,-1.035405,-1.038277,-1.040328,-1.041969,-1.04279,-1.0432,-1.04279,-1.04238,-1.041559,-1.040738,-1.039918,-1.038687,-1.037456,-1.036225,-1.034994,-1.033763,-1.032532,-1.031302,-1.02966,-1.02843,-1.026378,-1.024327,-1.022275,-1.020634,-0.977963,-0.933241,-0.888109,-0.842566,-0.797023,-0.75189,-0.706758,-0.661626,-0.616493,-0.571361,-0.525818,-0.480685,-0.435553,-0.39001,-0.344467,-0.298924,-0.253382,-0.207839,-0.162296,-0.116753,-0.071621,-0.026488,0.018644,0.063777,0.108909,0.153631,0.197943,0.241845,0.285336,0.328417,0.371498,2
0.178275,0.178275,0.178275,0.176971,0.175668,0.17632,0.176971,0.401135,0.465648,0.449357,0.433066,0.418078,0.404393,0.390057,0.37507,0.360082,0.345094,0.330107,0.315119,0.300131,0.285144,0.270156,0.255168,0.229754,0.230406,0.231709,0.233012,0.234316,0.235619,0.237574,0.238877,0.239529,0.24018,0.240832,0.242135,0.243439,0.228451,0.213463,0.198476,0.183488,0.1685,0.153512,0.138525,0.124189,0.109201,0.094213,0.079226,0.064238,0.049902,0.034914,0.02123,0.006894,-0.008094,-0.023733,-0.262885,-0.341733,-0.34043,-0.339127,-0.338475,-0.339778,-0.341082,-0.34043,-0.34043,-0.34043,-0.34043,-0.341733,-0.342385,-0.343036,-0.343688,-0.343688,-0.344991,-0.345643,-0.346946,-0.347598,-0.34825,-0.34825,-0.34825,-0.348901,-0.349553,-0.349553,-0.350205,-0.351508,-0.352811,-0.354114,-0.355418,-0.356721,-0.357373,-0.358676,-0.359327,-0.360631,-0.362586,-0.363889,-0.365192,-0.349553,-0.333914,-0.318926,-0.303287,-0.287647,-0.272008,-0.257672,-0.242032,-0.226393,-0.211405,-0.195766,-0.180127,-0.165139,2
-0.664643,-0.66469,-0.664737,-0.664784,-0.664784,-0.634431,-0.593552,-0.551405,-0.508272,-0.464621,-0.420689,-0.376474,-0.332072,-0.287482,-0.242891,-0.198254,-0.153758,-0.109402,-0.065188,-0.021162,-0.015617,-0.017966,-0.01853,-0.014349,-0.006878,0.003741,0.016475,0.030806,0.046687,0.063414,0.081269,0.099594,0.11853,0.158609,0.201978,0.245299,0.28848,0.331567,0.374607,0.417646,0.460545,0.503585,0.546625,0.589758,0.632892,0.676073,0.719347,0.762622,0.805897,0.849171,0.892446,0.935768,0.94883,0.951414,0.952918,0.954045,0.955361,0.957334,0.958791,0.96006,0.960905,0.961563,0.962174,0.962973,0.963866,0.964805,0.965839,0.966873,0.967859,0.968799,0.969645,0.970538,0.971571,0.972323,0.972934,0.973592,0.936566,0.893151,0.849876,0.806507,0.763092,0.719676,0.676308,0.63308,0.589946,0.546859,0.503773,0.460827,0.417787,0.374701,0.331567,0.288433,0.245252,0.201978,0.158703,0.115428,0.072154,0.028879,-0.014443,-0.057905,-0.101368,-0.145065,-0.189374,-0.234387,-0.280293,-0.325964,2
-0.730821,-0.730867,-0.730912,-0.730912,-0.730958,-0.730958,-0.71241,-0.680396,-0.638948,-0.596355,-0.553167,-0.509475,-0.465508,-0.421175,-0.376475,-0.331684,-0.286617,-0.241689,-0.196852,-0.152106,-0.107406,-0.062661,-0.058081,-0.058402,-0.053181,-0.043242,-0.028907,-0.012053,0.006999,0.027288,0.048584,0.070843,0.093742,0.117374,0.141465,0.182638,0.226467,0.270343,0.314264,0.358139,0.401923,0.445707,0.489444,0.533182,0.57692,0.620658,0.664396,0.708134,0.751964,0.795839,0.839668,0.88359,0.927511,0.953066,0.965203,0.967814,0.969417,0.970516,0.971661,0.973355,0.975187,0.976424,0.97734,0.977752,0.978118,0.978439,0.978668,0.978714,0.978714,0.978805,0.978943,0.979034,0.979172,0.979492,0.979813,0.980134,0.9805,0.980912,0.981416,0.938228,0.894307,0.850385,0.80651,0.762681,0.718805,0.674884,0.631009,0.587225,0.543441,0.499703,0.455965,0.412228,0.36849,0.324752,0.281014,0.23723,0.193401,0.149571,0.105696,0.061775,0.01767,-0.02648,-0.070538,-0.114734,-0.159022,-0.203859,2
0.221927,0.221927,0.219936,0.218608,0.219272,0.219936,0.42834,0.489401,0.472808,0.45356,0.434313,0.416393,0.399136,0.381216,0.362633,0.343385,0.324801,0.305554,0.286306,0.267723,0.247811,0.228564,0.174804,0.174804,0.175467,0.175467,0.176795,0.178122,0.178786,0.178786,0.178786,0.180113,0.180777,0.181441,0.182104,0.162193,0.142946,0.123698,0.104451,0.085203,0.065956,0.047372,0.028125,0.008877,-0.009707,-0.028954,-0.048202,-0.067449,-0.086033,-0.102626,-0.120546,-0.139793,-0.159041,-0.386028,-0.465673,-0.467664,-0.467,-0.466337,-0.467,-0.468992,-0.470319,-0.471646,-0.470983,-0.471646,-0.47231,-0.47231,-0.472974,-0.47231,-0.472974,-0.473638,-0.473638,-0.473638,-0.473638,-0.474301,-0.474965,-0.475629,-0.47762,-0.478283,-0.479611,-0.480275,-0.481602,-0.482266,-0.483593,-0.464346,-0.445098,-0.425851,-0.406603,-0.387356,-0.368772,-0.349524,-0.330277,-0.311693,-0.292446,-0.273198,-0.253951,-0.235367,-0.216783,-0.198199,-0.179616,-0.161032,-0.142448,-0.123864,-0.10528,-0.086697,-0.068113,-0.049529,2
0.892484,0.892879,0.893274,0.868372,0.828846,0.788133,0.745444,0.70236,0.659671,0.616192,0.572318,0.528048,0.484173,0.440298,0.396424,0.352549,0.308675,0.265195,0.221321,0.177446,0.160054,0.136734,0.107879,0.076653,0.044637,0.011829,-0.021768,-0.055761,-0.089754,-0.124142,-0.158531,-0.193314,-0.228493,-0.273948,-0.319009,-0.364069,-0.40913,-0.45419,-0.49925,-0.544706,-0.590162,-0.635617,-0.681073,-0.726529,-0.771984,-0.817045,-0.862501,-0.907561,-0.953017,-0.998472,-1.018631,-1.024165,-1.029303,-1.031675,-1.033651,-1.036023,-1.037208,-1.037999,-1.037604,-1.036813,-1.036023,-1.035232,-1.034046,-1.033256,-1.03207,-1.030884,-1.029698,-1.028513,-1.026931,-1.02535,-1.023374,-1.021398,-1.019421,-1.01705,-1.015073,-1.013097,-1.010726,-1.008354,-0.963294,-0.918233,-0.873173,-0.828112,-0.783052,-0.737596,-0.692141,-0.646685,-0.601229,-0.555378,-0.509923,-0.464467,-0.419011,-0.373556,-0.3281,-0.282644,-0.237189,-0.191733,-0.146277,-0.100822,-0.055366,-0.009515,0.035941,0.081396,0.127247,0.172308,0.216973,0.260847,2
1.000479,1.000479,1.000901,1.000901,0.972654,0.930493,0.888333,0.84533,0.802326,0.758479,0.715054,0.671629,0.627361,0.582671,0.537981,0.493292,0.448602,0.403912,0.3588,0.344887,0.318327,0.286706,0.251713,0.215877,0.179619,0.14294,0.105839,0.068738,0.031215,-0.006307,-0.044252,-0.082196,-0.128572,-0.174105,-0.219638,-0.265171,-0.310704,-0.356237,-0.401771,-0.447304,-0.492837,-0.53837,-0.584324,-0.630279,-0.675812,-0.721345,-0.766878,-0.81199,-0.857101,-0.903056,-0.948589,-0.966296,-0.970091,-0.973885,-0.976415,-0.978944,-0.981052,-0.98316,-0.985268,-0.986955,-0.987798,-0.98822,-0.987376,-0.986112,-0.984004,-0.981052,-0.97768,-0.974307,-0.970934,-0.967139,-0.963345,-0.959551,-0.955756,-0.951962,-0.948167,-0.943951,-0.939735,-0.935519,-0.931303,-0.927087,-0.922871,-0.918655,-0.914439,-0.910223,-0.906007,-0.861317,-0.816206,-0.771094,-0.725983,-0.68045,-0.634495,-0.588962,-0.543851,-0.498739,-0.453628,-0.408516,-0.362983,-0.31745,-0.271917,-0.226384,-0.180851,-0.135318,-0.089785,-0.044252,0.001281,0.046815,2
-0.433408,-0.433408,-0.433408,-0.433439,-0.43347,-0.416424,-0.383069,-0.344993,-0.306885,-0.268656,-0.230334,-0.191859,-0.1532,-0.114449,-0.075545,-0.036487,0.002631,0.041873,0.081237,0.120631,0.160118,0.199727,0.176673,0.153711,0.130687,0.107694,0.084793,0.061923,0.039083,0.016304,-0.006443,-0.02916,-0.051786,-0.074349,-0.096852,-0.05761,-0.017327,0.023018,0.063394,0.103831,0.144268,0.184705,0.225265,0.265855,0.306415,0.346913,0.387442,0.428002,0.468593,0.509275,0.550018,0.590762,0.614399,0.621726,0.624393,0.626999,0.629513,0.631874,0.633989,0.63592,0.637821,0.639538,0.640918,0.641899,0.641776,0.640703,0.638986,0.636748,0.633897,0.630371,0.626263,0.622002,0.617649,0.613203,0.608727,0.604221,0.599622,0.595023,0.590394,0.585612,0.580798,0.575955,0.57108,0.566175,0.561239,0.556273,0.551245,0.546186,0.541128,0.50066,0.46007,0.41951,0.379012,0.338483,0.297923,0.257333,0.21665,0.175937,0.135224,0.094542,0.05386,0.013116,-0.027597,-0.06834,-0.109023,-0.149613,2
0.489374,0.529082,0.574306,0.617478,0.647462,0.66609,0.655098,0.633308,0.605955,0.578877,0.549547,0.519685,0.488055,0.456192,0.423937,0.391921,0.360164,0.327985,0.296287,0.264031,0.232372,0.199465,0.168762,0.134309,0.124166,0.166155,0.207498,0.25118,0.294168,0.337974,0.381582,0.412377,0.428973,0.436004,0.440583,0.44412,0.446767,0.448012,0.448264,0.448382,0.44853,0.448701,0.448782,0.448815,0.448716,0.448767,0.448861,0.44896,0.449019,0.449043,0.449012,0.449208,0.449042,0.449477,0.448956,0.450007,0.448619,0.451748,0.437362,0.403293,0.373386,0.341018,0.310188,0.278363,0.247263,0.21575,0.18438,0.152989,0.121676,0.090293,0.058857,0.027437,-0.003976,-0.035422,-0.066899,-0.098367,-0.129829,-0.161337,-0.192821,-0.22428,-0.255827,-0.287323,-0.318856,-0.350301,-0.381736,-0.413259,-0.444777,-0.476303,-0.50781,-0.539336,-0.570844,-0.602288,-0.633815,-0.665332,-0.696857,-0.728333,-0.75979,-0.791194,-0.822806,-0.854098,-0.885966,-0.916997,-0.949313,-0.979562,-1.013664,-1.031536,1
