@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute target {1,2}

@data
0.271939,0.239227,0.208434,0.179415,0.152069,0.126314,0.10212,0.079467,0.058311,0.038602,0.020277,0.003229,-0.012649,-0.027413,-0.041127,-0.053841,-0.065611,-0.076538,-0.086741,-0.096297,-0.105255,-0.113616,-0.121322,-0.128367,-0.134841,-0.140792,-0.146315,-0.151612,-0.156927,-0.162426,-0.168213,-0.174428,-0.181317,-0.189293,-0.198874,-0.210927,-0.227095,-0.24988,-0.280667,-0.314341,-0.341033,-0.358043,-0.368473,-0.375683,-0.381753,-0.387874,-0.394882,-0.403419,-0.413754,-0.425342,-0.436376,-0.444774,-0.449712,-0.451769,-0.45204,-0.451354,-0.450398,-0.449435,-0.448366,-0.447001,-0.445221,-0.442987,-0.440295,-0.437212,-0.433935,-0.430632,-0.427493,-0.42465,-0.422058,-0.419642,-0.417069,-0.414018,-0.410301,-0.406268,-0.403022,-0.400695,-0.399134,-0.398034,-0.397235,-0.396593,-0.395977,-0.395473,-0.395247,-0.395329,-0.395587,-0.39592,-0.396203,-0.396417,-0.396536,-0.396474,-0.396228,-0.395844,-0.39531,-0.394618,-0.393762,-0.392749,-0.391579,-0.390315,-0.388748,-0.386509,-0.383219,-0.378677,-0.373185,-0.36641,-0.358471,-0.348953,-0.337963,-0.325325,-0.310844,-0.294223,-0.275162,-0.253359,-0.228554,-0.200315,-0.168666,-0.133438,-0.094227,-0.051878,-0.00627,0.041345,0.089916,0.139368,0.188417,0.23505,0.279041,0.319699,0.358418,0.394087,0.426862,0.456567,0.482969,0.506031,0.525715,0.541222,0.553734,0.563453,0.570159,0.573921,0.575519,0.575097,0.573003,0.569052,0.563069,0.555294,0.54543,0.533956,0.521745,0.509321,0.496507,0.483183,0.469117,0.454378,0.438883,0.422754,0.406266,0.389526,0.372365,0.35482,0.336778,0.318252,0.299279,0.279759,0.259754,1
0.271691,0.238909,0.208058,0.178951,0.151511,0.125688,0.101413,0.078679,0.05743,0.03761,0.019162,0.002015,-0.013948,-0.028816,-0.042634,-0.055432,-0.067293,-0.078323,-0.08861,-0.098244,-0.107273,-0.115704,-0.1235,-0.130655,-0.137205,-0.143195,-0.148719,-0.154017,-0.159347,-0.164846,-0.170641,-0.176883,-0.183804,-0.191808,-0.20146,-0.213642,-0.229995,-0.253087,-0.284322,-0.3185,-0.345582,-0.362816,-0.373343,-0.380604,-0.386701,-0.392836,-0.399871,-0.408466,-0.418917,-0.430652,-0.441814,-0.450283,-0.455204,-0.457192,-0.457356,-0.456538,-0.455424,-0.454291,-0.453052,-0.451504,-0.449535,-0.447099,-0.444186,-0.440839,-0.437271,-0.433678,-0.430243,-0.427109,-0.424246,-0.421566,-0.418734,-0.415437,-0.411473,-0.407188,-0.403709,-0.40116,-0.399386,-0.398109,-0.397134,-0.396341,-0.395579,-0.394931,-0.394554,-0.394516,-0.394667,-0.3949,-0.395082,-0.395208,-0.395246,-0.395095,-0.394755,-0.394239,-0.393541,-0.392635,-0.391496,-0.390124,-0.388545,-0.38689,-0.384946,-0.382303,-0.378584,-0.373639,-0.36773,-0.360519,-0.352151,-0.342234,-0.330877,-0.317903,-0.303129,-0.286291,-0.267087,-0.245159,-0.220261,-0.191984,-0.160328,-0.125143,-0.086087,-0.04388,0.001625,0.049106,0.097518,0.146792,0.195732,0.242294,0.286125,0.326634,0.36523,0.400762,0.433361,0.46289,0.489122,0.511969,0.531424,0.546658,0.558846,0.56819,0.574482,0.577817,0.578981,0.57815,0.575696,0.571443,0.565182,0.557147,0.547048,0.535351,0.522962,0.510409,0.497497,0.484133,0.470038,0.455283,0.439779,0.423646,0.407142,0.390411,0.373271,0.355754,0.337739,0.319247,0.300307,0.280821,0.260837,1
0.274117,0.24136,0.210519,0.181449,0.154043,0.128238,0.104008,0.081304,0.060076,0.04029,0.021879,0.004747,-0.011206,-0.026069,-0.039879,-0.052675,-0.064518,-0.075511,-0.085779,-0.095404,-0.104411,-0.112807,-0.12054,-0.127613,-0.134099,-0.140061,-0.145589,-0.150903,-0.156241,-0.161788,-0.16765,-0.173959,-0.180975,-0.1891,-0.198863,-0.211161,-0.227668,-0.250952,-0.28243,-0.316883,-0.344182,-0.361547,-0.372155,-0.379473,-0.385612,-0.391789,-0.398899,-0.407585,-0.418124,-0.429967,-0.441269,-0.449847,-0.454839,-0.456863,-0.457039,-0.456232,-0.455136,-0.45402,-0.452778,-0.451221,-0.449223,-0.446734,-0.443758,-0.440355,-0.436737,-0.433081,-0.429589,-0.426419,-0.423525,-0.420821,-0.417953,-0.4146,-0.410572,-0.406223,-0.402687,-0.400103,-0.398307,-0.397021,-0.396063,-0.395275,-0.394512,-0.393857,-0.393491,-0.393459,-0.393604,-0.393825,-0.394002,-0.394121,-0.394172,-0.394039,-0.393724,-0.393233,-0.392558,-0.391676,-0.390579,-0.389281,-0.387787,-0.386173,-0.384251,-0.38166,-0.377998,-0.37305,-0.367131,-0.359939,-0.351594,-0.341705,-0.33039,-0.317469,-0.302751,-0.285953,-0.266786,-0.244914,-0.220092,-0.191904,-0.160338,-0.125236,-0.086226,-0.044077,0.00133,0.048705,0.097018,0.146201,0.195051,0.241511,0.285248,0.325645,0.36417,0.399656,0.432218,0.461692,0.487837,0.510623,0.530018,0.545158,0.557253,0.566506,0.572702,0.575923,0.576976,0.576062,0.573522,0.569173,0.562825,0.554713,0.544527,0.532741,0.520273,0.50766,0.494701,0.481295,0.467182,0.452395,0.436851,0.420671,0.404144,0.387384,0.370215,0.352667,0.334621,0.316102,0.297149,0.277653,0.257653,1
0.253129,0.220524,0.189823,0.160871,0.13358,0.107875,0.083688,0.061037,0.039879,0.020132,0.00174,-0.015365,-0.03129,-0.046116,-0.059874,-0.072639,-0.084492,-0.095496,-0.105794,-0.115455,-0.124529,-0.133029,-0.140904,-0.148148,-0.154793,-0.160894,-0.166559,-0.171967,-0.177369,-0.182908,-0.188666,-0.194786,-0.201525,-0.20925,-0.218461,-0.229984,-0.24534,-0.266879,-0.295994,-0.328,-0.353461,-0.369705,-0.379684,-0.386591,-0.392393,-0.398207,-0.404821,-0.412864,-0.4226,-0.433492,-0.443852,-0.451759,-0.456411,-0.458341,-0.458603,-0.457979,-0.457086,-0.456186,-0.455194,-0.453901,-0.45219,-0.450016,-0.447362,-0.444271,-0.440948,-0.437576,-0.434341,-0.431406,-0.428733,-0.426229,-0.423575,-0.420477,-0.416749,-0.412727,-0.409436,-0.406982,-0.405233,-0.403953,-0.402972,-0.402154,-0.401361,-0.400661,-0.400224,-0.400093,-0.400106,-0.400168,-0.400174,-0.400112,-0.399937,-0.399562,-0.398982,-0.398213,-0.397227,-0.39599,-0.394485,-0.39273,-0.390732,-0.388596,-0.38611,-0.382932,-0.378679,-0.373152,-0.366663,-0.358876,-0.349933,-0.339422,-0.32745,-0.313842,-0.298405,-0.280893,-0.261009,-0.238414,-0.212847,-0.183889,-0.151558,-0.115699,-0.07593,-0.033026,0.013106,0.061149,0.110098,0.159884,0.20932,0.256345,0.300686,0.341666,0.380747,0.416788,0.449849,0.479763,0.506317,0.529493,0.549283,0.564809,0.577274,0.58691,0.59348,0.597058,0.598444,0.597826,0.595572,0.591487,0.585386,0.577548,0.567681,0.556247,0.544056,0.531628,0.518782,0.505462,0.491423,0.476734,0.461309,0.44524,0.428803,0.412098,0.394942,0.377388,0.359333,0.340798,0.321813,0.302266,0.282213,1
0.252641,0.219994,0.189264,0.160287,0.132965,0.107239,0.08305,0.060376,0.03917,0.019392,0.000988,-0.01615,-0.032108,-0.046949,-0.060735,-0.073523,-0.085387,-0.096433,-0.106768,-0.116461,-0.125554,-0.13406,-0.141955,-0.149219,-0.155891,-0.162019,-0.167692,-0.173103,-0.178502,-0.184044,-0.189804,-0.195926,-0.202642,-0.210324,-0.219498,-0.230976,-0.24626,-0.267716,-0.29673,-0.328571,-0.353903,-0.370098,-0.380047,-0.386937,-0.392728,-0.39852,-0.40511,-0.413111,-0.422791,-0.433656,-0.444004,-0.451873,-0.45651,-0.458458,-0.458726,-0.458096,-0.457209,-0.456323,-0.455343,-0.45407,-0.452385,-0.450238,-0.447611,-0.444553,-0.441264,-0.437931,-0.43473,-0.431803,-0.42915,-0.426666,-0.424039,-0.420975,-0.417261,-0.413248,-0.409984,-0.407563,-0.40584,-0.404561,-0.403581,-0.40277,-0.401977,-0.401278,-0.400841,-0.400685,-0.400679,-0.400729,-0.400716,-0.400642,-0.400467,-0.400074,-0.399475,-0.398688,-0.397683,-0.396429,-0.394906,-0.393121,-0.391099,-0.388927,-0.3864,-0.383198,-0.378942,-0.373412,-0.366922,-0.359114,-0.35014,-0.339618,-0.327635,-0.314017,-0.298584,-0.28104,-0.261107,-0.238471,-0.212877,-0.183875,-0.151472,-0.115537,-0.075726,-0.032838,0.013276,0.061344,0.11031,0.160138,0.209634,0.256704,0.301058,0.34203,0.381135,0.417208,0.450297,0.480248,0.506828,0.530032,0.549853,0.565411,0.577924,0.587604,0.594188,0.597783,0.599194,0.598576,0.596317,0.592241,0.58615,0.578324,0.568476,0.557055,0.544885,0.532472,0.51964,0.506322,0.492293,0.477614,0.462199,0.446141,0.429702,0.412983,0.395814,0.378252,0.360191,0.341661,0.322676,0.303124,0.283078,1
0.251677,0.219036,0.188325,0.159346,0.13201,0.106269,0.082059,0.059356,0.038123,0.018322,-0.000109,-0.017283,-0.033279,-0.048174,-0.062003,-0.074824,-0.08673,-0.097813,-0.108175,-0.117901,-0.127029,-0.13556,-0.143474,-0.150766,-0.15746,-0.163606,-0.169303,-0.174739,-0.180156,-0.185717,-0.191508,-0.197647,-0.204372,-0.212062,-0.221228,-0.232679,-0.247928,-0.269336,-0.298253,-0.330028,-0.355322,-0.371455,-0.381368,-0.388249,-0.394021,-0.399799,-0.406394,-0.414389,-0.424059,-0.434906,-0.445224,-0.453063,-0.457665,-0.459589,-0.45985,-0.459203,-0.4583,-0.457397,-0.456407,-0.455124,-0.453431,-0.451289,-0.44868,-0.445647,-0.442403,-0.439103,-0.435927,-0.433032,-0.430392,-0.427926,-0.425323,-0.422284,-0.418604,-0.414619,-0.411363,-0.40894,-0.407203,-0.405927,-0.404943,-0.404102,-0.40328,-0.402545,-0.40206,-0.401861,-0.401823,-0.401836,-0.401798,-0.401686,-0.401468,-0.401032,-0.400391,-0.399563,-0.398511,-0.397203,-0.395621,-0.393791,-0.391723,-0.389507,-0.386935,-0.383672,-0.379363,-0.373784,-0.367258,-0.359431,-0.350446,-0.339904,-0.327911,-0.314287,-0.298845,-0.281304,-0.261391,-0.238794,-0.213208,-0.18421,-0.151837,-0.11594,-0.076132,-0.033173,0.012998,0.061119,0.110192,0.160155,0.209801,0.256919,0.301279,0.342338,0.381542,0.417707,0.450896,0.480896,0.507535,0.53081,0.550705,0.566334,0.5789,0.588626,0.595288,0.59895,0.600401,0.599822,0.597605,0.593557,0.587511,0.579734,0.569933,0.558557,0.546421,0.534048,0.521252,0.507983,0.493991,0.479334,0.463941,0.447907,0.431493,0.414799,0.397669,0.380141,0.362108,0.343609,0.324661,0.30514,0.285114,1
0.288946,0.258028,0.228954,0.201544,0.175663,0.151241,0.128247,0.106676,0.086484,0.067646,0.050124,0.033808,0.018578,0.004374,-0.008856,-0.021148,-0.032589,-0.04329,-0.053334,-0.062793,-0.071706,-0.080072,-0.087836,-0.094985,-0.10155,-0.1076,-0.113239,-0.118705,-0.124264,-0.130071,-0.136227,-0.142872,-0.150307,-0.158972,-0.169456,-0.18271,-0.200468,-0.225293,-0.258461,-0.294584,-0.32341,-0.342093,-0.353788,-0.362024,-0.369011,-0.376036,-0.384042,-0.393688,-0.405228,-0.417992,-0.430017,-0.439166,-0.444662,-0.447128,-0.447669,-0.447178,-0.446377,-0.445526,-0.444557,-0.443246,-0.441482,-0.439234,-0.436482,-0.433302,-0.429942,-0.426563,-0.423377,-0.420526,-0.417986,-0.415657,-0.413154,-0.410178,-0.40652,-0.402551,-0.399489,-0.39734,-0.395968,-0.39511,-0.394626,-0.394353,-0.394104,-0.393961,-0.394129,-0.394651,-0.395378,-0.39621,-0.396992,-0.397775,-0.398458,-0.398943,-0.399253,-0.399396,-0.399359,-0.399141,-0.398763,-0.398247,-0.397527,-0.396663,-0.395477,-0.393589,-0.390601,-0.386284,-0.381024,-0.374452,-0.366744,-0.357465,-0.346745,-0.334391,-0.320186,-0.303839,-0.28505,-0.263498,-0.238902,-0.210753,-0.179077,-0.143748,-0.104314,-0.061669,-0.015589,0.032491,0.081385,0.131235,0.180731,0.227407,0.271183,0.311387,0.349703,0.38487,0.416963,0.445789,0.471161,0.493167,0.511732,0.525967,0.537234,0.545787,0.551389,0.554085,0.554749,0.553526,0.550843,0.546396,0.539992,0.531911,0.521825,0.510185,0.497962,0.485614,0.472943,0.459875,0.446174,0.431907,0.416926,0.401336,0.385448,0.369355,0.352877,0.336076,0.318791,0.301126,0.283027,0.264388,0.245295,1
0.288531,0.257637,0.228559,0.201122,0.175221,0.150793,0.127814,0.106259,0.086077,0.067245,0.049712,0.033404,0.018197,0.004003,-0.009215,-0.0215,-0.032928,-0.043609,-0.053625,-0.063069,-0.071978,-0.080322,-0.088069,-0.095206,-0.101772,-0.107809,-0.113423,-0.118863,-0.124396,-0.130166,-0.136284,-0.142905,-0.150316,-0.158952,-0.169422,-0.182665,-0.200396,-0.22516,-0.258285,-0.294352,-0.323125,-0.341777,-0.353447,-0.36166,-0.368623,-0.375618,-0.383582,-0.3932,-0.40469,-0.417392,-0.429385,-0.43853,-0.44402,-0.446458,-0.446992,-0.446501,-0.445699,-0.444841,-0.443871,-0.442559,-0.440769,-0.438493,-0.435733,-0.432543,-0.429173,-0.425791,-0.422589,-0.419717,-0.417155,-0.414805,-0.412281,-0.409278,-0.40561,-0.401643,-0.398591,-0.396433,-0.395047,-0.394176,-0.393691,-0.393405,-0.393151,-0.39302,-0.3932,-0.393735,-0.394469,-0.395302,-0.396104,-0.3969,-0.397577,-0.398075,-0.398398,-0.398547,-0.398516,-0.398317,-0.397957,-0.397447,-0.396719,-0.395868,-0.394705,-0.392821,-0.389837,-0.385534,-0.380287,-0.373734,-0.366037,-0.356767,-0.346036,-0.333657,-0.319445,-0.303112,-0.284323,-0.262756,-0.238135,-0.209977,-0.1783,-0.14298,-0.103568,-0.060924,-0.01486,0.033206,0.082117,0.13193,0.181363,0.227993,0.271756,0.311926,0.350181,0.38529,0.417359,0.44617,0.471517,0.493502,0.512042,0.526236,0.53747,0.545994,0.551546,0.55422,0.554879,0.553629,0.550906,0.546411,0.539963,0.531844,0.521728,0.510065,0.497823,0.48545,0.472755,0.459667,0.445952,0.431658,0.416644,0.401032,0.385122,0.369001,0.352494,0.335664,0.318367,0.300685,0.282549,0.263891,0.24478,1
0.288206,0.257274,0.228155,0.200702,0.174807,0.150384,0.127396,0.105831,0.08565,0.066812,0.049277,0.032948,0.017718,0.003513,-0.009717,-0.022016,-0.033457,-0.044146,-0.054196,-0.063668,-0.072588,-0.080948,-0.088718,-0.095874,-0.102445,-0.108507,-0.114153,-0.119619,-0.125172,-0.130955,-0.137079,-0.143725,-0.15116,-0.159806,-0.170266,-0.18349,-0.201173,-0.225869,-0.258938,-0.294926,-0.323616,-0.342188,-0.353815,-0.36202,-0.368995,-0.376008,-0.383977,-0.393573,-0.405039,-0.417729,-0.429692,-0.438804,-0.444276,-0.446717,-0.447264,-0.446792,-0.446009,-0.445177,-0.44422,-0.442922,-0.44117,-0.43894,-0.43622,-0.433065,-0.429711,-0.426344,-0.423164,-0.420319,-0.417779,-0.415443,-0.412946,-0.409984,-0.40635,-0.402412,-0.399362,-0.397226,-0.395865,-0.395021,-0.394536,-0.394275,-0.394058,-0.39394,-0.394114,-0.39466,-0.3954,-0.396238,-0.397027,-0.397785,-0.398468,-0.398959,-0.399263,-0.399418,-0.399406,-0.399201,-0.398809,-0.398263,-0.397518,-0.396667,-0.395499,-0.393611,-0.390598,-0.386288,-0.381033,-0.374455,-0.366735,-0.357436,-0.346691,-0.334299,-0.320076,-0.303734,-0.284932,-0.263348,-0.238714,-0.210534,-0.178819,-0.143433,-0.103955,-0.061277,-0.01514,0.03301,0.081986,0.131831,0.181323,0.228013,0.271814,0.311977,0.350219,0.385363,0.417487,0.446332,0.471662,0.493668,0.512259,0.526458,0.537712,0.546303,0.551911,0.554595,0.555253,0.554036,0.551365,0.546918,0.540514,0.532439,0.522371,0.510774,0.498563,0.486221,0.473563,0.460506,0.446798,0.432531,0.417562,0.401972,0.386071,0.36999,0.353505,0.336697,0.319411,0.301709,0.283603,0.264951,0.245839,1
0.277406,0.245596,0.215651,0.18739,0.160726,0.135578,0.111915,0.089718,0.068956,0.049592,0.031543,0.014737,-0.000904,-0.015465,-0.029009,-0.041598,-0.053295,-0.064182,-0.074357,-0.083927,-0.092923,-0.101339,-0.109156,-0.116336,-0.122931,-0.129001,-0.13464,-0.140062,-0.145527,-0.151198,-0.157174,-0.1636,-0.170737,-0.178978,-0.188898,-0.201368,-0.218044,-0.241408,-0.272769,-0.307007,-0.334251,-0.351787,-0.362711,-0.370397,-0.376954,-0.383567,-0.391122,-0.400255,-0.411179,-0.423313,-0.434829,-0.443663,-0.449028,-0.451518,-0.452204,-0.451904,-0.451293,-0.450632,-0.449846,-0.448729,-0.447169,-0.445142,-0.442621,-0.439652,-0.436464,-0.43322,-0.4301,-0.427281,-0.424729,-0.422377,-0.419869,-0.4169,-0.413269,-0.409332,-0.406188,-0.40393,-0.402426,-0.40139,-0.40066,-0.400118,-0.399619,-0.399232,-0.399132,-0.399369,-0.399806,-0.400342,-0.400823,-0.401247,-0.401603,-0.401765,-0.40174,-0.401528,-0.401122,-0.400498,-0.399606,-0.398471,-0.397148,-0.395732,-0.394004,-0.391571,-0.388034,-0.38323,-0.377472,-0.370397,-0.362143,-0.352305,-0.341007,-0.328074,-0.313289,-0.296357,-0.276993,-0.254877,-0.22976,-0.201194,-0.169159,-0.133499,-0.09384,-0.051025,-0.004909,0.043153,0.092133,0.141979,0.191382,0.238216,0.282291,0.322923,0.361559,0.397044,0.429516,0.458787,0.484646,0.507105,0.526146,0.540925,0.552672,0.561649,0.567657,0.570764,0.571781,0.570889,0.568456,0.564263,0.558131,0.550301,0.540469,0.529084,0.517018,0.504785,0.492189,0.479125,0.465344,0.450927,0.435786,0.420027,0.403931,0.387599,0.370854,0.353761,0.336162,0.318101,0.299622,0.280601,0.261093,1
