@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2}

@data
-1.21131,-0.759957,-0.027417,0.827205,1.451908,1.890874,2.110301,2.17574,2.058783,1.570371,1.407876,0.97954,0.540809,-0.590264,-0.874093,-1.014861,-1.030727,-0.182554,0.609801,1.476863,2.378398,2.212479,2.037066,2.137865,2.085163,2.175603,2.473657,1.691454,0.603676,-0.41894,-0.833574,-0.270694,-0.88078,-1.372966,-2.350236,-2.909555,-2.583049,-1.66136,-0.963147,-0.288959,-0.235209,-0.926511,-1.549155,-2.185505,-2.600541,-2.729579,-2.146152,-1.505237,-0.793099,2
-1.09553,-0.84336,-0.088902,0.454219,1.26123,2.050013,2.227741,2.215921,1.503318,1.214723,0.880841,0.052342,-0.762686,-1.14003,-0.79821,-0.299835,0.482259,1.221402,2.245624,2.215807,2.068231,1.862579,2.007357,2.298803,2.786095,2.870145,1.939817,0.893938,0.274447,-0.57954,-0.872702,-0.599282,-1.265285,-1.823342,-2.487277,-2.490644,-2.244958,-1.542386,-1.04008,-0.719278,-0.996687,-1.384963,-1.792797,-2.121378,-2.63636,-2.317934,-1.628455,-0.937542,-0.517409,1
-1.210289,-0.741547,0.083807,0.893626,1.490921,1.777654,2.211329,2.427605,2.217542,1.891291,1.589709,0.9619,0.150796,-0.542678,-0.694009,-1.251724,-0.84666,-0.582667,-0.132941,0.783699,1.625191,2.530527,2.590456,2.295997,2.406562,2.436971,2.411985,1.582979,0.61336,-0.514962,-0.843674,-0.67042,-1.282367,-1.714733,-2.311611,-2.582435,-2.21158,-1.706007,-1.081519,-0.614526,-0.828242,-1.36354,-2.074811,-2.557791,-2.417927,-1.906166,-1.27186,-0.680885,-0.336338,1
-1.292375,-0.85087,0.050081,0.945571,1.560547,1.978518,2.293465,2.301136,2.119467,1.364924,0.520849,0.302458,-0.003265,-1.028095,-1.387634,-1.337014,-0.848931,0.164637,0.96556,1.559897,2.410303,2.329716,2.349384,2.604143,2.770857,2.418587,1.462092,1.008856,0.603509,-0.650975,-0.883185,-0.412851,-1.169429,-1.543243,-2.313028,-2.575766,-2.365428,-1.518952,-0.756982,-0.033426,0.123163,-0.458699,-1.144755,-1.885153,-2.521887,-2.707383,-2.262107,-1.564141,-0.692145,2
-0.808873,-1.005861,-0.434668,0.597592,1.77537,2.671118,3.186355,2.602629,1.730243,1.668066,1.246614,0.311574,-0.660836,-1.240029,-0.980236,-0.99151,-0.560828,-0.222683,0.654162,1.174966,1.726325,1.39455,1.504106,1.376255,1.377526,1.500836,1.925726,1.957804,1.08136,0.29465,-0.238355,-0.377152,-1.383571,-2.246875,-3.128544,-2.972966,-2.122914,-0.764063,-0.266469,0.739781,1.132136,0.055882,-0.944355,-1.990093,-2.779393,-3.063974,-2.604977,-1.474408,-0.421991,1
-1.262438,-1.053682,-0.474617,0.182668,0.781357,1.731785,2.18546,2.343748,1.987622,1.49715,0.870239,-0.078443,-0.755884,-1.120882,-1.385677,-1.013385,-0.315632,0.50571,1.320349,2.249827,2.70535,2.368683,2.325667,2.380158,2.671909,2.857266,2.069336,0.998691,0.125682,-0.901075,-0.917285,-0.785428,-1.456077,-1.905868,-2.503256,-2.430755,-1.906996,-1.16908,-0.497088,0.111095,0.172047,-0.525053,-1.191175,-1.71707,-2.168571,-2.502761,-2.144466,-1.520062,-0.73909,2
-1.314791,-0.912925,-0.266062,-0.057489,0.293887,0.98152,2.160002,2.763603,2.27941,1.753531,1.223143,0.41819,-0.45804,-1.185244,-1.167083,-0.676839,0.070421,0.928194,1.845821,1.774145,1.835296,1.544221,1.703113,2.230676,2.994664,3.028106,2.070015,0.981116,0.104521,-0.929667,-0.754217,0.095331,-0.715808,-1.429404,-2.479758,-2.826988,-2.423289,-1.585842,-0.748336,-0.004317,0.017786,-0.677232,-1.610985,-2.370156,-2.857537,-2.545137,-1.801996,-1.099773,-0.197797,1
-1.304057,-0.805984,-0.244122,0.779313,1.336272,1.54161,2.151984,2.104016,2.010243,1.734107,1.381154,1.061889,0.160204,-0.472943,-1.214144,-1.189084,-0.647204,0.256749,1.192315,2.046065,2.014528,2.048789,2.056764,2.389574,2.523087,2.851498,2.272828,1.1551,0.278949,-0.770246,-0.972083,-0.737177,-1.444796,-1.956957,-2.45178,-2.435534,-2.194457,-1.446108,-0.825238,-0.596505,-0.229077,-0.893453,-1.659936,-2.251906,-2.573781,-2.350514,-1.890611,-1.191514,-0.597828,1
-0.990883,-0.712531,-0.066323,0.755952,1.414948,1.897051,2.159825,2.480007,2.204582,1.63499,1.234065,0.787829,0.219363,-0.583871,-1.058067,-0.963974,-0.532965,0.203205,1.0115,1.881447,2.565353,2.564035,2.280553,2.538172,2.121263,2.129212,2.249866,1.326677,0.507535,-0.409857,-0.900273,-1.227518,-1.466583,-1.712907,-1.863177,-2.089488,-1.936363,-1.704342,-1.598643,-1.358351,-1.413455,-1.642502,-1.846386,-2.042511,-2.14229,-1.960673,-1.664923,-1.207689,-1.070883,1
-1.099068,-0.715792,-0.069959,0.225125,0.94979,1.592804,1.991109,1.914688,1.521548,1.022441,0.393955,-0.539149,-0.739999,-1.143327,-1.166158,-0.503236,0.240404,1.061773,2.054695,2.885137,2.856536,2.07947,1.792638,2.177239,2.56553,2.947852,2.547159,1.519398,0.521115,-0.514288,-0.91539,-0.683728,-1.176136,-1.750904,-2.231834,-2.371665,-2.163206,-1.573297,-0.935912,-0.419951,-0.783426,-1.019161,-1.637352,-2.035447,-2.429475,-2.295771,-1.8658,-1.31292,-0.768054,1
