@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute target {1,2}

@data
-0.928419,-1.008024,-0.993706,-0.945647,-0.986211,-1.037281,-1.034665,-1.016303,-0.914243,-0.789982,-0.605707,-0.522109,-0.339788,-0.115103,0.103824,0.23659,0.393327,1.136459,2.052095,2.579444,3.259164,3.937078,4.045582,3.995417,4.113419,4.480064,4.556113,4.424085,4.57172,4.211413,3.103545,2.774486,2.944766,2.547226,1.770504,1.224559,0.913486,0.694725,0.643764,0.757383,0.726646,0.441783,0.107844,0.0211,0.106106,0.235699,0.331648,0.469184,0.610789,0.789549,0.974543,1.149246,1.194118,1.09866,0.924077,0.74607,0.574656,0.439421,0.308216,0.21663,0.187685,0.189049,0.223835,0.303981,0.403915,0.490453,0.552121,0.657826,0.721974,0.805988,0.906142,0.906552,0.819102,0.690597,0.559219,0.483245,0.444035,0.491522,0.606637,0.706365,0.761002,0.644788,0.446192,0.276802,0.124957,0.029688,-0.151414,-0.368996,-0.621223,-0.949682,-1.313872,-1.474906,-1.619197,-1.662879,-1.638201,-1.656499,-1.59006,-1.599431,-1.618321,-1.622296,-1.655329,-1.641289,-1.607453,-1.577608,-1.403392,-1.233054,-1.077579,-0.934094,-0.864644,-0.890114,-1.00756,-1.220644,-1.450889,-1.626576,-1.792643,-1.937145,-1.949685,-1.718918,-1.635459,-1.634573,-1.589582,-1.555362,-1.383683,-1.2764,-1.134334,-1.024347,-0.720775,-0.450463,-0.338612,-0.230145,-0.368477,-0.623166,-0.895595,-1.331484,-1.764715,-2.126795,-2.39745,-2.554189,-2.607109,-2.64672,-2.682071,-2.685605,2
-0.556122,-0.55251,-0.464713,-0.308765,-0.320847,-0.402693,-0.44017,-0.484685,-0.468276,-0.331686,0.086335,0.269747,0.510134,0.769738,0.847586,1.00785,1.123188,1.529231,2.045289,2.371296,2.951608,3.622696,3.866106,4.209886,4.999736,5.838065,5.809469,5.047332,4.71986,4.465329,3.425757,2.947161,2.965957,2.437686,1.693281,1.300845,1.124182,1.046403,1.024937,1.05509,1.00586,0.770502,0.36331,0.123656,0.057149,0.017744,-0.103125,-0.222511,-0.302848,-0.2982,-0.23601,-0.113013,0.007862,0.099172,0.143751,0.174332,0.173134,0.140192,0.014649,-0.091239,-0.149563,-0.181365,-0.208956,-0.191774,-0.153421,-0.094053,-0.043186,0.028829,0.117927,0.226687,0.256541,0.20804,0.166725,0.144448,0.110865,0.068118,0.041988,0.093446,0.193954,0.293049,0.342386,0.359323,0.31895,0.252925,0.156415,0.059625,-0.034383,-0.080771,-0.29701,-0.597465,-0.863026,-1.049505,-1.16068,-1.241155,-1.294673,-1.314007,-1.337651,-1.348709,-1.363828,-1.374057,-1.365445,-1.367492,-1.383193,-1.377013,-1.388927,-1.396056,-1.409661,-1.436665,-1.496544,-1.555566,-1.638026,-1.697216,-1.731237,-1.737809,-1.717869,-1.661369,-1.61916,-1.552904,-1.479514,-1.489406,-1.477819,-1.471146,-1.473703,-1.475092,-1.475512,-1.448573,-1.410407,-1.375217,-1.316828,-1.282976,-1.269944,-1.28573,-1.318433,-1.36209,-1.408245,-1.442544,-1.457099,-1.461956,-1.465623,-1.464295,-1.460645,-1.461733,2
-1.115845,-1.064013,-0.941674,-0.70645,-0.576964,-0.65524,-0.76345,-0.838861,-0.889751,-0.882497,-0.657189,-0.415068,-0.035517,0.579762,1.344902,1.832398,1.93762,2.078556,2.55573,2.889929,3.320687,3.875761,4.118663,4.469348,4.978778,5.193551,4.870152,4.368953,4.064361,3.409698,2.343445,2.162963,2.448053,2.299549,1.800541,1.441343,1.258835,1.186245,1.042522,0.787689,0.493761,0.19417,-0.145958,-0.261073,-0.196324,-0.060975,0.043951,0.170472,0.324707,0.490847,0.623406,0.7327,0.760968,0.699007,0.559155,0.42161,0.309142,0.221872,0.112195,0.034168,-0.020763,-0.052308,-0.029171,0.071041,0.188116,0.292639,0.36329,0.456359,0.52863,0.597949,0.671722,0.698193,0.617598,0.483229,0.377478,0.312671,0.288217,0.364929,0.529048,0.657714,0.702673,0.606116,0.408303,0.221381,0.058151,-0.052594,-0.241608,-0.441775,-0.702948,-1.021798,-1.333191,-1.493977,-1.588074,-1.620882,-1.591221,-1.574803,-1.511581,-1.503654,-1.524373,-1.524441,-1.553602,-1.552769,-1.508652,-1.48915,-1.370737,-1.231381,-1.075505,-0.922764,-0.827691,-0.801276,-0.868559,-0.999673,-1.156677,-1.297814,-1.391808,-1.476903,-1.528078,-1.531487,-1.56739,-1.532349,-1.526026,-1.503521,-1.469707,-1.419954,-1.332404,-1.194793,-0.952813,-0.715631,-0.569689,-0.469487,-0.598313,-0.875206,-1.183838,-1.552984,-1.893106,-2.174857,-2.376795,-2.493574,-2.543517,-2.577232,-2.60082,-2.603072,2
-1.029043,-1.074178,-0.991712,-0.849009,-0.843517,-0.895939,-0.912781,-0.918394,-0.89186,-0.784961,-0.47943,-0.285373,-0.041037,0.281592,0.592345,0.81137,0.954053,1.505657,2.254963,2.719213,3.314642,3.923052,4.025395,4.1007,4.470386,4.861327,4.759877,4.395103,4.32133,3.880463,2.811792,2.534088,2.741758,2.433176,1.778619,1.336455,1.063754,0.894357,0.814447,0.804352,0.67076,0.396046,0.089114,0.034014,0.153994,0.311831,0.426293,0.55692,0.689204,0.859657,1.039711,1.193301,1.223894,1.134657,0.959013,0.776322,0.613167,0.485539,0.336882,0.243192,0.201024,0.175818,0.170133,0.232955,0.325437,0.418916,0.482393,0.550403,0.61163,0.671303,0.695498,0.648109,0.564857,0.475911,0.364978,0.25907,0.206987,0.228919,0.295646,0.348511,0.34358,0.272394,0.153205,0.041153,-0.077294,-0.179677,-0.386389,-0.600828,-0.894845,-1.208837,-1.500487,-1.688756,-1.819454,-1.890247,-1.923209,-1.931096,-1.922712,-1.93313,-1.964175,-1.969595,-1.956278,-1.915299,-1.87977,-1.819218,-1.719603,-1.628866,-1.522894,-1.439785,-1.422885,-1.418231,-1.461306,-1.520973,-1.551355,-1.574625,-1.58028,-1.447666,-1.426758,-1.430506,-1.399793,-1.489319,-1.49036,-1.456174,-1.387956,-1.239171,-1.045259,-0.768555,-0.42162,-0.148562,0.068041,0.169614,0.050034,-0.242623,-0.593372,-1.013123,-1.422478,-1.764263,-1.994972,-2.134741,-2.20569,-2.242939,-2.266335,-2.272733,2
-1.037218,-1.014694,-0.938699,-0.786243,-0.74114,-0.795065,-0.833584,-0.861728,-0.854484,-0.78321,-0.518391,-0.318557,-0.030595,0.379761,0.833291,1.134213,1.242628,1.643748,2.275326,2.6905,3.224497,3.794418,3.922182,4.044575,4.436601,4.76212,4.57539,4.173831,4.042016,3.578713,2.544598,2.333176,2.599323,2.37077,1.779614,1.378015,1.157404,1.039578,0.951237,0.883692,0.721503,0.461066,0.171368,0.117876,0.243016,0.404113,0.523775,0.659487,0.813116,1.00177,1.187361,1.342787,1.372462,1.272645,1.082225,0.871799,0.692537,0.566108,0.420397,0.32394,0.263895,0.221791,0.207573,0.254281,0.3401,0.422616,0.477222,0.535279,0.580257,0.617396,0.628007,0.578336,0.499698,0.420598,0.315595,0.209957,0.153702,0.164298,0.226196,0.285164,0.287389,0.21295,0.115397,0.025581,-0.082639,-0.173745,-0.373556,-0.592776,-0.878889,-1.214447,-1.568873,-1.763409,-1.902458,-1.983168,-2.002529,-2.01958,-1.988619,-1.979149,-1.979323,-1.937435,-1.936988,-1.901739,-1.871416,-1.886129,-1.846252,-1.793652,-1.750618,-1.707342,-1.704912,-1.722699,-1.762629,-1.78666,-1.820838,-1.790289,-1.768687,-1.705536,-1.653612,-1.610884,-1.541605,-1.52333,-1.508967,-1.461788,-1.38404,-1.21755,-0.974371,-0.680162,-0.288971,0.043793,0.277593,0.444326,0.359917,0.125748,-0.172489,-0.683547,-1.235313,-1.669588,-1.952869,-2.114849,-2.188729,-2.231009,-2.262899,-2.26806,2
-0.831106,-0.84755,-0.765108,-0.631448,-0.624149,-0.684496,-0.718721,-0.749663,-0.741707,-0.653476,-0.372082,-0.176059,0.094948,0.48393,0.890616,1.141143,1.258719,1.743736,2.446399,2.916611,3.560082,4.199582,4.295785,4.338032,4.691831,5.060767,4.93789,4.566129,4.477053,3.994834,2.864163,2.553923,2.733315,2.427662,1.810621,1.404962,1.158062,1.000271,0.907501,0.878345,0.730952,0.436066,0.079783,-0.042022,0.003776,0.094177,0.156431,0.239512,0.31673,0.428221,0.553302,0.673279,0.723168,0.690598,0.585437,0.475541,0.370039,0.283957,0.162951,0.083447,0.046422,0.024914,0.014637,0.074405,0.158897,0.250791,0.312776,0.389964,0.462242,0.531076,0.560637,0.530599,0.468509,0.403477,0.309417,0.208851,0.144326,0.150236,0.206758,0.271123,0.296937,0.258057,0.170611,0.078534,-0.021997,-0.109966,-0.272584,-0.432508,-0.684501,-0.988318,-1.275972,-1.458961,-1.587974,-1.658593,-1.697269,-1.714393,-1.710805,-1.724919,-1.754702,-1.763823,-1.771149,-1.74413,-1.731531,-1.694337,-1.633256,-1.56512,-1.500878,-1.447112,-1.448243,-1.446964,-1.504398,-1.567224,-1.612543,-1.606213,-1.595941,-1.53479,-1.478988,-1.444001,-1.406851,-1.474596,-1.495988,-1.468387,-1.418822,-1.33785,-1.216486,-1.027953,-0.798771,-0.621592,-0.473837,-0.401841,-0.476829,-0.659868,-0.877696,-1.157922,-1.44133,-1.679566,-1.839315,-1.933342,-1.978366,-2.002464,-2.016671,-2.020448,2
-1.121745,-1.133801,-1.043206,-0.91069,-0.881147,-0.926941,-0.941273,-0.958798,-0.928688,-0.828489,-0.519276,-0.313033,-0.057101,0.277459,0.584138,0.792325,0.921799,1.445652,2.18173,2.659217,3.282822,3.911949,4.018254,4.075045,4.466515,4.900205,4.81396,4.42501,4.345385,3.914243,2.804794,2.48922,2.690106,2.379185,1.740226,1.322356,1.067042,0.908316,0.833027,0.831515,0.704599,0.425083,0.111308,0.041441,0.160712,0.328249,0.451121,0.588061,0.722627,0.891396,1.067669,1.21491,1.250837,1.168056,0.99707,0.810546,0.644622,0.511004,0.360638,0.266149,0.2179,0.201718,0.193797,0.248481,0.33139,0.423106,0.48375,0.558926,0.634063,0.698892,0.69949,0.631414,0.54024,0.444545,0.334135,0.237569,0.189832,0.222054,0.295253,0.359699,0.361516,0.30692,0.189805,0.081091,-0.037493,-0.1484,-0.337298,-0.521227,-0.819167,-1.148415,-1.446983,-1.655564,-1.772421,-1.844006,-1.879165,-1.872347,-1.856804,-1.850425,-1.868521,-1.86693,-1.853196,-1.834333,-1.834911,-1.79179,-1.738517,-1.664882,-1.613114,-1.564282,-1.54449,-1.530216,-1.557691,-1.575893,-1.618642,-1.644536,-1.601015,-1.504116,-1.548298,-1.535134,-1.507158,-1.573075,-1.546378,-1.494064,-1.41249,-1.267167,-1.080182,-0.792873,-0.435282,-0.154308,0.072377,0.169502,0.06521,-0.222447,-0.568256,-0.989846,-1.400087,-1.731826,-1.948686,-2.07936,-2.152008,-2.183402,-2.200008,-2.206955,2
-1.426191,-1.468928,-1.415631,-1.296067,-1.319438,-1.34767,-1.333574,-1.299818,-1.258665,-1.134913,-0.846515,-0.671831,-0.480829,-0.260485,-0.090847,0.033137,0.172159,0.804941,1.576937,2.047232,2.635452,3.198589,3.264222,3.295964,3.628089,4.019426,3.981827,3.699324,3.717272,3.372415,2.390797,2.16904,2.433564,2.161853,1.504199,1.056193,0.77791,0.586358,0.52134,0.56789,0.462143,0.217401,0.031212,0.157005,0.472179,0.788092,1.043044,1.305975,1.576256,1.886243,2.177865,2.370586,2.361927,2.142986,1.805336,1.455046,1.150725,0.926234,0.718998,0.59625,0.550727,0.54404,0.548348,0.61426,0.713342,0.793636,0.839316,0.90266,0.941193,0.974971,0.968491,0.883961,0.748611,0.596364,0.446074,0.339399,0.329051,0.407553,0.516581,0.54924,0.476546,0.338515,0.151074,-0.014582,-0.171776,-0.321833,-0.60618,-0.902063,-1.251993,-1.589108,-1.878131,-2.077631,-2.197462,-2.255984,-2.27682,-2.25425,-2.220517,-2.216453,-2.238819,-2.236938,-2.191982,-2.169314,-2.152561,-2.0648,-1.944056,-1.815767,-1.663945,-1.546879,-1.477322,-1.407361,-1.403756,-1.407215,-1.375722,-1.330215,-1.299005,-1.235334,-1.23985,-1.221236,-1.204676,-1.318228,-1.317237,-1.21753,-1.087115,-0.825826,-0.505795,-0.021946,0.553059,0.999901,1.364981,1.5032,1.278213,0.74308,0.095556,-0.642614,-1.323847,-1.869657,-2.235818,-2.46331,-2.590631,-2.65278,-2.687832,-2.700473,2
-1.098136,-1.082588,-0.975466,-0.784065,-0.707833,-0.745964,-0.79516,-0.833621,-0.850092,-0.800439,-0.552152,-0.342367,-0.029673,0.443659,0.987074,1.329768,1.435971,1.731141,2.287942,2.680265,3.20711,3.793706,3.95182,4.130647,4.562883,4.874289,4.652092,4.210327,4.030494,3.509824,2.459561,2.24272,2.495691,2.299802,1.770315,1.410654,1.203972,1.097478,0.988283,0.860748,0.662054,0.397161,0.108236,0.043618,0.171195,0.355754,0.496085,0.649131,0.817874,1.012761,1.19594,1.336048,1.355832,1.248472,1.048078,0.839208,0.652592,0.512648,0.374024,0.27855,0.218355,0.183542,0.173392,0.22349,0.306903,0.397995,0.454857,0.513404,0.561092,0.60343,0.59632,0.53914,0.460799,0.37549,0.267794,0.169957,0.116285,0.142636,0.20642,0.26013,0.25917,0.208426,0.109807,0.017141,-0.097536,-0.209945,-0.40385,-0.594117,-0.894385,-1.226696,-1.544745,-1.761729,-1.887724,-1.96487,-1.995984,-1.989313,-1.961811,-1.943615,-1.957949,-1.949241,-1.919382,-1.900374,-1.902058,-1.890565,-1.884523,-1.845504,-1.817318,-1.776337,-1.773736,-1.769062,-1.788866,-1.764055,-1.753796,-1.731068,-1.67555,-1.557446,-1.554223,-1.523671,-1.468712,-1.505218,-1.470423,-1.437211,-1.345475,-1.181912,-0.971831,-0.650877,-0.25426,0.058343,0.315044,0.432574,0.33996,0.068168,-0.269246,-0.746145,-1.256721,-1.659417,-1.91549,-2.067807,-2.152495,-2.189618,-2.211562,-2.220541,2
-0.718986,-0.745463,-0.676692,-0.531436,-0.525193,-0.580976,-0.620548,-0.647427,-0.634125,-0.549706,-0.289005,-0.116902,0.157762,0.547305,0.950694,1.191791,1.288411,1.783715,2.47704,2.967908,3.643988,4.301911,4.400553,4.411294,4.74637,5.136026,5.018312,4.657353,4.573759,4.086876,2.93406,2.614732,2.766695,2.435428,1.817913,1.415599,1.171302,1.007191,0.915265,0.901146,0.768771,0.462152,0.083338,-0.081061,-0.070553,-0.00651,0.028937,0.086379,0.141199,0.228433,0.333157,0.44802,0.504939,0.493568,0.422191,0.346951,0.266387,0.192448,0.073964,-0.000795,-0.036655,-0.053569,-0.063639,-0.017186,0.062632,0.155078,0.218461,0.294804,0.373326,0.448568,0.482058,0.454876,0.405523,0.356142,0.273922,0.181298,0.118807,0.126936,0.181431,0.241388,0.273748,0.249898,0.178977,0.099539,-0.004173,-0.107117,-0.242042,-0.366485,-0.601185,-0.886718,-1.163823,-1.348121,-1.475132,-1.554726,-1.596315,-1.617834,-1.624407,-1.642995,-1.671548,-1.674926,-1.666863,-1.66213,-1.666523,-1.633546,-1.581003,-1.529732,-1.478321,-1.441923,-1.443501,-1.456634,-1.501258,-1.573436,-1.608427,-1.620468,-1.589532,-1.512199,-1.476622,-1.410083,-1.365955,-1.437937,-1.452251,-1.433141,-1.400268,-1.312579,-1.238572,-1.117352,-0.954255,-0.825486,-0.714909,-0.671359,-0.737324,-0.890394,-1.069276,-1.272264,-1.46386,-1.627374,-1.742135,-1.809608,-1.844427,-1.860016,-1.868917,-1.872809,2
