@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute attr206 numeric
@attribute target {1,2}

@data
-0.882813,-1.03307,-1.06793,-1.645594,-1.934251,-1.753678,-2.395963,-1.915388,-1.522906,-1.060614,-0.610821,-0.204089,0.37796,0.89813,1.16674,1.163132,1.405428,1.250459,0.845671,0.893453,0.435337,0.635537,0.324473,0.132603,0.091757,-0.039893,0.048503,0.233231,0.567257,0.947797,1.210051,1.712821,2.506739,3.15946,3.929606,4.437142,4.294775,3.883075,3.567625,2.999727,2.273927,1.162189,0.664579,0.622394,-0.107081,-0.081325,-0.061343,-0.363722,-0.691409,-0.772702,-1.055331,-0.982716,-1.049999,-1.095453,-0.90035,-0.933908,-1.095177,-1.050524,-1.132035,-1.216229,-1.140148,-1.035354,-1.01902,-1.122237,-1.159008,-1.30298,-1.199609,-0.964703,-1.178965,-1.04514,-0.941138,-0.912733,-0.978895,-0.949805,-1.165958,-1.05565,-0.837101,-0.688605,-0.723463,-0.810055,-0.889893,-0.658295,-0.710947,-0.748788,-0.856795,-1.725578,-2.015324,-2.0577,-2.110763,-2.089527,-1.665524,-0.944824,-1.020949,-0.650149,-0.211199,0.18089,0.331354,0.738216,2.648028,1.884751,0.614367,0.670099,0.445292,0.458736,0.363476,0.214588,0.099135,0.301384,0.256614,0.378676,0.736892,1.26279,1.598846,2.23458,2.898939,3.622164,4.106035,4.536791,4.448806,4.107143,3.527057,2.904147,2.442365,2.098628,1.158761,0.86083,-0.288715,-0.151719,-0.805919,-1.398729,-0.92721,-1.146051,-1.506346,-1.339452,-1.764249,-2.406141,-1.978992,-1.729347,-2.005309,-2.651448,-2.177271,-1.706491,-1.652682,-1.609707,-1.480424,-1.590449,-1.449329,-1.377612,-1.410489,-1.490008,-1.474882,-1.557669,-1.500945,-1.564893,-1.484021,-1.063818,-0.978636,-0.981575,-1.184807,-1.138748,-1.224044,-1.21415,-1.055921,-0.700396,-0.917636,-1.000997,-0.804454,-0.367684,-1.509939,-2.328089,-1.968128,-1.77993,-1.560526,-1.218992,-0.835468,-0.409851,-0.17737,0.269561,0.515701,0.725824,0.956613,0.597567,0.397912,0.524842,0.229792,0.421426,0.316499,0.07176,0.027504,-0.07946,-0.112264,-0.084477,0.135256,0.428463,1.13128,1.508797,2.140868,2.908108,3.612698,4.108067,4.155266,3.510592,2.947157,2.261284,1.244191,0.448013,1
1.265879,0.760021,0.172414,-0.268994,-0.614562,-0.878354,-1.219425,-1.427352,-1.25175,-1.258289,-1.194278,-1.094233,-1.088874,-1.1209,-1.217525,-1.261763,-0.952845,-0.717602,-0.724476,-0.860629,-1.007533,-0.959654,-0.927044,-1.033521,-1.128228,-1.239992,-1.161524,-1.16521,-1.075536,-1.106982,-1.108498,-1.07419,-1.014647,-1.025332,-0.894542,-0.905122,-0.851729,-0.742015,-0.647292,-0.68237,-0.482345,-0.38267,-0.418352,-0.582823,-0.717119,-1.261843,-1.355069,-1.405107,-1.392612,-1.033807,-0.568975,-0.12567,0.217628,0.479759,0.61361,0.722463,0.636191,0.460286,0.351823,0.327077,0.398188,0.27021,0.337115,0.004019,0.155776,0.757676,0.690539,0.956883,1.12243,1.411384,2.081515,2.787832,3.667253,4.523396,4.929233,5.808515,6.080901,5.319281,4.40085,3.958141,3.405125,2.972855,2.226615,1.698575,1.102989,0.500312,0.154827,-0.20686,-0.35049,-0.629495,-0.701105,-0.72873,-0.695958,-0.808883,-0.993753,-0.954889,-0.684419,-0.649199,-0.767425,-0.795096,-0.857231,-0.959699,-0.833782,-0.910546,-0.929813,-0.812507,-0.809506,-0.848724,-0.795348,-0.712897,-0.853201,-0.860583,-0.765905,-0.813441,-1.128999,-1.170334,-1.091605,-1.057353,-0.82014,-0.526218,-0.363887,-0.294077,-0.37214,-0.223572,-0.230927,-0.318072,-0.573649,-0.876275,-0.992899,-1.200591,-1.063522,-0.559551,0.143426,0.632613,1.009385,1.417329,1.653017,1.660029,1.735537,1.478018,1.051432,0.831118,0.72305,0.561076,0.643309,0.608359,1.218274,0.9736,0.365411,0.689923,0.586993,0.78973,1.198142,1.870134,2.387038,3.075959,4.081841,4.819609,5.160034,4.936698,4.151927,3.586959,2.946033,2.396828,1.720205,1.038217,0.214396,-0.361205,-0.939204,-1.321383,-1.492194,-1.464534,-1.550133,-1.525534,-1.499765,-1.495384,-1.50382,-1.418634,-1.441604,-1.391224,-1.34838,-1.394417,-1.443998,-1.383565,-1.398792,-1.437881,-1.390736,-1.378715,-1.407448,-1.43363,-1.456569,-1.435631,-1.383089,-1.458105,-1.490598,-1.467434,-1.47207,-1.370852,-1.14716,-1.020282,-0.986799,-0.784992,-0.730045,-0.827775,-0.753102,-0.656048,1
0.062289,-0.074285,-0.239764,-0.185588,-0.096085,-0.227651,-0.215983,-0.076426,-0.08911,-0.159836,-0.283348,-0.317509,-0.506446,-0.38328,-0.57906,-0.475766,-0.42925,-0.609955,-0.794218,-0.933396,-0.650179,-0.518478,-0.69232,-0.466129,-0.381917,-0.173624,-0.314457,-0.079637,-0.168126,0.102051,0.434067,0.399091,0.350289,0.355617,0.324548,0.247163,0.326636,0.083091,0.233309,0.455965,0.849072,0.987367,0.869017,0.757326,0.346005,0.302428,0.300139,0.22331,0.419134,0.338933,0.102745,-0.461527,-1.226394,-1.246099,-0.713641,-0.940094,-1.609594,-1.582335,-1.334376,-1.151627,-1.195499,-1.373634,-1.265199,-1.232891,-1.297319,-1.524866,-1.664605,-1.822941,-1.968908,-1.989624,-1.987651,-2.018818,-2.13425,-2.11627,-2.248029,-2.291543,-2.32447,-2.36832,-2.260975,-2.257679,-2.297779,-2.258055,-2.186556,-2.383539,-2.436362,-2.360512,-2.386397,-2.424551,-2.462457,-2.370772,-2.232203,-2.287027,-2.315163,-2.178079,-2.21587,-2.247558,-2.29025,-2.329217,-2.309262,-2.045315,-1.987176,-1.880031,-1.850651,-1.618399,-1.433674,-1.490454,-1.437948,-1.318381,-1.144934,-1.100232,-1.1104,-1.009334,-0.879229,-0.914293,-0.80503,-0.623385,-0.466876,-0.316538,-0.213317,-0.167836,0.093252,0.421008,0.516955,0.397488,0.530767,0.61981,0.821563,1.088035,1.358357,1.505305,1.690025,1.679203,1.761004,1.746696,1.797297,1.770896,1.789273,2.016542,2.322565,2.495719,2.783227,2.762607,2.899065,2.804134,3.117383,2.38052,2.180399,2.50085,2.56676,2.871851,2.98596,3.231442,3.17127,3.001454,2.723258,2.617191,2.332827,2.376828,2.490269,2.479341,2.36394,2.427961,2.326019,1.930008,1.338641,0.91737,0.840395,1.327225,1.820404,1.693158,1.691781,1.303397,1.446376,1.481325,1.599748,1.97648,1.775975,1.897481,2.070468,2.23103,2.300903,2.712667,3.172733,3.811317,3.650712,2.941991,1.065411,-0.463979,0.383948,-0.534644,-0.981333,-1.37973,-1.222343,-1.292705,-1.561013,-1.501357,-1.327969,-1.190738,-1.086058,-1.079632,-0.83493,-0.714659,-0.795289,-0.869662,-0.886454,-0.828317,2
-2.888648,-2.851809,-2.913506,-2.918618,-2.836627,-2.855132,-2.968181,-2.889649,-2.955207,-2.982505,-2.91214,-2.837698,-2.800309,-2.957571,-2.82727,-2.789995,-2.648147,-2.594002,-2.596268,-2.238404,-2.080101,-2.049089,-2.076033,-2.063118,-2.218088,-2.048496,-1.994797,-1.868457,-2.041207,-1.767599,-1.601794,-1.710118,-1.611752,-1.300492,-1.35872,-1.367821,-1.278808,-1.049367,-0.950275,-0.832266,-0.682131,-0.635894,-0.8384,-0.59293,-0.508547,-0.699529,-0.474915,-0.262612,-0.375596,-0.102,0.123405,0.106425,0.235899,0.508483,0.526926,0.612344,0.75643,0.792466,0.894507,1.035484,1.394034,1.592809,1.550057,1.669869,1.85865,1.907125,1.913775,1.905514,1.810527,1.730958,1.836887,1.744173,1.638144,1.347342,1.335608,1.221904,0.744837,0.554673,0.179217,0.037075,-0.261885,-0.214572,-0.034147,0.780537,0.898227,0.650376,0.823488,1.003951,0.613787,0.652423,0.46337,0.455872,1.014414,1.384683,1.511049,1.726557,1.90183,1.94984,1.913286,2.090171,2.198631,2.208678,2.174797,2.209307,2.463124,2.548102,2.347536,2.384941,2.263983,2.287687,2.282681,2.498746,2.499867,2.478903,2.551838,2.308065,2.311608,2.131735,1.964343,2.292991,1.97754,1.853737,1.827522,1.857237,1.243885,0.911049,1.079946,0.772297,0.128889,-0.732891,-1.780569,-1.358334,-0.745369,-1.116489,-1.281189,-1.280259,-1.121106,-1.089563,-0.964298,-0.950541,-1.01862,-1.057642,-1.160974,-1.173265,-1.282977,-1.341185,-1.425269,-1.62239,-1.784133,-1.963334,-1.873533,-1.970667,-1.997605,-1.912163,-1.73474,-1.76425,-1.79421,-1.843828,-1.813853,-1.677458,-1.639201,-1.381748,-1.212706,-1.100255,-1.096646,-0.985584,-1.041513,-0.966598,-0.734314,-0.718264,-0.706556,-0.200052,0.101447,0.143701,0.157365,0.154143,0.250654,0.508078,0.554873,0.419302,0.386488,0.581107,0.895784,1.045914,1.273836,1.41205,1.379885,1.642397,2.051046,1.996344,2.157419,2.077895,2.042985,2.115397,2.010547,1.952918,1.67412,1.54609,1.37155,1.082109,1.003082,1.184467,1.357126,1.233416,1.203467,1.203308,2
-1.259535,-1.534336,-1.713731,-1.89712,-1.846928,-1.876148,-1.669641,-1.449712,-0.996611,-0.617208,1.21531,2.118824,2.573046,3.238635,3.929014,4.409052,4.944604,4.566338,4.201939,3.734846,3.374889,2.914552,2.148708,1.277499,0.862531,0.559529,0.324202,-0.033672,-0.22726,-0.194262,-0.598733,-0.647414,-0.549367,-0.652969,-0.784404,-0.768342,-0.877471,-0.804803,-0.838019,-0.830599,-0.866512,-0.78111,-0.79102,-0.857124,-0.976053,-1.104389,-1.216479,-1.176763,-1.211357,-1.222589,-1.230136,-1.271559,-1.247355,-1.264466,-1.302697,-1.35452,-1.303352,-1.240536,-1.249694,-1.179136,-1.050327,-0.92681,-0.877275,-0.767689,-0.475573,-0.615453,-0.563968,-0.614842,-0.794732,-0.746189,-0.910437,-1.206913,-1.027848,-1.155674,-1.1369,-0.768576,-0.128884,0.153238,0.585208,0.884263,1.317284,0.90763,0.890528,1.01689,0.748066,0.699404,1.014634,0.90183,0.300482,0.454456,0.305979,0.248088,0.291981,0.060428,0.202889,0.237171,0.460623,1.058414,1.493508,2.298307,2.934997,3.629195,4.28481,3.945325,2.969624,2.874109,2.473014,1.907003,1.456689,1.399648,0.312212,-0.081091,-0.297332,-1.109818,-1.392983,-0.448768,-0.738451,-1.03476,-0.887293,-1.465009,-1.602046,-1.425286,-1.646374,-1.989181,-2.137062,-2.059564,-2.076967,-2.14572,-2.088139,-2.205718,-2.00584,-1.525227,-1.349157,-1.206978,-1.240169,-1.333238,-1.172207,-1.211409,-1.100311,-1.142813,-1.339834,-1.268303,-1.139612,-0.876371,-0.927206,-1.091596,-0.692536,-0.663507,-0.579643,-0.667819,-0.881828,-1.141141,-1.799821,-1.642706,-1.720199,-1.484235,-0.953914,-0.615862,-0.17249,0.177239,0.507086,1.058813,1.146722,1.018416,1.00579,0.726906,0.744638,0.715912,0.774662,0.693746,0.597287,0.539663,0.504288,0.526295,0.464448,0.333801,0.583493,1.011226,1.650706,2.455939,3.113107,3.659624,4.144216,4.428659,3.959918,3.305545,2.620428,2.111194,1.307908,0.933471,0.22154,-0.499934,-0.645949,-0.938641,-1.329101,-1.431633,-1.440085,-1.397452,-1.464041,-1.498628,-1.426144,-1.445369,-1.465882,-1.362876,-1.405483,-1.342155,1
-1.589321,-1.545206,-1.473842,-1.506772,-1.406041,-1.375507,-1.331527,-1.299075,-1.261799,-1.293954,-1.314205,-1.403572,-1.353039,-1.299737,-1.300637,-1.248456,-1.257451,-1.170734,-1.061979,-0.985722,-0.873207,-0.900682,-0.77198,-0.672736,-0.769872,-0.818258,-1.133032,-1.433481,-1.715323,-1.809081,-1.568113,-1.072231,-0.51755,-0.00493,0.438349,0.802736,0.947029,1.07324,1.072143,1.032787,0.828677,0.655993,0.566139,0.593829,0.274399,0.822307,0.371371,0.056552,1.088167,0.4114,0.117428,0.267612,0.817389,1.346414,2.170226,3.182704,4.209117,5.534444,6.420526,6.385181,5.777474,4.675335,4.256464,3.265606,2.693126,2.099981,1.762918,1.621033,0.933399,0.652062,0.236384,0.040729,-0.126438,-0.499043,-0.436127,-0.583118,-0.753853,-0.6319,-0.757899,-0.698203,-0.836793,-0.852144,-0.887737,-1.000553,-0.730297,-0.871098,-1.027917,-1.24535,-1.334072,-0.916723,-1.107091,-1.202165,-0.902381,-0.872481,-1.027717,-1.219686,-1.473363,-1.686676,-1.271159,-1.186131,-1.026509,-0.965579,-0.990136,-0.557183,-0.276922,-0.284184,-0.166314,-0.070929,-0.090707,-0.231378,-0.511568,-0.925047,-1.088027,-1.261694,-1.090914,-0.71007,-0.062428,0.470975,1.036565,1.431251,1.825585,2.030252,1.815789,1.558032,1.401974,1.164533,1.033859,0.744001,0.772593,0.534112,0.617789,1.150297,0.264026,0.624635,0.559975,0.611932,0.383343,0.577602,0.684619,1.123152,2.25367,3.676832,4.570868,5.032448,4.655822,3.817869,2.83875,2.297538,1.541815,0.698032,0.228212,0.127513,-0.161283,-0.709933,-0.894886,-1.072648,-1.298773,-1.39614,-1.380733,-1.336943,-1.326802,-1.521464,-1.574151,-1.455098,-1.442725,-1.387003,-1.367211,-1.312246,-1.300331,-1.276372,-1.333391,-1.312458,-1.276918,-1.200792,-1.200392,-1.203078,-1.35011,-1.522287,-1.361112,-1.247188,-1.062232,-1.024473,-0.973137,-0.86431,-0.750115,-0.666898,-0.479444,-0.712106,-0.822132,-0.747012,-0.712753,-0.860698,-1.255183,-1.469865,-1.747947,-1.798354,-1.335966,-0.831666,-0.285622,0.253294,0.58359,0.878997,1.023097,1.322952,1.448622,1.441661,1
1.633362,1.533279,1.497612,1.453215,1.374602,1.305387,1.186209,1.173138,1.043011,0.930994,0.898227,0.698594,0.510677,0.478683,0.181726,-0.069214,-0.001684,0.133949,0.019885,-0.084251,-0.116764,-0.354404,-0.621638,-0.817048,-0.967664,-0.95483,-1.054339,-1.09087,-1.032324,-1.166781,-1.29762,-1.244399,-1.287894,-1.282641,-1.184022,-1.160869,-1.214458,-1.177597,-0.935333,-0.675184,-0.805595,-0.35037,-0.211179,-0.077172,0.42017,0.566564,0.768942,0.970639,0.831619,0.399641,0.455924,0.861546,1.251108,2.024524,2.512395,2.527315,2.916278,3.016292,2.712489,2.785318,2.773935,2.954455,2.87627,2.684218,2.825036,2.859091,2.595631,2.352894,2.562378,3.112323,3.748734,4.396393,4.92873,5.231534,5.27456,4.850389,4.337327,3.452482,2.256751,0.881746,0.669893,0.332119,-0.185539,-0.591207,-0.793322,-0.86417,-0.994573,-0.735153,-0.991398,-1.089704,-1.158592,-1.239632,-1.311249,-1.373155,-1.258818,-0.966996,-0.911523,-1.037699,-1.148747,-1.151273,-1.112,-1.267378,-1.374929,-1.33291,-1.389303,-1.474916,-1.432663,-1.433663,-1.463657,-1.520039,-1.466437,-1.535517,-1.679377,-1.640573,-1.692605,-1.815264,-1.891539,-2.192113,-2.24029,-2.232403,-2.341405,-2.334546,-2.20731,-2.40591,-2.360647,-2.003928,-1.890923,-2.040112,-2.07251,-2.055089,-1.984843,-1.962826,-1.571465,-1.19494,-1.091565,-1.212085,-1.251563,-1.084786,-1.005424,-1.100945,-1.620524,-2.072,-1.883854,-1.161578,-0.911309,-0.00409,0.835977,1.366557,1.876432,1.94087,2.084549,1.767583,1.498594,1.586603,1.565088,1.733122,1.773858,1.699487,1.493125,1.254677,1.217723,1.16629,1.200838,1.009765,0.846754,0.783451,0.187543,-0.344707,-0.315969,-0.019081,-0.740243,-0.518475,-1.506494,-1.575554,-1.094473,-0.523282,0.204627,-0.265117,-0.461975,-2.054072,-1.658854,-0.078773,-0.250255,-0.010515,-0.224677,0.133501,-0.19605,-0.185966,0.255934,-0.037916,-0.240213,-0.472101,-0.453184,-0.654895,-0.69789,-0.67559,-0.747487,-0.765872,-0.861739,-0.870243,-1.030543,-1.192515,-1.237663,-0.75097,-0.704691,-1.042464,2
-0.825952,-0.390507,-0.137554,0.015434,0.240977,0.586739,0.733644,0.687151,0.698301,0.698327,0.6196,0.59714,0.662666,0.195796,-0.495605,-0.869616,-0.293413,-0.038063,0.189082,0.070551,0.129891,0.358968,0.719223,1.054452,1.599838,1.919476,1.804186,1.973699,2.090243,2.130453,2.281316,2.561461,2.484561,2.529357,3.070286,3.079139,2.337558,2.493031,2.354679,1.683256,1.159143,0.882748,0.830174,0.737634,0.618218,0.537065,0.39378,0.21503,0.290095,0.254613,-0.052898,0.041144,-0.091933,-0.533505,-0.531926,-0.948568,-0.959192,-1.085821,-1.148401,-1.339065,-1.242392,-1.540058,-1.83266,-1.740428,-1.936459,-2.323559,-2.466344,-2.575632,-2.732113,-2.790363,-2.891785,-2.836865,-2.632501,-2.624382,-2.632654,-2.573187,-2.656893,-2.715791,-2.683453,-2.525368,-2.208117,-2.158075,-2.081125,-2.019882,-2.08334,-2.143763,-2.196993,-2.077859,-1.868862,-1.385142,-0.831126,-0.320355,-0.083836,0.390055,0.559546,0.9147,0.991334,1.147208,1.429651,1.406689,1.555158,1.482137,1.473631,1.234397,1.055099,1.093238,1.063031,1.093809,0.970139,1.096198,1.319376,1.543677,1.654568,1.64259,1.661119,1.864499,2.229616,2.532772,2.705043,2.89421,2.942145,3.303043,3.392511,3.395707,3.239422,3.230969,3.185882,2.978425,2.646137,2.128428,1.460225,1.203755,0.877703,0.32813,0.330384,0.113889,-0.122922,-0.410618,-0.41369,-0.524927,-0.722854,-0.781323,-0.824473,-0.845863,-0.796721,-0.969288,-1.258691,-1.478162,-1.683979,-1.569467,-1.826464,-2.037128,-2.045847,-2.154517,-2.363979,-2.453604,-2.413748,-2.332886,-2.164628,-2.003541,-1.965169,-1.920515,-1.822587,-1.867003,-1.679476,-1.522325,-1.442626,-1.468387,-1.4737,-1.358716,-1.30609,-1.237017,-1.297476,-1.157657,-1.13342,-1.246568,-1.338039,-1.291163,-1.433616,-1.549849,-1.577145,-1.368637,-0.951822,-0.585728,0.055598,0.436127,0.863633,0.912049,0.943564,1.266232,1.492523,1.69001,1.608229,1.331584,1.177507,1.267184,1.475265,1.207733,1.161062,1.011593,0.946205,1.251801,1.164437,0.690401,0.408667,0.615659,2
-0.149228,0.042758,0.382109,0.787334,1.290505,1.980875,2.746818,3.275235,3.639794,4.088581,4.077375,4.106086,3.920683,3.520829,3.032595,2.31376,1.754199,1.044745,0.477313,0.129275,0.005646,-0.178488,-0.479202,-0.837991,-0.764634,-0.730464,-0.775902,-0.597362,-0.804796,-1.136588,-1.185095,-1.245288,-1.198652,-1.134805,-1.250226,-1.264234,-1.520866,-1.487203,-0.948684,-1.373034,-1.36033,-1.243561,-1.08603,-1.036515,-1.385171,-1.548451,-1.512978,-1.536344,-1.699575,-1.563032,-1.64117,-1.717342,-1.686584,-1.495213,-1.443968,-1.486009,-1.51611,-1.362061,-1.106184,-1.192644,-0.985142,-0.82235,-0.730025,-0.779727,-0.769287,-0.78041,-1.020745,-1.469955,-1.645271,-1.497068,-1.509816,-1.158487,-0.714597,-0.08734,0.363773,0.707766,0.894201,1.06038,1.258853,1.017055,0.561679,0.469852,0.45358,0.426256,0.238727,0.258811,0.267474,0.497875,0.416356,0.582495,0.987295,1.47601,1.891745,2.421276,3.051234,3.723919,4.701965,4.995302,4.533777,4.337064,3.829458,3.371977,3.069506,2.451657,1.620879,0.759373,0.60677,0.507658,0.071037,-0.16703,-0.434961,-0.450755,-0.632351,-0.668633,-0.833755,-1.039487,-1.135376,-1.342977,-1.319633,-1.03745,-1.122446,-1.212463,-1.053254,-1.066883,-1.075371,-1.296503,-1.387893,-1.467675,-1.405629,-1.420545,-1.555879,-1.362878,-1.48911,-1.53257,-1.328398,-1.399872,-1.458061,-1.380576,-1.190846,-1.246562,-1.097322,-1.023768,-1.010407,-0.781384,-1.31497,-1.041976,-0.801558,-0.679299,-0.816493,-0.847114,-0.866113,-1.061582,-1.428508,-1.667281,-1.652391,-1.164762,-0.664099,-0.062232,0.406166,0.854106,1.069634,1.005962,0.967183,0.804019,0.692493,0.473573,0.560431,0.387672,0.229427,0.227626,0.180773,-0.078298,-0.059275,-0.099385,-0.083225,0.129562,0.320961,0.694626,1.290025,2.006823,2.617468,3.109538,3.594559,3.662651,3.323878,2.811543,2.245256,1.455623,0.744539,0.448575,0.025177,-0.286684,-0.55877,-0.85408,-1.135314,-1.384884,-1.515898,-1.66514,-1.811944,-1.757642,-1.737355,-1.751899,-1.747741,-1.701623,-1.686067,-1.774879,1
-1.459485,-1.382244,-1.278785,-1.199087,-1.211017,-1.157151,-1.084062,-1.05122,-1.055025,-1.081536,-1.058524,-1.002511,-0.910771,-0.840161,-0.922931,-0.80298,-0.651468,-0.563602,-0.494541,-0.491062,-0.569093,-0.719823,-0.998973,-1.360869,-1.589264,-1.477216,-1.143901,-0.690421,-0.271392,0.078896,0.29881,0.415805,0.492723,0.477282,0.374205,0.370964,0.367638,0.185241,0.114484,0.199174,0.12014,0.060962,0.130168,0.201169,0.242747,0.359444,0.663216,0.998636,1.437748,2.137102,2.823173,3.617251,4.494887,5.14604,5.623406,5.406395,4.914282,4.385597,3.843675,3.501216,2.967119,2.376401,1.824389,1.41693,0.774784,0.609556,0.310421,-0.074544,-0.271595,-0.613819,-0.832356,-0.77974,-0.891825,-1.071983,-1.162989,-1.105055,-1.295203,-1.256294,-1.136119,-1.111979,-1.013642,-0.954337,-0.971182,-0.9774,-1.018152,-0.922301,-0.990778,-0.981738,-0.919371,-0.89985,-0.904656,-0.928583,-1.027164,-0.976644,-0.932827,-0.955497,-1.118557,-1.269873,-1.131695,-0.841903,-0.755867,-0.607454,-0.598068,-0.42482,-0.413653,-0.368636,-0.391875,-0.672227,-1.166128,-1.155548,-1.12518,-1.062813,-0.712613,-0.147802,0.429199,0.843247,1.087267,1.320277,1.340335,1.391581,1.065445,0.747527,0.548771,0.47421,0.368469,0.268642,0.216509,0.915493,0.397518,0.197996,0.479959,0.451278,0.586271,0.818877,1.529389,2.381784,3.258641,4.046091,4.765505,5.157,4.88811,4.346117,3.853716,3.291443,2.821837,2.282678,1.831174,1.496775,1.03921,0.459042,0.120943,-0.429323,-0.634649,-1.187492,-1.424969,-1.665208,-1.500633,-1.329557,-1.515381,-1.457449,-1.469614,-1.441998,-1.520427,-1.504796,-1.519169,-1.497962,-1.437305,-1.42359,-1.435337,-1.37372,-1.314354,-1.36057,-1.310063,-1.310993,-1.315405,-1.333286,-1.33754,-1.28653,-1.290759,-1.238963,-1.209396,-1.235231,-1.455131,-1.336604,-1.156669,-1.139122,-1.068569,-0.995819,-0.918545,-0.931832,-1.028302,-1.132043,-1.404807,-1.523049,-1.432999,-1.382829,-1.201413,-0.820069,-0.306407,0.1347,0.468526,0.625073,0.819627,0.866507,0.975026,0.837473,1
