@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute target {1,2}

@data
-0.315415,-0.378906,-0.467272,-0.615542,-0.697682,-0.756884,-0.772424,-0.765872,-0.783545,-0.79638,-0.813037,-0.807408,-0.805915,-0.818154,-0.853063,-0.881415,-0.87004,-0.891361,-0.915226,-0.89218,-0.87654,-0.854294,-0.813651,-0.757708,-0.681464,-0.622659,-0.544878,-0.524495,-0.48723,-0.443254,-0.390163,-0.281715,-0.150974,-0.00263,0.122105,0.295922,0.448619,0.425429,0.515847,0.53459,0.620808,0.720413,0.805713,0.883952,0.883605,0.806399,0.700745,0.616953,0.649517,0.654223,0.585718,0.531299,0.526645,0.553063,0.569768,0.513212,0.499319,0.37945,0.374614,0.297627,0.255837,0.181648,0.166405,0.195183,0.154663,0.171033,0.24085,0.32755,0.368034,0.434107,0.476971,0.539256,0.550307,0.601149,0.615907,0.54259,0.453902,0.395456,0.345723,0.257071,0.184229,0.203995,0.167701,0.207339,0.214184,0.311015,0.450036,0.57388,0.66502,0.736444,0.769713,0.865822,0.857821,0.852269,0.861451,0.786267,0.79503,0.674844,0.597985,0.525596,0.503457,0.404749,0.199405,0.053891,-0.129378,-0.248673,-0.287974,-0.297842,-0.288094,-0.223021,-0.158437,-0.086664,-0.083628,-0.121637,-0.071674,0.041893,0.203916,0.377045,0.463659,0.57525,0.812206,0.941055,1.144375,1.27901,1.362171,1.454037,1.4439,1.272411,1.171726,1.189149,1.257149,1.201569,1.417443,1.246673,1.00619,0.790853,0.759672,0.80435,0.927866,1.094598,1.144683,0.756086,0.373719,0.026173,-0.292729,-0.519034,-0.733817,-0.879345,-0.921838,-0.915855,-0.909357,-0.916436,-1.013124,-1.168806,-1.333824,-1.447798,-1.506712,-1.537399,-1.554081,-1.566159,-1.57423,-1.581294,-1.586875,-1.59217,-1.59587,-1.601113,-1.604462,-1.608442,-1.613786,-1.618589,-1.626974,-1.64364,1
-0.33876,-0.397586,-0.466684,-0.595117,-0.673883,-0.715845,-0.707535,-0.704415,-0.753187,-0.782511,-0.809688,-0.802408,-0.791175,-0.839146,-0.836364,-0.864344,-0.835986,-0.839813,-0.883788,-0.866542,-0.848517,-0.837138,-0.800732,-0.723125,-0.657248,-0.578963,-0.501154,-0.436829,-0.406964,-0.367247,-0.362693,-0.304701,-0.207491,-0.067961,0.079444,0.181524,0.302256,0.401597,0.427335,0.512751,0.492299,0.614088,0.696982,0.769776,0.761353,0.709807,0.571425,0.576841,0.567505,0.635685,0.53469,0.482334,0.507465,0.498501,0.548456,0.657097,0.548778,0.536387,0.516148,0.350641,0.348246,0.269765,0.282944,0.256006,0.220916,0.206214,0.290953,0.357169,0.412174,0.493277,0.603667,0.658645,0.694614,0.662501,0.724783,0.700162,0.564744,0.443645,0.356561,0.335146,0.269103,0.215787,0.270637,0.269034,0.274497,0.317379,0.486739,0.572557,0.702793,0.718413,0.805344,0.875803,0.798008,0.867722,0.873823,0.810096,0.720563,0.783391,0.659679,0.58181,0.602115,0.476245,0.278374,0.089428,-0.109,-0.234785,-0.305944,-0.262076,-0.320707,-0.157624,-0.075943,-0.02555,-0.05462,-0.146507,-0.103303,0.043654,0.124276,0.21258,0.387171,0.53884,0.681908,0.865144,1.01145,1.000184,1.253422,1.272161,1.330645,1.314783,1.229537,1.341209,1.148294,1.381465,1.315443,1.297143,0.816412,0.711299,0.680738,0.805458,0.892447,1.123993,1.21675,0.847607,0.408031,0.086794,-0.228769,-0.566537,-0.774908,-0.941211,-1.02708,-1.061605,-1.079487,-1.110174,-1.183226,-1.2886,-1.400712,-1.478422,-1.521005,-1.54404,-1.561398,-1.569578,-1.57716,-1.584576,-1.587886,-1.593271,-1.598093,-1.602699,-1.606396,-1.611681,-1.618046,-1.62285,-1.631209,-1.649254,1
-0.267039,-0.273284,-0.375399,-0.511946,-0.646186,-0.694223,-0.702639,-0.735193,-0.749295,-0.732206,-0.746662,-0.752652,-0.747169,-0.773179,-0.821149,-0.84336,-0.838398,-0.877477,-0.892512,-0.863965,-0.854653,-0.828855,-0.781655,-0.729548,-0.673405,-0.633045,-0.555569,-0.503384,-0.508754,-0.431154,-0.353362,-0.276471,-0.145383,0.004476,0.25572,0.329355,0.414744,0.480594,0.530846,0.577706,0.683605,0.707312,0.807372,0.916852,0.97018,0.893233,0.714363,0.688543,0.682323,0.667509,0.623443,0.55131,0.507711,0.587837,0.561352,0.481617,0.431512,0.43457,0.36247,0.358848,0.25215,0.19385,0.152672,0.215215,0.179198,0.122338,0.215957,0.337043,0.364007,0.3816,0.456981,0.499784,0.552489,0.519298,0.556506,0.568693,0.441901,0.363834,0.310566,0.264803,0.195231,0.194095,0.19487,0.162155,0.203889,0.242792,0.446195,0.572141,0.740557,0.737959,0.790917,0.897571,0.906296,0.855004,0.883911,0.86339,0.733536,0.631721,0.553707,0.512557,0.457086,0.323176,0.227002,0.048627,-0.131048,-0.290698,-0.302982,-0.316657,-0.312386,-0.240527,-0.198732,-0.15666,-0.151617,-0.176378,-0.137789,-0.008164,0.115215,0.236676,0.382432,0.576653,0.870595,0.961687,1.089489,1.219783,1.406101,1.492118,1.540166,1.257807,1.178727,1.239575,1.341699,1.385449,1.343596,1.274949,0.930241,0.731308,0.640635,0.63171,0.821408,1.056162,1.024131,0.663527,0.317045,-0.013584,-0.284726,-0.522052,-0.718727,-0.850217,-0.907453,-0.873079,-0.840704,-0.847332,-0.947691,-1.121407,-1.313608,-1.454441,-1.527283,-1.565275,-1.58758,-1.601329,-1.610948,-1.619708,-1.62661,-1.632604,-1.636772,-1.642611,-1.647486,-1.652792,-1.658355,-1.6645,-1.67415,-1.691722,1
-0.304615,-0.363959,-0.420447,-0.531957,-0.638805,-0.681185,-0.688048,-0.697943,-0.698158,-0.766781,-0.761103,-0.765514,-0.768247,-0.800475,-0.84594,-0.849508,-0.847748,-0.83906,-0.861481,-0.866677,-0.863509,-0.825458,-0.775753,-0.711837,-0.660102,-0.593105,-0.466848,-0.41278,-0.430622,-0.417728,-0.350443,-0.25685,-0.168932,-0.091076,0.090492,0.181892,0.320997,0.315689,0.400407,0.488211,0.574535,0.555624,0.70715,0.716636,0.683016,0.676943,0.625647,0.612199,0.616181,0.594215,0.49338,0.439455,0.440571,0.488508,0.542634,0.538932,0.533086,0.355049,0.381252,0.396437,0.293994,0.176406,0.186828,0.177863,0.176593,0.195326,0.213306,0.308644,0.376185,0.428202,0.490443,0.533943,0.655046,0.685504,0.676245,0.607242,0.506395,0.405827,0.32824,0.282875,0.225706,0.186148,0.188475,0.172995,0.20933,0.286036,0.405475,0.565375,0.708733,0.789445,0.777102,0.896607,0.84957,0.882759,0.854286,0.798604,0.73396,0.673489,0.578835,0.553759,0.499759,0.432856,0.246896,0.085237,-0.107035,-0.250301,-0.26849,-0.278255,-0.287472,-0.204687,-0.159707,-0.089001,-0.106414,-0.116925,-0.068567,0.03192,0.162591,0.273459,0.407376,0.550549,0.773112,0.918602,1.054157,1.208514,1.279499,1.430609,1.435469,1.532889,1.297291,1.302351,1.353328,1.357045,1.441545,1.466526,1.039905,0.807272,0.723175,0.813062,0.862557,1.19196,1.143356,0.699786,0.418104,0.079367,-0.272149,-0.540568,-0.752505,-0.900228,-0.984462,-0.997615,-0.998629,-1.021329,-1.098643,-1.225521,-1.365813,-1.464242,-1.513708,-1.541826,-1.558291,-1.571167,-1.581208,-1.587523,-1.594129,-1.598495,-1.604037,-1.60876,-1.613949,-1.61925,-1.62635,-1.632186,-1.640872,-1.658053,1
-0.360925,-0.416058,-0.503668,-0.648276,-0.752734,-0.778657,-0.790625,-0.820137,-0.808095,-0.818096,-0.832121,-0.812543,-0.830118,-0.842765,-0.874014,-0.897602,-0.888871,-0.911543,-0.923878,-0.902082,-0.899196,-0.864419,-0.83684,-0.76104,-0.696926,-0.645639,-0.548948,-0.507178,-0.49408,-0.453067,-0.397176,-0.291636,-0.143108,0.03049,0.212064,0.387786,0.428837,0.534418,0.561433,0.65709,0.689391,0.767788,0.908145,0.922414,0.966941,0.891293,0.725251,0.582276,0.725599,0.710918,0.575354,0.482022,0.541407,0.586206,0.5594,0.537261,0.488817,0.415711,0.370592,0.314219,0.204771,0.169845,0.181322,0.211852,0.1309,0.1512,0.253914,0.319076,0.402881,0.466684,0.558524,0.554481,0.602193,0.621063,0.657141,0.601133,0.519505,0.400364,0.364749,0.269692,0.237131,0.204075,0.156342,0.184519,0.261007,0.329963,0.455371,0.592692,0.774694,0.769202,0.807307,0.865659,0.917908,0.879376,0.889544,0.783807,0.749608,0.617419,0.579323,0.54372,0.433058,0.295946,0.148701,-0.062016,-0.21906,-0.306734,-0.321964,-0.35124,-0.344209,-0.249688,-0.156674,-0.123499,-0.129419,-0.147824,-0.094291,0.018539,0.190728,0.383005,0.476187,0.630512,0.867774,1.056289,1.182695,1.369211,1.468084,1.439564,1.43078,1.241834,1.126592,1.260971,1.266656,1.33518,1.384857,1.180838,0.905969,0.711632,0.582873,0.623361,0.835834,1.053146,0.953476,0.556365,0.148322,-0.147228,-0.405015,-0.627708,-0.797449,-0.921619,-0.953416,-0.924255,-0.901933,-0.886789,-0.969222,-1.129157,-1.292852,-1.40416,-1.460041,-1.489509,-1.505121,-1.514193,-1.523618,-1.528787,-1.533273,-1.53723,-1.54119,-1.5449,-1.54911,-1.552657,-1.55684,-1.562395,-1.569011,-1.584701,1
-0.230641,-0.332411,-0.418254,-0.526275,-0.651219,-0.681363,-0.713065,-0.683604,-0.712353,-0.777017,-0.796448,-0.78375,-0.796542,-0.835104,-0.84839,-0.856754,-0.830021,-0.839048,-0.864307,-0.867069,-0.844294,-0.803372,-0.766734,-0.708503,-0.598604,-0.526529,-0.430536,-0.356088,-0.332798,-0.334965,-0.303571,-0.246513,-0.169055,0.030041,0.053066,0.234856,0.318599,0.409488,0.453363,0.383489,0.515464,0.55596,0.727755,0.700136,0.680547,0.750617,0.646961,0.584879,0.517957,0.646721,0.632306,0.506533,0.527895,0.481092,0.604882,0.644954,0.604839,0.516458,0.513989,0.444091,0.399936,0.274914,0.274815,0.293451,0.250101,0.241551,0.277806,0.399677,0.413875,0.446218,0.539252,0.616729,0.619229,0.680959,0.73136,0.670217,0.570783,0.511239,0.424192,0.362874,0.287917,0.271028,0.263966,0.264649,0.239981,0.335385,0.415438,0.497559,0.61814,0.626508,0.627619,0.809817,0.823283,0.880512,0.88242,0.839817,0.710473,0.710312,0.65836,0.607189,0.556069,0.488254,0.315849,0.119677,-0.016415,-0.161711,-0.199628,-0.207331,-0.199936,-0.135851,-0.057878,0.088487,0.02733,-0.123838,-0.01109,0.078587,0.13674,0.270233,0.328031,0.444257,0.568703,0.6829,0.799316,0.949535,1.002913,1.176358,1.193032,1.229773,1.071179,1.183277,1.148728,1.20543,1.399792,1.247552,1.007295,0.831188,0.734816,0.860492,0.903159,1.183952,1.164332,0.875684,0.575532,0.232315,-0.174695,-0.442298,-0.702646,-0.874984,-0.965825,-0.986452,-0.999888,-1.012566,-1.107968,-1.263738,-1.426322,-1.540855,-1.600582,-1.633943,-1.653619,-1.666243,-1.675702,-1.683557,-1.689693,-1.694104,-1.699081,-1.704646,-1.709081,-1.712706,-1.720577,-1.725992,-1.736266,-1.754351,1
-0.293812,-0.322892,-0.39184,-0.54599,-0.632426,-0.700346,-0.716082,-0.704699,-0.722903,-0.755315,-0.789093,-0.784618,-0.77207,-0.787708,-0.840598,-0.865586,-0.83523,-0.857717,-0.884342,-0.87308,-0.849354,-0.835023,-0.789802,-0.747321,-0.669264,-0.584163,-0.514236,-0.461502,-0.454127,-0.400403,-0.353071,-0.243297,-0.121442,0.015079,0.193861,0.285753,0.403433,0.411464,0.502485,0.533719,0.644678,0.847135,0.868979,0.954748,0.909444,0.84802,0.679541,0.577142,0.611048,0.720478,0.558992,0.471802,0.519866,0.496772,0.581156,0.549639,0.554616,0.463804,0.45653,0.395351,0.286388,0.225591,0.217899,0.211274,0.165642,0.18237,0.264414,0.316863,0.369868,0.504915,0.561998,0.632632,0.65047,0.678679,0.668524,0.635881,0.467984,0.442364,0.348418,0.262467,0.200044,0.156247,0.138201,0.163402,0.169594,0.257503,0.419973,0.578628,0.685856,0.721127,0.776636,0.880631,0.885709,0.89859,0.828816,0.781984,0.721293,0.579906,0.511008,0.475433,0.430692,0.235991,0.105653,-0.041647,-0.21081,-0.349007,-0.400345,-0.39623,-0.400278,-0.30356,-0.231946,-0.142928,-0.175568,-0.256223,-0.192586,-0.063492,0.098472,0.168835,0.352473,0.567229,0.80807,0.925312,1.215987,1.265335,1.429106,1.479621,1.484459,1.352711,1.299124,1.307584,1.260735,1.318983,1.430414,1.22822,0.922268,0.707311,0.580196,0.758175,0.834734,1.126361,1.122183,0.71223,0.294629,-0.04795,-0.340865,-0.570808,-0.777372,-0.909895,-0.97145,-0.975861,-0.967046,-0.980181,-1.063951,-1.192856,-1.329654,-1.43035,-1.482902,-1.510328,-1.528596,-1.538503,-1.548215,-1.554052,-1.558849,-1.562706,-1.568359,-1.573429,-1.577059,-1.581358,-1.586842,-1.592277,-1.600828,-1.617335,1
-0.257545,-0.251008,-0.391295,-0.511346,-0.610754,-0.653619,-0.678309,-0.720712,-0.725346,-0.724358,-0.765227,-0.756636,-0.753092,-0.776734,-0.821185,-0.830597,-0.814305,-0.842358,-0.855304,-0.849748,-0.857342,-0.82691,-0.776328,-0.727047,-0.643138,-0.601754,-0.530054,-0.470122,-0.479781,-0.457862,-0.404381,-0.315929,-0.228578,-0.08339,0.096068,0.186021,0.30943,0.285685,0.324041,0.438224,0.532354,0.624481,0.626481,0.699311,0.624575,0.613412,0.597649,0.536588,0.490467,0.573388,0.472429,0.421968,0.425878,0.493628,0.484855,0.47046,0.424056,0.365545,0.358428,0.290512,0.199512,0.170781,0.213623,0.172876,0.128786,0.145605,0.241593,0.368145,0.351078,0.472501,0.486503,0.57232,0.585507,0.622262,0.659,0.567044,0.501163,0.416665,0.341525,0.271286,0.223948,0.254748,0.204406,0.205231,0.229961,0.284718,0.435837,0.605469,0.642278,0.640517,0.771239,0.88829,0.882016,0.848443,0.909781,0.909162,0.795126,0.72917,0.554546,0.552111,0.489284,0.393934,0.248767,0.09304,-0.079639,-0.195329,-0.245082,-0.263007,-0.285605,-0.241331,-0.153614,-0.117081,-0.085712,-0.162806,-0.156469,0.026515,0.121382,0.299044,0.454515,0.597908,0.709985,0.880633,1.030726,1.240819,1.364157,1.527746,1.627325,1.45753,1.363736,1.338006,1.371337,1.368928,1.461577,1.271822,1.098187,0.844127,0.643466,0.874151,0.843688,1.226432,1.170584,0.800516,0.414818,0.132064,-0.181778,-0.441116,-0.66454,-0.84137,-0.898183,-0.885691,-0.864705,-0.877776,-0.965423,-1.142731,-1.330804,-1.461589,-1.529297,-1.567289,-1.587516,-1.601445,-1.613913,-1.620669,-1.626708,-1.633486,-1.638412,-1.644752,-1.649571,-1.655306,-1.662071,-1.668589,-1.677536,-1.697415,1
-0.397683,-0.439448,-0.509911,-0.609391,-0.687992,-0.73391,-0.712244,-0.728931,-0.752915,-0.801147,-0.803386,-0.812984,-0.801104,-0.844591,-0.856387,-0.846894,-0.820099,-0.823234,-0.845969,-0.844337,-0.846074,-0.841779,-0.813414,-0.735681,-0.659418,-0.591565,-0.462553,-0.359839,-0.365729,-0.322262,-0.313483,-0.179881,-0.118976,0.017892,0.186466,0.307709,0.355638,0.488837,0.549852,0.632857,0.689127,0.820676,0.808271,0.897782,0.909087,0.730811,0.644577,0.651427,0.705872,0.65188,0.530753,0.526595,0.471245,0.547786,0.594988,0.600864,0.513035,0.474207,0.452972,0.402466,0.336731,0.222127,0.221601,0.263135,0.227227,0.183774,0.257361,0.386417,0.411026,0.467675,0.607688,0.703075,0.737252,0.781166,0.779746,0.696931,0.541498,0.416059,0.33586,0.27567,0.24004,0.206399,0.210346,0.206801,0.226583,0.331361,0.49319,0.584842,0.812378,0.786528,0.80916,0.901977,0.91666,0.900519,0.869945,0.777708,0.682607,0.648611,0.58265,0.538004,0.455964,0.357002,0.139891,-0.000338,-0.185923,-0.335276,-0.378409,-0.363113,-0.400354,-0.285111,-0.21102,-0.188927,-0.201953,-0.244288,-0.238487,-0.092619,-0.018514,0.131336,0.278146,0.464001,0.703991,0.915331,1.170916,1.262344,1.356629,1.445446,1.417918,1.230188,1.342648,1.235917,1.183634,1.159279,1.414648,1.181017,0.784514,0.553705,0.531665,0.724347,0.903532,1.375257,1.119026,0.727927,0.237482,-0.111218,-0.41918,-0.669694,-0.860814,-1.011746,-1.088057,-1.125919,-1.155865,-1.186967,-1.242507,-1.316367,-1.382637,-1.430028,-1.456341,-1.472156,-1.483607,-1.489406,-1.494997,-1.500298,-1.502717,-1.506089,-1.510064,-1.514082,-1.51767,-1.521124,-1.525368,-1.531528,-1.538757,-1.552952,1
-0.436423,-0.456583,-0.577627,-0.725402,-0.782968,-0.831645,-0.830284,-0.823169,-0.856929,-0.860744,-0.863331,-0.857684,-0.843961,-0.861558,-0.894833,-0.887792,-0.875693,-0.899588,-0.922374,-0.894272,-0.880813,-0.863919,-0.817653,-0.749079,-0.648528,-0.589932,-0.51851,-0.452275,-0.416753,-0.44198,-0.356189,-0.233497,-0.142564,-0.000795,0.170175,0.366472,0.311358,0.420567,0.533177,0.547191,0.638751,0.688578,0.743202,0.844224,0.814322,0.748085,0.685239,0.565766,0.661937,0.701809,0.581068,0.517336,0.472847,0.55306,0.560726,0.589637,0.473225,0.486573,0.44722,0.391884,0.272713,0.228836,0.222864,0.224604,0.219476,0.219577,0.250896,0.352611,0.423663,0.451547,0.512427,0.613487,0.662976,0.633003,0.697456,0.629799,0.507521,0.474771,0.388154,0.320625,0.283342,0.208853,0.204098,0.276772,0.267217,0.367297,0.52777,0.599914,0.705377,0.739736,0.798968,0.899687,0.878483,0.886048,0.919782,0.835069,0.710592,0.607447,0.572811,0.545064,0.431677,0.326215,0.200348,0.044437,-0.15456,-0.282437,-0.323218,-0.337259,-0.304496,-0.186898,-0.075885,-0.029944,-0.106566,-0.128291,-0.099517,0.010587,0.118471,0.29219,0.370742,0.534745,0.7818,0.987738,1.086279,1.256708,1.389373,1.432645,1.476507,1.282538,1.229805,1.211801,1.310558,1.326019,1.326398,1.183166,0.849684,0.644216,0.54233,0.757315,0.884134,1.175539,1.069263,0.75515,0.375323,0.013913,-0.328405,-0.554577,-0.760925,-0.897653,-0.95311,-0.959028,-0.948161,-0.960959,-1.046662,-1.178345,-1.322109,-1.422964,-1.479018,-1.507219,-1.523369,-1.533401,-1.541478,-1.548015,-1.552859,-1.557157,-1.561653,-1.56594,-1.569078,-1.574024,-1.57906,-1.583917,-1.591843,-1.608034,1
