@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2}

@data
-0.657083,-0.444098,-0.107355,0.336624,0.695932,0.822457,1.011865,1.080876,1.04701,0.830918,0.700165,0.492804,0.316091,-0.157643,-0.449885,-0.464259,-0.549172,-0.195761,0.261373,0.680951,1.1633,1.143941,1.010615,1.078197,1.073054,1.120871,1.223004,0.95163,0.396005,-0.099489,-0.554132,-0.127466,-0.375331,-0.612107,-1.065543,-1.435055,-1.328368,-0.930639,-0.479049,-0.200041,-0.056781,-0.375321,-0.683507,-1.049243,-1.241614,-1.356934,-1.191602,-0.768726,-0.481478,2
-0.600486,-0.470889,-0.112077,0.172377,0.541769,1.027941,1.159079,1.139565,0.826887,0.65771,0.475237,0.080565,-0.275612,-0.613964,-0.433992,-0.205723,0.11692,0.534218,1.027132,1.186426,1.052416,0.922469,0.96331,1.110611,1.348548,1.50838,1.050051,0.521876,0.151326,-0.182911,-0.624361,-0.293804,-0.532432,-0.837872,-1.197761,-1.226104,-1.140755,-0.846374,-0.532712,-0.377051,-0.445115,-0.664757,-0.867286,-0.979772,-1.275499,-1.209732,-0.849456,-0.518056,-0.26026,1
-0.666303,-0.451227,-0.046745,0.331704,0.704207,0.87981,1.046693,1.229601,1.18178,0.994421,0.82871,0.546255,0.155035,-0.215737,-0.33156,-0.577632,-0.483383,-0.319638,-0.105969,0.31464,0.761879,1.171685,1.301892,1.170636,1.160597,1.17161,1.249163,0.895727,0.395154,-0.140813,-0.558539,-0.319741,-0.539432,-0.815967,-1.066253,-1.29453,-1.125812,-0.903636,-0.57253,-0.313875,-0.366956,-0.609271,-0.955451,-1.246395,-1.202303,-1.020657,-0.684751,-0.403414,-0.152679,1
-0.699361,-0.504184,-0.091935,0.398381,0.709397,0.9751,1.125144,1.157146,1.027785,0.730764,0.354158,0.169814,0.052445,-0.391139,-0.716405,-0.66676,-0.452266,-0.024004,0.46628,0.668324,1.199933,1.140691,1.105689,1.262702,1.409078,1.240266,0.850176,0.484252,0.342753,-0.161098,-0.628111,-0.183421,-0.470051,-0.703983,-1.061997,-1.262102,-1.207609,-0.827248,-0.414244,-0.038811,0.080309,-0.116941,-0.495351,-0.855224,-1.186209,-1.339327,-1.207422,-0.805228,-0.440159,2
-0.421408,-0.547796,-0.284047,0.153974,0.778911,1.303142,1.610628,1.3927,0.925986,0.839607,0.695533,0.320632,-0.234634,-0.635513,-0.547663,-0.499875,-0.300141,-0.119171,0.211511,0.505039,0.806214,0.752696,0.720385,0.715086,0.666877,0.731749,0.893049,1.12062,0.640196,0.218294,-0.16521,-0.158888,-0.557259,-1.051131,-1.483277,-1.536925,-1.131117,-0.516688,-0.240615,0.202771,0.65006,0.172861,-0.37181,-0.887149,-1.323752,-1.518604,-1.367169,-0.808761,-0.319921,1
-0.709455,-0.596661,-0.272185,0.063503,0.313098,0.776143,1.039126,1.181637,1.061737,0.782955,0.526211,0.029669,-0.339851,-0.50002,-0.711073,-0.54566,-0.232627,0.162661,0.59326,1.014352,1.337435,1.252086,1.181166,1.191557,1.30424,1.469644,1.1274,0.586921,0.113943,-0.335605,-0.577997,-0.364842,-0.621157,-0.875348,-1.188821,-1.274025,-1.007781,-0.670548,-0.306057,-0.047077,0.182406,-0.174619,-0.525053,-0.7889,-1.034469,-1.220237,-1.12773,-0.804599,-0.438754,2
-0.71026,-0.542918,-0.169897,0.048518,0.061504,0.435572,0.942165,1.391372,1.212413,0.926462,0.678787,0.295826,-0.139045,-0.542783,-0.62252,-0.385857,-0.045265,0.373525,0.866881,0.878029,0.8962,0.830889,0.793906,1.077724,1.428406,1.611535,1.112351,0.615407,0.099675,-0.344698,-0.715092,0.039241,-0.221483,-0.664509,-1.096672,-1.408816,-1.199601,-0.900556,-0.415188,-0.041622,0.035276,-0.252653,-0.729492,-1.067379,-1.390916,-1.302806,-0.986063,-0.593332,-0.162243,1
-0.734555,-0.45405,-0.212228,0.271434,0.644345,0.718996,0.997532,1.087946,1.018608,0.908337,0.713758,0.609282,0.137359,-0.116437,-0.529842,-0.617712,-0.402067,0.024629,0.510882,1.00572,1.0203,1.034714,1.018852,1.170658,1.256355,1.424792,1.229063,0.681826,0.196893,-0.261436,-0.624676,-0.341911,-0.631713,-0.956465,-1.1597,-1.268781,-1.137939,-0.810792,-0.396456,-0.345978,-0.091154,-0.385646,-0.74234,-1.070645,-1.242573,-1.222542,-0.951368,-0.66647,-0.306801,1
-0.482671,-0.389937,-0.116165,0.291044,0.652548,0.899689,1.039457,1.221399,1.115157,0.831642,0.683868,0.457612,0.18034,-0.216732,-0.523248,-0.499644,-0.305366,0.038286,0.425257,0.854099,1.252938,1.285805,1.137838,1.236335,1.124357,0.989146,1.17585,0.758991,0.330179,-0.118805,-0.394183,-0.588078,-0.706011,-0.83447,-0.920694,-1.009673,-0.996669,-0.862157,-0.825447,-0.699766,-0.691677,-0.806075,-0.919013,-0.979598,-1.0856,-0.996091,-0.847745,-0.637035,-0.529286,1
-0.576815,-0.416676,-0.10859,0.030027,0.399691,0.738129,0.963491,0.987393,0.823755,0.564179,0.289723,-0.151688,-0.345508,-0.538716,-0.587437,-0.338339,0.065213,0.45777,0.919822,1.410483,1.468116,1.131835,0.886716,1.073676,1.209562,1.478232,1.331784,0.891894,0.356193,-0.155472,-0.551181,-0.318761,-0.548427,-0.846962,-1.066048,-1.188076,-1.103765,-0.842429,-0.545817,-0.193438,-0.3724,-0.448482,-0.747916,-1.025733,-1.212191,-1.183449,-0.945701,-0.69577,-0.421897,1
