@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute target {1,2,3,4,5}

@data
0.152778,-2.867918,-3.65982,-2.948913,-1.572548,-0.856778,-0.285462,-0.390386,-0.245954,-0.27766,-0.300149,-0.252998,-0.379258,-0.308997,-0.374058,-0.358127,-0.407959,-0.366989,-0.591478,-0.47935,-0.566606,-0.580886,-0.534634,-0.45283,-0.451253,-0.386048,-0.225008,-0.117244,0.00552,0.025548,0.061906,0.125124,0.187985,0.125689,0.185521,0.128282,0.211562,0.249232,0.348437,0.333255,0.357417,0.491437,0.497687,0.500576,0.523323,0.56631,0.563324,0.479098,0.489044,0.398233,0.366459,0.351094,0.343353,0.292846,0.389611,0.285565,0.159714,0.230668,0.224024,0.335955,0.634134,0.994965,1.194785,1.581867,1.708314,1.585269,1.320863,0.956735,0.379565,-0.137148,-0.196583,-0.217189,-0.24147,-0.207696,-0.244433,-0.292404,-0.334499,-0.228734,-0.234672,0.139649,0.728518,0.541203,0.116389,-0.030422,0.735729,1
-0.436875,-3.400109,-3.65716,-2.780759,-0.904422,-0.502993,0.102568,0.199721,0.123537,0.180011,0.0948,0.165084,0.058227,0.061307,-0.003165,0.028766,-0.070719,-0.073294,-0.188095,-0.227097,-0.309066,-0.27862,-0.265389,-0.277598,-0.156644,-0.19068,-0.051747,0.074323,0.141037,0.098798,0.21067,0.194449,0.112253,0.185714,0.103106,0.151224,0.147673,0.151934,0.137408,0.291435,0.196042,0.282374,0.278295,0.359478,0.353053,0.401219,0.367198,0.332652,0.312571,0.305177,0.273556,0.231403,0.211289,0.113661,0.088244,0.14575,0.107115,0.192312,0.455534,0.744373,0.927323,1.365713,1.802304,1.591741,1.368056,1.054393,0.537771,0.048231,-0.415039,-0.67479,-0.664479,-0.638391,-0.624829,-0.609434,-0.582939,-0.626721,-0.727082,-0.600687,-0.273352,0.458245,0.474424,0.599707,0.383895,0.415877,0.419153,1
-0.262877,-2.814327,-3.771545,-2.698029,-1.231885,-0.820744,-0.219272,-0.248771,-0.336357,-0.294595,-0.237433,-0.309885,-0.29957,-0.379674,-0.408997,-0.464918,-0.450163,-0.436181,-0.42203,-0.404758,-0.743037,-0.403505,-0.632805,-0.445162,-0.407822,-0.356195,-0.112546,-0.180848,-0.005329,0.264485,0.044745,0.103695,0.208894,0.118771,0.215618,0.251752,0.09711,0.226776,0.262974,0.220002,0.224323,0.368403,0.461373,0.522035,0.392864,0.639843,0.63312,0.401471,0.495617,0.352473,0.386856,0.435161,0.348114,0.344158,0.336044,0.368104,0.254679,0.54647,0.504708,0.783332,1.197412,1.388017,1.82908,1.73866,1.530399,1.277732,0.829736,0.370377,-0.119458,-0.076933,-0.427716,-0.262171,-0.280142,-0.42887,-0.300871,-0.463047,-0.245279,-0.181371,0.116777,1.068118,0.485384,0.153539,-0.669804,-0.036772,0.492497,1
0.73603,-2.47186,-3.5287,-3.172221,-1.747726,-1.076234,-0.209994,-0.196785,-0.095653,-0.181212,-0.143433,-0.13257,-0.156912,-0.240977,-0.118318,-0.31859,-0.262091,-0.32711,-0.460311,-0.476516,-0.56605,-0.62183,-0.512792,-0.43744,-0.576768,-0.472259,-0.367631,-0.315429,-0.061087,-0.115982,0.060235,0.031332,0.024154,0.103585,0.083108,0.082738,0.125314,0.18266,0.14524,0.30629,0.243193,0.288427,0.357327,0.432601,0.404524,0.513675,0.525325,0.466978,0.497142,0.483404,0.448554,0.473121,0.443734,0.342729,0.362675,0.287025,0.359319,0.431447,0.600659,0.819982,0.934501,1.35029,1.650933,1.564372,1.317701,1.162416,0.678582,0.281965,-0.190554,-0.29708,-0.424199,-0.33083,-0.377391,-0.383755,-0.415153,-0.382702,-0.343679,-0.411157,-0.068193,0.37949,0.343995,0.502104,0.689634,0.707592,0.76307,1
0.761917,-1.458661,-3.482439,-3.197199,-1.627601,-1.217983,-0.278304,-0.423453,-0.2909,-0.275712,-0.253048,-0.445538,-0.475193,-0.445912,-0.527399,-0.602085,-0.685291,-0.634942,-0.803946,-0.872507,-0.844066,-0.891008,-0.888343,-0.950543,-0.761187,-0.65636,-0.467978,-0.328622,-0.172882,-0.151913,-0.044597,0.062522,0.044953,0.100082,0.084007,0.100921,0.139603,0.182783,0.235001,0.264057,0.317795,0.34992,0.403329,0.448055,0.443906,0.384907,0.453434,0.489365,0.518273,0.481821,0.521563,0.459756,0.465823,0.392392,0.556953,0.340819,0.362367,0.314077,0.308242,0.436757,0.7311,0.863573,1.111815,1.403469,1.40097,1.358815,1.142406,0.850441,0.404844,-0.058129,-0.192657,-0.198957,-0.252317,-0.146888,-0.122475,-0.117072,-0.137263,-0.180834,-0.009213,0.876784,0.837621,0.997123,1.031955,0.721799,1.4133,1
-1.046304,-3.47403,-3.434395,-1.804915,-1.187088,-0.285813,-0.316758,-0.226429,-0.118979,-0.245484,-0.270252,-0.21819,-0.304836,-0.343366,-0.33268,-0.366539,-0.50128,-0.503807,-0.651864,-0.609231,-0.697931,-0.686131,-0.669697,-0.596774,-0.611847,-0.464157,-0.312256,-0.251305,-0.211317,-0.054273,-0.079756,-0.080349,-0.054889,-0.026044,-0.046206,0.048159,-0.098785,0.036947,0.056717,0.154914,0.126597,0.223514,0.364648,0.356156,0.376696,0.430214,0.522344,0.534818,0.434056,0.408553,0.349544,0.357216,0.36645,0.245856,0.297516,0.22082,0.262595,0.370372,0.524949,0.767688,1.008573,1.296957,1.592745,1.55261,1.516536,1.123528,0.798782,0.377196,-0.114956,-0.160981,-0.115223,-0.204921,-0.101569,-0.113947,-0.124227,-0.130124,-0.08656,-0.081009,0.293188,1.00972,0.800602,0.807986,0.568665,1.141247,0.6918,1
0.119888,-2.959732,-3.690315,-3.036633,-1.282017,-0.793205,0.040532,-0.086493,-0.152676,-0.141419,-0.085389,-0.034815,-0.13353,-0.177319,-0.211165,-0.26543,-0.240647,-0.31717,-0.339947,-0.442864,-0.432968,-0.556311,-0.450957,-0.464785,-0.528574,-0.359154,-0.267923,-0.166493,0.026137,0.074837,0.075961,0.125854,0.11642,0.064237,0.067691,0.108551,0.246934,0.256637,0.199514,0.179654,0.188273,0.269199,0.325799,0.321164,0.305048,0.46806,0.472373,0.464145,0.445648,0.35817,0.388939,0.279799,0.274867,0.189656,0.131141,0.308365,0.308139,0.343708,0.61144,0.728107,0.988179,1.434868,1.595328,1.501416,1.359796,0.943249,0.68405,0.140069,-0.341851,-0.418577,-0.375624,-0.459835,-0.360451,-0.427194,-0.428721,-0.330818,-0.360322,-0.374258,0.018673,0.49369,0.499763,0.750655,0.822657,0.760585,0.617719,1
0.723605,-2.042789,-3.80611,-3.029581,-1.449223,-1.016662,-0.159398,-0.19432,-0.139428,-0.160119,-0.178498,-0.255305,-0.20911,-0.330165,-0.396233,-0.401998,-0.392816,-0.416798,-0.511751,-0.640047,-0.556131,-0.733736,-0.7469,-0.677763,-0.633906,-0.534655,-0.355701,-0.258458,-0.191903,-0.080832,0.010228,0.012809,0.109195,0.028042,-0.0372,0.082856,0.047198,0.020815,0.134212,0.173041,0.135699,0.266939,0.257028,0.375364,0.502593,0.543302,0.550275,0.497752,0.523932,0.523843,0.358972,0.31191,0.346473,0.355651,0.294854,0.273241,0.333419,0.421575,0.601157,0.958002,1.022383,1.341382,1.578868,1.519317,1.247582,0.902562,0.563458,0.061375,-0.225961,-0.292547,-0.233703,-0.233697,-0.304696,-0.307611,-0.251772,-0.288847,-0.224165,-0.187635,0.448226,0.860347,0.963657,0.990354,0.620657,0.916608,0.277407,1
0.493539,-2.145919,-3.967961,-3.02061,-1.418054,-1.06318,-0.218292,-0.249631,-0.214549,-0.251121,-0.222963,-0.21442,-0.228558,-0.27784,-0.247769,-0.348738,-0.349176,-0.420281,-0.522739,-0.569742,-0.577626,-0.66956,-0.696909,-0.576374,-0.581373,-0.436569,-0.202967,-0.099434,-0.050144,0.048579,0.047749,0.0022,0.088854,0.181519,0.138219,0.094638,0.16789,0.186237,0.163329,0.226676,0.306776,0.379857,0.442688,0.404056,0.506875,0.52208,0.547683,0.570264,0.527025,0.480475,0.422982,0.493086,0.454541,0.371119,0.367017,0.32371,0.332998,0.290134,0.336643,0.460929,0.63738,0.618725,0.803405,1.072014,0.810273,0.525891,0.410427,0.382861,0.248325,-0.071073,-0.159676,-0.080514,-0.147777,-0.20301,-0.130559,-0.169022,-0.140219,-0.079373,0.512324,1.292911,1.637029,1.844704,0.744239,0.1899,-1.087051,1
-0.74405,-1.701969,-2.421873,-2.251499,-1.527891,-1.036964,-0.611504,-0.521038,-0.652539,-0.536166,-0.527817,-0.574923,-0.597723,-0.518604,-0.515193,-0.552644,-0.524181,-0.544615,-0.640745,-0.582482,-0.585843,-0.637341,-0.587141,-0.553256,-0.613722,-0.520064,-0.45703,-0.518414,-0.455231,-0.385933,-0.348696,-0.30017,-0.348532,-0.288426,-0.340392,-0.316254,-0.334474,-0.292611,-0.274249,-0.297132,-0.181631,-0.224572,-0.136709,-0.113845,-0.070952,-0.001882,0.008142,0.05052,0.034209,0.085202,0.086105,0.099288,0.090109,0.154908,0.129088,0.120647,0.244428,0.390994,0.442551,0.598309,0.752451,0.942663,0.962051,0.879831,0.746854,0.574317,0.441501,0.060872,0.054803,0.078458,0.415233,0.76553,0.822873,0.811943,0.878185,0.895123,1.032152,1.310849,1.74189,1.676599,1.813619,1.84176,1.698351,1.808591,1.227922,1
