@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.359118,-0.260982,0.032301,0.40003,0.712578,0.960677,1.192892,1.211512,1.219763,1.034287,0.67936,0.365775,0.012069,-0.305127,-0.401797,-0.286563,-0.054317,0.23112,0.54189,0.856632,1.164091,1.134543,1.154533,1.149242,1.108405,1.116528,0.866282,0.529953,0.211548,-0.10234,-0.280275,-0.897022,-0.886178,-0.882266,-0.880245,-0.879004,-0.878164,-0.877561,-0.877112,-0.876776,-0.87653,-0.876364,-0.876282,-0.8763,-0.876459,-0.876846,-0.877675,-0.879567,-0.88514,6
-0.28028,-0.276974,0.01944,0.357523,0.689177,0.994103,1.137678,1.104006,1.197951,1.232777,0.97818,0.669332,0.349277,-0.028921,-0.297144,-0.338397,-0.191086,0.063496,0.358564,0.673934,0.976253,1.023662,0.963639,1.051045,1.025072,1.071337,0.984668,0.669845,0.332681,0.008231,-0.209661,-0.923801,-0.911652,-0.90748,-0.905446,-0.904278,-0.903547,-0.903071,-0.902762,-0.902575,-0.902489,-0.902498,-0.902608,-0.902842,-0.903253,-0.903948,-0.90518,-0.907663,-0.914317,6
-0.284847,-0.20231,0.080901,0.400768,0.673789,0.915548,1.052176,1.06259,1.15462,1.060157,0.79917,0.487343,0.205061,-0.122174,-0.349321,-0.23453,-0.016402,0.26131,0.582972,0.879622,1.12196,1.098351,1.044538,1.048966,1.092596,1.137467,0.908196,0.59289,0.272842,-0.025931,-0.200243,-0.934717,-0.92199,-0.917583,-0.915439,-0.914223,-0.913482,-0.913021,-0.912747,-0.912612,-0.912593,-0.912685,-0.912898,-0.913259,-0.913829,-0.914731,-0.916251,-0.919191,-0.926824,6
-0.245495,-0.274923,0.001233,0.349502,0.691421,0.967495,1.142363,1.115435,1.163938,1.17394,0.878048,0.567712,0.267066,-0.085959,-0.302394,-0.331936,-0.148225,0.130045,0.443147,0.769271,1.067597,1.022622,1.045806,1.101113,1.015042,1.127648,0.948422,0.612708,0.302788,0.002891,-0.177286,-0.928651,-0.915022,-0.91016,-0.907707,-0.906251,-0.905305,-0.904661,-0.904215,-0.903915,-0.903734,-0.903662,-0.903704,-0.903884,-0.904258,-0.90494,-0.906205,-0.908823,-0.915936,6
-0.326277,-0.230982,0.067986,0.382297,0.69619,0.985996,1.183666,1.150773,1.231299,1.105884,0.846786,0.507818,0.223524,-0.122739,-0.403455,-0.379293,-0.170653,0.115891,0.438023,0.744885,1.055763,1.014163,1.088876,1.168164,1.080722,1.134428,0.937669,0.59098,0.256615,-0.061747,-0.256666,-0.909155,-0.897696,-0.893673,-0.891668,-0.89049,-0.889734,-0.889227,-0.888885,-0.888663,-0.888541,-0.888511,-0.888581,-0.888772,-0.889135,-0.889773,-0.890935,-0.893319,-0.899829,6
-0.288189,-0.223981,0.051675,0.372745,0.709398,1.064938,1.135838,1.074686,1.203545,1.097974,0.802684,0.46924,0.143235,-0.191873,-0.311148,-0.234908,-0.034701,0.220215,0.537148,0.849793,1.056,1.080757,1.056121,1.061247,1.037986,1.108448,0.923792,0.602201,0.277364,-0.007013,-0.198314,-0.931601,-0.919043,-0.914719,-0.912617,-0.911422,-0.910689,-0.910229,-0.909951,-0.90981,-0.909783,-0.909867,-0.91007,-0.910423,-0.910986,-0.911885,-0.91341,-0.916366,-0.924031,6
-0.345381,-0.270921,0.027678,0.354602,0.680365,0.938408,1.120404,1.182508,1.211614,1.091276,0.775305,0.425858,0.096785,-0.180554,-0.372954,-0.29625,-0.062562,0.238462,0.556658,0.770877,1.080007,1.098889,1.114939,1.183052,1.089928,1.150048,0.912559,0.593366,0.252497,-0.059458,-0.251982,-0.912995,-0.901397,-0.89718,-0.89499,-0.893648,-0.892747,-0.892113,-0.891658,-0.891336,-0.891124,-0.891013,-0.891009,-0.891132,-0.89143,-0.892007,-0.893104,-0.895406,-0.901733,6
-0.283986,-0.24058,0.044233,0.371287,0.670234,0.953225,1.146459,1.074766,1.16652,1.069844,0.791813,0.504345,0.187112,-0.181167,-0.356534,-0.271303,-0.070623,0.207728,0.513415,0.824917,1.04946,1.162812,1.036295,1.054753,1.065718,1.112967,0.999391,0.684593,0.340449,0.027831,-0.17586,-0.933756,-0.920731,-0.916288,-0.914159,-0.912971,-0.91226,-0.911827,-0.91158,-0.911471,-0.911479,-0.911599,-0.911844,-0.912245,-0.912869,-0.913854,-0.915514,-0.918718,-0.926948,6
-0.355767,-0.305401,-0.030055,0.31512,0.675152,0.967726,1.189926,1.153748,1.212664,1.132488,0.846135,0.529738,0.172323,-0.128046,-0.360841,-0.37357,-0.155612,0.172741,0.498228,0.79468,1.090055,1.080872,1.107999,1.122069,1.147045,1.110439,0.887026,0.564763,0.233141,-0.081365,-0.30358,-0.899821,-0.889213,-0.885515,-0.883679,-0.8826,-0.881904,-0.881431,-0.881104,-0.880884,-0.880749,-0.880694,-0.880724,-0.880858,-0.881139,-0.881661,-0.882645,-0.88472,-0.890498,6
-0.301356,-0.265738,0.028134,0.399236,0.719298,0.957658,1.133868,1.132788,1.218931,1.072129,0.762498,0.474288,0.132423,-0.154241,-0.350662,-0.302898,-0.076212,0.224397,0.551951,0.87715,1.087167,0.993264,1.1057,1.087941,0.980188,1.115758,0.987221,0.640114,0.291366,-0.014583,-0.218168,-0.923377,-0.911046,-0.906757,-0.904639,-0.903404,-0.902614,-0.902086,-0.901728,-0.901495,-0.901362,-0.901323,-0.901384,-0.901566,-0.901919,-0.902549,-0.903702,-0.906081,-0.912578,6
