@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute target {1,2}

@data
-0.366594,-0.474334,-0.489756,-0.463911,-0.482408,-0.51,-0.518555,-0.507279,-0.470673,-0.407411,-0.321313,-0.263134,-0.197684,-0.073262,0.027022,0.114396,0.163313,0.470741,0.951328,1.24152,1.546715,1.922467,2.024999,2.000816,2.028553,2.207139,2.286238,2.216458,2.267421,2.186713,1.650011,1.376322,1.469641,1.33619,0.959522,0.651274,0.482517,0.363416,0.317866,0.365868,0.377144,0.25611,0.078375,0.006916,0.040008,0.104269,0.154122,0.218088,0.289197,0.374149,0.468312,0.557051,0.599223,0.559704,0.479721,0.387774,0.30196,0.229966,0.164712,0.112395,0.09342,0.089984,0.105705,0.139657,0.19095,0.235744,0.267032,0.31508,0.356402,0.385852,0.445973,0.452769,0.419801,0.35513,0.288998,0.245748,0.220003,0.236712,0.285488,0.342871,0.376647,0.342514,0.239439,0.153748,0.072573,0.027145,-0.059947,-0.154335,-0.284896,-0.444199,-0.633333,-0.728228,-0.800982,-0.831292,-0.825859,-0.828042,-0.797776,-0.801586,-0.811934,-0.814295,-0.828256,-0.831308,-0.812168,-0.801533,-0.716353,-0.633864,-0.557861,-0.482333,-0.438816,-0.443933,-0.490876,-0.594081,-0.706966,-0.796544,-0.889946,-0.95228,-0.972047,-0.890546,-0.812829,-0.829247,-0.793767,-0.796177,-0.708288,-0.656024,-0.58404,-0.540056,-0.400093,-0.244876,-0.190287,-0.122525,-0.163001,-0.295641,-0.418081,-0.617662,-0.844601,-1.038257,-1.178633,-1.276388,-1.307174,-1.328816,-1.354912,-1.368948,2
-0.232498,-0.266039,-0.241199,-0.159219,-0.151708,-0.191305,-0.216326,-0.235717,-0.240288,-0.186264,-0.002359,0.132162,0.215876,0.375025,0.411087,0.490429,0.545853,0.709075,0.982977,1.149877,1.403177,1.761297,1.915581,2.054228,2.405475,2.858415,2.95038,2.598693,2.363875,2.294483,1.817448,1.479886,1.495375,1.291525,0.909937,0.675293,0.574997,0.52737,0.511453,0.524429,0.513043,0.417405,0.220134,0.074331,0.032079,0.01377,-0.037714,-0.102254,-0.146586,-0.153639,-0.127012,-0.071141,-0.00726,0.04091,0.068213,0.083581,0.08701,0.07549,0.020963,-0.039263,-0.070384,-0.08948,-0.102849,-0.100925,-0.0812,-0.054598,-0.027255,0.004685,0.048655,0.10227,0.129723,0.107723,0.086215,0.072893,0.058962,0.036843,0.020664,0.037015,0.086123,0.13625,0.167917,0.178797,0.164972,0.132568,0.088947,0.038272,-0.010148,-0.030357,-0.118526,-0.273477,-0.407199,-0.511772,-0.572949,-0.61712,-0.644755,-0.656085,-0.667712,-0.674578,-0.68101,-0.687811,-0.684654,-0.683429,-0.690713,-0.690451,-0.695286,-0.698942,-0.704268,-0.716408,-0.742515,-0.77389,-0.809789,-0.847772,-0.860922,-0.875354,-0.857849,-0.843804,-0.811273,-0.788416,-0.74596,-0.746325,-0.743214,-0.737552,-0.740601,-0.738527,-0.741588,-0.730464,-0.71122,-0.693168,-0.66621,-0.645896,-0.637641,-0.642845,-0.65826,-0.67868,-0.703164,-0.721358,-0.731625,-0.734175,-0.737513,-0.738764,-0.738435,-0.745199,2
-0.489306,-0.518735,-0.477596,-0.370978,-0.286787,-0.311711,-0.369705,-0.409899,-0.439758,-0.445105,-0.357256,-0.228161,-0.067313,0.222738,0.598317,0.8876,0.96602,1.009661,1.229131,1.418235,1.601636,1.893601,2.039607,2.186286,2.440826,2.598506,2.479842,2.229336,2.057832,1.802922,1.25603,1.059339,1.205598,1.18438,0.949321,0.745017,0.641976,0.597766,0.540433,0.420675,0.27398,0.129471,-0.045691,-0.130831,-0.109224,-0.045742,0.011861,0.068997,0.145797,0.227782,0.299392,0.355175,0.381283,0.357116,0.293951,0.22124,0.163511,0.118136,0.066114,0.021409,-0.006715,-0.026394,-0.021334,0.02187,0.081264,0.135563,0.173384,0.215744,0.258333,0.287496,0.328795,0.347346,0.319433,0.251862,0.195621,0.160896,0.14034,0.170289,0.243955,0.318479,0.349312,0.32001,0.223754,0.126783,0.043216,-0.01356,-0.102692,-0.192043,-0.322242,-0.483543,-0.643781,-0.737866,-0.790128,-0.811384,-0.802454,-0.790933,-0.762509,-0.752272,-0.764817,-0.765689,-0.774609,-0.786265,-0.760762,-0.753103,-0.697273,-0.63005,-0.557993,-0.475893,-0.424272,-0.402377,-0.425921,-0.488515,-0.566025,-0.63826,-0.69447,-0.728424,-0.766048,-0.764614,-0.786443,-0.771531,-0.767532,-0.756552,-0.740742,-0.720332,-0.67977,-0.622416,-0.50704,-0.378601,-0.305901,-0.240881,-0.279393,-0.416901,-0.560741,-0.73869,-0.917389,-1.067924,-1.174435,-1.246201,-1.273925,-1.293449,-1.312059,-1.323715,2
-0.446699,-0.517994,-0.502593,-0.427238,-0.415329,-0.439235,-0.455056,-0.456414,-0.449721,-0.407609,-0.273059,-0.152907,-0.054718,0.113558,0.263666,0.393264,0.45341,0.678697,1.06392,1.317526,1.585459,1.920771,2.01311,2.032008,2.186939,2.4073,2.408539,2.226925,2.160217,2.02422,1.498124,1.253387,1.361917,1.269727,0.950684,0.699998,0.554996,0.458704,0.4105,0.403745,0.354781,0.228936,0.067528,0.010831,0.061756,0.139904,0.202524,0.263183,0.330799,0.409636,0.502268,0.583053,0.613574,0.578665,0.497687,0.403448,0.320279,0.254026,0.181947,0.125578,0.103766,0.088329,0.083012,0.106244,0.153066,0.199135,0.235282,0.265677,0.300555,0.326913,0.348391,0.328441,0.290654,0.245076,0.193494,0.13747,0.104814,0.108566,0.139037,0.169491,0.173929,0.146156,0.088272,0.030449,-0.028274,-0.077093,-0.171938,-0.268284,-0.415212,-0.57821,-0.724925,-0.831721,-0.900897,-0.943115,-0.961581,-0.965896,-0.961953,-0.96625,-0.980626,-0.987463,-0.981294,-0.964105,-0.942783,-0.921444,-0.866154,-0.824063,-0.77322,-0.728653,-0.711852,-0.711234,-0.725688,-0.75594,-0.775685,-0.791743,-0.789928,-0.749575,-0.718286,-0.726448,-0.698745,-0.746066,-0.750222,-0.734556,-0.703125,-0.639851,-0.55075,-0.422671,-0.249697,-0.097494,0.007707,0.080828,0.041664,-0.096288,-0.262121,-0.461946,-0.676301,-0.855877,-0.982766,-1.0626,-1.103061,-1.126302,-1.142022,-1.155571,2
-0.459959,-0.494302,-0.472143,-0.402031,-0.365751,-0.386977,-0.413137,-0.424826,-0.429877,-0.401643,-0.290002,-0.171895,-0.056057,0.152281,0.369034,0.55152,0.606081,0.764645,1.081663,1.307841,1.546939,1.8568,1.958335,1.998594,2.171373,2.367122,2.321745,2.120419,2.026115,1.872666,1.358918,1.147007,1.28443,1.230612,0.946201,0.716725,0.596001,0.527647,0.482444,0.448989,0.38118,0.258449,0.108498,0.052136,0.105989,0.185829,0.250553,0.313942,0.389871,0.480194,0.575983,0.657338,0.68963,0.648344,0.562036,0.453772,0.360982,0.294214,0.222994,0.167708,0.13658,0.112018,0.10299,0.118172,0.160757,0.202569,0.23302,0.259572,0.286977,0.301394,0.31567,0.292993,0.257521,0.215728,0.168757,0.112973,0.077726,0.079106,0.101591,0.138315,0.144627,0.116728,0.066242,0.021537,-0.033522,-0.073758,-0.167365,-0.264751,-0.408048,-0.577322,-0.757214,-0.869302,-0.941958,-0.988189,-1.00339,-1.009256,-0.996044,-0.992561,-0.993323,-0.977917,-0.968004,-0.961852,-0.938647,-0.946319,-0.926491,-0.904906,-0.880091,-0.858228,-0.852772,-0.860305,-0.878755,-0.892437,-0.909429,-0.904922,-0.884203,-0.867735,-0.830163,-0.814887,-0.780737,-0.765413,-0.762484,-0.736556,-0.702432,-0.632985,-0.517913,-0.381939,-0.188723,-0.005369,0.108011,0.212151,0.19618,0.081099,-0.052164,-0.281149,-0.568634,-0.802211,-0.955201,-1.052192,-1.093649,-1.117899,-1.140045,-1.152433,2
-0.35296,-0.407433,-0.389054,-0.317875,-0.306017,-0.332567,-0.355354,-0.369771,-0.37373,-0.339772,-0.217824,-0.100169,0.009386,0.205454,0.40471,0.558251,0.609045,0.805755,1.160973,1.413776,1.702838,2.056193,2.151092,2.154067,2.297891,2.510934,2.498486,2.313318,2.240704,2.08676,1.530153,1.265612,1.36075,1.264461,0.963001,0.730968,0.600171,0.511543,0.45909,0.442448,0.386274,0.251425,0.069458,-0.020993,-0.005457,0.036666,0.072707,0.109237,0.15027,0.200223,0.263927,0.324796,0.35973,0.350048,0.304146,0.245973,0.193976,0.1499,0.092778,0.045265,0.025834,0.013224,0.005845,0.027456,0.070602,0.115425,0.149927,0.184139,0.22472,0.256392,0.280268,0.267567,0.240618,0.206588,0.164685,0.112313,0.075333,0.07071,0.094901,0.128773,0.147204,0.135548,0.093869,0.04776,-0.003001,-0.044129,-0.120638,-0.191848,-0.312696,-0.468398,-0.613817,-0.717073,-0.785326,-0.827479,-0.847411,-0.857218,-0.854851,-0.862592,-0.875638,-0.883974,-0.886465,-0.877057,-0.86647,-0.855632,-0.821578,-0.790456,-0.757807,-0.730344,-0.723341,-0.726053,-0.744442,-0.781611,-0.802443,-0.812574,-0.79453,-0.785871,-0.745981,-0.733106,-0.704061,-0.736955,-0.750625,-0.740671,-0.716883,-0.680478,-0.628594,-0.540503,-0.425846,-0.326645,-0.256005,-0.204694,-0.228591,-0.315387,-0.418094,-0.549529,-0.697144,-0.822949,-0.910366,-0.965333,-0.991293,-1.006793,-1.01765,-1.028417,2
-0.502532,-0.553196,-0.527577,-0.461087,-0.434706,-0.457173,-0.468644,-0.475223,-0.470712,-0.427619,-0.295537,-0.167347,-0.064967,0.110944,0.260144,0.384571,0.438997,0.651527,1.027295,1.285157,1.567208,1.912884,2.01117,2.020115,2.181263,2.423197,2.436413,2.245394,2.170593,2.04218,1.500022,1.232994,1.336406,1.2426,0.929302,0.691208,0.555339,0.464801,0.419428,0.416394,0.371341,0.243525,0.080343,0.014857,0.06508,0.146857,0.213834,0.278865,0.346623,0.426476,0.516411,0.594208,0.626844,0.594739,0.51654,0.42192,0.336112,0.267733,0.193561,0.138151,0.11154,0.100287,0.095214,0.115047,0.156562,0.201299,0.235887,0.26922,0.309301,0.342901,0.352597,0.322184,0.27839,0.23021,0.177279,0.125969,0.095777,0.103665,0.13926,0.173681,0.182184,0.162035,0.10677,0.049506,-0.007048,-0.062587,-0.148815,-0.233077,-0.374481,-0.547866,-0.696124,-0.814267,-0.879335,-0.921279,-0.939,-0.939957,-0.93118,-0.926832,-0.934371,-0.937445,-0.929504,-0.920105,-0.918346,-0.904907,-0.873968,-0.841812,-0.81207,-0.79014,-0.774524,-0.768995,-0.775778,-0.790865,-0.803651,-0.824839,-0.808535,-0.762937,-0.768763,-0.78004,-0.749559,-0.787276,-0.780535,-0.752797,-0.717046,-0.650987,-0.567557,-0.435089,-0.256233,-0.100945,0.011166,0.080976,0.048301,-0.086167,-0.249189,-0.448681,-0.664959,-0.839716,-0.960041,-1.034122,-1.074806,-1.096315,-1.107093,-1.119892,2
-0.647574,-0.713551,-0.711526,-0.648502,-0.652226,-0.667476,-0.669371,-0.64889,-0.635497,-0.583206,-0.453937,-0.344579,-0.267846,-0.145108,-0.064407,0.01069,0.057956,0.320885,0.725941,0.978831,1.251159,1.561136,1.637923,1.633788,1.76996,1.982851,2.012856,1.870011,1.84939,1.761299,1.27982,1.066855,1.202389,1.132792,0.814615,0.561479,0.413104,0.307191,0.260839,0.279785,0.249887,0.133007,0.023964,0.052709,0.202727,0.363707,0.497568,0.625045,0.760133,0.910002,1.062671,1.17089,1.190997,1.098079,0.937356,0.75965,0.601002,0.482976,0.377208,0.304864,0.277137,0.270847,0.271594,0.296331,0.346164,0.388969,0.414164,0.441647,0.468355,0.481257,0.488456,0.450322,0.388366,0.310852,0.23664,0.17548,0.160608,0.191851,0.247642,0.273923,0.247745,0.186699,0.093262,0.007528,-0.071314,-0.143288,-0.271588,-0.41079,-0.588527,-0.767531,-0.912688,-1.024723,-1.092132,-1.127464,-1.139133,-1.132775,-1.114456,-1.10854,-1.118838,-1.121652,-1.102284,-1.086344,-1.079095,-1.047074,-0.981266,-0.920929,-0.848895,-0.786721,-0.746115,-0.712123,-0.70015,-0.706001,-0.693564,-0.680417,-0.648115,-0.636703,-0.631934,-0.623803,-0.598275,-0.660548,-0.666782,-0.621284,-0.557858,-0.445504,-0.297518,-0.075486,0.216146,0.462521,0.643284,0.749795,0.671175,0.420992,0.113083,-0.240544,-0.603242,-0.889614,-1.092161,-1.219515,-1.290312,-1.330412,-1.35091,-1.370191,2
-0.492437,-0.528251,-0.497531,-0.401382,-0.352775,-0.363847,-0.392296,-0.410587,-0.424813,-0.409129,-0.305725,-0.186347,-0.057466,0.174298,0.439483,0.645593,0.707248,0.820112,1.091304,1.305059,1.53732,1.854455,1.969185,2.035461,2.233085,2.425851,2.364873,2.143089,2.025685,1.84349,1.317009,1.102248,1.23401,1.188905,0.936372,0.730603,0.618346,0.55574,0.505459,0.443485,0.352978,0.226512,0.076932,0.016231,0.0684,0.159085,0.234831,0.306477,0.391294,0.485168,0.580525,0.656312,0.681119,0.638153,0.544898,0.437629,0.342701,0.267549,0.199538,0.145027,0.113295,0.092131,0.085003,0.103106,0.143297,0.189564,0.221576,0.249294,0.275364,0.296926,0.300916,0.274643,0.237441,0.194652,0.144468,0.09199,0.060068,0.064529,0.09543,0.12534,0.130289,0.112377,0.064157,0.016788,-0.037427,-0.092623,-0.182049,-0.267961,-0.412678,-0.585623,-0.743649,-0.866533,-0.936302,-0.981581,-0.997928,-0.998513,-0.985568,-0.973892,-0.97979,-0.979046,-0.964733,-0.95213,-0.952749,-0.948407,-0.945137,-0.929224,-0.912949,-0.894409,-0.887743,-0.887367,-0.893762,-0.889489,-0.876619,-0.875457,-0.844555,-0.795513,-0.773098,-0.776559,-0.734093,-0.755893,-0.7433,-0.721652,-0.687302,-0.609556,-0.516276,-0.368952,-0.168871,0.002163,0.12962,0.211018,0.184958,0.057919,-0.099469,-0.316907,-0.583519,-0.798352,-0.940001,-1.027236,-1.073787,-1.099122,-1.112402,-1.127109,2
-0.298323,-0.3538,-0.346556,-0.269846,-0.256892,-0.281328,-0.307195,-0.319044,-0.320904,-0.287035,-0.173814,-0.069036,0.03912,0.238469,0.433697,0.585539,0.625079,0.824177,1.178181,1.435257,1.742762,2.1071,2.203606,2.194954,2.32536,2.545835,2.538407,2.357663,2.28822,2.134924,1.566297,1.2974,1.381402,1.269725,0.966131,0.736534,0.606568,0.515713,0.462503,0.45153,0.404868,0.265819,0.074209,-0.035819,-0.040247,-0.010544,0.010958,0.034987,0.064995,0.101929,0.155575,0.211949,0.248839,0.248928,0.218624,0.178883,0.14004,0.103455,0.047943,0.002608,-0.015773,-0.027046,-0.032659,-0.017049,0.022318,0.06722,0.103305,0.136249,0.179748,0.214682,0.2409,0.229268,0.207685,0.181972,0.145746,0.098313,0.062738,0.058558,0.083728,0.113767,0.134958,0.129573,0.096655,0.057312,0.008131,-0.042796,-0.108691,-0.162641,-0.271879,-0.419527,-0.557567,-0.66148,-0.728734,-0.774633,-0.796913,-0.807557,-0.811697,-0.820342,-0.834486,-0.839643,-0.834833,-0.832767,-0.832738,-0.824557,-0.794506,-0.770802,-0.74511,-0.725411,-0.720398,-0.729381,-0.743673,-0.782709,-0.80108,-0.817283,-0.793905,-0.774159,-0.745735,-0.717995,-0.684809,-0.717012,-0.730183,-0.720743,-0.707198,-0.667031,-0.633282,-0.577707,-0.497395,-0.425125,-0.372063,-0.338198,-0.361337,-0.433636,-0.518894,-0.616434,-0.717554,-0.802551,-0.866091,-0.904817,-0.925106,-0.936401,-0.94344,-0.954041,2
