@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute attr206 numeric
@attribute target {1,2}

@data
-0.498293,-0.517394,-0.545579,-0.678406,-1.022648,-0.835126,-1.230342,-1.038574,-0.782273,-0.610801,-0.34634,-0.149604,0.117072,0.405802,0.553968,0.614918,0.628842,0.705876,0.497353,0.422127,0.284939,0.174714,0.201966,0.108693,0.067586,-0.008422,0.023246,0.073238,0.228775,0.495647,0.570006,0.834533,1.1499,1.449019,1.916083,2.164882,2.129776,1.993227,1.798129,1.585891,1.177415,0.753789,0.325997,0.366331,0.018435,-0.059307,-0.002782,-0.135452,-0.320114,-0.351925,-0.518632,-0.527345,-0.479888,-0.590738,-0.461263,-0.461329,-0.533949,-0.544994,-0.547398,-0.601147,-0.569276,-0.528672,-0.486979,-0.519898,-0.567284,-0.652013,-0.628159,-0.489118,-0.566746,-0.543482,-0.46633,-0.472607,-0.483675,-0.479723,-0.560689,-0.553444,-0.446767,-0.339395,-0.36261,-0.38855,-0.444557,-0.349045,-0.324546,-0.397099,-0.292254,-0.843784,-0.957445,-1.025831,-1.07494,-1.016519,-0.963719,-0.482641,-0.492413,-0.329726,-0.168646,0.089735,0.186909,0.260007,1.062831,0.896825,0.450536,0.266299,0.239337,0.217795,0.214921,0.10902,0.065232,0.122513,0.145294,0.155814,0.347003,0.58038,0.776142,1.031533,1.391941,1.732683,2.032168,2.227885,2.267855,2.081524,1.84002,1.505108,1.250102,1.107799,0.653593,0.438619,-0.104184,-0.109541,-0.200168,-0.694349,-0.466748,-0.570699,-0.693749,-0.735278,-0.729971,-1.187483,-1.047408,-0.847615,-0.964274,-1.267583,-1.18113,-0.861896,-0.828132,-0.819573,-0.734683,-0.794974,-0.744973,-0.69318,-0.700403,-0.732498,-0.733472,-0.776762,-0.765514,-0.773279,-0.780165,-0.564567,-0.50189,-0.486435,-0.584685,-0.584025,-0.629024,-0.597662,-0.662756,-0.30651,-0.383974,-0.518426,-0.416057,-0.040618,-0.543838,-1.157617,-0.992776,-0.897049,-0.79534,-0.647664,-0.450395,-0.235784,-0.098535,0.091241,0.257374,0.3276,0.495555,0.333668,0.220619,0.246914,0.167202,0.142455,0.210661,0.038095,0.040589,-0.040572,-0.032725,-0.055745,0.071228,0.156661,0.501482,0.735286,0.976116,1.385507,1.725911,2.032396,2.077278,1.838885,1.522003,1.227465,0.735575,0.289637,1
0.76215,0.454228,0.16022,-0.09827,-0.286621,-0.386147,-0.550648,-0.701684,-0.642934,-0.620643,-0.616918,-0.540343,-0.554013,-0.555459,-0.587268,-0.65064,-0.512952,-0.362144,-0.378276,-0.404779,-0.493811,-0.481991,-0.458204,-0.500131,-0.565318,-0.602061,-0.600274,-0.563894,-0.55828,-0.536752,-0.572401,-0.544629,-0.497131,-0.523989,-0.452126,-0.445422,-0.428475,-0.387098,-0.311065,-0.344831,-0.261259,-0.176839,-0.217049,-0.248603,-0.335342,-0.511944,-0.675473,-0.713656,-0.727781,-0.548844,-0.353367,-0.10025,0.068987,0.229629,0.296922,0.372191,0.310681,0.241458,0.183013,0.162953,0.189432,0.172332,0.140754,0.12934,-0.002802,0.323332,0.333507,0.432653,0.546627,0.644195,0.964916,1.316218,1.730639,2.187963,2.447826,2.896804,3.03454,2.768811,2.257207,2.021867,1.753078,1.529858,1.193451,0.882268,0.623586,0.291492,0.103869,-0.081558,-0.166425,-0.28948,-0.355835,-0.370795,-0.347587,-0.401799,-0.485434,-0.491393,-0.393535,-0.30289,-0.375687,-0.383809,-0.422871,-0.48008,-0.444076,-0.43426,-0.479242,-0.419879,-0.401003,-0.419525,-0.410381,-0.355449,-0.410769,-0.435869,-0.396971,-0.378631,-0.548922,-0.580213,-0.568163,-0.532154,-0.4534,-0.26394,-0.204048,-0.12887,-0.198496,-0.106663,-0.118657,-0.152133,-0.262005,-0.413456,-0.491898,-0.585071,-0.566432,-0.339218,-0.002704,0.296608,0.399035,0.674909,0.791894,0.831334,0.826432,0.801729,0.541437,0.440712,0.351213,0.315184,0.264439,0.343063,0.413439,0.512048,0.229842,0.3052,0.331031,0.351242,0.55983,0.871561,1.153595,1.456582,1.983976,2.324994,2.567111,2.520143,2.144469,1.857535,1.532868,1.257838,0.900637,0.587942,0.181881,-0.104324,-0.402972,-0.640892,-0.732002,-0.731963,-0.769471,-0.774664,-0.74995,-0.750931,-0.740185,-0.710147,-0.722735,-0.703584,-0.666921,-0.70171,-0.721612,-0.700651,-0.69869,-0.72083,-0.700396,-0.695802,-0.711052,-0.717485,-0.734457,-0.742212,-0.700825,-0.725725,-0.751698,-0.748932,-0.734173,-0.706216,-0.596705,-0.527734,-0.508395,-0.43371,-0.358438,-0.429594,-0.402006,-0.368447,1
0.07624,0.00482,-0.10412,-0.1027,-0.040919,-0.092632,-0.09754,-0.041158,-0.035465,-0.071644,-0.12988,-0.1398,-0.235232,-0.185133,-0.271854,-0.236381,-0.195608,-0.290563,-0.37627,-0.450752,-0.382727,-0.248041,-0.348895,-0.253458,-0.213188,-0.086382,-0.163824,-0.091752,-0.074714,0.013796,0.204152,0.230627,0.150358,0.198666,0.161339,0.117271,0.156224,0.05666,0.08822,0.189627,0.382074,0.501306,0.435701,0.40771,0.20164,0.123512,0.170689,0.08188,0.1773,0.162133,0.12,-0.149296,-0.53919,-0.668026,-0.390126,-0.403972,-0.76779,-0.836211,-0.677619,-0.609629,-0.586348,-0.686228,-0.646492,-0.623428,-0.636311,-0.741872,-0.824828,-0.898919,-0.966836,-0.993944,-0.995664,-0.998853,-1.060782,-1.060143,-1.108406,-1.171123,-1.142035,-1.197054,-1.133349,-1.132675,-1.133865,-1.132672,-1.08707,-1.179252,-1.235869,-1.175256,-1.207941,-1.200373,-1.244427,-1.197839,-1.145067,-1.130233,-1.1551,-1.095517,-1.092915,-1.135889,-1.128496,-1.170481,-1.165939,-1.044648,-1.000046,-0.956588,-0.930307,-0.850039,-0.725788,-0.764609,-0.724182,-0.682144,-0.597205,-0.552742,-0.555575,-0.533534,-0.44592,-0.450841,-0.429129,-0.331873,-0.235913,-0.188366,-0.099926,-0.103611,0.011223,0.181782,0.262774,0.197317,0.249954,0.306597,0.390528,0.515069,0.642885,0.728205,0.831296,0.844194,0.873234,0.875209,0.874382,0.880547,0.88901,0.9471,1.134819,1.214877,1.345209,1.370959,1.412671,1.403493,1.443161,1.342477,1.095986,1.250538,1.285581,1.395742,1.50961,1.572444,1.630858,1.510137,1.394268,1.321268,1.202551,1.157039,1.256957,1.224268,1.210424,1.190214,1.208091,0.991453,0.770052,0.478306,0.411254,0.635669,0.89933,0.857187,0.838279,0.67883,0.692414,0.728254,0.760168,0.953851,0.945359,0.879034,1.051777,1.139842,1.143328,1.307576,1.529742,1.830604,1.913101,1.516647,0.832603,-0.2769,0.198545,-0.223384,-0.414253,-0.638793,-0.63689,-0.603488,-0.746655,-0.767463,-0.666888,-0.617131,-0.543969,-0.540057,-0.444578,-0.347971,-0.39575,-0.413861,-0.458328,-0.418768,2
-1.665019,-1.474863,-1.492552,-1.4798,-1.458036,-1.417502,-1.499386,-1.46307,-1.468622,-1.489683,-1.473732,-1.425445,-1.392559,-1.473644,-1.434285,-1.394186,-1.361087,-1.273134,-1.331506,-1.151092,-1.04608,-1.042603,-1.043867,-1.010264,-1.095932,-1.042639,-0.989246,-0.932252,-0.989565,-0.935676,-0.770784,-0.844656,-0.834242,-0.650265,-0.671936,-0.679964,-0.650037,-0.540799,-0.479609,-0.424175,-0.353648,-0.301327,-0.381925,-0.334974,-0.227131,-0.35298,-0.243561,-0.161803,-0.164831,-0.099513,0.06647,0.065985,0.11623,0.196775,0.277917,0.271104,0.37588,0.365941,0.443072,0.490791,0.653328,0.787032,0.79103,0.824132,0.914518,0.964033,0.961456,0.96268,0.917872,0.861528,0.918976,0.884327,0.833947,0.712408,0.646478,0.6519,0.41269,0.29765,0.132944,0.025985,-0.08032,-0.132986,-0.015585,0.287812,0.591488,0.306991,0.341283,0.53958,0.274558,0.36039,0.145742,0.25665,0.425401,0.699526,0.724298,0.874009,0.950959,0.978551,0.965257,1.017013,1.114743,1.083451,1.087941,1.099275,1.197843,1.28644,1.193452,1.184834,1.160817,1.131896,1.148938,1.232887,1.268012,1.21431,1.28093,1.175872,1.152262,1.103119,0.96946,1.134604,1.022358,0.946098,0.884115,0.960864,0.681811,0.472048,0.530103,0.443807,0.129264,-0.260326,-0.816887,-0.77906,-0.370683,-0.526819,-0.620202,-0.657642,-0.564392,-0.554378,-0.500735,-0.466737,-0.483842,-0.51607,-0.570392,-0.58741,-0.642327,-0.658507,-0.676511,-0.793474,-0.859819,-0.970124,-0.943424,-0.959661,-0.994066,-0.967843,-0.863591,-0.871167,-0.872089,-0.919881,-0.893858,-0.836703,-0.816078,-0.7427,-0.591539,-0.574631,-0.513061,-0.49929,-0.499768,-0.51754,-0.367687,-0.358651,-0.35519,-0.154562,0.048099,0.059446,0.098339,0.063508,0.123204,0.219322,0.303019,0.2238,0.200915,0.267929,0.415412,0.529992,0.603812,0.698481,0.699614,0.768197,1.028702,0.993243,1.080939,1.059072,1.024009,1.069158,1.033949,1.009189,0.870766,0.766702,0.74081,0.556426,0.514435,0.579068,0.686462,0.654518,0.630457,0.656558,2
-0.596232,-0.729715,-0.83185,-0.944624,-0.920872,-0.915924,-0.853224,-0.708534,-0.53526,-0.250057,0.516807,0.89683,1.217366,1.515945,1.89523,2.132818,2.44938,2.302297,1.998301,1.902838,1.714818,1.474165,1.146136,0.72629,0.554737,0.266398,0.239658,0.008053,-0.076431,-0.113172,-0.291758,-0.326492,-0.292574,-0.318685,-0.386964,-0.387741,-0.42526,-0.416478,-0.412535,-0.428362,-0.428413,-0.406022,-0.378228,-0.432201,-0.465359,-0.547002,-0.602037,-0.589994,-0.592635,-0.623243,-0.590357,-0.635522,-0.618268,-0.620042,-0.629135,-0.666226,-0.661102,-0.600336,-0.621242,-0.607822,-0.53875,-0.475294,-0.429455,-0.407467,-0.235304,-0.308295,-0.275275,-0.302897,-0.363584,-0.387569,-0.384388,-0.640089,-0.522165,-0.559666,-0.597807,-0.432017,-0.125772,0.052338,0.219541,0.451553,0.515503,0.38446,0.410892,0.570817,0.411982,0.367988,0.417189,0.454267,0.206938,0.186154,0.208111,0.105017,0.16174,0.074234,0.074953,0.111768,0.212944,0.458542,0.686237,1.072702,1.395226,1.714671,2.060961,2.040806,1.622492,1.452261,1.301747,1.005705,0.764374,0.700006,0.343789,-0.089976,-0.028617,-0.629929,-0.899129,-0.21337,-0.370141,-0.501949,-0.448693,-0.657893,-0.80958,-0.728933,-0.775198,-0.995495,-1.040583,-1.042049,-1.00724,-1.07826,-1.041109,-1.081612,-1.053439,-0.793639,-0.697023,-0.611782,-0.591565,-0.684139,-0.576381,-0.604767,-0.548929,-0.552006,-0.660933,-0.648811,-0.578538,-0.452748,-0.426769,-0.546276,-0.395173,-0.316026,-0.297697,-0.30081,-0.407691,-0.516532,-0.847575,-0.808743,-0.858119,-0.802189,-0.499453,-0.358922,-0.148016,0.067921,0.191214,0.493999,0.580057,0.508481,0.531966,0.378419,0.371708,0.360871,0.385451,0.357066,0.314758,0.269024,0.257761,0.274662,0.238295,0.184869,0.245169,0.465262,0.74996,1.184822,1.495978,1.795428,2.02284,2.233446,2.040006,1.752531,1.373597,1.131103,0.737016,0.53634,0.182123,-0.196694,-0.301062,-0.441463,-0.627892,-0.717512,-0.718781,-0.701673,-0.722124,-0.748569,-0.714808,-0.72002,-0.723382,-0.699588,-0.684648,-0.68173,1
-0.9402,-0.820738,-0.751035,-0.79308,-0.704833,-0.711927,-0.664605,-0.661944,-0.634201,-0.644922,-0.652188,-0.699233,-0.697372,-0.64575,-0.661646,-0.629451,-0.629697,-0.602002,-0.524695,-0.510228,-0.43588,-0.437334,-0.400503,-0.340819,-0.37638,-0.398771,-0.527434,-0.6882,-0.828367,-0.910395,-0.811162,-0.591028,-0.311911,-0.048824,0.184665,0.361106,0.466915,0.513001,0.558889,0.508869,0.458932,0.328963,0.312297,0.286865,0.2093,0.395261,0.375159,-0.16035,0.40173,0.310338,0.01355,0.125079,0.32184,0.611706,0.96571,1.484527,1.984289,2.659743,3.12457,3.2406,2.957883,2.399083,2.22088,1.687816,1.415744,1.105121,0.905867,0.823229,0.588422,0.339312,0.201385,0.00078,-0.021273,-0.21733,-0.241044,-0.247966,-0.381188,-0.316249,-0.347316,-0.365983,-0.373878,-0.406257,-0.427096,-0.505816,-0.381266,-0.405198,-0.493375,-0.568975,-0.678548,-0.498584,-0.477735,-0.625967,-0.492068,-0.430918,-0.494415,-0.602714,-0.690535,-0.859951,-0.672719,-0.59528,-0.532427,-0.469733,-0.482266,-0.325836,-0.189979,-0.137204,-0.115405,-0.050826,-0.049133,-0.108769,-0.216958,-0.451613,-0.522497,-0.633528,-0.574138,-0.410512,-0.109939,0.162156,0.464271,0.696296,0.876096,1.023912,0.888352,0.802503,0.6937,0.603925,0.506768,0.398453,0.333555,0.305853,0.155717,0.867134,0.206544,0.289631,0.314135,0.292528,0.232109,0.261389,0.316568,0.523499,0.968579,1.726382,2.219377,2.502258,2.410019,2.006231,1.516415,1.237371,0.832355,0.453635,0.136564,0.069364,-0.016891,-0.32484,-0.421812,-0.507123,-0.619993,-0.692487,-0.688808,-0.662791,-0.662378,-0.729247,-0.798933,-0.728215,-0.722876,-0.692585,-0.686769,-0.656968,-0.645505,-0.644003,-0.665687,-0.682531,-0.623514,-0.598585,-0.584024,-0.606734,-0.621294,-0.761308,-0.690646,-0.639682,-0.550007,-0.502214,-0.484963,-0.436427,-0.382751,-0.337437,-0.250434,-0.313413,-0.400656,-0.375034,-0.350821,-0.387284,-0.588915,-0.707413,-0.838378,-0.916553,-0.707378,-0.468004,-0.188098,0.088056,0.26335,0.425228,0.511906,0.662532,0.747875,0.767902,1
1.001832,0.839068,0.777403,0.773208,0.711974,0.67154,0.598448,0.60382,0.530802,0.459432,0.446016,0.390407,0.265271,0.253334,0.130151,-0.015474,-0.016131,0.063361,0.034986,-0.038966,-0.045941,-0.140197,-0.280828,-0.398475,-0.482835,-0.47837,-0.514679,-0.557767,-0.507534,-0.57455,-0.627972,-0.625432,-0.647947,-0.632388,-0.603628,-0.590092,-0.614269,-0.599967,-0.51269,-0.329911,-0.413425,-0.231347,-0.09678,-0.079597,0.162977,0.282516,0.349521,0.475064,0.446271,0.245775,0.167392,0.398025,0.558478,0.924812,1.211273,1.256662,1.399695,1.514158,1.383023,1.348801,1.398721,1.419624,1.491169,1.328515,1.398579,1.435694,1.34684,1.17431,1.244818,1.485751,1.814795,2.114813,2.410524,2.585875,2.644049,2.462414,2.218925,1.836021,1.254637,0.551652,0.314366,0.23336,-0.061734,-0.262442,-0.41412,-0.413563,-0.50522,-0.386485,-0.458097,-0.558738,-0.578622,-0.607035,-0.671117,-0.686743,-0.656966,-0.526138,-0.461612,-0.512471,-0.564138,-0.587705,-0.552899,-0.62088,-0.683831,-0.67284,-0.695715,-0.736979,-0.72656,-0.714595,-0.708614,-0.774446,-0.73849,-0.758374,-0.834392,-0.842,-0.836774,-0.9132,-0.923895,-1.083082,-1.121677,-1.121663,-1.161773,-1.179985,-1.125301,-1.188076,-1.211434,-1.025566,-0.935599,-1.007881,-1.046642,-1.021107,-1.009687,-0.995785,-0.850257,-0.61606,-0.554614,-0.566962,-0.653013,-0.558994,-0.513566,-0.519216,-0.794613,-0.998027,-1.025629,-0.620247,-0.490972,-0.132614,0.383759,0.620675,0.899096,0.973332,1.033301,0.92173,0.771211,0.767124,0.799242,0.826773,0.908438,0.843312,0.789595,0.645505,0.602718,0.590978,0.591238,0.538789,0.404952,0.403876,0.17276,-0.166451,-0.25898,0.097933,-0.24095,-0.072673,-0.741849,-0.848782,-0.547156,-0.397168,0.411117,0.124894,-0.377143,-0.674551,-1.029623,-0.161443,-0.130606,-0.058938,-0.127615,0.005915,-0.078978,-0.159234,0.120723,-0.026995,-0.095813,-0.278623,-0.241488,-0.326381,-0.373531,-0.366924,-0.378656,-0.396993,-0.446921,-0.459072,-0.506401,-0.632503,-0.654459,-0.518807,-0.468152,-0.411412,2
-0.538722,-0.269004,-0.099817,-0.018141,0.073539,0.260368,0.348656,0.323452,0.373918,0.34167,0.348826,0.258339,0.353415,0.127989,-0.142298,-0.466294,-0.178301,-0.060392,0.088347,0.044822,0.042428,0.15798,0.299558,0.519522,0.721476,0.978073,0.890121,0.963772,1.033047,1.070191,1.115664,1.272091,1.25214,1.234198,1.484197,1.578535,1.222659,1.207746,1.221302,0.901251,0.610837,0.467549,0.406093,0.379776,0.328964,0.295086,0.210787,0.128532,0.141551,0.148282,-0.000901,-0.012098,0.006554,-0.252175,-0.248538,-0.44273,-0.480414,-0.536245,-0.560384,-0.660453,-0.622181,-0.735422,-0.885542,-0.881783,-0.924754,-1.123069,-1.217164,-1.269452,-1.350215,-1.389484,-1.430776,-1.434289,-1.325871,-1.306457,-1.313695,-1.294244,-1.301577,-1.371582,-1.34711,-1.286742,-1.130904,-1.074238,-1.05273,-1.004338,-1.023839,-1.063886,-1.101583,-1.057506,-0.957917,-0.758372,-0.471248,-0.202292,-0.064767,0.143381,0.276465,0.412646,0.517137,0.532392,0.705536,0.69641,0.769117,0.744069,0.724428,0.658215,0.527795,0.55598,0.523847,0.554309,0.484007,0.527862,0.639445,0.736234,0.831682,0.826804,0.82188,0.906079,1.090727,1.253018,1.334191,1.444686,1.455742,1.624566,1.705346,1.730584,1.619797,1.633522,1.608825,1.5128,1.376361,1.109279,0.813143,0.61117,0.532363,0.184347,0.164304,0.086414,-0.033186,-0.18281,-0.20144,-0.243879,-0.356107,-0.395187,-0.4039,-0.415547,-0.396987,-0.454776,-0.590991,-0.713518,-0.824702,-0.805802,-0.870329,-1.008713,-1.034123,-1.066028,-1.153609,-1.216948,-1.196399,-1.181635,-1.096681,-1.013117,-0.975375,-0.97676,-0.905131,-0.935953,-0.845923,-0.765125,-0.720611,-0.737049,-0.734368,-0.688195,-0.661652,-0.613037,-0.641805,-0.612546,-0.547479,-0.611713,-0.659611,-0.620353,-0.716441,-0.763228,-0.786286,-0.727307,-0.517044,-0.344287,-0.031858,0.197325,0.39502,0.469731,0.465901,0.605328,0.731756,0.828645,0.848031,0.673442,0.599442,0.601638,0.742524,0.627369,0.580468,0.53604,0.463653,0.610169,0.61665,0.38685,0.231887,0.285424,2
-0.015737,0.010598,0.165286,0.36118,0.595507,0.907134,1.319872,1.57157,1.806446,1.952005,2.060234,2.048415,1.983977,1.797425,1.58801,1.229121,0.937828,0.601348,0.299716,0.101686,-0.001036,-0.049992,-0.210558,-0.399523,-0.403053,-0.381212,-0.375062,-0.386386,-0.37397,-0.504787,-0.601078,-0.589426,-0.610381,-0.550907,-0.596115,-0.640585,-0.723812,-0.784764,-0.482071,-0.596639,-0.674649,-0.671518,-0.577885,-0.504947,-0.672364,-0.773421,-0.774755,-0.755676,-0.900362,-0.78437,-0.807295,-0.847216,-0.853314,-0.771232,-0.716925,-0.746104,-0.751095,-0.725494,-0.551507,-0.60599,-0.523634,-0.425392,-0.371269,-0.3934,-0.383069,-0.400232,-0.49105,-0.686094,-0.873677,-0.845258,-0.774818,-0.583566,-0.422651,-0.093318,0.141381,0.299093,0.434472,0.53774,0.615358,0.578899,0.297296,0.257522,0.212692,0.254352,0.148453,0.133314,0.120256,0.227686,0.228654,0.260802,0.465974,0.695024,0.897736,1.15867,1.463945,1.796952,2.279218,2.538841,2.24837,2.21197,1.951377,1.70851,1.558004,1.281299,0.929702,0.425245,0.311507,0.273499,0.086044,-0.072598,-0.182959,-0.224062,-0.292559,-0.340507,-0.37668,-0.523174,-0.533759,-0.656054,-0.672606,-0.549432,-0.526215,-0.621227,-0.551074,-0.535169,-0.537726,-0.630265,-0.688034,-0.747234,-0.698999,-0.722172,-0.775156,-0.68251,-0.730863,-0.775176,-0.676332,-0.69332,-0.725108,-0.711996,-0.604794,-0.62549,-0.583412,-0.50842,-0.556263,-0.395001,-0.740738,-0.504586,-0.372799,-0.330439,-0.376316,-0.414427,-0.429573,-0.483623,-0.659693,-0.81016,-0.829299,-0.640815,-0.363158,-0.09018,0.160406,0.387514,0.539374,0.514947,0.509817,0.415609,0.373975,0.264883,0.26888,0.267636,0.161773,0.090514,0.085855,-0.020708,-0.041874,-0.039124,-0.050027,0.038291,0.132868,0.29654,0.581236,0.921573,1.261356,1.49974,1.746082,1.84472,1.706589,1.450242,1.193096,0.807891,0.412079,0.258683,0.04702,-0.129816,-0.248888,-0.408922,-0.559277,-0.683044,-0.746589,-0.822663,-0.89899,-0.898049,-0.87853,-0.891019,-0.872306,-0.8775,-0.838936,-0.91735,1
-0.825565,-0.720435,-0.661057,-0.636831,-0.615239,-0.580596,-0.55003,-0.525938,-0.525858,-0.535392,-0.537913,-0.498315,-0.460631,-0.409275,-0.462583,-0.407725,-0.337876,-0.288251,-0.25571,-0.237419,-0.278537,-0.338418,-0.470872,-0.637183,-0.784535,-0.755162,-0.614237,-0.385884,-0.175249,0.01153,0.137136,0.199454,0.24493,0.2567,0.200475,0.180533,0.217049,0.112464,0.049196,0.091242,0.068722,0.037799,0.070265,0.090369,0.130614,0.16906,0.307384,0.458512,0.676103,0.991234,1.347989,1.73098,2.160321,2.531028,2.804869,2.75366,2.506329,2.265643,1.969865,1.782198,1.54478,1.250013,0.954931,0.769577,0.433592,0.321837,0.195796,-0.004101,-0.109261,-0.265707,-0.400144,-0.40377,-0.4308,-0.515815,-0.581727,-0.550677,-0.623186,-0.645283,-0.590733,-0.53896,-0.524379,-0.420294,-0.498232,-0.493221,-0.514208,-0.470906,-0.485703,-0.512176,-0.451137,-0.463868,-0.447454,-0.454142,-0.519164,-0.484524,-0.476871,-0.471939,-0.543247,-0.627968,-0.596216,-0.436858,-0.396117,-0.30183,-0.312287,-0.218378,-0.216513,-0.188302,-0.190149,-0.29009,-0.546272,-0.597436,-0.550104,-0.559479,-0.391882,-0.144359,0.163375,0.385017,0.527713,0.631265,0.681937,0.689234,0.574519,0.399703,0.30331,0.242615,0.211085,0.140642,0.102957,0.409534,0.250328,0.088608,0.203847,0.234992,0.25501,0.382053,0.665419,1.112185,1.52903,1.958523,2.292431,2.577432,2.500042,2.234853,1.973032,1.708076,1.447926,1.203802,0.954814,0.775858,0.585085,0.286466,0.106194,-0.160154,-0.299839,-0.514433,-0.716502,-0.79788,-0.797952,-0.649591,-0.746026,-0.733118,-0.732287,-0.715516,-0.752333,-0.751392,-0.760775,-0.749476,-0.72565,-0.701265,-0.717482,-0.692237,-0.661133,-0.671095,-0.665848,-0.64997,-0.666108,-0.654241,-0.672785,-0.643668,-0.640768,-0.633945,-0.602686,-0.603078,-0.723686,-0.685628,-0.5936,-0.562644,-0.545693,-0.501778,-0.463444,-0.45788,-0.503303,-0.550103,-0.672649,-0.759827,-0.733741,-0.695879,-0.625628,-0.44532,-0.202882,0.03096,0.211255,0.302592,0.390597,0.450163,0.448088,0.524759,1
