@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute target {1,2}

@data
-0.276292,-0.322663,-0.37733,-0.439732,-0.488535,-0.555268,-0.591091,-0.600923,-0.624208,-0.605248,-0.577058,-0.56114,-0.530577,-0.511095,-0.524579,-0.539092,-0.55872,-0.55857,-0.507506,-0.462743,-0.416364,-0.358731,-0.297829,-0.256471,-0.246768,-0.217198,-0.165281,-0.072017,-0.017142,0.013297,0.079364,0.156591,0.215239,0.266067,0.297347,0.338692,0.388926,0.41929,0.370676,0.341009,0.346121,0.31767,0.344509,0.401635,0.442303,0.45272,0.432166,0.547368,0.570869,0.509447,0.444425,0.393215,0.357954,0.353768,0.407107,0.477275,0.523505,0.622432,0.785294,0.872086,0.964152,0.952227,0.789947,0.677746,0.574811,0.443644,0.346451,0.27122,0.20149,0.149687,0.106235,0.082813,0.014579,-0.011419,-0.034023,-0.070107,-0.099759,-0.154907,-0.171864,-0.177884,-0.18093,-0.218939,-0.293936,-0.386426,-0.480685,-0.525127,-0.55913,-0.579193,-0.581899,-0.579393,-0.588475,-0.615587,-0.633936,-0.639335,-0.685919,-0.722852,-0.723566,-0.736473,-0.771541,-0.794524,-0.807628,-0.841114,-0.850196,-0.857911,-0.85424,-0.842406,-0.860563,-0.872127,-0.861923,-0.846644,-0.809236,-0.775205,-0.764948,-0.748198,0.48577,0.533598,0.561598,0.60313,0.64741,0.640716,0.678633,0.72383,0.713678,0.735464,0.690663,0.632419,0.567229,0.512441,0.474847,0.432477,0.404438,0.339035,0.262049,0.22306,0.241407,0.240356,0.207298,0.212813,0.249487,0.25621,0.266584,0.338999,0.44332,0.540205,0.63521,0.708266,0.765825,0.874345,0.883256,0.846318,0.980768,1.046898,1.040239,1.037378,1.032466,1.032877,1.043206,1.025169,0.957242,0.982337,0.935269,0.843039,0.760112,0.721025,0.674734,0.616297,0.606485,0.596702,0.48259,0.324634,0.201112,0.100969,1
-0.281643,-0.335621,-0.366131,-0.443262,-0.500486,-0.526319,-0.555488,-0.59685,-0.615914,-0.542459,-0.491174,-0.473427,-0.455308,-0.457824,-0.491003,-0.536936,-0.573728,-0.578052,-0.522588,-0.459891,-0.417004,-0.424068,-0.414281,-0.334998,-0.287885,-0.228728,-0.180101,-0.111065,-0.059084,-0.014716,0.04458,0.086067,0.084283,0.117807,0.230161,0.296271,0.274689,0.318169,0.361792,0.381344,0.378441,0.379275,0.458959,0.46879,0.417894,0.490034,0.580415,0.535277,0.606929,0.596165,0.421487,0.270584,0.253269,0.308225,0.336848,0.410495,0.512039,0.5931,0.692363,0.820895,0.919207,0.956863,0.868321,0.653917,0.535691,0.470128,0.329847,0.236517,0.144577,0.054933,0.010253,-0.030196,-0.067945,-0.119192,-0.18548,-0.199766,-0.259224,-0.316977,-0.302471,-0.322433,-0.334951,-0.325756,-0.395329,-0.474447,-0.521955,-0.580454,-0.594506,-0.594856,-0.613866,-0.627448,-0.585538,-0.535555,-0.568182,-0.608786,-0.63082,-0.617747,-0.611681,-0.692655,-0.742674,-0.734467,-0.756135,-0.793763,-0.790302,-0.788512,-0.807284,-0.807773,-0.819701,-0.846204,-0.844095,-0.808566,-0.787684,-0.766094,-0.741034,-0.724512,0.53167,0.622913,0.70981,0.743478,0.787354,0.80619,0.84085,0.81482,0.790089,0.863783,0.863991,0.82182,0.720455,0.617831,0.535263,0.443492,0.431056,0.419405,0.374854,0.327597,0.275587,0.271008,0.323119,0.313056,0.323463,0.346607,0.322705,0.352721,0.452156,0.582076,0.655301,0.705177,0.802733,0.896452,0.856271,0.831062,1.043848,1.086701,0.981258,0.959974,0.995111,1.068651,1.06601,1.036116,0.979377,0.901272,0.87887,0.941012,0.911819,0.794118,0.717823,0.711636,0.73657,0.669851,0.571642,0.448571,0.270458,0.145395,1
-0.25749,-0.291019,-0.325769,-0.400259,-0.459303,-0.500856,-0.555579,-0.586211,-0.607609,-0.58184,-0.550173,-0.55722,-0.559348,-0.541644,-0.535332,-0.545333,-0.558062,-0.560691,-0.511517,-0.464095,-0.421173,-0.386066,-0.356685,-0.320151,-0.286208,-0.209132,-0.142031,-0.037477,0.034354,0.04122,0.058655,0.140458,0.19224,0.246752,0.327155,0.367682,0.42037,0.467865,0.449012,0.353873,0.302439,0.315165,0.348816,0.435762,0.495765,0.562992,0.519302,0.501592,0.563325,0.555802,0.496607,0.360836,0.303496,0.33996,0.351336,0.374123,0.509551,0.632059,0.739426,0.848467,0.9031,0.87013,0.776586,0.64661,0.526641,0.446589,0.365598,0.289932,0.205715,0.162613,0.107775,0.086858,0.081426,0.059781,0.035176,-0.004528,-0.064758,-0.086538,-0.080693,-0.09335,-0.119938,-0.169857,-0.245375,-0.340682,-0.431328,-0.513448,-0.575148,-0.589857,-0.574843,-0.587432,-0.613364,-0.648712,-0.682688,-0.700324,-0.696565,-0.710397,-0.741475,-0.757603,-0.757524,-0.783396,-0.835019,-0.856452,-0.876131,-0.890904,-0.879885,-0.850389,-0.859602,-0.90976,-0.918588,-0.894675,-0.849864,-0.801635,-0.787249,-0.778353,0.45429,0.46356,0.518464,0.586416,0.601946,0.647679,0.661799,0.62738,0.643438,0.671462,0.699684,0.667483,0.566973,0.494618,0.441968,0.393166,0.369079,0.335389,0.292323,0.23703,0.202688,0.252818,0.254377,0.20266,0.195512,0.219326,0.255301,0.272023,0.38316,0.539629,0.622713,0.739135,0.871314,0.905018,0.888764,0.889776,1.001263,1.083929,1.066365,1.092387,1.068464,1.024002,1.057896,1.061146,1.039907,0.968505,0.839701,0.774802,0.721843,0.667624,0.644944,0.601999,0.566531,0.495371,0.389949,0.33739,0.224168,0.094682,1
-0.251808,-0.310183,-0.365372,-0.414182,-0.440767,-0.485873,-0.53939,-0.565866,-0.575824,-0.545327,-0.518496,-0.515454,-0.492241,-0.461172,-0.50137,-0.530055,-0.53318,-0.517792,-0.481854,-0.452374,-0.395971,-0.370669,-0.358063,-0.304788,-0.272479,-0.216881,-0.164172,-0.077393,-0.007783,0.0336,0.07495,0.124683,0.183798,0.219064,0.251984,0.355418,0.382202,0.381812,0.480595,0.522233,0.454346,0.407339,0.439062,0.511327,0.557946,0.545783,0.573776,0.606221,0.625508,0.652828,0.558417,0.435664,0.376223,0.346724,0.355958,0.42815,0.520541,0.573558,0.663175,0.860984,0.934404,0.859145,0.675648,0.59127,0.535756,0.440556,0.363522,0.227034,0.10111,0.070832,0.024552,-0.04277,-0.084928,-0.139564,-0.169353,-0.190999,-0.204721,-0.229166,-0.232158,-0.229172,-0.262413,-0.304738,-0.363727,-0.464005,-0.554509,-0.58883,-0.61332,-0.637594,-0.625671,-0.603264,-0.603703,-0.611105,-0.612326,-0.61974,-0.681777,-0.744263,-0.73815,-0.710732,-0.715956,-0.760419,-0.791186,-0.839818,-0.864393,-0.853778,-0.862099,-0.860781,-0.86646,-0.854229,-0.852783,-0.853112,-0.83839,-0.805599,-0.765514,-0.748519,0.490147,0.532077,0.580395,0.606433,0.641265,0.714761,0.814729,0.83926,0.809015,0.815013,0.782541,0.712555,0.643399,0.555553,0.49358,0.452101,0.378958,0.352843,0.311345,0.275347,0.272802,0.20496,0.209594,0.243333,0.208807,0.211127,0.273665,0.328335,0.377665,0.483182,0.599846,0.709758,0.807026,0.935314,0.943129,0.8673,0.987481,1.076494,1.063129,1.022416,1.031752,1.071287,1.039714,1.024038,0.963831,0.901068,0.881759,0.835351,0.765916,0.700204,0.676786,0.664299,0.621738,0.567691,0.52011,0.398526,0.243734,0.135152,1
-0.363541,-0.401154,-0.44213,-0.487482,-0.535908,-0.603748,-0.653149,-0.670953,-0.669542,-0.637341,-0.604352,-0.58452,-0.564452,-0.568933,-0.573732,-0.570067,-0.591074,-0.585868,-0.524418,-0.488222,-0.444142,-0.377834,-0.30668,-0.277003,-0.25865,-0.201352,-0.144286,-0.06632,0.018117,0.076402,0.101946,0.174625,0.265701,0.291285,0.337284,0.395447,0.348651,0.361811,0.382764,0.323678,0.298399,0.276909,0.349377,0.445963,0.454928,0.499048,0.512046,0.544834,0.54114,0.475524,0.410241,0.331088,0.31313,0.302515,0.315401,0.378452,0.489958,0.636605,0.754475,0.88124,0.921853,0.842747,0.735621,0.583817,0.480897,0.38954,0.285998,0.243418,0.166296,0.108774,0.122533,0.092561,-0.004737,0.007348,-0.002505,-0.036151,-0.07424,-0.164591,-0.189637,-0.154649,-0.113956,-0.16052,-0.236976,-0.363811,-0.471601,-0.529333,-0.541969,-0.525458,-0.530203,-0.545661,-0.563562,-0.571545,-0.599128,-0.616086,-0.631981,-0.675286,-0.695407,-0.697963,-0.727458,-0.773102,-0.805071,-0.818785,-0.827515,-0.819734,-0.795179,-0.809882,-0.847037,-0.846706,-0.840772,-0.817283,-0.768198,-0.746127,-0.727565,-0.693923,0.518101,0.586292,0.664889,0.663319,0.665392,0.705937,0.72772,0.73773,0.770238,0.792039,0.768121,0.706275,0.650543,0.574324,0.487698,0.475973,0.41698,0.341302,0.313152,0.28907,0.270296,0.23519,0.197897,0.187947,0.222939,0.28174,0.329061,0.375551,0.458036,0.552552,0.663252,0.745158,0.882303,1.003707,0.93159,0.918025,1.008164,1.044143,1.065996,1.110487,1.089772,1.062669,1.084962,1.013149,0.94978,0.965367,0.853327,0.757023,0.724665,0.697776,0.67766,0.634578,0.550458,0.462561,0.360214,0.282363,0.10944,-0.039382,1
-0.177543,-0.234931,-0.28686,-0.357075,-0.407316,-0.445231,-0.491846,-0.516744,-0.532229,-0.508244,-0.489607,-0.450879,-0.380685,-0.362005,-0.416365,-0.506138,-0.551693,-0.509701,-0.461504,-0.435157,-0.405098,-0.402315,-0.358676,-0.345038,-0.326889,-0.259702,-0.232733,-0.183284,-0.137963,-0.108794,-0.071999,-0.033641,0.030033,0.066595,0.095784,0.185428,0.237443,0.250374,0.304593,0.339865,0.335247,0.303826,0.356186,0.486878,0.466155,0.48309,0.545438,0.616228,0.644088,0.584843,0.515675,0.428715,0.395977,0.370032,0.404114,0.501679,0.556097,0.605146,0.702243,0.86966,0.954573,0.914773,0.833992,0.748417,0.582265,0.485125,0.408661,0.26252,0.15226,0.122175,0.077773,-0.014763,-0.087567,-0.142267,-0.136402,-0.139165,-0.197378,-0.210561,-0.233835,-0.267638,-0.317181,-0.318198,-0.314357,-0.403704,-0.506786,-0.593685,-0.61544,-0.640142,-0.677217,-0.654223,-0.613735,-0.604341,-0.608691,-0.631673,-0.677446,-0.697023,-0.697957,-0.709291,-0.741701,-0.759731,-0.782585,-0.834613,-0.860075,-0.854759,-0.845074,-0.84602,-0.864055,-0.880209,-0.880989,-0.879886,-0.849144,-0.800363,-0.785107,-0.782808,0.515308,0.549203,0.61284,0.708466,0.743535,0.709703,0.770112,0.821619,0.820939,0.874905,0.8436,0.788646,0.716449,0.646852,0.614797,0.542299,0.502874,0.464495,0.384491,0.347482,0.34446,0.318459,0.313145,0.329202,0.321324,0.304387,0.293077,0.366176,0.46978,0.502309,0.547171,0.630116,0.718914,0.777468,0.751644,0.701213,0.807653,0.949182,0.997741,0.991464,1.022413,1.074109,1.068329,1.053135,1.006107,0.886812,0.855731,0.860606,0.835648,0.790019,0.736335,0.73237,0.689934,0.645039,0.592002,0.492848,0.31319,0.17528,1
-0.320526,-0.363237,-0.388779,-0.454806,-0.524168,-0.566902,-0.606934,-0.629928,-0.652737,-0.622607,-0.59543,-0.566033,-0.518444,-0.518313,-0.548205,-0.592173,-0.623719,-0.61799,-0.574371,-0.521184,-0.447994,-0.407536,-0.415504,-0.361518,-0.315558,-0.238417,-0.152707,-0.055837,0.000692,0.018527,0.103735,0.210645,0.226616,0.283808,0.346588,0.362338,0.415421,0.450341,0.405555,0.387415,0.425693,0.408286,0.433301,0.489307,0.477733,0.494909,0.537896,0.609294,0.589584,0.518764,0.439015,0.377591,0.338121,0.298147,0.311106,0.426236,0.550161,0.639129,0.698827,0.862117,0.974377,0.902668,0.759957,0.633059,0.523609,0.383719,0.311391,0.263224,0.23696,0.210163,0.105897,0.078973,0.042934,-0.012622,-0.049755,-0.084378,-0.141032,-0.207376,-0.231692,-0.225949,-0.238993,-0.234877,-0.262579,-0.397974,-0.482083,-0.551674,-0.56453,-0.563457,-0.594862,-0.567707,-0.560593,-0.581315,-0.585772,-0.58698,-0.628491,-0.649946,-0.645766,-0.679176,-0.697199,-0.725197,-0.777209,-0.802945,-0.808648,-0.81301,-0.818596,-0.820756,-0.840466,-0.852755,-0.842023,-0.817619,-0.785948,-0.769597,-0.750527,-0.732799,0.529213,0.625222,0.654398,0.730534,0.76663,0.776734,0.794339,0.818689,0.813821,0.808026,0.815854,0.734198,0.602427,0.530789,0.531023,0.472517,0.394726,0.328533,0.300001,0.241908,0.178271,0.194017,0.173636,0.180834,0.199037,0.18021,0.231083,0.296235,0.362952,0.508744,0.648963,0.719977,0.798515,0.873908,0.869323,0.862876,0.990803,1.070965,1.031699,1.070264,1.1156,1.056242,1.005494,0.989808,0.943164,0.896768,0.850855,0.742638,0.624295,0.619815,0.611504,0.559994,0.539885,0.431409,0.28338,0.201821,0.08072,-0.020081,1
-0.221114,-0.236014,-0.275021,-0.356051,-0.414167,-0.468199,-0.515772,-0.542461,-0.565445,-0.554728,-0.522719,-0.519583,-0.524105,-0.492569,-0.481964,-0.520327,-0.554538,-0.569087,-0.531024,-0.450982,-0.399152,-0.387669,-0.345523,-0.26748,-0.231409,-0.168233,-0.118203,-0.077375,-0.056657,0.004914,0.071443,0.120169,0.208523,0.245002,0.293652,0.401014,0.444887,0.504057,0.529958,0.471271,0.458121,0.444874,0.438922,0.500962,0.5287,0.55601,0.542703,0.58166,0.589511,0.521698,0.531835,0.428638,0.349819,0.358853,0.303919,0.40547,0.589385,0.591675,0.65285,0.892083,0.980884,0.869605,0.717866,0.589296,0.505233,0.456339,0.365266,0.280144,0.202055,0.126517,0.040173,-0.007915,-0.059313,-0.137641,-0.178587,-0.155972,-0.148399,-0.180621,-0.188492,-0.225782,-0.242017,-0.241875,-0.330574,-0.445776,-0.540653,-0.59477,-0.628937,-0.651175,-0.63645,-0.635265,-0.661455,-0.671662,-0.680124,-0.705844,-0.731837,-0.752612,-0.754273,-0.769917,-0.799367,-0.826941,-0.870325,-0.887891,-0.866887,-0.857914,-0.875368,-0.889864,-0.911276,-0.911518,-0.906846,-0.890854,-0.833494,-0.782433,-0.780562,-0.789162,0.494168,0.587241,0.594761,0.589744,0.678971,0.702804,0.702696,0.729163,0.773165,0.79019,0.733519,0.658112,0.607699,0.588261,0.504851,0.422578,0.408648,0.359917,0.271943,0.267508,0.30898,0.293635,0.251279,0.245835,0.247368,0.264102,0.282704,0.319444,0.400908,0.522237,0.65136,0.753248,0.776241,0.751467,0.763951,0.825983,0.973724,1.052579,1.087989,1.057315,1.003317,1.037751,1.081048,1.117243,1.087384,0.979119,0.951195,0.903418,0.79701,0.6614,0.61687,0.689643,0.628335,0.516141,0.474414,0.385822,0.250376,0.143731,1
-0.340954,-0.394357,-0.459662,-0.515999,-0.558913,-0.597149,-0.612854,-0.656144,-0.682197,-0.617543,-0.570472,-0.559389,-0.560484,-0.560048,-0.584807,-0.617911,-0.629493,-0.649627,-0.607258,-0.544571,-0.515122,-0.503672,-0.466882,-0.402414,-0.355919,-0.286739,-0.196071,-0.097086,-0.047961,0.028158,0.122004,0.203904,0.233846,0.26926,0.304876,0.340767,0.374947,0.40101,0.367918,0.326447,0.381914,0.437546,0.437787,0.446137,0.471775,0.490459,0.505592,0.6184,0.632205,0.541229,0.434769,0.311958,0.257271,0.251223,0.29151,0.385925,0.534499,0.648467,0.809403,1.023766,0.953037,0.925857,0.8412,0.648076,0.522395,0.419887,0.321605,0.226743,0.177371,0.101453,0.022191,0.01576,-0.063899,-0.082154,-0.107874,-0.242253,-0.287484,-0.303669,-0.308624,-0.295628,-0.296447,-0.320182,-0.43778,-0.492226,-0.498033,-0.536128,-0.568903,-0.593715,-0.557704,-0.511798,-0.534184,-0.531635,-0.54423,-0.583298,-0.599897,-0.616057,-0.621476,-0.644037,-0.661397,-0.681819,-0.713293,-0.761006,-0.781289,-0.77721,-0.767632,-0.750621,-0.764688,-0.786198,-0.800855,-0.783999,-0.746072,-0.692858,-0.680917,-0.671091,0.538026,0.573801,0.674863,0.797938,0.840691,0.826562,0.908872,0.944793,0.92619,0.935334,0.901638,0.804738,0.692107,0.579802,0.499705,0.442627,0.381852,0.333395,0.33042,0.289509,0.243177,0.254273,0.257877,0.244781,0.248533,0.258387,0.286817,0.365924,0.462001,0.588523,0.659646,0.734608,0.912935,1.034475,0.940291,0.895802,1.010473,1.06623,1.132485,1.10371,1.06498,1.093746,1.062581,1.024971,0.935362,0.836256,0.827993,0.803172,0.732741,0.701696,0.675782,0.626331,0.5616,0.541116,0.42852,0.264648,0.1263,0.031219,1
-0.340124,-0.387037,-0.441328,-0.518067,-0.581989,-0.643124,-0.660353,-0.663035,-0.680268,-0.631331,-0.577915,-0.539779,-0.516678,-0.543715,-0.58349,-0.589071,-0.59942,-0.612438,-0.550629,-0.505657,-0.473457,-0.431979,-0.380554,-0.338997,-0.318304,-0.265337,-0.190218,-0.090855,-0.039452,0.024685,0.086169,0.109858,0.174008,0.2624,0.302661,0.349637,0.359772,0.393497,0.419269,0.368655,0.359376,0.368766,0.375895,0.439635,0.494735,0.524471,0.550091,0.536504,0.535492,0.485811,0.391591,0.341284,0.287002,0.265367,0.298435,0.401307,0.530165,0.652304,0.808857,0.920187,0.888452,0.856952,0.796186,0.686914,0.59235,0.447524,0.333803,0.265736,0.166617,0.091356,0.052667,0.037259,-0.025388,-0.062265,-0.084685,-0.132205,-0.15624,-0.174356,-0.216539,-0.211348,-0.191789,-0.204956,-0.279505,-0.386417,-0.457671,-0.525515,-0.579775,-0.577541,-0.563094,-0.572462,-0.568027,-0.556411,-0.57968,-0.631604,-0.646527,-0.630524,-0.646838,-0.67104,-0.692188,-0.740075,-0.775676,-0.794508,-0.79968,-0.802348,-0.810424,-0.800899,-0.801888,-0.817771,-0.812302,-0.811008,-0.783894,-0.743629,-0.724849,-0.696001,0.527546,0.555271,0.605493,0.635457,0.729163,0.790211,0.792596,0.769391,0.760489,0.830438,0.817462,0.720369,0.62344,0.601919,0.571825,0.502194,0.453345,0.404869,0.355455,0.338459,0.28785,0.235969,0.230587,0.278913,0.326788,0.299425,0.336998,0.408026,0.516099,0.630436,0.674567,0.746424,0.822807,0.888711,0.887574,0.884111,1.011358,1.085368,1.062516,1.056143,1.05562,1.075671,1.102392,1.098483,1.001986,0.892329,0.838695,0.759814,0.687372,0.691108,0.684337,0.633006,0.546296,0.477684,0.39753,0.326667,0.191181,0.08465,1
