@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute attr206 numeric
@attribute target {1,2}

@data
0.213705,0.053562,-0.026509,-0.124374,-0.444659,-0.506937,-0.658182,-0.69377,-0.871706,-0.987364,-1.058539,-0.925087,-0.925087,-0.871706,-0.853912,-0.827222,-0.649285,-0.604801,-0.782738,-0.738254,-0.569214,-0.417968,-0.248929,-0.177755,-0.257826,-0.355691,-0.444659,-0.30231,-0.115477,-0.231135,-0.213342,-0.213342,-0.257826,-0.27562,-0.293413,-0.337897,-0.240032,-0.391278,-0.373484,-0.364588,-0.382381,-0.426865,-0.453556,-0.444659,-0.417968,-0.409072,-0.337897,-0.311207,-0.186651,-0.159961,-0.142167,-0.008715,0.187015,0.33826,0.542887,0.596268,0.75641,0.854275,0.907656,1.032211,0.943243,0.845378,0.818688,0.75641,0.667442,0.75641,0.560681,0.409435,0.222602,-0.062096,-0.070993,-0.008715,0.098046,-0.186651,-0.453556,-0.702666,-0.711563,-0.622595,-0.631492,-0.684873,-0.702666,-0.658182,-0.631492,-0.631492,-0.551421,-0.489143,-0.409072,-0.364588,-0.364588,-0.240032,-0.133271,-0.097683,-0.097683,-0.062096,-0.026509,-0.088787,-0.168858,-0.213342,-0.222239,-0.222239,-0.222239,-0.257826,-0.231135,-0.133271,-0.222239,-0.30231,-0.329,-0.311207,-0.400175,-0.426865,-0.382381,-0.355691,-0.337897,-0.320104,-0.311207,-0.266723,-0.115477,0.026872,0.098046,0.187015,0.258189,0.391641,0.542887,0.640752,0.711926,0.863172,0.978831,0.996624,0.987727,0.845378,0.720823,0.640752,0.480609,0.284879,0.133634,0.000182,-0.088787,-0.400175,-0.471349,-0.489143,-0.382381,-0.809428,-1.094126,-1.129713,-1.272062,-1.218681,-1.218681,-1.325443,-1.236475,-1.200888,-1.111919,-0.702666,-0.560317,-0.595905,-0.613698,-0.382381,-0.27562,-0.115477,0.080253,0.11584,0.222602,0.222602,0.525093,1.183457,1.912995,1.023314,0.703029,0.400538,0.31157,0.418332,0.275983,0.258189,0.258189,0.258189,0.204808,0.11584,0.080253,0.080253,0.133634,0.187015,0.169221,0.169221,0.222602,0.382744,0.542887,0.720823,0.863172,1.005521,1.201251,1.468155,1.717266,1.966376,2.197693,2.411217,2.553566,2.695915,2.749295,2.660327,2.517978,2.375629,2.162106,1.912995,1.699472,1.521536,1.432568,1.290219,1
0.329657,0.255694,0.140641,0.017371,-0.155209,-0.286698,-0.377096,-0.492149,-0.541457,-0.640074,-0.6976,-0.722255,-0.640074,-0.492149,-0.352442,-0.245607,-0.146991,-0.122336,0.025589,0.099551,0.132423,0.173514,0.165296,0.157078,0.132423,0.124205,0.083115,0.042025,0.058461,0.058461,0.000934,-0.02372,-0.06481,-0.122336,-0.138773,-0.081246,-0.073028,-0.031938,0.181732,-0.048374,-0.196299,-0.212735,-0.188081,-0.171645,-0.155209,-0.146991,-0.1059,0.000934,0.115987,0.206386,0.305003,0.436491,0.52689,0.699469,0.937793,1.03641,1.176117,1.274733,1.282951,1.217207,1.093936,0.970665,0.896703,0.814522,0.691251,0.584416,0.518672,0.403619,0.337875,0.214604,0.033807,-0.114118,-0.229171,-0.385314,-0.516803,-0.689382,-0.861962,-0.820871,-0.861962,-0.87018,-0.886616,-0.837307,-0.763345,-0.689382,-0.57433,-0.500367,-0.451059,-0.377096,-0.31957,-0.270261,-0.253825,-0.229171,-0.196299,-0.220953,-0.212735,-0.270261,-0.303134,-0.327788,-0.336006,-0.303134,-0.303134,-0.31957,-0.336006,-0.352442,-0.327788,-0.36066,-0.483931,-0.336006,-0.229171,-0.212735,-0.229171,-0.188081,-0.155209,-0.097682,-0.056592,-0.02372,0.058461,0.198168,0.329657,0.44471,0.625507,0.806304,0.937793,1.061064,1.167899,1.430876,1.496621,1.521275,1.430876,1.258297,1.135026,1.03641,0.921357,0.830958,0.765214,0.699469,0.600853,1.307606,1.093936,0.946011,0.715905,0.452928,0.288566,0.157078,0.025589,-0.1059,-0.171645,-0.220953,-0.31957,-0.418187,-0.418187,-0.418187,-0.451059,-0.418187,-0.418187,-0.483931,-0.533239,-0.61542,-0.598984,-0.516803,-0.451059,-0.352442,-0.40175,-0.451059,-0.467495,-0.467495,-0.500367,-0.516803,-0.566112,-0.566112,-0.516803,-0.483931,-0.566112,-0.582548,-0.516803,-0.500367,-0.483931,-0.483931,-0.500367,-0.516803,-0.483931,-0.434623,-0.434623,-0.483931,-0.533239,-0.516803,-0.483931,-0.467495,-0.451059,-0.533239,-0.681164,-0.714037,-0.681164,-0.681164,-0.648292,-0.631856,-0.582548,-0.483931,-0.336006,-0.286698,-0.237389,-0.171645,-0.171645,-0.237389,-0.204517,-0.122336,1
0.155951,0.176415,0.155951,0.135488,0.176415,0.217342,0.299195,0.360585,0.381049,0.360585,0.421976,0.462902,0.483366,0.483366,0.503829,0.483366,0.462902,0.442439,0.462902,0.421976,0.381049,0.401512,0.462902,0.503829,0.503829,0.565219,0.647073,0.688,0.667536,0.647073,0.62661,0.585683,0.585683,0.62661,0.728927,0.769854,0.442439,0.421976,0.565219,0.606146,0.606146,0.728927,0.790317,0.769854,0.831244,0.892634,0.954024,0.913097,0.913097,0.974488,0.974488,0.933561,0.933561,0.851707,0.81078,0.81078,0.81078,0.851707,0.831244,0.81078,0.831244,0.790317,0.728927,0.769854,0.81078,0.74939,0.728927,0.728927,0.62661,0.565219,0.524293,0.503829,0.585683,0.606146,0.647073,0.606146,0.606146,0.606146,0.544756,0.462902,0.503829,0.606146,0.524293,0.503829,0.483366,0.462902,0.319659,0.196878,0.115025,0.217342,0.401512,0.401512,0.381049,0.237805,0.196878,0.258268,0.401512,0.524293,0.667536,0.790317,0.81078,0.688,0.503829,0.340122,-0.007756,-0.457951,-0.498877,-0.27378,-0.376097,-0.662585,-0.723975,-0.846755,-0.949072,-0.989999,-0.969536,-0.949072,-1.010463,-1.051389,-1.071853,-1.071853,-1.051389,-1.030926,-1.010463,-0.989999,-1.010463,-1.030926,-0.989999,-0.969536,-0.949072,-0.908146,-0.908146,-0.928609,-0.928609,-0.949072,-0.969536,-0.928609,-0.908146,-1.317414,-1.399267,-1.440194,-1.481121,-1.440194,-1.399267,-1.440194,-1.440194,-1.440194,-1.481121,-1.481121,-1.440194,-1.399267,-1.35834,-1.317414,-1.399267,-1.399267,-1.35834,-1.317414,-1.317414,-1.317414,-1.35834,-1.35834,-1.35834,-1.399267,-1.399267,-1.399267,-1.35834,-1.23556,-1.194633,-1.194633,-1.153706,-1.11278,-1.11278,-1.071853,-0.949072,-0.867219,-0.867219,-0.908146,-0.867219,-0.867219,-0.826292,-0.744438,-0.703512,-0.662585,-0.662585,-0.662585,-0.662585,-0.621658,-0.539804,-0.539804,-0.539804,-0.539804,-0.498877,-0.417024,-0.376097,-0.294243,-0.253317,-0.21239,-0.130536,-0.130536,-0.130536,-0.048683,0.033171,0.155951,0.278732,0.319659,0.278732,0.237805,2
-0.396791,-0.51262,-0.570535,-0.58984,-0.55123,-0.570535,-0.667059,-0.763583,-0.860108,-1.072461,-1.30412,-1.419949,-1.362034,-1.18829,-1.111071,-1.168986,-1.246205,-1.246205,-1.246205,-1.246205,-1.18829,-1.18829,-1.2269,-1.18829,-1.130376,-1.111071,-1.130376,-1.091766,-1.072461,-1.111071,-1.130376,-1.072461,-1.033851,-0.995242,-0.995242,-1.014547,-1.033851,-1.033851,-1.053156,-1.130376,-1.168986,-1.18829,-1.207595,-1.18829,-1.149681,-1.130376,-1.18829,-1.207595,-1.168986,-1.091766,-1.014547,-1.014547,-1.033851,-1.053156,-0.995242,-0.937327,-0.956632,-0.956632,-0.937327,-0.918022,-0.898717,-0.821498,-0.763583,-0.686364,-0.628449,-0.609144,-0.570535,-0.51262,-0.51262,-0.51262,-0.531925,-0.55123,-0.493315,-0.396791,-0.377486,-0.435401,-0.416096,-0.338876,-0.280962,-0.145828,-0.087913,-0.068608,0.008611,0.085831,0.085831,0.066526,0.085831,0.16305,0.20166,0.317489,0.356099,0.298184,0.317489,0.356099,0.336794,0.356099,0.471928,0.510538,0.568452,0.664977,0.742196,0.858025,0.896635,0.896635,0.87733,0.935245,1.051074,1.166903,1.186208,1.166903,1.205513,1.224818,1.205513,1.166903,1.147598,1.147598,1.166903,1.166903,1.128293,1.108989,1.031769,0.95455,0.858025,0.83872,0.83872,0.722891,0.607062,0.529843,0.491233,0.491233,0.471928,0.433318,0.375404,0.317489,0.278879,0.278879,0.317489,0.027916,0.259574,0.568452,0.645672,0.298184,0.491233,0.452623,0.452623,0.684281,0.529843,0.259574,0.414013,0.452623,0.182355,0.298184,0.298184,0.452623,0.722891,0.83872,0.83872,0.91594,1.031769,1.031769,1.147598,1.186208,1.147598,1.147598,1.186208,1.224818,1.302037,1.340647,1.302037,1.340647,1.302037,1.302037,1.340647,1.417866,1.533696,1.533696,1.456476,1.417866,1.417866,1.417866,1.379257,1.340647,1.379257,1.379257,1.379257,1.495086,1.533696,1.495086,1.456476,1.533696,1.533696,1.456476,1.379257,1.379257,1.379257,1.302037,1.186208,1.186208,1.340647,1.379257,1.186208,1.108988,1.147598,1.070379,1.108988,1.147598,2
-0.98252,-1.056532,-1.093538,-1.102789,-1.139795,-1.223059,-1.195304,-1.186053,-1.204556,-1.204556,-1.176801,-1.065783,-0.908508,-0.79749,-0.695723,-0.566202,-0.455184,0.109157,0.155414,0.238678,0.386702,0.506971,0.599486,0.74751,0.895534,0.960295,1.043558,1.108319,1.025055,0.969546,0.877031,0.93254,0.803019,0.784516,0.756762,0.56248,0.460714,0.405205,0.321941,0.081402,0.118408,0.062899,-0.048119,-0.094376,-0.168388,-0.297909,-0.418178,-0.556951,-0.630963,-0.538448,-0.67722,-0.714226,-0.67722,-0.566202,-0.436681,-0.436681,-0.381172,-0.316412,-0.2424,-0.186891,-0.159137,-0.085125,0.044396,0.099905,0.099905,0.062899,0.044396,0.062899,0.025893,-0.020364,-0.011113,-0.020364,-0.048119,-0.05737,-0.066622,-0.103628,-0.149885,-0.17764,-0.186891,-0.196143,-0.196143,-0.223897,-0.214646,-0.196143,-0.2424,-0.270154,-0.270154,-0.233149,-0.149885,-0.085125,0.016642,0.12766,0.294187,0.405205,0.543977,0.673498,0.738259,0.840025,0.93254,0.988049,0.941792,0.858528,0.766013,0.636492,0.534726,0.460714,0.405205,0.31269,0.155414,0.099905,-0.001861,-0.140634,-0.316412,-0.408927,-0.418178,-0.473687,-0.538448,-0.640214,-0.79749,-0.769735,-0.741981,-0.760484,-0.760484,-0.778987,-0.769735,-0.695723,-0.584705,-0.464436,-0.399675,-0.353418,-0.297909,-0.205394,-0.122131,-0.094376,0.035145,-0.17764,-0.140634,0.525474,0.673498,0.525474,0.469965,0.432959,0.432959,0.469965,0.74751,0.525474,0.321941,0.210923,0.210923,0.266432,0.229426,0.118408,0.155414,0.19242,0.136911,0.062899,0.00739,0.173917,0.155414,0.099905,0.284935,0.451462,0.654995,0.803019,1.025055,1.339606,1.561642,1.820684,2.04272,2.301762,2.542301,2.634815,2.22775,1.968708,1.709666,1.728169,1.635654,1.469127,1.247091,1.006552,0.914037,0.895534,0.74751,0.469965,0.00739,-0.103628,0.00739,-0.196143,-0.67722,-0.566202,-1.04728,-0.510693,-0.159137,-0.399675,-0.547699,-0.603208,-0.566202,-0.547699,-0.751232,-0.991771,-0.954765,-0.880753,-0.880753,-0.917759,-1.04728,-1.213807,1
-0.032756,-0.07274,-0.092731,-0.102727,-0.132715,-0.202686,-0.202686,-0.202686,-0.212682,-0.212682,-0.252665,-0.282653,0.087194,-0.182694,-0.292649,-0.252665,-0.202686,-0.212682,-0.242669,-0.242669,-0.252665,-0.292649,-0.242669,-0.182694,-0.202686,-0.122719,0.007227,0.177157,0.467037,0.736926,0.946839,1.086781,1.196736,1.236719,1.146756,0.996818,0.84688,0.696942,0.557,0.517017,0.347087,0.177157,0.037215,-0.162702,-0.292649,-0.36262,-0.442587,-0.522554,-0.6525,-0.752459,-0.732467,-0.692483,-0.622512,-0.562537,-0.502562,-0.442587,-0.36262,-0.272657,-0.212682,-0.142711,-0.112723,-0.102727,-0.122719,-0.142711,-0.152707,-0.142711,-0.142711,-0.182694,-0.222678,-0.232673,-0.232673,-0.232673,-0.232673,-0.262661,-0.31264,-0.162702,-0.132715,-0.262661,-0.502562,-0.232673,-0.102727,-0.112723,-0.232673,-0.332632,-0.322636,-0.282653,-0.232673,-0.122719,-0.092731,-0.002769,0.177157,0.38707,0.586988,0.806897,1.01681,1.316686,1.506607,1.626558,1.676537,1.616562,1.536595,1.376661,1.146756,1.156752,1.096777,0.826888,0.646963,0.566996,0.457041,0.347087,0.327095,0.317099,0.217141,0.067203,-0.142711,-0.222678,-0.292649,-0.442587,-0.552541,-0.512558,-0.492566,-0.48257,-0.422595,-0.332632,-0.222678,-0.142711,-0.112723,-0.07274,0.017223,0.067203,0.077198,0.077198,0.177157,0.207145,0.147169,0.187153,0.187153,-0.552541,-0.612516,-0.552541,-0.452583,-0.452583,-0.532549,-0.592525,-0.6525,-0.712475,-0.832426,-0.77245,-0.632508,-0.532549,-0.612516,-0.792442,-0.672492,-0.592525,-0.532549,-0.512558,-0.552541,-0.632508,-0.712475,-0.752459,-0.852417,-1.012351,-0.992359,-0.832426,-0.732467,-0.712475,-0.672492,-0.612516,-0.572533,-0.592525,-0.592525,-0.532549,-0.252665,-0.212682,-0.172698,-0.152707,-0.152707,-0.092731,-0.052748,-0.032756,-0.052748,-0.092731,-0.152707,-0.232673,-0.392607,-0.552541,-0.592525,-0.672492,-0.752459,-0.732467,-0.672492,-0.572533,-0.372616,-0.152707,0.067203,0.247128,0.487029,0.626971,0.806897,0.946839,1.066789,1.166748,1.266707,1.106773,1.026806,0.966831,1
-0.239134,-0.223797,-0.162448,-0.131774,-0.116437,-0.147111,-0.193123,-0.20846,-0.223797,-0.223797,-0.254471,-0.239134,-0.239134,-0.239134,-0.177786,-0.116437,-0.070426,-0.070426,-0.085763,-0.162448,-0.239134,-0.20846,-0.193123,-0.223797,-0.269808,-0.31582,-0.361831,-0.453854,-0.499865,-0.576551,-0.622562,-0.545877,-0.407843,-0.361831,-0.31582,-0.239134,-0.116437,0.036934,0.067609,0.144294,0.22098,0.282328,0.297666,0.282328,0.313003,0.266991,0.174969,0.159631,0.128957,0.098283,0.098283,0.082946,0.128957,0.159631,0.144294,0.128957,0.128957,0.128957,0.052271,0.036934,0.00626,-0.009077,0.00626,0.036934,0.098283,0.144294,0.067609,0.00626,0.098283,0.159631,0.098283,-0.055088,-0.1011,-0.009077,-0.009077,0.190306,0.159631,0.052271,0.00626,0.236317,-0.1011,-0.285145,-0.377168,-0.331157,-0.131774,-0.024414,0.144294,0.558397,0.374351,0.742442,0.573734,0.54306,0.359014,0.00626,0.451037,0.773117,0.803791,0.773117,0.773117,0.819128,0.803791,0.788454,0.895814,0.941825,0.773117,0.711768,0.788454,0.926488,0.926488,0.819128,0.75778,0.65042,0.558397,0.604408,0.665757,0.742442,0.819128,0.926488,1.049185,1.171882,1.248568,1.294579,1.355928,1.355928,1.294579,1.217894,1.125871,0.987837,0.803791,0.589071,0.359014,0.098283,-0.024414,0.052271,-0.085763,-0.085763,-0.346494,-0.116437,-0.269808,-0.42318,-0.484528,-0.453854,-0.545877,-0.607225,-0.545877,-0.453854,-0.484528,-0.607225,-0.668574,-0.637899,-0.699248,-0.729922,-0.729922,-0.791271,-0.791271,-0.821945,-0.821945,-0.729922,-0.637899,-0.545877,-0.545877,-0.576551,-0.637899,-0.668574,-0.699248,-0.699248,-0.668574,-0.668574,-0.729922,-0.791271,-0.821945,-0.821945,-0.791271,-0.821945,-0.852619,-0.883294,-0.883294,-0.852619,-0.852619,-0.883294,-0.852619,-0.913968,-0.913968,-0.883294,-0.883294,-0.913968,-0.975316,-1.005991,-1.005991,-0.975316,-1.005991,-1.067339,-1.098013,-1.098013,-1.190036,-1.312733,-1.343408,-1.343408,-1.343408,-1.343408,-1.404756,-1.43543,-1.374082,-1.343408,-1.343408,-1.43543,2
0.725234,0.769153,0.85699,0.900909,0.930188,0.930188,0.900909,0.900909,0.900909,0.827711,0.754513,0.652036,0.549559,0.564199,0.505641,0.344606,0.300687,0.300687,0.242129,0.227489,0.21285,0.110373,-0.065302,-0.182418,-0.314174,-0.416651,-0.358093,-0.284895,-0.270255,-0.226337,-0.182418,-0.211697,-0.226337,-0.226337,-0.197058,-0.153139,-0.153139,-0.153139,-0.10922,-0.094581,-0.050662,0.051815,0.095733,0.066454,0.007896,-0.021383,0.007896,0.007896,0.022536,-0.006744,-0.006744,0.007896,0.037175,0.022536,0.022536,0.022536,0.125012,0.271408,0.329966,0.271408,0.139652,0.095733,0.168931,0.19821,0.110373,-0.021383,-0.12386,-0.182418,-0.197058,-0.197058,-0.197058,-0.182418,-0.226337,-0.240976,-0.270255,-0.255616,-0.255616,-0.284895,-0.299535,-0.314174,-0.299535,-0.284895,-0.299535,-0.314174,-0.358093,-0.372732,-0.343453,-0.431291,-0.548407,-0.533767,-0.563047,-0.650884,-0.753361,-0.768,-0.753361,-0.78264,-0.724082,-0.650884,-0.636244,-0.592326,-0.431291,-0.343453,-0.372732,-0.358093,-0.284895,-0.240976,-0.270255,-0.314174,-0.343453,-0.343453,-0.314174,-0.284895,-0.284895,-0.299535,-0.328814,-0.416651,-0.46057,-0.504488,-0.519128,-0.46057,-0.358093,-0.343453,-0.416651,-0.44593,-0.431291,-0.44593,-0.489849,-0.519128,-0.504488,-0.431291,-0.431291,-0.46057,-0.519128,-0.533767,-0.519128,-0.504488,-0.44593,-1.236466,-1.207187,-1.236466,-1.236466,-1.265745,-1.295024,-1.324303,-1.295024,-1.265745,-1.207187,-1.09007,-0.943675,-0.738721,-0.533767,-0.328814,-0.182418,-0.094581,0.022536,0.19821,0.315327,0.344606,0.461722,0.608118,0.608118,0.578838,0.725234,0.84235,0.84235,0.84235,0.900909,0.930188,0.900909,0.900909,0.871629,0.84235,0.725234,0.637397,0.637397,0.666676,0.637397,0.637397,0.666676,0.637397,0.578838,0.608118,0.666676,0.754513,0.84235,0.900909,0.988746,0.988746,0.988746,0.988746,0.988746,1.047304,1.135141,1.281537,1.398653,1.51577,1.574328,1.632886,1.720723,1.750002,1.750002,1.867119,2.013514,2.042794,2.013514,2.072073,2
-0.370164,-0.349771,-0.359968,-0.339575,-0.2682,-0.217217,-0.166235,-0.023485,0.088676,0.200838,0.353784,0.42516,0.547517,0.659678,0.680071,0.710661,0.822822,0.802429,0.812625,0.833018,0.761643,0.680071,0.629089,0.598499,0.496535,0.363981,0.262016,0.170248,0.07848,-0.023485,-0.145842,-0.227414,-0.176431,-0.23761,-0.461932,-0.359968,-0.41095,-0.390557,-0.441539,-0.472129,-0.451736,-0.461932,-0.492522,-0.472129,-0.482325,-0.492522,-0.482325,-0.676058,-0.767826,-0.839201,-0.879987,-0.839201,-0.767826,-0.665862,-0.5537,-0.451736,-0.339575,-0.278396,-0.227414,-0.125449,-0.125449,-0.176431,-0.135646,-0.013288,-0.003092,-0.125449,-0.217217,-0.156039,-0.227414,-0.207021,-0.186628,-0.145842,-0.156039,-0.308985,-0.349771,-0.41095,-0.380361,-0.400754,-0.421146,-0.482325,-0.563897,-0.492522,-0.492522,-0.523111,-0.523111,-0.502718,-0.472129,-0.421146,-0.339575,-0.23761,-0.125449,-0.013288,0.098873,0.231427,0.333392,0.435356,0.608696,0.720857,0.751446,0.751446,0.74125,0.710661,0.629089,0.557714,0.465945,0.302802,0.160052,0.027498,-0.054074,-0.09486,-0.23761,-0.380361,-0.512915,-0.625076,-0.625076,-0.706647,-0.686254,-0.808612,-0.747433,-0.72704,-0.686254,-0.58429,-0.502718,-0.451736,-0.400754,-0.349771,-0.258003,-0.2682,-0.217217,-0.186628,-0.156039,-0.156039,-0.217217,-0.308985,-0.349771,-0.380361,-0.400754,0.262016,0.302802,0.200838,0.160052,0.139659,0.160052,0.139659,0.200838,0.282409,0.302802,0.241623,0.282409,0.42516,0.56791,0.710661,0.934983,1.05734,1.200091,1.424413,1.648735,1.852664,2.097379,2.403273,2.770345,2.974274,3.035453,2.749952,2.688774,2.647988,2.444059,2.280915,2.097379,1.954629,1.873057,1.709914,1.383627,1.159305,0.812625,0.465946,0.363981,0.384374,0.343588,0.22123,0.07848,-0.043877,-0.125449,-0.207021,-0.288592,-0.2682,-0.308985,-0.390557,-0.41095,-0.41095,-0.472129,-0.594486,-0.635272,-0.635272,-0.737237,-0.798415,-0.818808,-0.778023,-0.676058,-0.594486,-0.655665,-0.75763,-0.696451,-0.655665,-0.635272,-0.635272,1
-0.307022,-0.323877,-0.332305,-0.323877,-0.31545,-0.222749,-0.028918,-0.189039,-0.323877,-0.264885,-0.205894,-0.197466,-0.172184,-0.155329,-0.163757,-0.12162,-0.045773,0.063783,0.232331,0.409306,0.577854,0.737974,0.91495,1.024506,1.125634,1.277327,1.327892,1.311037,1.226763,1.159344,1.07507,0.982369,0.889667,0.780111,0.670555,0.560999,0.417733,0.274468,0.148057,0.021646,-0.079483,-0.197466,-0.264885,-0.28174,-0.273313,-0.290168,-0.290168,-0.256458,-0.248031,-0.298595,-0.340732,-0.323877,-0.349159,-0.374442,-0.307022,-0.239603,-0.290168,-0.332305,-0.340732,-0.332305,-0.31545,-0.357587,-0.374442,-0.408151,-0.416579,-0.399724,-0.391296,-0.425006,-0.433433,-0.433433,-0.399724,-0.382869,-0.366014,-0.357587,-0.357587,-0.323877,-0.264885,-0.189039,-0.138475,-0.079483,0.004791,0.122775,0.26604,0.384024,0.49358,0.662128,0.805393,0.948659,1.100352,1.193054,1.294182,1.30261,1.235191,1.159344,1.07507,0.982369,0.855958,0.721119,0.645273,0.619991,0.552572,0.45987,0.367169,0.257613,0.190194,0.148057,0.038501,-0.062628,-0.079483,-0.104765,-0.189039,-0.28174,-0.357587,-0.425006,-0.526135,-0.627263,-0.677828,-0.686255,-0.6694,-0.644118,-0.652546,-0.644118,-0.593554,-0.534562,-0.441861,-0.340732,-0.28174,-0.273313,-0.239603,-0.155329,-0.130047,-0.096338,-0.054201,-0.045773,-0.037346,0.046928,-0.08791,-0.559844,-0.576699,-0.610409,-0.610409,-0.576699,-0.559844,-0.576699,-0.593554,-0.610409,-0.559844,-0.542989,-0.559844,-0.526135,-0.542989,-0.559844,-0.542989,-0.610409,-0.627263,-0.576699,-0.576699,-0.559844,-0.559844,-0.593554,-0.660973,-0.728392,-0.762102,-0.728392,-0.627263,-0.50928,-0.47557,-0.458716,-0.374442,-0.357587,-0.374442,-0.307022,-0.239603,-0.256458,-0.239603,-0.222749,-0.222749,-0.239603,-0.323877,-0.50928,-0.677828,-0.728392,-0.694683,-0.660973,-0.677828,-0.660973,-0.542989,-0.391296,-0.205894,0.030073,0.232331,0.400879,0.518862,0.619991,0.704265,0.771684,0.822248,0.805393,0.822248,0.822248,0.6537,0.518862,0.434588,0.367169,0.29975,0.282895,1
