@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2}

@data
-0.499733,-0.504802,-0.467534,-0.432016,-0.362214,-0.324611,-0.324965,-0.291772,-0.240113,-0.168208,-0.05588,0.036388,0.129362,0.161578,0.204003,0.187453,0.094408,-0.118987,-0.298789,-0.50512,-0.712722,-0.860661,-0.948213,-0.942111,-0.886948,-0.747918,-0.581438,-0.365959,-0.164574,0.045766,0.27557,1.444335,1.534201,1.426143,1.426426,1.303426,1.28972,1.318651,1.448786,1.506188,1.560447,1.566028,1.295124,1.060887,0.799345,0.494459,0.187771,-0.065117,-0.255305,2
-0.577384,-0.630844,-0.569396,-0.538323,-0.474901,-0.344415,-0.308012,-0.223135,-0.122635,-0.003191,0.069241,0.124633,0.209893,0.290756,0.343915,0.305484,0.157913,-0.043791,-0.257867,-0.460502,-0.639531,-0.773895,-0.915507,-0.980505,-0.936826,-0.819231,-0.649669,-0.45746,-0.259648,-0.070905,0.158515,1.335074,1.503047,1.474275,1.371245,1.345487,1.403853,1.392344,1.442489,1.430432,1.572099,1.584429,1.263008,0.979784,0.679079,0.404158,0.118029,-0.130449,-0.37394,2
-0.610318,-0.552186,-0.517851,-0.472712,-0.388156,-0.323223,-0.305946,-0.222048,-0.134442,-0.013503,0.026942,0.07424,0.162032,0.229655,0.261754,0.206514,0.088187,-0.111084,-0.303429,-0.52276,-0.698719,-0.822535,-0.933748,-0.937432,-0.886578,-0.739996,-0.580439,-0.380683,-0.18776,0.022441,0.227106,1.295494,1.476706,1.484242,1.477895,1.421357,1.380049,1.38155,1.426423,1.588498,1.507383,1.364852,1.170912,0.999175,0.697508,0.389462,0.11916,-0.13707,-0.350241,1
-0.644625,-0.668938,-0.636189,-0.516021,-0.41386,-0.30477,-0.250183,-0.145768,-0.05654,-0.011785,0.059468,0.161297,0.265284,0.291367,0.243418,0.162099,0.006651,-0.205775,-0.366561,-0.578601,-0.791816,-0.953639,-0.97712,-0.943004,-0.803035,-0.640863,-0.495885,-0.304051,-0.100489,0.092341,0.304104,1.504868,1.538336,1.470017,1.434059,1.359378,1.196683,1.262016,1.39091,1.511783,1.676635,1.469464,1.215547,0.924871,0.63107,0.367943,0.087113,-0.174382,-0.419336,1
-0.609198,-0.574845,-0.547616,-0.507422,-0.440209,-0.398411,-0.34782,-0.27439,-0.159278,0.018199,0.106438,0.174181,0.270517,0.318525,0.404094,0.429044,0.304774,0.107577,-0.106306,-0.326319,-0.554596,-0.738202,-0.892862,-0.961945,-0.959916,-0.860996,-0.709192,-0.520291,-0.346825,-0.139969,0.030143,0.978515,1.242364,1.386483,1.39903,1.413727,1.437282,1.403298,1.411738,1.337737,1.336582,1.369089,1.25382,0.994143,0.692428,0.397612,0.108379,-0.146741,-0.389249,1
-0.633175,-0.505829,-0.444299,-0.368326,-0.27687,-0.233137,-0.190865,-0.130282,-0.151043,-0.109881,-0.030471,0.033932,0.14758,0.203473,0.175488,0.117716,0.006289,-0.20172,-0.424498,-0.605158,-0.776827,-0.940839,-1.037498,-1.026074,-0.945663,-0.760769,-0.573633,-0.367456,-0.135034,0.111799,0.359146,1.565966,1.712258,1.571246,1.559443,1.447317,1.26164,1.250831,1.218343,1.392837,1.557269,1.612245,1.365691,1.074566,0.735484,0.458833,0.146245,-0.120405,-0.381961,2
-0.534149,-0.589688,-0.554769,-0.512007,-0.440508,-0.390304,-0.311301,-0.239188,-0.126976,-0.020651,0.033496,0.078856,0.157152,0.260066,0.290249,0.257636,0.105319,-0.046583,-0.215538,-0.412554,-0.59956,-0.776879,-0.925028,-0.95131,-0.916108,-0.792655,-0.618134,-0.449364,-0.243907,-0.067218,0.125431,1.298256,1.456846,1.500361,1.48111,1.400385,1.30539,1.307143,1.404875,1.471854,1.538802,1.524041,1.292782,0.995774,0.695106,0.416919,0.180924,-0.095172,-0.323048,1
-0.76123,-0.720892,-0.550545,-0.33925,-0.075219,0.087689,0.142905,0.192084,0.227189,0.2063,0.102347,0.007675,-0.026533,0.074438,0.098504,0.066358,-0.054667,-0.133239,-0.211785,-0.330642,-0.446903,-0.56628,-0.764696,-0.891525,-0.914557,-0.933888,-0.893844,-0.735708,-0.52171,-0.262937,-0.048344,1.12421,1.44047,1.565884,1.513693,1.422295,1.464099,1.382308,1.362314,1.462801,1.567442,1.482794,1.215868,0.904982,0.5969,0.292999,-0.004333,-0.290396,-0.54652,1
-0.517758,-0.639852,-0.625229,-0.551765,-0.480344,-0.401073,-0.31526,-0.26969,-0.135945,0.049631,0.176203,0.235842,0.272388,0.345506,0.413175,0.390412,0.21381,0.043859,-0.133584,-0.333914,-0.465362,-0.647012,-0.782994,-0.902619,-0.891172,-0.85442,-0.767037,-0.649647,-0.493271,-0.313014,-0.108986,0.845525,1.073874,1.367782,1.42738,1.409446,1.321704,1.367782,1.418827,1.453041,1.469596,1.442556,1.416344,1.108557,0.816498,0.499192,0.206305,-0.057445,-0.308723,1
-0.660608,-0.539822,-0.430216,-0.36161,-0.324534,-0.289935,-0.211877,-0.178009,-0.13687,-0.115142,-0.098408,0.033573,0.172234,0.239985,0.255135,0.176267,-0.041091,-0.185608,-0.408136,-0.616246,-0.799426,-0.923201,-0.971924,-0.90995,-0.825694,-0.684276,-0.535353,-0.316842,-0.132401,0.108906,0.351568,1.495975,1.480404,1.354713,1.314103,1.258545,1.233226,1.327058,1.563243,1.670996,1.691238,1.514349,1.32737,0.982716,0.656686,0.388737,0.09824,-0.193814,-0.44476,2
-0.705379,-0.570787,-0.52622,-0.446422,-0.201076,-0.093298,0.002211,0.047873,0.029667,-0.098813,-0.19596,-0.210452,-0.040343,0.170925,0.212939,0.200495,0.187979,0.168139,0.022139,-0.217109,-0.463111,-0.678522,-0.861459,-1.028758,-1.089119,-1.076063,-0.842217,-0.601248,-0.315215,-0.063188,0.177373,1.317462,1.535703,1.57655,1.352474,1.241895,1.206008,1.22118,1.22789,1.362978,1.55671,1.590555,1.366187,1.03728,0.733726,0.412405,0.101528,-0.192601,-0.437888,1
-0.517796,-0.608149,-0.583351,-0.483257,-0.395662,-0.307907,-0.232059,-0.151251,-0.063678,-0.010754,0.021225,0.064835,0.125166,0.21607,0.265612,0.280332,0.175785,0.054229,-0.094142,-0.270488,-0.465051,-0.665748,-0.845698,-0.931931,-0.905947,-0.805626,-0.683162,-0.525479,-0.33985,-0.166586,-0.020434,1.010458,1.270738,1.33317,1.28823,1.297648,1.30626,1.322137,1.345549,1.434623,1.479295,1.428703,1.296303,1.044581,0.737208,0.43667,0.16759,-0.106683,-0.350977,1
-0.573574,-0.500984,-0.5153,-0.480728,-0.446186,-0.407985,-0.36297,-0.267892,-0.18168,-0.114659,-0.068901,-0.016035,0.113864,0.222788,0.338279,0.372683,0.344725,0.180269,-0.042233,-0.315949,-0.566347,-0.820298,-1.007323,-1.126766,-1.06791,-0.864057,-0.663313,-0.441485,-0.209093,0.029577,0.258187,1.234454,1.461732,1.529101,1.347573,1.314715,1.202331,1.15058,1.23326,1.352319,1.466326,1.627092,1.419167,1.080118,0.759197,0.452516,0.203649,-0.082945,-0.348593,1
-0.797469,-0.590245,-0.520245,-0.4779,-0.39817,-0.33193,-0.299356,-0.211324,-0.094356,0.029242,0.082463,0.187449,0.292732,0.420037,0.528918,0.550764,0.416519,0.240684,-0.00375,-0.207618,-0.479315,-0.731876,-0.943803,-1.088196,-1.124975,-1.021525,-0.884746,-0.678372,-0.428776,-0.196688,-0.008292,0.752705,1.073082,1.407582,1.513782,1.431302,1.379011,1.35583,1.371464,1.430224,1.517825,1.591679,1.394105,1.030224,0.705562,0.383595,0.022867,-0.283413,-0.537186,2
