@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.457027,-0.75263,-0.662307,-0.550209,-0.405601,-0.274273,-0.152845,-0.051335,0.03981,0.156154,0.203156,0.204585,0.222993,0.217989,0.169468,0.062596,-0.078052,-0.174773,-0.309202,-0.446652,-0.573102,-0.694494,-0.760556,-0.77379,-0.738029,-0.664068,-0.574862,-0.473951,-0.360386,-0.243426,-0.131041,1.042133,1.28322,1.465152,1.417256,1.380977,1.423868,1.437808,1.3833,1.356135,1.45282,1.348451,1.1608,0.937227,0.673659,0.435557,0.184462,-0.06002,-0.271083,6
-0.37765,-0.76417,-0.686254,-0.56894,-0.443727,-0.31502,-0.192781,-0.060929,0.050542,0.154815,0.152352,0.134358,0.147617,0.191751,0.24526,0.189762,0.094297,-0.032801,-0.14162,-0.263101,-0.380974,-0.52778,-0.656696,-0.731515,-0.753023,-0.736752,-0.671622,-0.584434,-0.479385,-0.370357,-0.248535,0.826764,1.057851,1.258062,1.284202,1.188168,1.189115,1.264313,1.296514,1.265639,1.269427,1.326252,1.290263,1.073193,0.835856,0.583972,0.327467,0.077609,-0.16005,6
-0.374208,-0.734597,-0.645091,-0.533519,-0.426904,-0.294963,-0.184512,-0.099869,-0.004934,0.104674,0.094391,0.096962,0.112797,0.155262,0.157215,0.068172,-0.027349,-0.141749,-0.25658,-0.355556,-0.477667,-0.60023,-0.702239,-0.765896,-0.726947,-0.659517,-0.573332,-0.462511,-0.36554,-0.243449,-0.122284,1.079319,1.309845,1.384905,1.355292,1.356115,1.290515,1.300386,1.282083,1.325063,1.409377,1.380381,1.222036,0.962925,0.734826,0.486162,0.255246,0.02036,-0.174898,6
-0.33917,-0.753269,-0.694183,-0.583963,-0.44777,-0.321877,-0.198786,-0.058247,0.03713,0.152217,0.160273,0.15196,0.131137,0.166357,0.210232,0.14579,0.031132,-0.081299,-0.198786,-0.300907,-0.441411,-0.574091,-0.661679,-0.738624,-0.763552,-0.718871,-0.645792,-0.550483,-0.437092,-0.320651,-0.198271,0.941031,1.188687,1.340537,1.283979,1.244388,1.299918,1.379785,1.307288,1.242331,1.262041,1.383727,1.265469,1.019527,0.767758,0.538235,0.291539,0.053481,-0.124626,6
-0.424546,-0.739595,-0.64688,-0.530348,-0.406879,-0.290971,-0.169748,-0.061601,0.048227,0.165806,0.186946,0.165101,0.191074,0.220368,0.198825,0.115775,0.022456,-0.114592,-0.232222,-0.337037,-0.449492,-0.582876,-0.688697,-0.789133,-0.789978,-0.737531,-0.653695,-0.552947,-0.437935,-0.317225,-0.196857,0.907562,1.149224,1.332438,1.272038,1.25573,1.354988,1.451225,1.400288,1.330828,1.354384,1.390825,1.264588,0.990774,0.738159,0.479425,0.23585,-0.012999,-0.22291,6
-0.371597,-0.735371,-0.65776,-0.548706,-0.426324,-0.303914,-0.171506,-0.056867,0.084323,0.163621,0.139379,0.107944,0.133518,0.188307,0.180226,0.0964,-0.011935,-0.155878,-0.267116,-0.382439,-0.517858,-0.643668,-0.720408,-0.739029,-0.717691,-0.65618,-0.578205,-0.486663,-0.384704,-0.263795,-0.151171,1.034739,1.201148,1.329551,1.34074,1.284974,1.293499,1.297228,1.299359,1.274673,1.339141,1.360098,1.238621,0.992648,0.755555,0.514075,0.2659,0.047099,-0.158915,6
-0.43132,-0.756651,-0.674294,-0.557048,-0.426317,-0.308364,-0.185815,-0.066365,0.026433,0.143758,0.158368,0.185818,0.187146,0.202376,0.173775,0.103203,-0.016601,-0.158365,-0.281738,-0.403162,-0.526863,-0.626841,-0.741067,-0.77205,-0.751409,-0.682573,-0.591006,-0.479782,-0.367274,-0.250188,-0.125071,0.9475,1.160899,1.381735,1.372349,1.313731,1.36987,1.429551,1.437874,1.345077,1.352869,1.395726,1.206235,1.024536,0.759072,0.487392,0.243409,0.001994,-0.231239,6
-0.355347,-0.732573,-0.674336,-0.558423,-0.431071,-0.308702,-0.189295,-0.094863,0.015886,0.140189,0.151424,0.117451,0.119591,0.163552,0.149106,0.080891,-0.026024,-0.132226,-0.24088,-0.35244,-0.490333,-0.630268,-0.714302,-0.762382,-0.73202,-0.686258,-0.602652,-0.502353,-0.392326,-0.277484,-0.161474,1.009598,1.164041,1.36289,1.455984,1.294229,1.267478,1.291911,1.289949,1.301719,1.269797,1.367527,1.306891,1.090921,0.851767,0.587681,0.336274,0.093107,-0.121882,6
-0.466504,-0.769612,-0.694609,-0.58707,-0.459122,-0.328444,-0.193645,-0.060931,0.04328,0.149421,0.198921,0.177403,0.190333,0.215132,0.223719,0.131956,0.025912,-0.104053,-0.21606,-0.35,-0.479839,-0.5909,-0.674559,-0.764904,-0.791014,-0.714786,-0.635277,-0.515569,-0.394048,-0.272247,-0.155415,0.973265,1.197318,1.386056,1.357687,1.303073,1.371389,1.403231,1.367337,1.40053,1.394933,1.344372,1.189599,0.947792,0.707817,0.459139,0.207393,-0.036094,-0.249784,6
-0.392194,-0.760897,-0.678072,-0.563157,-0.430909,-0.28657,-0.159297,-0.060502,0.028394,0.163835,0.149658,0.141366,0.174356,0.203335,0.171057,0.080288,-0.04044,-0.138878,-0.255603,-0.386603,-0.507394,-0.613214,-0.718143,-0.761842,-0.7533,-0.691804,-0.60165,-0.493146,-0.376117,-0.253677,-0.127911,1.074737,1.270899,1.337059,1.243793,1.239691,1.370228,1.395907,1.278746,1.203669,1.232915,1.384316,1.319404,1.049415,0.797615,0.528927,0.277591,0.040039,-0.166893,6
