@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2,3}

@data
0.359964,0.427676,0.491758,0.544571,0.587875,0.62338,0.649706,0.667702,0.676312,0.686862,0.690568,0.698688,0.695992,0.677595,0.649617,0.615558,0.575891,0.529661,0.496702,0.47242,0.443818,0.41712,0.396132,0.377327,0.349073,0.3117,0.277377,0.250554,0.225881,0.201679,0.176503,0.149288,0.120116,0.08341,0.031181,-0.027393,-0.089575,-0.156078,-0.233162,-0.315217,-0.402247,-0.491988,-0.581248,-0.66907,-0.750287,-0.814082,-0.858911,-0.88258,2
0.298399,0.368798,0.435169,0.493144,0.54085,0.582926,0.61419,0.641991,0.664247,0.673741,0.672073,0.654316,0.629521,0.606478,0.576319,0.537291,0.499856,0.462014,0.447631,0.432331,0.410996,0.388118,0.372501,0.361018,0.342763,0.318718,0.298073,0.272256,0.244795,0.218874,0.189464,0.158577,0.134802,0.101604,0.055153,0.006049,-0.05222,-0.116509,-0.193998,-0.280239,-0.377839,-0.479846,-0.573278,-0.656002,-0.718424,-0.765023,-0.805914,-0.82532,2
0.266564,0.339739,0.40835,0.471549,0.527072,0.576566,0.61859,0.65821,0.693436,0.720433,0.730928,0.72645,0.705923,0.67668,0.63842,0.596783,0.550696,0.507914,0.484586,0.466839,0.45154,0.437832,0.4219,0.402212,0.382682,0.358182,0.333343,0.307424,0.279787,0.251678,0.221934,0.19051,0.153243,0.111767,0.062288,0.007453,-0.049966,-0.11689,-0.189225,-0.267584,-0.354877,-0.450668,-0.55077,-0.640704,-0.711549,-0.762797,-0.79633,-0.80918,2
0.279881,0.354559,0.424919,0.481865,0.529837,0.572794,0.609966,0.640757,0.661211,0.678553,0.688847,0.685963,0.669128,0.643205,0.607066,0.565304,0.519953,0.468473,0.447943,0.431717,0.417371,0.403083,0.388802,0.373582,0.361282,0.341614,0.314727,0.288974,0.262164,0.232961,0.203051,0.171355,0.13583,0.099277,0.053336,-0.000506,-0.059816,-0.127025,-0.209009,-0.302231,-0.400555,-0.498214,-0.58962,-0.668415,-0.730314,-0.772876,-0.794654,-0.798389,2
0.305689,0.369494,0.438687,0.502836,0.555317,0.608303,0.649366,0.683155,0.705611,0.722458,0.73571,0.73024,0.709561,0.678431,0.634619,0.585628,0.530074,0.479029,0.45596,0.436806,0.422768,0.410416,0.399994,0.3899,0.375526,0.349645,0.317119,0.283666,0.249529,0.214339,0.174753,0.135075,0.110857,0.087014,0.047462,-0.006769,-0.071962,-0.140615,-0.217913,-0.304459,-0.39629,-0.493171,-0.58689,-0.672322,-0.737226,-0.785806,-0.813791,-0.821683,2
0.266365,0.338236,0.408149,0.466529,0.513992,0.563495,0.607943,0.646078,0.676631,0.709206,0.729014,0.734544,0.721088,0.687945,0.640802,0.584818,0.523746,0.459729,0.433964,0.414033,0.395702,0.378651,0.359135,0.340595,0.322376,0.302478,0.283612,0.263641,0.242312,0.220673,0.198711,0.176015,0.149583,0.110685,0.058872,-0.001001,-0.066811,-0.138633,-0.220467,-0.31019,-0.404249,-0.500158,-0.593933,-0.671812,-0.730214,-0.771604,-0.790064,-0.792321,3
0.360214,0.427541,0.494115,0.551971,0.602511,0.643946,0.678616,0.703714,0.721017,0.737443,0.744134,0.740719,0.724855,0.697119,0.660356,0.617112,0.567993,0.516502,0.486789,0.464322,0.444471,0.42787,0.412153,0.397295,0.38397,0.363575,0.339257,0.305164,0.268728,0.231667,0.189117,0.146805,0.102357,0.056688,0.003921,-0.053347,-0.116731,-0.185939,-0.263497,-0.351548,-0.445117,-0.535478,-0.626588,-0.706712,-0.775408,-0.826758,-0.859743,-0.877036,3
0.278048,0.352502,0.424435,0.48865,0.546452,0.59224,0.630278,0.659291,0.679918,0.697353,0.707932,0.703646,0.687488,0.659258,0.617054,0.566388,0.51176,0.454812,0.42887,0.411175,0.395267,0.377346,0.361997,0.349284,0.334458,0.315184,0.293168,0.269036,0.243128,0.216311,0.188897,0.160846,0.12969,0.093645,0.046044,-0.007494,-0.068509,-0.137894,-0.214934,-0.30148,-0.39244,-0.48637,-0.579268,-0.662277,-0.726766,-0.770212,-0.793838,-0.797222,3
0.264927,0.340558,0.418161,0.485995,0.54829,0.597347,0.634749,0.659996,0.681912,0.704966,0.715966,0.710969,0.692285,0.660436,0.618221,0.569489,0.514442,0.456853,0.428754,0.408422,0.385493,0.361696,0.344278,0.336009,0.333168,0.329665,0.318455,0.296601,0.27083,0.241694,0.20961,0.173065,0.136531,0.09591,0.044506,-0.012887,-0.076352,-0.149897,-0.227787,-0.311529,-0.395303,-0.484617,-0.576251,-0.655632,-0.722552,-0.769526,-0.796356,-0.802951,3
0.265914,0.339598,0.413089,0.478364,0.536425,0.584505,0.622851,0.659713,0.68887,0.709299,0.719215,0.711859,0.688817,0.653219,0.607661,0.556765,0.500177,0.441607,0.418428,0.39938,0.384022,0.366469,0.346515,0.321187,0.296986,0.272574,0.251442,0.235765,0.221118,0.206674,0.189354,0.168996,0.145868,0.116998,0.073342,0.018968,-0.044408,-0.118924,-0.202341,-0.292728,-0.388039,-0.484119,-0.573696,-0.651091,-0.714446,-0.760153,-0.785623,-0.791099,3
